specEquation,range,seed,AID,PID,AAvg,PAvg,ABestFit,PBestFit,AStdDev,PStdDev,AAverageDelta,PAverageDelta,ABestDelta,PBestDelta,AEquation,PEquation,AStrat,PStrat,ADomStrat,PDomStrat,AGen,PGen,ABirthGen,PBirthGen,AAge,PAge,ARun,PRun
(x),20,-10,ANTAGONIST-dgM,PROTAGONIST-90c1c2c1c2c1c1c1c2c2c2c2c2c2c1c2c2c1c1c2c1c1c1c1c2c2c2c1c2c1c1c2c2c2c2c1c2,0.9756676642535187,1,1,1,0.10552521088176735,0,21395319388951907000000,0,2139531938771283400000000,0,(((((((2)+((8)+(7)))+((5)-((3)-(5))))*(((x)*((6)-(2)))*(((x)*(5))*((1)+(x)))))*((((7)*((3)+(8)))-((6)+((5)*(7))))-(((9)*((3)*(8)))*(((5)-(3))-((1)-(0))))))+(((((x)-((3)+(5)))+((5)+((7)+(4))))*(((9)-((6)*(8)))-(((6)-(8))*((0)-(7)))))+((((5)*((7)*(9)))*(((2)*(3))*((8)-(x))))*(((7)-((2)*(9)))+(((x)*(8))+((2)+(8)))))))-((((((5)*((0)*(2)))*((2)*((3)*(1))))*(((0)+((4)+(6)))*(((2)+(9))-((1)+(3)))))*((((7)-((8)*(9)))*((8)+((0)+(1))))*(((9)*((7)*(4)))+(((x)-(3))+((9)-(5))))))*(((((7)-((5)*(7)))-((7)-((8)*(x))))+(((9)-((x)+(4)))+(((9)+(6))*((x)+(1)))))*((((7)+((3)*(5)))+((1)*((x)+(7))))-(((6)+((1)-(6)))*(((4)+(x))+((6)+((8)+(x))))))))),((0)+(x)),AddTreeWithAdd|DeleteTerminalR|AddToLeafR|AddToLeafR|AddRandomSubTreeR|AddToLeafR|AddToLeafR|AddToLeafR|AddToLeafR|AddToLeafR|AddToLeafR|AddToLeafR|AddToLeafR|AddToLeafR|AddToLeafR,MultXD|AddXD|SkipD|AddXD|SkipD|SubXD|AddTreeWithDiv|AddXD|DivXD|AddTreeWithDiv|AddXD|SubXD|DivXD|FellTreeD|AddXD,AddToLeafR,AddXD,0,0,43,48,44,49,0,0
(x),20,-10,ANTAGONIST-BAb,PROTAGONIST-46c2c1c2c1c1c1c1c2c1c1c1c1c1c2c1c1c2c1c2c1c2c2c2c1c2c2c2c2c2c2c1c1c2c1c2c2c2c2c2,0.9901190559982237,1,1,1,0.03292842109185294,0,2445209173461183000000,0,226541047239218100000000,0,(((((((5)+(4))+((7)*((4)-(5))))+(((6)*((0)*(6)))-((5)+((9)*(2)))))*((((9)*((8)+(9)))+((8)+((3)+(5))))+(((5)+((4)+(5)))+((0)+((x)+(9))))))-(((((4)*(5))*((8)-((4)*(4))))+(((0)+((5)*(2)))-((3)+((2)-(1)))))*((((5)+((5)+(1)))-((5)*((4)*(x))))*(((3)*((5)*(7)))+((5)*((4)-(5)))))))*((((((5)*(2))*((5)*((4)*(3))))*(((3)*((8)*(4)))*((x)-((9)*(x)))))*((((5)+(4))*((5)*((5)*(5))))*(((7)*((5)*(1)))*((8)*((x)*(x))))))+(((((0)*(6))*((7)-((2)*(4))))-(((9)*((3)+(x)))-((4)*((4)+(x)))))+((((1)-((6)+(8)))*((1)-((3)+(3))))*(((6)+((9)*(x)))+((3)-((0)*((4)+(7))))))))),((((7)/(1))/((0)/((2)/(2))))/((5)/((0)/((8)+(x))))),AddToLeafR|MutateTerminalR|AddToLeafR|ReplaceBranchXR|AddToLeafR|AddToLeafR|ReplaceBranchXR|AddToLeafR|AddToLeafR|AddRandomSubTreeR|AddToLeafR|AddToLeafR|AddTreeWithMult|AddTreeWithMult|AddTreeWithAdd,FellTreeD|AddTreeWithDiv|DivXD|MultXD|AddXD|MultXD|MultXD|AddTreeWithDiv|FellTreeD|SubXD|FellTreeD|AddXD|FellTreeD|MultXD|AddXD,AddToLeafR,FellTreeD,0,0,12,48,13,49,1,1
(x),20,-10,ANTAGONIST-Shq,PROTAGONIST-66c2c1c1c1c2c1c1c2c1c1c2c1c1c1c1c1c1c2c1c2c1c1c1c1c1c1c2c1c1c1c1c1c1c1c1c1c1c2c2c1c1c2c1,0.9969391875068808,1,1,1,0.017501553591082554,0,210584082674170030000000,0,21058406101107876000000000,0,(((((((1)-((6)-(3)))+((5)+((2)*(1))))+(((6)-((6)+(7)))*((3)+((0)+(x)))))*((((4)-((3)*(4)))*((1)-((0)+(8))))*(((2)*((8)*(1)))*(((6)*(6))*((2)*(5))))))+(((((0)*((3)-(1)))+((1)-((x)-(6))))*(((4)+((0)*(7)))-((1)+((3)+(7)))))*((((6)*((5)*(3)))*((7)+((5)*(7))))+(((7)-((6)*(1)))-(((2)*(3))+((0)*(3)))))))-((((((4)-((x)+(0)))-((x)*((5)*(5))))+(((5)*((2)+(9)))+((4)*((0)*(3)))))-((((0)*((6)-(8)))+((2)*((6)*(2))))+(((6)-((1)*(x)))+((1)-((5)-(8))))))+(((((0)*((6)*(1)))+((4)*((2)*(5))))-(((5)+((2)+(6)))+((2)-((9)*(9)))))*((((8)*((8)*(x)))+((9)*((3)-(7))))-(((2)*((9)-(2)))*(((7)*(6))*((8)+((6)*(6))))))))),((0)+(x)),AddRandomSubTreeR|AddToLeafR|AddToLeafR|AddToLeafR|AddToLeafR|AddToLeafR|AddToLeafR|AddToLeafR|MutateTerminalR|AddToLeafR|AddToLeafR|AddToLeafR|AddToLeafR|AddTreeWithMult|AddToLeafR,AddTreeWithDiv|AddTreeWithDiv|AddXD|SkipD|MultXD|AddXD|DivXD|FellTreeD|SubXD|SubXD|AddXD|DivXD|DivXD|FellTreeD|AddXD,AddToLeafR,AddXD,0,0,24,48,25,49,2,2
(x),20,-10,ANTAGONIST-oxN,PROTAGONIST-75c2c2c2c1c1c1c1c2c2c1c1c1c2c1c2c1c2c1c1c2c2c1c1c1c1c1c1c2c1c2c2c1c2c2c2c1,0.9712920825886039,1,1,1,0.20335821014801087,0,2931447922203070300000,0,11597646133402868000,0,(((((((x)-((8)*(7)))+((0)-((2)+(3))))-(((x)-((5)-(5)))*((7)+((0)+(6)))))+((((4)*((2)*(x)))*((8)+((7)-(x))))+(((9)*((7)-(4)))-((0)-((6)*(9))))))*(((((4)+((5)+(8)))-((9)*((2)*(1))))*(((5)*((8)-(6)))*((6)*((8)*(1)))))*((((2)*((9)*(3)))*((8)*((9)*(6))))+(((x)-((x)+(1)))*(((0)-(6))-((x)*(9)))))))*((((((1)*((4)-(5)))-((2)*((1)-(8))))+(((x)*((9)*(2)))*((9)*((4)-(6)))))*((((7)+((4)*(x)))-((7)+((8)+(5))))*(((6)+((2)+(6)))+((x)-((7)-(6))))))-(((((2)-((0)-(4)))-((4)-((x)-(6))))-(((0)+((3)*(7)))+((5)*((8)-(1)))))+((((2)-((x)*(5)))-((6)*((4)-(8))))*(((x)*((x)+(6)))+((7)-((4)*((9)+(7))))))))),((0)+(x)),AddTreeWithSub|ReplaceBranchXR|AddTreeWithSub|AddToLeafR|AddToLeafR|AddToLeafR|AddToLeafR|AddToLeafR|AddToLeafR|AddToLeafR|AddTreeWithMult|AddRandomSubTreeR|AddRandomSubTreeR|AddToLeafR|AddTreeWithMult,DivXD|AddTreeWithDiv|MultXD|AddTreeWithDiv|SubXD|SkipD|AddTreeWithDiv|DivXD|DivXD|AddXD|SkipD|SkipD|SubXD|FellTreeD|AddXD,AddToLeafR,SkipD,0,0,24,48,25,49,3,3
(x),20,-10,ANTAGONIST-sHo,PROTAGONIST-59c2c1c1c2c1c2c1c1c1c2c1c1c1c1c1c2c1c2c1c1c2c1c1c2c2c2c1c1c1c1c2,0.960163948769417,1,1,1,0.21543696764557863,0,224731614206119080000000000,0,22473161420598455000000000000,0,(((((((9)+(3))*((0)-((9)-(7))))+(((7)+((0)-(4)))+((6)-((9)+(9)))))-((((7)*((8)+(0)))+((4)*((2)*(2))))+(((x)-((7)+(3)))*((8)-((x)-(0))))))*(((((4)+((7)-(x)))*((4)*((x)*(3))))*(((9)*((3)*(7)))*((1)*((4)*(6)))))*((((5)+((x)-(4)))*((2)*((x)+(3))))+(((0)+((5)+(2)))*((9)*((x)*(2)))))))+((((((0)+(3))*((2)*((3)*(1))))-(((5)*((3)*(8)))+((7)-((4)*(2)))))-((((x)*((7)-(3)))*((7)+((2)+(6))))+(((8)*((6)*(1)))*((9)+((9)*(4))))))*(((((7)*(0))+((7)*((8)*(9))))*(((8)*((5)*(5)))*((4)*((x)*(9)))))-((((7)*((6)-(x)))-((7)+((3)-(0))))*(((1)+((7)+(3)))+((4)-((9)-((2)-(x))))))))),(((0)+(x))/((x)*(x))),DeleteTerminalR|AddTreeWithSub|ReplaceBranchXR|AddToLeafR|AddToLeafR|ReplaceBranchXR|AddRandomSubTreeR|AddToLeafR|AddToLeafR|AddToLeafR|AddToLeafR|AddTreeWithMult|AddToLeafR|AddToLeafR|AddTreeWithMult,AddTreeWithDiv|SubXD|DivXD|SkipD|AddXD|MultXD|DivXD|MultXD|SubXD|FellTreeD|DivXD|FellTreeD|AddXD|DivXD|MultXD,AddToLeafR,DivXD,0,0,37,48,38,49,4,4
(x),20,-10,ANTAGONIST-uXI,PROTAGONIST-80c2c2c1c1c2c2c1c2c1c2c2c2c2c1c2c2c2c1c2c1c2c1c1c2c1c1c1c2c1c2c2c2c1c2c2c1c1c2,0.981823631344995,1,1,1,0.047103127399213574,0,31257330494671577000,0,3125713993170992000000,0,(((((((3)*((1)+(0)))+((2)-((2)-(2))))*(((8)*((5)*(9)))-((9)+((9)+(7)))))*((((8)*((5)*(7)))*((9)*((8)+(2))))-(((4)-((9)-(0)))+((8)-((x)-(7))))))-(((((3)-((2)+(5)))-((3)+((2)*(x))))+(((6)-((3)-(4)))*((0)+((5)-(3)))))*((((7)+((0)*(x)))*((2)*((2)+(8))))+(((1)+((8)+(8)))+((5)+((5)+(1)))))))*((((((0)-(9))+((3)+((3)+(7))))*(((4)*((8)*(4)))*((5)+((7)*(4)))))*((((4)*((1)+(2)))*((3)*((6)+(2))))+(((6)*((6)*(8)))*((0)-((2)-(4))))))-(((((x)+(0))+((2)*((3)+(6))))-(((0)+((8)+(7)))-((7)*((1)+(9)))))+((((5)+((6)*(0)))+((6)-((x)-(0))))+(((5)-((5)*(0)))-((2)-((0)-((7)-(7))))))))),((0)+(x)),AddTreeWithSub|AddRandomSubTreeR|ReplaceBranchXR|AddToLeafR|AddToLeafR|AddToLeafR|AddTreeWithAdd|AddToLeafR|AddToLeafR|AddToLeafR|AddRandomSubTreeR|AddToLeafR|MutateTerminalR|AddToLeafR|AddToLeafR,FellTreeD|DivXD|DivXD|FellTreeD|FellTreeD|AddXD|AddTreeWithDiv|MultXD|AddTreeWithDiv|AddTreeWithDiv|FellTreeD|MultXD|MultXD|FellTreeD|AddXD,AddToLeafR,FellTreeD,0,0,25,48,26,49,5,5
(x),20,-10,ANTAGONIST-mFY,PROTAGONIST-93c2c1c1c1c2c1c1c1c2c1c1c2c2c2c2c1c2c2c2c2c2c2c2c1c1c2c1c2c2c1c1c1c1c1c1c1c1c1c2c2c2c1,0.9804318212997117,1,1,1,0.1418944937990358,0,1317319231245650500000,0,131369962858139030000000,0,(((((((x)-(4))*((7)-(9)))+(((1)+(4))*((4)-((3)*(6)))))+((((8)+(7))+((4)+((3)+(4))))+(((5)+(3))+((7)+((4)-(1))))))*(((((5)+(3))+((9)+((3)+(7))))+(((0)*(x))*((7)*((6)+(3)))))+((((x)*(x))+((7)*((5)*(8))))+(((7)*(9))+((2)*((3)-(8)))))))+((((((4)*(0))*((x)+(2)))*(((1)*(7))*((9)*((5)*(1)))))*((((5)-(x))*((3)*((5)*(9))))*(((8)*(9))*((4)*((x)*(2))))))+(((((5)+(5))*((9)+(4)))+(((4)*(5))*((3)+((5)*(2)))))*((((4)-(x))+((3)+((1)*(x))))-(((0)*(3))*((2)-((9)-((1)+(4))))))))),((0)+(x)),AddTreeWithSub|AddRandomSubTreeR|AddToLeafR|AddToLeafR|ReplaceBranchXR|AddRandomSubTreeR|AddToLeafR|AddTreeWithAdd|AddToLeafR|AddToLeafR|AddToLeafR|AddToLeafR|AddTreeWithAdd|AddToLeafR|AddTreeWithMult,MultXD|FellTreeD|SkipD|FellTreeD|SkipD|DivXD|SkipD|MultXD|AddTreeWithDiv|SubXD|MultXD|SubXD|MultXD|FellTreeD|AddXD,AddToLeafR,MultXD,0,0,22,48,23,49,6,6
(x),20,-10,ANTAGONIST-zVG,PROTAGONIST-40c2c1c1c2c1c2c1c2c1c2c1c2c1c1c2c1c2c1c2c1c2c2c1c2c2c2c1c1c1c2c2c2c2c1c1c1,0.9652203925429808,1,1,1,0.1678230788127506,0,9540548289947186000000000,0,954054828990708100000000000,0,(((((((x)+((7)-(x)))+((2)-((5)*(1))))-(((9)*((4)*(1)))*((3)+((7)-(6)))))*((((6)*((5)-(2)))-((x)-((5)+(x))))*(((8)+((2)*(6)))*((4)*((x)*(x))))))+(((((6)+((4)*(7)))+((6)*((0)-(2))))*(((3)-((2)-(5)))*((3)-((2)+(4)))))+((((6)-((x)-(5)))-((9)*((x)-(7))))*(((7)-((1)-(0)))*(((8)*(x))*((6)*(4)))))))-((((((6)*(7))-((3)+((0)*(3))))-(((x)*((4)-(9)))*((9)+((9)*(8)))))+((((5)*((8)-(8)))-((7)-((4)*(6))))-(((6)*((2)*(8)))+((5)+((5)*(x))))))+(((((8)+((5)+(2)))+((0)+((0)+(9))))+(((2)+((7)+(4)))+((8)*((6)+(2)))))-((((5)*((5)+(9)))*((3)*((9)*(9))))*(((6)-((1)+(x)))*((2)*((7)*((0)+(5))))))))),((0)+(x)),ReplaceBranchXR|ReplaceBranchXR|ReplaceBranchXR|ReplaceBranchXR|ReplaceBranchXR|AddToLeafR|AddRandomSubTreeR|AddToLeafR|AddToLeafR|AddToLeafR|AddToLeafR|AddToLeafR|AddTreeWithAdd|AddToLeafR|AddToLeafR,DivXD|DivXD|DivXD|SubXD|MultXD|SkipD|MultXD|MultXD|DivXD|MultXD|AddTreeWithDiv|AddXD|DivXD|FellTreeD|AddXD,AddToLeafR,DivXD,0,0,35,48,36,49,7,7
(x),20,-10,ANTAGONIST-zYT,PROTAGONIST-48c2c2c2c1c2c1c2c1c2c1c1c2c1c2c1c2c2c2c2c2c1c2c1c2c1c1c1c1c1c1c2c1c1c1c1c1c1c2,0.9737332508760284,1,1,1,0.18436869124272912,0,13897065845943330000000,0,53949028898363800000,0,(((((((x)*(9))+((9)*((x)+(8))))-(((4)+((3)-(5)))-((9)+((2)*(6)))))*((((9)-(x))-((2)-((9)-(5))))+(((5)*((9)*(5)))*((x)+((7)-(2))))))*(((((1)*(7))-((3)*((7)*(x))))-(((0)+((0)*(7)))+((2)*((0)*(x)))))+((((7)-(4))-((4)*((6)-(2))))*(((x)+((9)*(5)))*((6)*((5)*(4)))))))*((((((7)*(1))*((5)*((6)+(4))))+(((3)*(8))*((6)*((5)*(6)))))*((((7)*(7))*((3)*((9)+(5))))-(((2)-((6)+(6)))+((4)-((4)+(8))))))+(((((9)-(x))-((8)*((3)+(6))))-(((2)-(4))-((7)-((1)-(x)))))-((((0)-(4))*((2)*((0)+(0))))+(((2)*((2)+(8)))*((8)+((8)+((5)-(5))))))))),((0)*((x)+(x))),ReplaceBranchXR|AddTreeWithSub|AddRandomSubTreeR|AddTreeWithSub|AddToLeafR|AddToLeafR|AddRandomSubTreeR|AddToLeafR|AddRandomSubTreeR|AddRandomSubTreeR|AddToLeafR|AddToLeafR|AddToLeafR|AddTreeWithMult|AddToLeafR,SubXD|MultXD|SkipD|SubXD|SubXD|AddXD|MultXD|AddTreeWithDiv|AddTreeWithDiv|SkipD|FellTreeD|FellTreeD|MultXD|AddXD|SkipD,AddToLeafR,SubXD,0,0,29,48,30,49,8,8
(x),20,-10,ANTAGONIST-wci,PROTAGONIST-88c1c2c2c2c1c1c2c1c2c2c1c2c1c2c2c1c1c2c2c1c2c1c2c2c2c2c1c2c2c2c1c2c2c1c1c1c2c1c1c2c1c1c2,0.9634816661510035,1,1,1,0.20059018566670142,0,73556480299393340000,0,7355647710822981000000,0,(((((((x)+((x)+(4)))-((5)-((1)-(0))))-(((0)-((x)-(1)))+((2)+((2)-(1)))))+((((x)-((3)*(x)))*((6)-((x)-(0))))-(((3)*((7)*(x)))-(((0)+(8))+((4)+(7))))))-(((((3)*((5)-(2)))*((6)+((2)+(2))))+(((6)+((7)-(0)))*((7)-((6)+(8)))))*((((9)-((3)+(8)))+((8)+((5)+(2))))+(((9)*((7)*(3)))-(((5)+(1))*((3)-(9)))))))*((((((x)*((8)+(7)))*((6)-((3)*(8))))*(((9)*((6)-(1)))*((4)-((4)+(x)))))+((((8)-((9)-(5)))*((8)+((3)*(4))))-(((x)*((x)-(4)))-((2)-((3)-(7))))))*(((((5)-((8)-(6)))*((x)+((5)-(6))))*(((2)*((5)*(1)))*((x)*((1)*(2)))))*((((5)-((7)*(2)))*((4)-((5)+(x))))*(((6)*((3)*(1)))*(((9)+(x))*((6)+((5)+(8))))))))),((0)+(x)),AddRandomSubTreeR|AddTreeWithSub|AddToLeafR|AddToLeafR|ReplaceBranchXR|AddToLeafR|AddTreeWithSub|ReplaceBranchR|ReplaceBranchR|AddTreeWithAdd|AddToLeafR|AddToLeafR|AddRandomSubTreeR|AddRandomSubTreeR|AddTreeWithMult,AddXD|AddTreeWithDiv|SkipD|FellTreeD|SkipD|SkipD|FellTreeD|FellTreeD|FellTreeD|AddXD|MultXD|MultXD|AddXD|FellTreeD|AddXD,AddToLeafR,FellTreeD,0,0,13,48,15,49,9,9
