gen,specEquation,range,seed,AGenFitAvg,PGenFitAvg,AGenBestFitAvg,PGenBestFitAvg,AGenDeltaAvg,PGenDeltaAvg,AGenBestDeltaAvg,PGenBestDeltaAvg,topABestFit,topPBestFit,topAStdDev,topPStdDev,topAAvgDelta,topPAvgtDelta,topABestDelta,topPBestDelta,topAEquation,topPEquation,topAStrat,topPStrat,topADomStrat,topPDomStrat,topABirthGen,topPBirthGen,topAAge,topPAge,run
0,(x),20,-10,-0.016872815827904272,0.011625882275063924,0.01995591800749394,0.02,38.607929999999996,11837674926.073486,2268.5,0,1,1,0.8721333495135417,0,350759240548384600000000,0,21156171172577280000,0,((((((2)-((5)-(6)))*(((x)-(1))+((7)-(4))))+((((5)*(4))*((8)*(7)))*(((2)*(8))*((3)*(7)))))*((((5)*((5)*(7)))*(((8)*(7))*((9)*(1))))+((((5)+(0))+((5)+(6)))+(((x)+(6))+((2)*(2))))))+(((((0)*((9)+(9)))*(((2)-(8))-((9)*(4))))*(((1)*((9)+(4)))*(((2)-(9))+((4)-(x)))))-((((4)*((2)*(7)))*(((6)*(x))-((3)*(x))))*(((0)*((1)*(9)))*(((4)*(x))+((1)*((8)+(0)))))))),((0)*((x)+(x))),AddToLeafR|DeleteNonTerminalR|AddTreeWithMult|AddTreeWithMult|AddTreeWithMult|AddTreeWithMult|AddTreeWithAdd|AddTreeWithSub|AddToLeafR|DeleteTerminalR|AddRandomSubTreeR|AddRandomSubTreeR|MutateNonTerminalR|AddTreeWithAdd|DeleteNonTerminalR,FellTreeD|SkipD|DivXD|AddTreeWithDiv|AddTreeWithDiv|SubXD|FellTreeD|AddXD|MultXD|AddXD|AddXD|DivXD|FellTreeD|MultXD|AddXD,AddTreeWithMult,AddXD,0,0,1,1,0
1,(x),20,-10,0.0026401589829749216,0.012414969818780796,0.019949967729185326,0.02,94.12083000000001,5683505329.056868,1998.71,0,1,1,0.799963460601166,0,192373118648397630,0,19236292115101024000,0,((((((0)+((x)-(5)))-(((9)-(6))*((4)-(8))))*((((6)*(4))*((6)*(x)))-(((2)*(4))+((7)*(5)))))+((((9)-((9)+(8)))*(((7)*(6))+((2)+(8))))-((((7)+(x))*((x)+(6)))+(((6)*(5))+((6)*(3))))))-(((((5)+((7)-(8)))+(((5)+(3))+((1)*(x))))*(((6)*((x)*(x)))*(((5)*(2))*((x)-(3)))))*((((6)*((7)*(8)))+(((3)-(0))-((8)*(6))))+((((4)+(0))*((8)-(0)))-(((1)*(x))*((4)+((5)*(0)))))))),((0)*((x)+(x))),ReplaceBranchR|MutateNonTerminalR|AddRandomSubTreeR|AddToLeafR|DeleteNonTerminalR|DeleteMaliciousR|AddTreeWithMult|MutateNonTerminalR|AddToLeafR|MutateNonTerminalR|ReplaceBranchR|AddToLeafR|AddTreeWithSub|ReplaceBranchXR|AddToLeafR,AddTreeWithDiv|AddXD|MultXD|FellTreeD|SubXD|SubXD|FellTreeD|AddXD|MultXD|AddXD|AddXD|DivXD|FellTreeD|MultXD|AddXD,AddToLeafR,AddXD,1,1,2,2,0
2,(x),20,-10,0.005481581060393005,0.016089682115537046,0.019996216936020824,0.02,1082.78478,3439653172464.378,26433.6,0,1,1,0.675509542430941,0,2972426146032148700000000,0,297242614125360340000000000,0,(((((((6)*(9))*((6)*(6)))*(((8)*(9))*((4)*((3)+(8)))))+((((1)*(7))*((7)*(6)))*(((4)*(9))*((3)*((5)+(0))))))+(((((9)+(8))+((7)+(1)))*(((2)*(1))*((3)-((5)*(8)))))+((((7)+(3))-((5)+((0)*(9))))*(((8)*(9))*((8)*((4)*(7)))))))*((((((9)*(6))*((3)-(x)))-(((6)+(1))+((5)+((4)*(7)))))-((((5)-(x))+((4)*(1)))+(((2)+(3))+((6)+((1)+(8))))))+(((((3)+(6))*((5)*(2)))+(((7)+(6))*((6)-((5)-(1)))))-((((1)-(x))-((9)-(9)))-(((7)*(5))+((0)+((6)*((0)-(4))))))))),((0)+(x)),DeleteTerminalR|AddTreeWithSub|ReplaceBranchXR|DeleteMaliciousR|AddTreeWithMult|ReplaceBranchXR|MutateNonTerminalR|AddTreeWithMult|AddRandomSubTreeR|AddToLeafR|ReplaceBranchR|AddTreeWithAdd|AddTreeWithSub|AddTreeWithAdd|AddTreeWithMult,FellTreeD|AddXD|AddTreeWithDiv|FellTreeD|FellTreeD|SubXD|SubXD|AddTreeWithDiv|AddTreeWithDiv|DivXD|AddTreeWithDiv|AddTreeWithDiv|MultXD|FellTreeD|AddXD,AddTreeWithMult,AddTreeWithDiv,2,2,3,3,0
3,(x),20,-10,0.011111875984992511,0.018000402420756453,0.019999965787755522,0.02,47465.435639999996,380487728.6893112,2922930.124,0,1,1,0.6495111119225131,0,157072729782276520000,0,15704447483365596000000,0,(((((((3)-(5))+((6)*(1)))-(((7)+(5))-((1)+((4)-(9)))))-((((3)*(9))*((6)-(3)))*(((9)+(1))+((3)+((9)+(8))))))+(((((5)-(3))*((6)+(4)))+(((3)-(9))-((6)+((4)+(4)))))+((((6)*(5))*((1)*((0)-(6))))*(((7)+(8))+((x)+((0)+(7)))))))*((((((8)-(1))*((8)-(6)))+(((x)+(6))+((3)+((x)+(8)))))+((((6)+(1))+((x)+(x)))*(((1)+(6))*((9)*((6)*(2))))))*(((((7)*(2))*((7)*(6)))*(((8)*(x))*((7)*((3)*(7)))))*((((6)*(3))*((3)*(6)))*(((x)*(4))*((9)*((9)*((7)+(1))))))))),((0)*((x)+(x))),MutateTerminalR|ReplaceBranchR|AddTreeWithAdd|AddTreeWithMult|ReplaceBranchR|AddTreeWithAdd|AddTreeWithAdd|AddTreeWithMult|AddToLeafR|ReplaceBranchXR|AddTreeWithMult|AddToLeafR|MutateNonTerminalR|MutateTerminalR|MutateTerminalR,FellTreeD|SkipD|DivXD|SubXD|AddTreeWithDiv|AddTreeWithDiv|AddXD|SkipD|SubXD|AddXD|AddXD|DivXD|FellTreeD|MultXD|AddXD,MutateTerminalR,AddXD,3,3,4,4,0
4,(x),20,-10,0.005169083326836254,0.018000542592978935,0.019991134460970793,0.02,619.08745,163222.901983764,11279.63,0,1,1,0.4788967303212643,0,239035533981256900000,0,23903147138020744000000,0,(((((((3)-(2))+((3)+((7)+(x))))*(((7)+(0))-((2)+((0)+(x)))))+((((0)+(x))*((4)*((7)-(3))))*(((7)*((1)+(2)))+((8)-((x)-(2))))))-(((((7)+(x))-((3)-((3)-(x))))*(((0)*(8))*((4)+((1)+(8)))))+((((0)+(7))*((6)*((0)-(4))))*(((8)*((1)*(9)))*((5)+((1)+(2)))))))+((((((3)*(9))*((2)*((8)*(7))))*(((9)*(x))-((6)+((4)+(2)))))+((((4)+(3))+((8)+((7)+(4))))+(((x)+(8))*((8)+((1)*(7))))))*(((((x)*(2))*((4)*((5)*(x))))*(((7)*(5))*((4)+((4)*(1)))))-((((7)+(2))-((7)+((0)-(7))))+(((8)-(4))*((8)+((6)*((3)*(8))))))))),((0)*((x)+(x))),MutateTerminalR|ReplaceBranchR|AddToLeafR|AddToLeafR|AddRandomSubTreeR|ReplaceBranchXR|AddTreeWithAdd|AddTreeWithMult|AddToLeafR|ReplaceBranchXR|AddTreeWithAdd|DeleteMaliciousR|AddToLeafR|AddTreeWithMult|MutateNonTerminalR,AddTreeWithDiv|SkipD|FellTreeD|MultXD|AddTreeWithDiv|SkipD|AddTreeWithDiv|AddTreeWithDiv|AddXD|AddTreeWithDiv|FellTreeD|SkipD|MultXD|SkipD|AddXD,AddToLeafR,AddTreeWithDiv,4,4,5,5,0
5,(x),20,-10,0.011500601727456428,0.01920000488564994,0.019999968242827605,0.02,71642.79905,753.8095815114764,3148894.957,0,1,1,0.5288108741422382,0,44356797219646790000,0,4431234266573950000000,0,(((((((x)*(5))+((9)*(6)))*(((0)-(x))-((1)-((7)-(9)))))-((((1)-(5))-((5)*((4)*(5))))*(((7)*(7))*((5)*((4)+(x))))))+(((((4)+(0))+((7)+(3)))+(((3)+(9))*((4)*((x)-(3)))))*((((7)+(5))+((2)+((8)*(7))))*(((9)*(6))*((3)*((4)*(7)))))))*((((((6)*(2))-((3)*(1)))+(((5)*(9))-((1)+((0)*(x)))))-((((1)-(8))-((8)-(9)))-(((8)-(1))-((3)+((7)+(9))))))*(((((0)*(3))-((x)*(x)))*(((5)*(9))*((8)-((8)+(9)))))+((((2)+(6))+((2)+(8)))+(((6)+(0))-((0)*((1)-((6)*(0))))))))),((0)+(x)),DeleteTerminalR|MutateNonTerminalR|AddToLeafR|AddToLeafR|AddRandomSubTreeR|ReplaceBranchXR|AddToLeafR|AddTreeWithMult|AddTreeWithSub|AddTreeWithAdd|AddTreeWithMult|AddToLeafR|AddTreeWithAdd|AddTreeWithSub|MutateNonTerminalR,MultXD|AddXD|MultXD|AddTreeWithDiv|AddTreeWithDiv|AddTreeWithDiv|DivXD|AddXD|DivXD|FellTreeD|MultXD|AddTreeWithDiv|MultXD|FellTreeD|AddXD,AddToLeafR,MultXD,5,4,6,6,0
6,(x),20,-10,0.013949556784609234,0.01668221480717128,0.019999928353092295,0.02,71466.33198,72.25407194076709,1395733.65,0,1,1,0.6757813424054427,0,24359507077607980000,0,3104988887170944500,0,((((((x)*((0)*(9)))-(((5)*(7))*((3)*(8))))*(((2)*((0)*(4)))*(((2)+(2))*((6)*(6)))))*((((4)*((x)*(x)))*(((5)*(1))*((1)+(3))))+(((9)*((3)*(8)))+(((7)*(9))*((x)*(5))))))*(((((8)+((0)-(2)))-((8)+((9)+(9))))*(((3)*((9)*(3)))*(((3)*(6))*((3)*(6)))))+((((1)*((2)*(9)))*(((1)*(5))-((7)+(6))))+(((5)+((1)+(0)))+(((3)+(x))+((6)-((x)-(2)))))))),(((0)*(x))*((x)+(x))),DeleteTerminalR|DeleteTerminalR|DeleteTerminalR|AddTreeWithSub|MutateNonTerminalR|ReplaceBranchXR|AddTreeWithAdd|AddTreeWithMult|AddToLeafR|ReplaceBranchXR|AddTreeWithMult|AddToLeafR|MutateNonTerminalR|MutateTerminalR|AddTreeWithMult,SubXD|FellTreeD|FellTreeD|AddXD|MultXD|AddXD|AddTreeWithDiv|SkipD|MultXD|AddTreeWithDiv|FellTreeD|SkipD|MultXD|MultXD|AddXD,AddTreeWithMult,MultXD,6,4,7,7,0
7,(x),20,-10,0.010314994222587782,-0.019993447893740305,0.01999998928228724,0.02,233235.95492,28423647.127710003,9330348.95,0,1,1,0.3989744488051991,0,9656189509783384000,0,12594365218552326000,0,(((((((x)+(x))-((9)-((6)*(2))))*(((6)*(9))-((2)*((6)*(x)))))*((((1)*(0))-((8)-((1)*(1))))*(((6)*(8))*((8)*((8)*(3))))))+(((((x)-(7))+((7)+((7)*(4))))+(((5)+(2))+((6)+((3)+(1)))))+((((8)+(8))+((0)+((5)+(8))))*(((9)*((1)+(8)))+((2)-((8)*(x)))))))*((((((4)-(4))*((3)-(9)))-(((9)*(4))-((4)+((9)*(1)))))+((((7)+(4))-((7)*((1)-(8))))+(((6)*(7))+((9)*((x)*(x))))))+(((((5)-(3))-((9)-((9)+(5))))+(((1)*(2))*((1)*((4)*(8)))))*((((5)*(0))*((x)*((2)*(6))))*(((6)*(2))-((1)*((9)-((0)*(x))))))))),((0)+(x)),AddRandomSubTreeR|ReplaceBranchXR|ReplaceBranchR|AddRandomSubTreeR|ReplaceBranchR|AddToLeafR|AddToLeafR|AddTreeWithAdd|AddTreeWithMult|AddToLeafR|MutateTerminalR|AddToLeafR|MutateNonTerminalR|AddRandomSubTreeR|AddTreeWithMult,MultXD|AddXD|DivXD|AddTreeWithDiv|AddTreeWithDiv|SkipD|DivXD|FellTreeD|MultXD|FellTreeD|FellTreeD|AddTreeWithDiv|MultXD|FellTreeD|AddXD,AddToLeafR,FellTreeD,6,6,8,8,0
8,(x),20,-10,0.0127980165582958,0.018011103244519138,0.019999999483101594,0.02,2434972.38032,1514.7474404295942,193461613.938,0,1,1,0.5124010899554745,0,249275397691868550000,0,24901456326613020000000,0,(((((((6)+((0)-(5)))+((6)-((5)*(7))))+(((5)+((6)+(4)))+((4)+((7)+(4)))))+((((x)*((x)+(8)))*((5)*((x)*(1))))+(((6)*((2)+(x)))+((2)-((1)*(x))))))-(((((7)+((3)+(2)))-((8)*((8)+(8))))+(((8)+((5)+(3)))+((7)+((4)+(x)))))+((((8)+((1)*(7)))*((9)+((0)+(7))))-(((x)*((6)*(2)))+((x)-((7)+(8)))))))+((((((2)*(5))*((x)*((2)+(0))))*(((2)-((8)+(3)))-((x)-((6)-(2)))))-((((7)-((1)-(5)))+((9)+((1)-(9))))*(((6)+((3)*(9)))-((3)-((6)-(6))))))-(((((6)-((8)*(2)))*((1)+((8)*(9))))*(((7)*((7)*(9)))*((6)*((x)*(1)))))+((((x)+((2)+(8)))+((2)+((0)+(6))))-(((2)-((1)-(4)))-((2)-((7)-((6)-(9))))))))),((0)+(x)),ReplaceBranchXR|AddTreeWithSub|AddToLeafR|AddTreeWithMult|ReplaceBranchR|ReplaceBranchXR|AddTreeWithAdd|AddTreeWithMult|AddToLeafR|ReplaceBranchXR|ReplaceBranchR|AddTreeWithAdd|AddTreeWithSub|AddTreeWithAdd|AddToLeafR,SubXD|SubXD|AddXD|AddXD|SkipD|SkipD|AddTreeWithDiv|SubXD|MultXD|AddTreeWithDiv|SubXD|AddXD|DivXD|FellTreeD|AddXD,ReplaceBranchXR,SubXD,8,7,9,9,0
9,(x),20,-10,0.01418775089695623,0.017602876516434135,0.019999999362539288,0.02,1782948.0426300005,333.97959772653064,156872413.083,0,1,1,0.38880743131335066,0,474720602253937800,0,45672368387875760000,0,(((((((5)*(9))+((2)-((3)+(9))))-(((8)+(4))-((1)-((x)-(3)))))-((((9)-(1))-((8)-((2)+(x))))+(((2)-((7)*(x)))*((7)*((2)*(2))))))*(((((1)*(1))*((x)*((8)*(8))))-(((4)*((6)+(8)))+((9)-((2)*(8)))))-((((3)*(9))*((3)*((7)-(5))))*(((x)-((7)*(9)))-((9)+((4)*(5)))))))*((((((x)-(0))-((2)*((3)-(0))))*(((1)+(8))-((9)+((3)*(2)))))*((((7)+(6))+((5)+((2)+(0))))+(((8)+((4)+(0)))*((x)-((6)-(5))))))*(((((3)*(7))+((3)-((3)+(4))))*(((9)+(3))-((7)*((5)+(8)))))*((((x)*(2))*((6)*((9)*(5))))*(((3)*((1)-(0)))+((2)-((x)+((6)-(0))))))))),((0)+(x)),ReplaceBranchR|ReplaceBranchXR|ReplaceBranchXR|ReplaceBranchXR|ReplaceBranchR|AddRandomSubTreeR|AddToLeafR|DeleteTerminalR|AddToLeafR|AddRandomSubTreeR|MutateNonTerminalR|AddToLeafR|AddTreeWithSub|AddTreeWithAdd|AddToLeafR,MultXD|AddXD|AddXD|AddTreeWithDiv|AddTreeWithDiv|SubXD|AddTreeWithDiv|SubXD|MultXD|AddTreeWithDiv|AddXD|FellTreeD|MultXD|FellTreeD|AddXD,AddToLeafR,AddTreeWithDiv,9,8,10,10,0
10,(x),20,-10,0.014911599719900984,-0.01701492537313433,0.01999999892240236,-0.01701492537313433,1574227.8260099997,0.67,92799015.362,0.67,1,1,0.4413809402867421,0,123688109613263630000,0,12368810368051718000000,0,(((((((x)-(3))*((x)*((x)-(9))))*(((6)*(x))*((5)*((5)*(1)))))-((((x)-(4))+((7)*((5)*(4))))-(((9)-(6))-((5)*((7)+(9))))))*(((((9)*(7))+((2)-((2)+(5))))-(((8)+(4))-((3)+((4)*(7)))))*((((9)-(5))-((3)*((9)+(9))))+(((9)+((9)+(1)))+((8)+((6)+(1)))))))*((((((6)*(6))+((9)-((2)*(2))))*(((2)*(4))*((5)*((6)*(6)))))+((((5)+(7))+((5)+((1)+(2))))+(((8)+(0))*((4)*((2)+(3))))))-(((((5)*(9))*((7)+((3)+(4))))-(((1)*(2))*((6)*((2)+(x)))))-((((8)*(0))+((8)-((3)-(9))))+(((7)+(0))-((3)*((x)+((5)-(0))))))))),((0)+(x)),DeleteTerminalR|ReplaceBranchXR|ReplaceBranchR|AddRandomSubTreeR|ReplaceBranchR|MutateTerminalR|AddToLeafR|AddToLeafR|AddToLeafR|AddTreeWithAdd|AddTreeWithMult|AddToLeafR|MutateNonTerminalR|AddRandomSubTreeR|AddTreeWithAdd,SubXD|SubXD|AddXD|AddTreeWithDiv|AddTreeWithDiv|SubXD|FellTreeD|SubXD|MultXD|AddTreeWithDiv|SubXD|AddXD|DivXD|FellTreeD|AddXD,AddToLeafR,SubXD,10,9,11,11,0
