gen,specEquation,range,seed,AGenFitAvg,PGenFitAvg,AGenBestFitAvg,PGenBestFitAvg,AGenDeltaAvg,PGenDeltaAvg,AGenBestDeltaAvg,PGenBestDeltaAvg,topABestFit,topPBestFit,topAStdDev,topPStdDev,topAAvgDelta,topPAvgtDelta,topABestDelta,topPBestDelta,topAEquation,topPEquation,topAStrat,topPStrat,topADomStrat,topPDomStrat,topABirthGen,topPBirthGen,topAAge,topPAge,run
0,(x),20,-10,-0.011004005823499632,0.017200054547825788,0.019913200472189432,0.02,21.88686,1574261791937.8225,1152.08,0,1,1,0.9831478430728018,0,2881957857565107700,0,274052616092760150000,0,(((((((9)*(5))*((2)-(4)))-(((6)*(9))*((8)*(5))))+((((4)-(3))*((9)*(3)))*(((1)+(6))*((8)*(3)))))-(((((0)-(1))-((8)-(3)))+(((2)*(3))+((7)*(8))))-((((x)-(8))-((0)-(8)))-(((7)-(6))*((6)-((x)-(3)))))))*((((((4)+(5))*((0)+(1)))*(((2)*(6))*((x)*(x))))+((((1)*(5))*((8)*(x)))*(((x)-(2))*((3)+(1)))))*(((((6)-(9))-((7)-(4)))-(((8)*(1))+((0)+(6))))*((((7)*(0))*((x)*(2)))+(((0)*(2))*((9)*((8)*(7)))))))),((0)+(x)),MutateNonTerminalR|MutateTerminalR|AddTreeWithMult|AddTreeWithMult|AddToLeafR|ReplaceBranchR|AddTreeWithSub|AddToLeafR|AddToLeafR|AddToLeafR|AddRandomSubTreeR|MutateNonTerminalR|AddToLeafR|MutateNonTerminalR|MutateNonTerminalR,AddTreeWithDiv|AddTreeWithDiv|DivXD|AddXD|DivXD|SubXD|AddTreeWithDiv|MultXD|AddXD|DivXD|SkipD|MultXD|FellTreeD|SkipD|AddXD,AddToLeafR,AddTreeWithDiv,0,0,1,1,1
1,(x),20,-10,0.0010314084947736625,0.011177745531410493,0.01994496574117388,0.02,70.63847999999999,844811.3467706403,1817.05,0,1,1,0.6970431171577528,0,295674603684920560000,0,10277647711797900000,0,(((((((4)*(8))*((3)*(4)))*(((0)+(7))+((2)*(4))))-((((4)+(x))+((2)-(0)))-(((8)+(0))+((6)+(8)))))+(((((1)+(0))-((3)-(7)))-(((x)-(x))-((7)-(7))))-((((4)+(8))*((3)*(4)))-(((6)*(2))*((7)*(1))))))*(((((8)*((x)*(5)))*(((1)*(7))*((8)*(8))))*((((6)*(5))*((3)*(x)))*(((7)-(3))+((9)*(1)))))*(((((x)*(2))+((4)*(2)))*(((x)+(6))+((7)+(x))))*((((3)*(3))*((3)*(1)))*(((8)*(1))*((6)+((0)+(2)))))))),((0)+(x)),ReplaceBranchR|MutateTerminalR|AddToLeafR|AddTreeWithAdd|DeleteMaliciousR|AddTreeWithSub|MutateNonTerminalR|AddTreeWithMult|AddToLeafR|AddTreeWithSub|AddTreeWithMult|AddTreeWithMult|ReplaceBranchR|AddRandomSubTreeR|DeleteTerminalR,MultXD|AddTreeWithDiv|SubXD|MultXD|FellTreeD|FellTreeD|DivXD|AddTreeWithDiv|AddXD|AddXD|SkipD|FellTreeD|SkipD|AddXD|SkipD,AddTreeWithMult,FellTreeD,1,1,2,2,1
2,(x),20,-10,0.008549792846771525,0.014939890980358144,0.019999956132661298,0.02,29038.24933,41470965065.15719,2279600.335,0,1,1,0.7131615597548386,0,90223429855002700000000,0,9022342560974752000000000,0,(((((((x)+(3))+((5)*(8)))*(((4)*(x))*((4)*(1))))*((((x)*(3))+((4)*(5)))+(((2)*(5))*((7)*((9)*(x))))))*(((((5)*(7))*((9)*(6)))-(((8)-(4))-((1)-((5)-(1)))))-((((x)-(6))*((8)*(2)))*(((8)*(4))*((3)*((7)*(9)))))))*((((((8)*(2))*((8)*(7)))*(((9)*(3))*((x)-(x))))+((((7)-(x))*((1)-(8)))-(((0)-(3))*((5)+((5)*(x))))))-(((((9)*(0))*((6)-(9)))*(((4)*(x))-((0)-(3))))-((((5)-(5))*((8)*(5)))*(((2)*(3))*((8)+((3)-((5)-(8))))))))),(((0)+((x)-(x)))*((x)+(x))),AddRandomSubTreeR|MutateTerminalR|AddTreeWithSub|ReplaceBranchXR|AddTreeWithMult|MutateNonTerminalR|MutateTerminalR|ReplaceBranchXR|ReplaceBranchR|DeleteTerminalR|AddTreeWithMult|AddTreeWithMult|ReplaceBranchXR|AddTreeWithSub|AddTreeWithMult,MultXD|AddXD|MultXD|AddXD|AddXD|DivXD|MultXD|FellTreeD|SubXD|FellTreeD|FellTreeD|AddXD|SubXD|MultXD|AddXD,AddTreeWithMult,AddXD,2,2,3,3,1
3,(x),20,-10,0.0021488015201191393,0.009703632831096369,0.01999982963955401,0.02,8133.509760000002,1523651363985283000,586990.715,0,1,1,0.7037200991555483,0,1222659897838064000000,0,7144651837361226000000,0,((((((0)+((4)*(9)))*(((2)*(8))*((2)*(4))))*((((8)*(x))*((x)*(x)))*(((4)*(4))*((5)*(3)))))*((((x)*((9)*(3)))*(((1)*(8))*((4)*(7))))*((((1)+(0))+((x)*(6)))*(((x)*(9))+((2)-(6))))))-(((((1)-((3)-(6)))-(((2)-(1))-((4)-(7))))+(((6)+((0)*(3)))+(((6)+(5))+((8)-(0)))))+((((6)*((5)-(3)))*(((8)*(4))-((3)+(8))))*((((7)*(9))*((9)*(9)))+(((x)*(2))+((2)*((9)*(7)))))))),(((((((4)*(7))-((2)-(5)))*(((4)-(0))+((4)*((2)/(7)))))/((((4)/(1))/((8)/((0)/(0))))/(((7)*(8))+((5)-((x)-(1))))))+(((((6)-(8))*((5)+((2)+(x))))+(((3)*(3))*((9)*((9)-(6)))))-((((1)*(6))-((7)-((4)-(8))))-(((4)-(4))+((2)-((8)+(x)))))))*((((((1)-(0))-((3)-(5)))-(((0)-(5))-((0)/((9)/(0)))))/((((2)/(2))/((1)/((2)/(9))))-(((7)/(9))/((3)/((5)/(9))))))/(((((3)/(6))/((0)*(9)))*(((7)+(3))-((4)-((x)-(5)))))/((((x)+(x))/((x)*((x)/(x))))*(((x)+(x))-((x)-((x)-((x)+(x))))))))),AddRandomSubTreeR|MutateTerminalR|AddToLeafR|ReplaceBranchXR|AddToLeafR|AddRandomSubTreeR|MutateTerminalR|ReplaceBranchXR|ReplaceBranchR|DeleteTerminalR|AddTreeWithMult|AddTreeWithMult|ReplaceBranchXR|AddTreeWithSub|AddTreeWithMult,AddTreeWithDiv|MultXD|AddTreeWithDiv|AddXD|AddTreeWithDiv|SubXD|DivXD|MultXD|DivXD|MultXD|MultXD|AddXD|FellTreeD|SkipD|AddXD,ReplaceBranchXR,MultXD,3,3,4,4,1
4,(x),20,-10,0.012152343200631403,0.00177636752885006,0.019999976817595255,0.02,79242.81006999999,42631172493353.33,4313616.344,0,1,1,0.3985617486281845,0,159188070631711320000000,0,573626936460583000000,0,(((((((x)+(x))-((5)+(6)))+(((1)+(x))+((3)+(6))))+((((3)-(5))-((4)*(x)))+(((x)*(8))-((4)-(0)))))-(((((5)-(x))-((3)-(4)))*(((9)*(5))*((7)*(9))))*((((5)*(8))*((8)*(4)))*(((5)*(6))*((1)*((4)*(3)))))))*(((((6)*((6)*(5)))*(((2)*(6))*((6)*(5))))*((((3)-(2))-((8)-(1)))+(((5)+(x))+((3)-(2)))))+(((((0)*(4))*((1)+(0)))*(((3)+(3))*((8)-(5))))*((((x)*(5))*((9)*(5)))*(((3)*(5))*((x)+((8)-(7)))))))),(((0)+((x)-(x)))*((x)+(x))),AddRandomSubTreeR|MutateTerminalR|ReplaceBranchXR|ReplaceBranchXR|AddTreeWithSub|AddRandomSubTreeR|ReplaceBranchXR|AddTreeWithAdd|AddToLeafR|AddTreeWithSub|AddTreeWithMult|AddTreeWithMult|AddTreeWithMult|AddTreeWithMult|AddToLeafR,SkipD|AddTreeWithDiv|DivXD|AddXD|DivXD|DivXD|MultXD|FellTreeD|SubXD|FellTreeD|FellTreeD|AddXD|SubXD|MultXD|AddXD,AddTreeWithMult,AddXD,4,4,5,5,1
5,(x),20,-10,0.013300983433089712,0.01881501716427359,0.019999946188585107,0.02,41452.207010000006,4574260294124.396,1858341.77,0,1,1,0.6366860310639638,0,235480062088777340000000,0,23548006046206487000000000,0,(((((((x)+(2))+((2)+(7)))+(((5)-(6))+((3)*((8)*(1)))))*((((8)*(7))*((2)*((6)*(6))))+(((5)+(6))*((0)+((3)-(x))))))*(((((3)*(7))*((1)*((9)-(5))))*(((6)-(4))-((6)-((x)-(x)))))-((((x)-(4))-((0)*((3)*(3))))*(((5)*(1))*((4)*((2)*(4)))))))*((((((x)*(1))*((8)*(8)))*(((6)*(6))*((7)*((5)*(6)))))*((((2)+(8))*((x)*((9)*(6))))-(((7)*(4))*((3)*((0)+(5))))))+(((((x)-(x))*((1)-(8)))-(((5)*(7))+((7)+((x)+(x)))))*((((5)+(5))+((7)*((4)*(8))))*(((0)-(3))-((1)-((4)-((9)*(9))))))))),((0)*((x)+(x))),AddRandomSubTreeR|AddRandomSubTreeR|AddRandomSubTreeR|ReplaceBranchXR|AddTreeWithMult|MutateNonTerminalR|MutateTerminalR|AddTreeWithSub|ReplaceBranchXR|MutateNonTerminalR|AddTreeWithMult|AddTreeWithMult|ReplaceBranchXR|AddTreeWithSub|AddTreeWithMult,FellTreeD|MultXD|DivXD|FellTreeD|SubXD|AddTreeWithDiv|DivXD|AddTreeWithDiv|AddXD|SubXD|AddTreeWithDiv|SkipD|FellTreeD|MultXD|AddXD,AddTreeWithMult,FellTreeD,5,5,6,6,1
6,(x),20,-10,0.011997337140039865,0.002800005794983795,0.01999999508910778,0.02,490312.6784999999,613661320532.6296,20362898.538,0,1,1,0.5012440353086289,0,860242473135669500000000,0,172204948151864920000,0,(((((((x)*(1))*((2)*((8)+(0))))*(((3)*((5)+(1)))+((5)*((6)+(9)))))*((((9)*((5)*(4)))*((1)-((6)*(5))))*(((0)-((9)*(6)))*((x)-((6)*(5))))))*(((((7)*((4)*(8)))*((8)*((1)*(x))))*(((3)*((2)*(4)))+((1)+((2)*(6)))))*((((2)*((4)*(1)))*((4)*((2)*(4))))+(((0)+((8)*(4)))+((3)*((7)-(1)))))))-((((((x)-(2))-((1)-((6)-(x))))-(((5)-((8)-(7)))+((4)+((2)+(x)))))+((((6)+(8))-((x)+((5)*(5))))*(((9)*((1)*(4)))*((x)*((3)*(5))))))-(((((8)-(3))+((3)*((5)-(3))))-(((4)*((9)*(2)))*((x)-((7)*(1)))))*((((8)*((9)*(4)))+((0)*((3)-(0))))*(((x)*((1)*(4)))*((5)*((1)*((7)*(x))))))))),((0)+(x)),ReplaceBranchR|AddTreeWithAdd|AddToLeafR|ReplaceBranchXR|AddToLeafR|AddRandomSubTreeR|MutateTerminalR|AddTreeWithMult|AddToLeafR|AddToLeafR|AddTreeWithMult|AddTreeWithMult|ReplaceBranchR|AddTreeWithSub|AddTreeWithMult,AddTreeWithDiv|AddTreeWithDiv|DivXD|DivXD|AddTreeWithDiv|AddTreeWithDiv|DivXD|AddXD|DivXD|AddTreeWithDiv|SkipD|FellTreeD|SkipD|AddXD|SkipD,AddTreeWithMult,AddTreeWithDiv,6,6,7,7,1
7,(x),20,-10,0.014857786573278462,0.006400837230415607,0.019999999720807196,0.02,3955280.421409999,3599534942753.176,358175421.635,0,1,1,0.5998637094338298,0,556060598486363700000000000,0,4007162090901291000,0,(((((((x)+(8))*((x)*(8)))+(((4)*(1))*((7)+((7)+(9)))))+((((0)+(x))*((3)*(3)))*(((2)*(x))*((4)*((2)*(3))))))+(((((5)+(1))+((0)*(9)))*(((4)*(6))*((3)*((5)-(3)))))-((((5)*(9))*((1)+(x)))-(((7)+(5))-((8)*((3)+(3)))))))-((((((0)-(4))*((5)*(5)))*(((1)*(2))*((8)*(x))))*((((7)*(4))*((2)*(1)))*(((1)*(9))*((x)*((7)*(5))))))-(((((7)-(9))+((8)+(2)))-(((3)-(9))-((x)-((6)*(6)))))-((((3)*(6))+((5)*(2)))-(((6)+(9))-((4)+((0)+((0)-(0))))))))),((0)+(x)),DeleteMaliciousR|MutateTerminalR|AddToLeafR|ReplaceBranchXR|AddToLeafR|AddRandomSubTreeR|ReplaceBranchXR|AddToLeafR|AddRandomSubTreeR|AddRandomSubTreeR|AddTreeWithMult|AddTreeWithMult|AddTreeWithAdd|AddTreeWithMult|AddTreeWithMult,FellTreeD|MultXD|DivXD|MultXD|AddTreeWithDiv|DivXD|SubXD|FellTreeD|SubXD|AddXD|AddTreeWithDiv|SkipD|FellTreeD|SkipD|AddXD,AddTreeWithMult,FellTreeD,7,6,8,8,1
8,(x),20,-10,0.017012052145068002,0.009229917846289624,0.019999999389405488,0.02,2957665.5359500004,275670680242.6884,163774809.67,0,1,1,0.5914263841761347,0,400831692458568500000000,0,40083120655112170000000000,0,(((((((x)*(2))*((1)*(x)))*(((6)*(5))+((6)*(4))))*((((6)-(4))+((2)*(9)))*(((6)*(x))*((5)*(7)))))*(((((7)*(1))*((9)*(8)))*(((x)*(8))*((0)-(5))))-((((7)-(0))-((9)-(9)))-(((7)-(x))*((1)*(4))))))*(((((2)*((6)*(1)))+(((6)-(9))-((x)*(3))))*((((3)*(7))-((x)*(5)))*(((3)*(7))*((3)*(4)))))*(((((9)*(8))*((8)*(4)))+(((0)+(x))+((5)+(1))))*((((8)-(6))*((4)-(2)))+(((1)-(4))-((0)*((6)*(6)))))))),((0)+(x)),AddToLeafR|AddTreeWithAdd|AddTreeWithSub|ReplaceBranchXR|ReplaceBranchR|AddRandomSubTreeR|ReplaceBranchXR|AddToLeafR|ReplaceBranchR|AddToLeafR|AddTreeWithMult|AddTreeWithMult|ReplaceBranchR|AddTreeWithSub|AddTreeWithMult,MultXD|AddXD|DivXD|MultXD|AddTreeWithDiv|FellTreeD|MultXD|AddXD|FellTreeD|FellTreeD|SkipD|MultXD|FellTreeD|SkipD|AddXD,AddToLeafR,MultXD,8,7,9,9,1
9,(x),20,-10,0.01592512447585865,-0.01701492537313433,0.019999999998274624,-0.01701492537313433,598716232.48774,0.67,57958300052.675995,0.67,1,1,0.521446268405288,0,1721883145105748200000000,0,172176377256169220000000000,0,(((((((3)+(9))*((2)*((2)+(4))))*(((x)+(2))*((7)-((3)*(7)))))-((((2)+(2))*((x)*((6)*(2))))+(((x)+(3))*((3)+((7)*(8))))))*(((((2)-(1))-((9)-((5)+(8))))+(((9)+(1))*((8)*((1)*(7)))))*((((9)*(3))*((x)*((9)+(0))))-(((6)*(8))+((5)+((5)+(2)))))))+((((((4)*(x))-((4)+(8)))+(((6)-(2))-((7)*((1)*(9)))))*((((x)+(9))*((5)*((6)*(x))))*(((3)*(3))*((6)*((x)*(6))))))-(((((0)+(0))-((4)+((5)*(6))))*(((3)*(5))+((5)*((3)*(5)))))-((((0)-(4))*((9)+((0)*(8))))*(((x)*(9))*((x)*((5)*((8)*(1))))))))),((0)*((x)+(x))),DeleteMaliciousR|MutateTerminalR|AddToLeafR|ReplaceBranchXR|AddToLeafR|AddRandomSubTreeR|ReplaceBranchXR|AddTreeWithMult|AddToLeafR|AddToLeafR|AddToLeafR|AddTreeWithMult|AddTreeWithMult|AddToLeafR|MutateNonTerminalR,AddTreeWithDiv|AddTreeWithDiv|DivXD|AddXD|DivXD|FellTreeD|SubXD|AddTreeWithDiv|AddTreeWithDiv|AddXD|AddTreeWithDiv|SkipD|FellTreeD|MultXD|AddXD,AddToLeafR,AddTreeWithDiv,9,8,10,10,1
10,(x),20,-10,0.016693232976387175,0.017800039552736662,0.01999999998989857,0.02,191962365.3339,81898.01279649632,9899587430.228,0,1,1,0.5309165036880737,0,362632102017586950000000,0,10520455029311324000,0,((((((2)*((3)*(x)))*(((7)+(x))+((9)+(8))))+((((9)+(8))+((8)+(8)))*(((4)*(6))*((2)*(2)))))+(((((3)-(8))+((6)*(2)))*(((2)*(3))*((5)-(2))))-((((9)-(6))-((8)-(8)))-(((8)-(5))*((5)*(5))))))*(((((8)*((4)*(7)))+(((6)*(9))*((x)*(x))))*(((3)*((4)*(x)))-(((9)-(6))+((7)-(2)))))*((((x)-((8)+(1)))*(((7)*(3))+((3)*(9))))-((((2)*(9))*((1)*(4)))*(((6)-(5))+((x)*((0)-(3)))))))),((0)*((x)+(x))),AddToLeafR|MutateTerminalR|ReplaceBranchXR|ReplaceBranchXR|AddToLeafR|AddRandomSubTreeR|ReplaceBranchXR|AddTreeWithMult|AddTreeWithSub|MutateTerminalR|AddRandomSubTreeR|AddTreeWithMult|AddTreeWithMult|AddToLeafR|AddTreeWithAdd,MultXD|MultXD|DivXD|MultXD|AddTreeWithDiv|DivXD|SubXD|DivXD|AddTreeWithDiv|FellTreeD|MultXD|SkipD|FellTreeD|MultXD|AddXD,AddToLeafR,MultXD,10,9,11,11,1
