gen,specEquation,range,seed,AGenFitAvg,PGenFitAvg,AGenBestFitAvg,PGenBestFitAvg,AGenDeltaAvg,PGenDeltaAvg,AGenBestDeltaAvg,PGenBestDeltaAvg,topABestFit,topPBestFit,topAStdDev,topPStdDev,topAAvgDelta,topPAvgtDelta,topABestDelta,topPBestDelta,topAEquation,topPEquation,topAStrat,topPStrat,topADomStrat,topPDomStrat,topABirthGen,topPBirthGen,topAAge,topPAge,run
0,(x),20,-10,-0.005519651472644127,0.01693657264414338,0.019970663457640085,0.02,96.68653,12596162262248.46,3408.718,0,1,1,0.8978456779325178,0,587992416163905100000000000,0,58799202971242760000000000000,0,((((((9)*((5)*(3)))*(((7)+(5))*((8)*(1))))*(((9)*((8)*(5)))-(((1)*(x))+((2)-(8)))))+((((9)-((4)*(1)))*(((3)*(9))*((3)*(2))))*(((0)-((6)*(2)))*(((6)*(1))*((8)*(3))))))*(((((x)*((2)*(9)))*((4)+((0)+(6))))+(((5)*((5)*(7)))*(((3)*(7))*((9)*(9)))))*((((4)*((8)*(8)))*(((5)*(9))*((x)-(5))))*(((2)*((8)*(8)))*(((8)*(7))*((8)*((3)*(x)))))))),((0)+(x)),MutateNonTerminalR|AddTreeWithMult|MutateNonTerminalR|AddToLeafR|DeleteNonTerminalR|AddTreeWithMult|AddTreeWithMult|AddTreeWithMult|MutateNonTerminalR|AddTreeWithMult|ReplaceBranchXR|DeleteTerminalR|AddTreeWithMult|MutateNonTerminalR|AddToLeafR,AddTreeWithDiv|AddXD|SubXD|AddXD|SubXD|AddTreeWithDiv|SkipD|SkipD|AddXD|SubXD|AddTreeWithDiv|SubXD|DivXD|FellTreeD|AddXD,AddTreeWithMult,AddXD,0,0,1,1,2
1,(x),20,-10,0.004518483379707973,0.00040252850591214473,0.019992313557654465,0.02,389.28772000000004,499088921122561.1,13009.92,0,1,1,0.7216177885621009,0,6126858925798886000000000,0,612685891951425400000000000,0,(((((((3)+(3))+((0)+(3)))+(((x)+(0))+((4)+(9))))*((((5)-(6))+((9)+(1)))-(((9)*(6))+((7)*((0)-(7))))))+(((((9)*(8))*((x)*(7)))*(((7)*(4))*((x)*((3)*(8)))))*((((4)*(6))+((x)+(9)))+(((4)+(0))+((9)+((3)+(5)))))))*((((((7)*(5))*((4)*(2)))*(((x)*(2))+((2)+(8))))-((((5)*(3))*((9)+(7)))-(((7)*(5))*((8)*((5)*(5))))))*(((((9)*(3))*((6)*(6)))*(((9)*(8))*((6)+(5))))*((((7)+(7))+((6)+(2)))+(((7)+(7))*((9)+((6)+((x)*(x))))))))),(((0)*(x))/((x)+(x))),MutateNonTerminalR|DeleteMaliciousR|ReplaceBranchXR|DeleteTerminalR|MutateTerminalR|AddTreeWithAdd|AddTreeWithMult|ReplaceBranchR|AddTreeWithMult|AddToLeafR|AddTreeWithMult|AddTreeWithMult|AddToLeafR|DeleteTerminalR|AddTreeWithAdd,MultXD|SubXD|AddTreeWithDiv|SubXD|DivXD|SubXD|DivXD|FellTreeD|SkipD|SkipD|SkipD|SkipD|MultXD|DivXD|AddXD,AddTreeWithMult,SkipD,1,1,2,2,2
2,(x),20,-10,0.009096708426374755,0.012896923577419965,0.019999374199648284,0.02,3078.0631799999996,630283131605.0242,159795.372,0,1,1,0.7723579934191664,0,1709834456845330700000,0,170983060586039570000000,0,(((((((9)-(1))+((1)-(7)))-(((1)*(3))+((x)+((1)+(2)))))-((((6)-(x))-((x)*((8)*(2))))*(((6)*(x))*((2)-((5)-(0))))))-(((((1)-(8))-((7)-(3)))-(((x)-(6))-((0)-((3)+(4)))))-((((4)-(8))-((6)-((9)-(8))))-(((2)-(7))*((0)+((4)*(9)))))))*((((((1)-(9))*((9)*(6)))*(((7)*(4))*((2)*((5)*(9)))))*((((7)*(3))*((9)*(x)))-(((0)-(x))+((0)*((3)+(0))))))-(((((7)-(6))*((5)+(2)))-(((1)-(5))-((3)*((6)*(9)))))*((((9)*(8))*((4)*((8)*(6))))*(((5)-(8))*((9)-((7)*((4)*(x))))))))),((0)/((x)+(x))),AddToLeafR|AddRandomSubTreeR|AddTreeWithSub|AddTreeWithMult|DeleteMaliciousR|ReplaceBranchR|AddTreeWithSub|AddTreeWithMult|AddTreeWithMult|AddToLeafR|AddTreeWithSub|AddToLeafR|MutateNonTerminalR|MutateNonTerminalR|DeleteTerminalR,DivXD|AddTreeWithDiv|MultXD|DivXD|SubXD|FellTreeD|AddTreeWithDiv|AddXD|DivXD|SkipD|SkipD|DivXD|FellTreeD|DivXD|AddXD,AddToLeafR,DivXD,2,2,3,3,2
3,(x),20,-10,0.0084074864415963,0.013510749067900856,0.019999872680304537,0.02,9566.53695,18405674900094.76,785424.436,0,1,1,0.7002422070093852,0,5996889452438958000,0,599677749958765800000,0,((((((5)*((6)*(9)))*(((9)*(2))*((9)*(3))))*((((7)*(8))*((5)*(7)))*(((7)*(3))*((9)-(0)))))*((((8)*((x)-(8)))*(((0)+(6))*((1)-(6))))+((((8)+(4))+((4)+(0)))+(((1)+(3))+((1)-(9))))))-(((((3)*((7)*(8)))+(((5)+(1))*((4)+(5))))+(((7)-((9)-(x)))-(((6)-(1))-((2)-(x)))))*((((6)*((0)+(7)))*(((7)*(8))*((4)+(4))))+((((6)+(7))+((x)+(0)))+(((6)*(4))+((3)-((6)*(4)))))))),((0)+(x)),ReplaceBranchR|AddTreeWithAdd|MutateTerminalR|ReplaceBranchR|AddTreeWithMult|ReplaceBranchXR|AddToLeafR|AddTreeWithAdd|DeleteMaliciousR|AddTreeWithAdd|DeleteTerminalR|AddTreeWithMult|AddTreeWithSub|ReplaceBranchXR|MutateNonTerminalR,MultXD|AddXD|AddTreeWithDiv|SubXD|FellTreeD|AddXD|MultXD|AddTreeWithDiv|FellTreeD|AddTreeWithDiv|FellTreeD|MultXD|AddTreeWithDiv|FellTreeD|AddXD,AddTreeWithAdd,FellTreeD,1,3,4,4,2
4,(x),20,-10,0.009497754235028582,0.019200000004481754,0.019999926184547715,0.02,19130.819529999997,5529023.56224031,1354729.896,0,1,1,0.6157453235112856,0,326392395846829340000,0,32638737694877690000000,0,(((((((9)-(8))+((7)*(2)))*(((2)*(9))*((4)*(x))))*((((4)*(x))-((x)-(4)))-(((x)-(8))*((1)-((3)-(1))))))*(((((7)*(6))*((6)*(4)))*(((2)*(6))*((5)*((8)*(9)))))*((((3)*(9))*((4)*(7)))*(((x)*(4))*((6)*((0)+(4)))))))+((((((x)+(0))+((5)+(0)))+(((8)+(9))+((4)-(1))))+((((9)*(8))-((8)-(3)))-(((4)*(x))+((5)+((x)-(6))))))*(((((0)*(1))+((x)-(2)))-(((2)+(8))*((8)*(2))))-((((1)+(8))-((1)-(9)))-(((6)+(6))*((x)*((0)+((4)*(5))))))))),((0)+(x)),ReplaceBranchR|AddTreeWithAdd|MutateTerminalR|ReplaceBranchR|AddTreeWithMult|AddTreeWithMult|AddToLeafR|AddToLeafR|MutateTerminalR|AddTreeWithSub|MutateNonTerminalR|AddTreeWithMult|AddToLeafR|AddTreeWithAdd|MutateNonTerminalR,AddXD|AddTreeWithDiv|SkipD|SkipD|AddTreeWithDiv|MultXD|AddXD|AddTreeWithDiv|SubXD|AddXD|AddTreeWithDiv|SubXD|DivXD|FellTreeD|AddXD,AddTreeWithMult,AddXD,4,3,5,5,2
5,(x),20,-10,0.008488151004017154,0.016145701950619543,0.019999994539648937,0.02,316994.88971,472.45145083525097,18313840.79,0,1,1,0.35242743444059826,0,11580222167583280000,0,1158022072394140400000,0,(((((((x)+(9))-((2)*((7)-(7))))*(((0)-(4))*((6)-((2)*(x)))))-((((x)*(x))-((6)*((x)*(5))))+(((x)+((5)-(5)))+((x)+((3)*(7))))))*(((((8)*(7))*((7)*((2)*(9))))*(((1)*(6))*((8)+((7)*(8)))))*((((x)*(6))+((8)-((5)-(6))))-(((9)+((7)*(5)))+((2)+((8)-(4)))))))-((((((4)+(6))*((8)*((5)*(9))))+(((9)*(4))+((3)-((4)-(1)))))*((((7)+(3))+((1)*((6)+(0))))-(((0)+(9))+((2)*((7)*(4))))))*(((((6)+(3))+((9)+((1)+(x))))+(((2)+(9))+((9)+((9)+(2)))))+((((8)+(5))+((x)*((3)-(8))))+(((1)+((7)+(0)))+((6)+((9)+((8)+(6))))))))),((0)/((x)+(x))),AddRandomSubTreeR|MutateNonTerminalR|AddToLeafR|AddToLeafR|AddTreeWithAdd|ReplaceBranchR|AddToLeafR|AddToLeafR|MutateTerminalR|ReplaceBranchXR|ReplaceBranchXR|AddTreeWithMult|AddTreeWithAdd|AddTreeWithAdd|AddToLeafR,FellTreeD|AddTreeWithDiv|AddXD|SubXD|FellTreeD|AddTreeWithDiv|FellTreeD|FellTreeD|SkipD|SkipD|SkipD|SkipD|FellTreeD|DivXD|AddXD,AddToLeafR,FellTreeD,5,4,6,6,2
6,(x),20,-10,0.012702648508586085,0.007458922506949644,0.01999999970418144,0.02,3673301.01555,20.587744541788144,338045053.238,0,1,1,0.8191027357751001,0,4162745581608877700000,0,9257979970116479000,0,(((((((1)+(0))+((6)+((4)+(1))))*(((6)*(9))*((6)*((9)*(7)))))*((((8)*(2))-((3)-((9)-(9))))-(((4)*(3))*((x)*((1)*(5))))))*(((((3)*(4))*((9)-((0)-(8))))-(((2)+(7))+((x)*((4)*(2)))))+((((6)+(5))-((8)+((1)*(2))))*(((0)-((0)-(0)))*((1)+((8)*(9)))))))*((((((5)+(1))+((8)*((2)+(x))))*(((5)*(9))-((0)*((5)+(7)))))*((((0)-(0))*((9)-((0)*(1))))+(((9)*(7))+((7)+((3)-(5))))))+(((((4)+(1))*((9)*((8)*(7))))*(((9)*(1))+((x)+((4)+(5)))))*((((3)+(0))*((x)+((3)*(3))))-(((7)*(0))*((x)+((2)+((4)*(8))))))))),((0)/((x)+(x))),AddTreeWithMult|MutateNonTerminalR|AddTreeWithAdd|ReplaceBranchR|AddTreeWithAdd|AddTreeWithMult|AddToLeafR|AddToLeafR|MutateTerminalR|AddTreeWithSub|MutateNonTerminalR|AddTreeWithMult|AddToLeafR|AddToLeafR|AddRandomSubTreeR,AddTreeWithDiv|AddTreeWithDiv|SkipD|SkipD|MultXD|AddXD|MultXD|AddTreeWithDiv|SubXD|SkipD|SkipD|DivXD|FellTreeD|DivXD|AddXD,AddToLeafR,SkipD,6,5,7,7,2
7,(x),20,-10,0.01626886871533468,0.017200188946543255,0.019999999896712972,0.02,13621436.9453,66716199533.01298,968175786.161,0,1,1,0.6873040220223093,0,2060397695048987400000,0,4544707928973104000,0,(((((((2)-(2))+((4)+((8)*(5))))+(((6)+(0))-((4)-((3)+(2)))))+((((4)-(3))-((2)*((7)+(7))))+(((6)+((1)+(5)))+((7)-((1)+(6))))))+(((((4)+(5))+((2)+((1)+(2))))+(((4)*((0)-(3)))*((0)+((6)*(9)))))*((((x)-(5))*((x)+((x)*(6))))+(((4)-((4)-(6)))-((4)*((x)*(0)))))))+((((((6)+(6))*((8)+((7)+(5))))+(((1)+(5))*((2)*((6)*(9)))))+((((7)-(6))+((0)*((7)+(1))))-(((3)*(4))*((2)*((2)*(4))))))*(((((8)*(9))*((x)*((9)*(3))))*(((6)+(0))+((4)-((2)*(2)))))+((((6)*(9))+((6)+((3)+(4))))+(((3)+((2)+(0)))+((4)+((3)+((4)-(7))))))))),((0)/((x)+(x))),ReplaceBranchR|AddToLeafR|AddRandomSubTreeR|AddTreeWithMult|AddTreeWithAdd|AddTreeWithMult|AddToLeafR|AddToLeafR|MutateTerminalR|DeleteTerminalR|AddToLeafR|AddTreeWithAdd|MutateNonTerminalR|AddTreeWithAdd|AddToLeafR,AddTreeWithDiv|AddXD|AddXD|SubXD|SubXD|AddTreeWithDiv|SkipD|SkipD|AddXD|SkipD|SkipD|DivXD|FellTreeD|DivXD|AddXD,AddToLeafR,AddXD,7,6,8,8,2
8,(x),20,-10,0.015873936752094944,0.02,0.019999999106398606,0.02,1562507.6003299998,0,111906719.093,0,1,1,0.6355308205573753,0,13888002525685367000000,0,374039426693428800000,0,(((((((7)-(1))*((x)+(1)))*(((4)*(3))-((8)+((2)*(3)))))+((((5)+(6))-((1)*((9)*(5))))-(((3)-(x))*((8)*((8)+(3))))))*(((((8)+(6))*((0)+(1)))*(((2)*(8))*((x)+((2)+(6)))))+((((3)+(4))+((3)+((6)+(8))))+(((9)*(2))+((x)+((1)-(9)))))))+((((((9)*(8))*((0)*(5)))*(((6)*(1))*((9)+((1)*(4)))))*((((9)*(x))-((7)-(5)))+(((9)*(3))-((x)-((6)*(9))))))-(((((7)-(7))*((3)-(1)))-(((2)-(1))-((9)*((6)*(x)))))*((((7)*(1))*((7)*((9)*(9))))-(((9)-(2))+((1)+((6)-((3)*(6))))))))),((0)+(x)),ReplaceBranchR|MutateNonTerminalR|AddToLeafR|AddToLeafR|AddToLeafR|ReplaceBranchR|AddToLeafR|AddToLeafR|MutateTerminalR|AddTreeWithSub|MutateNonTerminalR|AddTreeWithMult|AddToLeafR|AddTreeWithAdd|MutateNonTerminalR,AddTreeWithDiv|AddXD|SubXD|AddXD|MultXD|SubXD|FellTreeD|SkipD|AddTreeWithDiv|SubXD|FellTreeD|DivXD|DivXD|FellTreeD|AddXD,AddToLeafR,SubXD,8,7,9,9,2
9,(x),20,-10,0.012086155839293327,0.015601230439844493,0.019999997790780055,0.02,1022446.1447700001,127440.63228333207,45264845.678,0,1,1,0.4201848655114603,0,24547364611171586000,0,2454532407808625000000,0,(((((((5)+(6))*((8)+((2)-(3))))-(((2)+((1)+(8)))+((8)*((0)+(2)))))*((((4)-((5)+(x)))*((1)+((1)*(4))))+(((8)*((4)+(2)))-((3)*((x)*(5))))))-(((((x)*(2))+((1)+((x)+(9))))+(((3)+((3)+(9)))+((7)*((5)-(7)))))-((((5)+((7)-(6)))*((9)-((6)*(9))))-(((8)-((7)-(1)))-((2)*((5)*(2)))))))+((((((0)+(9))+((2)+((3)+(4))))+(((1)+((5)+(x)))-((x)+((6)*(7)))))+((((1)+(5))+((9)-((x)*(4))))+(((3)-((1)*(x)))*((7)*((4)*(8))))))*(((((4)*(3))*((8)*((8)*(7))))*(((6)+((8)-(4)))-((0)-((5)+(0)))))*((((8)*(5))-((3)*((0)+(1))))+(((x)-((1)-(0)))+((x)*((2)+((6)*(x))))))))),((0)+(x)),AddTreeWithAdd|MutateNonTerminalR|AddToLeafR|AddToLeafR|AddToLeafR|AddToLeafR|AddToLeafR|ReplaceBranchR|AddRandomSubTreeR|AddToLeafR|AddToLeafR|AddTreeWithAdd|ReplaceBranchXR|AddTreeWithAdd|AddTreeWithMult,AddTreeWithDiv|AddXD|AddXD|SubXD|DivXD|AddXD|MultXD|AddTreeWithDiv|SubXD|SkipD|AddXD|SkipD|SubXD|FellTreeD|AddXD,AddToLeafR,AddXD,9,7,10,10,2
