gen,specEquation,range,seed,AGenFitAvg,PGenFitAvg,AGenBestFitAvg,PGenBestFitAvg,AGenDeltaAvg,PGenDeltaAvg,AGenBestDeltaAvg,PGenBestDeltaAvg,topABestFit,topPBestFit,topAStdDev,topPStdDev,topAAvgDelta,topPAvgtDelta,topABestDelta,topPBestDelta,topAEquation,topPEquation,topAStrat,topPStrat,topADomStrat,topPDomStrat,topABirthGen,topPBirthGen,topAAge,topPAge,run
0,(x),20,-10,-0.014412958249278579,0.010468593863645998,0.019932323876271803,0.02,19.49423,4365062487313484,1477.626,0,1,1,0.7364837990537794,0,920298593371271000,0,91908238222845430000,0,((((((x)+((7)-(5)))*((0)*((4)+(1))))+(((6)*((8)+(4)))*((8)*((5)*(x)))))+((((4)+((x)-(0)))*((7)*((6)*(4))))*(((7)*((6)*(x)))*((x)*((5)*(8))))))-(((((x)*(x))*((7)-((5)-(9))))+(((9)*((8)*(3)))*((2)*((5)*(1)))))*((((7)*((9)*(6)))*((4)*((3)*(9))))*(((x)*((4)+(x)))*((4)-((0)+((4)+(9)))))))),((0)+(x)),ReplaceBranchR|DeleteTerminalR|ReplaceBranchXR|ReplaceBranchXR|AddTreeWithMult|AddRandomSubTreeR|DeleteTerminalR|ReplaceBranchXR|ReplaceBranchR|DeleteTerminalR|AddToLeafR|ReplaceBranchXR|AddTreeWithMult|DeleteTerminalR|AddTreeWithMult,AddTreeWithDiv|SubXD|SubXD|SkipD|AddTreeWithDiv|AddTreeWithDiv|FellTreeD|SkipD|DivXD|DivXD|AddTreeWithDiv|AddXD|MultXD|FellTreeD|AddXD,DeleteTerminalR,AddTreeWithDiv,0,0,1,1,3
1,(x),20,-10,0.007408185587013365,0.010497479801426133,0.01999765946519997,0.02,1548.6503500000001,375008860289.1344,42725.278,0,0.9999999999999996,1,0.950177047030283,0,7244995379322527,0,645085345361063200,0,(((((((x)*(x))*((4)+(5)))+(((9)+(7))+((9)+(2))))+((((1)+(8))*((4)+(0)))*(((0)+(1))*((2)*(4)))))*(((((x)*(7))*((6)*(5)))*(((6)*(x))*((7)*(4))))-((((2)-(x))*((5)*(0)))-(((1)-(5))-((2)+((2)-(9)))))))-((((((0)-(9))-((x)*(x)))+(((8)+(9))+((x)+(8))))+((((7)+(7))+((x)*(5)))-(((3)*(7))+((7)+(5)))))-(((((1)+(2))+((4)+(1)))+(((4)+(6))+((6)+(9))))+((((2)*(8))+((1)*(4)))-(((5)*(6))*((3)*((x)*(2)))))))),((0)+(x)),AddTreeWithMult|AddTreeWithSub|MutateTerminalR|ReplaceBranchXR|AddTreeWithSub|AddToLeafR|AddTreeWithAdd|AddToLeafR|DeleteNonTerminalR|AddTreeWithAdd|DeleteNonTerminalR|AddTreeWithAdd|ReplaceBranchR|AddTreeWithMult|AddTreeWithAdd,AddXD|MultXD|SubXD|AddTreeWithDiv|MultXD|FellTreeD|AddTreeWithDiv|DivXD|SkipD|AddTreeWithDiv|SkipD|SubXD|SubXD|FellTreeD|AddXD,AddTreeWithAdd,SubXD,0,1,2,2,3
2,(x),20,-10,0.0034199054479960417,0.015734479518717356,0.019998076383872524,0.02,1345.0285800000001,2228509032759881,51985.424000000006,0,1,1,0.5444137450811202,0,8618956543757943000,0,861892459663348000000,0,(((((((7)+(1))+((5)*(1)))*(((3)*(7))*((9)*((3)*(8)))))*((((9)*(6))*((8)+(6)))*(((3)+(4))-((9)+((x)*(7))))))*(((((0)-(5))+((x)-(1)))*(((4)+(9))*((0)*((7)-(4)))))+((((6)*(8))*((5)*(7)))*(((4)*(2))*((3)*((2)-(0)))))))*((((((9)+(7))-((7)+(0)))*(((6)*(9))+((3)+(2))))+((((7)+(0))+((2)+(7)))+(((6)+(2))+((x)+((9)+(x))))))*(((((0)+(2))*((x)*(8)))*(((1)*(7))*((7)*((x)*(9)))))+((((8)*(9))*((1)-(4)))-(((5)*(9))*((9)+((4)*((6)*(2))))))))),((0)+(x)),DeleteTerminalR|ReplaceBranchR|AddToLeafR|ReplaceBranchXR|MutateNonTerminalR|AddToLeafR|ReplaceBranchR|DeleteTerminalR|AddTreeWithAdd|AddTreeWithMult|AddToLeafR|ReplaceBranchXR|AddTreeWithMult|DeleteTerminalR|AddTreeWithMult,DivXD|SkipD|FellTreeD|DivXD|SubXD|FellTreeD|AddTreeWithDiv|DivXD|SkipD|AddTreeWithDiv|SkipD|SubXD|SubXD|FellTreeD|AddXD,AddTreeWithMult,SkipD,2,2,3,3,3
3,(x),20,-10,0.008341884442463213,0.012400015930850715,0.01999960914538513,0.02,6004.69479,223724738.54287633,255849.608,0,1,1,0.7786059240537238,0,244344567928196800000,0,125515222830147910000,0,((((((6)*((5)-(9)))+((9)*((0)*(5))))+(((8)-((4)-(x)))*((7)*((x)*(5)))))-((((9)+((5)*(6)))+((6)-((8)*(3))))*(((6)*((7)*(8)))*(((8)*(5))*((7)*(8))))))*(((((2)*((8)*(5)))*((9)*((8)*(5))))*(((5)+((6)*(0)))+((5)+((5)-(2)))))+((((7)+((7)*(2)))+((4)*((8)*(8))))*(((3)*((8)*(6)))*((1)*((x)*((7)-(x)))))))),((0)+(x)),DeleteTerminalR|ReplaceBranchR|AddToLeafR|ReplaceBranchXR|AddTreeWithSub|ReplaceBranchR|DeleteNonTerminalR|AddToLeafR|DeleteTerminalR|DeleteMaliciousR|AddToLeafR|ReplaceBranchXR|AddTreeWithMult|DeleteTerminalR|AddTreeWithMult,DivXD|SkipD|FellTreeD|DivXD|AddTreeWithDiv|SkipD|AddTreeWithDiv|DivXD|SkipD|AddTreeWithDiv|SkipD|SubXD|SubXD|FellTreeD|AddXD,DeleteTerminalR,SkipD,2,3,4,4,3
4,(x),20,-10,0.00938403551739271,0.017200032545534795,0.019999802648991278,0.02,23793.552089999997,9394607.432847733,506711.37,0,1,1,0.6826542440862847,0,80294630999050910000,0,8029452000577237000000,0,(((((((x)+(x))-((9)-(1)))+(((6)*(3))*((7)-((9)+(5)))))*((((6)-(7))-((x)-(7)))+(((x)+(6))+((1)-((x)*(9))))))*(((((x)+(4))-((9)*(0)))-(((8)-(4))-((0)+((8)-(0)))))+((((0)*(9))*((1)-((5)*(1))))*(((3)-(4))*((6)*((0)-(7)))))))*((((((9)*(3))*((8)*(4)))*(((4)*(6))*((7)*((2)-(x)))))*((((9)*(x))+((3)*(x)))*(((1)*(8))-((0)*((0)-(6))))))*(((((3)*(6))*((x)*(4)))*(((6)*(3))*((6)*((9)*(7)))))*((((3)*(4))-((1)*(5)))+(((5)-(x))*((8)*((4)*((3)*(8))))))))),((0)+(x)),AddRandomSubTreeR|DeleteTerminalR|ReplaceBranchXR|MutateTerminalR|AddToLeafR|ReplaceBranchR|ReplaceBranchXR|ReplaceBranchXR|AddTreeWithMult|ReplaceBranchR|AddTreeWithMult|ReplaceBranchR|ReplaceBranchXR|ReplaceBranchXR|AddToLeafR,AddXD|DivXD|AddTreeWithDiv|DivXD|FellTreeD|AddXD|FellTreeD|SkipD|AddTreeWithDiv|AddTreeWithDiv|AddTreeWithDiv|DivXD|MultXD|FellTreeD|AddXD,ReplaceBranchXR,AddTreeWithDiv,4,4,5,5,3
5,(x),20,-10,0.0069526859481055196,0.01920002637119412,0.019999991452134786,0.02,122613.44071999998,27321.159425909,11698827.425999999,0,1,1,0.5113952226457723,0,45335984290070544000,0,4531402265476464600000,0,(((((((6)*(x))-((7)*(2)))-(((7)*(7))+((6)*((7)*(7)))))*((((x)*(x))*((8)*(7)))*(((8)*(5))-((6)-((2)*(5))))))-(((((0)*(0))*((x)*(9)))*(((6)*(7))+((9)+((4)+(9)))))+((((6)*(7))+((6)*(2)))+(((0)+(9))+((7)+((6)+(0)))))))+((((((0)+(7))*((2)*(1)))*(((9)*(x))*((5)*(5))))*((((6)+(7))+((7)+(6)))+(((1)+(x))+((1)+((9)*(3))))))+(((((9)*(2))-((7)-(7)))+(((9)*(9))+((4)*(9))))-((((x)+(x))*((2)-(2)))-(((0)+(3))*((3)+((4)+((8)*(9))))))))),((0)+(x)),DeleteNonTerminalR|MutateNonTerminalR|ReplaceBranchR|MutateTerminalR|AddToLeafR|AddToLeafR|AddToLeafR|AddTreeWithAdd|AddTreeWithMult|MutateNonTerminalR|AddTreeWithMult|AddRandomSubTreeR|MutateTerminalR|AddTreeWithAdd|AddRandomSubTreeR,DivXD|SkipD|FellTreeD|AddXD|AddXD|AddXD|SkipD|DivXD|SkipD|AddTreeWithDiv|SkipD|SubXD|SubXD|FellTreeD|AddXD,AddToLeafR,SkipD,5,4,6,6,3
6,(x),20,-10,0.014139159809956845,0.015983673595788946,0.01999999953880319,0.02,2294759.8415000006,0.11497040297033491,216827172.408,0,1,1,0.5299753995079605,0,93306018353108420000,0,9330600634649859000000,0,(((((((x)+(x))*((x)*((x)+(8))))*(((4)*((6)-(1)))-((8)*((1)*(9)))))*((((1)+((5)-(1)))-((2)-((4)-(4))))-(((6)-((4)-(8)))-((0)-((1)*(5))))))+(((((7)*((1)*(9)))*((4)*((1)*(1))))*(((4)*((9)*(8)))*((7)+((2)*(9)))))+((((0)+((9)*(4)))+((9)*((8)+(1))))*(((2)*((8)-(x)))+((8)*((9)-(4)))))))*((((((8)-(x))+((6)-((2)*(3))))+(((6)+((1)*(7)))+((0)*((9)*(x)))))-((((9)-((1)*(3)))+((4)+((x)*(x))))-(((7)*((7)-(6)))-((0)-((0)+(7))))))+(((((4)-(8))-((x)-((0)*(7))))+(((7)*((8)+(4)))-((0)+((3)+(6)))))+((((6)+((2)+(x)))*((2)+((2)*(7))))-(((5)*((2)-(6)))-((1)*((9)*((4)*(4))))))))),((0)+(x)),AddRandomSubTreeR|ReplaceBranchXR|AddTreeWithSub|DeleteMaliciousR|AddToLeafR|AddToLeafR|AddToLeafR|AddRandomSubTreeR|AddTreeWithAdd|AddTreeWithMult|AddToLeafR|AddRandomSubTreeR|ReplaceBranchXR|ReplaceBranchR|AddRandomSubTreeR,SubXD|AddXD|DivXD|AddTreeWithDiv|SkipD|DivXD|SubXD|DivXD|AddXD|AddXD|SkipD|AddXD|MultXD|FellTreeD|AddXD,AddRandomSubTreeR,AddXD,6,5,7,7,3
7,(x),20,-10,0.00892605352268335,0.016801763668590753,0.019999733602487173,0.02,9184.843050000001,301074334631.79987,375378.88,0,1,1,0.5188515091786954,0,984857625956377400000,0,98463619887877470000000,0,(((((((x)+(x))-((x)+((1)*(2))))*(((3)*(4))-((x)*((4)*(4)))))*((((6)+(2))*((7)*((9)*(3))))*(((8)*((2)*(5)))+((8)*((1)+(5))))))-(((((x)*(x))*((8)-((0)-(1))))-(((7)*((4)*(7)))*((7)*((4)*(6)))))*((((3)*(5))+((0)+((1)*(x))))-(((8)+((9)-(0)))+((6)*((9)+(3)))))))-((((((6)+(9))+((6)-((x)-(4))))+(((3)*(5))*((x)*((7)*(x)))))+((((7)+(2))-((9)*((3)+(8))))+(((8)*((3)-(6)))*((5)*((6)*(0))))))+(((((7)*(x))+((2)*((4)*(x))))*(((3)*(9))*((2)*((x)*(3)))))+((((9)+(8))+((5)+((4)+(5))))+(((3)-((4)*(6)))*((1)*((2)+((4)+(0))))))))),((0)+(x)),AddRandomSubTreeR|ReplaceBranchXR|AddToLeafR|ReplaceBranchXR|MutateNonTerminalR|AddToLeafR|ReplaceBranchR|AddToLeafR|AddToLeafR|AddToLeafR|ReplaceBranchR|AddTreeWithMult|AddTreeWithAdd|AddTreeWithMult|DeleteMaliciousR,AddXD|DivXD|AddTreeWithDiv|DivXD|FellTreeD|DivXD|SkipD|AddTreeWithDiv|DivXD|AddXD|AddTreeWithDiv|DivXD|MultXD|FellTreeD|AddXD,AddToLeafR,DivXD,7,6,8,8,3
8,(x),20,-10,0.017669993850244845,0,0.019999999932031564,0,15510832.492360003,0.1,1471271109.178,0.1,1,1,0.5146076573754242,0,83955413774230100000,0,3399248312985950000,0,(((((((x)+(0))*((0)*((9)-(9))))-(((7)*(8))+((x)+((0)-(4)))))*((((8)+(5))-((1)*((9)*(7))))*(((9)*((7)*(5)))*((8)*((1)+(0))))))*(((((x)*(3))+((4)-((5)-(x))))-(((0)+(5))*((8)*((6)*(7)))))*((((5)*(6))*((9)-((3)-(1))))+(((0)*((8)*(x)))+((4)*((x)-(7)))))))*((((((x)*(1))-((6)+((3)*(6))))-(((8)-(3))+((4)-((8)+(5)))))-((((9)*(x))-((2)-((2)-(7))))+(((x)+(2))*((6)*((1)*(1))))))*(((((5)*(5))*((1)*((8)*(6))))*(((3)*(3))*((x)*((8)+(0)))))+((((1)+(2))+((2)+((6)+(6))))+(((3)-(5))-((2)-((3)+((x)+(8))))))))),((0)+(x)),ReplaceBranchXR|ReplaceBranchXR|AddToLeafR|ReplaceBranchXR|MutateNonTerminalR|ReplaceBranchXR|AddToLeafR|AddToLeafR|AddToLeafR|AddToLeafR|ReplaceBranchR|AddTreeWithMult|AddTreeWithAdd|AddTreeWithMult|DeleteMaliciousR,AddXD|MultXD|SubXD|AddTreeWithDiv|AddTreeWithDiv|AddXD|AddTreeWithDiv|DivXD|MultXD|AddXD|SubXD|AddXD|MultXD|FellTreeD|AddXD,AddToLeafR,AddXD,8,7,9,9,3
9,(x),20,-10,0.015787617010725754,0,0.019999999891086293,0.02,15173976.956689999,0.1,918158080.124,0,1,1,0.3024223075211095,0,2056915335467165000000,0,205679293685006700000000,0,((((((8)-((3)-(8)))-(((x)+(2))-((4)*(5))))+((((6)+(2))+((6)+(5)))+(((1)+(4))+((5)+(2)))))-(((((6)-(x))*((7)+(1)))*(((3)*(x))+((2)*(x))))-((((6)-(5))*((x)*(7)))*(((1)*(3))*((8)*(2))))))*(((((3)*((8)*(6)))*(((7)*(x))*((9)*(8))))*(((5)*((9)*(3)))*(((0)+(9))*((1)+(6)))))*((((3)+((x)*(9)))*(((3)*(9))*((1)*(9))))*((((6)*(8))*((2)*(6)))+(((7)*(0))+((0)-((8)*(9)))))))),((0)+(x)),AddTreeWithSub|MutateTerminalR|ReplaceBranchR|AddToLeafR|MutateNonTerminalR|AddToLeafR|AddToLeafR|AddToLeafR|AddToLeafR|AddToLeafR|AddTreeWithMult|AddRandomSubTreeR|ReplaceBranchR|AddTreeWithMult|AddTreeWithAdd,DivXD|SkipD|FellTreeD|DivXD|FellTreeD|SkipD|AddTreeWithDiv|DivXD|AddXD|AddXD|SkipD|AddXD|SubXD|FellTreeD|AddXD,AddToLeafR,AddXD,9,7,10,10,3
10,(x),20,-10,0.01633571422306913,0.02,0.01999999994750189,0.02,29838264.458659995,0,1904830470.315,0,1,1,0.4495242675948408,0,25975342668643014000000,0,2597534012635590400000000,0,(((((((0)-(x))-((3)-((5)+(9))))-(((6)-(8))*((x)+((4)+(9)))))-((((9)-(x))*((1)-((5)+(7))))-(((9)+((8)-(5)))-((4)+((6)-(7))))))*(((((8)*(5))*((x)*((3)-(0))))-(((0)-((4)-(2)))*((1)+((8)+(6)))))*((((9)*(6))*((x)*((9)+(0))))+(((3)+((2)+(3)))+((1)+((4)+(5)))))))*((((((6)-(x))*((5)+((3)*(6))))*(((9)*(7))*((3)*((2)*(7)))))*((((9)*(3))*((4)*((6)*(4))))*(((1)*((1)*(6)))*((5)+((9)-(5))))))*(((((0)+(8))*((7)*((x)*(7))))*(((9)*(8))-((9)-((6)*(4)))))*((((9)-(9))-((x)*((x)-(8))))+(((4)*((x)+(x)))*((x)+((2)+((x)*(4))))))))),((0)+(x)),AddTreeWithSub|MutateTerminalR|ReplaceBranchR|AddToLeafR|MutateNonTerminalR|AddToLeafR|AddToLeafR|AddToLeafR|AddToLeafR|AddToLeafR|AddTreeWithMult|AddRandomSubTreeR|ReplaceBranchR|AddTreeWithMult|AddTreeWithAdd,AddXD|MultXD|SubXD|AddTreeWithDiv|AddTreeWithDiv|DivXD|SubXD|DivXD|AddTreeWithDiv|AddXD|SkipD|AddXD|MultXD|FellTreeD|AddXD,AddToLeafR,AddXD,9,9,11,11,3
