gen,specEquation,range,seed,AGenFitAvg,PGenFitAvg,AGenBestFitAvg,PGenBestFitAvg,AGenDeltaAvg,PGenDeltaAvg,AGenBestDeltaAvg,PGenBestDeltaAvg,topABestFit,topPBestFit,topAStdDev,topPStdDev,topAAvgDelta,topPAvgtDelta,topABestDelta,topPBestDelta,topAEquation,topPEquation,topAStrat,topPStrat,topADomStrat,topPDomStrat,topABirthGen,topPBirthGen,topAAge,topPAge,run
0,(x),20,-10,-0.009999753393982635,0.007830950535728621,0.019768142824020403,0.02,18.525010000000005,664521129300.1207,431.3,0,1,1,0.7469255969642866,0,117302283019616730000,0,10728539019594930000000,0,(((((((8)*((6)*(4)))-((9)*((2)*(x))))*(((4)*((x)*(8)))*((7)*((6)*(7)))))-((((x)-((2)-(x)))*((7)*((6)*(2))))*(((2)*((6)*(9)))*(((6)-(4))-((1)-(5))))))-(((((0)*((5)*(8)))*((6)-((0)-(x))))-(((7)-((0)-(0)))+((4)+((8)+(6)))))+((((1)+((4)+(4)))+((5)-((9)-(5))))*(((3)*((5)*(6)))*(((0)-(1))+((1)+(4)))))))+((((((6)*((1)-(7)))*((0)*((3)*(1))))*(((1)+((5)*(0)))+((1)*((9)*(5)))))*((((0)*((4)+(x)))-((0)-((8)*(5))))+(((7)*((8)*(0)))*((7)-((x)-(2))))))-(((((6)-((x)+(x)))+((7)+((8)+(8))))+(((8)+((x)+(0)))-((3)-((9)-(9)))))+((((3)+((8)+(9)))+((8)+((x)+(2))))+(((8)+((6)+(9)))+((9)*((2)+((7)-(7))))))))),(((0)/((x)+(x)))-((x)+(x))),ReplaceBranchR|AddTreeWithMult|AddTreeWithMult|AddTreeWithSub|AddTreeWithAdd|AddTreeWithSub|AddToLeafR|AddTreeWithAdd|AddTreeWithSub|AddToLeafR|AddRandomSubTreeR|AddTreeWithMult|AddTreeWithAdd|AddToLeafR|MutateNonTerminalR,SkipD|SubXD|SkipD|MultXD|SubXD|FellTreeD|DivXD|SubXD|FellTreeD|DivXD|AddXD|SubXD|SkipD|AddXD|SkipD,AddTreeWithMult,SkipD,0,0,1,1,4
1,(x),20,-10,0.0056986371431532986,0.0100135461804053,0.01999417554895451,0.02,408.02304000000004,453051696225.89,17169,0,1,1,0.8078457040359873,0,1454149075289819000000,0,16102129851881834000000,0,(((((((8)-(9))-((x)-((9)-(0))))-(((5)-((7)-(5)))-((3)-((2)-(0)))))-((((5)+((6)*(8)))+((3)*((8)-(5))))+(((x)+((5)-(8)))*((5)*((8)*(8))))))+(((((2)*(1))+((2)*((7)+(7))))*(((2)-((x)-(2)))+((5)+((4)*(6)))))+((((8)*((x)+(5)))+((4)+((0)+(8))))+(((x)+((4)+(4)))*((4)*((7)*(3)))))))+((((((1)+(6))+((0)+((4)+(x))))+(((6)+((8)*(1)))*((7)-((7)-(3)))))-((((9)-(7))-((5)-((9)*(8))))*(((9)-((5)-(5)))+((5)*((1)*(3))))))*(((((9)*(5))*((x)*((5)*(x))))-(((1)+((4)*(7)))*((8)*((1)*(7)))))*((((0)-(1))-((7)+((5)-(8))))*(((3)-((8)-(2)))*((x)*((x)*((x)*(3))))))))),((0)*((x)+(x))),ReplaceBranchR|AddTreeWithMult|AddTreeWithMult|AddTreeWithSub|AddTreeWithAdd|AddToLeafR|AddRandomSubTreeR|AddRandomSubTreeR|MutateTerminalR|AddToLeafR|AddRandomSubTreeR|AddTreeWithMult|AddTreeWithAdd|AddToLeafR|MutateNonTerminalR,AddXD|SubXD|SubXD|SubXD|MultXD|DivXD|SubXD|AddTreeWithDiv|SkipD|SkipD|SubXD|MultXD|SkipD|SkipD|AddXD,AddTreeWithMult,SubXD,1,1,2,2,4
2,(x),20,-10,0.0011920119478267973,0.011754509873220388,0.019987274374662772,0.02,200.44685,1060856569342.3345,7858.16,0,1,1,0.8626664051935308,0,48613449573926280000,0,4861187765638193000000,0,(((((((7)+(5))-((1)+(8)))+(((7)*(x))+((0)+(7))))*((((4)+(5))*((5)*(8)))*(((3)*(6))*((8)*((7)+(3))))))*(((((4)-(x))*((9)*(9)))*(((6)*(6))*((2)+(0))))+((((x)-(5))-((9)-(0)))*(((4)*(4))-((4)*((9)*(8)))))))*((((((4)+(6))+((6)*(8)))*(((2)+(5))+((8)+(6))))*((((4)-(1))-((3)-(4)))-(((1)-(5))-((6)-(1)))))*(((((x)-(0))-((2)-(8)))-(((0)+(3))*((7)*(7))))*((((9)*(x))*((5)*(4)))*(((3)+(1))+((8)+((x)*(5)))))))),((0)+(x)),AddTreeWithMult|ReplaceBranchXR|ReplaceBranchR|AddTreeWithAdd|AddRandomSubTreeR|MutateTerminalR|AddTreeWithMult|AddToLeafR|AddRandomSubTreeR|AddTreeWithAdd|AddRandomSubTreeR|AddRandomSubTreeR|AddToLeafR|AddTreeWithSub|ReplaceBranchXR,SubXD|SubXD|DivXD|DivXD|MultXD|FellTreeD|MultXD|AddXD|AddTreeWithDiv|FellTreeD|SkipD|AddXD|FellTreeD|SkipD|AddXD,AddRandomSubTreeR,FellTreeD,2,2,3,3,4
3,(x),20,-10,0.008109536120538644,-0.0003364220277105495,0.01999966229499318,0.02,5381.15037,6362579375273.728,296116.42699999997,0,1,1,0.72872029248854,0,88667338676543100000,0,2992506264680584000,0,(((((((3)-(5))*((0)+(7)))+(((5)*(x))-((1)*((1)+(7)))))-((((x)+(1))+((6)+(7)))+(((4)-(4))-((6)+((x)-(8))))))*(((((6)*(9))*((7)*(4)))*(((6)*(3))*((6)-((x)-(0)))))+((((2)+(4))*((9)*(3)))+(((2)+(7))-((2)*((x)*(8)))))))*((((((7)*(8))*((4)*(1)))*(((5)*(5))*((3)*(3))))*((((2)*(5))-((3)+(8)))+(((x)+(1))+((9)+((3)+(6))))))+(((((x)-(3))-((x)-(2)))-(((5)-(0))-((4)*(1))))*((((3)*(7))*((2)+(8)))+(((8)-(x))*((2)+((5)-((1)+(1))))))))),(((0)+(x))/((x)*(x))),ReplaceBranchXR|MutateNonTerminalR|AddTreeWithAdd|ReplaceBranchR|AddToLeafR|MutateNonTerminalR|AddTreeWithMult|AddToLeafR|DeleteTerminalR|AddRandomSubTreeR|AddTreeWithMult|AddTreeWithMult|AddTreeWithSub|AddTreeWithAdd|MutateNonTerminalR,AddXD|AddTreeWithDiv|DivXD|AddXD|FellTreeD|AddTreeWithDiv|DivXD|AddTreeWithDiv|SubXD|FellTreeD|DivXD|FellTreeD|AddXD|DivXD|MultXD,MutateNonTerminalR,DivXD,3,2,4,4,4
4,(x),20,-10,0.007643712822258108,0.010435224148319065,0.01999988007396558,0.02,24213.36713,530229.7848293412,833847.3,0,1,1,0.4781509373968071,0,32612539812794020000000,0,7087071580433940000000,0,(((((((x)*(3))-((8)*((4)-(8))))+(((5)+(6))+((4)+((x)+(5)))))+((((x)*(2))*((2)+((2)+(7))))*(((1)-((5)*(5)))*((1)*((2)*(x))))))*(((((7)*(8))*((3)*((8)*(8))))*(((9)*(x))*((1)+((8)+(3)))))+((((8)+(1))+((2)+((x)+(9))))*(((9)*((5)*(4)))*((5)-((4)-(7)))))))*((((((8)+(8))*((1)+((0)-(7))))-(((1)-(6))-((0)-((7)-(4)))))-((((8)-(9))-((4)-((2)-(x))))-(((1)-(1))*((3)*((0)*(0))))))-(((((7)+(3))+((2)*((4)*(1))))*(((8)*(0))+((4)-((1)+(2)))))+((((5)*(4))*((9)*((9)*(9))))*(((8)*(8))+((5)+((0)+((8)-(0))))))))),(((0)+(x))/((x)*(x))),ReplaceBranchXR|MutateTerminalR|AddTreeWithAdd|AddTreeWithMult|AddToLeafR|AddRandomSubTreeR|AddRandomSubTreeR|MutateTerminalR|ReplaceBranchR|AddTreeWithMult|AddRandomSubTreeR|AddTreeWithMult|AddTreeWithSub|AddTreeWithAdd|MutateNonTerminalR,AddTreeWithDiv|SubXD|DivXD|DivXD|SubXD|SkipD|MultXD|DivXD|SkipD|AddXD|DivXD|FellTreeD|AddXD|DivXD|MultXD,AddTreeWithMult,DivXD,4,3,5,5,4
5,(x),20,-10,0.010632062866444142,-0.001937020994231406,0.01999999133854149,0.02,207384.58487,19812303178821.137,11545399.646,0,1,1,0.5657413603470707,0,4810074039110757000000,0,480984925018474800000000,0,(((((((x)+(7))*((4)*((6)*(x))))-(((5)-(4))+((1)*((7)+(9)))))-((((7)-(7))-((0)-((2)-(6))))-(((2)-((6)-(6)))*((7)*((8)-(9))))))*(((((5)+(0))*((4)*((4)*(4))))*(((x)*((8)*(6)))*((9)*((1)-(4)))))+((((0)-(7))*((8)+((3)*(1))))-(((x)*((9)*(6)))+((x)+((0)*(1)))))))+((((((1)+(0))+((3)+((7)+(2))))+(((x)+(0))*((9)*((6)*(8)))))*((((8)*(7))*((2)*((6)*(1))))*(((4)*(3))+((x)*((x)-(7))))))-(((((5)*(2))+((8)-((x)*(1))))*(((x)+(1))-((8)-((6)-(0)))))-((((8)-(5))-((6)-((8)-(9))))+(((2)+((4)+(x)))+((3)+((0)+((3)-(3))))))))),(((0)+(x))/((x)*(x))),ReplaceBranchXR|MutateTerminalR|AddTreeWithAdd|AddTreeWithMult|AddToLeafR|AddRandomSubTreeR|AddRandomSubTreeR|ReplaceBranchXR|AddToLeafR|AddTreeWithMult|AddTreeWithMult|AddTreeWithSub|AddTreeWithSub|AddTreeWithAdd|MutateNonTerminalR,AddTreeWithDiv|AddXD|FellTreeD|SkipD|SubXD|MultXD|DivXD|AddTreeWithDiv|SubXD|DivXD|AddXD|FellTreeD|AddXD|DivXD|MultXD,AddTreeWithMult,AddXD,5,4,6,6,4
6,(x),20,-10,0.0105294037308876,-0.019595959595959594,0.01999999405703868,-0.019595959595959597,365401.75005000003,4.95,16826628.106,4.95,1,1,0.5954764098779433,0,9222931384162820000000,0,17781561183729930000,0,(((((((0)+(2))-((x)-((9)-(1))))-(((6)-(x))-((8)-((1)-(5)))))-((((6)*(0))+((5)+((4)+(3))))-(((9)+(5))*((x)*((2)*(7))))))*(((((9)*(9))*((2)*((7)*(8))))*(((3)*(x))*((6)*((6)*(9)))))*((((9)*(2))*((1)*((5)*(3))))*(((6)*(1))*((2)*((9)+(x)))))))+((((((2)+(x))+((6)+(2)))+(((3)+(5))+((x)+((3)+(0)))))+((((8)+(8))+((9)+((8)*(2))))+(((x)*(7))*((7)-((7)-(3))))))-(((((3)*(x))-((5)-((2)-(1))))-(((2)-(5))-((3)-((x)+(x)))))*((((2)+(2))*((9)-((7)-(x))))*(((6)-(4))*((0)+((6)+((7)+(1))))))))),(((0)+(x))/((x)*(x))),ReplaceBranchXR|MutateTerminalR|AddTreeWithAdd|AddTreeWithMult|AddToLeafR|AddRandomSubTreeR|AddRandomSubTreeR|ReplaceBranchXR|AddToLeafR|AddTreeWithMult|AddTreeWithMult|AddTreeWithSub|AddTreeWithSub|AddTreeWithAdd|MutateNonTerminalR,AddTreeWithDiv|MultXD|DivXD|SkipD|AddXD|AddTreeWithDiv|DivXD|AddTreeWithDiv|FellTreeD|FellTreeD|DivXD|FellTreeD|AddXD|DivXD|MultXD,AddTreeWithMult,DivXD,5,5,7,7,4
7,(x),20,-10,0.015289095847360051,-0.01705882352941176,0.019999997975853417,0.02,1093715.53884,0.68,49403536.673999995,0,1,1,0.42703266156942826,0,3025856484187454300000,0,7645027619913949000,0,(((((((2)-(0))-((4)*((6)+(5))))+(((4)+(9))-((5)-((x)+(1)))))+((((0)+(5))+((7)+((1)+(4))))+(((8)-((1)+(3)))-((1)+((5)*(8))))))*(((((3)+(9))+((3)+((0)+(6))))+(((0)+((8)+(9)))-((6)*((8)*(0)))))*((((2)*(8))*((4)*((6)*(6))))*(((7)+((2)+(4)))+((4)+((5)*(4)))))))*((((((4)+(1))*((8)*((8)*(7))))*(((3)*(8))-((4)*((6)*(0)))))-((((5)+(x))+((9)-((9)*(9))))*(((8)+(5))*((9)*((5)*(9))))))-(((((2)*(4))-((7)*((4)+(5))))+(((9)*(4))+((9)*((8)-(2)))))+((((6)+(9))+((9)+((6)+(x))))+(((6)+((9)+(5)))*((x)+((8)+((0)*(0))))))))),(((0)+(x))/((x)*(x))),ReplaceBranchXR|MutateTerminalR|AddTreeWithAdd|AddToLeafR|AddToLeafR|AddRandomSubTreeR|AddTreeWithMult|AddToLeafR|AddRandomSubTreeR|AddTreeWithAdd|AddTreeWithAdd|MutateNonTerminalR|AddTreeWithMult|AddToLeafR|MutateNonTerminalR,AddXD|MultXD|DivXD|AddXD|FellTreeD|AddTreeWithDiv|DivXD|DivXD|SkipD|AddXD|AddXD|FellTreeD|AddXD|DivXD|MultXD,AddToLeafR,AddXD,6,6,8,8,4
8,(x),20,-10,0.014305412922804373,-0.019595959595959594,0.019999999527896665,-0.019595959595959597,2486035.7926699994,4.95,211818033.07,4.95,1,1,0.7561018259173936,0,81132486497478750000000,0,27224766732079325000,0,(((((((x)-(7))+((3)+((2)*(9))))*(((7)*(2))*((4)*((0)*(2)))))*((((5)+(3))+((6)+((4)+(2))))+(((8)-(9))-((9)*((6)*(9))))))*(((((5)*(8))*((4)*((4)*(7))))*(((3)+(0))+((4)+((8)-(0)))))*((((2)+(1))+((1)*((7)-(7))))+(((7)-((3)+(2)))+((6)*((7)-(8)))))))+((((((2)*(3))-((6)+(3)))+(((2)-(1))+((7)+((0)-(3)))))*((((2)*(1))-((2)*((9)-(x))))*(((5)*(1))*((x)+((0)-(3))))))*(((((2)*(5))*((7)*((6)*(6))))*(((9)*(9))*((x)*((9)*(4)))))*((((4)*(x))*((7)-((4)-(3))))*(((8)-(3))*((3)+((7)+((6)*(8))))))))),(((0)+(x))/((x)*(x))),ReplaceBranchXR|MutateNonTerminalR|AddTreeWithAdd|AddTreeWithMult|AddToLeafR|AddRandomSubTreeR|AddRandomSubTreeR|ReplaceBranchXR|AddToLeafR|AddTreeWithMult|MutateTerminalR|MutateNonTerminalR|AddTreeWithMult|ReplaceBranchXR|AddTreeWithMult,AddXD|FellTreeD|DivXD|AddXD|AddXD|SkipD|DivXD|AddTreeWithDiv|SubXD|AddXD|DivXD|FellTreeD|AddXD|DivXD|MultXD,AddTreeWithMult,AddXD,7,7,9,9,4
9,(x),20,-10,0.017324485215712268,-0.018518518518518517,0.019999999927141545,-0.018518518518518517,33958234.595170006,1.35,1372524299.9,1.35,1,1,0.3836995335635523,0,8310717389052356000000,0,830057225888793000000000,0,(((((((x)+((5)+(0)))+((2)-((7)*(4))))-(((2)+((4)*(9)))+((1)*((0)*(7)))))+((((8)*((8)*(8)))-((x)-((3)+(x))))-(((0)*((9)*(4)))*((x)-((9)*(4))))))-(((((5)-((1)*(9)))*((3)*((8)*(4))))*(((x)*((4)*(7)))*((x)-((8)+(x)))))*((((9)-((4)+(2)))+((8)-((7)*(1))))*(((3)*((x)*(2)))*((8)*((5)*(5)))))))+((((((0)+(3))+((6)*((5)-(1))))+(((2)+((5)-(5)))+((0)-((4)+(4)))))+((((8)*((0)+(8)))-((2)*((2)*(1))))*(((1)+((8)-(6)))-((0)-((4)-(5))))))-(((((x)-((x)-(5)))-((7)*((2)*(3))))+(((9)-((7)-(9)))*((6)+((6)+(4)))))*((((2)*((9)*(6)))*((x)*((3)*(4))))*(((4)+((2)+(9)))+((6)+((9)+((2)+(9))))))))),(((0)+(x))/((x)*(x))),ReplaceBranchXR|MutateNonTerminalR|AddTreeWithAdd|AddToLeafR|AddToLeafR|AddRandomSubTreeR|AddRandomSubTreeR|ReplaceBranchXR|AddToLeafR|AddTreeWithSub|AddTreeWithMult|AddTreeWithMult|AddToLeafR|AddToLeafR|AddTreeWithMult,AddTreeWithDiv|AddXD|FellTreeD|SkipD|AddXD|MultXD|DivXD|AddTreeWithDiv|SubXD|FellTreeD|DivXD|FellTreeD|AddXD|DivXD|MultXD,AddToLeafR,DivXD,9,8,10,10,4
10,(x),20,-10,0.016927862416320886,0.00971641965077774,0.01999999976781083,0.02,8908062.353549998,0.05478507175544569,430683309.254,0,1,1,0.4312550739747989,0,333316786361938200000,0,33182731891243790000000,0,(((((((7)+(5))-((5)*(x)))*(((5)-(4))-((2)-((4)*(5)))))*((((7)*(9))*((6)*(x)))*(((7)*(8))-((8)-((7)-(0))))))-(((((x)-(6))*((2)+(2)))*(((2)*(7))-((9)-((9)-(2)))))+((((0)-(9))*((1)+(6)))-(((6)*(7))-((7)+((3)-(4)))))))+((((((7)*(5))*((8)*(x)))*(((6)*(9))*((3)*(x))))*((((7)*(5))+((1)*(1)))*(((4)-(6))*((4)*((6)-(5))))))*(((((6)-(9))-((4)+(9)))+(((1)*(6))+((3)*(0))))+((((8)*(4))*((4)-(x)))-(((x)-(7))-((x)+((6)-((x)+(7))))))))),(((0)+(x))/((x)*(x))),ReplaceBranchXR|MutateNonTerminalR|AddTreeWithAdd|AddToLeafR|DeleteTerminalR|ReplaceBranchR|AddRandomSubTreeR|AddToLeafR|AddToLeafR|AddToLeafR|AddTreeWithSub|MutateNonTerminalR|AddTreeWithMult|AddToLeafR|AddTreeWithMult,AddXD|MultXD|DivXD|MultXD|SubXD|MultXD|DivXD|AddTreeWithDiv|SubXD|AddXD|DivXD|FellTreeD|AddXD|DivXD|MultXD,AddToLeafR,MultXD,10,9,11,11,4
