gen,specEquation,range,seed,AGenFitAvg,PGenFitAvg,AGenBestFitAvg,PGenBestFitAvg,AGenDeltaAvg,PGenDeltaAvg,AGenBestDeltaAvg,PGenBestDeltaAvg,topABestFit,topPBestFit,topAStdDev,topPStdDev,topAAvgDelta,topPAvgtDelta,topABestDelta,topPBestDelta,topAEquation,topPEquation,topAStrat,topPStrat,topADomStrat,topPDomStrat,topABirthGen,topPBirthGen,topAAge,topPAge,run
0,(x),20,-10,-0.005190435956658541,0.00038000623195329306,0.019986380423111225,0.02,127.39459,303113250816.5327,7342.371999999999,0,1,1,0.8591753198004484,0,31999686979974914000,0,3199965529974516000000,0,(((((((x)*(3))*((7)*(8)))-(((1)-(4))*((9)*((3)*(3)))))*((((3)*(7))*((5)*(3)))*(((3)*(9))*((6)-((9)*(7))))))+(((((7)-(7))-((9)-(8)))*(((4)*(2))*((9)*((9)*(x)))))+((((7)*(x))-((8)*(3)))*(((4)*(9))-((4)-((x)+(x)))))))-((((((3)-(9))-((8)-(5)))-(((8)-(2))-((3)-(2))))+((((8)*(x))-((6)-(8)))-(((x)-(6))-((5)-((3)-(x))))))-(((((2)*(1))*((6)+(6)))*(((5)*(8))+((1)-(9))))*((((0)*(0))-((3)*(0)))+(((x)*(8))-((8)*((6)+((8)+(0))))))))),((0)+(x)),AddToLeafR|MutateNonTerminalR|DeleteNonTerminalR|AddTreeWithMult|ReplaceBranchXR|MutateNonTerminalR|ReplaceBranchR|AddToLeafR|MutateNonTerminalR|AddTreeWithMult|AddTreeWithMult|AddRandomSubTreeR|AddTreeWithSub|AddTreeWithSub|ReplaceBranchR,DivXD|SubXD|FellTreeD|FellTreeD|AddTreeWithDiv|SkipD|SubXD|DivXD|AddTreeWithDiv|MultXD|AddTreeWithDiv|AddXD|DivXD|FellTreeD|AddXD,MutateNonTerminalR,DivXD,0,0,1,1,7
1,(x),20,-10,-0.0023766267800846004,-0.019671922304480262,0.019996905482927242,-0.010544444861356046,446.42487,9727019371357.053,32315.22,0.21151587301587302,1,1,0.4911651268887144,0,23450374021198103000,0,2345014585603827200000,0,(((((((8)+(9))-((6)-((3)+(1))))+(((1)+(6))+((9)+((7)+(7)))))+((((x)+(3))*((0)*((7)*(9))))*(((3)+((5)+(1)))+((6)+((x)+(2))))))+(((((3)+(0))+((2)+((6)-(5))))-(((4)+((8)*(7)))+((6)-((0)*(1)))))*((((7)*(8))*((3)*((9)*(7))))*(((x)*((3)*(2)))*((9)*((5)*(6)))))))*((((((9)*(8))-((5)-((2)-(2))))-(((5)-(9))*((6)-((6)-(6)))))*((((6)*(6))*((1)*((1)*(6))))*(((6)*((4)-(x)))*((4)-((0)-(6))))))-(((((5)-(5))*((9)*((8)*(5))))*(((7)*(1))*((4)*((8)+(6)))))-((((x)-(6))-((7)-((2)*(4))))*(((9)*((0)*(3)))*((1)*((3)*((7)*(8))))))))),((((0)*((x)/(4)))/((0)/((6)/(6))))/(((0)/(4))/((6)+((x)-(x))))),AddToLeafR|AddTreeWithSub|AddTreeWithSub|ReplaceBranchR|AddToLeafR|DeleteMaliciousR|AddTreeWithAdd|ReplaceBranchXR|ReplaceBranchR|AddToLeafR|AddRandomSubTreeR|AddTreeWithMult|AddTreeWithAdd|AddTreeWithMult|ReplaceBranchXR,DivXD|SubXD|DivXD|MultXD|FellTreeD|AddXD|AddTreeWithDiv|AddXD|FellTreeD|AddTreeWithDiv|FellTreeD|SkipD|AddXD|FellTreeD|AddXD,AddToLeafR,FellTreeD,1,1,2,2,7
2,(x),20,-10,0.007118978409614094,0.019200000612879294,0.019989336145178574,0.02,324.80926,9119947.346330991,9377.472,0,1,1,0.503984966954541,0,268250473258296930000,0,26825046311557010000000,0,((((((x)-((6)*(6)))-(((x)*(9))*((8)*(3))))*((((x)*(2))*((5)*(3)))*(((4)+(0))*((3)*(9)))))-(((((0)*(3))*((4)*(3)))-(((0)+(1))-((4)*(3))))+((((2)+(3))+((0)-(8)))*(((1)*(6))*((7)*(8))))))*(((((4)*((7)*(6)))*(((9)*(4))*((3)*(7))))+((((5)*(7))*((3)*(5)))-(((8)-(6))-((6)-(1)))))+((((6)+((3)-(6)))*(((7)*(2))*((3)*(5))))*((((7)+(7))+((1)+(0)))+(((2)+(6))-((2)-((6)*(6)))))))),((0)+(x)),AddTreeWithAdd|AddTreeWithSub|MutateTerminalR|ReplaceBranchXR|DeleteTerminalR|AddToLeafR|ReplaceBranchR|AddToLeafR|AddTreeWithMult|AddTreeWithMult|MutateTerminalR|AddRandomSubTreeR|ReplaceBranchR|AddTreeWithMult|MutateTerminalR,SubXD|FellTreeD|SubXD|AddTreeWithDiv|SubXD|SkipD|SubXD|DivXD|AddTreeWithDiv|MultXD|AddTreeWithDiv|AddXD|DivXD|FellTreeD|AddXD,MutateTerminalR,SubXD,0,2,3,3,7
3,(x),20,-10,0.011247130730479114,0.016102021830823713,0.019999893938431382,0.02,31355.07709,4411958170816.872,942848.5859999999,0,1,1,0.5557265464499843,0,110189797363566580000,0,5357800962291005000,0,(((((((x)+(2))+((6)+((x)-(6))))+(((7)-((5)-(4)))*((4)*((5)*(7)))))*((((0)*(7))*((6)*((x)-(7))))+(((9)-((5)+(2)))+((8)+((x)*(4))))))+(((((5)-(2))*((0)-((3)+(0))))+(((8)+((3)*(3)))-((2)+((8)+(3)))))+((((0)+((3)+(1)))+((3)*((3)*(6))))*(((7)*((6)*(9)))*((1)*((5)*(5)))))))*((((((3)*(2))*((9)*((9)*(1))))*(((x)*((7)*(4)))*((x)*((2)-(8)))))-((((0)*(7))+((0)*((9)-(2))))+(((8)+((0)+(x)))+((9)-((x)*(7))))))-(((((5)*(4))*((8)-((5)+(x))))+(((1)+((x)+(8)))+((0)+((5)+(1)))))+((((2)+(7))+((5)+((9)+(9))))+(((9)+((0)-(0)))-((0)-((9)*((1)-(8))))))))),((0)+(x)),ReplaceBranchXR|AddTreeWithAdd|AddRandomSubTreeR|AddTreeWithAdd|AddTreeWithAdd|AddTreeWithMult|ReplaceBranchXR|MutateTerminalR|AddRandomSubTreeR|AddTreeWithMult|MutateTerminalR|AddRandomSubTreeR|ReplaceBranchR|AddTreeWithMult|AddTreeWithAdd,DivXD|MultXD|AddTreeWithDiv|SkipD|AddTreeWithDiv|SkipD|SkipD|FellTreeD|DivXD|AddTreeWithDiv|FellTreeD|AddXD|DivXD|FellTreeD|AddXD,AddTreeWithAdd,SkipD,3,3,4,4,7
4,(x),20,-10,0.01208700810260805,0.0196,0.019999989712225826,0.02,218592.65767000004,265890967827.10364,9720275.572,0,1,1,0.7449487012676108,0,737247122383180900000,0,73724156044321670000000,0,(((((((5)-(0))-((5)*(7)))+(((6)*(2))*((4)*((8)*(5)))))*((((4)*(8))*((1)*((8)*(5))))*(((6)*(x))*((5)*((9)*(x))))))*(((((3)*(9))*((x)*((1)*(9))))*(((1)*(8))*((5)*((9)*(x)))))+((((2)-(9))+((x)*((x)*(1))))-(((7)+(4))+((6)-((4)-(4)))))))*((((((5)*(7))*((7)*(5)))*(((9)*(2))*((0)*((2)*(7)))))-((((2)*(0))-((x)*(9)))*(((0)-(6))*((6)+((1)+(x))))))*(((((5)+(7))*((6)+(2)))*(((8)-(5))-((x)+((3)+(9)))))+((((8)+(0))+((0)+((2)+(7))))+(((4)+(3))+((3)+((4)+((4)+(8))))))))),(((0)/((x)-(x)))+((x)/((x)+(x)))),AddTreeWithAdd|ReplaceBranchR|DeleteTerminalR|AddRandomSubTreeR|AddTreeWithMult|ReplaceBranchXR|DeleteTerminalR|AddTreeWithMult|AddToLeafR|ReplaceBranchXR|MutateTerminalR|AddTreeWithMult|AddTreeWithAdd|AddTreeWithMult|ReplaceBranchXR,FellTreeD|SubXD|DivXD|MultXD|FellTreeD|AddXD|SkipD|FellTreeD|DivXD|MultXD|DivXD|SubXD|AddXD|DivXD|AddXD,AddTreeWithMult,DivXD,4,3,5,5,7
5,(x),20,-10,0.01738249104620556,0.01602872490382719,0.019999996714383253,0.02,748252.59115,408779315.2476585,30435686.1,0,1,1,0.4165227064389414,0,169623125619266750000,0,16939577703651233000000,0,(((((((x)+(1))*((9)*((2)+(1))))*(((1)-(9))-((8)*((8)*(8)))))*((((3)+(4))-((2)*((6)*(2))))*(((5)*((7)*(3)))-((4)-((1)+(6))))))-(((((1)-(8))*((9)-((9)*(8))))*(((9)-(1))*((8)-((7)*(6)))))+((((8)*(2))*((2)+((3)*(3))))*(((2)-((7)*(2)))*((x)*((8)*(5)))))))*((((((1)*(0))*((8)-((9)-(6))))-(((3)-(0))-((4)-((5)*(6)))))*((((9)*(9))*((1)-((x)*(7))))*(((9)+(1))+((2)-((6)+(3))))))+(((((4)-(7))+((3)+((3)*(8))))*(((0)-(4))*((x)-((1)*(1)))))-((((x)*(6))*((2)-((2)+(4))))-(((9)*(4))+((5)+((2)*((2)*(9))))))))),((0)+(x)),AddRandomSubTreeR|ReplaceBranchXR|AddToLeafR|AddToLeafR|ReplaceBranchXR|AddRandomSubTreeR|AddTreeWithSub|AddTreeWithMult|AddToLeafR|ReplaceBranchXR|MutateNonTerminalR|AddToLeafR|AddRandomSubTreeR|AddTreeWithMult|AddToLeafR,AddXD|AddTreeWithDiv|DivXD|FellTreeD|AddTreeWithDiv|FellTreeD|AddXD|DivXD|AddTreeWithDiv|FellTreeD|AddTreeWithDiv|AddXD|DivXD|FellTreeD|AddXD,AddToLeafR,FellTreeD,5,4,6,6,7
6,(x),20,-10,0.015903226719077106,0.012704053920666232,0.019999999464648623,0.02,4216302.63017,7514012142.740693,186793206.22599998,0,1,1,0.6028613045341449,0,909573513264839000000,0,24998528950268756000,0,(((((((6)-(8))+((8)*((2)+(9))))+(((x)-((1)*(2)))+((8)+((9)+(x)))))+((((6)+(x))*((7)*((1)*(0))))-(((7)*((8)-(6)))+((1)-((4)+(7))))))+(((((8)*(3))-((8)+((5)-(3))))*(((6)*((0)*(0)))*((1)+((x)+(9)))))+((((0)+(7))+((6)-((4)*(x))))*(((5)*((1)*(4)))*((1)*((1)*(2)))))))*((((((6)-(1))*((0)+((3)-(x))))*(((x)+(5))*((1)*((7)*(7)))))*((((8)*(3))-((0)+((6)+(7))))-(((2)-((8)*(x)))*((4)*((5)*(x))))))+(((((1)-(8))-((7)+((2)+(8))))+(((4)+((3)*(8)))*((9)*((6)*(8)))))-((((8)*(x))+((5)+((1)+(6))))+(((6)+((3)+(6)))+((5)-((7)*((2)+(x))))))))),((0)+(x)),AddTreeWithAdd|ReplaceBranchR|DeleteTerminalR|AddRandomSubTreeR|AddTreeWithMult|AddTreeWithAdd|AddToLeafR|AddToLeafR|AddTreeWithMult|AddRandomSubTreeR|AddTreeWithMult|ReplaceBranchXR|AddRandomSubTreeR|AddRandomSubTreeR|AddToLeafR,AddXD|AddTreeWithDiv|DivXD|FellTreeD|AddTreeWithDiv|FellTreeD|AddXD|DivXD|AddTreeWithDiv|FellTreeD|AddTreeWithDiv|AddXD|DivXD|FellTreeD|AddXD,AddRandomSubTreeR,FellTreeD,6,4,7,7,7
7,(x),20,-10,0.01578973473327166,0.0001999999999999993,0.019999987678777285,0.02,127050.16913000002,0.09900000000000002,8116077.626,0,1,1,0.5730430517895022,0,154783800700653270000,0,15478365409045436000000,0,(((((((x)+((9)+(6)))*((x)-((x)-(0))))-(((3)-((6)*(9)))*((2)+((2)-(1)))))-((((0)*((8)*(1)))-((2)-((x)-(1))))-(((7)*((6)*(2)))-((4)+((x)+(4))))))+(((((6)+((2)+(x)))-((3)-((4)-(2))))+(((8)-((5)+(x)))+((0)*((6)-(3)))))*((((4)+((9)*(x)))-((8)*((1)-(6))))*(((3)+((2)*(x)))+(((6)*(x))*((3)-(7)))))))+((((((9)-((1)*(8)))-((x)*((0)-(9))))*(((2)*((0)+(9)))*((x)*((1)*(4)))))*((((8)*((9)*(4)))*((7)*((9)+(x))))-(((5)*((x)+(5)))-((1)*((3)*(4))))))*(((((0)+((1)-(9)))*((2)+((4)*(3))))+(((8)*((6)*(9)))*((0)+((5)*(x)))))*((((8)+((0)-(4)))-((x)*((8)-(7))))+(((4)*((4)+(2)))-((2)*((8)*((8)*(1))))))))),((0)+(x)),AddRandomSubTreeR|ReplaceBranchXR|AddToLeafR|AddToLeafR|ReplaceBranchXR|AddRandomSubTreeR|AddTreeWithSub|AddTreeWithMult|AddToLeafR|ReplaceBranchXR|AddTreeWithAdd|ReplaceBranchXR|AddRandomSubTreeR|ReplaceBranchXR|AddToLeafR,AddXD|AddTreeWithDiv|SubXD|AddTreeWithDiv|SkipD|SkipD|SkipD|DivXD|AddTreeWithDiv|FellTreeD|DivXD|AddXD|DivXD|FellTreeD|AddXD,ReplaceBranchXR,SkipD,7,7,8,8,7
8,(x),20,-10,0.01288119530123783,0.01572784256783255,0.0199999690877166,0.02,74429.95037,0.25388208377857424,3234959.99,0,1,1,0.35202897403096717,0,5963678870414449000,0,595714038729154400000,0,(((((((x)-(8))+((5)*((7)*(5))))*(((x)*((5)*(3)))*((x)*((7)-(x)))))-((((1)+((3)-(2)))*((x)-((5)*(6))))*(((9)*((7)*(9)))*((2)*((9)+(x))))))+(((((6)-(x))+((4)*((2)*(6))))-(((9)*((3)-(1)))*((3)+((2)*(7)))))-((((0)+((4)-(0)))-((4)*((9)*(3))))*(((5)-((1)-(6)))-((8)-((3)-(0)))))))-((((((7)-(6))-((3)-((2)-(x))))*(((7)+((9)*(6)))*((x)*((8)*(1)))))*((((6)*(x))*((x)-((7)-(0))))*(((x)-((5)*(1)))+((x)+((1)*(x))))))+(((((2)+(4))+((2)+((1)+(0))))+(((x)+((6)+(4)))+((3)+((4)+(8)))))+((((0)-(4))*((x)*((8)-(4))))-(((7)-((5)+(5)))+((8)+((x)*((4)*(4))))))))),(((0)/((x)-(x)))+((x)/((x)+(x)))),ReplaceBranchXR|ReplaceBranchXR|ReplaceBranchXR|ReplaceBranchXR|AddRandomSubTreeR|AddToLeafR|AddRandomSubTreeR|AddTreeWithAdd|AddToLeafR|AddTreeWithSub|AddToLeafR|AddTreeWithMult|AddTreeWithAdd|AddTreeWithMult|AddToLeafR,SkipD|SubXD|AddTreeWithDiv|MultXD|AddTreeWithDiv|DivXD|SkipD|FellTreeD|AddTreeWithDiv|FellTreeD|DivXD|SubXD|AddXD|DivXD|AddXD,ReplaceBranchXR,AddTreeWithDiv,8,7,9,9,7
9,(x),20,-10,0.01677523441447216,0.015203268747672274,0.019999999935361713,0.02,17913248.700859997,859848873.4454832,1547070649.571,0,1,1,0.4963593270674679,0,553870197551748900000,0,6701980795301023000,0,(((((((x)*(6))+((x)+(3)))*(((6)-(x))*((8)-(4))))*((((2)*(4))+((2)-(3)))*(((4)*(7))*((9)+(6)))))+(((((2)+(2))+((0)+(0)))+(((9)+(7))*((2)*(5))))*((((8)*(5))*((x)*(2)))*(((7)*(x))*((3)*(3))))))*(((((5)*((x)*(9)))*(((4)-(9))*((3)-(8))))-((((4)*(9))*((0)+(3)))*(((7)+(2))+((0)+(7)))))*((((x)-((7)-(7)))-(((4)-(x))-((8)-(1))))*((((2)-(2))-((2)-(8)))-(((9)-(1))-((1)-((7)+(5)))))))),((0)+(x)),ReplaceBranchXR|ReplaceBranchXR|AddToLeafR|AddToLeafR|ReplaceBranchXR|AddToLeafR|ReplaceBranchR|ReplaceBranchXR|AddToLeafR|AddTreeWithSub|AddToLeafR|AddTreeWithMult|AddTreeWithAdd|AddTreeWithMult|AddToLeafR,AddXD|SkipD|AddXD|FellTreeD|SkipD|SkipD|SubXD|DivXD|AddXD|FellTreeD|AddTreeWithDiv|AddXD|DivXD|FellTreeD|AddXD,AddToLeafR,AddXD,8,8,10,10,7
10,(x),20,-10,0.017561350947180542,0.016340314331895568,0.01999999995412084,0.02,47008701.45992999,0.02002597788889251,2179638787.0160003,0,1,1,0.4038497595218677,0,568465677492273800000,0,56839149788362250000000,0,(((((((6)+(4))+((x)+((5)+(x))))+(((1)+((7)+(8)))-((0)*((5)-(7)))))+((((6)+(5))+((4)*((2)-(x))))*(((4)-((3)*(9)))*((6)*((6)*(7))))))+(((((8)*(x))*((8)*((x)*(5))))+(((8)-((6)*(8)))-((4)+((5)*(2)))))*((((7)-(2))*((x)*((9)+(5))))+(((7)+((4)+(3)))+((1)+((6)+(9)))))))*((((((0)*(x))+((x)*((8)+(0))))*(((x)-(3))-((8)+((1)-(x)))))*((((3)*(3))*((0)*((1)-(x))))+(((2)*((8)*(1)))-((4)*((3)+(7))))))*(((((5)*(6))-((6)+((7)-(x))))+(((9)+((1)+(3)))*((5)*((6)*(9)))))*((((x)*(5))*((4)*((4)-(6))))*(((7)*((1)*(9)))+((5)+((2)*((3)+(5))))))))),((0)+(x)),ReplaceBranchXR|AddRandomSubTreeR|AddRandomSubTreeR|ReplaceBranchR|AddRandomSubTreeR|AddToLeafR|AddRandomSubTreeR|AddTreeWithAdd|MutateNonTerminalR|AddRandomSubTreeR|AddTreeWithMult|ReplaceBranchXR|AddRandomSubTreeR|AddTreeWithMult|AddToLeafR,DivXD|DivXD|SubXD|AddTreeWithDiv|AddXD|AddXD|SkipD|FellTreeD|DivXD|FellTreeD|DivXD|AddXD|DivXD|FellTreeD|AddXD,AddRandomSubTreeR,DivXD,9,9,11,11,7
