gen,specEquation,range,seed,AGenFitAvg,PGenFitAvg,AGenBestFitAvg,PGenBestFitAvg,AGenDeltaAvg,PGenDeltaAvg,AGenBestDeltaAvg,PGenBestDeltaAvg,topABestFit,topPBestFit,topAStdDev,topPStdDev,topAAvgDelta,topPAvgtDelta,topABestDelta,topPBestDelta,topAEquation,topPEquation,topAStrat,topPStrat,topADomStrat,topPDomStrat,topABirthGen,topPBirthGen,topAAge,topPAge,run
0,(x),20,-10,-0.011516189943699118,-0.019614119061095975,0.01968504928978615,-0.009949748743718593,7.932639999999999,130316449876.25615,317.51,0.19899999999999998,1,1,0.8169184716078478,0,188859239900316100000000,0,254329688101374920000,0,(((((((0)*(3))+((6)+(9)))+(((9)+(x))+((5)+((2)+(7)))))-((((5)*(9))-((9)-((0)*(4))))-(((8)-(2))+((4)-((8)+(9))))))-(((((8)*(1))*((7)+(8)))*(((4)*(5))-((4)*((1)+(1)))))+((((2)*(5))*((9)*((5)*(1))))*(((4)*(3))*((x)*((x)+(6)))))))*((((((2)-(8))+((8)-(0)))+(((x)*(8))*((4)*((3)*(7)))))+((((5)*(1))*((8)*(4)))-(((5)-(4))-((x)-((x)-(x))))))-(((((0)-(4))*((5)*(7)))-(((2)*(9))*((x)*((7)*(1)))))*((((5)*(6))*((6)*(x)))*(((7)-(3))-((2)-((2)-((5)*(9))))))))),((0)+(x)),DeleteNonTerminalR|AddToLeafR|ReplaceBranchR|AddTreeWithMult|AddTreeWithMult|DeleteTerminalR|AddTreeWithMult|AddTreeWithSub|AddTreeWithAdd|AddTreeWithMult|ReplaceBranchR|MutateNonTerminalR|AddRandomSubTreeR|DeleteMaliciousR|AddToLeafR,MultXD|AddTreeWithDiv|SkipD|DivXD|SkipD|SubXD|MultXD|FellTreeD|AddXD|MultXD|SubXD|SubXD|FellTreeD|AddXD|SkipD,AddTreeWithMult,SkipD,0,0,1,1,8
1,(x),20,-10,0.00047730206950636803,-0.019999311149263527,0.019998586738234243,0.02,1040.1640699999998,719104863983061600000000,70758.3,0,1,1,0.7215989936105276,0,38757955494068690000000000,0,17996946950062084000,0,(((((((x)+(3))-((6)*(5)))*(((2)*(9))*((6)*((6)*(7)))))*((((1)+(x))*((7)-((7)+(9))))-(((6)-(1))-((4)-((2)-(5))))))-(((((2)-(0))-((8)-((8)+(1))))-(((4)*(1))+((4)*((9)*(2)))))*((((5)*(2))*((5)*((8)*(8))))*(((7)-(3))+((2)*((6)-(0)))))))*((((((x)*(7))+((7)*(4)))*(((6)*(x))*((7)*((7)*(5)))))*((((8)*(9))*((7)*((9)*(4))))*(((4)*(4))*((2)*((8)+(1))))))+(((((9)*(5))+((6)+(9)))+(((4)*(4))*((3)*((9)*(9)))))*((((4)*(0))*((7)-((3)+(4))))*(((x)-(x))+((x)+((4)+((0)-(x))))))))),(((0)+(x))*((x)/(x))),DeleteMaliciousR|AddToLeafR|AddRandomSubTreeR|AddToLeafR|AddTreeWithMult|AddToLeafR|MutateTerminalR|AddTreeWithMult|AddTreeWithMult|AddTreeWithMult|AddTreeWithSub|AddTreeWithMult|MutateTerminalR|MutateTerminalR|AddToLeafR,AddTreeWithDiv|MultXD|MultXD|DivXD|DivXD|SubXD|SkipD|FellTreeD|FellTreeD|SkipD|SkipD|FellTreeD|AddXD|MultXD|DivXD,AddTreeWithMult,MultXD,1,1,2,2,8
2,(x),20,-10,0.002238900338465618,0.008939481331656798,0.019998041055173877,0.02,1056.10386,331945582861318.44,51047.89,0,1,1,0.7544297776773092,0,52462642636438310000000000000,0,5246264263643767000000000000000,0,(((((((9)*(7))-((2)-((7)*(4))))*(((9)-(7))*((4)-((x)+(8)))))+((((2)+(x))+((5)*((6)-(x))))-(((1)*(6))*((8)*((7)*(8))))))-(((((8)+(0))-((x)-((3)+(2))))*(((0)-(x))-((0)-((8)-(9)))))-((((3)-(3))-((3)-((2)*(5))))-(((5)*(8))-((2)+((8)+(8)))))))-((((((0)+(9))*((7)+(2)))*(((3)*(9))*((5)*((7)*(7)))))*((((5)*(3))*((7)*((5)*(4))))*(((6)*(1))*((5)*((x)*(9))))))*(((((8)*(6))*((4)*((4)*(4))))*(((7)+(x))*((5)+((9)*(x)))))*((((5)*(9))*((7)*((7)*(8))))*(((5)-(2))-((3)*((4)-((4)*(9))))))))),((0)+(x)),AddToLeafR|AddRandomSubTreeR|MutateNonTerminalR|DeleteMaliciousR|AddToLeafR|AddToLeafR|DeleteMaliciousR|AddTreeWithMult|AddRandomSubTreeR|AddRandomSubTreeR|AddTreeWithSub|AddTreeWithMult|AddTreeWithMult|AddRandomSubTreeR|AddTreeWithMult,AddXD|FellTreeD|SkipD|SubXD|SkipD|MultXD|SubXD|FellTreeD|FellTreeD|SkipD|SkipD|AddXD|AddXD|FellTreeD|AddXD,AddRandomSubTreeR,AddXD,2,1,3,3,8
3,(x),20,-10,0.011442821086990122,0.013607522912962924,0.019999970044267006,0.02,118977.54130000001,420656714723994.4,3338259.1580000003,0,1,1,0.9743186645251553,0,12736929964845232000000000,0,3681140829703598600,0,(((((((2)*(x))*((4)*(0)))-(((4)+(4))-((3)-((0)*(1)))))-((((3)-(x))*((0)+(x)))*(((7)*(4))*((3)*((5)*(8))))))*(((((2)*(7))+((2)+(7)))+(((x)*(6))-((9)-((5)-(1)))))-((((0)*(1))*((8)+((6)*(5))))*(((5)*(2))*((x)*((8)-(7)))))))+((((((5)+(3))*((6)-(0)))+(((1)-(2))*((0)+((4)*(0)))))+((((6)-(x))*((4)*(3)))*(((5)*(3))*((x)*((8)*(5))))))*(((((7)+(0))-((0)+(4)))+(((8)+(2))-((6)-((2)+(5)))))*((((6)-(0))-((2)-(5)))-(((6)-(3))-((3)*((6)*((6)*(x))))))))),((0)+(x)),AddTreeWithMult|AddTreeWithSub|ReplaceBranchR|ReplaceBranchXR|DeleteMaliciousR|AddTreeWithMult|ReplaceBranchXR|AddToLeafR|AddTreeWithMult|AddRandomSubTreeR|AddRandomSubTreeR|AddToLeafR|AddRandomSubTreeR|AddTreeWithMult|AddToLeafR,SubXD|AddXD|SkipD|FellTreeD|AddXD|AddTreeWithDiv|DivXD|AddTreeWithDiv|AddTreeWithDiv|DivXD|SubXD|AddTreeWithDiv|FellTreeD|FellTreeD|AddXD,AddTreeWithMult,AddTreeWithDiv,3,3,4,4,8
4,(x),20,-10,0.008587946598730996,0.01880584929794802,0.019999999045796305,0.02,1289276.5123400001,11422301563958.84,104799426.33600001,0,1,1,0.6373370780450995,0,371037334550857430000000,0,3384305096074054000,0,(((((((5)*(4))-((9)*(9)))+(((9)*(4))+((x)+((7)-(8)))))+((((x)*(3))-((2)-((4)+(9))))+(((5)+(x))-((0)*((6)-(3))))))-(((((7)-(0))-((x)-((x)-(6))))*(((1)*(2))*((5)*((1)-(8)))))*((((0)-(8))+((9)+((4)*(2))))+(((9)*(6))*((8)*((7)*(5)))))))*((((((4)*(9))*((4)+(3)))*(((8)*(8))*((x)*((7)*(5)))))*((((5)*(1))+((8)+((x)+(9))))+(((0)+(3))+((5)*((6)*(1))))))+(((((8)+(6))+((x)+(1)))+(((2)*(6))+((8)*((0)-(0)))))*((((7)*(4))-((x)*((4)-(0))))*(((4)-(5))-((9)*((1)*((x)*(1))))))))),((0)+(x)),ReplaceBranchR|AddTreeWithSub|MutateTerminalR|AddToLeafR|AddTreeWithMult|AddTreeWithAdd|MutateTerminalR|AddToLeafR|AddTreeWithMult|AddRandomSubTreeR|AddRandomSubTreeR|AddToLeafR|AddRandomSubTreeR|AddTreeWithMult|AddToLeafR,SubXD|DivXD|SkipD|SubXD|FellTreeD|SubXD|AddXD|SubXD|SkipD|MultXD|SubXD|SubXD|FellTreeD|AddXD|SkipD,AddToLeafR,SubXD,4,3,5,5,8
5,(x),20,-10,0.016535663790500862,-0.01701492537313433,0.019999999695918324,0.02,12004518.008529998,0.67,328859014.39,0,1,1,0.411719006439845,0,296139553414252230000000,0,303418578616743200000,0,(((((((3)+((2)-(3)))*((0)-((5)+(4))))+(((6)-((x)*(0)))-((5)-((9)-(x)))))*((((3)*((3)*(4)))*((2)*((1)+(8))))+(((5)*((5)*(1)))*(((4)-(5))*((7)*(7))))))*(((((7)*((5)+(3)))*((4)*((5)*(x))))*(((5)*((2)*(8)))*((0)*((5)*(3)))))+((((0)-((3)+(9)))*((3)-((2)+(4))))-(((8)-((1)+(0)))+(((8)*(7))*((7)*(2)))))))*((((((2)*((7)*(1)))*((5)+((8)+(4))))+(((6)+((5)+(0)))*((4)*((x)*(1)))))-((((3)*((7)*(5)))-((1)*((x)-(0))))*(((4)-((6)-(4)))-((9)-((8)+(3))))))-(((((8)*((8)-(0)))*((8)-((0)+(7))))-(((9)-((5)*(6)))+((6)*((5)+(6)))))+((((6)+((3)+(1)))+((0)+((5)-(4))))-(((0)+((2)*(3)))-((1)-((5)*((1)+(2))))))))),((0)+(x)),AddTreeWithAdd|AddToLeafR|AddRandomSubTreeR|AddToLeafR|AddTreeWithMult|AddTreeWithAdd|MutateTerminalR|AddToLeafR|AddTreeWithMult|AddRandomSubTreeR|AddRandomSubTreeR|AddToLeafR|AddRandomSubTreeR|ReplaceBranchXR|AddToLeafR,SubXD|AddTreeWithDiv|SkipD|SubXD|SkipD|AddXD|DivXD|AddTreeWithDiv|AddTreeWithDiv|DivXD|DivXD|SubXD|FellTreeD|AddXD|SkipD,AddToLeafR,SubXD,5,4,6,6,8
6,(x),20,-10,0.015358796065982373,-0.01701492537313433,0.019999999922848455,-0.01701492537313433,15830285.037490003,0.67,1296150303.8960001,0.67,1,1,0.4759467471946297,0,3122359019886241000000000,0,247676555040619170000,0,(((((((x)-((5)*(2)))-((5)*((0)*(6))))*(((7)*((3)*(3)))*((2)*((7)+(2)))))*((((5)*((4)-(8)))+((3)-((7)+(2))))*(((1)+((0)+(2)))+(((8)+(8))+((0)+(5))))))+(((((x)+((3)+(3)))+((7)*((3)*(8))))+(((8)-((1)*(8)))-((2)+((5)-(x)))))+((((5)-((6)*(1)))-((9)*((3)-(8))))*(((6)*((5)*(5)))*(((x)*(2))*((3)*(4)))))))*((((((7)-((6)*(2)))-((8)-((6)+(x))))*(((4)+((1)-(5)))*((x)*((1)*(5)))))-((((x)*((0)-(7)))*((9)-((7)*(9))))*(((x)*((x)*(3)))+((7)+((4)+(x))))))*(((((2)*((3)-(9)))*((2)*((3)+(0))))+(((3)*((3)+(3)))*((6)*((9)-(7)))))*((((8)*((8)+(6)))-((8)+((8)+(5))))-(((0)-((0)*(9)))*((7)-((2)+((3)*(2))))))))),((0)+(x)),ReplaceBranchR|ReplaceBranchXR|AddToLeafR|AddToLeafR|AddTreeWithMult|ReplaceBranchXR|ReplaceBranchR|AddToLeafR|AddTreeWithMult|AddRandomSubTreeR|AddTreeWithAdd|ReplaceBranchXR|AddToLeafR|AddTreeWithMult|AddRandomSubTreeR,AddTreeWithDiv|MultXD|AddXD|SkipD|MultXD|FellTreeD|DivXD|FellTreeD|FellTreeD|SkipD|SubXD|SubXD|FellTreeD|AddXD|SkipD,AddToLeafR,FellTreeD,6,6,7,7,8
7,(x),20,-10,0.015479133741511648,0.008542502259087098,0.019999999993857015,0.02,394425965.93082,1.4196669073828374,16278725571.736,0,1,1,0.5955390375528522,0,18709232340139213000000000,0,67703224887915430000,0,(((((((5)*(7))+((4)-((2)*(x))))-(((4)-((3)-(8)))*((x)+((3)*(4)))))-((((1)*((9)*(2)))-((7)-((2)-(5))))*(((2)*((x)*(9)))*((4)*((4)*(3))))))*(((((2)*(x))*((2)-((3)+(8))))*(((6)+((4)+(3)))*((1)-((9)+(7)))))-((((9)*((7)-(7)))-((9)*((4)*(x))))+(((7)-((x)-(5)))-((4)-((2)-(7)))))))*((((((2)*(2))*((7)+((5)*(1))))+(((0)*((0)-(2)))*((1)-((6)-(6)))))*((((9)*(x))-((x)*((4)*(2))))*(((9)*((x)*(1)))*((2)*((6)*(6))))))+(((((0)*(9))-((8)*((6)+(3))))+(((0)+((4)+(2)))+((5)-((5)+(2)))))+((((4)*(3))-((1)*((2)*(2))))*(((0)*((6)*(x)))*((6)*((x)*((5)+(5))))))))),((0)+(x)),ReplaceBranchR|ReplaceBranchXR|AddToLeafR|AddToLeafR|AddTreeWithMult|ReplaceBranchXR|MutateTerminalR|AddTreeWithMult|AddRandomSubTreeR|AddToLeafR|AddTreeWithAdd|ReplaceBranchXR|AddToLeafR|AddTreeWithMult|AddRandomSubTreeR,SubXD|DivXD|SkipD|MultXD|FellTreeD|SubXD|DivXD|AddTreeWithDiv|AddXD|DivXD|SubXD|AddTreeWithDiv|MultXD|FellTreeD|AddXD,AddToLeafR,SubXD,7,6,8,8,8
8,(x),20,-10,0.016241395131337794,0.009224929877965275,0.019999999960995794,0.02,38252011.14791,2678373436.3096,2563826194.48,0,1,1,0.5753310678103625,0,514928950598390840000000000,0,1452833382630361100000,0,(((((((x)+(8))+((0)+(6)))*(((5)*(4))*((4)*((5)*(3)))))*((((1)*(4))*((4)*((6)+(3))))+(((8)*(9))-((7)*((0)-(8))))))*(((((7)+(0))+((7)+(8)))+(((8)+(2))+((8)+((2)-(9)))))+((((6)*(2))+((5)+((1)*(2))))*(((9)+(8))*((2)-((1)-(9)))))))*((((((3)-(7))-((8)*(x)))+(((7)*(7))*((6)*((8)+(2)))))-((((7)+(7))*((6)*(2)))*(((7)*(9))*((9)*((4)*(2))))))-(((((0)+(3))-((6)+(6)))-(((9)-(8))-((8)*((5)-(9)))))*((((5)*(8))*((3)-((9)+(x))))-(((2)*(5))*((x)*((1)*((3)*(x))))))))),((0)+(x)),ReplaceBranchXR|AddTreeWithAdd|MutateTerminalR|AddToLeafR|AddTreeWithMult|ReplaceBranchR|AddRandomSubTreeR|AddTreeWithMult|AddTreeWithMult|AddRandomSubTreeR|AddRandomSubTreeR|AddToLeafR|AddRandomSubTreeR|AddTreeWithMult|AddRandomSubTreeR,SubXD|DivXD|SubXD|FellTreeD|SkipD|SubXD|AddXD|FellTreeD|AddTreeWithDiv|AddTreeWithDiv|SkipD|FellTreeD|FellTreeD|AddXD|SkipD,AddRandomSubTreeR,FellTreeD,8,7,9,9,8
9,(x),20,-10,0.012008639809099511,-0.01705882352941176,0.01999999999259987,-0.017058823529411765,139660021.66781005,0.68,13513277936.65,0.68,1,1,0.43005273234958646,0,6327609298870235000000,0,684218890106482500000,0,(((((((x)+(4))-((2)-((4)-(3))))+(((0)-(2))+((4)*((x)*(6)))))*((((4)+(9))*((5)+((x)-(1))))*(((6)-((3)*(6)))*((6)*((5)*(4))))))*(((((3)*(4))*((9)*((1)*(8))))-(((9)*(1))-((0)-((x)*(x)))))*((((1)*(3))+((2)*((9)+(5))))+(((1)+((0)*(8)))-((5)+((x)+(7)))))))+((((((2)+(9))-((6)*((2)*(4))))+(((7)*(4))*((5)*((4)+(4)))))+((((1)-(1))*((5)-((9)+(1))))*(((2)-(x))+((7)+((4)*(5))))))*(((((9)*(8))*((x)*((6)*(3))))*(((2)*(1))*((8)*((x)*(6)))))*((((8)-(x))*((0)-((7)-(2))))-(((9)*((4)*(2)))*((1)*((x)*((7)+(3))))))))),((0)+(x)),ReplaceBranchXR|AddTreeWithAdd|MutateTerminalR|AddRandomSubTreeR|AddTreeWithAdd|ReplaceBranchXR|MutateTerminalR|AddToLeafR|AddTreeWithMult|AddRandomSubTreeR|AddRandomSubTreeR|AddToLeafR|AddTreeWithMult|AddTreeWithMult|AddToLeafR,SubXD|AddTreeWithDiv|SkipD|FellTreeD|AddTreeWithDiv|AddXD|DivXD|FellTreeD|FellTreeD|SkipD|SkipD|FellTreeD|AddXD|FellTreeD|AddXD,AddToLeafR,FellTreeD,9,8,10,10,8
10,(x),20,-10,0.01606455464112861,0.01440022783667605,0.019999999976517004,0.02,86294772.97684002,3301879691695.045,4258400246.641,0,1,1,0.45716387640816986,0,993334469725978500000000,0,10164380949747784000,0,(((((((x)*((8)*(3)))+((x)-((3)*(1))))+(((6)-((3)*(2)))*((x)*((4)*(1)))))*((((6)*((4)*(2)))*((2)-((x)*(5))))*(((6)-((2)-(x)))+((x)+((3)+(3))))))-(((((9)+((7)+(3)))*((5)*((6)+(2))))+(((0)+((x)-(5)))-((x)-((6)+(2)))))*((((6)*((2)*(5)))*((1)*((7)+(1))))+(((9)+((5)+(9)))*(((9)*(x))*((4)*(9)))))))*((((((3)*(8))*((4)+((2)-(3))))-(((4)+((8)-(x)))-((x)-((4)-(x)))))+((((8)*((x)-(7)))-((9)-((8)-(6))))+(((3)*((9)*(2)))*((2)*((0)+(6))))))*(((((1)-((2)-(9)))-((1)-((1)-(5))))+(((0)-((x)+(5)))-((4)+((6)*(4)))))*((((6)+((2)+(7)))+((2)*((2)-(0))))*(((6)*((8)-(3)))-((9)+((7)*((1)*(5))))))))),((0)+(x)),ReplaceBranchR|AddTreeWithSub|ReplaceBranchR|AddTreeWithSub|AddToLeafR|ReplaceBranchXR|MutateNonTerminalR|AddTreeWithAdd|AddTreeWithMult|AddRandomSubTreeR|AddRandomSubTreeR|AddToLeafR|AddTreeWithMult|AddTreeWithMult|AddToLeafR,AddTreeWithDiv|MultXD|AddXD|SkipD|MultXD|FellTreeD|DivXD|FellTreeD|FellTreeD|AddXD|SubXD|FellTreeD|FellTreeD|AddXD|SkipD,AddTreeWithMult,FellTreeD,10,8,11,11,8
