gen,specEquation,range,seed,AGenFitAvg,PGenFitAvg,AGenBestFitAvg,PGenBestFitAvg,AGenDeltaAvg,PGenDeltaAvg,AGenBestDeltaAvg,PGenBestDeltaAvg,topABestFit,topPBestFit,topAStdDev,topPStdDev,topAAvgDelta,topPAvgtDelta,topABestDelta,topPBestDelta,topAEquation,topPEquation,topAStrat,topPStrat,topADomStrat,topPDomStrat,topABirthGen,topPBirthGen,topAAge,topPAge,run
0,(x),20,-10,-0.007041151636201493,0.00925091546196997,0.01994041163641564,0.02,38.515280000000004,1500618.8976598063,1678.18,0,1,1,0.8710920174428615,0,28327858215305030000,0,2832780632094417600000,0,((((((6)*((0)*(3)))+(((0)+(2))+((7)+(9))))+((((8)+(0))+((4)+(3)))*(((4)*(1))+((9)*(6)))))+(((((2)-(6))-((8)+(4)))+(((1)-(4))*((9)*(x))))*((((4)*(8))*((1)*(7)))*(((7)*(8))*((2)*(1))))))+(((((7)-((8)*(6)))*(((9)*(7))*((2)*(4))))*(((4)*((2)*(4)))*(((3)*(5))*((5)*(x)))))*((((4)*((8)*(3)))*(((5)+(8))-((2)-(2))))+((((7)+(0))+((5)*(7)))+(((0)+(9))*((0)-((x)-(3)))))))),((((0)/(x))+((x)-(x)))+((x)-((x)+(x)))),DeleteMaliciousR|DeleteTerminalR|AddTreeWithMult|AddToLeafR|AddTreeWithMult|AddToLeafR|MutateNonTerminalR|AddTreeWithMult|AddTreeWithAdd|MutateTerminalR|AddRandomSubTreeR|DeleteMaliciousR|AddTreeWithMult|ReplaceBranchR|DeleteNonTerminalR,AddXD|AddTreeWithDiv|SkipD|AddXD|FellTreeD|MultXD|MultXD|FellTreeD|DivXD|AddXD|SubXD|AddXD|AddXD|SkipD|AddXD,AddTreeWithMult,AddXD,0,0,1,1,9
1,(x),20,-10,-0.0004167731342419495,-0.002059417257507149,0.019970606407450454,0.02,118.55726,196210223564.27734,3402.1020000000003,0,1,1,0.9251931733230029,0,11799626129291115000000,0,12795781939219466000000,0,((((((5)-((4)-(3)))-((2)-((7)-(1))))-(((8)-((0)*(2)))*((5)*((5)*(6)))))*((((3)*((4)*(1)))*((2)*((5)+(1))))-(((0)-((1)*(9)))*((4)*((2)*(3))))))*(((((x)*(5))*((8)*((7)*(7))))*(((8)*((3)*(2)))*((6)+((6)*(6)))))*((((7)*(1))+((5)*((x)-(9))))*(((x)-((2)*(4)))*((9)*((5)*((2)*(8)))))))),(((0)*((x)*(x)))-((x)+((x)+(x)))),AddTreeWithMult|ReplaceBranchR|MutateNonTerminalR|MutateNonTerminalR|AddTreeWithMult|AddTreeWithMult|MutateNonTerminalR|AddToLeafR|DeleteMaliciousR|AddToLeafR|AddToLeafR|AddTreeWithSub|AddTreeWithMult|MutateNonTerminalR|AddRandomSubTreeR,SkipD|AddXD|AddTreeWithDiv|FellTreeD|MultXD|SkipD|FellTreeD|AddXD|FellTreeD|SkipD|MultXD|MultXD|SubXD|AddXD|AddXD,AddTreeWithMult,AddXD,1,1,2,2,9
2,(x),20,-10,0.011784414570386273,0.01839559882353024,0.019999986760392607,0.02,109027.82508000001,17874242986.531574,7553094.063999999,0,1,1,0.5679505749807047,0,3444250466832353000000000,0,56613575140224280000,0,(((((((7)+(5))+((x)*(6)))+(((5)*(2))*((5)+((0)-(6)))))+((((9)-(1))*((1)-((0)+(4))))-(((1)-(3))-((8)-((x)-(x))))))-(((((8)*(8))-((1)+((6)*(2))))-(((x)-(7))-((7)+((9)+(9)))))+((((1)+(1))+((x)+((8)+(6))))-(((0)*(7))-((4)-((x)-(0)))))))-((((((6)+(6))*((8)*(5)))-(((3)*(1))-((5)-((3)+(9)))))+((((7)*(x))*((9)*((4)*(7))))*(((2)*(3))*((1)*((4)*(6))))))*(((((9)*(6))*((4)*(9)))*(((1)*(1))*((3)*((6)*(2)))))*((((7)*(8))*((6)+((9)*(6))))*(((2)*(2))*((9)*((9)*((6)*(2))))))))),((0)+(x)),AddRandomSubTreeR|AddRandomSubTreeR|AddTreeWithSub|AddTreeWithMult|MutateNonTerminalR|AddToLeafR|MutateNonTerminalR|AddTreeWithSub|MutateNonTerminalR|AddTreeWithAdd|AddTreeWithMult|ReplaceBranchXR|AddTreeWithMult|AddRandomSubTreeR|AddTreeWithMult,DivXD|AddTreeWithDiv|SkipD|SkipD|SkipD|AddXD|SkipD|AddXD|MultXD|MultXD|AddTreeWithDiv|SubXD|MultXD|FellTreeD|AddXD,AddTreeWithMult,SkipD,2,2,3,3,9
3,(x),20,-10,0.01175092880817048,0.014446214059972757,0.019999987304383723,0.02,138544.04035,440318692.475462,7876734.6,0,1,1,0.6161000890272051,0,6724264292468324000000,0,672426409732117400000000,0,(((((((3)-(8))-((7)+((9)*(9))))-(((2)+(8))+((4)*((2)-(x)))))-((((0)-(5))*((5)*((9)-(1))))*(((0)-((3)*(8)))-((7)-((4)*(4))))))*(((((6)-(3))+((4)+((4)*(7))))+(((x)*(4))*((9)*((9)*(8)))))*((((2)-(6))-((x)+((5)*(6))))+(((5)*((1)-(9)))*((3)*((x)*(5)))))))*((((((3)*(7))+((8)*((7)+(7))))-(((7)*(9))+((2)*((8)*(7)))))-((((9)*(7))*((4)*((1)*(6))))*(((6)*(5))*((5)+((1)*(7))))))+(((((8)*(9))+((x)*((7)-(6))))-(((7)+(1))+((3)-((x)-(8)))))+((((4)+(1))-((2)+((0)+(5))))-(((5)+((0)-(1)))-((0)+((2)+((x)-(3))))))))),((0)+(x)),AddToLeafR|ReplaceBranchR|AddToLeafR|MutateTerminalR|ReplaceBranchXR|AddToLeafR|ReplaceBranchXR|AddToLeafR|ReplaceBranchR|AddRandomSubTreeR|AddToLeafR|MutateNonTerminalR|AddTreeWithMult|AddRandomSubTreeR|AddTreeWithMult,DivXD|AddTreeWithDiv|AddTreeWithDiv|SubXD|AddXD|AddXD|FellTreeD|FellTreeD|DivXD|AddXD|FellTreeD|AddTreeWithDiv|AddXD|FellTreeD|AddXD,AddToLeafR,AddXD,3,3,4,4,9
4,(x),20,-10,0.012180208567502395,0.016401059348355687,0.01999999480385856,0.02,222817.36584,82878979505.84622,19245049.644,0,1,1,0.5411010911021588,0,102928370771059650000000000,0,6109245065705959000,0,(((((((3)-(5))+((x)+((6)*(7))))+(((x)*((8)*(8)))*((2)-((0)+(7)))))-((((9)+(4))-((5)-((8)*(5))))-(((3)+((6)+(6)))*((6)+((8)+(0))))))+(((((0)+(7))+((3)+((5)+(8))))+(((6)+((5)-(3)))-((8)*((8)-(3)))))+((((7)-((6)-(5)))-((4)*((6)-(x))))+(((3)*((4)*(8)))-((x)+((x)*(x)))))))-((((((0)-(4))-((1)-((6)-(2))))*(((0)*(8))*((1)*((x)*(8)))))-((((1)-(9))-((7)-((6)+(1))))*(((x)*((8)-(1)))*((4)*((x)*(8))))))*(((((7)*(7))*((6)*((1)*(7))))*(((6)*((9)*(1)))*((8)*((5)*(2)))))*((((3)*(1))-((4)*((2)-(4))))+(((2)-((4)-(5)))-((8)-((4)*((x)*(3))))))))),((0)+(x)),ReplaceBranchR|AddTreeWithSub|AddToLeafR|MutateTerminalR|ReplaceBranchXR|ReplaceBranchXR|AddRandomSubTreeR|ReplaceBranchR|AddTreeWithMult|AddToLeafR|AddToLeafR|AddTreeWithMult|AddToLeafR|ReplaceBranchR|AddTreeWithAdd,AddTreeWithDiv|MultXD|SkipD|AddTreeWithDiv|AddXD|DivXD|DivXD|SubXD|SkipD|MultXD|AddTreeWithDiv|SubXD|MultXD|FellTreeD|AddXD,AddToLeafR,AddTreeWithDiv,4,1,5,5,9
5,(x),20,-10,0.012363694518982305,0.0016163921946217626,0.01999999907281229,0.02,2930313.88661,3440204734.487357,107853025.53,0,1,1,0.555198741640925,0,39579953582522420000,0,3957992248318164000000,0,(((((((3)*(1))+((0)+(9)))*(((x)*(6))*((5)*(6))))*((((2)*(7))*((8)+(x)))+(((5)+(5))+((8)+(5)))))*(((((x)-(5))+((9)*(9)))-(((8)+(1))+((8)+(8))))+((((5)+(5))+((9)+(5)))*(((7)+(6))+((9)+((2)+(8)))))))*((((((6)*(3))*((9)-(4)))*(((x)*(7))*((8)*(4))))*((((x)+(7))-((2)*(7)))*(((5)*(8))+((5)+(9)))))*(((((7)*(x))-((5)-(0)))-(((4)-(1))-((0)-(3))))-((((x)*(x))-((8)*(4)))-(((8)*(5))-((8)-((7)+(0)))))))),((0)+(x)),ReplaceBranchR|AddTreeWithSub|AddToLeafR|ReplaceBranchR|AddTreeWithSub|AddTreeWithSub|ReplaceBranchR|DeleteTerminalR|AddToLeafR|AddTreeWithAdd|AddTreeWithMult|ReplaceBranchXR|AddTreeWithMult|ReplaceBranchR|AddTreeWithAdd,AddTreeWithDiv|MultXD|SkipD|AddTreeWithDiv|AddXD|DivXD|DivXD|AddTreeWithDiv|AddTreeWithDiv|MultXD|AddTreeWithDiv|SubXD|MultXD|FellTreeD|AddXD,ReplaceBranchR,AddTreeWithDiv,3,4,6,6,9
6,(x),20,-10,0.013900081897783934,0.0004001498085915448,0.0199997783785551,0.02,18742.31476,5827458240699.265,451219.87200000003,0,1,1,0.4905466266232652,0,14032161687096282000000,0,1403211474111437000000000,0,(((((((x)-(3))-((0)-(x)))*(((8)*(x))+((4)-((3)*(9)))))*((((5)-(8))+((9)*((6)*(9))))*(((x)*(1))*((9)-((5)+(4))))))-(((((2)*(2))-((3)*(0)))+(((1)-(3))-((0)-((0)+(9)))))+((((0)+(0))+((8)+((9)+(x))))+(((9)+(0))+((5)+((2)-(5)))))))-((((((x)+(3))*((2)-(7)))*(((9)*(x))*((4)*((8)+(2)))))+((((7)+(1))+((7)+(4)))+(((3)+(4))+((6)-((5)+(8))))))-(((((x)-(1))-((3)*(3)))*(((3)*(x))*((3)*((8)*(2)))))*((((x)*(7))*((8)*((x)*(x))))*(((4)*(9))*((9)*((5)*((5)*(7))))))))),((0)+(x)),AddToLeafR|ReplaceBranchXR|AddTreeWithAdd|AddTreeWithMult|MutateNonTerminalR|AddToLeafR|AddTreeWithSub|AddToLeafR|ReplaceBranchR|AddRandomSubTreeR|AddToLeafR|AddTreeWithAdd|MutateTerminalR|AddTreeWithMult|AddTreeWithMult,DivXD|DivXD|FellTreeD|FellTreeD|MultXD|SkipD|SkipD|FellTreeD|SubXD|AddXD|AddTreeWithDiv|SubXD|MultXD|FellTreeD|AddXD,AddToLeafR,FellTreeD,6,5,7,7,9
7,(x),20,-10,0.017793849138854935,0.013600720401305682,0.01999999971899449,0.02,7262697.452839999,26465200404921.89,355864908.52199996,0,1,1,0.5730703577348256,0,28357502639702853000000,0,2834733783787506000000000,0,(((((((0)+(0))-((6)+(3)))+(((x)+(2))+((1)+(6))))+((((4)+(1))+((2)*(5)))-(((7)+(x))*((2)+((2)*(4))))))*(((((9)*(8))*((7)*(8)))*(((4)*(6))*((8)*((5)*(3)))))*((((5)*(x))+((0)-(5)))+(((7)*(2))-((9)*((1)+(9)))))))+((((((2)+(7))+((6)+(4)))+(((8)+(4))*((7)*(7))))*((((x)*(4))*((7)*(4)))*(((7)*(8))*((7)+(5)))))+(((((0)*(3))+((5)-(x)))-(((1)+(3))*((1)*(8))))*((((1)*(6))*((6)*(8)))*(((5)*(7))-((0)+((3)-((5)+(2))))))))),((0)+(x)),AddToLeafR|ReplaceBranchXR|AddTreeWithAdd|AddTreeWithMult|AddToLeafR|AddTreeWithAdd|MutateNonTerminalR|AddTreeWithMult|ReplaceBranchR|AddRandomSubTreeR|AddToLeafR|AddTreeWithAdd|MutateTerminalR|AddTreeWithMult|AddTreeWithMult,AddTreeWithDiv|DivXD|FellTreeD|SubXD|DivXD|AddXD|FellTreeD|AddXD|DivXD|AddXD|SubXD|AddXD|AddXD|FellTreeD|AddXD,AddTreeWithMult,AddXD,7,6,8,8,9
8,(x),20,-10,0.01653804199421968,0.008800061362214878,0.0199999995824835,0.02,3708453.9497,5797403098.514775,239511492.711,0,1,1,0.5871009697684152,0,27975368539321894000000,0,2797529592376883000000000,0,(((((((4)*((1)+(2)))-((5)-((9)-(x))))*(((4)+((7)-(9)))*((7)-((5)*(x)))))*((((8)*((8)*(5)))*((x)*((5)*(2))))*(((9)+((x)+(7)))*((1)-((9)-(1))))))*(((((x)*((3)*(9)))*((9)*((5)*(5))))*(((7)-((7)-(3)))-((9)-((6)-(1)))))+((((2)*((x)*(2)))-((9)*((5)+(3))))*(((9)*((7)+(1)))-(((1)*(x))-((6)*(3)))))))*((((((0)*(7))*((3)*((9)*(8))))*(((1)-((x)-(x)))-((9)-((0)-(7)))))-((((4)-((8)*(2)))*((6)*((2)*(4))))*(((x)+((3)*(x)))+((8)+((3)*(0))))))*(((((2)*((4)+(5)))+((5)*((1)+(2))))+(((9)+((4)+(0)))+((3)+((8)+(1)))))+((((x)-((2)+(2)))-((3)+((9)+(1))))*(((4)*((x)+(1)))+((1)+((8)+((0)+(5))))))))),((0)+(x)),AddToLeafR|ReplaceBranchXR|AddTreeWithAdd|ReplaceBranchR|ReplaceBranchXR|AddRandomSubTreeR|AddTreeWithSub|AddTreeWithSub|ReplaceBranchR|AddTreeWithAdd|AddTreeWithMult|ReplaceBranchXR|AddTreeWithMult|AddRandomSubTreeR|AddTreeWithMult,AddTreeWithDiv|MultXD|SkipD|AddTreeWithDiv|AddXD|SubXD|AddTreeWithDiv|AddXD|AddXD|AddXD|MultXD|AddXD|AddXD|FellTreeD|AddXD,ReplaceBranchXR,AddXD,8,6,9,9,9
9,(x),20,-10,0.017602174020469694,-0.01986798679867987,0.01999999989449885,0.02,12401849.864319999,15.15,947856975.413,0,1,1,0.46738094317391005,0,24858541624459494000000000,0,2485854162402397700000000000,0,(((((((0)+(3))+((4)+((3)+(5))))+(((4)*((9)+(5)))+((0)-((2)+(x)))))-((((2)+((0)-(0)))+((2)*((6)*(x))))*(((3)-((6)-(8)))-((5)*((3)*(3))))))*(((((7)*((x)*(7)))*((9)*((4)*(6))))-(((3)-((x)*(x)))+((9)-((6)+(6)))))-((((1)*((3)*(x)))-((2)*((8)+(0))))+(((4)+((8)+(6)))+((2)+((8)-(4)))))))-((((((8)-(6))-((2)-((2)-(x))))-(((1)+((2)*(9)))-((1)-((x)*(x)))))+((((1)+(x))+((9)*((8)+(7))))*(((5)*((x)+(9)))*((2)*((2)-(1))))))+(((((4)+(9))*((5)*((8)*(8))))*(((x)*((8)*(7)))*((7)+((3)+(4)))))+((((8)+((6)+(3)))*((9)*((0)+(4))))+(((1)+((7)*(x)))*((3)+((1)*((7)*(1))))))))),((0)+(x)),AddToLeafR|ReplaceBranchXR|AddTreeWithAdd|AddToLeafR|AddToLeafR|AddTreeWithAdd|MutateNonTerminalR|AddTreeWithSub|ReplaceBranchR|AddTreeWithAdd|AddToLeafR|AddToLeafR|AddRandomSubTreeR|AddTreeWithMult|AddTreeWithMult,DivXD|DivXD|FellTreeD|FellTreeD|MultXD|MultXD|MultXD|AddXD|FellTreeD|SkipD|AddTreeWithDiv|SubXD|MultXD|FellTreeD|AddXD,AddToLeafR,FellTreeD,8,8,10,10,9
10,(x),20,-10,0.0156877682061963,-0.01705882352941176,0.019999998820550754,0.02,1344442.4075,0.68,84785335.39,0,1,1,0.5367976153205363,0,273083877538068330000000000,0,27127301302404895000000000000,0,(((((((9)*((x)*(3)))*((1)*((8)*(5))))*(((1)-((5)*(5)))*(((2)*(9))*((6)-(9)))))*((((8)*((9)+(7)))+((x)+((7)+(6))))+(((3)+((x)+(0)))*(((2)*(7))-((7)-(8))))))*(((((8)*((5)*(x)))*((9)*((6)*(2))))+(((9)*((6)+(6)))-(((5)*(1))*((9)*(8)))))*((((8)*((9)*(8)))*((7)*((6)*(8))))-(((3)-((8)-(8)))-(((1)-(0))-((2)-(6)))))))-((((((3)-((8)-(5)))-((5)-((9)-(x))))-(((7)*((8)-(7)))+((2)*((8)*(8)))))+((((6)*((5)+(7)))*((2)*((5)*(0))))*(((2)*((5)*(2)))*(((9)+(6))-((7)-(9))))))-(((((x)+((6)*(6)))*((3)+((5)*(8))))-(((1)*((1)-(5)))-((1)-((6)-(8)))))*((((4)*((2)+(6)))-((2)*((x)-(x))))+(((x)*((4)*(2)))-(((1)*(5))+((x)*((8)-(7))))))))),((0)+(x)),AddToLeafR|AddTreeWithSub|AddToLeafR|ReplaceBranchR|AddRandomSubTreeR|AddRandomSubTreeR|AddTreeWithSub|AddTreeWithSub|AddToLeafR|AddTreeWithAdd|AddTreeWithMult|ReplaceBranchXR|AddTreeWithMult|AddRandomSubTreeR|AddTreeWithMult,DivXD|MultXD|SkipD|AddTreeWithDiv|SkipD|AddXD|MultXD|FellTreeD|AddXD|AddXD|FellTreeD|SubXD|MultXD|FellTreeD|FellTreeD,AddToLeafR,FellTreeD,8,9,11,11,9
