A,P,AEquation,PEquation,AGen,PGen,ARun,PRun,count,run
AddRandomSubTreeR,MultXD,(((((((1)-((6)-(3)))+((5)+((2)*(1))))+(((6)-((6)+(7)))*((3)+((0)+(x)))))*((((4)-((3)*(4)))*((1)-((0)+(8))))*(((2)*((8)*(1)))*(((6)*(6))*((2)*(5))))))+(((((0)*((3)-(1)))+((1)-((x)-(6))))*(((4)+((0)*(7)))-((1)+((3)+(7)))))*((((6)*((5)*(3)))*((7)+((5)*(7))))+(((7)-((6)*(1)))-(((2)*(3))+((0)*(3)))))))-((((((4)-((x)+(0)))-((x)*((5)*(5))))+(((5)*((2)+(9)))+((4)*((0)*(3)))))-((((0)*((6)-(8)))+((2)*((6)*(2))))+(((6)-((1)*(x)))+((1)-((5)-(8))))))+(((((0)*((6)*(1)))+((4)*((2)*(5))))-(((5)+((2)+(6)))+((2)-((9)*(9)))))*((((8)*((8)*(x)))+((9)*((3)-(7))))-(((2)*((9)-(2)))*(((7)*(6))*((8)+((6)*(6))))))))),((0)+(x)),0,0,2,0,0,0
AddToLeafR,AddXD,(((((((1)-((6)-(3)))+((5)+((2)*(1))))+(((6)-((6)+(7)))*((3)+((0)+(x)))))*((((4)-((3)*(4)))*((1)-((0)+(8))))*(((2)*((8)*(1)))*(((6)*(6))*((2)*(5))))))+(((((0)*((3)-(1)))+((1)-((x)-(6))))*(((4)+((0)*(7)))-((1)+((3)+(7)))))*((((6)*((5)*(3)))*((7)+((5)*(7))))+(((7)-((6)*(1)))-(((2)*(3))+((0)*(3)))))))-((((((4)-((x)+(0)))-((x)*((5)*(5))))+(((5)*((2)+(9)))+((4)*((0)*(3)))))-((((0)*((6)-(8)))+((2)*((6)*(2))))+(((6)-((1)*(x)))+((1)-((5)-(8))))))+(((((0)*((6)*(1)))+((4)*((2)*(5))))-(((5)+((2)+(6)))+((2)-((9)*(9)))))*((((8)*((8)*(x)))+((9)*((3)-(7))))-(((2)*((9)-(2)))*(((7)*(6))*((8)+((6)*(6))))))))),((0)+(x)),0,0,2,0,1,0
AddToLeafR,SkipD,(((((((1)-((6)-(3)))+((5)+((2)*(1))))+(((6)-((6)+(7)))*((3)+((0)+(x)))))*((((4)-((3)*(4)))*((1)-((0)+(8))))*(((2)*((8)*(1)))*(((6)*(6))*((2)*(5))))))+(((((0)*((3)-(1)))+((1)-((x)-(6))))*(((4)+((0)*(7)))-((1)+((3)+(7)))))*((((6)*((5)*(3)))*((7)+((5)*(7))))+(((7)-((6)*(1)))-(((2)*(3))+((0)*(3)))))))-((((((4)-((x)+(0)))-((x)*((5)*(5))))+(((5)*((2)+(9)))+((4)*((0)*(3)))))-((((0)*((6)-(8)))+((2)*((6)*(2))))+(((6)-((1)*(x)))+((1)-((5)-(8))))))+(((((0)*((6)*(1)))+((4)*((2)*(5))))-(((5)+((2)+(6)))+((2)-((9)*(9)))))*((((8)*((8)*(x)))+((9)*((3)-(7))))-(((2)*((9)-(2)))*(((7)*(6))*((8)+((6)*(6))))))))),((0)+(x)),0,0,2,0,2,0
AddToLeafR,AddXD,(((((((1)-((6)-(3)))+((5)+((2)*(1))))+(((6)-((6)+(7)))*((3)+((0)+(x)))))*((((4)-((3)*(4)))*((1)-((0)+(8))))*(((2)*((8)*(1)))*(((6)*(6))*((2)*(5))))))+(((((0)*((3)-(1)))+((1)-((x)-(6))))*(((4)+((0)*(7)))-((1)+((3)+(7)))))*((((6)*((5)*(3)))*((7)+((5)*(7))))+(((7)-((6)*(1)))-(((2)*(3))+((0)*(3)))))))-((((((4)-((x)+(0)))-((x)*((5)*(5))))+(((5)*((2)+(9)))+((4)*((0)*(3)))))-((((0)*((6)-(8)))+((2)*((6)*(2))))+(((6)-((1)*(x)))+((1)-((5)-(8))))))+(((((0)*((6)*(1)))+((4)*((2)*(5))))-(((5)+((2)+(6)))+((2)-((9)*(9)))))*((((8)*((8)*(x)))+((9)*((3)-(7))))-(((2)*((9)-(2)))*(((7)*(6))*((8)+((6)*(6))))))))),((0)+(x)),0,0,2,0,3,0
AddToLeafR,SkipD,(((((((1)-((6)-(3)))+((5)+((2)*(1))))+(((6)-((6)+(7)))*((3)+((0)+(x)))))*((((4)-((3)*(4)))*((1)-((0)+(8))))*(((2)*((8)*(1)))*(((6)*(6))*((2)*(5))))))+(((((0)*((3)-(1)))+((1)-((x)-(6))))*(((4)+((0)*(7)))-((1)+((3)+(7)))))*((((6)*((5)*(3)))*((7)+((5)*(7))))+(((7)-((6)*(1)))-(((2)*(3))+((0)*(3)))))))-((((((4)-((x)+(0)))-((x)*((5)*(5))))+(((5)*((2)+(9)))+((4)*((0)*(3)))))-((((0)*((6)-(8)))+((2)*((6)*(2))))+(((6)-((1)*(x)))+((1)-((5)-(8))))))+(((((0)*((6)*(1)))+((4)*((2)*(5))))-(((5)+((2)+(6)))+((2)-((9)*(9)))))*((((8)*((8)*(x)))+((9)*((3)-(7))))-(((2)*((9)-(2)))*(((7)*(6))*((8)+((6)*(6))))))))),((0)+(x)),0,0,2,0,4,0
AddToLeafR,SubXD,(((((((1)-((6)-(3)))+((5)+((2)*(1))))+(((6)-((6)+(7)))*((3)+((0)+(x)))))*((((4)-((3)*(4)))*((1)-((0)+(8))))*(((2)*((8)*(1)))*(((6)*(6))*((2)*(5))))))+(((((0)*((3)-(1)))+((1)-((x)-(6))))*(((4)+((0)*(7)))-((1)+((3)+(7)))))*((((6)*((5)*(3)))*((7)+((5)*(7))))+(((7)-((6)*(1)))-(((2)*(3))+((0)*(3)))))))-((((((4)-((x)+(0)))-((x)*((5)*(5))))+(((5)*((2)+(9)))+((4)*((0)*(3)))))-((((0)*((6)-(8)))+((2)*((6)*(2))))+(((6)-((1)*(x)))+((1)-((5)-(8))))))+(((((0)*((6)*(1)))+((4)*((2)*(5))))-(((5)+((2)+(6)))+((2)-((9)*(9)))))*((((8)*((8)*(x)))+((9)*((3)-(7))))-(((2)*((9)-(2)))*(((7)*(6))*((8)+((6)*(6))))))))),((0)+(x)),0,0,2,0,5,0
AddToLeafR,AddTreeWithDiv,(((((((1)-((6)-(3)))+((5)+((2)*(1))))+(((6)-((6)+(7)))*((3)+((0)+(x)))))*((((4)-((3)*(4)))*((1)-((0)+(8))))*(((2)*((8)*(1)))*(((6)*(6))*((2)*(5))))))+(((((0)*((3)-(1)))+((1)-((x)-(6))))*(((4)+((0)*(7)))-((1)+((3)+(7)))))*((((6)*((5)*(3)))*((7)+((5)*(7))))+(((7)-((6)*(1)))-(((2)*(3))+((0)*(3)))))))-((((((4)-((x)+(0)))-((x)*((5)*(5))))+(((5)*((2)+(9)))+((4)*((0)*(3)))))-((((0)*((6)-(8)))+((2)*((6)*(2))))+(((6)-((1)*(x)))+((1)-((5)-(8))))))+(((((0)*((6)*(1)))+((4)*((2)*(5))))-(((5)+((2)+(6)))+((2)-((9)*(9)))))*((((8)*((8)*(x)))+((9)*((3)-(7))))-(((2)*((9)-(2)))*(((7)*(6))*((8)+((6)*(6))))))))),((0)+(x)),0,0,2,0,6,0
AddToLeafR,AddXD,(((((((1)-((6)-(3)))+((5)+((2)*(1))))+(((6)-((6)+(7)))*((3)+((0)+(x)))))*((((4)-((3)*(4)))*((1)-((0)+(8))))*(((2)*((8)*(1)))*(((6)*(6))*((2)*(5))))))+(((((0)*((3)-(1)))+((1)-((x)-(6))))*(((4)+((0)*(7)))-((1)+((3)+(7)))))*((((6)*((5)*(3)))*((7)+((5)*(7))))+(((7)-((6)*(1)))-(((2)*(3))+((0)*(3)))))))-((((((4)-((x)+(0)))-((x)*((5)*(5))))+(((5)*((2)+(9)))+((4)*((0)*(3)))))-((((0)*((6)-(8)))+((2)*((6)*(2))))+(((6)-((1)*(x)))+((1)-((5)-(8))))))+(((((0)*((6)*(1)))+((4)*((2)*(5))))-(((5)+((2)+(6)))+((2)-((9)*(9)))))*((((8)*((8)*(x)))+((9)*((3)-(7))))-(((2)*((9)-(2)))*(((7)*(6))*((8)+((6)*(6))))))))),((0)+(x)),0,0,2,0,7,0
MutateTerminalR,DivXD,(((((((1)-((6)-(3)))+((5)+((2)*(1))))+(((6)-((6)+(7)))*((3)+((0)+(x)))))*((((4)-((3)*(4)))*((1)-((0)+(8))))*(((2)*((8)*(1)))*(((6)*(6))*((2)*(5))))))+(((((0)*((3)-(1)))+((1)-((x)-(6))))*(((4)+((0)*(7)))-((1)+((3)+(7)))))*((((6)*((5)*(3)))*((7)+((5)*(7))))+(((7)-((6)*(1)))-(((2)*(3))+((0)*(3)))))))-((((((4)-((x)+(0)))-((x)*((5)*(5))))+(((5)*((2)+(9)))+((4)*((0)*(3)))))-((((0)*((6)-(8)))+((2)*((6)*(2))))+(((6)-((1)*(x)))+((1)-((5)-(8))))))+(((((0)*((6)*(1)))+((4)*((2)*(5))))-(((5)+((2)+(6)))+((2)-((9)*(9)))))*((((8)*((8)*(x)))+((9)*((3)-(7))))-(((2)*((9)-(2)))*(((7)*(6))*((8)+((6)*(6))))))))),((0)+(x)),0,0,2,0,8,0
AddToLeafR,AddTreeWithDiv,(((((((1)-((6)-(3)))+((5)+((2)*(1))))+(((6)-((6)+(7)))*((3)+((0)+(x)))))*((((4)-((3)*(4)))*((1)-((0)+(8))))*(((2)*((8)*(1)))*(((6)*(6))*((2)*(5))))))+(((((0)*((3)-(1)))+((1)-((x)-(6))))*(((4)+((0)*(7)))-((1)+((3)+(7)))))*((((6)*((5)*(3)))*((7)+((5)*(7))))+(((7)-((6)*(1)))-(((2)*(3))+((0)*(3)))))))-((((((4)-((x)+(0)))-((x)*((5)*(5))))+(((5)*((2)+(9)))+((4)*((0)*(3)))))-((((0)*((6)-(8)))+((2)*((6)*(2))))+(((6)-((1)*(x)))+((1)-((5)-(8))))))+(((((0)*((6)*(1)))+((4)*((2)*(5))))-(((5)+((2)+(6)))+((2)-((9)*(9)))))*((((8)*((8)*(x)))+((9)*((3)-(7))))-(((2)*((9)-(2)))*(((7)*(6))*((8)+((6)*(6))))))))),((0)+(x)),0,0,2,0,9,0
