gen,specEquation,range,seed,AGenFitAvg,PGenFitAvg,AGenBestFitAvg,PGenBestFitAvg,AGenDeltaAvg,PGenDeltaAvg,AGenBestDeltaAvg,PGenBestDeltaAvg,topABestFit,topPBestFit,topAStdDev,topPStdDev,topAAvgDelta,topPAvgtDelta,topABestDelta,topPBestDelta,topAEquation,topPEquation,topAStrat,topPStrat,topADomStrat,topPDomStrat,topABirthGen,topPBirthGen,topAAge,topPAge,run
0,(x),20,-10,-0.004773358055014337,0.014400180758389945,0.01997553982385738,0.02,75.68115,57867143264392.55,4088.278,0,1,1,0.757928645007065,0,676629578922356200,0,67658397005360910000,0,(((((((6)*(6))*((9)*(7)))*(((6)*(8))*((4)*(8))))+((((9)*(3))-((8)+(0)))+(((2)+(0))+((0)+(4)))))+(((((8)+(0))*((x)-(6)))*(((6)*(3))+((2)+(2))))-((((0)*(x))+((7)+(7)))*(((3)+(8))*((5)-(0))))))*(((((x)*((9)-(7)))*(((5)*(8))*((7)*(3))))*((((7)-(0))*((9)+(6)))*(((2)+(3))-((3)-(0)))))*(((((9)*(9))*((7)+(2)))+(((2)+(6))+((1)+(x))))+((((0)+(1))+((9)+(0)))+(((7)+(0))+((3)+((0)+(6)))))))),((0)+(x)),ReplaceBranchXR|AddToLeafR|DeleteMaliciousR|AddTreeWithAdd|MutateTerminalR|AddTreeWithMult|AddRandomSubTreeR|AddTreeWithMult|AddTreeWithAdd|AddTreeWithAdd|DeleteMaliciousR|MutateNonTerminalR|MutateTerminalR|AddToLeafR|DeleteMaliciousR,MultXD|AddXD|SkipD|MultXD|AddXD|MultXD|AddTreeWithDiv|MultXD|DivXD|AddXD|SubXD|DivXD|FellTreeD|SkipD|AddXD,DeleteMaliciousR,MultXD,0,0,1,1,3
1,(x),20,-10,-0.005702743856239434,-0.016002214809490076,0.019996547866319023,0.016545238095238095,579.7070500000001,27264948516578970,28967.592,0.017273809523809525,1,1,0.4916470485262124,0,331870708847227760000,0,11799840584374036000,0,(((((((x)-(8))+((0)*((6)*(9))))*(((4)*((9)*(4)))*((6)*((x)+(0)))))+((((0)+(3))+((3)+((8)+(5))))+(((7)-((3)-(7)))-((x)*((4)-(x))))))*(((((3)-(8))+((2)+((2)-(2))))-(((3)-((x)-(9)))*((x)-((0)*(9)))))*((((9)-((5)+(4)))*((9)*((x)*(7))))*(((3)*((3)*(5)))+((1)*((7)*(6)))))))*((((((7)+(2))+((2)+((2)+(2))))+(((8)+((5)+(1)))+((9)*((4)*(2)))))-((((x)-(4))-((4)*((6)-(1))))*(((9)+((8)+(8)))*((x)-((0)-(7))))))-(((((6)*(x))*((4)+((8)*(7))))-(((6)-((7)-(0)))-((3)-((2)-(8)))))-((((4)*(9))*((4)*((7)*(7))))*(((5)*((x)+(4)))*((8)-((6)+((0)-(0))))))))),((0)+(x)),ReplaceBranchXR|AddTreeWithSub|AddTreeWithAdd|AddTreeWithMult|AddRandomSubTreeR|AddTreeWithSub|AddTreeWithMult|AddTreeWithMult|AddRandomSubTreeR|AddTreeWithAdd|AddRandomSubTreeR|AddRandomSubTreeR|AddRandomSubTreeR|AddTreeWithAdd|MutateTerminalR,MultXD|AddXD|SkipD|MultXD|AddXD|MultXD|AddTreeWithDiv|MultXD|DivXD|AddXD|SubXD|DivXD|FellTreeD|SkipD|AddXD,AddRandomSubTreeR,AddXD,0,0,2,2,3
2,(x),20,-10,0.009508265888634735,-0.019160044723326296,0.01999846777339803,-0.015348837209302326,3615.4919099999997,7900623049119891,65264.498,0.43,1,1,0.46658970746163936,0,46773542084691680000,0,4677332616565567000000,0,(((((((2)-((0)-(1)))-((3)-((9)-(3))))-(((4)-((5)+(3)))+((2)*((7)-(9)))))-((((5)-((x)+(2)))+((9)+((1)+(9))))+(((3)+((6)+(1)))+((8)+((0)*(8))))))*(((((9)*((3)+(x)))-((7)-((5)*(5))))*(((6)-((8)*(2)))*((8)*((9)*(7)))))*((((5)*((3)*(7)))*((6)-((x)*(6))))*(((4)-((6)-(2)))*(((3)-(2))-((2)*(3)))))))+((((((5)+(3))*((3)*((6)*(8))))*(((x)*((6)*(5)))*((x)*((6)*(8)))))*((((x)*((x)+(0)))+((3)*((6)+(8))))*(((3)-((8)+(1)))+((2)+((x)-(1))))))-(((((x)-((7)-(x)))-((4)-((9)-(x))))-(((5)*((2)*(4)))*((2)-((6)-(6)))))+((((5)+((1)+(0)))+((9)+((9)+(x))))+(((8)-((9)-(7)))+((x)*((9)+((7)-(7))))))))),((0)+(x)),ReplaceBranchXR|AddTreeWithSub|AddTreeWithAdd|AddTreeWithMult|AddRandomSubTreeR|AddTreeWithSub|AddTreeWithMult|AddTreeWithMult|AddRandomSubTreeR|AddTreeWithAdd|AddRandomSubTreeR|AddRandomSubTreeR|AddRandomSubTreeR|AddTreeWithAdd|MutateTerminalR,DivXD|AddTreeWithDiv|SubXD|MultXD|FellTreeD|SkipD|AddTreeWithDiv|AddXD|AddTreeWithDiv|DivXD|FellTreeD|SubXD|AddXD|SubXD|AddXD,AddRandomSubTreeR,AddTreeWithDiv,0,2,3,3,3
3,(x),20,-10,0.009386067110304007,0.018190245757287126,0.019999994115336504,0.02,386591.33916999993,1444748707993.3018,16993325.12,0,1,1,0.6645228586349062,0,30952384546601620000000,0,19753011043416965000,0,(((((((5)*(1))-((x)-(x)))-(((2)*(x))-((2)-(6))))+((((x)*(4))*((9)-(5)))*(((2)-(6))-((0)-(1)))))-(((((0)*(9))*((x)*(9)))*(((5)*(4))*((4)*(2))))*((((7)*(9))*((6)*(6)))*(((4)*(7))-((5)-((6)+(7)))))))+(((((1)+((8)+(5)))*(((3)+(4))*((8)*(6))))*((((6)*(6))*((2)*(5)))*(((3)*(x))-((0)*(3)))))+(((((9)+(8))+((1)+(4)))+(((9)*(8))*((6)*(0))))*((((8)*(2))*((9)*(5)))+(((6)+(9))-((0)*((9)-(5)))))))),((0)+(x)),ReplaceBranchR|ReplaceBranchR|AddRandomSubTreeR|ReplaceBranchR|AddTreeWithAdd|AddTreeWithMult|AddTreeWithSub|DeleteNonTerminalR|AddTreeWithAdd|MutateTerminalR|AddTreeWithMult|AddTreeWithMult|AddTreeWithMult|DeleteMaliciousR|ReplaceBranchXR,AddXD|DivXD|FellTreeD|DivXD|AddTreeWithDiv|AddXD|AddTreeWithDiv|AddTreeWithDiv|FellTreeD|FellTreeD|AddXD|FellTreeD|SubXD|FellTreeD|AddXD,AddTreeWithMult,FellTreeD,0,0,4,4,3
4,(x),20,-10,0.01516583174537505,0.017600383325352992,0.019999999938024583,0.02,32911362.063739996,25117906488.923023,1613542939.292,0,1,1,0.6586515530507121,0,1567557622813825700000,0,156755757870571070000000,0,(((((((x)-((7)-(x)))+((7)+((8)+(3))))+(((4)+((7)+(7)))+((9)*((4)*(8)))))+((((4)+((3)+(3)))*((1)*((3)*(2))))+(((5)+((5)+(5)))+((0)+((5)+(0))))))+(((((6)*((6)*(7)))*((4)*((3)*(7))))+(((6)-((2)*(2)))*((4)-((6)-(6)))))-((((x)-((5)-(6)))-((1)-((1)*(5))))*(((8)*((4)*(6)))*((2)*((9)*(0)))))))+((((((8)+(5))+((2)+((6)+(0))))+(((5)-((0)+(8)))*((3)*((5)+(1)))))+((((1)+((6)+(0)))+((5)*((9)+(9))))*(((2)+((2)+(8)))*((5)*((8)-(4))))))+(((((5)-(2))+((2)*((x)*(3))))+(((4)*((8)*(7)))+((4)-((0)-(9)))))*((((2)+((8)*(4)))-((2)-((0)+(5))))+(((7)-((2)-(5)))-((4)-((3)*((x)-(7))))))))),((0)+(x)),ReplaceBranchXR|AddTreeWithSub|AddTreeWithAdd|AddTreeWithMult|AddRandomSubTreeR|AddTreeWithSub|AddTreeWithMult|AddTreeWithMult|AddRandomSubTreeR|AddTreeWithAdd|AddRandomSubTreeR|AddRandomSubTreeR|AddRandomSubTreeR|AddTreeWithAdd|MutateTerminalR,AddXD|AddTreeWithDiv|AddTreeWithDiv|DivXD|MultXD|AddTreeWithDiv|SkipD|FellTreeD|AddXD|SkipD|AddXD|MultXD|SubXD|FellTreeD|AddXD,AddRandomSubTreeR,AddXD,0,4,5,5,3
5,(x),20,-10,0.014462049963316008,0.01920331016733866,0.019999999334426855,0.02,2871535.47084,5.611807210051596,150246446.845,0,1,1,0.6004499112772055,0,5985610403002870000000,0,598519271193312400000000,0,(((((((x)*((7)+(x)))+((0)+((5)*(5))))*(((5)-((x)+(6)))-((8)+((3)-(3)))))*((((1)+((4)*(1)))*((1)*((3)*(7))))*(((1)-((9)-(3)))*((x)*((8)*(5))))))*(((((9)*((7)*(7)))*((4)*((2)*(3))))+(((8)*((x)*(6)))+((2)+((6)*(5)))))*((((3)+((x)+(6)))+((5)+((4)+(1))))+(((7)+((6)*(4)))*(((5)*(1))*((6)*(x)))))))*((((((4)*((2)*(4)))*((6)*((x)+(3))))+(((6)*((9)-(4)))+((6)+((2)-(7)))))*((((5)-((4)*(6)))*((1)-((7)*(0))))+(((2)+((3)+(7)))+((5)+((3)+(2))))))+(((((9)+((6)+(2)))+((1)+((2)-(5))))*(((9)-((1)-(2)))-((x)-((2)-(x)))))-((((6)-((2)-(0)))-((6)-((9)-(8))))-(((6)-((0)-(8)))-((2)-((3)-((1)+(4))))))))),((0)+(x)),ReplaceBranchXR|AddTreeWithSub|AddTreeWithAdd|AddTreeWithMult|AddRandomSubTreeR|AddTreeWithSub|AddTreeWithMult|AddTreeWithMult|AddRandomSubTreeR|AddTreeWithAdd|AddRandomSubTreeR|AddRandomSubTreeR|AddRandomSubTreeR|AddTreeWithAdd|MutateTerminalR,AddTreeWithDiv|DivXD|FellTreeD|AddTreeWithDiv|DivXD|SkipD|SkipD|AddTreeWithDiv|FellTreeD|FellTreeD|AddXD|MultXD|SubXD|FellTreeD|AddXD,AddRandomSubTreeR,FellTreeD,0,2,6,6,3
6,(x),20,-10,0.016279917549398438,0,0.01999999976390946,0,4854719.785379999,0.1,423566318.34,0.1,1,1,0.5305756103898679,0,5299316294158829000000,0,527408917990034700000000,0,(((((((8)*(1))-((6)+((8)-(7))))-(((7)*((8)-(6)))*((4)*((3)+(2)))))-((((6)*((5)-(0)))-((x)*((5)*(5))))*(((x)-((2)*(0)))+((7)+((5)*(2))))))*(((((7)-(x))*((x)*((6)*(7))))*(((2)*((6)*(5)))*((3)*((9)*(8)))))-((((2)-((x)-(2)))-((1)-((1)-(3))))-(((2)*((1)*(3)))*((0)-((5)+(8)))))))+((((((7)-(8))-((4)+((9)*(7))))*(((6)*((7)-(4)))*((4)-((7)-(7)))))-((((7)*(3))*((6)+((3)+(7))))+(((1)*((1)-(7)))-((6)*((5)*(6))))))+(((((8)+(3))+((0)+((3)+(9))))+(((6)+((9)*(7)))*((7)*((5)*(5)))))-((((8)-(6))-((x)-((1)+(6))))-(((9)+((6)-(3)))*((4)-((5)-((6)*(5))))))))),((0)/((x)+(x))),ReplaceBranchXR|ReplaceBranchR|DeleteTerminalR|AddTreeWithMult|AddToLeafR|AddTreeWithSub|AddTreeWithMult|AddToLeafR|AddRandomSubTreeR|AddTreeWithSub|AddRandomSubTreeR|AddTreeWithMult|AddRandomSubTreeR|AddTreeWithAdd|MutateTerminalR,AddXD|SubXD|MultXD|AddXD|SkipD|AddXD|AddTreeWithDiv|SkipD|AddTreeWithDiv|AddTreeWithDiv|FellTreeD|AddXD|SkipD|DivXD|AddXD,AddRandomSubTreeR,AddXD,3,1,7,7,3
7,(x),20,-10,0.015693518285931116,-0.01,0.019999999810482557,-0.01,9981270.40371,0.2,527655914.03800005,0.2,1,1,0.6134271013943269,0,2517599125022237000000000,0,251759564675979920000000000,0,(((((((4)+(9))+((8)+((1)+(5))))+(((1)+((6)+(0)))+((5)+((6)+(4)))))*((((9)-(0))*((7)+((7)*(8))))+(((2)-((0)*(5)))*((9)*((4)*(4))))))*(((((7)*(7))*((2)*((7)*(5))))*(((5)*((1)*(x)))*((6)*((7)*(2)))))-((((x)-((0)-(7)))-((6)-((2)-(2))))-(((9)*((3)*(x)))-((2)-((1)*(2)))))))+((((((8)-(3))*((1)*((7)*(x))))-(((x)-((6)-(4)))+((8)-((1)-(4)))))*((((6)*(8))+((5)*((2)*(9))))-(((9)-((5)*(4)))*((9)*((8)*(7))))))*(((((3)*(5))*((9)*((7)-(9))))*(((5)*((9)-(4)))-((0)-((3)-(2)))))-((((5)-(6))-((3)-((5)-(3))))-(((0)+((0)+(2)))*((9)-((3)+((4)-(5))))))))),((0)+(x)),ReplaceBranchXR|ReplaceBranchR|DeleteTerminalR|AddTreeWithMult|AddToLeafR|AddTreeWithSub|AddTreeWithMult|AddToLeafR|AddRandomSubTreeR|AddTreeWithSub|AddRandomSubTreeR|AddTreeWithMult|AddRandomSubTreeR|AddTreeWithAdd|MutateTerminalR,AddXD|DivXD|FellTreeD|DivXD|AddTreeWithDiv|AddXD|AddTreeWithDiv|AddTreeWithDiv|FellTreeD|FellTreeD|AddXD|FellTreeD|SubXD|FellTreeD|AddXD,AddTreeWithMult,FellTreeD,3,0,8,8,3
8,(x),20,-10,0.016851361593657715,0.016400396020110702,0.019999999250118205,0.02,2444728.1878799996,1518127390045.982,133354350.65,0,1,1,0.4416048563648009,0,708634450551106200000,0,70863425888498175000000,0,(((((((x)+(5))+((8)+((2)+(7))))+(((1)+(7))+((2)*((9)+(6)))))+((((2)*(6))*((4)*((8)*(6))))*(((3)*((6)*(x)))-((2)*((0)-(8))))))*(((((2)+(7))-((1)-((7)*(5))))*(((7)-((6)*(1)))-((8)*((5)*(9)))))+((((8)+(9))+((5)+((1)*(4))))*(((1)+((7)+(6)))+((8)*((4)*(x)))))))*((((((6)*(7))*((5)*((9)*(x))))*(((3)*(6))-((8)*((9)+(3)))))+((((8)+(0))+((4)+((7)+(9))))*(((1)+((5)+(3)))+((4)+((0)*(2))))))-(((((5)*(6))*((4)-((2)*(4))))-(((0)+(2))-((7)+((4)*(2)))))*((((7)+(7))+((7)*((4)*(1))))*(((1)-((1)*(1)))-((5)+((4)*((7)*(x))))))))),((0)+(x)),AddToLeafR|AddToLeafR|AddTreeWithAdd|ReplaceBranchR|AddToLeafR|AddTreeWithAdd|MutateNonTerminalR|MutateNonTerminalR|AddTreeWithAdd|AddRandomSubTreeR|AddTreeWithMult|AddToLeafR|AddRandomSubTreeR|AddRandomSubTreeR|AddTreeWithMult,AddXD|SubXD|SubXD|DivXD|AddTreeWithDiv|AddXD|AddTreeWithDiv|AddTreeWithDiv|FellTreeD|DivXD|FellTreeD|SubXD|SubXD|FellTreeD|AddXD,AddToLeafR,SubXD,8,7,9,9,3
9,(x),20,-10,0.01571597222038572,-0.00019801980198019733,0.019999999908676083,0.02,25657549.783329997,0.10099999999999998,1095003413.2,0,1,1,0.6384801040503293,0,355801986250419800000000,0,1005009083349870400000,0,(((((((4)+(6))+((3)+((6)-(5))))+(((7)+((0)*(5)))+((6)-((2)-(3)))))+((((5)*(2))*((1)-((7)+(7))))*(((7)+((7)-(6)))+((3)+((2)*(2))))))-(((((5)+(7))*((4)*((9)-(0))))+(((9)-((0)*(0)))*((5)+((5)-(7)))))+((((3)-((0)-(8)))-((x)-((3)-(x))))-(((8)+((3)+(5)))*((6)*((3)*(4)))))))+((((((7)+(6))+((6)+((4)+(4))))+(((9)+((x)*(6)))*((6)+((1)+(7)))))+((((1)*(6))*((8)-((6)+(3))))+(((9)+((4)+(4)))+((6)+((8)+(2))))))*(((((x)*(5))*((x)*((1)-(8))))*(((6)*((7)+(6)))-((3)*((3)*(x)))))*((((7)*(9))-((0)*((1)*(5))))*(((9)*((1)*(x)))*((9)*((9)*((6)*(8))))))))),((0)+(x)),ReplaceBranchXR|ReplaceBranchR|ReplaceBranchR|AddTreeWithMult|AddToLeafR|AddTreeWithSub|AddTreeWithMult|AddRandomSubTreeR|AddRandomSubTreeR|AddTreeWithAdd|AddRandomSubTreeR|AddTreeWithMult|AddRandomSubTreeR|AddTreeWithAdd|MutateTerminalR,AddTreeWithDiv|DivXD|FellTreeD|AddTreeWithDiv|AddTreeWithDiv|AddXD|AddTreeWithDiv|AddTreeWithDiv|AddTreeWithDiv|DivXD|FellTreeD|SubXD|SkipD|FellTreeD|AddXD,AddRandomSubTreeR,AddTreeWithDiv,9,3,10,10,3
10,(x),20,-10,0.01581503426863356,0,0.019999999777135024,0.02,12746330.272029998,0.1,448702176.487,0,1,1,0.5624157803098463,0,33162371259175510000000000000,0,3316237125915583300000000000000,0,(((((((2)-(x))+((4)*((4)+(x))))+(((2)-(x))*((x)-((8)+(3)))))+((((1)+(7))+((1)+((4)+(6))))+(((6)*(1))*((5)*((x)*(6))))))*(((((9)+(6))*((0)*((4)*(6))))-(((3)-(8))+((x)*((4)*(7)))))-((((x)+(8))*((8)*((6)*(7))))*(((6)-((6)-(6)))+((2)+((0)+(2)))))))*((((((1)*(9))*((3)*(8)))*(((8)*(9))*((x)*((x)*(6)))))*((((7)+(4))-((x)-((5)-(0))))-(((7)-(7))*((9)*((5)*(7))))))*(((((4)*(1))*((5)*((7)*(6))))+(((5)+(2))-((4)+((8)*(7)))))+((((x)+(x))+((6)*((9)*(7))))*(((3)+(8))*((6)*((5)+((0)*(6))))))))),((0)+(x)),MutateNonTerminalR|DeleteMaliciousR|AddTreeWithAdd|ReplaceBranchR|AddToLeafR|AddTreeWithAdd|AddTreeWithMult|AddTreeWithMult|AddRandomSubTreeR|AddTreeWithSub|AddRandomSubTreeR|AddRandomSubTreeR|AddRandomSubTreeR|AddRandomSubTreeR|AddTreeWithMult,AddXD|SkipD|SubXD|DivXD|AddTreeWithDiv|AddXD|MultXD|SubXD|FellTreeD|FellTreeD|AddXD|MultXD|SubXD|FellTreeD|AddXD,AddRandomSubTreeR,AddXD,4,7,11,11,3
