gen,specEquation,range,seed,AGenFitAvg,PGenFitAvg,AGenBestFitAvg,PGenBestFitAvg,AGenDeltaAvg,PGenDeltaAvg,AGenBestDeltaAvg,PGenBestDeltaAvg,topABestFit,topPBestFit,topAStdDev,topPStdDev,topAAvgDelta,topPAvgtDelta,topABestDelta,topPBestDelta,topAEquation,topPEquation,topAStrat,topPStrat,topADomStrat,topPDomStrat,topABirthGen,topPBirthGen,topAAge,topPAge,run
0,(x),20,-10,0.0011116387458208227,0.0017269368989397383,0.019995163668705504,0.02,737.67759,29363714012685.215,20676.83,0,1,1,0.7336067268794971,0,3637357242497454000,0,363635423793311450000,0,(((((((2)-(1))*((7)-(2)))-(((3)-(3))-((9)+((8)-(1)))))-((((4)*(9))-((9)-((5)-(4))))-(((6)-(0))*((6)-((1)*(1))))))+(((((0)+(1))*((7)+(8)))-(((5)*(6))+((x)+((7)+(7)))))*((((4)*(9))*((9)-((0)*(8))))*(((3)*(4))*((9)+((x)-(6)))))))+((((((9)+(7))*((4)-(x)))+(((8)+(9))+((3)+((0)+(5)))))+((((3)+(6))+((3)-(1)))*(((1)+(1))+((6)-((7)*(5))))))*(((((4)+(3))+((9)*(2)))*(((1)*(x))-((6)*((9)*(9)))))*((((3)-(9))*((0)+((2)*(6))))-(((7)*(2))*((4)*((9)*((9)*(9))))))))),(((((((0)+(0))/((x)/(6)))/(((2)/(2))/((5)/((x)/(2)))))/((((3)/(0))/((0)/(6)))/(((0)/(4))/((x)/((x)/(2))))))/(((((2)/(6))/((5)/(0)))/(((8)/(x))/((7)/((0)/(3)))))/((((6)/(x))/((7)/(4)))/(((1)/(1))/((0)/((5)/(9)))))))/((((((x)+(4))+((x)+(x)))+(((5)+(4))+((1)*(7))))+((((9)/(1))/((8)/(8)))/(((9)/(0))/((9)/((9)-(1))))))-(((((0)+(7))-((4)*(7)))*(((x)+(3))*((9)+((0)+(2)))))-((((0)-(0))*((x)-(x)))-(((x)*(x))/((x)+((x)/((x)+(x))))))))),ReplaceBranchR|AddTreeWithAdd|AddTreeWithMult|AddTreeWithMult|MutateTerminalR|AddToLeafR|MutateTerminalR|AddToLeafR|DeleteTerminalR|AddToLeafR|ReplaceBranchR|DeleteMaliciousR|AddRandomSubTreeR|AddTreeWithSub|ReplaceBranchR,AddTreeWithDiv|MultXD|SubXD|SubXD|SubXD|MultXD|SkipD|AddTreeWithDiv|AddTreeWithDiv|AddTreeWithDiv|AddXD|AddTreeWithDiv|SkipD|DivXD|AddXD,ReplaceBranchR,AddTreeWithDiv,0,0,1,1,4
1,(x),20,-10,0.005603175288943368,0.011214629386074489,0.019999369007694813,0.02,4052.8093200000003,5806301933.037714,158480.538,0,1,1,0.6124003391305693,0,27442707311720782000000000,0,2744270731171321000000000000,0,(((((((x)-(4))-((x)-((4)*(8))))*(((1)*((9)*(3)))*((1)*((3)*(4)))))*((((x)*(1))+((5)*((3)+(x))))-(((2)-((9)*(2)))-((9)+((1)*(1))))))*(((((0)+(4))*((1)*((x)*(1))))-(((5)*((1)-(3)))+((0)+((8)*(6)))))*((((0)+((7)*(x)))+((8)*((x)-(4))))-(((3)-((5)-(6)))-((2)*((5)-(x)))))))-((((((9)-(8))+((1)+((4)*(8))))*(((x)*(3))*((4)*((9)*(7)))))*((((0)-(9))*((4)*((1)*(2))))*(((8)-((9)-(6)))-((5)*((5)+(4))))))*(((((x)+(6))*((x)+((0)-(2))))+(((6)*((7)*(8)))+((1)-((1)*(8)))))*((((9)*(5))*((1)*((5)*(0))))-(((8)-((9)*(4)))-((3)+((2)*((9)*(4))))))))),((0)+(x)),DeleteTerminalR|ReplaceBranchXR|ReplaceBranchXR|ReplaceBranchR|AddTreeWithSub|AddTreeWithMult|AddTreeWithMult|DeleteNonTerminalR|ReplaceBranchR|ReplaceBranchR|AddRandomSubTreeR|AddRandomSubTreeR|AddTreeWithMult|ReplaceBranchR|ReplaceBranchXR,DivXD|AddTreeWithDiv|DivXD|MultXD|AddTreeWithDiv|AddXD|SkipD|DivXD|AddXD|MultXD|SubXD|MultXD|AddTreeWithDiv|FellTreeD|AddXD,ReplaceBranchR,AddXD,0,0,2,2,4
2,(x),20,-10,0.0058404723842637694,0.01480053652189238,0.019999975500249356,0.02,67622.97312000001,36111307541.65507,4081674.195,0,1,1,0.8100953544561439,0,26407381559870384000000,0,2639695662005528000000000,0,((((((x)+((3)*(2)))*(((5)*(9))-((x)*(5))))+((((4)+(5))-((3)+(2)))*(((x)-(x))*((0)+(6)))))-(((((8)+(2))*((5)-(0)))-(((5)-(1))-((0)-(5))))-((((x)-(9))*((4)*(1)))+(((6)-(3))-((8)-(7))))))*(((((9)*((x)*(8)))*(((6)*(3))*((8)*(8))))*(((5)*((x)*(6)))*(((5)*(4))*((x)*(8)))))+((((5)*((5)+(7)))+(((0)*(4))+((0)*(3))))*((((3)*(8))*((x)*(8)))*(((6)*(9))*((3)+((9)+(0)))))))),((0)+(x)),AddToLeafR|MutateTerminalR|MutateNonTerminalR|MutateTerminalR|AddToLeafR|ReplaceBranchXR|ReplaceBranchXR|AddTreeWithMult|DeleteMaliciousR|AddTreeWithMult|AddTreeWithSub|AddTreeWithMult|AddToLeafR|ReplaceBranchR|AddToLeafR,DivXD|AddTreeWithDiv|DivXD|MultXD|AddTreeWithDiv|AddXD|SkipD|DivXD|AddXD|MultXD|SubXD|MultXD|AddTreeWithDiv|FellTreeD|AddXD,AddToLeafR,DivXD,1,0,3,3,4
3,(x),20,-10,0.010810588357364577,0.018400007408359544,0.019999916705279324,0.02,43327.428499999995,216535296235512.03,1200556.28,0,1,1,0.7025831118164051,0,651934121552455000000000,0,65193401325661875000000000,0,(((((((8)*(x))*((8)*(2)))+(((x)*(3))-((5)+((7)+(8)))))*((((6)*(x))*((7)*((9)*(x))))*(((x)-(6))+((2)*((1)+(9))))))*(((((3)-(x))-((4)*(4)))*(((3)*(4))*((6)-((0)-(1)))))-((((8)-(6))*((x)*((2)-(5))))+(((8)+(0))*((x)*((5)+(2)))))))*((((((x)+(6))-((7)-(3)))+(((5)+(7))*((x)-((6)*(9)))))*((((9)*(1))-((3)-(4)))-(((3)-(0))-((9)*((7)*(1))))))+(((((3)-(2))+((6)-(5)))*(((8)*(1))+((6)+((6)*(x)))))*((((3)*(5))*((5)+(0)))+(((x)+(9))+((7)+((1)+((1)+(6))))))))),((0)+(x)),ReplaceBranchR|AddTreeWithMult|AddRandomSubTreeR|AddTreeWithAdd|DeleteTerminalR|AddTreeWithMult|AddTreeWithMult|AddRandomSubTreeR|ReplaceBranchR|ReplaceBranchR|ReplaceBranchR|ReplaceBranchXR|ReplaceBranchR|MutateNonTerminalR|ReplaceBranchXR,DivXD|AddTreeWithDiv|DivXD|MultXD|AddTreeWithDiv|AddXD|SkipD|DivXD|AddXD|MultXD|SubXD|MultXD|AddTreeWithDiv|FellTreeD|AddXD,ReplaceBranchR,DivXD,2,0,4,4,4
4,(x),20,-10,0.0146384286315046,0.018400006719043457,0.01999998624535248,0.02,179764.82095,565379171.2665406,7270269.91,0,1,1,0.647062043186128,0,33838307270059870,0,3383439598096930300,0,(((((((x)-(0))*((8)*(4)))-(((x)*(6))*((5)*((5)-(2)))))+((((3)-(9))+((4)+((7)+(0))))*(((x)+(0))+((0)*((5)*(1))))))+(((((1)*(4))-((8)-((x)-(1))))-(((5)-(8))*((x)-((8)-(7)))))-((((3)-(1))-((0)-((1)-(2))))+(((1)-(8))*((2)*((5)*(8)))))))+((((((0)-(0))-((9)-(0)))+(((7)*(4))*((7)+((3)*(8)))))*((((2)*(3))*((9)*(1)))-(((9)*(9))+((9)*((2)+(0))))))+(((((9)*(3))+((0)+(3)))*(((6)*(0))-((9)-((x)-(3)))))*((((8)*(x))-((2)-((x)-(3))))-(((8)-(5))-((8)-((9)*((7)*(7))))))))),(((((((4)/((1)/(9)))/(((8)/(0))/((3)/(5))))/(((9)+((4)+(3)))+(((9)+(2))+((4)/(5)))))/((((9)/((x)/(1)))/(((3)/(6))/((6)+(2))))+((((5)*(1))*((7)+(1)))*(((4)-(3))-((2)-(4))))))-(((((5)-((7)-(7)))*(((2)-(x))/((3)/(9))))/(((9)/((6)/(1)))/(((2)/(2))*((5)-(x)))))*((((8)+((8)*(x)))+(((9)-(4))*((x)*(9))))*((((3)*(3))-((4)-(9)))*(((6)*(4))-((4)-(2)))))))*((((((9)-((0)/(9)))/(((3)/(0))/((7)/(2))))/(((1)/((5)+(1)))+(((0)+(2))+((9)+(1)))))+((((0)+((5)+(x)))+(((5)-(4))+((2)-(3))))+(((3)-((1)-(5)))-(((6)-(9))-((3)-(2))))))-(((((7)-((x)*(0)))*(((9)+(4))*((9)+(9))))*(((x)*((2)*(3)))+(((6)-(1))+((6)*(7)))))+((((8)-((5)/(3)))/(((8)/(0))/((9)/(3))))/((((0)/(5))/((x)*(x)))*(((x)/(x))+((x)/((x)+(x))))))))),MutateTerminalR|DeleteTerminalR|ReplaceBranchXR|DeleteMaliciousR|DeleteTerminalR|AddRandomSubTreeR|AddTreeWithSub|ReplaceBranchR|ReplaceBranchXR|AddRandomSubTreeR|AddTreeWithSub|AddTreeWithMult|AddToLeafR|ReplaceBranchR|AddToLeafR,SkipD|DivXD|AddTreeWithDiv|SkipD|MultXD|MultXD|DivXD|AddTreeWithDiv|AddTreeWithDiv|AddTreeWithDiv|SubXD|AddTreeWithDiv|SkipD|DivXD|AddXD,AddTreeWithSub,AddTreeWithDiv,2,3,5,5,4
5,(x),20,-10,0.00767177503801768,0.016015252168064816,0.019999702103327754,0.02,9035.6094,4147684.3494962547,335686.865,0,1,1,0.663611310187485,0,1672051171482760700,0,162482930372947970000,0,(((((((x)*(5))-((x)-(7)))-(((x)-(8))*((4)-(2))))*((((7)+(9))+((7)*(x)))-(((8)-(3))-((4)-((x)*(5))))))+(((((4)*(x))*((2)*(8)))*(((x)-(1))-((2)-((3)-(3)))))-((((7)-(1))-((1)+(4)))+(((6)+(5))+((4)*((4)*(5)))))))*((((((5)*(9))*((9)*(x)))*(((6)*(9))*((3)+(1))))*((((6)*(8))*((7)*(5)))*(((0)+(6))*((9)*(8)))))*(((((4)*(6))*((5)-(4)))*(((3)+(8))-((8)*(x))))-((((6)+(8))-((7)-(3)))-(((8)*(4))*((6)*((4)+((3)+(x))))))))),((0)+(x)),MutateTerminalR|DeleteTerminalR|ReplaceBranchXR|DeleteMaliciousR|DeleteTerminalR|AddRandomSubTreeR|AddTreeWithSub|ReplaceBranchR|ReplaceBranchXR|AddRandomSubTreeR|AddTreeWithSub|AddTreeWithMult|AddToLeafR|ReplaceBranchR|AddToLeafR,DivXD|DivXD|DivXD|AddXD|FellTreeD|MultXD|FellTreeD|AddTreeWithDiv|AddTreeWithDiv|MultXD|DivXD|MultXD|AddTreeWithDiv|FellTreeD|AddXD,DeleteTerminalR,DivXD,2,5,6,6,4
6,(x),20,-10,0.006831004774567908,0.01920017020611734,0.0199998778096068,0.02,26454.306709999997,1976.6637784608342,818394.944,0,1,1,0.5682403350770477,0,41796315993144730000,0,4179630303625125300000,0,(((((((x)*(6))*((1)*(9)))-(((1)+(9))+((4)-((7)-(4)))))+((((4)*(4))+((5)*(6)))*(((8)*(7))+((6)*((6)*(5))))))-(((((5)*(4))*((6)-(9)))-(((1)*(1))+((0)*((4)*(6)))))*((((3)*(2))+((9)+((5)*(8))))*(((8)*(6))+((3)+((9)*(7)))))))-((((((1)-(9))-((9)-(7)))*(((5)-(2))+((7)+((3)-(4)))))-((((5)+(4))*((9)*(9)))*(((4)*(6))*((5)*((9)*(4))))))+(((((8)*(1))-((9)-(6)))*(((0)-(6))+((1)+((1)+(9)))))+((((0)+(3))+((2)+(0)))+(((9)-(4))+((5)*((5)+((8)-(0))))))))),((0)+(x)),MutateTerminalR|DeleteNonTerminalR|ReplaceBranchXR|AddRandomSubTreeR|DeleteTerminalR|ReplaceBranchR|AddTreeWithMult|MutateTerminalR|AddToLeafR|AddTreeWithAdd|AddTreeWithSub|AddTreeWithMult|AddToLeafR|ReplaceBranchR|AddToLeafR,DivXD|DivXD|DivXD|SkipD|AddTreeWithDiv|AddXD|SkipD|SubXD|AddXD|SubXD|SubXD|MultXD|SkipD|FellTreeD|AddXD,AddToLeafR,DivXD,4,3,7,7,4
7,(x),20,-10,0.01248261194308111,0.02,0.019999988354337438,0.02,201030.27071999997,0,8586887.992,0,1,1,0.6055520831698175,0,2693880306154986000000,0,269388030278103240000000,0,(((((((x)+(4))+((5)*(x)))*(((7)*(1))*((9)*((1)*(8)))))*((((5)-(9))-((8)-((7)*(7))))+(((4)*(2))-((4)*((4)*(6))))))+(((((5)+(5))+((1)*((2)-(1))))*(((3)+(1))+((7)+((6)+(4)))))+((((0)+(1))+((0)*((3)*(6))))*(((0)+(8))+((4)*((7)*(4)))))))*((((((x)*(8))*((7)*(4)))+(((x)+(2))-((1)*((5)*(0)))))-((((1)-(5))-((5)-((4)*(x))))-(((7)+(0))-((x)-((8)*(1))))))+(((((9)*(3))+((7)*(8)))*(((7)*(0))+((1)+((x)-(2)))))*((((5)*(x))*((7)*((9)*(9))))*(((x)-(4))-((0)-((8)-((4)-(6))))))))),((0)+(x)),MutateTerminalR|DeleteNonTerminalR|ReplaceBranchXR|AddRandomSubTreeR|DeleteTerminalR|ReplaceBranchR|AddToLeafR|AddRandomSubTreeR|AddToLeafR|AddTreeWithAdd|AddTreeWithSub|AddTreeWithMult|AddToLeafR|ReplaceBranchR|AddToLeafR,DivXD|AddTreeWithDiv|FellTreeD|AddTreeWithDiv|SubXD|MultXD|DivXD|AddTreeWithDiv|SubXD|MultXD|AddTreeWithDiv|MultXD|AddTreeWithDiv|FellTreeD|AddXD,AddToLeafR,AddTreeWithDiv,5,5,8,8,4
8,(x),20,-10,0.014894273852959357,0.02,0.019999992132210206,0.02,357994.51794,0,12710049.79,0,1,1,0.42323734493831394,0,15442936041603484000,0,1544239492192021300000,0,(((((((7)+(7))*((x)-(9)))*(((6)*(x))-((0)-((3)*(x)))))-((((8)*(x))*((4)*(8)))*(((0)-(1))-((4)+((6)-(8))))))*(((((0)*(3))*((7)*(1)))-(((8)*(8))-((x)-((4)-(8)))))-((((5)-(7))-((8)*((8)*(2))))*(((7)*(x))*((6)*((2)*(1)))))))*((((((8)*(9))*((x)-(9)))*(((x)*(3))*((5)-(1))))-((((4)+(6))-((1)-(9)))+(((9)+(0))+((5)-((x)+(9))))))*(((((1)-(6))-((0)-(3)))+(((6)*(4))-((9)*((8)-(5)))))-((((5)-(4))+((0)+(9)))+(((4)+(2))+((8)+((9)+((7)+(7))))))))),((0)+(x)),MutateTerminalR|DeleteNonTerminalR|ReplaceBranchXR|AddRandomSubTreeR|DeleteTerminalR|ReplaceBranchR|AddToLeafR|AddRandomSubTreeR|AddToLeafR|AddTreeWithAdd|AddTreeWithSub|AddTreeWithMult|AddToLeafR|ReplaceBranchR|AddToLeafR,DivXD|AddTreeWithDiv|DivXD|MultXD|AddTreeWithDiv|AddXD|SkipD|DivXD|AddXD|MultXD|SubXD|MultXD|AddTreeWithDiv|FellTreeD|AddXD,AddToLeafR,DivXD,5,0,9,9,4
9,(x),20,-10,0.015203066782463423,0.01121618035594334,0.01999998700355578,0.02,142365.32583000005,272755.25149259483,7694412.28,0,1,1,0.4401890722136017,0,2620549113637364000000,0,262054763193229930000000,0,(((((((9)+(0))+((0)-((x)*(5))))-(((9)+(0))+((7)+((2)-(1)))))*((((4)-(0))-((7)+((7)*(4))))*(((6)*((1)*(7)))*((3)*((3)*(2))))))*(((((x)*(6))+((x)*((2)-(5))))*(((1)+(8))-((4)*((8)*(x)))))+((((6)*(9))*((4)+((x)*(7))))*(((2)+((7)*(8)))*((5)*((2)-(6)))))))-((((((0)+(7))+((3)+((3)+(2))))+(((4)+(1))+((1)*((4)+(x)))))-((((4)+(0))+((6)-((6)-(6))))*(((x)+(8))*((x)*((x)*(3))))))*(((((2)-(5))-((7)*((2)*(4))))-(((3)-(5))+((6)*((1)-(9)))))+((((6)*(3))+((8)-((8)*(4))))*(((5)*(4))*((5)*((9)*((8)+(6))))))))),((0)+(x)),AddTreeWithSub|DeleteMaliciousR|ReplaceBranchXR|MutateTerminalR|AddTreeWithMult|ReplaceBranchR|AddToLeafR|AddRandomSubTreeR|ReplaceBranchR|AddTreeWithAdd|AddToLeafR|AddTreeWithMult|AddToLeafR|AddToLeafR|AddToLeafR,MultXD|DivXD|FellTreeD|FellTreeD|SubXD|AddXD|DivXD|AddTreeWithDiv|SubXD|SkipD|MultXD|MultXD|MultXD|FellTreeD|AddXD,AddToLeafR,MultXD,9,5,10,10,4
10,(x),20,-10,0.01606485268282773,0.002330012246343918,0.019999987375502307,0.02,353373.11584999994,0.6364101815522958,7921107.235,0,1,1,0.5398476894024609,0,1420186669276797300000,0,19801301434772574000,0,(((((((x)*(x))+((8)-(x)))*(((9)+(3))+((5)+((9)-(2)))))*((((6)*(4))*((8)*(x)))*(((5)*(1))*((x)+((0)+(8))))))+(((((4)*(9))+((9)-(5)))-(((x)*(4))*((5)*((1)+(4)))))+((((5)+(5))*((6)*((2)-(6))))*(((3)*(9))*((2)-((4)*(3)))))))*((((((x)+(4))+((6)+(3)))+(((2)+(9))-((2)-((9)-(4)))))*((((x)+(6))+((0)+(3)))+(((5)+(7))*((2)+((6)-(x))))))*(((((2)-(5))+((8)-(9)))*(((6)-(7))*((9)*((8)-(8)))))-((((4)*(1))+((4)*(7)))-(((4)+(4))-((x)*((1)*((5)-(3))))))))),((0)+(x)),MutateTerminalR|DeleteNonTerminalR|ReplaceBranchXR|MutateTerminalR|AddToLeafR|ReplaceBranchR|AddToLeafR|AddTreeWithAdd|ReplaceBranchR|AddTreeWithAdd|AddToLeafR|AddTreeWithMult|AddToLeafR|ReplaceBranchR|AddToLeafR,DivXD|DivXD|DivXD|AddTreeWithDiv|SubXD|DivXD|AddXD|AddTreeWithDiv|SkipD|MultXD|AddTreeWithDiv|MultXD|AddXD|FellTreeD|MultXD,AddToLeafR,DivXD,8,2,11,11,4
