gen,specEquation,range,seed,AGenFitAvg,PGenFitAvg,AGenBestFitAvg,PGenBestFitAvg,AGenDeltaAvg,PGenDeltaAvg,AGenBestDeltaAvg,PGenBestDeltaAvg,topABestFit,topPBestFit,topAStdDev,topPStdDev,topAAvgDelta,topPAvgtDelta,topABestDelta,topPBestDelta,topAEquation,topPEquation,topAStrat,topPStrat,topADomStrat,topPDomStrat,topABirthGen,topPBirthGen,topAAge,topPAge,run
0,(x),20,-10,-0.0019195581209029214,-0.018753831505136473,0.019981806312918318,0.0009262528029730426,168.6358,1672482856981246,5496.411999999999,0.09536873598513479,1,1,0.7451087728689727,0,34442382486361010000000000000,0,3444238248430503000000000000000,0,(((((((4)*(4))*((x)*(2)))*(((7)+(0))*((9)+((x)-(9)))))-((((x)*(8))-((0)+(7)))*(((7)*(3))*((4)-((x)*(8))))))*(((((2)+(1))+((5)+(4)))+(((3)+(2))+((0)+((0)*(5)))))*((((5)*(9))*((1)*((4)*(5))))*(((1)*(2))*((3)*((7)*(3)))))))*((((((5)*(7))+((7)+(x)))-(((0)*(7))-((6)*(x))))*((((4)+(8))*((2)*(3)))*(((7)*(2))*((3)*((8)*(x))))))*(((((3)-(3))*((4)+(3)))*(((2)*(3))*((5)*((2)*(1)))))*((((9)*(6))*((2)*(2)))*(((8)*(8))*((9)*((2)*((8)*(2))))))))),((0)+(x)),AddTreeWithMult|AddTreeWithMult|AddTreeWithMult|ReplaceBranchXR|AddTreeWithMult|MutateNonTerminalR|AddTreeWithMult|MutateNonTerminalR|DeleteMaliciousR|AddTreeWithAdd|DeleteTerminalR|AddTreeWithMult|AddToLeafR|ReplaceBranchR|ReplaceBranchXR,AddTreeWithDiv|SkipD|SubXD|SkipD|AddTreeWithDiv|DivXD|AddTreeWithDiv|AddTreeWithDiv|MultXD|MultXD|FellTreeD|AddXD|FellTreeD|SkipD|AddXD,AddTreeWithMult,AddTreeWithDiv,0,0,1,1,6
1,(x),20,-10,-0.0006733723281539448,0.009211681629739323,0.01999796578077097,0.02,748.87819,277079008506799.97,49158.91,0,1,1,0.5570256799818983,0,262630743996147170000000,0,2111977346573131300000,0,(((((((x)+(3))-((7)*((0)-(x))))*(((9)*((5)*(6)))*((x)*((4)*(9)))))-((((3)*(1))*((5)-((8)+(1))))-(((2)*((7)*(5)))+((1)*((7)*(3))))))-(((((6)-(8))*((3)*((8)-(x))))-(((0)*((3)*(9)))-((4)-((9)*(7)))))+((((5)-(5))*((5)*((x)*(1))))*(((x)*((x)*(4)))-((8)*((x)*(9)))))))-((((((6)-(x))+((x)*((1)-(3))))-(((6)-(6))*((5)+((2)*(7)))))-((((9)*(4))*((x)*((x)*(9))))*(((3)*((5)+(9)))*((7)+((6)+(x))))))+(((((1)*(8))-((x)*((6)*(2))))+(((1)+(1))+((x)+((6)+(6)))))+((((2)+(4))*((9)-((1)-(7))))-(((6)-((5)-(9)))-((7)-((2)-((0)*(1))))))))),(((0)-((x)/(x)))*((x)+((x)+(x)))),AddTreeWithAdd|ReplaceBranchXR|AddRandomSubTreeR|AddTreeWithAdd|ReplaceBranchXR|AddTreeWithSub|DeleteMaliciousR|DeleteNonTerminalR|AddTreeWithMult|AddTreeWithMult|MutateTerminalR|AddTreeWithSub|AddToLeafR|MutateNonTerminalR|AddTreeWithAdd,SubXD|AddXD|DivXD|AddXD|AddXD|FellTreeD|MultXD|FellTreeD|FellTreeD|SubXD|SubXD|MultXD|AddXD|SkipD|AddXD,AddTreeWithAdd,AddXD,1,0,2,2,6
2,(x),20,-10,0.00912969944871309,0.01809429175524174,0.019998537638195018,0.02,1834.5315199999995,1068997990810.1434,68382.53,0,1,1,0.44045643574443477,0,90361858516398500000000000,0,514319567279720600000,0,(((((((x)*(8))+((2)*(2)))*(((2)*(2))*((x)*((4)*(x)))))*((((6)*(4))*((6)*(8)))*(((9)*(6))*((8)*((7)+(0))))))+(((((4)+(0))+((4)+(1)))+(((4)+(6))*((4)-((5)-(2)))))*((((9)*(4))-((6)+(7)))*(((7)*(6))*((8)+((3)+(x)))))))+((((((0)*(6))*((4)*(4)))*(((1)*(0))*((7)*(5))))+((((9)+(4))*((x)-(8)))+(((0)+(x))+((3)+((x)*(0))))))+(((((2)*(7))*((7)*(3)))*(((5)*(x))*((2)*((8)*(9)))))+((((7)+(4))-((2)+(2)))+(((5)+(1))+((1)+((5)+((8)+(7))))))))),(((0)-((x)/(x)))*((x)+((x)+(x)))),ReplaceBranchXR|AddTreeWithAdd|AddToLeafR|AddRandomSubTreeR|AddTreeWithAdd|MutateTerminalR|DeleteMaliciousR|MutateTerminalR|AddTreeWithAdd|AddTreeWithMult|MutateNonTerminalR|ReplaceBranchXR|AddTreeWithMult|AddTreeWithMult|AddTreeWithMult,SubXD|AddXD|SubXD|AddXD|AddXD|FellTreeD|MultXD|FellTreeD|FellTreeD|SubXD|FellTreeD|MultXD|AddXD|SkipD|AddXD,AddTreeWithMult,AddXD,0,2,3,3,6
3,(x),20,-10,0.01202155681454982,0.018400000000603264,0.019999999589901066,0.02,3266194.70961,199785482480442.72,243843600.3,0,1,1,0.6887947838380807,0,621769666901074300000000,0,62176966674880445000000000,0,(((((((x)*(5))*((9)*(2)))*(((4)+(x))*((3)*((6)*(3)))))*((((x)-(3))-((5)*(9)))+(((1)*(5))-((x)+((8)*(9))))))*(((((8)*(9))*((4)*(8)))+(((0)+(3))*((1)+((x)-(2)))))*((((6)-(x))*((3)*((8)*(7))))+(((x)*(5))+((6)*((3)*(0)))))))+((((((8)+(7))+((4)+(9)))+(((2)+(1))+((8)*((8)*(1)))))*((((4)*(5))*((6)+(5)))*(((6)+(x))-((9)*((4)*(7))))))-(((((4)*(5))+((1)-(7)))-(((8)*(6))*((6)+((0)-(0)))))*((((7)*(5))-((0)-(3)))+(((x)+(4))+((7)-((7)*((2)*(8))))))))),(((0)-((x)/(x)))*((x)+((x)+(x)))),MutateNonTerminalR|DeleteNonTerminalR|ReplaceBranchXR|AddRandomSubTreeR|ReplaceBranchR|DeleteMaliciousR|AddTreeWithMult|AddTreeWithMult|AddToLeafR|AddTreeWithAdd|AddRandomSubTreeR|AddToLeafR|AddRandomSubTreeR|ReplaceBranchR|AddToLeafR,SubXD|AddXD|DivXD|AddXD|AddXD|FellTreeD|MultXD|FellTreeD|FellTreeD|SubXD|DivXD|MultXD|AddXD|SkipD|AddXD,AddToLeafR,AddXD,0,3,4,4,6
4,(x),20,-10,0.012956672262876834,-0.016715712344038115,0.019999999091211158,0.02,1737879.5469199996,3877640186403493500000,110036562.394,0,1,1,0.5593651099921226,0,41374938581668935000000000,0,4137493856980348000000000000,0,(((((((2)+(0))-((4)-(1)))+(((3)*(6))*((3)*((0)-(7)))))-((((2)-(2))*((7)*(4)))-(((7)-(2))*((8)-((9)+(9))))))+(((((1)*(6))*((x)*(x)))*(((4)+(5))+((9)-((4)+(x)))))*((((0)*(3))*((x)*((5)*(7))))*(((x)*(3))*((8)*((6)*(9)))))))*((((((x)*(7))-((3)*(3)))*(((7)+(8))*((0)+((0)+(x)))))+((((0)+(1))+((5)*(x)))-(((7)-(6))*((9)+((x)*(6))))))*(((((7)*(7))*((7)*(6)))*(((5)*(x))*((7)*((8)+(7)))))*((((x)*(3))-((9)+(x)))*(((2)+(2))*((2)-((2)*((x)+(0))))))))),(((0)*(x))*((x)+(x))),DeleteMaliciousR|MutateTerminalR|DeleteTerminalR|AddRandomSubTreeR|AddTreeWithAdd|ReplaceBranchXR|AddToLeafR|AddTreeWithMult|ReplaceBranchXR|ReplaceBranchR|AddTreeWithMult|AddRandomSubTreeR|AddTreeWithMult|MutateNonTerminalR|AddToLeafR,SubXD|AddXD|DivXD|MultXD|AddXD|MultXD|AddTreeWithDiv|AddTreeWithDiv|FellTreeD|SubXD|SubXD|FellTreeD|MultXD|MultXD|AddXD,AddTreeWithMult,MultXD,0,4,5,5,6
5,(x),20,-10,0.010636395661313325,-0.00032682058186237747,0.019999999940332018,0.02,23753910.54987,65765597741873.13,1675940686.95,0,1,1,0.6193720205878712,0,201560292526273870000000,0,12051527134088102000,0,(((((((x)+(5))+((4)+(7)))+(((2)+(5))-((3)+((x)+(7)))))*((((5)+(4))+((4)*((6)*(2))))*(((7)*(7))*((8)*((4)*(5))))))+(((((2)*(x))*((0)*((4)*(5))))*(((7)*(3))*((8)+((8)+(3)))))+((((0)+(9))+((6)*((5)-(5))))+(((0)+(8))+((x)*((6)-(0)))))))-((((((x)-(6))+((x)+(8)))*(((4)+(1))+((8)+((7)+(9)))))+((((7)+(1))+((9)*(8)))*(((8)-(2))-((8)*((9)*(9))))))*(((((x)*(5))*((1)*(4)))*(((8)*(7))*((2)*((x)*(1)))))*((((6)*(5))*((6)*((9)*(x))))-(((7)+(8))*((0)*((9)-((3)+(5))))))))),(((0)*(x))*((x)+(x))),ReplaceBranchXR|AddTreeWithAdd|AddToLeafR|AddRandomSubTreeR|AddTreeWithAdd|MutateTerminalR|DeleteMaliciousR|MutateTerminalR|AddTreeWithAdd|AddTreeWithMult|MutateNonTerminalR|ReplaceBranchXR|AddTreeWithMult|AddTreeWithMult|AddTreeWithMult,SubXD|AddXD|DivXD|MultXD|AddXD|MultXD|AddTreeWithDiv|AddTreeWithDiv|FellTreeD|MultXD|SubXD|FellTreeD|MultXD|MultXD|AddXD,AddTreeWithMult,MultXD,0,5,6,6,6
6,(x),20,-10,0.011808888176104298,-0.01809368836932399,0.019999999967325172,0.02,34670340.74504,79616289558642.8,3060460032.1,0,1,1,0.5377906228741847,0,1523958212024043500000000,0,152395643636893830000000000,0,(((((((x)*(2))*((1)*((5)*(x))))*(((4)*((6)*(5)))*((x)*((3)-(4)))))+((((4)+((3)+(3)))+((0)*((7)+(1))))+(((1)-((4)-(1)))+((3)*((4)+(1))))))+(((((9)+((4)*(6)))*((x)*((6)*(6))))*(((5)*((4)*(8)))*((8)*((3)-(x)))))-((((1)+((0)+(7)))+((5)+((7)*(2))))+(((4)+((9)-(0)))-((2)*((x)+(0)))))))+((((((4)+(4))+((x)+((5)-(9))))*(((x)*((3)*(6)))-((8)+((0)-(5)))))+((((3)*(5))+((2)-((x)-(9))))-(((8)*((0)-(4)))*((9)-((8)*(5))))))*(((((6)+(6))+((7)+((0)*(9))))-(((x)*((3)*(x)))-((9)+((x)*(6)))))+((((3)+((3)-(0)))-((3)*((x)*(5))))*(((5)*((5)*(2)))*((1)*((x)*((9)*(8))))))))),((0)+(x)),AddToLeafR|ReplaceBranchXR|ReplaceBranchXR|AddTreeWithAdd|ReplaceBranchXR|AddRandomSubTreeR|AddTreeWithMult|AddTreeWithMult|AddToLeafR|AddTreeWithAdd|MutateNonTerminalR|AddRandomSubTreeR|AddTreeWithMult|ReplaceBranchR|AddToLeafR,SubXD|AddTreeWithDiv|MultXD|AddTreeWithDiv|SkipD|AddXD|MultXD|FellTreeD|FellTreeD|SubXD|DivXD|MultXD|AddXD|SkipD|AddXD,AddToLeafR,AddXD,5,6,7,7,6
7,(x),20,-10,0.013870317785588657,0.002871277606363408,0.01999994908568843,0.02,55083.17653,1044127786026508200,1964084.3,0,1,1,0.5445449797631062,0,592162451040532700000000000,0,59216245092688870000000000000,0,(((((((9)-(x))*((1)*((x)*(6))))*(((9)*((9)*(3)))*((6)*((4)-(x)))))*((((9)-((9)*(2)))*((9)-((7)*(7))))*(((8)*((2)*(1)))*((2)*((8)*(7))))))-(((((8)-((2)+(1)))-((6)+((4)-(6))))+(((2)*((2)+(2)))+((x)+((3)+(9)))))-((((6)*((8)*(5)))*((4)*((5)*(4))))*(((9)*((7)-(1)))-((1)-((1)-(9)))))))*((((((2)+(7))+((5)+((4)+(1))))+(((5)+((0)*(7)))+((4)*((7)*(2)))))+((((3)*(4))*((8)*((x)*(5))))*(((3)*((1)*(3)))*((3)+((7)*(7))))))+(((((0)+(2))-((0)+((3)+(2))))-(((3)*((7)*(9)))+((3)+((8)+(4)))))+((((0)+((1)+(9)))*((4)-((5)+(9))))*(((4)*((x)*(4)))*((7)*((4)*((7)*(7))))))))),(((0)*(x))*((x)+(x))),ReplaceBranchXR|AddTreeWithAdd|AddToLeafR|AddRandomSubTreeR|AddTreeWithAdd|AddTreeWithSub|AddTreeWithMult|AddTreeWithAdd|AddTreeWithMult|DeleteMaliciousR|AddTreeWithMult|AddToLeafR|AddTreeWithMult|ReplaceBranchR|AddTreeWithMult,DivXD|AddTreeWithDiv|MultXD|MultXD|AddXD|FellTreeD|MultXD|SubXD|AddXD|MultXD|SubXD|FellTreeD|MultXD|DivXD|AddXD,AddTreeWithMult,MultXD,6,6,8,8,6
8,(x),20,-10,0.015418753277676384,0.010423331777305167,0.01999999993503239,0.02,26628146.67571,6934719285817852000000,1539228511.9420002,0,1,1,0.5513310821586008,0,536402941574011400000000,0,53640294157136480000000000,0,(((((((8)+(9))+((8)+(8)))+(((x)+(0))+((6)+((5)+(0)))))+((((9)-(8))+((1)+((4)*(x))))+(((7)*(9))*((x)-((1)+(0))))))+(((((3)+(x))+((6)+(9)))+(((0)+(6))*((6)+((8)*(3)))))*((((6)+(x))*((9)*((7)+(4))))*(((0)*(5))+((3)-((x)*(8)))))))-((((((1)-(7))*((9)*(6)))*(((1)*(6))*((4)*((8)*(5)))))*((((7)*(5))-((6)*(1)))+(((7)+(0))+((8)+((5)+(0))))))+(((((8)+(4))+((8)*(2)))*(((6)*(8))*((x)*((9)*(9)))))*((((5)*(3))*((3)*((8)*(8))))*(((6)*(1))*((6)*((3)-((3)-(x))))))))),(((0)*(x))*((x)+(x))),ReplaceBranchXR|MutateTerminalR|ReplaceBranchR|AddRandomSubTreeR|AddTreeWithAdd|AddRandomSubTreeR|AddRandomSubTreeR|AddToLeafR|AddTreeWithAdd|DeleteMaliciousR|AddTreeWithAdd|MutateTerminalR|AddTreeWithMult|ReplaceBranchR|AddTreeWithMult,AddXD|AddTreeWithDiv|AddTreeWithDiv|AddTreeWithDiv|FellTreeD|SkipD|AddXD|AddXD|SkipD|MultXD|SubXD|FellTreeD|MultXD|MultXD|AddXD,AddRandomSubTreeR,AddXD,6,3,9,9,6
9,(x),20,-10,0.015705379543160047,0,0.019999999979655545,0.02,58830939.71346,0.1,4915344190.156,0,1,1,0.40077185405306276,0,129295238640245330000000000,0,12929523862216209000000000000,0,(((((((7)-(6))*((2)*((7)*(0))))*(((4)*((x)*(0)))*((9)*((7)+(6)))))-((((2)-((7)-(7)))-((4)-((8)*(3))))*(((7)*((8)*(8)))*((1)*((1)*(8))))))-(((((0)-(x))*((3)+((3)-(6))))+(((9)*((8)*(8)))+((8)+((9)+(0)))))+((((5)+((1)+(x)))+((8)*((9)+(x))))+(((8)+((x)*(3)))-((3)+((5)+(8)))))))+((((((5)+(9))+((7)*((x)+(9))))+(((x)*((x)+(x)))*((3)+((6)*(2)))))*((((7)*(6))*((7)*((5)*(4))))*(((8)*((x)*(8)))*((8)*((2)*(4))))))+(((((6)+(7))+((1)+((9)+(7))))+(((5)+((x)*(0)))*((9)+((4)+(7)))))+((((9)+((2)+(7)))+((0)+((6)*(x))))*(((2)*((x)*(9)))*((9)*((7)*((4)*(7))))))))),(((0)*(x))*((x)+(x))),AddToLeafR|ReplaceBranchXR|AddRandomSubTreeR|ReplaceBranchR|ReplaceBranchXR|AddTreeWithSub|AddTreeWithAdd|AddTreeWithAdd|AddTreeWithMult|AddTreeWithMult|MutateNonTerminalR|ReplaceBranchXR|AddTreeWithMult|AddTreeWithMult|AddTreeWithAdd,DivXD|AddTreeWithDiv|MultXD|AddTreeWithDiv|DivXD|SkipD|AddXD|AddXD|SkipD|SkipD|SubXD|FellTreeD|MultXD|MultXD|AddXD,AddTreeWithMult,SkipD,9,6,10,10,6
10,(x),20,-10,0.016416366863066037,-0.019920802125799657,0.01999998727217879,0.02,321624.99117,2399239097.7868795,7856804.267999999,0,1,1,0.3426443468487302,0,21920365839539530000000000,0,2192036582471563500000000000,0,(((((((x)+(6))-((4)-((1)+(x))))*(((6)-((6)*(6)))+((x)*((x)*(5)))))-((((x)-(6))+((3)*((1)*(6))))-(((7)*((6)+(9)))+((3)*((2)+(8))))))+(((((6)*(4))+((x)+((5)*(0))))*(((2)-((4)*(2)))*((x)*((x)*(9)))))*((((7)*(8))*((5)*((2)*(2))))*(((8)*((4)*(1)))*((4)*((2)*(9)))))))*((((((x)*(x))*((x)*((3)*(5))))*(((5)*(x))*((8)-((8)-(2)))))-((((0)-(4))-((3)-((4)-(5))))*(((8)*((5)+(7)))*((5)-((7)-(1))))))*(((((5)*(5))*((7)*((8)*(7))))*(((6)*((4)*(3)))+((x)-((8)-(5)))))+((((9)+(7))+((3)+((x)+(7))))-(((1)*((0)*(7)))-((8)-((0)-((1)+(7))))))))),((0)+(x)),AddTreeWithAdd|ReplaceBranchXR|ReplaceBranchXR|AddTreeWithAdd|ReplaceBranchXR|AddRandomSubTreeR|AddRandomSubTreeR|AddToLeafR|AddTreeWithMult|AddTreeWithMult|MutateTerminalR|AddTreeWithSub|AddToLeafR|AddTreeWithMult|AddTreeWithMult,SubXD|AddXD|MultXD|MultXD|AddXD|MultXD|AddTreeWithDiv|AddTreeWithDiv|SubXD|SubXD|DivXD|MultXD|AddXD|FellTreeD|AddXD,AddTreeWithMult,AddXD,10,2,11,11,6
