gen,specEquation,range,seed,AGenFitAvg,PGenFitAvg,AGenBestFitAvg,PGenBestFitAvg,AGenDeltaAvg,PGenDeltaAvg,AGenBestDeltaAvg,PGenBestDeltaAvg,topABestFit,topPBestFit,topAStdDev,topPStdDev,topAAvgDelta,topPAvgtDelta,topABestDelta,topPBestDelta,topAEquation,topPEquation,topAStrat,topPStrat,topADomStrat,topPDomStrat,topABirthGen,topPBirthGen,topAAge,topPAge,run
0,(x),20,-10,-0.018735096702933895,0.012350758647662005,0.018015479261758286,0.02,0.7843600000000001,3876797394477.058,50.39,0,1,1,0.9167571670756893,0,11871023768657689000,0,1187008325096755400000,0,((((((9)*((2)*(4)))*((1)*((1)*(6))))*(((8)-((1)+(0)))*((1)-((x)*(3)))))-((((2)-((5)-(4)))-((2)-((7)*(4))))*(((x)+((7)+(2)))+(((x)*(9))+((5)-(1))))))+(((((3)-((2)-(0)))-((0)-((6)*(x))))*(((9)*((3)*(3)))*((9)*((9)*(8)))))*((((8)*((9)*(6)))*((9)*((9)-(0))))-(((4)*((5)+(5)))*((5)*((x)*((4)*(1)))))))),((0)+(x)),DeleteMaliciousR|AddTreeWithMult|ReplaceBranchR|ReplaceBranchR|ReplaceBranchXR|AddTreeWithSub|MutateTerminalR|DeleteMaliciousR|MutateTerminalR|AddTreeWithMult|DeleteTerminalR|AddTreeWithSub|ReplaceBranchXR|AddTreeWithMult|DeleteMaliciousR,DivXD|MultXD|FellTreeD|SubXD|FellTreeD|DivXD|SkipD|SubXD|AddXD|AddTreeWithDiv|SkipD|MultXD|SubXD|FellTreeD|AddXD,DeleteMaliciousR,FellTreeD,0,0,1,1,7
1,(x),20,-10,0.0023741704653582347,0.011252053808325113,0.019995787991234474,0.02,362.9403,460835627025.66187,23741.641,0,1,1,0.6171721289499775,0,2713327652362638000,0,19765789204661776000,0,(((((((0)+(8))*((9)+((6)*(9))))*(((0)-(5))*((7)*((5)+(7)))))*((((1)+(3))+((x)+((x)+(x))))+(((3)+((9)+(x)))+((7)-((x)+(6))))))+(((((x)-(5))*((2)*((8)*(3))))+(((4)+(2))+((2)+((0)+(4)))))+((((x)+(1))+((9)*((4)*(1))))*(((2)*((9)*(9)))*((7)*((3)*(6)))))))*((((((3)*(6))+((0)+((4)+(7))))+(((3)-(x))+((8)+((5)*(6)))))*((((9)*(4))*((9)*((4)*(8))))*(((7)*(6))*((5)+((5)-(4))))))+(((((8)-(8))-((2)+((8)+(8))))+(((4)+(1))+((7)+((4)+(3)))))-((((x)-(9))-((x)-((6)-(0))))-(((1)-((5)-(6)))-((9)-((3)-((3)-(1))))))))),(((0)/((x)/(x)))*((x)+(x))),AddToLeafR|AddTreeWithSub|AddToLeafR|AddTreeWithSub|AddTreeWithMult|DeleteTerminalR|MutateNonTerminalR|AddTreeWithAdd|AddTreeWithAdd|AddTreeWithMult|ReplaceBranchR|AddTreeWithAdd|AddTreeWithAdd|AddTreeWithMult|MutateTerminalR,FellTreeD|SubXD|FellTreeD|AddTreeWithDiv|AddXD|SubXD|SubXD|AddXD|AddTreeWithDiv|AddTreeWithDiv|FellTreeD|DivXD|DivXD|MultXD|AddXD,AddTreeWithAdd,SubXD,1,0,2,2,7
2,(x),20,-10,0.0057666578951889634,0.007682770659313863,0.019999949446583662,0.02,33875.61505,17306788.214432575,1978105.68,0,1,1,0.8336250561055436,0,8170410940682939000000,0,3155138098629702600000,0,(((((((x)-(6))-((2)+(8)))*(((2)*(x))*((4)*((x)+(5)))))*((((8)*(1))*((7)*(9)))*(((8)*(7))*((3)*((9)*(1))))))*(((((2)*(4))*((6)*(8)))*(((7)+(7))+((6)+((8)+(4)))))+((((9)+(9))*((3)-((3)*(7))))*(((5)*(4))-((5)-((9)-(5)))))))-((((((7)*(7))*((2)+(5)))*(((2)+(1))*((2)*(4))))*((((9)+(0))-((9)+(9)))-(((0)-(4))-((1)-((x)-(6))))))*(((((4)*(4))*((2)*(9)))*(((2)*(7))*((8)-((x)*(8)))))*((((1)+(0))*((3)-(0)))*(((6)-(7))+((x)*((5)-((0)-(0))))))))),(((0)*(x))/((x)+(x))),MutateNonTerminalR|ReplaceBranchXR|AddTreeWithMult|AddToLeafR|MutateTerminalR|DeleteMaliciousR|AddTreeWithSub|AddTreeWithAdd|ReplaceBranchXR|DeleteNonTerminalR|AddTreeWithMult|AddToLeafR|AddRandomSubTreeR|AddTreeWithMult|AddToLeafR,FellTreeD|SkipD|AddTreeWithDiv|SubXD|SkipD|FellTreeD|MultXD|MultXD|MultXD|SubXD|MultXD|FellTreeD|MultXD|DivXD|AddXD,AddToLeafR,MultXD,2,0,3,3,7
3,(x),20,-10,0.014696575707683963,0.017604175717234126,0.019999976063674887,0.02,78619.82946000001,716472195.194943,4177750.742,0,1,1,0.4758468319768949,0,7893238938144507000,0,789302893219727500000,0,(((((((x)*(5))*((3)*(8)))*(((1)*(3))*((x)*((0)*(4)))))+((((7)+(0))*((7)+(0)))+(((4)+(7))*((7)*((4)-(1))))))+(((((1)*(3))*((9)*(6)))*(((8)*(9))*((5)*((8)*(8)))))*((((7)*(x))*((4)*(4)))*(((x)*(7))*((9)*((x)-(5)))))))+((((((9)+(4))+((7)+(x)))+(((6)+(x))+((2)*(1))))-((((0)-(x))-((5)*(3)))+(((7)+(6))+((5)+((x)+(5))))))+(((((6)+(2))*((3)*(9)))-(((6)+(8))*((9)+(3))))+((((3)+(3))+((8)+(3)))+(((1)+(5))*((6)-((0)*((1)*(3))))))))),((0)+(x)),AddToLeafR|AddTreeWithSub|AddToLeafR|AddTreeWithMult|ReplaceBranchXR|AddRandomSubTreeR|AddRandomSubTreeR|AddTreeWithAdd|AddTreeWithAdd|AddTreeWithMult|ReplaceBranchR|AddRandomSubTreeR|AddTreeWithAdd|AddTreeWithMult|MutateTerminalR,FellTreeD|FellTreeD|FellTreeD|AddTreeWithDiv|MultXD|SubXD|DivXD|AddTreeWithDiv|AddTreeWithDiv|SkipD|DivXD|AddXD|AddTreeWithDiv|FellTreeD|AddXD,AddRandomSubTreeR,FellTreeD,2,3,4,4,7
4,(x),20,-10,0.014573836598871442,0.018776540873083118,0.019999756518973188,0.02,19647.5223,0.04112161271680726,410709.62,0,1,1,0.6243967761063042,0,343362334964414400000,0,34335964871728787000000,0,(((((((8)+(9))-((1)-(0)))-(((1)+(3))+((0)+((6)+(x)))))+((((2)+(0))+((8)-((6)*(5))))-(((x)*(4))+((9)-((4)*(3))))))-(((((8)-(5))*((6)*((3)*(9))))*(((3)+(6))+((7)*((6)+(6)))))+((((4)+(4))+((x)+((6)+(7))))+(((3)*(x))*((5)*((5)*(x)))))))*((((((6)*(7))+((x)+(2)))+(((5)+(2))+((x)+((1)+(6)))))+((((x)+(x))+((6)+((7)+(5))))*(((5)*(6))*((6)*((x)*(9))))))*(((((9)*(5))*((3)*(5)))*(((6)-(5))-((1)-((0)-(4)))))-((((3)*(9))+((0)-((3)-(2))))+(((2)-(9))*((9)*((5)+((1)+(5))))))))),((0)+(x)),AddToLeafR|AddTreeWithSub|AddToLeafR|AddTreeWithSub|AddTreeWithMult|DeleteTerminalR|MutateNonTerminalR|AddTreeWithAdd|AddTreeWithAdd|AddTreeWithMult|ReplaceBranchR|AddTreeWithAdd|AddTreeWithAdd|AddTreeWithMult|MutateTerminalR,DivXD|FellTreeD|SubXD|AddTreeWithDiv|MultXD|DivXD|AddTreeWithDiv|SkipD|DivXD|FellTreeD|DivXD|AddXD|AddTreeWithDiv|FellTreeD|AddXD,AddTreeWithAdd,DivXD,1,2,5,5,7
5,(x),20,-10,0.011687751241725658,0.008120695699197817,0.019999172002942104,0.02,3518.3329599999993,0.10726356243548589,120773.37599999999,0,1,1,0.5862572574686475,0,2517809917052253000,0,4790037663842687000,0,(((((((3)*(5))*((9)*(2)))*(((6)*(4))*((2)*((9)*(4)))))*((((3)+(8))*((8)-(0)))-(((x)*(x))*((0)+((x)*(0))))))-(((((x)*(5))*((3)+(5)))+(((0)*(8))-((3)+((8)*(0)))))+((((9)+(8))+((6)+((6)+(1))))+(((9)+(4))+((1)*((1)+(1)))))))*((((((1)*(5))*((2)*(0)))*(((6)*(9))*((7)+((5)+(5)))))+((((1)+(6))+((9)+(4)))+(((6)+(3))+((6)*((9)+(2))))))+(((((x)+(2))+((0)+(6)))+(((1)+(1))-((5)+((6)-(9)))))*((((4)+(6))*((3)+(5)))*(((2)+(7))*((9)+((1)-((3)-(3))))))))),((0)+(x)),AddToLeafR|MutateTerminalR|ReplaceBranchXR|MutateNonTerminalR|AddRandomSubTreeR|AddRandomSubTreeR|DeleteTerminalR|AddTreeWithAdd|AddTreeWithAdd|AddTreeWithMult|ReplaceBranchR|AddRandomSubTreeR|AddTreeWithAdd|AddTreeWithMult|MutateTerminalR,FellTreeD|SubXD|MultXD|DivXD|SubXD|SubXD|SkipD|AddTreeWithDiv|AddTreeWithDiv|SkipD|DivXD|AddXD|AddTreeWithDiv|FellTreeD|AddXD,AddRandomSubTreeR,AddTreeWithDiv,3,3,6,6,7
6,(x),20,-10,0.01422528783427399,0,0.019999999040350772,0,1804061.8108700002,0.1,104204741.69,0.1,1,1,0.5291680998499049,0,172663630151724320000000,0,17266363000419834000000000,0,(((((((1)*(9))*((x)*(x)))*(((5)*(x))*((5)*((x)*(7)))))*((((2)*(4))+((8)+(1)))+(((1)-(9))*((0)+((4)*(4))))))-(((((9)+(7))-((0)+(7)))+(((x)-(9))*((6)-((9)*(6)))))-((((8)+(3))+((0)-((x)*(3))))+(((9)*(3))*((7)*((3)-(1)))))))-((((((4)+(7))*((9)-(x)))-(((x)*(8))*((4)-((7)*(6)))))-((((7)*(6))*((6)*(x)))*(((4)+(7))+((1)+((1)+(6))))))+(((((1)+(6))+((9)*(1)))*(((0)+(8))*((5)-((x)*(x)))))*((((6)*(x))*((9)*(1)))*(((2)*(8))+((1)+((8)-((5)+(4))))))))),((0)+(x)),DeleteTerminalR|DeleteMaliciousR|ReplaceBranchXR|AddToLeafR|AddRandomSubTreeR|AddRandomSubTreeR|AddToLeafR|AddToLeafR|AddToLeafR|MutateNonTerminalR|MutateTerminalR|ReplaceBranchXR|AddTreeWithMult|AddTreeWithAdd|AddTreeWithMult,FellTreeD|FellTreeD|FellTreeD|AddTreeWithDiv|MultXD|AddTreeWithDiv|DivXD|MultXD|FellTreeD|AddXD|DivXD|AddXD|DivXD|FellTreeD|AddXD,AddToLeafR,FellTreeD,6,4,7,7,7
7,(x),20,-10,0.013414330349617996,0,0.019999996706528224,0.02,516313.20076000004,0.1,30363096.1,0,1,1,0.630390393013921,0,70784559797090810000000,0,186978119268199100000000,0,(((((((0)+(2))*((x)+(5)))*(((5)*(3))-((x)*((9)*(4)))))*((((9)*(2))*((4)*(7)))*(((9)*(6))-((3)+((1)-(8))))))*(((((3)*(9))*((2)*(x)))*(((0)*(2))*((6)+((0)-(2)))))-((((6)+(x))-((4)-(0)))*(((0)*(7))+((x)-((0)*(0)))))))-((((((0)*(2))+((0)*(4)))*(((x)*(3))*((9)*(5))))*((((1)-(5))*((6)*(1)))*(((8)*(8))-((3)*((7)*(8))))))*(((((9)*(7))*((3)*(2)))*(((6)*(x))*((9)+((9)*(8)))))*((((3)+(x))-((4)-(2)))-(((8)*(6))*((5)-((0)-((x)+(7))))))))),((0)+(x)),DeleteTerminalR|DeleteMaliciousR|AddRandomSubTreeR|AddToLeafR|AddRandomSubTreeR|AddTreeWithMult|AddToLeafR|AddToLeafR|AddToLeafR|AddRandomSubTreeR|MutateNonTerminalR|MutateNonTerminalR|AddTreeWithMult|AddTreeWithMult|AddTreeWithMult,FellTreeD|FellTreeD|FellTreeD|AddTreeWithDiv|SkipD|SubXD|DivXD|AddTreeWithDiv|FellTreeD|AddXD|DivXD|FellTreeD|AddTreeWithDiv|FellTreeD|AddXD,AddToLeafR,FellTreeD,7,4,8,8,7
8,(x),20,-10,0.015146771880800092,0.0030795146939139296,0.019999999783976777,0.02,8374545.468509999,0.32705767623205584,462913197.33199996,0,1,1,0.5224071166829262,0,1073149081078906200000,0,107313993278040440000000,0,(((((((x)*(7))*((3)*(x)))*(((2)*(7))*((3)*(4))))*((((9)*(9))-((8)-(3)))+(((2)+(6))+((x)-((0)-(4))))))*(((((5)*(1))+((6)-(4)))*(((6)*(5))*((6)*((2)*(8)))))*((((6)*(3))*((7)+(9)))+(((x)*(4))-((x)*((6)*(5)))))))+((((((1)-(0))*((6)*(9)))+(((1)-(1))*((8)*(4))))+((((0)*(4))-((1)+(2)))+(((4)-(5))-((4)+((5)*(4))))))*(((((x)+(6))-((9)-(2)))*(((8)+(2))+((5)+(8))))+((((1)+(4))+((0)+(6)))-(((4)*(8))+((0)-((1)-((0)-(9))))))))),((0)+(x)),DeleteTerminalR|DeleteMaliciousR|ReplaceBranchXR|AddToLeafR|AddRandomSubTreeR|AddRandomSubTreeR|AddToLeafR|AddToLeafR|AddToLeafR|MutateNonTerminalR|MutateNonTerminalR|MutateTerminalR|AddTreeWithMult|AddTreeWithAdd|AddTreeWithMult,FellTreeD|FellTreeD|FellTreeD|AddTreeWithDiv|MultXD|SubXD|DivXD|AddTreeWithDiv|AddTreeWithDiv|SkipD|DivXD|AddXD|AddTreeWithDiv|FellTreeD|AddXD,AddToLeafR,FellTreeD,8,3,9,9,7
9,(x),20,-10,0.014656635289061654,-0.019603960396039607,0.019999999563710312,0.02,5237337.90833,5.05,229205508.71,0,1,1,0.4988923243527403,0,1062468173159921900000,0,106221885748628070000000,0,(((((((x)*(3))+((8)-((6)*(7))))-(((7)*((1)-(7)))*((8)*((9)-(3)))))-((((4)*((6)-(9)))-((9)+((8)*(4))))-(((5)+((4)*(6)))*((2)+((6)+(8))))))+(((((8)+(2))+((0)+((5)+(1))))-(((6)*((4)*(5)))*((7)*((3)-(8)))))+((((2)+((1)*(7)))*((7)*((5)*(7))))*(((8)*((7)*(2)))*((5)*((x)*(7)))))))+((((((8)*(2))*((9)+((7)*(5))))-(((0)*((2)*(3)))*((9)+((4)*(9)))))-((((1)-(6))-((8)-((9)-(5))))-(((0)-((1)*(0)))-((1)+((9)+(x))))))-(((((7)*(5))-((5)+((2)+(5))))+(((1)+((x)*(0)))+((3)+((x)-(x)))))+((((2)+(2))-((7)-((8)+(3))))-(((9)+((8)+(7)))+((2)-((2)*((4)+(0))))))))),((0)+(x)),MutateTerminalR|ReplaceBranchXR|ReplaceBranchXR|AddToLeafR|AddRandomSubTreeR|AddRandomSubTreeR|MutateTerminalR|AddToLeafR|ReplaceBranchR|DeleteNonTerminalR|ReplaceBranchR|AddRandomSubTreeR|AddToLeafR|AddTreeWithAdd|AddTreeWithMult,FellTreeD|SubXD|MultXD|DivXD|SubXD|SubXD|DivXD|MultXD|FellTreeD|AddXD|DivXD|AddXD|DivXD|FellTreeD|DivXD,AddToLeafR,DivXD,7,4,10,10,7
10,(x),20,-10,0.015380640838313005,0,0.019999999534964164,0,4220616.47951,0.1,215037191.312,0.1,1,1,0.5641998289372171,0,83955403552330970000,0,8037299077057435000000,0,(((((((2)*(3))-((5)*(3)))*(((5)*(3))*((3)*((9)*(8)))))*((((8)*(x))-((8)*((2)+(7))))*(((3)*(3))+((4)-((2)-(6))))))-(((((5)*(4))+((2)-(9)))*(((1)-(7))*((7)+((8)+(2)))))-((((5)*(0))-((6)*((8)+(x))))*(((x)*(1))*((8)*((4)*(8)))))))*((((((4)*(4))+((x)*(0)))+(((6)-(4))*((2)*((3)*(7)))))*((((7)*(7))*((9)*(5)))*(((2)*(1))-((7)-((9)+(5))))))+(((((4)*(2))*((6)-(x)))*(((8)+(7))-((9)-((2)-(2)))))-((((5)-(6))-((9)+(4)))-(((8)-(1))+((1)*((6)*((9)*(6))))))))),((0)+(x)),AddToLeafR|MutateTerminalR|ReplaceBranchXR|MutateNonTerminalR|AddRandomSubTreeR|AddRandomSubTreeR|AddToLeafR|AddTreeWithSub|AddTreeWithMult|AddRandomSubTreeR|AddToLeafR|MutateNonTerminalR|AddTreeWithMult|AddTreeWithMult|MutateTerminalR,DivXD|FellTreeD|FellTreeD|AddTreeWithDiv|MultXD|SubXD|DivXD|AddTreeWithDiv|DivXD|AddXD|SubXD|DivXD|AddTreeWithDiv|DivXD|AddXD,AddRandomSubTreeR,DivXD,10,7,11,11,7
