A,P,AFinal,PFinal,AGen,PGen,count,run
AddTreeWithSub,AddXD,AddTreeWithSub,AddXD,0,0,0,1
AddToLeafR,DivXD,AddToLeafR,DivXD,0,0,1,1
AddRandomSubTreeR,AddTreeWithDiv,AddToLeafR,AddTreeWithDiv,0,0,2,1
AddToLeafR,MultXD,AddToLeafR,MultXD,0,0,3,1
ReplaceBranchR,FellTreeD,AddToLeafR,FellTreeD,0,0,4,1
AddToLeafR,AddXD,AddToLeafR,AddXD,0,0,5,1
AddTreeWithMult,SubXD,AddTreeWithSub,SubXD,0,0,6,1
AddToLeafR,MultXD,AddTreeWithAdd,MultXD,0,0,7,1
AddTreeWithSub,SubXD,AddTreeWithSub,SubXD,0,0,8,1
AddTreeWithAdd,SkipD,AddTreeWithAdd,SkipD,0,0,9,1
AddToLeafR,FellTreeD,AddToLeafR,FellTreeD,0,0,10,1
AddTreeWithAdd,MultXD,AddTreeWithAdd,MultXD,0,0,11,1
AddToLeafR,DivXD,AddToLeafR,DivXD,0,0,12,1
AddTreeWithMult,SubXD,AddTreeWithMult,SubXD,0,0,13,1
AddTreeWithMult,AddXD,AddTreeWithMult,AddXD,0,0,14,1
