specEquation,range,seed,AID,PID,AAvg,PAvg,ABestFit,PBestFit,AStdDev,PStdDev,AAverageDelta,PAverageDelta,ABestDelta,PBestDelta,AEquation,PEquation,AStrat,PStrat,ADomStrat,PDomStrat,AGen,PGen,ABirthGen,PBirthGen,AAge,PAge,ARun,PRun
(x),20,-10,ANTAGONIST-ImK,PROTAGONIST-67c1c2c2c1c2c2c2c2c2c1c2c1c1c2c2c1c2c1c1c2c2c1c1c2c2c1c2c2c2c1c1c1c1c1c1c1c2c1c1c1c2,0.9868442371652708,1,1,1,0.042424930944587644,0,12572729672121885000000,0,1257272967128895400000000,0,(((((((1)*((8)*(5)))*((4)-((1)*(0))))+(((7)*((2)+(6)))-((6)*((2)-(9)))))*((((4)-((x)-(1)))-((1)-((x)*(8))))-(((7)-((2)+(3)))*((8)*((0)+(1))))))*(((((6)-((8)-(8)))+((3)*((0)+(4))))-(((4)+((0)-(4)))-((6)*((4)*(2)))))+((((9)+((9)*(9)))*((6)-((7)*(8))))*(((6)*((5)*(9)))-((8)+((4)+(6)))))))*((((((8)*(4))*((9)*((6)-(8))))+(((7)*((2)*(6)))*((5)+((7)-(x)))))-((((8)+((x)-(7)))+((6)*((x)-(0))))*(((5)-((3)-(0)))+((4)+((6)+(3))))))*(((((3)*((6)*(9)))*((2)*((7)*(2))))*(((3)*((x)*(5)))*((x)+((4)-(9)))))-((((1)-((2)-(1)))-((5)-((5)-(6))))*(((9)+((1)+(5)))*((0)+((0)-((3)-(x))))))))),((0)+(x)),AddTreeWithAdd|ReplaceBranchR|ReplaceBranchXR|AddToLeafR|AddRandomSubTreeR|AddTreeWithSub|ReplaceBranchXR|AddToLeafR|AddToLeafR|AddToLeafR|AddToLeafR|AddToLeafR|AddToLeafR|AddTreeWithMult|AddToLeafR,AddXD|SkipD|FellTreeD|AddXD|MultXD|SubXD|SubXD|SkipD|MultXD|SkipD|SubXD|AddTreeWithDiv|SkipD|FellTreeD|AddXD,AddToLeafR,SkipD,0,0,46,48,47,49,0,0
(x),20,-10,ANTAGONIST-fDb,PROTAGONIST-11c2c2c2c1c2c1c1c2c2c1c1c1c1c1c1c1c1c2c1c1c1c1c2c1c2c2c1c1c2c1c1c1c2c2c1c2c1c1c2,0.9653283788852511,1,1,1,0.1844565026467948,0,6090424793569422000000000,0,609042478340193800000000000,0,(((((((3)-((7)*(4)))+((2)*((7)+(1))))*(((7)-((x)-(0)))+((x)+((7)*(8)))))+((((0)*((9)-(9)))*((4)*((9)*(8))))*(((2)*((4)*(9)))*((5)+((7)*(1))))))*(((((9)+((2)-(9)))-((x)-((3)*(3))))+(((9)+((6)*(3)))*((5)*((5)*(9)))))*((((6)*((4)*(7)))-((0)*((9)+(7))))+(((5)+((6)+(5)))+(((8)+(1))+((7)+(3)))))))*((((((8)*(6))*((0)-((0)+(7))))+(((3)-((3)*(4)))*((x)*((5)+(2)))))+((((0)+((0)+(3)))+((x)+((3)+(4))))+(((9)+((3)-(x)))-((5)-((4)+(5))))))*(((((4)*((3)*(9)))-((9)+((6)+(0))))-(((7)-((1)*(8)))*((7)-((8)-(3)))))*((((4)*((x)+(7)))*((7)*((8)+(8))))-(((x)*((5)-(9)))*((1)*((6)+((6)-(3))))))))),((0)+(x)),AddTreeWithSub|ReplaceBranchXR|ReplaceBranchR|AddRandomSubTreeR|AddRandomSubTreeR|AddToLeafR|AddTreeWithAdd|AddToLeafR|AddToLeafR|AddToLeafR|AddRandomSubTreeR|AddTreeWithAdd|AddToLeafR|AddTreeWithMult|AddTreeWithMult,MultXD|AddTreeWithDiv|SkipD|AddTreeWithDiv|AddTreeWithDiv|DivXD|DivXD|AddTreeWithDiv|FellTreeD|AddXD|MultXD|FellTreeD|DivXD|FellTreeD|AddXD,AddToLeafR,AddTreeWithDiv,0,0,37,47,39,49,1,1
(x),20,-10,ANTAGONIST-GhH,PROTAGONIST-87c2c1c1c1c2c2c1c1c1c1c1c1c2c1c2c1c2c2c1c2c1c2c1c2c2c2c1c1c2c1c1c2c2c2c1c1c1,0.9945630785882901,1,0.999999999999999,1,0.025411455027081246,0,2526428053328351,0,250718349728689600,0,(((((((x)+((6)*(1)))+((1)+((7)+(9))))+(((1)+((4)+(1)))+((8)-((4)+(0)))))-((((1)+((x)+(5)))*((x)-((6)*(x))))*(((6)+((1)+(0)))-((9)*((0)-(9))))))+(((((5)+((7)+(8)))+((8)+((8)+(1))))+(((8)+((6)+(8)))*((2)-((4)-(1)))))-((((9)*((9)-(5)))*((6)-((x)+(2))))*(((3)*((x)-(0)))-((2)-((x)-(5)))))))-((((((7)*(0))+((7)*((7)*(7))))+(((1)+((4)*(8)))+((5)+((2)-(1)))))-((((3)*((3)*(x)))-((3)-((x)+(7))))+(((9)*((4)*(5)))+((8)+((1)-(4))))))+(((((8)-((5)*(8)))+((8)-((1)-(9))))-(((1)-((4)*(5)))*((4)*((5)*(9)))))*((((9)*((x)*(6)))*((1)*((1)-(2))))+(((3)-((3)+(2)))*((0)+((7)*((4)-(0))))))))),((0)+(x)),AddToLeafR|ReplaceBranchXR|AddRandomSubTreeR|ReplaceBranchR|AddToLeafR|AddRandomSubTreeR|AddRandomSubTreeR|AddToLeafR|AddTreeWithSub|AddToLeafR|AddToLeafR|AddToLeafR|AddTreeWithAdd|AddTreeWithAdd|AddTreeWithMult,MultXD|AddTreeWithDiv|FellTreeD|AddTreeWithDiv|MultXD|MultXD|AddTreeWithDiv|MultXD|DivXD|AddTreeWithDiv|SkipD|MultXD|AddTreeWithDiv|FellTreeD|AddXD,AddToLeafR,MultXD,0,0,19,48,20,49,2,2
(x),20,-10,ANTAGONIST-Lag,PROTAGONIST-27c2c2c2c1c2c1c1c1c2c1c1c1c1c2c2c2c2c2c2c2c1c2c1c2c1c1c1c1c1c1c2c2c2c1c1c2c2c2c2,0.9794216987081559,1,1,1,0.1549343192929224,0,4940520820741532000000,0,482910723771074300000000,0,(((((((5)*((6)-(8)))+((3)+((3)-(9))))-(((0)*((3)+(7)))*((5)*((6)*(4)))))*((((4)+((x)-(6)))+((6)+((1)+(0))))*(((1)*((4)*(5)))*(((9)*(8))*((2)*(0))))))-(((((4)-((3)-(2)))-((8)-((4)-(6))))-(((9)*((3)+(9)))+((0)+((4)*(5)))))*((((2)*((7)*(x)))*((4)*((4)*(8))))*(((6)*((6)+(2)))*(((3)+(4))+((3)*(2)))))))-((((((9)-((3)-(9)))*((0)*((1)+(5))))*(((7)+((3)*(3)))-((6)+((6)-(1)))))*((((6)*((1)*(6)))*((1)+((6)+(9))))+(((7)+((7)+(8)))+((7)+((9)+(2))))))+(((((5)+((0)+(4)))-((5)+((3)+(2))))+(((5)*((4)*(x)))*((3)-((8)-(4)))))*((((5)*((6)*(2)))+((x)*((4)*(1))))-(((0)-((2)+(9)))-((4)-((x)*((7)*(x))))))))),(((0)+(x))-((x)+(x))),AddTreeWithSub|ReplaceBranchR|AddRandomSubTreeR|AddToLeafR|AddRandomSubTreeR|AddToLeafR|AddToLeafR|AddToLeafR|AddTreeWithSub|AddToLeafR|AddToLeafR|AddTreeWithAdd|AddTreeWithMult|DeleteTerminalR|AddTreeWithMult,FellTreeD|SubXD|SkipD|SubXD|SubXD|SkipD|SubXD|MultXD|SubXD|SubXD|DivXD|FellTreeD|AddXD|SubXD|AddXD,AddToLeafR,SubXD,0,0,37,48,38,49,3,3
(x),20,-10,ANTAGONIST-FGm,PROTAGONIST-86c2c1c2c2c2c2c2c1c1c1c1c1c2c2c1c1c1c1c2c2c2c2c2c2c1c2c2c2c1c2c2c2c1c2c1c1c1c1c2c2c2,0.9926536583139642,1,0.9999999999999061,1,0.024739814652205587,0,44477675193717.22,0,2661952390316179,0,(((((((x)-((3)*(9)))*((4)*((8)-(9))))-(((7)*((5)*(9)))-((8)*((9)-(5)))))-((((2)-((x)+(7)))-((0)+((3)*(8))))*(((4)+((7)*(6)))-(((2)-(1))+((1)+(3))))))+(((((1)+((0)+(3)))+((7)+((0)-(7))))-(((x)-((4)-(1)))-((9)-((9)-(9)))))*((((2)+((5)-(x)))*((0)-((5)-(5))))-(((x)+((4)-(9)))*(((2)-(1))-((9)+(3)))))))+((((((9)*((7)-(4)))*((7)+((9)+(3))))+(((3)*((6)*(2)))*((2)*((2)*(9)))))*((((5)*((3)*(2)))*((9)*((x)*(3))))*(((3)*((2)*(3)))+((4)+((x)+(x))))))-(((((6)-((2)+(x)))+((4)+((0)+(1))))+(((6)+((4)-(8)))+((7)-((2)+(4)))))*((((x)+((1)+(6)))-((1)-((7)+(0))))*(((7)+((1)+(5)))+((7)+((2)+((1)*(0))))))))),((0)+(x)),AddTreeWithAdd|ReplaceBranchXR|AddToLeafR|AddToLeafR|AddRandomSubTreeR|AddToLeafR|AddToLeafR|AddToLeafR|AddTreeWithSub|AddTreeWithAdd|AddToLeafR|AddTreeWithMult|AddTreeWithMult|AddToLeafR|AddTreeWithAdd,SkipD|SubXD|AddTreeWithDiv|AddTreeWithDiv|FellTreeD|DivXD|AddXD|FellTreeD|AddXD|SkipD|MultXD|SkipD|FellTreeD|AddXD|SkipD,AddToLeafR,SkipD,0,0,39,48,41,49,4,4
(x),20,-10,ANTAGONIST-aSM,PROTAGONIST-24c2c1c1c2c2c2c2c2c2c1c2c2c1c1c1c2c1c2c1c1c1c2c1c1c1c1c1c2c2c1c2c1c2c2c2c2c2c2c2c1c2c1,0.9830640442262996,1,1,1,0.0920596817126463,0,8495565115340676000000,0,849556498273892200000000,0,(((((((x)+(3))+((x)-((4)*(8))))*(((7)+(3))*((0)-((5)+(9)))))+((((0)*(2))*((5)*((6)-(4))))+(((0)*((8)+(2)))*((7)-((8)-(x))))))-(((((5)+(6))-((9)*((8)*(9))))*(((4)-(x))*((1)-((8)*(x)))))*((((6)*(7))+((0)+((0)-(x))))*(((8)*((3)-(6)))*((9)-((x)*(5)))))))*((((((3)+(3))*((0)-((6)-(5))))*(((1)-(4))*((5)*((6)*(4)))))*((((7)*(1))*((4)*((3)*(7))))-(((1)-(3))*((x)*((6)*(4))))))-(((((5)*(2))-((9)*((2)+(4))))-(((9)*(9))-((6)-((1)-(3)))))+((((9)-(7))+((1)*((4)*(7))))-(((3)*((4)+(9)))*((4)+((5)-((9)+(9))))))))),((0)+(x)),ReplaceBranchXR|MutateNonTerminalR|AddTreeWithAdd|AddToLeafR|AddToLeafR|ReplaceBranchXR|AddRandomSubTreeR|MutateNonTerminalR|AddToLeafR|AddRandomSubTreeR|AddToLeafR|AddToLeafR|AddToLeafR|AddToLeafR|AddTreeWithMult,AddXD|DivXD|AddTreeWithDiv|AddXD|AddXD|AddTreeWithDiv|MultXD|SubXD|FellTreeD|SubXD|FellTreeD|FellTreeD|AddTreeWithDiv|FellTreeD|AddXD,AddToLeafR,FellTreeD,0,0,16,48,17,49,5,5
(x),20,-10,ANTAGONIST-dggc1,PROTAGONIST-69c1c2c2c2c2c2c2c2c2c1c2c1c2c1c1c2c2c2c1c2c2c1c2c1c1c1c2c1c2c1c1c1c2,0.9710523109706145,1,1,1,0.15513320621044793,0,150260838219476130000000,0,15026078576513410000000000,0,(((((((x)-((4)*(1)))*((3)+((7)-(0))))-(((0)*((1)*(6)))+(((0)-(4))+((6)*(5)))))*((((1)*((8)-(1)))*((6)+((7)-(4))))*(((7)*((7)*(9)))+(((1)+(4))+((2)+(3))))))-(((((4)-((4)-(0)))*((5)-((3)*(5))))+(((5)*((x)*(x)))*(((x)*(9))*((8)*(2)))))*((((7)*((7)*(4)))-((2)*((8)+(x))))+(((8)+((8)+(6)))+(((0)+(5))*((8)-(8)))))))*((((((3)-((6)*(4)))*((1)*((3)-(9))))+(((1)+((1)+(x)))+((2)+((1)+(4)))))+((((4)-((5)-(7)))*((5)-((9)*(2))))-(((7)*((7)+(0)))+(((9)+(6))*((5)*(4))))))-(((((3)*((4)-(7)))*((9)*((2)-(1))))*(((6)+((1)+(0)))+((3)+((6)+(7)))))+((((2)+((6)*(x)))*((6)*((3)+(1))))-(((9)-((4)-(9)))-(((3)-(3))*((5)-((x)*(x))))))))),((0)+(x)),ReplaceBranchXR|ReplaceBranchXR|AddToLeafR|AddToLeafR|DeleteMaliciousR|AddTreeWithAdd|AddToLeafR|AddToLeafR|AddRandomSubTreeR|AddTreeWithAdd|AddTreeWithAdd|AddToLeafR|AddTreeWithAdd|AddTreeWithMult|AddToLeafR,FellTreeD|FellTreeD|AddTreeWithDiv|SkipD|SubXD|MultXD|FellTreeD|FellTreeD|AddXD|AddTreeWithDiv|AddTreeWithDiv|FellTreeD|FellTreeD|FellTreeD|AddXD,AddToLeafR,FellTreeD,0,0,49,47,49,49,6,6
(x),20,-10,ANTAGONIST-woD,PROTAGONIST-29c1c2c1c1c1c2c1c1c1c2c2c2c2c2c1c1c1c2c1c1c1c1c2c1c2c2c2c2c2c2c2c1c1c1c1c1c2c2,0.9871902268283606,1,1,1,0.05746272037298561,0,815513407142797200000000,0,81551339976875380000000000,0,(((((((3)-((5)-(3)))+((9)+((2)+(5))))+(((0)+((x)+(9)))-(((x)-(4))-((5)+(7)))))+((((4)+((0)+(6)))+((0)+((2)+(6))))-(((7)-((2)-(9)))-(((0)-(x))*((8)-(3))))))*(((((4)*((3)*(3)))*((7)*((7)*(7))))*(((6)*((9)*(6)))*(((5)-(1))*((4)*(8)))))*((((9)*((9)-(8)))*(((3)+(8))*((6)*(x))))+(((0)-((x)*(1)))+(((2)*(x))*((x)+(0)))))))*((((((7)*((x)*(5)))*((0)+((4)-(9))))+(((0)+((9)*(1)))+((8)*((8)*(4)))))*((((4)*((3)*(9)))*((6)*((7)*(8))))*(((9)*((9)*(2)))*(((9)*(3))*((1)*(1))))))*(((((5)-((4)-(7)))+((4)*((x)-(1))))-(((3)-((5)-(4)))-(((x)-(9))*((7)-(0)))))-((((4)*((3)*(4)))-((x)-((x)-(0))))-(((3)*((3)-(2)))+(((5)+(6))+((6)-((8)+(4))))))))),((0)+(x)),AddTreeWithSub|ReplaceBranchXR|AddRandomSubTreeR|AddRandomSubTreeR|AddToLeafR|AddToLeafR|AddToLeafR|AddToLeafR|AddTreeWithSub|AddToLeafR|AddToLeafR|AddTreeWithAdd|AddTreeWithMult|AddTreeWithMult|AddTreeWithMult,SkipD|DivXD|SubXD|DivXD|FellTreeD|AddXD|AddXD|FellTreeD|MultXD|FellTreeD|FellTreeD|SubXD|SubXD|FellTreeD|AddXD,AddToLeafR,FellTreeD,0,0,40,48,41,49,7,7
(x),20,-10,ANTAGONIST-mMd,PROTAGONIST-26c1c1c2c1c2c1c1c2c1c1c1c2c2c2c2c1c2c2c2c1c2c2c1c1c2c2c1c1c1c1c1c2c2c1c1c2c1c1c2c1,0.9772933094715026,1,1,1,0.11249443768699317,0,2356436277774884000000000,0,9341706078958174000,0,(((((((x)*((7)+(4)))*((x)*((4)*(9))))*(((x)+((9)+(9)))*((1)-((7)*(3)))))-((((6)-((0)+(7)))+((9)*((x)*(1))))+(((0)-((5)+(1)))*((0)-((0)+(9))))))+(((((0)-((x)-(3)))+((3)-((8)*(7))))+(((4)-((7)*(7)))+((1)-((4)-(3)))))-((((4)-((1)+(0)))+((7)-((x)*(7))))*(((1)+((5)*(9)))-(((1)-(2))+((1)+(9)))))))+((((((3)+((9)+(0)))+((5)+((7)+(1))))+(((4)+((7)+(3)))+((6)+((7)+(8)))))-((((3)-((6)*(3)))*((9)*((9)*(7))))+(((6)+((5)+(0)))-((3)*((2)*(4))))))*(((((7)*((4)+(9)))+((7)+((5)-(x))))-(((4)*((9)*(7)))*((6)*((5)*(6)))))*((((4)*((8)*(5)))*((1)*((6)+(6))))*(((4)-((1)-(4)))+((3)*((7)-((3)*(5))))))))),((0)+(x)),ReplaceBranchR|ReplaceBranchXR|ReplaceBranchR|AddToLeafR|AddToLeafR|AddToLeafR|AddToLeafR|AddRandomSubTreeR|AddToLeafR|AddTreeWithMult|AddToLeafR|AddTreeWithAdd|AddToLeafR|AddTreeWithAdd|AddToLeafR,FellTreeD|DivXD|SubXD|DivXD|AddTreeWithDiv|AddXD|MultXD|FellTreeD|DivXD|SkipD|FellTreeD|SubXD|DivXD|FellTreeD|AddXD,AddToLeafR,FellTreeD,0,0,28,48,29,49,8,8
(x),20,-10,ANTAGONIST-jZY,PROTAGONIST-47c1c1c2c1c2c2c2c1c1c2c2c2c1c1c2c2c2c2c2c1c2c2c1c2c1c1c1c2c1c1c1c2c2c2c2c2c2c2c2c2c2,0.9650145479900877,1,1,1,0.21000135585883337,0,24858523422317660000,0,2485802368359390500000,0,(((((((x)+((x)*(x)))*((9)-((2)-(9))))+(((6)+((9)-(1)))-((8)-((8)-(7)))))+((((6)-((8)-(6)))+((5)*((0)*(1))))-(((5)+((3)+(3)))-(((8)-(3))-((9)*(3))))))-(((((1)+((9)-(1)))*((6)*((1)-(4))))*(((5)*((8)*(7)))*(((2)+(8))*((0)+(2)))))+((((2)*((7)+(8)))*((9)*((9)*(5))))+(((5)*((3)*(0)))+(((1)+(0))+((3)*(9)))))))*((((((4)-((8)-(6)))-((x)+((0)*(8))))+(((3)+((x)+(0)))+((9)+((6)+(1)))))+((((5)+((8)-(0)))+((6)*((9)*(x))))-(((8)-((x)-(8)))+((1)-((6)+(9))))))+(((((6)*((9)*(0)))*((9)-((5)*(x))))+(((x)+((7)+(9)))+((3)*((0)-(6)))))+((((1)*((6)+(5)))-((1)-((9)-(2))))*(((2)-((x)-(x)))-(((8)*(1))-((4)-((9)+(0))))))))),((0)*((x)+(x))),ReplaceBranchXR|AddToLeafR|ReplaceBranchXR|ReplaceBranchXR|AddRandomSubTreeR|AddToLeafR|ReplaceBranchXR|AddToLeafR|AddToLeafR|AddTreeWithAdd|AddRandomSubTreeR|AddToLeafR|AddToLeafR|AddToLeafR|AddToLeafR,MultXD|MultXD|DivXD|AddXD|DivXD|AddTreeWithDiv|MultXD|FellTreeD|MultXD|SkipD|AddTreeWithDiv|AddXD|FellTreeD|MultXD|AddXD,AddToLeafR,MultXD,0,0,47,48,48,49,9,9
