gen,specEquation,range,seed,topAEquation,topPEquation,correlation,covariance,AMean,PMean,AStd,PStd,AVar,PVar,ASkew,PSkew,AExKur,PExKur,topAMean,topPMean,topABest,topPBest,topAMeanDelta,topPMeanDelta,topABestDelta,topPBestDelta,topAStrat,topPStrat,topADomStrat,topPDomStrat,topABirthGen,topPBirthGen,topAAge,topPAge,run
0,(x),20,-10,((((x)*(5))-((x)*(3)))*((4)*((5)+((9)-(x))))),(0),-0.5533057462931281,-0.03368734584875002,-0.8724726663109822,-0.28972615467933754,0.7012545568489751,0,0.02667431201166544,0.13896646255092987,1.9709670077683656,-1.3721929126517611,3.4012673112528233,0.4022690392682984,-0.4799692134536393,0,0.9552238805970149,0,463.72564925080496,5.787918451395113,3877.9053624347257,5.787918451395113,SubXD|AddXD|DeleteTerminalR|DivXD|DivXD|MutateTerminalR|AddTreeWithDiv|ReplaceBranchR|AddTreeWithAdd|AddTreeWithMult|MultXD|AddXD|MutateNonTerminalR|MultXD|AddTreeWithAdd,MutateNonTerminalR|AddRandomSubTreeR|ReplaceBranchR|AddTreeWithMult|ReplaceBranchXR|DeleteNonTerminalR|ReplaceBranchXR|MutateTerminalR|AddXD|AddTreeWithMult|AddTreeWithDiv|AddXD|MutateNonTerminalR|AddTreeWithDiv|DivXD,MultXD,AddXD,0,0,1,1,0
1,(x),20,-10,((((3)-(2))*((9)*((x)-(x))))+(((x)*(5))-((2)-((x)*(x))))),(0),NaN,0,-0.5579737881580211,0,0.5263972283666452,0,0.0341749955572124,0,0.30399820904005675,NaN,-1.0818360755183365,NaN,-0.2711949446660743,0,0.6812227643100573,0,154.7345317675061,5.787918451395113,544.6987240668001,5.787918451395113,AddToLeafX|AddToLeafX|AddToLeafR|ReplaceBranchXR|FellTreeD|SubXD|AddTreeWithDiv|AddTreeWithDiv|AddXD|ReplaceBranchR|MutateTerminalR|AddXD|AddTreeWithAdd|MutateNonTerminalR|ReplaceBranchR,MutateNonTerminalR|AddRandomSubTreeR|ReplaceBranchR|AddTreeWithMult|ReplaceBranchXR|DeleteNonTerminalR|ReplaceBranchXR|MutateTerminalR|AddXD|AddTreeWithMult|AddTreeWithDiv|AddXD|MutateNonTerminalR|AddTreeWithDiv|DivXD,AddXD,MutateNonTerminalR,0,0,2,2,0
2,(x),20,-10,(((x)+((4)*(8)))*((x)+((8)*(x)))),(0),-0.27588667704408176,-0.010892042066257159,-0.12714177307840852,-0.1489380479113615,0.6777533731291244,0,0.026270645440099872,0.05933164920210135,-0.37134667279892486,-1.1449954563551301,-0.2640346077675879,-0.7312128488132252,0.08022874656992858,0,0.9675014274559862,0,879.0828731650174,5.787918451395113,5342.928625763216,5.787918451395113,AddToLeafX|AddToLeafX|AddToLeafR|ReplaceBranchXR|FellTreeD|SubXD|AddTreeWithDiv|AddTreeWithDiv|AddXD|ReplaceBranchR|MutateTerminalR|AddXD|AddTreeWithAdd|MutateNonTerminalR|ReplaceBranchR,AddTreeWithDiv|AddToLeafR|DeleteNonTerminalR|MutateNonTerminalR|SubXD|SubXD|AddRandomSubTreeR|AddToLeafR|MultXD|ReplaceBranchR|DeleteTerminalR|AddTreeWithSub|FellTreeD|AddTreeWithMult|DeleteNonTerminalR,AddToLeafX,SubXD,0,1,3,1,0
3,(x),20,-10,((((x)*(x))-((3)-(3)))+((0)*((x)*(x)))),((3)-((3)+(x))),0.3600082635970678,0.00815313599909157,0.07481869463510864,-0.25922046560186063,0.5481078876620566,0.46598692592309127,0.06135251498479144,0.008359726398990307,0.5879666247313049,0.10730403284217381,-0.9185857178994765,-1.5707532193432217,0.4866268570938278,-0.13760897076821144,0.9554143172740449,1,865.4103858756025,11.633244407943995,3894.4688726448953,0,AddToLeafX|AddToLeafX|AddToLeafR|ReplaceBranchXR|FellTreeD|SubXD|AddTreeWithDiv|AddTreeWithDiv|AddXD|ReplaceBranchR|MutateTerminalR|AddXD|AddTreeWithAdd|MutateNonTerminalR|ReplaceBranchR,AddTreeWithDiv|AddToLeafR|DeleteNonTerminalR|MutateNonTerminalR|SubXD|SubXD|AddRandomSubTreeR|AddToLeafR|MultXD|ReplaceBranchR|DeleteTerminalR|AddTreeWithSub|FellTreeD|AddTreeWithMult|DeleteNonTerminalR,AddToLeafX,AddToLeafR,2,1,1,2,0
4,(x),20,-10,((0)-((9)/(x))),((0)-((0)+(x))),-0.3715717539397893,-0.00016568748220777122,-0.9679659268678847,-0.13324220802830564,0.004511774129274888,0.7983494784567139,0.000014595868580744226,0.013622727443065915,-1.2205358123530166,-0.5572357142267437,0.7173154006174585,-0.6331559271135339,-0.9639660106164764,0.022211478440061015,-0.9542475408693791,1,6.256853760908161,11.884724946581514,7.944345071964648,0,AddToLeafX|AddToLeafX|AddToLeafR|ReplaceBranchXR|FellTreeD|SubXD|AddTreeWithDiv|AddTreeWithDiv|AddXD|ReplaceBranchR|MutateTerminalR|AddXD|AddTreeWithAdd|MutateNonTerminalR|ReplaceBranchR,AddTreeWithDiv|AddToLeafR|DeleteNonTerminalR|MutateNonTerminalR|SubXD|SubXD|AddRandomSubTreeR|AddToLeafR|MultXD|ReplaceBranchR|DeleteTerminalR|AddTreeWithSub|FellTreeD|AddTreeWithMult|DeleteNonTerminalR,AddToLeafX,AddToLeafR,2,3,2,1,0
5,(x),20,-10,((2)-((7)/(x))),(((x)*((2)+(5)))/((6)+(6))),-0.42430606564292866,-0.00015700463497332533,-0.9721847202006357,-0.22829478209046847,0.0023493194536855135,0.11556472222051155,0.000013277468806099836,0.010312196424636814,0.19692296877925974,0.14394339369848588,-1.039922396047209,0.49408718119031647,-0.9659308189816649,-0.04250991226209826,-0.9605754833254471,0.5833333333333334,5.91568924319825,6.119694335195048,6.845576624939374,2.411632688081297,AddToLeafX|AddToLeafX|AddToLeafR|ReplaceBranchXR|FellTreeD|SubXD|AddTreeWithDiv|AddTreeWithDiv|AddXD|ReplaceBranchR|MutateTerminalR|AddXD|AddTreeWithAdd|MutateNonTerminalR|ReplaceBranchR,AddTreeWithDiv|AddToLeafR|DeleteNonTerminalR|MutateNonTerminalR|SubXD|SubXD|AddRandomSubTreeR|AddToLeafR|MultXD|ReplaceBranchR|DeleteTerminalR|AddTreeWithSub|FellTreeD|AddTreeWithMult|DeleteNonTerminalR,AddToLeafX,DeleteNonTerminalR,4,4,1,1,0
6,(x),20,-10,((6)*(8)),(((0)+((x)+(3)))*((x)-((7)/(x)))),-0.057504574719342096,-0.00013168858003965783,-0.9510016054039054,-0.32063286100510224,0.1029352418847443,0.19905875776883647,0.00031539988744229815,0.016627612840112223,1.041214334941069,-0.28900866755652277,0.45482080357931753,-0.7735609179774787,-0.9139399468802619,-0.12176299313999642,-0.7187153374962165,0.20374652657690007,14.94325708139327,6.972781915965038,48.841580646002846,4.477620361859441,AddToLeafX|AddToLeafX|AddToLeafR|ReplaceBranchXR|FellTreeD|SubXD|AddTreeWithDiv|AddTreeWithDiv|AddXD|ReplaceBranchR|MutateTerminalR|AddXD|AddTreeWithAdd|MutateNonTerminalR|ReplaceBranchR,AddTreeWithDiv|AddToLeafR|DeleteNonTerminalR|MutateNonTerminalR|SubXD|SubXD|AddRandomSubTreeR|AddToLeafR|MultXD|ReplaceBranchR|DeleteTerminalR|AddTreeWithSub|FellTreeD|AddTreeWithMult|DeleteNonTerminalR,AddTreeWithDiv,AddToLeafR,5,5,1,1,0
7,(x),20,-10,((6)*(8)),((0)+((1)+(x))),-0.27565528670216,-0.0010226878337331964,-0.9311901326186696,-0.2842954568684302,0.10818203529964565,0.4908633767416327,0.0005910028559521509,0.02328970283408272,-0.2822242880069834,0.2708005573490639,-0.9281574794400114,-0.8151868252906818,-0.8980205873298776,-0.04943509159374514,-0.7187153374962165,0.827226314883728,17.707455727675146,7.962943853113067,48.841580646002846,1,AddToLeafX|AddToLeafX|AddToLeafR|ReplaceBranchXR|FellTreeD|SubXD|AddTreeWithDiv|AddTreeWithDiv|AddXD|ReplaceBranchR|MutateTerminalR|AddXD|AddTreeWithAdd|MutateNonTerminalR|ReplaceBranchR,AddTreeWithDiv|AddToLeafR|DeleteNonTerminalR|MutateNonTerminalR|SubXD|SubXD|AddRandomSubTreeR|AddToLeafR|MultXD|ReplaceBranchR|DeleteTerminalR|AddTreeWithSub|FellTreeD|AddTreeWithMult|DeleteNonTerminalR,AddToLeafX,SubXD,6,6,1,1,0
8,(x),20,-10,((((x)-(x))*((7)*((3)*(x))))+(((7)*(x))*((5)-((0)/(x))))),(((((2)+(7))*((9)-((9)*(x))))*(((8)-((7)/(7)))+((1)-((0)*(5)))))*((((3)*(5))+((9)-((x)/(1))))*(((6)/(5))*((x)*((x)/((x)+(x))))))),0.19502783764699666,0.012352461075632383,0.0638611090012151,-0.7891613618871928,0.6794676473071625,0.8648547038132002,0.134246209893366,0.029882143265820074,-0.9053671699677306,0.749103548676956,-0.1986611742149833,-0.0009792249856710455,0.427119710637618,-0.4754135749330489,0.9646513457034449,1,1292.5835848498696,1854835.7026213151,4912.140419409852,0,AddToLeafX|AddToLeafX|AddToLeafR|ReplaceBranchXR|FellTreeD|SubXD|AddTreeWithDiv|AddTreeWithDiv|AddXD|ReplaceBranchR|MutateTerminalR|AddXD|AddTreeWithAdd|MutateNonTerminalR|ReplaceBranchR,AddTreeWithDiv|AddToLeafR|DeleteNonTerminalR|MutateNonTerminalR|SubXD|SubXD|AddRandomSubTreeR|AddToLeafR|MultXD|ReplaceBranchR|DeleteTerminalR|AddTreeWithSub|FellTreeD|AddTreeWithMult|DeleteNonTerminalR,AddToLeafX,SubXD,7,6,1,2,0
9,(x),20,-10,((((5)*(9))*((x)-((7)+(x))))-((5)*((x)-((x)/(x))))),((((4)*((5)-(2)))+(((0)+(1))*((5)+(x))))/(((5)-((2)-(8)))-((3)+((1)+((3)*(x)))))),-0.029301450623284975,-0.00006157994170354147,-0.9214891208698763,-0.9171286323476286,0.3871175357686465,0.2980263815082246,0.002660820800068858,0.0016599105190619567,1.5573901701084738,1.5203938115705613,0.9389518433952198,1.4111335480961555,-0.8258766967553022,-0.8295898556128837,0.2727890430882739,-0.005275128183154802,33.049614589834036,3871.0147019499236,249.15667761470894,5.818612377534699,AddToLeafX|AddToLeafX|AddToLeafR|ReplaceBranchXR|FellTreeD|SubXD|AddTreeWithDiv|AddTreeWithDiv|AddXD|ReplaceBranchR|MutateTerminalR|AddXD|AddTreeWithAdd|MutateNonTerminalR|ReplaceBranchR,AddTreeWithDiv|AddToLeafR|DeleteNonTerminalR|MutateNonTerminalR|SubXD|SubXD|AddRandomSubTreeR|AddToLeafR|MultXD|ReplaceBranchR|DeleteTerminalR|AddTreeWithSub|FellTreeD|AddTreeWithMult|DeleteNonTerminalR,AddTreeWithDiv,AddToLeafR,8,8,1,1,0
10,(x),20,-10,((((x)-(x))+((5)*((2)*(7))))-(((2)*(6))-((x)*((x)+(x))))),((5)-((4)*(x))),0.188004600744554,0.00275086923031892,-0.8027270472913971,-0.7251250346499117,0.6122156607277093,0.6645718627887481,0.01573224213756453,0.013608564455727262,0.47028669347872476,0.004588305505039291,-0.3614104190833731,-1.1026269307787007,-0.5660745770621689,-0.5456534148619661,0.9439536119437799,1,351.40183982677013,3463.692914179007,3098.1042590590782,0,AddToLeafX|AddToLeafX|AddToLeafR|ReplaceBranchXR|FellTreeD|SubXD|AddTreeWithDiv|AddTreeWithDiv|AddXD|ReplaceBranchR|MutateTerminalR|AddXD|AddTreeWithAdd|MutateNonTerminalR|ReplaceBranchR,AddTreeWithDiv|AddToLeafR|DeleteNonTerminalR|MutateNonTerminalR|SubXD|SubXD|AddRandomSubTreeR|AddToLeafR|MultXD|ReplaceBranchR|DeleteTerminalR|AddTreeWithSub|FellTreeD|AddTreeWithMult|DeleteNonTerminalR,AddTreeWithDiv,AddToLeafR,9,9,1,1,0
