A,P,AEquation,PEquation,AGen,PGen,ARun,PRun,count,run
AddToLeafX,AddTreeWithDiv,(((((x)+(1))*((5)+(1)))-(((x)-(9))+((2)+((1)*(x)))))+(((2)*((x)/(2)))*(((9)*(x))+((x)-((x)*(x)))))),((0)+(x)),0,0,0,0,0,0
AddToLeafX,AddToLeafR,(((((x)+(1))*((5)+(1)))-(((x)-(9))+((2)+((1)*(x)))))+(((2)*((x)/(2)))*(((9)*(x))+((x)-((x)*(x)))))),((0)+(x)),0,0,0,0,1,0
AddToLeafR,DeleteNonTerminalR,(((((x)+(1))*((5)+(1)))-(((x)-(9))+((2)+((1)*(x)))))+(((2)*((x)/(2)))*(((9)*(x))+((x)-((x)*(x)))))),((0)+(x)),0,0,0,0,2,0
ReplaceBranchXR,MutateNonTerminalR,(((((x)+(1))*((5)+(1)))-(((x)-(9))+((2)+((1)*(x)))))+(((2)*((x)/(2)))*(((9)*(x))+((x)-((x)*(x)))))),((0)+(x)),0,0,0,0,3,0
FellTreeD,SubXD,(((((x)+(1))*((5)+(1)))-(((x)-(9))+((2)+((1)*(x)))))+(((2)*((x)/(2)))*(((9)*(x))+((x)-((x)*(x)))))),((0)+(x)),0,0,0,0,4,0
SubXD,SubXD,(((((x)+(1))*((5)+(1)))-(((x)-(9))+((2)+((1)*(x)))))+(((2)*((x)/(2)))*(((9)*(x))+((x)-((x)*(x)))))),((0)+(x)),0,0,0,0,5,0
AddTreeWithDiv,AddRandomSubTreeR,(((((x)+(1))*((5)+(1)))-(((x)-(9))+((2)+((1)*(x)))))+(((2)*((x)/(2)))*(((9)*(x))+((x)-((x)*(x)))))),((0)+(x)),0,0,0,0,6,0
AddTreeWithDiv,AddToLeafR,(((((x)+(1))*((5)+(1)))-(((x)-(9))+((2)+((1)*(x)))))+(((2)*((x)/(2)))*(((9)*(x))+((x)-((x)*(x)))))),((0)+(x)),0,0,0,0,7,0
AddXD,MultXD,(((((x)+(1))*((5)+(1)))-(((x)-(9))+((2)+((1)*(x)))))+(((2)*((x)/(2)))*(((9)*(x))+((x)-((x)*(x)))))),((0)+(x)),0,0,0,0,8,0
ReplaceBranchR,ReplaceBranchR,(((((x)+(1))*((5)+(1)))-(((x)-(9))+((2)+((1)*(x)))))+(((2)*((x)/(2)))*(((9)*(x))+((x)-((x)*(x)))))),((0)+(x)),0,0,0,0,9,0
MutateTerminalR,DeleteTerminalR,(((((x)+(1))*((5)+(1)))-(((x)-(9))+((2)+((1)*(x)))))+(((2)*((x)/(2)))*(((9)*(x))+((x)-((x)*(x)))))),((0)+(x)),0,0,0,0,10,0
AddXD,AddTreeWithSub,(((((x)+(1))*((5)+(1)))-(((x)-(9))+((2)+((1)*(x)))))+(((2)*((x)/(2)))*(((9)*(x))+((x)-((x)*(x)))))),((0)+(x)),0,0,0,0,11,0
AddTreeWithAdd,FellTreeD,(((((x)+(1))*((5)+(1)))-(((x)-(9))+((2)+((1)*(x)))))+(((2)*((x)/(2)))*(((9)*(x))+((x)-((x)*(x)))))),((0)+(x)),0,0,0,0,12,0
MutateNonTerminalR,AddTreeWithMult,(((((x)+(1))*((5)+(1)))-(((x)-(9))+((2)+((1)*(x)))))+(((2)*((x)/(2)))*(((9)*(x))+((x)-((x)*(x)))))),((0)+(x)),0,0,0,0,13,0
ReplaceBranchR,DeleteNonTerminalR,(((((x)+(1))*((5)+(1)))-(((x)-(9))+((2)+((1)*(x)))))+(((2)*((x)/(2)))*(((9)*(x))+((x)-((x)*(x)))))),((0)+(x)),0,0,0,0,14,0
