gen,specEquation,range,seed,AGenFitAvg,PGenFitAvg,AGenBestFitAvg,PGenBestFitAvg,AGenDeltaAvg,PGenDeltaAvg,AGenBestDeltaAvg,PGenBestDeltaAvg,topABestFit,topPBestFit,topAStdDev,topPStdDev,topAAvgDelta,topPAvgtDelta,topABestDelta,topPBestDelta,topAEquation,topPEquation,topAStrat,topPStrat,topADomStrat,topPDomStrat,topABirthGen,topPBirthGen,topAAge,topPAge,run
0,(x),20,-10,-0.0027960475803277813,-0.0020778766722307535,-0.0015885228647472367,-0.0017513187820457888,0.011804599730275134,6.8714820156790495,0.023815961034566714,0.0930977980405552,0.9861441505813767,0,0.5953170737532012,0,1295.8089426316067,5.787918451395113,4177.238274266863,5.787918451395113,(((x)*((4)-(x)))+((2)*((x)*(x)))),(0),AddTreeWithMult|SubXD|FellTreeD|AddXD|DivXD|AddToLeafR|AddRandomSubTreeR|FellTreeD|AddToLeafX|AddTreeWithDiv|DeleteTerminalR|FellTreeD|ReplaceBranchR|AddTreeWithSub|MutateTerminalR,AddToLeafR|AddTreeWithDiv|FellTreeD|DeleteTerminalR|ReplaceBranchXR|ReplaceBranchR|ReplaceBranchR|MutateNonTerminalR|ReplaceBranchR|DeleteNonTerminalR|DivXD|MultXD|AddTreeWithSub|SkipD|MutateNonTerminalR,FellTreeD,ReplaceBranchR,0,0,1,1,1
1,(x),20,-10,-0.0019307337507047464,-0.0024497212382235223,-0.0015049498743908132,-0.001,0.015584910926339542,26.55650587833717,0.028653097563788806,0.02315167380558045,0.8181818181818181,0,0.7007856885630721,0,111.20136991202594,5.787918451395113,318.3355148267312,5.787918451395113,(((8)*(5))+((2)*(x))),(0),AddTreeWithMult|SubXD|FellTreeD|AddXD|DivXD|AddToLeafR|AddRandomSubTreeR|FellTreeD|AddToLeafX|AddTreeWithDiv|DeleteTerminalR|FellTreeD|ReplaceBranchR|AddTreeWithSub|MutateTerminalR,AddToLeafR|AddTreeWithDiv|FellTreeD|DeleteTerminalR|ReplaceBranchXR|ReplaceBranchR|ReplaceBranchR|MutateNonTerminalR|ReplaceBranchR|DeleteNonTerminalR|DivXD|MultXD|AddTreeWithSub|SkipD|MutateNonTerminalR,FellTreeD,ReplaceBranchR,0,0,2,2,1
2,(x),20,-10,-0.0018,-0.0028296452457592827,-0.0017999999999999997,-0.0000004996331875914623,0.011575836902790225,45.87746880281437,0.011575836902790225,0.011578729461544791,-0.8999999999999999,0,0,0,5.787918451395113,5.787918451395113,5.787918451395113,5.787918451395113,(0),(0),AddTreeWithMult|SubXD|FellTreeD|AddXD|DivXD|AddToLeafR|AddRandomSubTreeR|FellTreeD|AddToLeafX|AddTreeWithDiv|DeleteTerminalR|FellTreeD|ReplaceBranchR|AddTreeWithSub|MutateTerminalR,AddToLeafR|AddTreeWithDiv|FellTreeD|DeleteTerminalR|ReplaceBranchXR|ReplaceBranchR|ReplaceBranchR|MutateNonTerminalR|ReplaceBranchR|DeleteNonTerminalR|DivXD|MultXD|AddTreeWithSub|SkipD|MutateNonTerminalR,FellTreeD,ReplaceBranchR,0,0,3,3,1
3,(x),20,-10,-0.00156694128459537,-0.0027578868589193633,0.0001475828599018082,0.00014890987008022835,0.048338620731384264,NaN,0.12498088742772721,0.010618194475421111,0.895237219463399,1,0.9930995935465942,0.47261725070794586,NaN,8.549989756210987,552.4785063692524,0,((((0)+(9))/((5)/(9)))+((0)-((x)*((x)*(5))))),((x)*(1)),AddTreeWithMult|SubXD|FellTreeD|AddXD|DivXD|AddToLeafR|AddRandomSubTreeR|FellTreeD|AddToLeafX|AddTreeWithDiv|DeleteTerminalR|FellTreeD|ReplaceBranchR|AddTreeWithSub|MutateTerminalR,AddToLeafR|AddTreeWithDiv|FellTreeD|DeleteTerminalR|ReplaceBranchXR|ReplaceBranchR|ReplaceBranchR|MutateNonTerminalR|ReplaceBranchR|DeleteNonTerminalR|DivXD|MultXD|AddTreeWithSub|SkipD|MutateNonTerminalR,FellTreeD,ReplaceBranchR,3,2,4,4,1
4,(x),20,-10,-0.0018524644056678655,-0.0028157890339864764,-0.0017246440566786542,0.0003944298476565451,0.008539239886725059,39.35112260530251,0.015937377450509226,0.009292909109757944,-0.4,-0.4939077317639291,0.16281834797617595,0.16137698354477378,9.374055124137112,23.411476845693677,34.72751070837067,11.436488590446695,((0)-((5)*(x))),((((3)-((3)*(1)))+((1)-((1)-(0))))/(((8)/(x))/((x)*((x)-(x))))),AddTreeWithMult|SubXD|FellTreeD|AddXD|DivXD|AddToLeafR|AddRandomSubTreeR|FellTreeD|AddToLeafX|AddTreeWithDiv|DeleteTerminalR|FellTreeD|ReplaceBranchR|AddTreeWithSub|MutateTerminalR,AddToLeafR|AddTreeWithDiv|FellTreeD|DeleteTerminalR|ReplaceBranchXR|ReplaceBranchR|ReplaceBranchR|MutateNonTerminalR|ReplaceBranchR|DeleteNonTerminalR|DivXD|MultXD|AddTreeWithSub|SkipD|MutateNonTerminalR,FellTreeD,ReplaceBranchR,3,3,5,5,1
5,(x),20,-10,-0.0016,-0.001460082763450717,-0.0016,-0.001,0.02315167380558045,0.05422179170130605,0.02315167380558045,0.02315167380558045,-0.7000000000000001,-0.5,0.04830458915396478,0.12148390359107693,13.312212438208757,16.132653574494658,17.363755354185336,11.575836902790225,((0)-((x)-(x))),((0)*((x)-(x))),AddTreeWithMult|SubXD|FellTreeD|AddXD|DivXD|AddToLeafR|AddRandomSubTreeR|FellTreeD|AddToLeafX|AddTreeWithDiv|DeleteTerminalR|FellTreeD|ReplaceBranchR|AddTreeWithSub|MutateTerminalR,AddToLeafR|AddTreeWithDiv|FellTreeD|DeleteTerminalR|ReplaceBranchXR|ReplaceBranchR|ReplaceBranchR|MutateNonTerminalR|ReplaceBranchR|DeleteNonTerminalR|DivXD|MultXD|AddTreeWithSub|SkipD|MutateNonTerminalR,FellTreeD,ReplaceBranchR,5,5,6,6,1
6,(x),20,-10,-0.001291410652242988,-0.0013261430736042248,0.00007443437183290809,0,0.041029227318659774,0.3932964594107224,0.1202331069215131,0.011575836902790225,0.9772349332542614,0,0.6535917014006222,0.28411193043578303,301.7523665350002,21.16648692869785,2542.4561746468707,5.787918451395113,((((x)*(x))-((0)+((x)-(9))))*(((x)*(7))*((x)-((x)-(x))))),(((x)+((0)*(9)))*((x)-(x))),AddTreeWithMult|SubXD|FellTreeD|AddXD|DivXD|AddToLeafR|AddRandomSubTreeR|FellTreeD|AddToLeafX|AddTreeWithDiv|DeleteTerminalR|FellTreeD|ReplaceBranchR|AddTreeWithSub|MutateTerminalR,AddToLeafR|AddTreeWithDiv|FellTreeD|DeleteTerminalR|ReplaceBranchXR|ReplaceBranchR|ReplaceBranchR|MutateNonTerminalR|ReplaceBranchR|DeleteNonTerminalR|DivXD|MultXD|AddTreeWithSub|SkipD|MutateNonTerminalR,FellTreeD,ReplaceBranchR,5,3,7,7,1
7,(x),20,-10,-0.0017311820944777435,-0.0017661063083425443,-0.0008,0,0.015558961154376572,1641.2824762059138,0.06945502141674134,0.011575836902790225,-0.15937123745501636,0,0.3224559195057173,0.4695222895989189,17.83022357198033,4513.324242536114,48.654907255075514,5.787918451395113,((x)*((x)-(x))),((((x)-((7)+(5)))+((1)*((2)*(6))))+(((x)*(0))*((9)+((0)*(x))))),AddTreeWithMult|SubXD|FellTreeD|AddXD|DivXD|AddToLeafR|AddRandomSubTreeR|FellTreeD|AddToLeafX|AddTreeWithDiv|DeleteTerminalR|FellTreeD|ReplaceBranchR|AddTreeWithSub|MutateTerminalR,AddToLeafR|AddTreeWithDiv|FellTreeD|DeleteTerminalR|ReplaceBranchXR|ReplaceBranchR|ReplaceBranchR|MutateNonTerminalR|ReplaceBranchR|DeleteNonTerminalR|DivXD|MultXD|AddTreeWithSub|SkipD|MutateNonTerminalR,FellTreeD,ReplaceBranchR,6,7,8,8,1
8,(x),20,-10,-0.0018,-0.0018618381040207245,-0.0017999999999999997,-0.0014999999999999998,0.011575836902790225,0.477674409418325,0.011575836902790225,0.0463033476111609,-0.8999999999999999,-0.6666666666666666,0,0.08935637441883684,5.787918451395113,93.09637861734276,5.787918451395113,17.363755354185336,(0),(((1)*((1)-(7)))-((4)*(x))),AddTreeWithMult|SubXD|FellTreeD|AddXD|DivXD|AddToLeafR|AddRandomSubTreeR|FellTreeD|AddToLeafX|AddTreeWithDiv|DeleteTerminalR|FellTreeD|ReplaceBranchR|AddTreeWithSub|MutateTerminalR,AddToLeafR|AddTreeWithDiv|FellTreeD|DeleteTerminalR|ReplaceBranchXR|ReplaceBranchR|ReplaceBranchR|MutateNonTerminalR|ReplaceBranchR|DeleteNonTerminalR|DivXD|MultXD|AddTreeWithSub|SkipD|MutateNonTerminalR,FellTreeD,ReplaceBranchR,6,7,9,9,1
9,(x),20,-10,-0.0017237559058735762,-0.0009689003892497391,-0.0015860636720676845,0.001308905259534912,0.015988782894832562,0.1322696761768551,0.023958297101421878,0.004,0.3617452506495534,0.13613157441863988,0.3778585402385559,0.3452509559874125,18.522609319081944,14.991742230392223,90.68351559131351,5,((6)*((8)+(7))),((x)*((1)-(5))),AddTreeWithMult|SubXD|FellTreeD|AddXD|DivXD|AddToLeafR|AddRandomSubTreeR|FellTreeD|AddToLeafX|AddTreeWithDiv|DeleteTerminalR|FellTreeD|ReplaceBranchR|AddTreeWithSub|MutateTerminalR,AddToLeafR|AddTreeWithDiv|FellTreeD|DeleteTerminalR|ReplaceBranchXR|ReplaceBranchR|ReplaceBranchR|MutateNonTerminalR|ReplaceBranchR|DeleteNonTerminalR|DivXD|MultXD|AddTreeWithSub|SkipD|MutateNonTerminalR,FellTreeD,ReplaceBranchR,6,3,10,10,1
