gen,specEquation,range,seed,topAEquation,topPEquation,correlation,covariance,AMean,PMean,AStd,PStd,AVar,PVar,ASkew,PSkew,AExKur,PExKur,topAMean,topPMean,topABest,topPBest,topAMeanDelta,topPMeanDelta,topABestDelta,topPBestDelta,topAStrat,topPStrat,topADomStrat,topPDomStrat,topABirthGen,topPBirthGen,topAAge,topPAge,run
0,(((1)/(1))*((x)*(x))),20,-10,((((x)*((2)*(x)))*((x)*((7)+(x))))-(((2)+(9))+((6)+((9)+(3))))),((6)*(8)),0.23094253391445943,0.008492887694227727,-0.9171375612614995,-0.22514801483897645,0.6305211848784524,0.1682345620613825,0.0175835174760471,0.07691253962275589,3.0242281922847982,-1.7275853082178947,9.30347516197902,3.6259020683613903,-0.5445229729542079,0.03941176689543624,0.791012794134551,0.25739104714971883,1053.214126007323,44.287609886623784,6472.9504941718815,33.4858178935501,AddToLeafX|AddToLeafX|FellTreeD|MutateNonTerminalR|DeleteNonTerminalR|MutateNonTerminalR|MutateNonTerminalR|MutateTerminalR|DeleteTerminalR|AddTreeWithDiv|AddRandomSubTreeR|MutateNonTerminalR|AddTreeWithMult|ReplaceBranchXR|MutateTerminalR,AddTreeWithAdd|DivXD|AddRandomSubTreeR|DivXD|AddToLeafR|FellTreeD|ReplaceBranchR|SubXD|SubXD|ReplaceBranchR|AddTreeWithMult|ReplaceBranchXR|AddToLeafX|AddTreeWithAdd|DeleteTerminalR,MutateNonTerminalR,AddTreeWithAdd,0,0,1,1,0
1,(((1)/(1))*((x)*(x))),20,-10,((((7)*(x))*((6)*(x)))*((9)*((x)*((1)+(x))))),(((x)+((3)*(0)))+((x)*((x)+(0)))),0.0927566200812933,0.0029558998537071394,-0.4914035410645745,-0.2057928793533729,0.8033614605991206,0.4719982392645066,0.07595425964726414,0.013370186547272891,0.32559431184490006,-0.262952216143761,0.592509485178228,-0.6567337326842146,0.04355051400185822,-0.027685026496780406,0.9906936624683106,1,21096.667651335385,64.86613156269527,145359.4212412804,0,AddTreeWithSub|FellTreeD|SubXD|AddXD|ReplaceBranchR|AddRandomSubTreeR|DeleteNonTerminalR|AddToLeafR|MultXD|AddToLeafX|AddRandomSubTreeR|MutateNonTerminalR|AddTreeWithAdd|AddToLeafX|MutateNonTerminalR,AddTreeWithSub|AddXD|MultXD|AddRandomSubTreeR|MutateTerminalR|SubXD|ReplaceBranchR|AddTreeWithMult|MutateTerminalR|DeleteTerminalR|AddTreeWithSub|ReplaceBranchR|AddTreeWithSub|AddRandomSubTreeR|AddRandomSubTreeR,AddRandomSubTreeR,AddRandomSubTreeR,0,0,2,2,0
2,(((1)/(1))*((x)*(x))),20,-10,((((x)*(4))*((x)+((3)*(x))))*(((9)+(0))+((x)*((x)*(x))))),(((x)-(5))*((0)+(8))),-0.06100593186790533,-0.005905242388012832,-0.40081762478366845,-0.41068084637026675,0.707271292102545,0.30496390311949223,0.2605851170886452,0.035956856607004296,0.23787404277120516,0.406287913888839,-1.4648107744030643,-0.9203020574425129,0.3348276219931893,-0.07896934749800881,0.9988023630668927,0.12372090806183028,139286.06483646136,82.13309384347933,1129527.4887462014,39.513288903861195,AddTreeWithSub|FellTreeD|SubXD|AddXD|ReplaceBranchR|AddRandomSubTreeR|DeleteNonTerminalR|AddToLeafR|MultXD|AddToLeafX|AddRandomSubTreeR|MutateNonTerminalR|AddTreeWithAdd|AddToLeafX|MutateNonTerminalR,AddTreeWithSub|AddXD|MultXD|AddRandomSubTreeR|MutateTerminalR|SubXD|ReplaceBranchR|AddTreeWithMult|MutateTerminalR|DeleteTerminalR|AddTreeWithSub|ReplaceBranchR|AddTreeWithSub|AddRandomSubTreeR|AddRandomSubTreeR,AddToLeafX,AddRandomSubTreeR,0,0,3,3,0
3,(((1)/(1))*((x)*(x))),20,-10,(((((6)*(x))+((x)*(1)))+(((8)-(2))-((1)+((5)*(8)))))/(((1)*((5)+(1)))*(((7)*(x))+((2)+((x)-(x)))))),(((2)-((x)-(0)))-((6)+(0))),0.571309076422151,0.024962149263842978,-0.3585875577441227,-0.3575548104869926,0.8731427086413301,0.15324824448600285,0.061574509887549755,0.031004215031420243,0.46997938698386643,-0.24174754835782014,-1.0492893578411473,1.8258376718223657,0.03067637487413092,-0.03538400744298706,0.9635491270682476,0.1402941878121529,9179.29659682723,47.97267982287196,37111.97369717757,38.76596445337069,AddToLeafX|AddToLeafX|FellTreeD|MutateNonTerminalR|DeleteNonTerminalR|MutateNonTerminalR|MutateNonTerminalR|MutateTerminalR|DeleteTerminalR|AddTreeWithDiv|AddRandomSubTreeR|MutateNonTerminalR|AddTreeWithMult|ReplaceBranchXR|MutateTerminalR,AddTreeWithAdd|DivXD|AddRandomSubTreeR|DivXD|AddToLeafR|FellTreeD|ReplaceBranchR|SubXD|SubXD|ReplaceBranchR|AddTreeWithMult|ReplaceBranchXR|AddToLeafX|AddTreeWithAdd|DeleteTerminalR,MutateNonTerminalR,AddTreeWithAdd,2,0,1,4,0
4,(((1)/(1))*((x)*(x))),20,-10,((((x)*((x)*(0)))-(((6)+(x))*((x)*(4))))-(((6)*((x)-(1)))+((5)-((9)-((x)*(x)))))),(((9)-((7)+(4)))*((4)*(2))),-0.28546333005964464,-0.020560973991370846,-0.10797737631641266,-0.32457134812415833,0.5188905431320615,0.35539198727672927,0.12050332490030126,0.04305143994883781,0.07204001673189693,-0.3553085287454168,0.13293133617073227,-0.21788073218985549,0.49930131241485576,-0.009181849367343276,0.9821223325315951,0.330531796716386,13411.855257117117,99.72336655836713,75667.80397236331,30.187745858212068,AddToLeafX|AddToLeafX|FellTreeD|MutateNonTerminalR|DeleteNonTerminalR|MutateNonTerminalR|MutateNonTerminalR|MutateTerminalR|DeleteTerminalR|AddTreeWithDiv|AddRandomSubTreeR|MutateNonTerminalR|AddTreeWithMult|ReplaceBranchXR|MutateTerminalR,AddTreeWithAdd|DivXD|AddRandomSubTreeR|DivXD|AddToLeafR|FellTreeD|ReplaceBranchR|SubXD|SubXD|ReplaceBranchR|AddTreeWithMult|ReplaceBranchXR|AddToLeafX|AddTreeWithAdd|DeleteTerminalR,MutateNonTerminalR,AddTreeWithAdd,2,3,2,1,0
5,(((1)/(1))*((x)*(x))),20,-10,((((x)+((x)+(x)))+((9)*((9)*(5))))*(((5)+(x))*((x)-((7)-((7)*(x)))))),(((2)+((8)*(4)))+((x)-((3)+(3)))),0.713413582305229,0.03171383761258467,-0.3621078996169219,-0.5952495786121119,0.8668107261545787,0.45632725887020165,0.05159128215641426,0.03830350605174721,1.1899687443064932,0.8403018815090045,1.3537023628821938,-0.42312241561099073,0.134386454345363,-0.2595077793103844,0.9956614949431951,0.28248476536294975,38935.679605269244,398.9106381266932,311804.13985240797,32.35428874198906,AddToLeafX|AddToLeafX|FellTreeD|MutateNonTerminalR|DeleteNonTerminalR|MutateNonTerminalR|MutateNonTerminalR|MutateTerminalR|DeleteTerminalR|AddTreeWithDiv|AddRandomSubTreeR|MutateNonTerminalR|AddTreeWithMult|ReplaceBranchXR|MutateTerminalR,DivXD|DeleteNonTerminalR|MultXD|AddRandomSubTreeR|MutateTerminalR|SubXD|ReplaceBranchR|AddRandomSubTreeR|MutateTerminalR|DeleteTerminalR|AddTreeWithSub|ReplaceBranchR|AddTreeWithMult|AddRandomSubTreeR|AddRandomSubTreeR,MutateNonTerminalR,AddRandomSubTreeR,4,4,1,1,0
6,(((1)/(1))*((x)*(x))),20,-10,((((x)*((x)+(4)))-((7)+((5)*(9))))+(((2)*(9))+((9)*((x)*(5))))),(((6)-((7)+(9)))*((6)-(4))),0.5731863133707714,0.023714501109371216,-0.7207788404999296,-0.34866758062508135,0.8154139982593563,0.36622041190505267,0.05336679283775719,0.032074896080198326,1.1253948612225027,0.2916583435570612,0.05196653708877541,-0.8573656764363666,-0.29025228681058024,-0.06784699008431247,0.9797745676344108,0.23713673570822547,9535.962865746673,539.7584613670572,66884.2976026511,34.399127895922014,AddToLeafX|AddToLeafX|FellTreeD|MutateNonTerminalR|DeleteNonTerminalR|MutateNonTerminalR|MutateNonTerminalR|MutateTerminalR|DeleteTerminalR|AddTreeWithDiv|AddRandomSubTreeR|MutateNonTerminalR|AddTreeWithMult|ReplaceBranchXR|MutateTerminalR,AddTreeWithAdd|DivXD|AddRandomSubTreeR|DivXD|AddToLeafR|FellTreeD|ReplaceBranchR|SubXD|SubXD|ReplaceBranchR|AddTreeWithMult|ReplaceBranchXR|AddToLeafX|AddTreeWithAdd|DeleteTerminalR,MutateNonTerminalR,AddTreeWithAdd,5,5,1,1,0
7,(((1)/(1))*((x)*(x))),20,-10,((((x)*((x)-(8)))-((7)*((5)+(5))))+(((4)/(1))*((4)+((7)*((7)+(x)))))),((((7)-((x)*(3)))-(((0)+(4))+((0)*(0))))-(((9)/(4))*((4)*((6)*((x)-(x)))))),-0.4003820130566779,-0.012847053545598851,-0.664851549138136,-0.29447429259581515,0.8082060694623061,0.21193177505689606,0.03376417773977568,0.03049311369585436,-0.654234662906027,-0.01326383199974283,-1.0648315672089392,-0.9259561949035975,-0.44923558867764546,-0.05408893709836611,0.9812863193390704,0.28391530035452833,7926.960602605936,52.141295749779545,72287.42768421075,32.28978287516037,AddToLeafX|AddToLeafX|FellTreeD|MutateNonTerminalR|DeleteNonTerminalR|MutateNonTerminalR|MutateNonTerminalR|MutateTerminalR|DeleteTerminalR|AddTreeWithDiv|AddRandomSubTreeR|MutateNonTerminalR|AddTreeWithMult|ReplaceBranchXR|MutateTerminalR,AddTreeWithAdd|DivXD|AddRandomSubTreeR|DivXD|AddToLeafR|FellTreeD|ReplaceBranchR|SubXD|SubXD|ReplaceBranchR|AddTreeWithMult|ReplaceBranchXR|AddToLeafX|AddTreeWithAdd|DeleteTerminalR,MutateNonTerminalR,AddTreeWithAdd,6,5,1,2,0
8,(((1)/(1))*((x)*(x))),20,-10,((((4)*(8))+((4)*((0)-(x))))+(((x)-(7))*((x)+((x)-(8))))),(((3)-((1)+(x)))*((x)+(2))),-0.04561107352081127,-0.0005467322911667593,-0.8089070745614185,-0.40310077269260464,0.673438074380186,0.4727235930533725,0.011288873709353683,0.01272794374885754,0.7874155110874069,0.13854065933201537,0.3560908271949712,-1.1380917340181567,-0.5939731366012756,-0.24432652556602852,0.6951466013000154,0.4865694994774203,918.2852737540143,199.26668495938975,4437.424162732249,23.15167380558045,AddToLeafX|AddToLeafX|FellTreeD|MutateNonTerminalR|DeleteNonTerminalR|MutateNonTerminalR|MutateNonTerminalR|MutateTerminalR|DeleteTerminalR|AddTreeWithDiv|AddRandomSubTreeR|MutateNonTerminalR|AddTreeWithMult|ReplaceBranchXR|MutateTerminalR,AddTreeWithAdd|DivXD|AddRandomSubTreeR|DivXD|AddToLeafR|FellTreeD|ReplaceBranchR|SubXD|SubXD|ReplaceBranchR|AddTreeWithMult|ReplaceBranchXR|AddToLeafX|AddTreeWithAdd|DeleteTerminalR,MutateNonTerminalR,SubXD,6,6,2,2,0
9,(((1)/(1))*((x)*(x))),20,-10,((((3)+(x))*((x)*((9)*(9))))*(((3)*(9))+((0)+((x)+(x))))),((((x)+(2))*((0)-((3)-(8))))+((2)*((6)+((6)-(x))))),0.5070477885032646,0.008922106541953452,-0.7640963499850524,-0.3862789237456985,0.7722461999362259,0.4240605389036452,0.020471482863427773,0.015124733187164088,0.46607778705344877,-0.22235248037114114,0.386754047789692,0.9996007118554271,-0.4879458787985702,-0.17688727183679223,0.9862821423328605,0.3395923248862587,10378.508225904046,112.96963239295101,98613.34548781924,29.779187362988935,AddToLeafX|AddToLeafX|FellTreeD|MutateNonTerminalR|DeleteNonTerminalR|MutateNonTerminalR|MutateNonTerminalR|MutateTerminalR|DeleteTerminalR|AddTreeWithDiv|AddRandomSubTreeR|MutateNonTerminalR|AddTreeWithMult|ReplaceBranchXR|MutateTerminalR,AddTreeWithAdd|DivXD|AddRandomSubTreeR|DivXD|AddToLeafR|FellTreeD|ReplaceBranchR|SubXD|SubXD|ReplaceBranchR|AddTreeWithMult|ReplaceBranchXR|AddToLeafX|AddTreeWithAdd|DeleteTerminalR,MutateNonTerminalR,AddTreeWithAdd,8,6,1,3,0
