A,P,AFinal,PFinal,AGen,PGen,count,run
AddXD,AddTreeWithMult,AddXD,AddTreeWithMult,0,0,0,1
AddRandomSubTreeR,AddToLeafR,AddRandomSubTreeR,AddToLeafR,0,0,1,1
AddTreeWithSub,SkipD,AddTreeWithSub,SkipD,0,0,2,1
DeleteTerminalR,FellTreeD,DeleteTerminalR,FellTreeD,0,0,3,1
MutateTerminalR,AddTreeWithDiv,MutateTerminalR,AddTreeWithDiv,0,0,4,1
AddToLeafX,AddTreeWithDiv,AddToLeafX,AddTreeWithDiv,0,0,5,1
FellTreeD,AddXD,FellTreeD,AddXD,0,0,6,1
DeleteTerminalR,MutateTerminalR,DeleteTerminalR,MutateTerminalR,0,0,7,1
MutateNonTerminalR,AddRandomSubTreeR,MutateNonTerminalR,AddRandomSubTreeR,0,0,8,1
DeleteTerminalR,SubXD,DeleteTerminalR,SubXD,0,0,9,1
MutateTerminalR,MultXD,MutateTerminalR,MultXD,0,0,10,1
AddTreeWithSub,AddTreeWithDiv,AddTreeWithSub,AddTreeWithDiv,0,0,11,1
AddTreeWithSub,AddTreeWithDiv,AddTreeWithSub,AddTreeWithDiv,0,0,12,1
DivXD,AddTreeWithAdd,DivXD,AddTreeWithAdd,0,0,13,1
MultXD,DeleteNonTerminalR,MultXD,DeleteNonTerminalR,0,0,14,1
