A,P,AEquation,PEquation,AGen,PGen,ARun,PRun,count,run
AddXD,AddTreeWithAdd,((((6)-((5)+(x)))*((3)-((4)*(x))))+(((6)*(x))+((x)*((x)*(x))))),((((0)*(x))+((4)*(x)))/((x)+((x)*(x)))),0,0,1,0,0,0
AddRandomSubTreeR,DivXD,((((6)-((5)+(x)))*((3)-((4)*(x))))+(((6)*(x))+((x)*((x)*(x))))),((((0)*(x))+((4)*(x)))/((x)+((x)*(x)))),0,0,1,0,1,0
AddTreeWithSub,AddRandomSubTreeR,((((6)-((5)+(x)))*((3)-((4)*(x))))+(((6)*(x))+((x)*((x)*(x))))),((((0)*(x))+((4)*(x)))/((x)+((x)*(x)))),0,0,1,0,2,0
DeleteTerminalR,DivXD,((((6)-((5)+(x)))*((3)-((4)*(x))))+(((6)*(x))+((x)*((x)*(x))))),((((0)*(x))+((4)*(x)))/((x)+((x)*(x)))),0,0,1,0,3,0
MutateTerminalR,AddToLeafR,((((6)-((5)+(x)))*((3)-((4)*(x))))+(((6)*(x))+((x)*((x)*(x))))),((((0)*(x))+((4)*(x)))/((x)+((x)*(x)))),0,0,1,0,4,0
AddToLeafX,FellTreeD,((((6)-((5)+(x)))*((3)-((4)*(x))))+(((6)*(x))+((x)*((x)*(x))))),((((0)*(x))+((4)*(x)))/((x)+((x)*(x)))),0,0,1,0,5,0
FellTreeD,ReplaceBranchR,((((6)-((5)+(x)))*((3)-((4)*(x))))+(((6)*(x))+((x)*((x)*(x))))),((((0)*(x))+((4)*(x)))/((x)+((x)*(x)))),0,0,1,0,6,0
DeleteTerminalR,SubXD,((((6)-((5)+(x)))*((3)-((4)*(x))))+(((6)*(x))+((x)*((x)*(x))))),((((0)*(x))+((4)*(x)))/((x)+((x)*(x)))),0,0,1,0,7,0
MutateNonTerminalR,SubXD,((((6)-((5)+(x)))*((3)-((4)*(x))))+(((6)*(x))+((x)*((x)*(x))))),((((0)*(x))+((4)*(x)))/((x)+((x)*(x)))),0,0,1,0,8,0
DeleteTerminalR,ReplaceBranchR,((((6)-((5)+(x)))*((3)-((4)*(x))))+(((6)*(x))+((x)*((x)*(x))))),((((0)*(x))+((4)*(x)))/((x)+((x)*(x)))),0,0,1,0,9,0
MutateTerminalR,AddTreeWithMult,((((6)-((5)+(x)))*((3)-((4)*(x))))+(((6)*(x))+((x)*((x)*(x))))),((((0)*(x))+((4)*(x)))/((x)+((x)*(x)))),0,0,1,0,10,0
AddTreeWithSub,ReplaceBranchXR,((((6)-((5)+(x)))*((3)-((4)*(x))))+(((6)*(x))+((x)*((x)*(x))))),((((0)*(x))+((4)*(x)))/((x)+((x)*(x)))),0,0,1,0,11,0
AddTreeWithSub,AddToLeafX,((((6)-((5)+(x)))*((3)-((4)*(x))))+(((6)*(x))+((x)*((x)*(x))))),((((0)*(x))+((4)*(x)))/((x)+((x)*(x)))),0,0,1,0,12,0
DivXD,AddTreeWithAdd,((((6)-((5)+(x)))*((3)-((4)*(x))))+(((6)*(x))+((x)*((x)*(x))))),((((0)*(x))+((4)*(x)))/((x)+((x)*(x)))),0,0,1,0,13,0
MultXD,DeleteTerminalR,((((6)-((5)+(x)))*((3)-((4)*(x))))+(((6)*(x))+((x)*((x)*(x))))),((((0)*(x))+((4)*(x)))/((x)+((x)*(x)))),0,0,1,0,14,0
