gen,specEquation,range,seed,AGenFitAvg,PGenFitAvg,AGenBestFitAvg,PGenBestFitAvg,AGenDeltaAvg,PGenDeltaAvg,AGenBestDeltaAvg,PGenBestDeltaAvg,topABestFit,topPBestFit,topAStdDev,topPStdDev,topAAvgDelta,topPAvgtDelta,topABestDelta,topPBestDelta,topAEquation,topPEquation,topAStrat,topPStrat,topADomStrat,topPDomStrat,topABirthGen,topPBirthGen,topAAge,topPAge,run
0,(x),20,-10,-0.02,-0.010454641272416633,-0.02,0,0,1.8883333333333334,0,0.1,0.08290535583272202,0,0.3406006617345885,0,122.07759259259258,5,272.6,5,(((5)+((0)/(4)))-((x)*((x)*(8)))),(0),DeleteMaliciousR|SubXD|AddTreeWithDiv|AddToLeafR|MultXD|AddTreeWithMult,AddXD|AddTreeWithSub|SubXD|MultXD|FellTreeD|SkipD,DeleteMaliciousR,AddXD,0,0,1,1,3
1,(x),20,-10,-0.01940133333333333,-0.0018043884220354809,-0.01892,0.02,0.14966666666666667,0.58,0.27,0,0.1935483870967742,0,0.4612100609440519,0,151,5,310,5,(((8)*((8)-(5)))*((2)-((9)*(x)))),(0),DeleteMaliciousR|AddTreeWithSub|AddTreeWithSub|AddToLeafR|MultXD|AddTreeWithMult,AddXD|AddTreeWithSub|SubXD|MultXD|FellTreeD|SkipD,AddTreeWithSub,MultXD,1,0,2,2,3
2,(x),20,-10,-0.017240000000000002,0,-0.009192,0,0.69,0.1,2.702,0.1,0.7757847533632287,0,0.6540074591323681,0,299.5833333333333,5,1115,5,(((0)+((7)*(4)))*((8)*(x))),(0),DeleteMaliciousR|SubXD|DeleteNonTerminalR|AddRandomSubTreeR|MultXD|AddTreeWithMult,MutateNonTerminalR|SubXD|DeleteMaliciousR|AddTreeWithDiv|MutateNonTerminalR|FellTreeD,DeleteNonTerminalR,MutateNonTerminalR,1,1,3,3,3
3,(x),20,-10,-0.012150666666666667,0,-0.006,0,1.9623333333333335,0.1,3.5,0.1,0.8667732480682121,0,0.8369743133781923,0,653.0833333333334,5,1876.5,5,(((0)+((7)*(x)))*((8)*(x))),(0),DeleteMaliciousR|SubXD|DeleteNonTerminalR|AddRandomSubTreeR|MultXD|DeleteMaliciousR,SkipD|SubXD|DeleteMaliciousR|AddTreeWithDiv|FellTreeD|FellTreeD,DeleteMaliciousR,FellTreeD,3,2,4,4,3
4,(x),20,-10,-0.018600000000000002,0,-0.0168,0,0.35,0.1,0.8,0.1,0.5044598612487612,0,0.5380246854219696,0,219.5,5,504.5,5,(((0)+((4)+(8)))*((7)*(6))),(0),DeleteMaliciousR|SubXD|DeleteNonTerminalR|AddRandomSubTreeR|MultXD|AddTreeWithMult,SkipD|SubXD|DeleteTerminalR|AddTreeWithDiv|FellTreeD|FellTreeD,DeleteMaliciousR,FellTreeD,4,3,5,5,3
5,(x),20,-10,-0.012524444444444442,0,0.003333333333333333,0,1.8966666666666665,0.1,6,0.1,0.8607242339832869,0,0.7182841750508789,0,359.25,5,1795,5,(((0)+((8)*(9)))*((5)*(x))),(0),DeleteMaliciousR|SubXD|DeleteNonTerminalR|AddRandomSubTreeR|MultXD|AddTreeWithMult,SkipD|MutateNonTerminalR|DeleteMaliciousR|AddTreeWithDiv|AddTreeWithAdd|FellTreeD,AddTreeWithMult,DeleteMaliciousR,5,4,6,6,3
6,(x),20,-10,-0.01778666666666667,0,-0.014199999999999999,0,0.5533333333333333,0.1,1.45,0.1,0.9008133306883555,0,0.8038538544523733,0,493.75,5,2520.5,5,(((0)+((7)*(9)))*((8)*(5))),(0),DeleteMaliciousR|SubXD|DeleteNonTerminalR|AddRandomSubTreeR|MultXD|AddTreeWithMult,SkipD|SubXD|DeleteTerminalR|AddTreeWithDiv|FellTreeD|FellTreeD,DeleteMaliciousR,FellTreeD,6,5,7,7,3
7,(x),20,-10,-0.015519999999999999,0,-0.008,0,1.12,0.1,3,0.1,0.8607242339832869,0,0.6783339894852757,0,388.48333333333335,5,1795,5,(((0)+((9)*(8)))*((5)*(x))),(0),DeleteMaliciousR|SubXD|DeleteNonTerminalR|AddRandomSubTreeR|MultXD|AddTreeWithMult,SkipD|SubXD|DeleteMaliciousR|MultXD|MutateNonTerminalR|AddTreeWithAdd,MultXD,SkipD,7,6,8,8,3
8,(x),20,-10,-0.010624858757062148,0,0.0030508474576271187,0,2.3666666666666667,0.1,5.9,0.1,0.3055555555555556,0,0.5272854379254375,0,170.75,5,360,5,(((0)+((1)+(9)))*((8)*(x))),(0),DeleteMaliciousR|SubXD|DeleteNonTerminalR|AddRandomSubTreeR|MultXD|AddTreeWithMult,SkipD|ReplaceBranchXR|DeleteMaliciousR|AddTreeWithDiv|FellTreeD|FellTreeD,SubXD,FellTreeD,8,7,9,9,3
9,(x),20,-10,-0.012266666666666669,0,-0.0012,0,1.9333333333333333,0.1,4.7,0.1,0.8011928429423459,0,0.45209297115814473,0,410.1666666666667,5,1257.5,5,(((0)+((5)*(x)))*((x)*(x))),(0),DeleteMaliciousR|SubXD|DeleteNonTerminalR|AddRandomSubTreeR|MultXD|MultXD,SkipD|SubXD|DeleteMaliciousR|MultXD|MutateNonTerminalR|FellTreeD,MultXD,SubXD,9,8,10,10,3
