gen,specEquation,range,seed,topAEquation,topPEquation,correlation,covariance,AMean,PMean,AStd,PStd,AVar,PVar,ASkew,PSkew,AExKur,PExKur,topAMean,topPMean,topABest,topPBest,topAMeanDelta,topPMeanDelta,topABestDelta,topPBestDelta,topAStrat,topPStrat,topADomStrat,topPDomStrat,topABirthGen,topPBirthGen,topAAge,topPAge,run
0,((((x)*(x))*((x)+((2)*(x))))/((3)*((x)*((x)+(5))))),20,-10,(((((1)-(4))*((3)*(x)))*(((x)*(x))-((8)*(9))))-(((x)*((x)*(x)))*(((x)*(3))+((8)+((x)+(x)))))),(0),0.3742449149328535,0.017029483442127617,-0.8928618354072396,-0.24629327632236347,0.8721331763104662,0,0.043851460197212595,0.047217944108767035,3.1145041296482687,-2.032856272118481,9.773858143031088,5.178101627409819,-0.29932982117620377,0,0.9999521693491926,0,40344956.724634916,640.2028758309526,401543486.2528062,640.2028758309526,AddToLeafX|MutateNonTerminalR|MutateNonTerminalR|AddRandomSubTreeR|AddTreeWithAdd|AddToLeafX|AddTreeWithAdd|ReplaceBranchXR|SkipD|MutateNonTerminalR|ReplaceBranchXR|MultXD|MultXD|MutateTerminalR|DivXD,AddTreeWithSub|DivXD|AddToLeafR|ReplaceBranchXR|SkipD|DeleteTerminalR|AddXD|AddTreeWithMult|ReplaceBranchR|AddTreeWithSub|AddRandomSubTreeR|MutateNonTerminalR|AddTreeWithAdd|AddToLeafR|SkipD,MutateNonTerminalR,AddToLeafR,0,0,1,1,0
1,((((x)*(x))*((x)+((2)*(x))))/((3)*((x)*((x)+(5))))),20,-10,(((((x)*(x))*((x)+(1)))+(((2)*(7))+((2)+((2)*(3)))))*(((x)*((4)*(9)))*(((8)+(2))+((5)*((x)/(x)))))),(((6)*((5)*(6)))+((x)+(2))),0.07669185126993545,0.0014254929792153045,-0.8851127335705067,-0.30997572652020605,0.7134542537251362,0.13305279422912358,0.016202846219791667,0.021322612402537897,1.0729261911326327,0.44934118048674015,-0.22011966665877125,-0.5001664909647023,-0.6348199358711566,-0.0412460434630742,0.8986962008094552,0.10975353124939335,1330207.719631467,683.1716437308183,13257776.02317291,569.9383494924887,DeleteTerminalR|AddTreeWithSub|AddToLeafX|AddTreeWithSub|MutateNonTerminalR|ReplaceBranchXR|AddRandomSubTreeR|FellTreeD|AddXD|FellTreeD|AddTreeWithAdd|DeleteTerminalR|AddTreeWithMult|SkipD|AddToLeafX,AddRandomSubTreeR|AddToLeafX|SkipD|AddToLeafR|AddXD|AddRandomSubTreeR|AddTreeWithSub|MutateTerminalR|AddToLeafX|AddTreeWithMult|DeleteTerminalR|AddXD|DeleteNonTerminalR|AddXD|AddToLeafR,AddTreeWithSub,AddXD,0,0,2,2,0
2,((((x)*(x))*((x)+((2)*(x))))/((3)*((x)*((x)+(5))))),20,-10,(((((8)+(7))*((x)*((x)+(x))))*(((x)*(x))-((4)*((x)*(x)))))+((((x)+(9))/((x)*(x)))-(((x)*(x))*((x)/((x)*(x)))))),(((((x)*(x))-((4)*((x)*(1))))*(((4)+((1)+(6)))*((x)+((7)-(9)))))-((((x)-(3))+((3)*(4)))+(((1)*(x))/((x)*((x)+((0)/(2))))))),-0.05166089340258038,-0.0022551590193542314,-0.48486149940177314,-0.27810869531251825,0.861339488570969,0.23377159859779642,0.08023706678104918,0.023749554817577415,-0.007618979101933827,1.1342343673462916,-1.110570674456656,2.651247956322605,-0.018741357681290084,0.07423329641077334,0.899970238098569,0.6900750181673823,58375923.11846717,588.2471623032701,580792113.9559143,149.3273078644471,DeleteTerminalR|AddTreeWithSub|AddToLeafX|AddTreeWithSub|MutateNonTerminalR|ReplaceBranchXR|AddRandomSubTreeR|FellTreeD|AddXD|FellTreeD|AddTreeWithAdd|DeleteTerminalR|AddTreeWithMult|SkipD|AddToLeafX,AddRandomSubTreeR|AddToLeafX|SkipD|AddToLeafR|AddXD|AddRandomSubTreeR|AddTreeWithSub|MutateTerminalR|AddToLeafX|AddTreeWithMult|DeleteTerminalR|AddXD|DeleteNonTerminalR|AddXD|AddToLeafR,AddTreeWithSub,AddXD,1,0,1,3,0
3,((((x)*(x))*((x)+((2)*(x))))/((3)*((x)*((x)+(5))))),20,-10,(((((x)*(x))+((x)*(2)))*(((x)*(x))-((0)*((x)+(3)))))/(((x)*((x)+(7)))-(((x)*(x))*((x)/((x)*(x)))))),(((((5)+(x))-((x)*((x)-(1))))+(((0)/(x))*((2)*((8)-(1)))))*((((2)+(9))-((7)+(x)))*(((9)*(x))/((x)+((x)/(x)))))),-0.05081576981046195,-0.00166815565929302,-0.578918661969387,-0.263012132024376,0.7210758744132362,0.00937024846289284,0.040053102787187905,0.02690543159118646,0.8432595491629759,0.12179844090937977,-0.9797215011974498,-1.291781905252145,-0.2426292611457354,-0.00328893213666109,0.9807199343827739,0.04413549838486478,136025.2927808506,642.3067200806303,996162.9102428254,611.9472028387298,DeleteTerminalR|AddTreeWithSub|AddToLeafX|AddTreeWithSub|MutateNonTerminalR|ReplaceBranchXR|AddRandomSubTreeR|FellTreeD|AddXD|FellTreeD|AddTreeWithAdd|DeleteTerminalR|AddTreeWithMult|SkipD|AddToLeafX,AddRandomSubTreeR|AddToLeafX|SkipD|AddToLeafR|AddXD|AddRandomSubTreeR|AddTreeWithSub|MutateTerminalR|AddToLeafX|AddTreeWithMult|DeleteTerminalR|AddXD|DeleteNonTerminalR|AddXD|AddToLeafR,FellTreeD,AddXD,1,0,2,4,0
4,((((x)*(x))*((x)+((2)*(x))))/((3)*((x)*((x)+(5))))),20,-10,(((((3)*(9))*((x)*(x)))+(((2)*(x))+((3)+(x))))*(((8)/((x)*(x)))-(((x)*(x))*((x)/((x)*(x)))))),(((((x)-(6))*((8)*(2)))+(((1)-(9))-((4)*(x))))+(((5)*((3)/(x)))*(((x)/(x))+((0)/((x)/(x)))))),-0.19203934110372245,-0.0031984033116456163,-0.5449102586325095,-0.16508665686324422,0.8911820974192004,0.07444486756187278,0.030139144404619105,0.009203544555634366,0.37283669431209643,-0.7351795513194088,-1.00789001208329,-0.32023571596012523,-0.24342187898241394,-0.03855462382673561,0.8796416311931641,0.09681281935655602,NaN,670.0512951292652,849060.0505101149,571.3363809760974,DeleteTerminalR|AddTreeWithSub|AddToLeafX|AddTreeWithSub|MutateNonTerminalR|ReplaceBranchXR|AddRandomSubTreeR|FellTreeD|AddXD|FellTreeD|AddTreeWithAdd|DeleteTerminalR|AddTreeWithMult|SkipD|AddToLeafX,AddRandomSubTreeR|AddToLeafX|SkipD|AddToLeafR|AddXD|AddRandomSubTreeR|AddTreeWithSub|MutateTerminalR|AddToLeafX|AddTreeWithMult|DeleteTerminalR|AddXD|DeleteNonTerminalR|AddXD|AddToLeafR,AddToLeafX,AddXD,2,2,2,2,0
5,((((x)*(x))*((x)+((2)*(x))))/((3)*((x)*((x)+(5))))),20,-10,(((((x)*(x))*((x)+(2)))*(((x)-(2))*((3)-((2)*(x)))))*((((x)*(5))/((x)*(x)))-(((x)*(x))*((x)/((x)*(x)))))),(((((x)+(4))*((x)*((x)+(2))))*(((x)/((x)*(x)))+((4)*((x)-(3)))))*((((2)*(7))-((0)/(0)))-(((7)*(x))/((x)+((x)/((x)/(x))))))),0.1589008356224215,0.007133633196409207,-0.3751884729962615,-0.32458336621399875,0.7972650831680618,0.3315535892785483,0.04725801242149172,0.042647515431392544,0.5037306957301635,-0.35997590912314803,0.7335039009926039,-0.6972536285503734,0.04534216932454762,-0.07341108809980014,0.8967450178773814,0.2011697406122344,1191616.4171818113,3833.910181260605,5310467.767954817,497.10349086415346,DeleteTerminalR|AddTreeWithSub|AddToLeafX|AddTreeWithSub|MutateNonTerminalR|ReplaceBranchXR|AddRandomSubTreeR|FellTreeD|AddXD|FellTreeD|AddTreeWithAdd|DeleteTerminalR|AddTreeWithMult|SkipD|AddToLeafX,AddRandomSubTreeR|AddToLeafX|SkipD|AddToLeafR|AddXD|AddRandomSubTreeR|AddTreeWithSub|MutateTerminalR|AddToLeafX|AddTreeWithMult|DeleteTerminalR|AddXD|DeleteNonTerminalR|AddXD|AddToLeafR,AddToLeafX,AddXD,2,2,3,3,0
6,((((x)*(x))*((x)+((2)*(x))))/((3)*((x)*((x)+(5))))),20,-10,(((((x)*(x))+((x)+(x)))+(((2)*(x))*((5)*((4)*(x)))))*((((2)+(9))*((9)/(x)))-(((x)*(x))*((x)/((x)*(x)))))),(((((x)-((9)*(8)))*((2)+((7)+(4))))*(((x)+((5)+(0)))+((3)+((3)/(1)))))*((((5)-(3))-((5)*((5)*(4))))/(((x)*(x))/((x)+((x)/((x)/(x))))))),-0.2503252119017557,-0.010086652116423359,-0.48684634287832623,-0.31101546042141,0.8774121762495466,0.2089444164504705,0.04022454469898032,0.04036395961751577,0.4458782766783708,0.2495224488473735,-0.5439678627893314,-1.6574372203175711,-0.12347313038660386,-0.021576720810034162,0.9961392638532612,0.16731791091442558,8468882.241216082,706.4861875145998,4974721.28240415,533.0854680855102,DeleteTerminalR|AddTreeWithSub|AddToLeafX|AddTreeWithSub|MutateNonTerminalR|ReplaceBranchXR|AddRandomSubTreeR|FellTreeD|AddXD|FellTreeD|AddTreeWithAdd|DeleteTerminalR|AddTreeWithMult|SkipD|AddToLeafX,AddRandomSubTreeR|AddToLeafX|SkipD|AddToLeafR|AddXD|AddRandomSubTreeR|AddTreeWithSub|MutateTerminalR|AddToLeafX|AddTreeWithMult|DeleteTerminalR|AddXD|DeleteNonTerminalR|AddXD|AddToLeafR,DeleteTerminalR,AddXD,2,4,4,2,0
7,((((x)*(x))*((x)+((2)*(x))))/((3)*((x)*((x)+(5))))),20,-10,((((9)*((1)*(8)))*(((8)*(3))*((5)-(7))))*(((x)-((5)/(x)))-((x)*((8)-((0)/(x)))))),(((((5)-(1))*((7)+((2)*(x))))*(((5)+(7))/((4)-((x)+(5)))))-((((7)-(0))*((x)/(9)))*(((x)/(x))/((x)+((x)/((x)/(x))))))),-0.27319851531726386,-0.002529332372982587,-0.9456753037553634,-0.2052016566529841,0.47750957996423954,0.06906470748642146,0.003456554996499141,0.02479771499331296,1.733298312280333,-0.4337396837789719,1.3976441866225366,-0.315317142283738,-0.8277417113689353,0.020006567801345937,0.5305764685788495,0.21628137093233737,NaN,627.4039819368808,46790.4076953071,501.73892017140923,DeleteTerminalR|AddTreeWithSub|AddToLeafX|AddTreeWithSub|MutateNonTerminalR|ReplaceBranchXR|AddRandomSubTreeR|FellTreeD|AddXD|FellTreeD|AddTreeWithAdd|DeleteTerminalR|AddTreeWithMult|SkipD|AddToLeafX,AddRandomSubTreeR|AddToLeafX|SkipD|AddToLeafR|AddXD|AddRandomSubTreeR|AddTreeWithSub|MutateTerminalR|AddToLeafX|AddTreeWithMult|DeleteTerminalR|AddXD|DeleteNonTerminalR|AddXD|AddToLeafR,FellTreeD,AddXD,2,6,5,1,0
8,((((x)*(x))*((x)+((2)*(x))))/((3)*((x)*((x)+(5))))),20,-10,(((((4)-(8))+((6)*(8)))*(((x)*(x))*((5)*((3)*(4)))))*(((5)-((3)+(5)))/(((x)-(x))*((8)-((2)/(x)))))),(((x)+(9))*((3)-(6))),-0.4884501548859635,-0.006171467106747494,-0.8946249014676144,-0.19061407335492966,0.49698992811306436,0.0038169888518277554,0.007373149279453488,0.021651266566323275,0.4005342528673476,-0.05967621170005488,-2.1678283724391973,-1.6760925193793477,-0.7898013567255319,-0.0005878722836720857,0.5860390642475681,0.02014696896617758,5630.522024147962,640.5320062053004,46395.8905688017,627.3047283595288,DeleteTerminalR|AddTreeWithSub|AddToLeafX|AddTreeWithSub|MutateNonTerminalR|ReplaceBranchXR|AddRandomSubTreeR|FellTreeD|AddXD|FellTreeD|AddTreeWithAdd|DeleteTerminalR|AddTreeWithMult|SkipD|AddToLeafX,AddRandomSubTreeR|AddToLeafX|SkipD|AddToLeafR|AddXD|AddRandomSubTreeR|AddTreeWithSub|MutateTerminalR|AddToLeafX|AddTreeWithMult|DeleteTerminalR|AddXD|DeleteNonTerminalR|AddXD|AddToLeafR,AddTreeWithSub,AddXD,2,4,6,4,0
9,((((x)*(x))*((x)+((2)*(x))))/((3)*((x)*((x)+(5))))),20,-10,(((((x)-(1))+((x)*((x)*(x))))+(((2)*(x))*((5)*((9)*(x)))))*((((8)-(8))+((5)*(x)))/(((x)-(x))-((x)*((x)/((8)-(9))))))),(0),NaN,0,-0.7303361889545733,0,0.722299025393875,0,0.01083976260682519,0,-0.4441966313227211,NaN,-1.5858369813844502,NaN,-0.6044074182808898,0,0.8991738024936069,0,2098973.717612465,640.2028758309526,20921725.754048765,640.2028758309526,DeleteTerminalR|AddTreeWithSub|AddToLeafX|AddTreeWithSub|MutateNonTerminalR|ReplaceBranchXR|AddRandomSubTreeR|FellTreeD|AddXD|FellTreeD|AddTreeWithAdd|DeleteTerminalR|AddTreeWithMult|SkipD|AddToLeafX,AddRandomSubTreeR|AddToLeafX|SkipD|AddToLeafR|AddXD|AddRandomSubTreeR|AddTreeWithSub|MutateTerminalR|AddToLeafX|AddTreeWithMult|DeleteTerminalR|AddXD|DeleteNonTerminalR|AddXD|AddToLeafR,AddTreeWithSub,AddXD,2,4,7,5,0
10,((((x)*(x))*((x)+((2)*(x))))/((3)*((x)*((x)+(5))))),20,-10,(((((x)*(x))*((x)+((2)+(5))))-(((5)-(9))*((2)*((3)*(x)))))*((((1)+(5))-((x)*(7)))*(((5)/(x))-((x)-((x)*((x)/(x))))))),(0),NaN,0,-0.8707934448706928,0,0.581455621923384,0,0.0047088897955524745,0,-0.2642307656488893,NaN,-0.8966259251299151,NaN,-0.7824407185643109,0,0.8698330753910597,0,57886.68075271188,640.2028758309526,572994.3596011414,640.2028758309526,DeleteTerminalR|AddTreeWithSub|AddToLeafX|AddTreeWithSub|MutateNonTerminalR|ReplaceBranchXR|AddRandomSubTreeR|FellTreeD|AddXD|FellTreeD|AddTreeWithAdd|DeleteTerminalR|AddTreeWithMult|SkipD|AddToLeafX,AddRandomSubTreeR|AddToLeafX|SkipD|AddToLeafR|AddXD|AddRandomSubTreeR|AddTreeWithSub|MutateTerminalR|AddToLeafX|AddTreeWithMult|DeleteTerminalR|AddXD|DeleteNonTerminalR|AddXD|AddToLeafR,DeleteTerminalR,AddXD,2,2,8,8,0
