gen,specEquation,range,seed,topAEquation,topPEquation,correlation,covariance,AMean,PMean,AStd,PStd,AVar,PVar,ASkew,PSkew,AExKur,PExKur,topAMean,topPMean,topABest,topPBest,topAMeanDelta,topPMeanDelta,topABestDelta,topPBestDelta,topAStrat,topPStrat,topADomStrat,topPDomStrat,topABirthGen,topPBirthGen,topAAge,topPAge,run
0,((((x)*(x))*((x)+((2)*(x))))/((3)*((x)*((x)+(5))))),20,-10,(((((x)*(2))+((2)*(1)))*(((7)+(2))*((3)*((x)*(7)))))+((((7)-(4))+((5)+(x)))*(((x)-(7))-((x)-((x)+(x)))))),(((x)*((6)*(5)))-((0)-(9))),-0.2996183343431418,-0.004755389642780942,-0.9350115913228564,-0.08452004125273793,0.7424487826370251,0.2077105039985142,0.012751602305463254,0.019754711195387676,3.148298970736239,-1.6274977864342488,9.935592622288794,2.969360645816786,-0.6140049005803008,0.060204191353529224,0.9691341330443247,0.565628602139522,67564.65379319177,606.8675539278827,622243.5385505063,278.0858180889889,AddXD|SkipD|AddTreeWithSub|ReplaceBranchR|SubXD|MultXD|AddTreeWithAdd|AddXD|DivXD|MutateTerminalR|MutateTerminalR|MutateNonTerminalR|AddTreeWithAdd|MutateTerminalR|AddXD,AddTreeWithMult|SkipD|AddTreeWithDiv|AddTreeWithAdd|DivXD|AddXD|AddTreeWithMult|AddTreeWithMult|FellTreeD|MutateTerminalR|ReplaceBranchXR|AddToLeafR|ReplaceBranchXR|AddTreeWithSub|AddToLeafR,AddXD,AddTreeWithMult,0,0,1,1,1
1,((((x)*(x))*((x)+((2)*(x))))/((3)*((x)*((x)+(5))))),20,-10,(((((x)*(2))*((x)*((8)-(8))))+(((4)-(3))*((8)*((5)*(8)))))-((((1)+(7))*((5)+(2)))+(((1)*(3))+((6)-((x)+(x)))))),(0),-0.1714213131320055,-0.0033223386919769373,-0.8720982327384096,-0.11572779331388047,0.51883433502473,0,0.010227376169642467,0.03672771781245416,0.29377165878407885,-1.4155032491300643,-2.0817632452127115,0.5352944970046849,-0.7457666072402525,0,0.5974583723932304,0,6585.941146082519,640.2028758309526,47712.05002850142,640.2028758309526,AddXD|SkipD|AddTreeWithSub|ReplaceBranchR|SubXD|MultXD|AddTreeWithAdd|AddXD|DivXD|MutateTerminalR|MutateTerminalR|MutateNonTerminalR|AddTreeWithAdd|MutateTerminalR|AddXD,SubXD|AddTreeWithSub|MutateTerminalR|MutateNonTerminalR|MultXD|SkipD|MutateTerminalR|AddTreeWithDiv|FellTreeD|SubXD|AddToLeafX|AddTreeWithDiv|AddTreeWithAdd|DeleteNonTerminalR|ReplaceBranchXR,AddXD,AddTreeWithDiv,0,0,1,2,1
2,((((x)*(x))*((x)+((2)*(x))))/((3)*((x)*((x)+(5))))),20,-10,(((((8)*(x))*((5)+(3)))*(((5)*(8))+((2)*(x))))+(((2)*((x)/(3)))*(((5)-(7))-((1)*((x)-(x)))))),(((9)*(9))*((x)-(0))),-0.18843252096863605,-0.000381440237187126,-0.933674110023056,0.007396475240438111,0.5746122335486565,0.17460507114948542,0.005620124697066961,0.0007291138349714284,1.8272838062818024,0.18554585012174182,2.2441976278693403,1.6643129439399802,-0.7655475072292077,0.0585752505938848,0.838764084754066,0.555261194414619,12883.160279656933,602.7060305703378,119117.91641231696,284.7230623293839,AddXD|SkipD|AddTreeWithSub|ReplaceBranchR|SubXD|MultXD|AddTreeWithAdd|AddXD|DivXD|MutateTerminalR|MutateTerminalR|MutateNonTerminalR|AddTreeWithAdd|MutateTerminalR|AddXD,AddTreeWithMult|SkipD|AddTreeWithDiv|AddTreeWithAdd|DivXD|AddXD|AddTreeWithMult|AddTreeWithMult|FellTreeD|MutateTerminalR|ReplaceBranchXR|AddToLeafR|ReplaceBranchXR|AddTreeWithSub|AddToLeafR,MutateTerminalR,AddTreeWithMult,1,1,1,1,1
3,((((x)*(x))*((x)+((2)*(x))))/((3)*((x)*((x)+(5))))),20,-10,(((((7)*(8))*((x)*((x)+(4))))-(((3)-(4))*((x)/((4)-(5)))))+((((4)-(5))+((9)*(5)))*(((2)*(7))+((7)-((x)-(x)))))),(((0)+((3)-(8)))*((7)*((0)-(x)))),0.27618219356442153,0.000004659183788205293,-0.9662706928662349,0.000919420116783189,0.028748760075403824,0.08633505498265252,0.0000007782910982915478,0.00036566742353512957,2.860869568071526,-0.3461123903960647,8.657723934674163,0.9101713121293296,-0.9638246117634202,0.033374261580567874,-0.9035014868563293,0.27766117993671385,694.7876275007893,618.845301675139,1853.358768839669,462.4433899288528,AddTreeWithSub|AddTreeWithMult|ReplaceBranchR|ReplaceBranchR|ReplaceBranchR|AddRandomSubTreeR|MultXD|SubXD|FellTreeD|AddTreeWithAdd|AddTreeWithAdd|AddToLeafR|SubXD|AddRandomSubTreeR|AddTreeWithSub,SubXD|AddTreeWithSub|MutateTerminalR|MutateNonTerminalR|MultXD|SkipD|MutateTerminalR|AddTreeWithDiv|FellTreeD|SubXD|AddToLeafX|AddTreeWithDiv|AddTreeWithAdd|DeleteNonTerminalR|ReplaceBranchXR,ReplaceBranchR,SubXD,0,0,4,4,1
4,((((x)*(x))*((x)+((2)*(x))))/((3)*((x)*((x)+(5))))),20,-10,(((7)*((7)*(3)))-((6)*((4)-(x)))),(((x)*((5)+(6)))-((2)*(7))),-0.24274485114925198,-0.00000960126038660397,-0.9664663906063371,-0.01128468253313691,0.0028482706376430126,0.11509246521791865,0.0000005221263088242,0.0029962694428334177,-0.8316983256578101,-0.3948644570436293,0.6732095667600948,0.41888783126205986,-0.9653525287322665,0.08057237388384761,-0.9573909465536985,0.4676719946340729,665.4423223762017,588.6392737784981,818.3531565827121,340.7979199206213,AddXD|SkipD|AddTreeWithSub|ReplaceBranchR|SubXD|MultXD|AddTreeWithAdd|AddXD|DivXD|MutateTerminalR|MutateTerminalR|MutateNonTerminalR|AddTreeWithAdd|MutateTerminalR|AddXD,SubXD|AddTreeWithSub|MutateTerminalR|MutateNonTerminalR|MultXD|SkipD|MutateTerminalR|AddTreeWithDiv|FellTreeD|SubXD|AddToLeafX|AddTreeWithDiv|AddTreeWithAdd|DeleteNonTerminalR|ReplaceBranchXR,AddXD,AddTreeWithDiv,3,0,1,5,1
5,((((x)*(x))*((x)+((2)*(x))))/((3)*((x)*((x)+(5))))),20,-10,(((5)+((6)*(x)))-((8)*((x)-(x)))),(((5)*((x)-(x)))*((4)*(6))),-0.557394554990363,-0.000020511268383014726,-0.965919656059248,0.012783029835171563,0.011821802892562223,0.18778557999923612,0.000001180391737819226,0.0011471849206117011,1.754300223023747,0.6150673070107853,3.0914324286912915,0.4504542626898296,-0.9633456095564874,0.07925664147798935,-0.9301147904689775,0.5914238303661089,703.9873852130182,589.678188210072,1342.2213635942803,261.5716387956122,AddXD|SkipD|AddTreeWithSub|ReplaceBranchR|SubXD|MultXD|AddTreeWithAdd|AddXD|DivXD|MutateTerminalR|MutateTerminalR|MutateNonTerminalR|AddTreeWithAdd|MutateTerminalR|AddXD,SubXD|AddTreeWithSub|MutateTerminalR|MutateNonTerminalR|MultXD|SkipD|MutateTerminalR|AddTreeWithDiv|FellTreeD|SubXD|AddToLeafX|AddTreeWithDiv|AddTreeWithAdd|DeleteNonTerminalR|ReplaceBranchXR,AddXD,MutateTerminalR,3,3,2,2,1
6,((((x)*(x))*((x)+((2)*(x))))/((3)*((x)*((x)+(5))))),20,-10,((((x)*(7))+((4)-(3)))*((5)-((8)+(x)))),(((x)*((9)-(1)))-((5)+(6))),0.03209210439985476,0.00000009611797580936602,-0.9667692343019467,-0.0006008569098423996,0.0020846610071460357,0.026731706583523435,0.00000011835272237278687,0.00007579395815880734,1.2090694645742683,-0.02636473175043554,1.4030837573977806,0.9808871148814777,-0.9660234631552853,0.01595354827187302,-0.9610997000428058,0.07169604823299493,652.5562979628797,630.0050911855946,747.1225170984713,594.3028595664746,AddXD|SkipD|AddTreeWithSub|ReplaceBranchR|SubXD|MultXD|AddTreeWithAdd|AddXD|DivXD|MutateTerminalR|MutateTerminalR|MutateNonTerminalR|AddTreeWithAdd|MutateTerminalR|AddXD,SubXD|AddTreeWithSub|MutateTerminalR|MutateNonTerminalR|MultXD|SkipD|MutateTerminalR|AddTreeWithDiv|FellTreeD|SubXD|AddToLeafX|AddTreeWithDiv|AddTreeWithAdd|DeleteNonTerminalR|ReplaceBranchXR,AddXD,SubXD,3,5,3,1,1
7,((((x)*(x))*((x)+((2)*(x))))/((3)*((x)*((x)+(5))))),20,-10,((((8)*(7))-((3)+(9)))*((9)+((0)+(x)))),(((x)*((6)+(7)))*((8)-((0)+(2)))),0.3330726724554545,0.00002667836089468381,-0.9665895783478081,-0.12361657064183347,0.0056790819689018675,0.023175076997963815,0.0000006722336152065882,0.009543772041369573,1.4678009140018808,-0.3985889979404403,2.0716962602869176,-1.2299027642888731,-0.9647451224918996,0.0001144659301896004,-0.9486838179482846,0.5928355702343413,677.1082190326139,640.0160917364816,985.5830197851873,260.6678388720446,AddXD|SkipD|AddTreeWithSub|ReplaceBranchR|SubXD|MultXD|AddTreeWithAdd|AddXD|DivXD|MutateTerminalR|MutateTerminalR|MutateNonTerminalR|AddTreeWithAdd|MutateTerminalR|AddXD,SubXD|AddTreeWithSub|MutateTerminalR|MutateNonTerminalR|MultXD|SkipD|MutateTerminalR|AddTreeWithDiv|FellTreeD|SubXD|AddToLeafX|AddTreeWithDiv|AddTreeWithAdd|DeleteNonTerminalR|ReplaceBranchXR,AddXD,SubXD,3,5,4,2,1
8,((((x)*(x))*((x)+((2)*(x))))/((3)*((x)*((x)+(5))))),20,-10,(((8)*((4)+(5)))*((8)+((0)-(x)))),(((x)*((3)*(9)))-((9)*(4))),0.370640110208534,0.00007161264534252614,-0.96625394296324,-0.12472810283248462,0.009779460564443353,0.15949697936144674,0.000001246411129545996,0.02995113484696888,2.38034707127078,-1.0981960156947013,6.846302005526133,0.7364362371725477,-0.9632902121623417,0.06306470593927808,-0.9354992286689913,0.5163035069400439,705.0513523443913,599.2771731835826,1238.8073789827952,309.6638858863303,AddXD|SkipD|AddTreeWithSub|ReplaceBranchR|SubXD|MultXD|AddTreeWithAdd|AddXD|DivXD|MutateTerminalR|MutateTerminalR|MutateNonTerminalR|AddTreeWithAdd|MutateTerminalR|AddXD,SubXD|AddTreeWithSub|MutateTerminalR|MutateNonTerminalR|MultXD|SkipD|MutateTerminalR|AddTreeWithDiv|FellTreeD|SubXD|AddToLeafX|AddTreeWithDiv|AddTreeWithAdd|DeleteNonTerminalR|ReplaceBranchXR,AddXD,MutateTerminalR,5,6,3,2,1
9,((((x)*(x))*((x)+((2)*(x))))/((3)*((x)*((x)+(5))))),20,-10,((((6)+(5))*((6)+(7)))-((x)+((9)-(4)))),(((((5)+(x))+((7)-(6)))*(((8)+(9))*((7)-((x)+(7)))))-((((3)+(5))/((2)*(x)))*(((x)-(2))/((7)-((9)+(x)))))),-0.46692131095080947,-0.000009966801987957883,-0.9666235788587748,-0.10903254251417287,0.0018018967664404034,0.03237083400738534,0.00000012127459793891635,0.003757114446366266,-0.6595641836300743,0.09714363856181117,0.7990521886863675,1.4894342360191093,-0.9660950343047933,0.010836995878387035,-0.9610084263555102,0.09125683862940417,651.1816962906339,633.3434160259534,748.8755274113021,581.7799853011669,AddXD|SkipD|AddTreeWithSub|ReplaceBranchR|SubXD|MultXD|AddTreeWithAdd|AddXD|DivXD|MutateTerminalR|MutateTerminalR|MutateNonTerminalR|AddTreeWithAdd|MutateTerminalR|AddXD,SubXD|AddTreeWithSub|MutateTerminalR|MutateNonTerminalR|MultXD|SkipD|MutateTerminalR|AddTreeWithDiv|FellTreeD|SubXD|AddToLeafX|AddTreeWithDiv|AddTreeWithAdd|DeleteNonTerminalR|ReplaceBranchXR,AddXD,AddTreeWithDiv,5,8,4,1,1
