A,P,AFinal,PFinal,AGen,PGen,count,run
DeleteTerminalR,AddRandomSubTreeR,DeleteTerminalR,AddRandomSubTreeR,0,0,0,0
AddTreeWithSub,AddToLeafX,AddTreeWithSub,AddToLeafX,0,0,1,0
AddToLeafX,SkipD,AddToLeafX,SkipD,0,0,2,0
AddTreeWithSub,AddToLeafR,AddTreeWithSub,AddToLeafR,0,0,3,0
MutateNonTerminalR,AddXD,MutateNonTerminalR,AddXD,0,0,4,0
ReplaceBranchXR,AddRandomSubTreeR,ReplaceBranchXR,AddRandomSubTreeR,0,0,5,0
AddRandomSubTreeR,AddTreeWithSub,AddRandomSubTreeR,AddTreeWithSub,0,0,6,0
FellTreeD,MutateTerminalR,FellTreeD,MutateTerminalR,0,0,7,0
AddXD,AddToLeafX,AddXD,AddToLeafX,0,0,8,0
FellTreeD,AddTreeWithMult,FellTreeD,AddTreeWithMult,0,0,9,0
AddTreeWithAdd,DeleteTerminalR,AddTreeWithAdd,DeleteTerminalR,0,0,10,0
DeleteTerminalR,AddXD,DeleteTerminalR,AddXD,0,0,11,0
AddTreeWithMult,DeleteNonTerminalR,AddTreeWithMult,DeleteNonTerminalR,0,0,12,0
SkipD,AddXD,SkipD,AddXD,0,0,13,0
AddToLeafX,AddToLeafR,AddToLeafX,AddToLeafR,0,0,14,0
