A,P,AEquation,PEquation,AGen,PGen,ARun,PRun,count,run
AddXD,AddRandomSubTreeR,((((4)-((x)-(2)))*(((7)+(6))+((4)*(x))))*(((x)*(3))+((x)/((1)*((x)+(x)))))),((9)*((9)*(x))),0,0,1,0,0,0
SkipD,AddToLeafX,((((4)-((x)-(2)))*(((7)+(6))+((4)*(x))))*(((x)*(3))+((x)/((1)*((x)+(x)))))),((9)*((9)*(x))),0,0,1,0,1,0
AddTreeWithSub,SkipD,((((4)-((x)-(2)))*(((7)+(6))+((4)*(x))))*(((x)*(3))+((x)/((1)*((x)+(x)))))),((9)*((9)*(x))),0,0,1,0,2,0
ReplaceBranchR,AddToLeafR,((((4)-((x)-(2)))*(((7)+(6))+((4)*(x))))*(((x)*(3))+((x)/((1)*((x)+(x)))))),((9)*((9)*(x))),0,0,1,0,3,0
SubXD,AddXD,((((4)-((x)-(2)))*(((7)+(6))+((4)*(x))))*(((x)*(3))+((x)/((1)*((x)+(x)))))),((9)*((9)*(x))),0,0,1,0,4,0
MultXD,AddRandomSubTreeR,((((4)-((x)-(2)))*(((7)+(6))+((4)*(x))))*(((x)*(3))+((x)/((1)*((x)+(x)))))),((9)*((9)*(x))),0,0,1,0,5,0
AddTreeWithAdd,AddTreeWithSub,((((4)-((x)-(2)))*(((7)+(6))+((4)*(x))))*(((x)*(3))+((x)/((1)*((x)+(x)))))),((9)*((9)*(x))),0,0,1,0,6,0
AddXD,MutateTerminalR,((((4)-((x)-(2)))*(((7)+(6))+((4)*(x))))*(((x)*(3))+((x)/((1)*((x)+(x)))))),((9)*((9)*(x))),0,0,1,0,7,0
DivXD,AddToLeafX,((((4)-((x)-(2)))*(((7)+(6))+((4)*(x))))*(((x)*(3))+((x)/((1)*((x)+(x)))))),((9)*((9)*(x))),0,0,1,0,8,0
MutateTerminalR,AddTreeWithMult,((((4)-((x)-(2)))*(((7)+(6))+((4)*(x))))*(((x)*(3))+((x)/((1)*((x)+(x)))))),((9)*((9)*(x))),0,0,1,0,9,0
MutateTerminalR,DeleteTerminalR,((((4)-((x)-(2)))*(((7)+(6))+((4)*(x))))*(((x)*(3))+((x)/((1)*((x)+(x)))))),((9)*((9)*(x))),0,0,1,0,10,0
MutateNonTerminalR,AddXD,((((4)-((x)-(2)))*(((7)+(6))+((4)*(x))))*(((x)*(3))+((x)/((1)*((x)+(x)))))),((9)*((9)*(x))),0,0,1,0,11,0
AddTreeWithAdd,DeleteNonTerminalR,((((4)-((x)-(2)))*(((7)+(6))+((4)*(x))))*(((x)*(3))+((x)/((1)*((x)+(x)))))),((9)*((9)*(x))),0,0,1,0,12,0
MutateTerminalR,AddXD,((((4)-((x)-(2)))*(((7)+(6))+((4)*(x))))*(((x)*(3))+((x)/((1)*((x)+(x)))))),((9)*((9)*(x))),0,0,1,0,13,0
AddXD,AddToLeafR,((((4)-((x)-(2)))*(((7)+(6))+((4)*(x))))*(((x)*(3))+((x)/((1)*((x)+(x)))))),((9)*((9)*(x))),0,0,1,0,14,0
