specEquation,range,seed,AID,PID,A,P,ADelta,PDelta,AStdDev,PStdDev,AAvgDelta,PAvgDelta,ABestDelta,PBestDelta,AEquation,PEquation,AStrat,PStrat,ADomStrat,PDomStrat,AGen,PGen,finA,finP,finAStdDev,finPStdDev,finADelta,finPDelta,finABestDelta,finPBestDelta,finAEquation,finPEquation,finAStrat,finPStrat,finADomStrat,finPDomStrat,epoch,run
((((x)*(x))*((x)+((2)*(x))))/((3)*((x)*((x)+(5))))),20,-10,ANTAGONIST-MXfb,PROTAGONIST-54c1c1**c1c1c1c1c1c1c1c1c1c1c1c1c1c1c1c1c1c1,-0.8413404436887124,0.4911755753905238,1625.1888676567885,290.81174704991236,0.8324603188555162,0.2643363358186151,11619186.400588073,555.910653837122,453413242.8951607,122.4014115750123,(((((x)*(7))-((1)-((3)*(0))))+(((2)*(5))*((9)+((1)*(x)))))*((((x)*(2))+((x)-(x)))*(((1)+(7))+((x)*((x)*(x)))))),((((x)*(2))*((x)+(x)))*((x)/((x)*(x)))),MutateTerminalR|AddTreeWithSub|AddXD|AddTreeWithMult|AddXD|DeleteNonTerminalR|SubXD|AddTreeWithMult|ReplaceBranchR|MutateNonTerminalR|DeleteNonTerminalR|AddTreeWithSub|DivXD|SkipD|DeleteTerminalR|DeleteNonTerminalR,AddTreeWithMult|DivXD|AddToLeafR|SkipD|SkipD|DeleteNonTerminalR|AddRandomSubTreeR|AddToLeafR|FellTreeD|SubXD|ReplaceBranchXR|AddToLeafX|ReplaceBranchXR|SubXD|AddTreeWithDiv|DeleteTerminalR,DeleteNonTerminalR,SubXD,0,0,-0.9374999999999999,0,0.29509486921017214,0.17576189737444536,640.2028758309526,640.2028758309526,1431946.4694683673,516.3445770241246,(((((x)*(2))*((x)*(0)))+(((7)+(8))*((0)*(3))))*(((1)*((7)*(6)))*((6)*((3)+((x)-(x)))))),(((x)-(0))*((8)*(3))),MutateNonTerminalR|AddRandomSubTreeR|AddToLeafX|MultXD|AddToLeafX|DivXD|AddTreeWithMult|AddTreeWithMult|DivXD|MutateTerminalR|FellTreeD|DivXD|AddRandomSubTreeR|SkipD|AddToLeafR|ReplaceBranchXR,AddTreeWithMult|DivXD|AddToLeafR|SkipD|SkipD|DeleteNonTerminalR|AddRandomSubTreeR|AddToLeafR|FellTreeD|SubXD|ReplaceBranchXR|AddToLeafX|ReplaceBranchXR|SubXD|AddTreeWithDiv|DeleteTerminalR,DivXD,SkipD,0,3
((((x)*(x))*((x)+((2)*(x))))/((3)*((x)*((x)+(5))))),20,-10,ANTAGONIST-MXfb,PROTAGONIST-54c1c1**c1c1c1c1c1c1c1c1c1c1c1c1c1c1c1c1c1c1,0.7133382951437877,-0.21824274392725204,35732.872022208845,818.9279611513798,0.8324603188555162,0.2643363358186151,11619186.400588073,555.910653837122,453413242.8951607,122.4014115750123,(((((x)*(7))-((1)-((3)*(0))))+(((2)*(5))*((9)+((1)*(x)))))*((((x)*(2))+((x)-(x)))*(((1)+(7))+((x)*((x)*(x)))))),((((x)*(2))*((x)+(x)))*((x)/((x)*(x)))),MutateTerminalR|AddTreeWithSub|AddXD|AddTreeWithMult|AddXD|DeleteNonTerminalR|SubXD|AddTreeWithMult|ReplaceBranchR|MutateNonTerminalR|DeleteNonTerminalR|AddTreeWithSub|DivXD|SkipD|DeleteTerminalR|DeleteNonTerminalR,AddTreeWithMult|DivXD|AddToLeafR|SkipD|SkipD|DeleteNonTerminalR|AddRandomSubTreeR|AddToLeafR|FellTreeD|SubXD|ReplaceBranchXR|AddToLeafX|ReplaceBranchXR|SubXD|AddTreeWithDiv|DeleteTerminalR,DeleteNonTerminalR,AddToLeafR,0,0,-0.935593187978869,0,0.29509486921017214,0.17576189737444536,659.7348204645056,640.2028758309526,1431946.4694683673,516.3445770241246,(((((x)*(2))*((x)*(0)))+(((7)+(8))*((0)*(3))))*(((1)*((7)*(6)))*((6)*((3)+((x)-(x)))))),(((x)-(0))*((8)*(3))),MutateNonTerminalR|AddRandomSubTreeR|AddToLeafX|MultXD|AddToLeafX|DivXD|AddTreeWithMult|AddTreeWithMult|DivXD|MutateTerminalR|FellTreeD|DivXD|AddRandomSubTreeR|SkipD|AddToLeafR|ReplaceBranchXR,AddTreeWithMult|DivXD|AddToLeafR|SkipD|SkipD|DeleteNonTerminalR|AddRandomSubTreeR|AddToLeafR|FellTreeD|SubXD|ReplaceBranchXR|AddToLeafX|ReplaceBranchXR|SubXD|AddTreeWithDiv|DeleteTerminalR,DivXD,SubXD,1,3
((((x)*(x))*((x)+((2)*(x))))/((3)*((x)*((x)+(5))))),20,-10,ANTAGONIST-MXfb,PROTAGONIST-54c1c1**c1c1c1c1c1c1c1c1c1c1c1c1c1c1c1c1c1c1,-0.8098844725442386,-0.05220124973064435,1947.4001186767507,675.4628824410381,0.8324603188555162,0.2643363358186151,11619186.400588073,555.910653837122,453413242.8951607,122.4014115750123,(((((x)*(7))-((1)-((3)*(0))))+(((2)*(5))*((9)+((1)*(x)))))*((((x)*(2))+((x)-(x)))*(((1)+(7))+((x)*((x)*(x)))))),((((x)*(2))*((x)+(x)))*((x)/((x)*(x)))),MutateTerminalR|AddTreeWithSub|AddXD|AddTreeWithMult|AddXD|DeleteNonTerminalR|SubXD|AddTreeWithMult|ReplaceBranchR|MutateNonTerminalR|DeleteNonTerminalR|AddTreeWithSub|DivXD|SkipD|DeleteTerminalR|DeleteNonTerminalR,AddTreeWithMult|DivXD|AddToLeafR|SkipD|SkipD|DeleteNonTerminalR|AddRandomSubTreeR|AddToLeafR|FellTreeD|SubXD|ReplaceBranchXR|AddToLeafX|ReplaceBranchXR|SubXD|AddTreeWithDiv|DeleteTerminalR,DeleteNonTerminalR,AddToLeafR,0,0,-0.937373052926252,0,0.29509486921017214,0.17576189737444536,641.5032259380218,640.2028758309526,1431946.4694683673,516.3445770241246,(((((x)*(2))*((x)*(0)))+(((7)+(8))*((0)*(3))))*(((1)*((7)*(6)))*((6)*((3)+((x)-(x)))))),(((x)-(0))*((8)*(3))),MutateNonTerminalR|AddRandomSubTreeR|AddToLeafX|MultXD|AddToLeafX|DivXD|AddTreeWithMult|AddTreeWithMult|DivXD|MutateTerminalR|FellTreeD|DivXD|AddRandomSubTreeR|SkipD|AddToLeafR|ReplaceBranchXR,AddTreeWithMult|DivXD|AddToLeafR|SkipD|SkipD|DeleteNonTerminalR|AddRandomSubTreeR|AddToLeafR|FellTreeD|SubXD|ReplaceBranchXR|AddToLeafX|ReplaceBranchXR|SubXD|AddTreeWithDiv|DeleteTerminalR,DivXD,ReplaceBranchXR,2,3
((((x)*(x))*((x)+((2)*(x))))/((3)*((x)*((x)+(5))))),20,-10,ANTAGONIST-MXfb,PROTAGONIST-54c1c1**c1c1c1c1c1c1c1c1c1c1c1c1c1c1c1c1c1c1,-1,0.44950164803156084,0,320.45593387477714,0.8324603188555162,0.2643363358186151,11619186.400588073,555.910653837122,453413242.8951607,122.4014115750123,(((((x)*(7))-((1)-((3)*(0))))+(((2)*(5))*((9)+((1)*(x)))))*((((x)*(2))+((x)-(x)))*(((1)+(7))+((x)*((x)*(x)))))),((((x)*(2))*((x)+(x)))*((x)/((x)*(x)))),MutateTerminalR|AddTreeWithSub|AddXD|AddTreeWithMult|AddXD|DeleteNonTerminalR|SubXD|AddTreeWithMult|ReplaceBranchR|MutateNonTerminalR|DeleteNonTerminalR|AddTreeWithSub|DivXD|SkipD|DeleteTerminalR|DeleteNonTerminalR,AddTreeWithMult|DivXD|AddToLeafR|SkipD|SkipD|DeleteNonTerminalR|AddRandomSubTreeR|AddToLeafR|FellTreeD|SubXD|ReplaceBranchXR|AddToLeafX|ReplaceBranchXR|SubXD|AddTreeWithDiv|DeleteTerminalR,DeleteNonTerminalR,ReplaceBranchXR,0,0,-0.9369905950543364,-0.00013711013863245512,0.29509486921017214,0.17576189737444536,645.4208360097741,640.2906661729567,1431946.4694683673,516.3445770241246,(((((x)*(2))*((x)*(0)))+(((7)+(8))*((0)*(3))))*(((1)*((7)*(6)))*((6)*((3)+((x)-(x)))))),(((x)-(0))*((8)*(3))),MutateNonTerminalR|AddRandomSubTreeR|AddToLeafX|MultXD|AddToLeafX|DivXD|AddTreeWithMult|AddTreeWithMult|DivXD|MutateTerminalR|FellTreeD|DivXD|AddRandomSubTreeR|SkipD|AddToLeafR|ReplaceBranchXR,AddTreeWithMult|DivXD|AddToLeafR|SkipD|SkipD|DeleteNonTerminalR|AddRandomSubTreeR|AddToLeafR|FellTreeD|SubXD|ReplaceBranchXR|AddToLeafX|ReplaceBranchXR|SubXD|AddTreeWithDiv|DeleteTerminalR,DivXD,SkipD,3,3
((((x)*(x))*((x)+((2)*(x))))/((3)*((x)*((x)+(5))))),20,-10,ANTAGONIST-MXfb,PROTAGONIST-54c1c1**c1c1c1c1c1c1c1c1c1c1c1c1c1c1c1c1c1c1,-0.9874148946460442,0.5525104707750865,128.91233024380907,247.181995478815,0.8324603188555162,0.2643363358186151,11619186.400588073,555.910653837122,453413242.8951607,122.4014115750123,(((((x)*(7))-((1)-((3)*(0))))+(((2)*(5))*((9)+((1)*(x)))))*((((x)*(2))+((x)-(x)))*(((1)+(7))+((x)*((x)*(x)))))),((((x)*(2))*((x)+(x)))*((x)/((x)*(x)))),MutateTerminalR|AddTreeWithSub|AddXD|AddTreeWithMult|AddXD|DeleteNonTerminalR|SubXD|AddTreeWithMult|ReplaceBranchR|MutateNonTerminalR|DeleteNonTerminalR|AddTreeWithSub|DivXD|SkipD|DeleteTerminalR|DeleteNonTerminalR,AddTreeWithMult|DivXD|AddToLeafR|SkipD|SkipD|DeleteNonTerminalR|AddRandomSubTreeR|AddToLeafR|FellTreeD|SubXD|ReplaceBranchXR|AddToLeafX|ReplaceBranchXR|SubXD|AddTreeWithDiv|DeleteTerminalR,DeleteNonTerminalR,SkipD,0,0,-0.9374999999999999,0,0.29509486921017214,0.17576189737444536,640.2028758309526,640.2028758309526,1431946.4694683673,516.3445770241246,(((((x)*(2))*((x)*(0)))+(((7)+(8))*((0)*(3))))*(((1)*((7)*(6)))*((6)*((3)+((x)-(x)))))),(((x)-(0))*((8)*(3))),MutateNonTerminalR|AddRandomSubTreeR|AddToLeafX|MultXD|AddToLeafX|DivXD|AddTreeWithMult|AddTreeWithMult|DivXD|MutateTerminalR|FellTreeD|DivXD|AddRandomSubTreeR|SkipD|AddToLeafR|ReplaceBranchXR,AddTreeWithMult|DivXD|AddToLeafR|SkipD|SkipD|DeleteNonTerminalR|AddRandomSubTreeR|AddToLeafR|FellTreeD|SubXD|ReplaceBranchXR|AddToLeafX|ReplaceBranchXR|SubXD|AddTreeWithDiv|DeleteTerminalR,DivXD,ReplaceBranchXR,4,3
((((x)*(x))*((x)+((2)*(x))))/((3)*((x)*((x)+(5))))),20,-10,ANTAGONIST-MXfb,PROTAGONIST-54c1c1**c1c1c1c1c1c1c1c1c1c1c1c1c1c1c1c1c1c1,0.7577856331677681,-0.07319426403111329,42290.00181640816,690.7627466954353,0.8324603188555162,0.2643363358186151,11619186.400588073,555.910653837122,453413242.8951607,122.4014115750123,(((((x)*(7))-((1)-((3)*(0))))+(((2)*(5))*((9)+((1)*(x)))))*((((x)*(2))+((x)-(x)))*(((1)+(7))+((x)*((x)*(x)))))),((((x)*(2))*((x)+(x)))*((x)/((x)*(x)))),MutateTerminalR|AddTreeWithSub|AddXD|AddTreeWithMult|AddXD|DeleteNonTerminalR|SubXD|AddTreeWithMult|ReplaceBranchR|MutateNonTerminalR|DeleteNonTerminalR|AddTreeWithSub|DivXD|SkipD|DeleteTerminalR|DeleteNonTerminalR,AddTreeWithMult|DivXD|AddToLeafR|SkipD|SkipD|DeleteNonTerminalR|AddRandomSubTreeR|AddToLeafR|FellTreeD|SubXD|ReplaceBranchXR|AddToLeafX|ReplaceBranchXR|SubXD|AddTreeWithDiv|DeleteTerminalR,DeleteNonTerminalR,SubXD,0,0,-0.9375689640697803,0,0.29509486921017214,0.17576189737444536,639.4964598981155,640.2028758309526,1431946.4694683673,516.3445770241246,(((((x)*(2))*((x)*(0)))+(((7)+(8))*((0)*(3))))*(((1)*((7)*(6)))*((6)*((3)+((x)-(x)))))),(((x)-(0))*((8)*(3))),MutateNonTerminalR|AddRandomSubTreeR|AddToLeafX|MultXD|AddToLeafX|DivXD|AddTreeWithMult|AddTreeWithMult|DivXD|MutateTerminalR|FellTreeD|DivXD|AddRandomSubTreeR|SkipD|AddToLeafR|ReplaceBranchXR,AddTreeWithMult|DivXD|AddToLeafR|SkipD|SkipD|DeleteNonTerminalR|AddRandomSubTreeR|AddToLeafR|FellTreeD|SubXD|ReplaceBranchXR|AddToLeafX|ReplaceBranchXR|SubXD|AddTreeWithDiv|DeleteTerminalR,DivXD,SkipD,5,3
((((x)*(x))*((x)+((2)*(x))))/((3)*((x)*((x)+(5))))),20,-10,ANTAGONIST-MXfb,PROTAGONIST-54c1c1**c1c1c1c1c1c1c1c1c1c1c1c1c1c1c1c1c1c1,-1,0.4115819261984208,0,347.4296171728727,0.8324603188555162,0.2643363358186151,11619186.400588073,555.910653837122,453413242.8951607,122.4014115750123,(((((x)*(7))-((1)-((3)*(0))))+(((2)*(5))*((9)+((1)*(x)))))*((((x)*(2))+((x)-(x)))*(((1)+(7))+((x)*((x)*(x)))))),((((x)*(2))*((x)+(x)))*((x)/((x)*(x)))),MutateTerminalR|AddTreeWithSub|AddXD|AddTreeWithMult|AddXD|DeleteNonTerminalR|SubXD|AddTreeWithMult|ReplaceBranchR|MutateNonTerminalR|DeleteNonTerminalR|AddTreeWithSub|DivXD|SkipD|DeleteTerminalR|DeleteNonTerminalR,AddTreeWithMult|DivXD|AddToLeafR|SkipD|SkipD|DeleteNonTerminalR|AddRandomSubTreeR|AddToLeafR|FellTreeD|SubXD|ReplaceBranchXR|AddToLeafX|ReplaceBranchXR|SubXD|AddTreeWithDiv|DeleteTerminalR,DeleteNonTerminalR,SkipD,0,0,-0.9380159615292172,0,0.29509486921017214,0.17576189737444536,634.9177549537858,640.2028758309526,1431946.4694683673,516.3445770241246,(((((x)*(2))*((x)*(0)))+(((7)+(8))*((0)*(3))))*(((1)*((7)*(6)))*((6)*((3)+((x)-(x)))))),(((x)-(0))*((8)*(3))),MutateNonTerminalR|AddRandomSubTreeR|AddToLeafX|MultXD|AddToLeafX|DivXD|AddTreeWithMult|AddTreeWithMult|DivXD|MutateTerminalR|FellTreeD|DivXD|AddRandomSubTreeR|SkipD|AddToLeafR|ReplaceBranchXR,AddTreeWithMult|DivXD|AddToLeafR|SkipD|SkipD|DeleteNonTerminalR|AddRandomSubTreeR|AddToLeafR|FellTreeD|SubXD|ReplaceBranchXR|AddToLeafX|ReplaceBranchXR|SubXD|AddTreeWithDiv|DeleteTerminalR,DivXD,AddToLeafR,6,3
((((x)*(x))*((x)+((2)*(x))))/((3)*((x)*((x)+(5))))),20,-10,ANTAGONIST-MXfb,PROTAGONIST-54c1c1**c1c1c1c1c1c1c1c1c1c1c1c1c1c1c1c1c1c1,-1,0,0,640.2028758309526,0.8324603188555162,0.2643363358186151,11619186.400588073,555.910653837122,453413242.8951607,122.4014115750123,(((((x)*(7))-((1)-((3)*(0))))+(((2)*(5))*((9)+((1)*(x)))))*((((x)*(2))+((x)-(x)))*(((1)+(7))+((x)*((x)*(x)))))),((((x)*(2))*((x)+(x)))*((x)/((x)*(x)))),MutateTerminalR|AddTreeWithSub|AddXD|AddTreeWithMult|AddXD|DeleteNonTerminalR|SubXD|AddTreeWithMult|ReplaceBranchR|MutateNonTerminalR|DeleteNonTerminalR|AddTreeWithSub|DivXD|SkipD|DeleteTerminalR|DeleteNonTerminalR,AddTreeWithMult|DivXD|AddToLeafR|SkipD|SkipD|DeleteNonTerminalR|AddRandomSubTreeR|AddToLeafR|FellTreeD|SubXD|ReplaceBranchXR|AddToLeafX|ReplaceBranchXR|SubXD|AddTreeWithDiv|DeleteTerminalR,DeleteNonTerminalR,AddToLeafR,0,0,-1,-0.00019228675539509452,0.29509486921017214,0.17576189737444536,0,640.3260020402801,1431946.4694683673,516.3445770241246,(((((x)*(2))*((x)*(0)))+(((7)+(8))*((0)*(3))))*(((1)*((7)*(6)))*((6)*((3)+((x)-(x)))))),(((x)-(0))*((8)*(3))),MutateNonTerminalR|AddRandomSubTreeR|AddToLeafX|MultXD|AddToLeafX|DivXD|AddTreeWithMult|AddTreeWithMult|DivXD|MutateTerminalR|FellTreeD|DivXD|AddRandomSubTreeR|SkipD|AddToLeafR|ReplaceBranchXR,AddTreeWithMult|DivXD|AddToLeafR|SkipD|SkipD|DeleteNonTerminalR|AddRandomSubTreeR|AddToLeafR|FellTreeD|SubXD|ReplaceBranchXR|AddToLeafX|ReplaceBranchXR|SubXD|AddTreeWithDiv|DeleteTerminalR,DivXD,AddToLeafR,7,3
((((x)*(x))*((x)+((2)*(x))))/((3)*((x)*((x)+(5))))),20,-10,ANTAGONIST-MXfb,PROTAGONIST-54c1c1**c1c1c1c1c1c1c1c1c1c1c1c1c1c1c1c1c1c1,-0.8094230995886177,0.25677625450139635,1952.1260753650574,457.5485463010698,0.8324603188555162,0.2643363358186151,11619186.400588073,555.910653837122,453413242.8951607,122.4014115750123,(((((x)*(7))-((1)-((3)*(0))))+(((2)*(5))*((9)+((1)*(x)))))*((((x)*(2))+((x)-(x)))*(((1)+(7))+((x)*((x)*(x)))))),((((x)*(2))*((x)+(x)))*((x)/((x)*(x)))),MutateTerminalR|AddTreeWithSub|AddXD|AddTreeWithMult|AddXD|DeleteNonTerminalR|SubXD|AddTreeWithMult|ReplaceBranchR|MutateNonTerminalR|DeleteNonTerminalR|AddTreeWithSub|DivXD|SkipD|DeleteTerminalR|DeleteNonTerminalR,AddTreeWithMult|DivXD|AddToLeafR|SkipD|SkipD|DeleteNonTerminalR|AddRandomSubTreeR|AddToLeafR|FellTreeD|SubXD|ReplaceBranchXR|AddToLeafX|ReplaceBranchXR|SubXD|AddTreeWithDiv|DeleteTerminalR,DeleteNonTerminalR,SubXD,0,0,-0.9374999999999999,0,0.29509486921017214,0.17576189737444536,640.2028758309526,640.2028758309526,1431946.4694683673,516.3445770241246,(((((x)*(2))*((x)*(0)))+(((7)+(8))*((0)*(3))))*(((1)*((7)*(6)))*((6)*((3)+((x)-(x)))))),(((x)-(0))*((8)*(3))),MutateNonTerminalR|AddRandomSubTreeR|AddToLeafX|MultXD|AddToLeafX|DivXD|AddTreeWithMult|AddTreeWithMult|DivXD|MutateTerminalR|FellTreeD|DivXD|AddRandomSubTreeR|SkipD|AddToLeafR|ReplaceBranchXR,AddTreeWithMult|DivXD|AddToLeafR|SkipD|SkipD|DeleteNonTerminalR|AddRandomSubTreeR|AddToLeafR|FellTreeD|SubXD|ReplaceBranchXR|AddToLeafX|ReplaceBranchXR|SubXD|AddTreeWithDiv|DeleteTerminalR,DivXD,AddToLeafR,8,3
((((x)*(x))*((x)+((2)*(x))))/((3)*((x)*((x)+(5))))),20,-10,ANTAGONIST-MXfb,PROTAGONIST-54c1c1**c1c1c1c1c1c1c1c1c1c1c1c1c1c1c1c1c1c1,0.8588136033516706,0.006170365548725619,72551.2248804633,635.8136694207055,0.8324603188555162,0.2643363358186151,11619186.400588073,555.910653837122,453413242.8951607,122.4014115750123,(((((x)*(7))-((1)-((3)*(0))))+(((2)*(5))*((9)+((1)*(x)))))*((((x)*(2))+((x)-(x)))*(((1)+(7))+((x)*((x)*(x)))))),((((x)*(2))*((x)+(x)))*((x)/((x)*(x)))),MutateTerminalR|AddTreeWithSub|AddXD|AddTreeWithMult|AddXD|DeleteNonTerminalR|SubXD|AddTreeWithMult|ReplaceBranchR|MutateNonTerminalR|DeleteNonTerminalR|AddTreeWithSub|DivXD|SkipD|DeleteTerminalR|DeleteNonTerminalR,AddTreeWithMult|DivXD|AddToLeafR|SkipD|SkipD|DeleteNonTerminalR|AddRandomSubTreeR|AddToLeafR|FellTreeD|SubXD|ReplaceBranchXR|AddToLeafX|ReplaceBranchXR|SubXD|AddTreeWithDiv|DeleteTerminalR,DeleteNonTerminalR,AddToLeafR,0,0,-0.9374256285443472,0,0.29509486921017214,0.17576189737444536,640.9646809475715,640.2028758309526,1431946.4694683673,516.3445770241246,(((((x)*(2))*((x)*(0)))+(((7)+(8))*((0)*(3))))*(((1)*((7)*(6)))*((6)*((3)+((x)-(x)))))),(((x)-(0))*((8)*(3))),MutateNonTerminalR|AddRandomSubTreeR|AddToLeafX|MultXD|AddToLeafX|DivXD|AddTreeWithMult|AddTreeWithMult|DivXD|MutateTerminalR|FellTreeD|DivXD|AddRandomSubTreeR|SkipD|AddToLeafR|ReplaceBranchXR,AddTreeWithMult|DivXD|AddToLeafR|SkipD|SkipD|DeleteNonTerminalR|AddRandomSubTreeR|AddToLeafR|FellTreeD|SubXD|ReplaceBranchXR|AddToLeafX|ReplaceBranchXR|SubXD|AddTreeWithDiv|DeleteTerminalR,DivXD,AddToLeafR,9,3
