gen,specEquation,range,seed,topAEquation,topPEquation,correlation,covariance,AMean,PMean,AStd,PStd,AVar,PVar,ASkew,PSkew,AExKur,PExKur,topAMean,topPMean,topABest,topPBest,topAMeanDelta,topPMeanDelta,topABestDelta,topPBestDelta,topAStrat,topPStrat,topADomStrat,topPDomStrat,topABirthGen,topPBirthGen,topAAge,topPAge,run
0,((((x)*(x))*((x)+((2)*(x))))/((3)*((x)*((x)+(5))))),20,-10,((((x)+((0)+(4)))-(((6)/(3))*((3)*(x))))*(((0)+(8))*((9)*((x)*((x)*(x)))))),(((0)+((5)*(3)))*((x)*(7))),-0.12304387445727813,-0.0010634196547982448,-0.9256480574200698,-0.15162463487977412,0.6608233633662899,0.11326210082280427,0.0029126041866791345,0.025645306897159218,3.5944969410168346,-0.8891271859566793,16.238893904676488,-0.134043439769143,-0.6218919108352159,0.03652761679333254,0.9983621714339579,0.5924776864554286,NaN,617.4761328083648,6254162.50862471,260.8969570965177,DeleteTerminalR|AddRandomSubTreeR|DeleteTerminalR|DivXD|AddXD|SubXD|MutateTerminalR|AddRandomSubTreeR|AddTreeWithSub|AddToLeafX|SkipD|MutateNonTerminalR|AddTreeWithDiv|MutateNonTerminalR|AddTreeWithDiv|AddTreeWithAdd,ReplaceBranchXR|MultXD|AddToLeafX|SkipD|SkipD|ReplaceBranchXR|AddTreeWithAdd|AddTreeWithAdd|MultXD|AddToLeafX|AddTreeWithMult|AddToLeafX|AddToLeafR|AddTreeWithAdd|DeleteTerminalR|AddTreeWithDiv,MutateNonTerminalR,AddToLeafX,0,0,1,1,0
1,((((x)*(x))*((x)+((2)*(x))))/((3)*((x)*((x)+(5))))),20,-10,(((((8)*(7))*((x)*(x)))+(((2)*(x))*((7)/((8)*(0)))))/((((8)*(0))*((7)-(x)))+(((x)-(x))*((x)*((x)*(x)))))),((x)*((9)+(x))),0.05096756035008343,0.0007763745533793271,-0.8945063252321752,-0.08489275121998041,0.7526559472358245,0.020482229839899488,0.013701791567643477,0.016934701129685724,3.2744304963106825,-2.7842587678922985,11.406728435372177,9.564177056830394,-0.3058019835570208,0.022122744717718412,0.9997634046368078,0.08188780654933482,NaN,626.0398310413952,43294365.00822242,587.7780665825798,DeleteTerminalR|AddRandomSubTreeR|DeleteTerminalR|DivXD|AddXD|SubXD|MutateTerminalR|AddRandomSubTreeR|AddTreeWithSub|AddToLeafX|SkipD|MutateNonTerminalR|AddTreeWithDiv|MutateNonTerminalR|AddTreeWithDiv|AddTreeWithAdd,DeleteNonTerminalR|DeleteNonTerminalR|MutateNonTerminalR|AddXD|AddTreeWithMult|SubXD|MultXD|AddToLeafR|FellTreeD|AddXD|AddTreeWithMult|DivXD|SkipD|MutateNonTerminalR|SkipD|AddToLeafR,MutateNonTerminalR,DeleteNonTerminalR,0,0,2,2,0
2,((((x)*(x))*((x)+((2)*(x))))/((3)*((x)*((x)+(5))))),20,-10,(((((x)*(x))*((x)+((x)*(9))))*(((x)+(8))*((x)*((2)+(5)))))+((((x)+(2))+((2)-(4)))*(((x)*(6))*((x)+((x)-((x)*(x))))))),((x)*((x)*(x))),0.3251898065695912,0.004702312266715771,-0.8770248771568996,-0.07997515788444845,0.7819259927172498,0.11986554574529941,0.0196150619837808,0.01066005387757099,2.7889255114359246,-0.9739911968864404,6.715141835326332,-0.4459855442066085,-0.34855925914118746,0.00362795324176914,0.9999354672068421,0.6005462915314183,3380089.2187633547,639.8535676180671,158729314.38485065,255.73141292292496,SubXD|SkipD|AddTreeWithDiv|AddRandomSubTreeR|AddToLeafR|AddRandomSubTreeR|AddToLeafX|MultXD|AddTreeWithSub|DivXD|AddTreeWithAdd|AddTreeWithMult|AddTreeWithAdd|DeleteNonTerminalR|AddTreeWithSub|DeleteNonTerminalR,DeleteNonTerminalR|DeleteNonTerminalR|MutateNonTerminalR|AddXD|AddTreeWithMult|SubXD|MultXD|AddToLeafR|FellTreeD|AddXD|AddTreeWithMult|DivXD|SkipD|MutateNonTerminalR|SkipD|AddToLeafR,AddTreeWithAdd,DeleteNonTerminalR,0,0,3,3,0
3,((((x)*(x))*((x)+((2)*(x))))/((3)*((x)*((x)+(5))))),20,-10,((((x)*(7))*((1)*((x)*(x))))*(((x)-(8))+((x)*((x)*(x))))),((x)*(9)),-0.36966588600756045,-0.0017175069215990865,-0.753591846576648,-0.002423862409928143,0.6833634871234651,0.024097032964597087,0.08189219492948246,0.0002635941282513435,1.4441065260315775,-2.1844874080366132,0.7565502621354723,5.725732210168678,-0.03676334556779911,0.022322935880304387,0.9969502355042853,0.07377034044034662,81162.38642147029,625.9164731437756,3358700.656292795,592.9748917300143,DeleteTerminalR|AddRandomSubTreeR|DeleteTerminalR|DivXD|AddXD|SubXD|MutateTerminalR|AddRandomSubTreeR|AddTreeWithSub|AddToLeafX|SkipD|MutateNonTerminalR|AddTreeWithDiv|MutateNonTerminalR|AddTreeWithDiv|AddTreeWithAdd,DeleteNonTerminalR|DeleteNonTerminalR|MutateNonTerminalR|AddXD|AddTreeWithMult|SubXD|MultXD|AddToLeafR|FellTreeD|AddXD|AddTreeWithMult|DivXD|SkipD|MutateNonTerminalR|SkipD|AddToLeafR,DeleteTerminalR,DeleteNonTerminalR,0,0,4,4,0
4,((((x)*(x))*((x)+((2)*(x))))/((3)*((x)*((x)+(5))))),20,-10,(((((x)*(0))+((8)*(x)))+(((2)+(4))+((3)*(9))))+(((3)/((3)*(x)))*(((x)+(0))/((x)-((x)-(x)))))),(((7)+((9)*(9)))-((8)*(x))),0.03313044707474309,0.00003241262185527104,-0.9778353102337949,-0.145210878354861,0.02853333866377875,0.03463977042849,0.00010726774515301075,0.008922870306523875,1.0541951142582973,0.3746454406362031,-0.34170653778946347,-0.805604448929238,-0.9547518724014219,0.011604551089263001,-0.936060703950569,0.13021003299760708,NaN,632.7960473378414,654.9459393512379,556.8420382438413,SubXD|ReplaceBranchXR|DivXD|MutateTerminalR|ReplaceBranchXR|ReplaceBranchXR|SkipD|MutateTerminalR|AddTreeWithDiv|DeleteNonTerminalR|DivXD|MutateTerminalR|AddXD|DeleteTerminalR|MutateTerminalR|SubXD,DeleteNonTerminalR|ReplaceBranchXR|FellTreeD|AddXD|MutateTerminalR|SkipD|AddToLeafR|MutateTerminalR|DivXD|DivXD|DivXD|AddTreeWithSub|AddTreeWithDiv|AddTreeWithMult|AddToLeafX|MutateNonTerminalR,MutateTerminalR,DivXD,0,0,5,5,0
5,((((x)*(x))*((x)+((2)*(x))))/((3)*((x)*((x)+(5))))),20,-10,(((((2)+(4))*((x)+(5)))*(((4)+(8))*((7)*((x)/(x)))))-(((0)*((x)/(x)))*(((x)*(9))*((x)*((x)-(x)))))),((x)*(9)),0.13717876654318834,0.0004775461017181465,-0.8506291988892809,-0.002280838126165967,0.6143567472849886,0.024038596140881135,0.01399995726453364,0.0008656256390317631,0.4488509506965324,-1.6312104059836054,-1.2505625738406911,1.8341614761116003,-0.6083512245952902,0.02161746054595684,0.8989452740866338,0.07377034044034662,151749.8110460826,626.3729255420366,8740584.91892323,592.9748917300143,DeleteTerminalR|AddRandomSubTreeR|DeleteTerminalR|DivXD|AddXD|SubXD|MutateTerminalR|AddRandomSubTreeR|AddTreeWithSub|AddToLeafX|SkipD|MutateNonTerminalR|AddTreeWithDiv|MutateNonTerminalR|AddTreeWithDiv|AddTreeWithAdd,DeleteNonTerminalR|AddTreeWithSub|AddToLeafX|DeleteTerminalR|AddTreeWithSub|SubXD|MultXD|ReplaceBranchR|ReplaceBranchR|SubXD|AddRandomSubTreeR|FellTreeD|AddToLeafR|AddTreeWithDiv|ReplaceBranchXR|AddTreeWithDiv,DeleteTerminalR,AddTreeWithSub,0,0,1,1,0
6,((((x)*(x))*((x)+((2)*(x))))/((3)*((x)*((x)+(5))))),20,-10,(((x)*((3)/(2)))/((x)-((0)-(0)))),((0)-(x)),NaN,0,-0.9646736642297714,-0.008201043805592516,0.027175859945367472,0,0.0000294133594965331,0,-0.26038554068484077,NaN,-0.35904961821469294,NaN,-0.9533671418378411,-0.008201043805592516,-0.9353214205188384,-0.008201043805592516,477.67183845809717,645.4966219035456,662.5186014160072,645.4966219035456,DeleteTerminalR|AddRandomSubTreeR|DeleteTerminalR|DivXD|AddXD|SubXD|MutateTerminalR|AddRandomSubTreeR|AddTreeWithSub|AddToLeafX|SkipD|MutateNonTerminalR|AddTreeWithDiv|MutateNonTerminalR|AddTreeWithDiv|AddTreeWithAdd,DeleteNonTerminalR|AddTreeWithSub|AddToLeafX|DeleteTerminalR|AddTreeWithSub|SubXD|MultXD|ReplaceBranchR|ReplaceBranchR|SubXD|AddRandomSubTreeR|FellTreeD|AddToLeafR|AddTreeWithDiv|ReplaceBranchXR|AddTreeWithDiv,MutateNonTerminalR,AddTreeWithSub,0,0,7,1,0
7,((((x)*(x))*((x)+((2)*(x))))/((3)*((x)*((x)+(5))))),20,-10,(0),((x)+(x)),NaN,0,-0.9374999999999999,-0.00019639852034092348,0,0.004888842133750836,0,0.00000020232950807704104,NaN,-0.1857537235232254,NaN,0.23700928968245494,-0.9374999999999999,0.0007611735852324099,-0.9374999999999999,0.016496957076577123,640.2028758309526,639.7176626150713,640.2028758309526,629.6414764680682,DeleteTerminalR|AddRandomSubTreeR|DeleteTerminalR|DivXD|AddXD|SubXD|MutateTerminalR|AddRandomSubTreeR|AddTreeWithSub|AddToLeafX|SkipD|MutateNonTerminalR|AddTreeWithDiv|MutateNonTerminalR|AddTreeWithDiv|AddTreeWithAdd,DeleteNonTerminalR|AddTreeWithSub|AddToLeafX|DeleteTerminalR|AddTreeWithSub|SubXD|MultXD|ReplaceBranchR|ReplaceBranchR|SubXD|AddRandomSubTreeR|FellTreeD|AddToLeafR|AddTreeWithDiv|ReplaceBranchXR|AddTreeWithDiv,MutateNonTerminalR,AddTreeWithDiv,0,0,1,1,0
8,((((x)*(x))*((x)+((2)*(x))))/((3)*((x)*((x)+(5))))),20,-10,((((7)*((3)*(x)))+(((5)/(8))/((1)/(8))))*(((x)*(3))*((5)-((x)+((x)/(x)))))),((0)/(x)),-0.7893884137415713,-0.000000000026264072890998508,-0.9459886907879255,0.0000013947221927613282,0.14984705685846259,0.00000007022114437100585,0.000018206233212408452,0.00000000000000006080265633270418,1.0655763152681617,0.19661177081483722,3.920673183096095,0.7437819069629268,-0.9281473068329762,0.000001417692686126348,0.23933851029130812,0.0000015249131413796015,755.6802490360583,640.2018995771741,13954.07717200325,640.2018995771741,DeleteTerminalR|AddRandomSubTreeR|DeleteTerminalR|DivXD|AddXD|SubXD|MutateTerminalR|AddRandomSubTreeR|AddTreeWithSub|AddToLeafX|SkipD|MutateNonTerminalR|AddTreeWithDiv|MutateNonTerminalR|AddTreeWithDiv|AddTreeWithAdd,DeleteNonTerminalR|AddTreeWithSub|AddToLeafX|DeleteTerminalR|AddTreeWithSub|SubXD|MultXD|ReplaceBranchR|ReplaceBranchR|SubXD|AddRandomSubTreeR|FellTreeD|AddToLeafR|AddTreeWithDiv|ReplaceBranchXR|AddTreeWithDiv,DeleteTerminalR,AddTreeWithSub,0,0,2,9,0
9,((((x)*(x))*((x)+((2)*(x))))/((3)*((x)*((x)+(5))))),20,-10,(((9)*((x)-(3)))*((x)*((9)-(x)))),((((4)+(0))+((9)*(9)))-((x)-((x)-((x)/(x))))),-0.06609945503126015,-0.00000003152654468122301,-0.9361457355323581,0.0009725476836264197,0.04338544894071694,0.0022598954266358487,0.000003830315128057243,0.000000059391252689514915,1.7017675161996848,-0.34243029346957127,2.514122020890524,0.25723897223924475,-0.9295370464972237,0.00142330468712696,-0.6154516535569906,0.009750865317092577,721.769367552321,639.1761686482291,3939.023316621633,633.2667291444604,DeleteTerminalR|AddRandomSubTreeR|DeleteTerminalR|DivXD|AddXD|SubXD|MutateTerminalR|AddRandomSubTreeR|AddTreeWithSub|AddToLeafX|SkipD|MutateNonTerminalR|AddTreeWithDiv|MutateNonTerminalR|AddTreeWithDiv|AddTreeWithAdd,DeleteNonTerminalR|AddTreeWithSub|AddToLeafX|DeleteTerminalR|AddTreeWithSub|SubXD|MultXD|ReplaceBranchR|ReplaceBranchR|SubXD|AddRandomSubTreeR|FellTreeD|AddToLeafR|AddTreeWithDiv|ReplaceBranchXR|AddTreeWithDiv,AddRandomSubTreeR,AddTreeWithDiv,0,0,2,5,0
10,((((x)*(x))*((x)+((2)*(x))))/((3)*((x)*((x)+(5))))),20,-10,(((((9)-(x))*((5)*(x)))*(((9)*(4))+((2)*((0)/(0)))))+(((3)*((x)*(x)))*(((x)/(x))-((x)*((x)/(x)))))),(((x)*((5)-(4)))+((x)+((x)*(x)))),0.04359348693916146,0.00004020216359525288,-0.9339723065419057,-0.07766473791623463,0.39899657438912645,0.2860079797889673,0.0005084900680247812,0.0016725270919534256,0.9038568280561636,-0.4252842718897983,0.8124259670000016,-0.4108688368499114,-0.8660725845647668,0.00496186608318358,0.8589499602434885,0.8088004252403622,5794.464514594476,829.5394170331349,224577.64880735328,122.40651761877533,DeleteTerminalR|AddRandomSubTreeR|DeleteTerminalR|DivXD|AddXD|SubXD|MutateTerminalR|AddRandomSubTreeR|AddTreeWithSub|AddToLeafX|SkipD|MutateNonTerminalR|AddTreeWithDiv|MutateNonTerminalR|AddTreeWithDiv|AddTreeWithAdd,DeleteNonTerminalR|AddTreeWithSub|AddToLeafX|DeleteTerminalR|AddTreeWithSub|SubXD|MultXD|ReplaceBranchR|ReplaceBranchR|SubXD|AddRandomSubTreeR|FellTreeD|AddToLeafR|AddTreeWithDiv|ReplaceBranchXR|AddTreeWithDiv,AddTreeWithDiv,ReplaceBranchR,0,0,3,1,0
