gen,specEquation,range,seed,topAEquation,topPEquation,correlation,covariance,AMean,PMean,AStd,PStd,AVar,PVar,ASkew,PSkew,AExKur,PExKur,topAMean,topPMean,topABest,topPBest,topAMeanDelta,topPMeanDelta,topABestDelta,topPBestDelta,topAStrat,topPStrat,topADomStrat,topPDomStrat,topABirthGen,topPBirthGen,topAAge,topPAge,run
0,((((x)*(x))*((x)+((2)*(x))))/((3)*((x)*((x)+(5))))),20,-10,(((((x)*(x))*((x)+(5)))/(((1)*(2))+((6)+((5)*(8)))))+((((7)-(0))*((9)+(9)))*(((x)*(x))*((x)+((x)*(x)))))),((8)*((8)*(x))),-0.1165022820610272,-0.0015110324545142178,-0.9214713350692999,-0.16570232838253635,0.6687440478781471,0.121135624252171,0.004125352244439413,0.04077722645188636,3.591331624153957,-1.4947911495285682,14.60763126423607,1.8671667662463967,-0.5771030430712709,0.05850858691251795,0.9999901859886853,0.4734744704442924,NaN,603.7701540398659,1043736927.2163688,337.0831582199792,AddTreeWithDiv|SkipD|FellTreeD|ReplaceBranchR|AddTreeWithMult|SkipD|AddTreeWithDiv|AddTreeWithDiv|DeleteTerminalR|DeleteTerminalR|DivXD|MutateNonTerminalR|AddTreeWithAdd|SubXD|ReplaceBranchR|AddTreeWithAdd,DivXD|DivXD|DeleteTerminalR|AddTreeWithSub|AddTreeWithAdd|SubXD|DeleteTerminalR|MultXD|ReplaceBranchXR|AddTreeWithAdd|AddToLeafX|AddTreeWithAdd|MultXD|AddToLeafX|AddTreeWithAdd|MultXD,AddTreeWithDiv,AddTreeWithAdd,0,0,1,1,2
1,((((x)*(x))*((x)+((2)*(x))))/((3)*((x)*((x)+(5))))),20,-10,(((((x)*(x))*((x)*(5)))/(((4)/(3))-((7)+(0))))*(((4)-((2)*(x)))+((x)*((6)+((x)*(x)))))),((x)*(9)),0.30379643404977985,0.0007640584658819026,-0.9173075909375064,-0.06587517931414238,0.4127675139332146,0.02038635021415683,0.001167631854479161,0.005417287767711349,1.3311824953816032,-1.0933741379962574,1.2609098938319536,0.9389037874920505,-0.8140020944259135,0.01825492263033303,0.9352386184897041,0.07377034044034662,4728.712886368987,628.5208269253257,158169.04726880736,592.9748917300143,AddToLeafR|SubXD|AddTreeWithAdd|MultXD|DeleteNonTerminalR|DeleteNonTerminalR|DeleteNonTerminalR|AddTreeWithAdd|AddXD|MutateTerminalR|DivXD|AddTreeWithDiv|ReplaceBranchR|DeleteNonTerminalR|MutateTerminalR|AddXD,MultXD|AddTreeWithAdd|DivXD|AddTreeWithAdd|AddTreeWithSub|AddToLeafX|DeleteNonTerminalR|MultXD|ReplaceBranchR|ReplaceBranchXR|AddTreeWithSub|AddTreeWithMult|MutateNonTerminalR|AddRandomSubTreeR|SkipD|DeleteTerminalR,DeleteNonTerminalR,MultXD,0,0,2,2,2
2,((((x)*(x))*((x)+((2)*(x))))/((3)*((x)*((x)+(5))))),20,-10,(((((x)*(2))+((6)*(8)))+(((3)+(x))+((9)*((x)+(2)))))*((((6)-(4))*((6)*(7)))-(((x)/(x))*((x)*((x)-(x)))))),((x)*(9)),0.15271929008667798,0.001903967961278716,-0.8486829216104479,-0.07017617012626612,0.6673855678321162,0.025219617085468667,0.014787063534018218,0.01051113321281543,0.9032537754843831,-1.848483795126073,-0.5079742962934475,4.778764644870696,-0.5641181870209818,0.022815213296389428,0.8920093232035663,0.07377034044034662,37499.72419227238,625.6013157262913,1153709.710306412,592.9748917300143,MutateTerminalR|ReplaceBranchR|AddRandomSubTreeR|DeleteNonTerminalR|AddRandomSubTreeR|AddXD|DeleteNonTerminalR|SkipD|MultXD|AddTreeWithAdd|AddTreeWithSub|MutateTerminalR|DeleteNonTerminalR|AddToLeafX|AddTreeWithAdd|AddTreeWithDiv,AddTreeWithDiv|AddRandomSubTreeR|AddToLeafX|AddTreeWithAdd|ReplaceBranchR|ReplaceBranchXR|ReplaceBranchXR|FellTreeD|AddTreeWithSub|FellTreeD|ReplaceBranchXR|MutateNonTerminalR|FellTreeD|SubXD|DeleteTerminalR|AddTreeWithSub,DeleteNonTerminalR,FellTreeD,0,0,3,3,2
3,((((x)*(x))*((x)+((2)*(x))))/((3)*((x)*((x)+(5))))),20,-10,(((((x)*(x))*((x)+(0)))*(((9)+(0))*((7)-((4)/(6)))))*((((2)-(5))-((1)*(x)))+(((9)-(0))+((x)*((x)+(x)))))),(((0)+(x))*((x)*(x))),0.03609279159037792,0.00009568141090388041,-0.9409511283255749,0.00410343038938147,0.5746336066080582,0.12209375586462745,0.003293215706363174,0.0021339980383347484,4.402507525890982,-4.229619228281449,18.283266802643947,17.571802876087467,-0.6632855298143596,0.04252649390809074,0.9950445294203304,0.6005462915314183,44392.290062755914,613.0109275546722,2067058.1831964238,255.73141292292496,AddToLeafR|SubXD|AddTreeWithAdd|MultXD|DeleteNonTerminalR|DeleteNonTerminalR|DeleteNonTerminalR|AddTreeWithAdd|AddXD|MutateTerminalR|DivXD|AddTreeWithDiv|ReplaceBranchR|DeleteNonTerminalR|MutateTerminalR|AddXD,AddTreeWithDiv|AddRandomSubTreeR|AddToLeafX|AddTreeWithAdd|ReplaceBranchR|ReplaceBranchXR|ReplaceBranchXR|FellTreeD|AddTreeWithSub|FellTreeD|ReplaceBranchXR|MutateNonTerminalR|FellTreeD|SubXD|DeleteTerminalR|AddTreeWithSub,DeleteNonTerminalR,ReplaceBranchXR,0,0,4,1,2
4,((((x)*(x))*((x)+((2)*(x))))/((3)*((x)*((x)+(5))))),20,-10,(((x)-(8))*((x)+(x))),((x)/(1)),0.1298370194397759,0.000042596099867492406,-0.9475702123289944,-0.09176774415261998,0.0014414918645184337,0.1753908451863019,0.0000995694924396534,0.001080976631421358,-0.18202621478484127,-0.38262469601738835,-1.7306361173008764,-0.389955702409837,-0.9374310853220342,-0.031137378295332408,-0.9325060381057036,0.008255384467473688,640.9087858312832,1644.0877021626131,691.3572560952518,634.9177549537858,AddToLeafR|SubXD|AddTreeWithAdd|MultXD|DeleteNonTerminalR|DeleteNonTerminalR|DeleteNonTerminalR|AddTreeWithAdd|AddXD|MutateTerminalR|DivXD|AddTreeWithDiv|ReplaceBranchR|DeleteNonTerminalR|MutateTerminalR|AddXD,AddTreeWithDiv|AddRandomSubTreeR|AddToLeafX|AddTreeWithAdd|ReplaceBranchR|ReplaceBranchXR|ReplaceBranchXR|FellTreeD|AddTreeWithSub|FellTreeD|ReplaceBranchXR|MutateNonTerminalR|FellTreeD|SubXD|DeleteTerminalR|AddTreeWithSub,DeleteNonTerminalR,FellTreeD,0,0,1,1,2
5,((((x)*(x))*((x)+((2)*(x))))/((3)*((x)*((x)+(5))))),20,-10,(((4)*((6)*(8)))/((x)*(x))),(((9)+(0))*((x)-(x))),0.053027772685000904,0.000000003832673010621844,-0.9375625233020738,-0.007761445682760695,0.0010324240086127818,0.010880893942675747,0.00000001283853430217743,0.00000040689403130915466,-0.4481269892000739,0.16318943884280343,0.30368697413712686,0.2654916246944752,-0.9373134279028532,-0.0061975900282951,-0.9327124883822968,0.0656359193027019,642.1139797212435,644.2162954860437,689.2425351225954,598.1825715355545,AddToLeafR|SubXD|AddTreeWithAdd|MultXD|DeleteNonTerminalR|DeleteNonTerminalR|DeleteNonTerminalR|AddTreeWithAdd|AddXD|MutateTerminalR|DivXD|AddTreeWithDiv|ReplaceBranchR|DeleteNonTerminalR|MutateTerminalR|AddXD,AddTreeWithDiv|AddRandomSubTreeR|AddToLeafX|AddTreeWithAdd|ReplaceBranchR|ReplaceBranchXR|ReplaceBranchXR|FellTreeD|AddTreeWithSub|FellTreeD|ReplaceBranchXR|MutateNonTerminalR|FellTreeD|SubXD|DeleteTerminalR|AddTreeWithSub,DeleteNonTerminalR,ReplaceBranchXR,0,0,1,1,2
6,((((x)*(x))*((x)+((2)*(x))))/((3)*((x)*((x)+(5))))),20,-10,(0),((((2)/(3))+((1)+((x)*(5))))-((3)*((x)*((x)-(x))))),NaN,0,-0.9374999999999999,-0.1348799863276692,0,0.2541945033452609,0,0.003155471024023129,NaN,0.32516495296607656,NaN,-0.3786238045965802,-0.9374999999999999,0.017338164101912856,-0.9374999999999999,0.8087440733530981,640.2028758309526,1141.150022638492,640.2028758309526,122.44259425906037,AddToLeafR|SubXD|AddTreeWithAdd|MultXD|DeleteNonTerminalR|DeleteNonTerminalR|DeleteNonTerminalR|AddTreeWithAdd|AddXD|MutateTerminalR|DivXD|AddTreeWithDiv|ReplaceBranchR|DeleteNonTerminalR|MutateTerminalR|AddXD,AddTreeWithDiv|AddRandomSubTreeR|AddToLeafX|AddTreeWithAdd|ReplaceBranchR|ReplaceBranchXR|ReplaceBranchXR|FellTreeD|AddTreeWithSub|FellTreeD|ReplaceBranchXR|MutateNonTerminalR|FellTreeD|SubXD|DeleteTerminalR|AddTreeWithSub,DeleteNonTerminalR,FellTreeD,0,0,1,1,2
7,((((x)*(x))*((x)+((2)*(x))))/((3)*((x)*((x)+(5))))),20,-10,(((8)*((3)*(7)))*((8)/(x))),((((9)*(x))*((3)+(1)))*((8)-((7)+(x)))),0.09445477548570028,0.000008584657400281404,-0.9436130059766066,-0.1138103871846153,0.013420662553786962,0.2913146397454581,0.000003941344093929272,0.00209581885687392,-0.4964732072917513,-0.31422264221131097,-0.06942232350381428,0.4740333348206809,-0.9402109075165648,-0.012904030454785557,-0.9283346066970442,0.5927027621551031,612.4343832194886,2619.3295787326665,734.0862542417387,260.7528629863065,AddToLeafR|SubXD|AddTreeWithAdd|MultXD|DeleteNonTerminalR|DeleteNonTerminalR|DeleteNonTerminalR|AddTreeWithAdd|AddXD|MutateTerminalR|DivXD|AddTreeWithDiv|ReplaceBranchR|DeleteNonTerminalR|MutateTerminalR|AddXD,AddTreeWithDiv|AddRandomSubTreeR|AddToLeafX|AddTreeWithAdd|ReplaceBranchR|ReplaceBranchXR|ReplaceBranchXR|FellTreeD|AddTreeWithSub|FellTreeD|ReplaceBranchXR|MutateNonTerminalR|FellTreeD|SubXD|DeleteTerminalR|AddTreeWithSub,DeleteNonTerminalR,ReplaceBranchXR,0,0,4,4,2
8,((((x)*(x))*((x)+((2)*(x))))/((3)*((x)*((x)+(5))))),20,-10,(((x)-(9))-((4)*(x))),(0),NaN,0,-0.937452461325482,0,0.0022651276632641923,0,0.00000009596172379199413,0,0.1306109714091977,NaN,-0.28736842991817957,NaN,-0.9368152287469879,0,-0.9293830314629569,0,647.2171562383883,640.2028758309526,723.3469814380617,640.2028758309526,AddToLeafR|SubXD|AddTreeWithAdd|MultXD|DeleteNonTerminalR|DeleteNonTerminalR|DeleteNonTerminalR|AddTreeWithAdd|AddXD|MutateTerminalR|DivXD|AddTreeWithDiv|ReplaceBranchR|DeleteNonTerminalR|MutateTerminalR|AddXD,AddTreeWithDiv|AddRandomSubTreeR|AddToLeafX|AddTreeWithAdd|ReplaceBranchR|ReplaceBranchXR|ReplaceBranchXR|FellTreeD|AddTreeWithSub|FellTreeD|ReplaceBranchXR|MutateNonTerminalR|FellTreeD|SubXD|DeleteTerminalR|AddTreeWithSub,DeleteNonTerminalR,FellTreeD,0,0,1,1,2
9,((((x)*(x))*((x)+((2)*(x))))/((3)*((x)*((x)+(5))))),20,-10,(((9)*(9))*((x)*(x))),((x)*(9)),0.11711999611137316,0.0000025085211812677173,-0.914499595677778,0.015780284915125273,0.08092315912762289,0.023845445791702852,0.00005798147535164034,0.00000791196184834842,0.2129790096237082,-0.08463921256808503,-0.6243528810214389,0.4932681357148221,-0.8963484760896875,0.022547983064103223,-0.6209773059187492,0.07377034044034662,1061.7280590662845,625.77239728951,3882.4227000961937,592.9748917300143,AddToLeafR|SubXD|AddTreeWithAdd|MultXD|DeleteNonTerminalR|DeleteNonTerminalR|DeleteNonTerminalR|AddTreeWithAdd|AddXD|MutateTerminalR|DivXD|AddTreeWithDiv|ReplaceBranchR|DeleteNonTerminalR|MutateTerminalR|AddXD,AddTreeWithDiv|AddRandomSubTreeR|AddToLeafX|AddTreeWithAdd|ReplaceBranchR|ReplaceBranchXR|ReplaceBranchXR|FellTreeD|AddTreeWithSub|FellTreeD|ReplaceBranchXR|MutateNonTerminalR|FellTreeD|SubXD|DeleteTerminalR|AddTreeWithSub,DeleteNonTerminalR,FellTreeD,0,0,10,3,2
