gen,specEquation,range,seed,topAEquation,topPEquation,correlation,covariance,AMean,PMean,AStd,PStd,AVar,PVar,ASkew,PSkew,AExKur,PExKur,topAMean,topPMean,topABest,topPBest,topAMeanDelta,topPMeanDelta,topABestDelta,topPBestDelta,topAStrat,topPStrat,topADomStrat,topPDomStrat,topABirthGen,topPBirthGen,topAAge,topPAge,run
0,((((x)*(x))*((x)+((2)*(x))))/((3)*((x)*((x)+(5))))),20,-10,(((((x)*(7))-((1)-((3)*(0))))+(((2)*(5))*((9)+((1)*(x)))))*((((x)*(2))+((x)-(x)))*(((1)+(7))+((x)*((x)*(x)))))),(((9)*(9))+((0)*(x))),0.019007994211353095,0.00039513033980408504,-0.9199697273494172,-0.14163230095047152,0.8324603188555162,0.08411208329382028,0.01222842471196038,0.03533764957852463,5.745045673222293,-1.3644024032881086,36.30169096796357,1.5464082636500218,-0.16742246745704759,0.04250917031789421,0.9999774085865956,0.555261194414619,11619186.400588073,613.0027979254005,453413242.8951607,284.7230623293839,MutateTerminalR|AddTreeWithSub|AddXD|AddTreeWithMult|AddXD|DeleteNonTerminalR|SubXD|AddTreeWithMult|ReplaceBranchR|MutateNonTerminalR|DeleteNonTerminalR|AddTreeWithSub|DivXD|SkipD|DeleteTerminalR|DeleteNonTerminalR,AddToLeafR|AddTreeWithMult|AddToLeafX|DivXD|SkipD|AddToLeafX|AddTreeWithSub|AddTreeWithDiv|MutateTerminalR|SkipD|AddRandomSubTreeR|AddTreeWithSub|SubXD|AddRandomSubTreeR|AddTreeWithSub|DeleteTerminalR,DeleteNonTerminalR,AddTreeWithSub,0,0,1,1,3
1,((((x)*(x))*((x)+((2)*(x))))/((3)*((x)*((x)+(5))))),20,-10,((((7)-(x))*((x)+((x)*(1))))+(((7)*(7))-((x)*((x)-(5))))),(((0)+(9))+((9)*(x))),0.008772548752492691,0.00006432296176143561,-0.9112215153761439,-0.0881574003504372,0.4460240260293791,0.053531306290750404,0.0050352360634559265,0.01067728044213857,2.8805177306254186,-0.3216266263544586,7.557518451027494,-1.485512927745092,-0.629600051965631,0.04231936107294292,0.8077616599532399,0.146159335596295,5014.002294487254,613.3147090920961,53284.09520600142,546.6312488526632,MutateTerminalR|AddTreeWithSub|AddXD|AddTreeWithMult|AddXD|DeleteNonTerminalR|SubXD|AddTreeWithMult|ReplaceBranchR|MutateNonTerminalR|DeleteNonTerminalR|AddTreeWithSub|DivXD|SkipD|DeleteTerminalR|DeleteNonTerminalR,AddTreeWithAdd|FellTreeD|DivXD|AddTreeWithDiv|AddTreeWithAdd|AddTreeWithMult|DeleteTerminalR|AddTreeWithDiv|DeleteTerminalR|SubXD|DeleteNonTerminalR|MultXD|DeleteTerminalR|MultXD|MutateNonTerminalR|AddTreeWithMult,DeleteNonTerminalR,DeleteTerminalR,0,0,2,2,3
2,((((x)*(x))*((x)+((2)*(x))))/((3)*((x)*((x)+(5))))),20,-10,((((4)+(x))*((5)*(3)))*((7)*((x)*((8)*(7))))),(((x)+(x))+((x)*(8))),-0.008779560447972862,-0.000014933275245197219,-0.9201511672147258,-0.010990073267153228,0.49997859145820656,0.04943675901753034,0.002118605966700373,0.0013655713674546063,3.2884690534383427,-0.8599194976270439,10.942507168435213,0.4127056934770512,-0.7024235021652034,0.045873084446371795,0.9608167897844087,0.19346726402324552,8134.232891510677,610.932174375603,261419.26495903512,516.3445770241246,ReplaceBranchR|MultXD|AddToLeafR|DivXD|SubXD|DivXD|DeleteTerminalR|AddToLeafX|SubXD|SubXD|AddTreeWithDiv|AddToLeafX|AddRandomSubTreeR|ReplaceBranchXR|AddTreeWithDiv|DivXD,AddTreeWithAdd|FellTreeD|DivXD|AddTreeWithDiv|AddTreeWithAdd|AddTreeWithMult|DeleteTerminalR|AddTreeWithDiv|DeleteTerminalR|SubXD|DeleteNonTerminalR|MultXD|DeleteTerminalR|MultXD|MutateNonTerminalR|AddTreeWithMult,DivXD,DeleteTerminalR,0,0,3,3,3
3,((((x)*(x))*((x)+((2)*(x))))/((3)*((x)*((x)+(5))))),20,-10,(((((x)*(x))*((9)*(9)))+(((2)*(0))*((3)*(5))))-(((0)*((0)-(3)))-((x)*((2)*((9)+(0)))))),((x)*(8)),0.14944251711732867,0.00034214147274121934,-0.9245375434583202,-0.23276206172429065,0.4198804506491055,0.1757783899139602,0.0008224143448711818,0.006373418199957405,2.198159810044605,0.49838664626256424,4.2100462303615345,-0.3043843430775217,-0.8177293531623531,-0.02930873097035874,0.9965374477367885,0.0656359193027019,NaN,1642.8975023956432,2958293.5461008125,598.1825715355545,ReplaceBranchR|MultXD|AddToLeafR|DivXD|SubXD|DivXD|DeleteTerminalR|AddToLeafX|SubXD|SubXD|AddTreeWithDiv|AddToLeafX|AddRandomSubTreeR|ReplaceBranchXR|AddTreeWithDiv|DivXD,AddTreeWithMult|DivXD|AddToLeafR|SkipD|SkipD|DeleteNonTerminalR|AddRandomSubTreeR|AddToLeafR|FellTreeD|SubXD|ReplaceBranchXR|AddToLeafX|ReplaceBranchXR|SubXD|AddTreeWithDiv|DeleteTerminalR,DivXD,ReplaceBranchXR,0,0,4,4,3
4,((((x)*(x))*((x)+((2)*(x))))/((3)*((x)*((x)+(5))))),20,-10,(((((1)+(x))*((x)*(x)))+(((4)*(1))-((x)*((8)+(0)))))*((((x)*(x))*((1)-(0)))-(((x)+(1))*((5)+((5)-(8)))))),((x)*(9)),0.08607869145083889,0.00013641851975332742,-0.9383240702318734,-0.2048496744282193,0.35520171300355713,0.12649646607222503,0.00029145222374979385,0.008617632699117441,3.1833537736707394,0.1705511717028872,13.35051625868297,-0.9640663693564684,-0.8521439860225355,-0.009665709063830796,0.9945166692701283,0.07377034044034662,NaN,1138.098799163427,1868070.0687070927,592.9748917300143,MutateNonTerminalR|AddRandomSubTreeR|AddToLeafX|MultXD|AddToLeafX|DivXD|AddTreeWithMult|AddTreeWithMult|DivXD|MutateTerminalR|FellTreeD|DivXD|AddRandomSubTreeR|SkipD|AddToLeafR|ReplaceBranchXR,AddTreeWithMult|DivXD|AddToLeafR|SkipD|SkipD|DeleteNonTerminalR|AddRandomSubTreeR|AddToLeafR|FellTreeD|SubXD|ReplaceBranchXR|AddToLeafX|ReplaceBranchXR|SubXD|AddTreeWithDiv|DeleteTerminalR,DivXD,ReplaceBranchXR,0,0,5,5,3
5,((((x)*(x))*((x)+((2)*(x))))/((3)*((x)*((x)+(5))))),20,-10,((7)*(0)),((x)*(9)),-0.04143481302445999,-0.0000329422410614443,-0.9420008987352073,-0.11828527651427323,0,0.02386570061489619,0.00002383222106550659,0.02652228858645129,-0.4223111829005265,-1.2406212701152484,-1.4534659206386549,-0.010015271860019936,-0.9374999999999999,0.005371369040241673,-0.9374999999999999,0.07377034044034662,640.2028758309526,636.790265171475,640.2028758309526,592.9748917300143,MutateNonTerminalR|AddRandomSubTreeR|AddToLeafX|MultXD|AddToLeafX|DivXD|AddTreeWithMult|AddTreeWithMult|DivXD|MutateTerminalR|FellTreeD|DivXD|AddRandomSubTreeR|SkipD|AddToLeafR|ReplaceBranchXR,AddTreeWithMult|DivXD|AddToLeafR|SkipD|SkipD|DeleteNonTerminalR|AddRandomSubTreeR|AddToLeafR|FellTreeD|SubXD|ReplaceBranchXR|AddToLeafX|ReplaceBranchXR|SubXD|AddTreeWithDiv|DeleteTerminalR,DivXD,AddToLeafR,0,0,1,6,3
6,((((x)*(x))*((x)+((2)*(x))))/((3)*((x)*((x)+(5))))),20,-10,((0)/((x)/(x))),((((2)*(0))-((1)-((x)*(4))))*((5)-((8)*((5)*(5))))),-0.6557441127395927,-0.0001873779775114346,-0.9394326862342552,-0.3385718436551524,0,0.3185592145563212,0.000009697532188885856,0.008419902525599167,-1.2749102956447451,0.6895095234616729,0.17860764623737468,-0.2654946001031573,-0.9375000953070715,-0.10394044376864409,-0.9375000953070713,0.4664705962031958,640.2018995771741,NaN,640.2018995771741,341.5670586510876,MutateNonTerminalR|AddRandomSubTreeR|AddToLeafX|MultXD|AddToLeafX|DivXD|AddTreeWithMult|AddTreeWithMult|DivXD|MutateTerminalR|FellTreeD|DivXD|AddRandomSubTreeR|SkipD|AddToLeafR|ReplaceBranchXR,AddTreeWithMult|DivXD|AddToLeafR|SkipD|SkipD|DeleteNonTerminalR|AddRandomSubTreeR|AddToLeafR|FellTreeD|SubXD|ReplaceBranchXR|AddToLeafX|ReplaceBranchXR|SubXD|AddTreeWithDiv|DeleteTerminalR,DivXD,SkipD,0,0,2,1,3
7,((((x)*(x))*((x)+((2)*(x))))/((3)*((x)*((x)+(5))))),20,-10,(0),(((4)+(4))*((x)/(3))),NaN,0,-0.9374999999999999,-0.09282539828680172,0,0.17539227445259656,0,0.0012939876028515301,NaN,-0.999643751288868,NaN,1.687595705713607,-0.9374999999999999,-0.0311777464690638,-0.9374999999999999,0.02198349310746325,640.2028758309526,1644.1145674716317,640.2028758309526,626.1289803227447,MutateNonTerminalR|AddRandomSubTreeR|AddToLeafX|MultXD|AddToLeafX|DivXD|AddTreeWithMult|AddTreeWithMult|DivXD|MutateTerminalR|FellTreeD|DivXD|AddRandomSubTreeR|SkipD|AddToLeafR|ReplaceBranchXR,AddTreeWithMult|DivXD|AddToLeafR|SkipD|SkipD|DeleteNonTerminalR|AddRandomSubTreeR|AddToLeafR|FellTreeD|SubXD|ReplaceBranchXR|AddToLeafX|ReplaceBranchXR|SubXD|AddTreeWithDiv|DeleteTerminalR,DivXD,SubXD,0,0,1,2,3
8,((((x)*(x))*((x)+((2)*(x))))/((3)*((x)*((x)+(5))))),20,-10,((7)+(8)),((0)+((9)*(x))),-0.18875584725656872,-0.00000001064309171975293,-0.9377209423165247,0.00021857732261186535,0.0002854530648291598,0.017205292928687544,0.0000000018830963859287267,0.0000016883490263134674,-0.20199556932122872,0.17611795439595437,-0.3404544212783316,-0.01604008685281455,-0.9376240581086592,0.0035239628355617845,-0.9373039749891824,0.07377034044034662,638.9321181040117,637.9619523339202,642.2108082415167,592.9748917300143,MutateNonTerminalR|AddRandomSubTreeR|AddToLeafX|MultXD|AddToLeafX|DivXD|AddTreeWithMult|AddTreeWithMult|DivXD|MutateTerminalR|FellTreeD|DivXD|AddRandomSubTreeR|SkipD|AddToLeafR|ReplaceBranchXR,AddTreeWithMult|DivXD|AddToLeafR|SkipD|SkipD|DeleteNonTerminalR|AddRandomSubTreeR|AddToLeafR|FellTreeD|SubXD|ReplaceBranchXR|AddToLeafX|ReplaceBranchXR|SubXD|AddTreeWithDiv|DeleteTerminalR,DivXD,AddToLeafR,0,0,4,2,3
9,((((x)*(x))*((x)+((2)*(x))))/((3)*((x)*((x)+(5))))),20,-10,((7)*((7)*(9))),(0),NaN,0,-0.9374188428932706,0,0.00393606521760127,0,0.00000017438541776485102,0,-0.7584711683728481,NaN,1.2525534560358236,NaN,-0.9364144136905608,0,-0.9198859182502928,0,651.3228034672038,640.2028758309526,820.6282484914972,640.2028758309526,MutateNonTerminalR|AddRandomSubTreeR|AddToLeafX|MultXD|AddToLeafX|DivXD|AddTreeWithMult|AddTreeWithMult|DivXD|MutateTerminalR|FellTreeD|DivXD|AddRandomSubTreeR|SkipD|AddToLeafR|ReplaceBranchXR,AddTreeWithMult|DivXD|AddToLeafR|SkipD|SkipD|DeleteNonTerminalR|AddRandomSubTreeR|AddToLeafR|FellTreeD|SubXD|ReplaceBranchXR|AddToLeafX|ReplaceBranchXR|SubXD|AddTreeWithDiv|DeleteTerminalR,DivXD,SkipD,0,0,10,1,3
10,((((x)*(x))*((x)+((2)*(x))))/((3)*((x)*((x)+(5))))),20,-10,((8)*((9)-(x))),((((x)*(0))+((x)*(x)))-((3)+((x)+((x)+(x))))),-0.3274329513021821,-0.0000009238911329553608,-0.9370938941069968,0.012652884159251945,0.0006983063137612824,0.11099947166131537,0.000000031323636858197906,0.0002541702126581676,-0.6485745262674565,0.0036886072250063556,0.6796755274714807,0.31220566792304405,-0.9367704669486159,0.050137892565742304,-0.9357449053790955,0.6245122408940362,647.6756623511101,608.3150536040955,658.1807418094887,240.388343218958,MutateNonTerminalR|AddRandomSubTreeR|AddToLeafX|MultXD|AddToLeafX|DivXD|AddTreeWithMult|AddTreeWithMult|DivXD|MutateTerminalR|FellTreeD|DivXD|AddRandomSubTreeR|SkipD|AddToLeafR|ReplaceBranchXR,AddTreeWithMult|DivXD|AddToLeafR|SkipD|SkipD|DeleteNonTerminalR|AddRandomSubTreeR|AddToLeafR|FellTreeD|SubXD|ReplaceBranchXR|AddToLeafX|ReplaceBranchXR|SubXD|AddTreeWithDiv|DeleteTerminalR,DivXD,ReplaceBranchXR,0,0,2,4,3
