gen,specEquation,range,seed,topAEquation,topPEquation,correlation,covariance,AMean,PMean,AStd,PStd,AVar,PVar,ASkew,PSkew,AExKur,PExKur,topAMean,topPMean,topABest,topPBest,topAMeanDelta,topPMeanDelta,topABestDelta,topPBestDelta,topAStrat,topPStrat,topADomStrat,topPDomStrat,topABirthGen,topPBirthGen,topAAge,topPAge,run
0,((((x)*(x))*((x)+((2)*(x))))/((3)*((x)*((x)+(5))))),20,-10,(((((x)*(x))*((2)*((5)+(2))))*(((6)+(2))/((3)+((2)/(7)))))*((((1)/(9))-((3)*(x)))*(((x)*(x))+((x)+((x)+(x)))))),(((5)*((4)*(5)))-((x)*(x))),-0.03481630839776577,-0.0002910101062144497,-0.9295340458017225,-0.13804438667910165,0.5378528597069804,0.22208924230358512,0.0021238253509657133,0.032895152282538934,2.9625428468306136,-1.4338887961272628,8.303533283363304,2.156971577897473,-0.7546115163579793,0.07278613999265407,0.9742207833702076,0.607024012389065,13130.832133062835,603.651203273633,397345.12341454776,251.58435740102942,ReplaceBranchR|AddToLeafR|DeleteNonTerminalR|AddToLeafX|MutateTerminalR|AddXD|MutateTerminalR|ReplaceBranchXR|SkipD|MutateTerminalR|ReplaceBranchXR|MultXD|MutateTerminalR|FellTreeD|ReplaceBranchXR|AddTreeWithDiv,AddToLeafR|AddToLeafR|SubXD|AddTreeWithDiv|ReplaceBranchR|DivXD|SkipD|ReplaceBranchXR|DivXD|SubXD|AddTreeWithDiv|AddToLeafX|AddTreeWithDiv|AddToLeafR|DeleteTerminalR|ReplaceBranchR,MutateTerminalR,AddTreeWithDiv,0,0,1,1,4
1,((((x)*(x))*((x)+((2)*(x))))/((3)*((x)*((x)+(5))))),20,-10,(((((x)*(x))*((9)*((2)+(0))))*(((7)*((4)/(3)))*((9)/((8)*(x)))))+((((6)-(2))/((5)-((7)*(2))))*(((x)*(x))*((x)+((x)+((x)+(x))))))),(((4)+(5))*((x)+(x))),-0.4596910926633104,-0.0032241384167137266,-0.9254715157236771,-0.10587692694238571,0.607139716074869,0.018605821641590553,0.0031007704374366586,0.015864469889074324,4.578652476983063,-1.0677508249412255,20.799936675993347,1.1728607267388012,-0.6162920875705048,0.018152162489211268,0.9923024141723422,0.08188780654933482,NaN,628.5847951624052,1330708.9057053127,587.7780665825798,ReplaceBranchR|AddToLeafR|DeleteNonTerminalR|AddToLeafX|MutateTerminalR|AddXD|MutateTerminalR|ReplaceBranchXR|SkipD|MutateTerminalR|ReplaceBranchXR|MultXD|MutateTerminalR|FellTreeD|ReplaceBranchXR|AddTreeWithDiv,MutateTerminalR|AddTreeWithMult|AddTreeWithDiv|AddTreeWithAdd|MutateNonTerminalR|MutateNonTerminalR|MultXD|SkipD|AddTreeWithAdd|AddTreeWithAdd|DeleteNonTerminalR|AddTreeWithDiv|SubXD|MutateTerminalR|AddTreeWithMult|AddToLeafR,MutateTerminalR,AddTreeWithAdd,0,0,2,2,4
2,((((x)*(x))*((x)+((2)*(x))))/((3)*((x)*((x)+(5))))),20,-10,((((x)+((7)*(x)))+(((3)+(3))+((x)*(9))))*(((1)*((5)/(7)))-((3)-((x)*((x)*(x)))))),((((x)*(x))+((1)*(6)))*((x)-((x)-((1)-(0))))),0.035445883068582464,0.0001112047682993268,-0.9199307665500284,-0.013384864259783665,0.44908868105221317,0.08457046598428986,0.0019481747485575892,0.005052278800812624,3.2021315545506708,-3.735938391212662,11.156547862309228,13.712800902473303,-0.7007864246228741,0.02228217443313968,0.8452586863785705,0.6415715972072438,4587.16391356404,626.1153441944226,66195.93548465712,229.46689424741763,AddToLeafX|SkipD|MultXD|AddRandomSubTreeR|SkipD|AddXD|MutateTerminalR|DeleteTerminalR|MutateTerminalR|MutateTerminalR|MutateTerminalR|MultXD|DivXD|SubXD|AddToLeafR|MutateTerminalR,AddRandomSubTreeR|AddTreeWithAdd|AddXD|SkipD|FellTreeD|AddRandomSubTreeR|AddTreeWithMult|AddTreeWithMult|AddTreeWithDiv|MutateNonTerminalR|AddRandomSubTreeR|MultXD|SubXD|MultXD|FellTreeD|DeleteTerminalR,MutateTerminalR,AddRandomSubTreeR,0,0,3,1,4
3,((((x)*(x))*((x)+((2)*(x))))/((3)*((x)*((x)+(5))))),20,-10,(((((5)*(3))*((1)+(1)))+(((2)*(x))*((1)+(9))))*(((3)*((x)*(4)))-(((6)-(x))+((x)-((x)*(x)))))),((x)*(9)),-0.05449117838113458,-0.000011157395710356626,-0.9291060138430751,0.008626185282961996,0.39597220541633404,0.02455381868981348,0.0006101038892761605,0.00006871783674203853,1.305964803795777,0.047560513178341535,2.2877797784585785,-1.8000911650027378,-0.8383990319527819,0.023524604337691664,0.9798427806303609,0.07377034044034662,9763.198860959303,625.147161541561,508167.6110904311,592.9748917300143,FellTreeD|AddXD|AddTreeWithDiv|MutateTerminalR|AddXD|AddRandomSubTreeR|FellTreeD|AddTreeWithSub|AddTreeWithSub|ReplaceBranchR|AddToLeafX|DivXD|AddTreeWithMult|MultXD|AddRandomSubTreeR|MultXD,AddRandomSubTreeR|AddTreeWithAdd|AddXD|SkipD|FellTreeD|AddRandomSubTreeR|AddTreeWithMult|AddTreeWithMult|AddTreeWithDiv|MutateNonTerminalR|AddRandomSubTreeR|MultXD|SubXD|MultXD|FellTreeD|DeleteTerminalR,FellTreeD,AddRandomSubTreeR,0,0,4,1,4
4,((((x)*(x))*((x)+((2)*(x))))/((3)*((x)*((x)+(5))))),20,-10,((((x)*((0)+(5)))*(((0)-(2))*((3)*(x))))*(((6)+((0)+(4)))+((7)*((8)+((x)-(x)))))),((x)*(9)),-0.028803495762130905,-0.0000004888126717176605,-0.9368098302787005,0.0022492774190474487,0.31514631173383034,0.026303807294804003,0.000053024436399763324,0.000005431483337112211,5.963257458563342,0.24959406089007055,42.39922859329541,0.5801215154967201,-0.8849099242140382,0.00854284157228522,0.8850409550774427,0.07377034044034662,2804.7373879828488,634.7533277112091,89103.43696918893,592.9748917300143,FellTreeD|AddXD|AddTreeWithDiv|MutateTerminalR|AddXD|AddRandomSubTreeR|FellTreeD|AddTreeWithSub|AddTreeWithSub|ReplaceBranchR|AddToLeafX|DivXD|AddTreeWithMult|MultXD|AddRandomSubTreeR|MultXD,AddRandomSubTreeR|AddTreeWithAdd|AddXD|SkipD|FellTreeD|AddRandomSubTreeR|AddTreeWithMult|AddTreeWithMult|AddTreeWithDiv|MutateNonTerminalR|AddRandomSubTreeR|MultXD|SubXD|MultXD|FellTreeD|DeleteTerminalR,AddRandomSubTreeR,AddRandomSubTreeR,0,0,5,2,4
5,((((x)*(x))*((x)+((2)*(x))))/((3)*((x)*((x)+(5))))),20,-10,((0)-(x)),((((x)*((7)+(0)))/((6)+((0)+(6))))*(((x)/(x))+((x)*((x)*(x))))),0.17121978214826986,0.00008754391892474086,-0.9497294098001894,-0.10340583226367477,0.013389061541211602,0.559876141968647,0.00003792421541705423,0.006893304814477609,0.03272512865681835,0.2250490562242026,-1.1977873612917576,-0.17275469458827208,-0.9401085887106915,0.10486847506469363,-0.9369831964334625,0.9503893518955664,613.482459919837,NaN,645.4966219035456,31.760879588295804,FellTreeD|AddXD|AddTreeWithDiv|MutateTerminalR|AddXD|AddRandomSubTreeR|FellTreeD|AddTreeWithSub|AddTreeWithSub|ReplaceBranchR|AddToLeafX|DivXD|AddTreeWithMult|MultXD|AddRandomSubTreeR|MultXD,AddRandomSubTreeR|AddTreeWithAdd|AddXD|SkipD|FellTreeD|AddRandomSubTreeR|AddTreeWithMult|AddTreeWithMult|AddTreeWithDiv|MutateNonTerminalR|AddRandomSubTreeR|MultXD|SubXD|MultXD|FellTreeD|DeleteTerminalR,AddXD,AddRandomSubTreeR,0,0,6,1,4
6,((((x)*(x))*((x)+((2)*(x))))/((3)*((x)*((x)+(5))))),20,-10,((((1)+((5)*(8)))*((8)*((7)*(7))))+(((8)-(2))-((3)-((6)/(4))))),(x),-0.1332345461934504,-0.00000018642847233667143,-0.9372678618687965,-0.0001223443698757478,0.21362036910247975,0.003690675190467618,0.000018237946183370645,0.00000010735316619780721,-1.333672257000953,0.12160363076553012,9.09244544993287,-0.01337405220430421,-0.9237582668215034,0.00068843197671694,0.7464720653025748,0.008255384467473688,1132.7329364808725,639.7628473586302,40402.829871667265,634.9177549537858,DeleteTerminalR|AddXD|MutateTerminalR|MutateTerminalR|SubXD|SubXD|FellTreeD|SubXD|AddTreeWithAdd|ReplaceBranchR|MutateTerminalR|DeleteNonTerminalR|AddTreeWithDiv|AddRandomSubTreeR|AddToLeafR|AddRandomSubTreeR,AddRandomSubTreeR|AddTreeWithAdd|AddXD|SkipD|FellTreeD|AddRandomSubTreeR|AddTreeWithMult|AddTreeWithMult|AddTreeWithDiv|MutateNonTerminalR|AddRandomSubTreeR|MultXD|SubXD|MultXD|FellTreeD|DeleteTerminalR,MutateTerminalR,AddRandomSubTreeR,0,0,2,3,4
7,((((x)*(x))*((x)+((2)*(x))))/((3)*((x)*((x)+(5))))),20,-10,(((8)*((8)*(9)))-((x)+((8)+(x)))),(0),NaN,0,-0.9377617171179498,0,0.0037166576492258948,0,0.0000000327729781848348,0,0.9853222309111861,NaN,4.075730354620893,NaN,-0.9369966254298003,0,-0.9103967195154388,0,645.3590653903452,640.2028758309526,917.828445601658,640.2028758309526,FellTreeD|AddXD|AddTreeWithDiv|MutateTerminalR|AddXD|AddRandomSubTreeR|FellTreeD|AddTreeWithSub|AddTreeWithSub|ReplaceBranchR|AddToLeafX|DivXD|AddTreeWithMult|MultXD|AddRandomSubTreeR|MultXD,AddRandomSubTreeR|AddTreeWithAdd|AddXD|SkipD|FellTreeD|AddRandomSubTreeR|AddTreeWithMult|AddTreeWithMult|AddTreeWithDiv|MutateNonTerminalR|AddRandomSubTreeR|MultXD|SubXD|MultXD|FellTreeD|DeleteTerminalR,FellTreeD,AddRandomSubTreeR,0,0,8,1,4
8,((((x)*(x))*((x)+((2)*(x))))/((3)*((x)*((x)+(5))))),20,-10,(((((x)-(2))*((x)*(3)))*(((7)+(9))+((0)/(3))))*(((3)-((4)+(2)))*((9)*((x)/((x)/(x)))))),((((3)+(8))-((1)+(5)))*((x)*((7)+(x)))),0.05589614647328808,0.000009850317857177554,-0.9620289373374167,-0.17750346737497325,0.02739423866268721,0.21900106886175943,0.000014159392035067007,0.0021932702447302246,0.05695933520596972,0.5468101374273724,0.44733700918396346,1.8248357074742283,-0.952962904005821,-0.023887513277085003,-0.9288741364741769,0.5915930611428913,NaN,NaN,728.5597180030694,261.463296765637,FellTreeD|AddXD|AddTreeWithDiv|MutateTerminalR|AddXD|AddRandomSubTreeR|FellTreeD|AddTreeWithSub|AddTreeWithSub|ReplaceBranchR|AddToLeafX|DivXD|AddTreeWithMult|MultXD|AddRandomSubTreeR|MultXD,AddRandomSubTreeR|AddTreeWithAdd|AddXD|SkipD|FellTreeD|AddRandomSubTreeR|AddTreeWithMult|AddTreeWithMult|AddTreeWithDiv|MutateNonTerminalR|AddRandomSubTreeR|MultXD|SubXD|MultXD|FellTreeD|DeleteTerminalR,FellTreeD,AddRandomSubTreeR,0,0,2,4,4
9,((((x)*(x))*((x)+((2)*(x))))/((3)*((x)*((x)+(5))))),20,-10,(((0)*(x))+((x)/(x))),((((x)-(2))-((0)*(0)))*((x)+((x)*(x)))),0.004077841139659853,0.0000000018876040932511418,-0.9375342245574159,-0.044136716264556744,0.00006524832663776445,0.07966977964724906,0.0000000002455205877424754,0.0008727167267336578,-0.48772988025027364,-0.6282585488052388,-0.062285197318952434,0.026588225027511125,-0.9375042944078739,0.009221703574160163,-0.9374880407512362,0.6138965735723046,640.1588871546189,634.5012801520436,640.3253773581747,247.18452396719525,FellTreeD|AddXD|AddTreeWithDiv|MutateTerminalR|AddXD|AddRandomSubTreeR|FellTreeD|AddTreeWithSub|AddTreeWithSub|ReplaceBranchR|AddToLeafX|DivXD|AddTreeWithMult|MultXD|AddRandomSubTreeR|MultXD,AddRandomSubTreeR|AddTreeWithAdd|AddXD|SkipD|FellTreeD|AddRandomSubTreeR|AddTreeWithMult|AddTreeWithMult|AddTreeWithDiv|MutateNonTerminalR|AddRandomSubTreeR|MultXD|SubXD|MultXD|FellTreeD|DeleteTerminalR,AddXD,AddRandomSubTreeR,0,0,3,2,4
10,((((x)*(x))*((x)+((2)*(x))))/((3)*((x)*((x)+(5))))),20,-10,(0),((((5)*(8))+((1)*(6)))*((9)*((x)-(x)))),NaN,0,-0.9374999999999999,-0.0612492628054052,0,0.08983803456889898,0,0.0010050957039245932,NaN,-0.3501109400222875,NaN,-0.4950193408475667,-0.9374999999999999,-0.006332036041365201,-0.9374999999999999,0.5874910425229773,640.2028758309526,652.5800137090944,640.2028758309526,264.08942088281805,FellTreeD|AddXD|AddTreeWithDiv|MutateTerminalR|AddXD|AddRandomSubTreeR|FellTreeD|AddTreeWithSub|AddTreeWithSub|ReplaceBranchR|AddToLeafX|DivXD|AddTreeWithMult|MultXD|AddRandomSubTreeR|MultXD,AddRandomSubTreeR|AddTreeWithAdd|AddXD|SkipD|FellTreeD|AddRandomSubTreeR|AddTreeWithMult|AddTreeWithMult|AddTreeWithDiv|MutateNonTerminalR|AddRandomSubTreeR|MultXD|SubXD|MultXD|FellTreeD|DeleteTerminalR,FellTreeD,AddRandomSubTreeR,0,0,1,3,4
