A,P,AEquation,PEquation,AGen,PGen,ARun,PRun,count,run
MutateTerminalR,AddXD,(((((x)+(5))*((x)+(7)))-(((7)-(0))*((3)*((x)*(x)))))+((((5)-(7))-((5)-(6)))*(((x)*(x))*((x)*((x)+(x)))))),(((x)*(2))*((x)*(x))),0,0,1,1,0,0
AddTreeWithAdd,SubXD,(((((x)+(5))*((x)+(7)))-(((7)-(0))*((3)*((x)*(x)))))+((((5)-(7))-((5)-(6)))*(((x)*(x))*((x)*((x)+(x)))))),(((x)*(2))*((x)*(x))),0,0,1,1,1,0
SubXD,SkipD,(((((x)+(5))*((x)+(7)))-(((7)-(0))*((3)*((x)*(x)))))+((((5)-(7))-((5)-(6)))*(((x)*(x))*((x)*((x)+(x)))))),(((x)*(2))*((x)*(x))),0,0,1,1,2,0
DeleteNonTerminalR,ReplaceBranchXR,(((((x)+(5))*((x)+(7)))-(((7)-(0))*((3)*((x)*(x)))))+((((5)-(7))-((5)-(6)))*(((x)*(x))*((x)*((x)+(x)))))),(((x)*(2))*((x)*(x))),0,0,1,1,3,0
SubXD,AddToLeafX,(((((x)+(5))*((x)+(7)))-(((7)-(0))*((3)*((x)*(x)))))+((((5)-(7))-((5)-(6)))*(((x)*(x))*((x)*((x)+(x)))))),(((x)*(2))*((x)*(x))),0,0,1,1,4,0
DeleteTerminalR,AddToLeafX,(((((x)+(5))*((x)+(7)))-(((7)-(0))*((3)*((x)*(x)))))+((((5)-(7))-((5)-(6)))*(((x)*(x))*((x)*((x)+(x)))))),(((x)*(2))*((x)*(x))),0,0,1,1,5,0
MutateNonTerminalR,AddToLeafX,(((((x)+(5))*((x)+(7)))-(((7)-(0))*((3)*((x)*(x)))))+((((5)-(7))-((5)-(6)))*(((x)*(x))*((x)*((x)+(x)))))),(((x)*(2))*((x)*(x))),0,0,1,1,6,0
AddToLeafR,ReplaceBranchXR,(((((x)+(5))*((x)+(7)))-(((7)-(0))*((3)*((x)*(x)))))+((((5)-(7))-((5)-(6)))*(((x)*(x))*((x)*((x)+(x)))))),(((x)*(2))*((x)*(x))),0,0,1,1,7,0
AddTreeWithDiv,MultXD,(((((x)+(5))*((x)+(7)))-(((7)-(0))*((3)*((x)*(x)))))+((((5)-(7))-((5)-(6)))*(((x)*(x))*((x)*((x)+(x)))))),(((x)*(2))*((x)*(x))),0,0,1,1,8,0
ReplaceBranchR,MultXD,(((((x)+(5))*((x)+(7)))-(((7)-(0))*((3)*((x)*(x)))))+((((5)-(7))-((5)-(6)))*(((x)*(x))*((x)*((x)+(x)))))),(((x)*(2))*((x)*(x))),0,0,1,1,9,0
AddToLeafR,AddToLeafR,(((((x)+(5))*((x)+(7)))-(((7)-(0))*((3)*((x)*(x)))))+((((5)-(7))-((5)-(6)))*(((x)*(x))*((x)*((x)+(x)))))),(((x)*(2))*((x)*(x))),0,0,1,1,10,0
DivXD,AddXD,(((((x)+(5))*((x)+(7)))-(((7)-(0))*((3)*((x)*(x)))))+((((5)-(7))-((5)-(6)))*(((x)*(x))*((x)*((x)+(x)))))),(((x)*(2))*((x)*(x))),0,0,1,1,11,0
DivXD,MultXD,(((((x)+(5))*((x)+(7)))-(((7)-(0))*((3)*((x)*(x)))))+((((5)-(7))-((5)-(6)))*(((x)*(x))*((x)*((x)+(x)))))),(((x)*(2))*((x)*(x))),0,0,1,1,12,0
FellTreeD,AddXD,(((((x)+(5))*((x)+(7)))-(((7)-(0))*((3)*((x)*(x)))))+((((5)-(7))-((5)-(6)))*(((x)*(x))*((x)*((x)+(x)))))),(((x)*(2))*((x)*(x))),0,0,1,1,13,0
AddTreeWithSub,SubXD,(((((x)+(5))*((x)+(7)))-(((7)-(0))*((3)*((x)*(x)))))+((((5)-(7))-((5)-(6)))*(((x)*(x))*((x)*((x)+(x)))))),(((x)*(2))*((x)*(x))),0,0,1,1,14,0
AddTreeWithMult,SubXD,(((((x)+(5))*((x)+(7)))-(((7)-(0))*((3)*((x)*(x)))))+((((5)-(7))-((5)-(6)))*(((x)*(x))*((x)*((x)+(x)))))),(((x)*(2))*((x)*(x))),0,0,1,1,15,0
