gen,specEquation,range,seed,topAEquation,topPEquation,correlation,covariance,AMean,PMean,AStd,PStd,AVar,PVar,ASkew,PSkew,AExKur,PExKur,topAMean,topPMean,topABest,topPBest,topAMeanDelta,topPMeanDelta,topABestDelta,topPBestDelta,topAStrat,topPStrat,topADomStrat,topPDomStrat,topABirthGen,topPBirthGen,topAAge,topPAge,run
0,((((x)*(x))*((x)+((2)*(x))))/((3)*((x)*((x)+(5))))),20,-10,(((((x)*(x))*((x)+((2)*(x))))*(((3)/(1))*((x)/((1)+(x)))))+((((5)/(x))*((x)/(x)))+(((x)/(x))*((2)*((x)+((x)*(x))))))),(((0)+((x)*(x)))*((x)+(x))),-0.08714163882709283,-0.00093979261505115,-0.9209460536823557,-0.14414044199975512,0.6660640020961313,0.1371201919077535,0.003358896862113491,0.034627085625698835,3.096102570226015,-1.5285106381153457,10.030021968428949,2.180366842294409,-0.6605885169531944,0.08149655315859311,0.9110464642767144,0.6087934318916176,NaN,588.8892592400406,115152.76970169767,250.45156994694383,AddTreeWithDiv|DivXD|AddTreeWithDiv|AddTreeWithAdd|ReplaceBranchXR|ReplaceBranchR|AddTreeWithMult|SkipD|SkipD|DeleteTerminalR|FellTreeD|AddTreeWithDiv|DeleteTerminalR|AddTreeWithMult|MultXD|AddTreeWithDiv,MutateNonTerminalR|SubXD|ReplaceBranchXR|AddToLeafX|SubXD|ReplaceBranchXR|ReplaceBranchR|AddTreeWithAdd|AddXD|AddTreeWithDiv|DivXD|AddTreeWithAdd|MultXD|SkipD|AddToLeafR|AddXD,AddTreeWithDiv,ReplaceBranchXR,0,0,1,1,0
1,((((x)*(x))*((x)+((2)*(x))))/((3)*((x)*((x)+(5))))),20,-10,((((0)-((8)*(x)))+((1)*((7)*(3))))+(((9)*(1))-((6)*((6)*((7)-(x)))))),(((0)+((9)*(9)))*((x)+(x))),-0.059885436016663636,-0.00014184439871794431,-0.9163068456352291,-0.011439200618576938,0.6202135081994163,0.1050512573393448,0.002756287064254558,0.0020354362394760144,3.689242002266267,-3.263469615249246,15.592747846823057,14.676704987721992,-0.6367964725962022,0.06459713311651723,0.9874502915980257,0.5588751839619006,25354.352996422167,598.9678839489161,816213.8661073389,282.40937582799114,SkipD|AddToLeafX|AddXD|AddRandomSubTreeR|MutateTerminalR|MultXD|DeleteTerminalR|DeleteTerminalR|SubXD|AddTreeWithDiv|AddRandomSubTreeR|ReplaceBranchR|ReplaceBranchXR|FellTreeD|AddRandomSubTreeR|AddTreeWithAdd,MutateNonTerminalR|SubXD|ReplaceBranchXR|AddToLeafX|SubXD|ReplaceBranchXR|ReplaceBranchR|AddTreeWithAdd|AddXD|AddTreeWithDiv|DivXD|AddTreeWithAdd|MultXD|SkipD|AddToLeafR|AddXD,AddRandomSubTreeR,ReplaceBranchXR,0,0,2,2,0
2,((((x)*(x))*((x)+((2)*(x))))/((3)*((x)*((x)+(5))))),20,-10,((((4)*((7)/(2)))-((x)*((5)*(x))))-(((9)*(x))*((x)/((x)*(x))))),(((0)+((x)*(9)))*((9)+(x))),-0.09176990710170072,-0.0001311911749551488,-0.9266858821367032,-0.01174565365852702,0.435977560028587,0.11533724978398797,0.0010425800639719685,0.0019601948461187456,3.2181972140466213,-2.5983809462878993,11.178057101865601,8.689785529152632,-0.7724953336331118,0.06145124341758559,0.841566899112335,0.5588751839619006,5268.971139185019,601.4278369663382,157768.82061571043,282.40937582799114,DeleteNonTerminalR|ReplaceBranchR|AddTreeWithDiv|FellTreeD|AddTreeWithAdd|AddTreeWithDiv|FellTreeD|MutateNonTerminalR|FellTreeD|DeleteTerminalR|DeleteNonTerminalR|AddRandomSubTreeR|AddTreeWithDiv|MultXD|ReplaceBranchR|MutateTerminalR,MutateNonTerminalR|SubXD|ReplaceBranchXR|AddToLeafX|SubXD|ReplaceBranchXR|ReplaceBranchR|AddTreeWithAdd|AddXD|AddTreeWithDiv|DivXD|AddTreeWithAdd|MultXD|SkipD|AddToLeafR|AddXD,AddTreeWithDiv,SubXD,0,0,3,3,0
3,((((x)*(x))*((x)+((2)*(x))))/((3)*((x)*((x)+(5))))),20,-10,(((x)*((x)*(x)))*((8)*((9)*(x)))),(((x)+((x)+(8)))*((x)+(x))),-0.362828347965107,-0.0005204903145403142,-0.9274124857724514,-0.24345352028466205,0.31026188860368126,0.016166932705441044,0.0002445515716729014,0.008414967128934941,1.1594143250937516,0.9581158542190334,0.8861291453734528,2.1150879131663047,-0.8843574918117127,0.013447861771800438,0.9585775018586661,0.08998786390416343,NaN,631.5942053681274,247287.01727127167,582.5923865696228,SkipD|AddToLeafX|AddXD|AddRandomSubTreeR|MutateTerminalR|MultXD|DeleteTerminalR|DeleteTerminalR|SubXD|AddTreeWithDiv|AddRandomSubTreeR|ReplaceBranchR|ReplaceBranchXR|FellTreeD|AddRandomSubTreeR|AddTreeWithAdd,MutateNonTerminalR|SubXD|ReplaceBranchXR|AddToLeafX|SubXD|ReplaceBranchXR|ReplaceBranchR|AddTreeWithAdd|AddXD|AddTreeWithDiv|DivXD|AddTreeWithAdd|MultXD|SkipD|AddToLeafR|AddXD,AddRandomSubTreeR,AddXD,0,0,1,4,0
4,((((x)*(x))*((x)+((2)*(x))))/((3)*((x)*((x)+(5))))),20,-10,(((((x)*(x))*((x)+(5)))*(((6)+(1))+((2)+((5)*(x)))))*(((x)-((7)*(5)))-(((2)*(x))+((x)+((7)*(x)))))),(((6)*((8)-(7)))-((6)/((1)*(x)))),-0.45003032347166816,-0.0020624739167150845,-0.9226161518552543,-0.1850619782005286,0.6716274582685058,0.22921636971644513,0.004273226743410167,0.004915157470911319,4.403314175032715,-0.6704648935638892,18.93865712679889,2.3971735435349033,-0.5869349193721534,-0.03672112415497707,0.9998487838392416,0.364461917440203,1096549.1282902115,2140.4101009898072,67739095.88713218,406.87330815487144,AddTreeWithDiv|DivXD|AddTreeWithDiv|AddTreeWithAdd|ReplaceBranchXR|ReplaceBranchR|AddTreeWithMult|SkipD|SkipD|DeleteTerminalR|FellTreeD|AddTreeWithDiv|DeleteTerminalR|AddTreeWithMult|MultXD|AddTreeWithDiv,MutateNonTerminalR|MutateTerminalR|SubXD|AddTreeWithMult|AddTreeWithAdd|FellTreeD|DivXD|DeleteNonTerminalR|MutateNonTerminalR|AddToLeafX|MutateTerminalR|AddTreeWithMult|FellTreeD|AddTreeWithDiv|MultXD|AddToLeafX,AddTreeWithDiv,AddToLeafX,0,0,5,2,0
5,((((x)*(x))*((x)+((2)*(x))))/((3)*((x)*((x)+(5))))),20,-10,(((((x)*(x))*((5)*(7)))-(((8)-(9))+((x)-((5)*(x)))))*(((3)*((x)*(9)))*(((9)+(7))*((5)*((4)*(x)))))),((x)*(9)),-0.7047941990232535,-0.010229301692950528,-0.9168932562235599,-0.2285240424134794,0.620976288604046,0.12626832546255248,0.003325825565905627,0.06333851336952315,2.7937761194566173,-1.0344999729334174,6.814483739963682,-0.6634287286298046,-0.6942807668729866,-0.013071516664202783,0.9999927598902962,0.07377034044034662,NaN,1140.5620371071213,1414791547.707058,592.9748917300143,AddTreeWithDiv|DivXD|AddTreeWithDiv|AddTreeWithAdd|ReplaceBranchXR|ReplaceBranchR|AddTreeWithMult|SkipD|SkipD|DeleteTerminalR|FellTreeD|AddTreeWithDiv|DeleteTerminalR|AddTreeWithMult|MultXD|AddTreeWithDiv,AddRandomSubTreeR|AddTreeWithSub|SkipD|AddToLeafR|FellTreeD|AddToLeafX|AddTreeWithDiv|MutateNonTerminalR|MutateNonTerminalR|SubXD|SkipD|SubXD|AddTreeWithAdd|SkipD|MultXD|AddTreeWithAdd,AddTreeWithDiv,SkipD,0,0,6,2,0
6,((((x)*(x))*((x)+((2)*(x))))/((3)*((x)*((x)+(5))))),20,-10,((((0)-(7))*((8)*(9)))*((2)*((x)*(9)))),((x)*((7)*(8))),-0.07056722363376568,-0.0000705862786854812,-0.8939366881359307,-0.05156654119088088,0.39330228210639984,0.018652544712626815,0.0011115436997244253,0.0009001356645265382,0.41523381995785935,-0.16904476587114503,-0.6500704652460763,-0.45104298609265747,-0.8100830508061224,0.008508959239219427,0.8070722949527113,0.42471043356171856,3053.0335055330142,634.8300358182253,53093.70165775054,368.30203486932965,AddTreeWithDiv|DivXD|AddTreeWithDiv|AddTreeWithAdd|ReplaceBranchXR|ReplaceBranchR|AddTreeWithMult|SkipD|SkipD|DeleteTerminalR|FellTreeD|AddTreeWithDiv|DeleteTerminalR|AddTreeWithMult|MultXD|AddTreeWithDiv,AddRandomSubTreeR|AddTreeWithSub|SkipD|AddToLeafR|FellTreeD|AddToLeafX|AddTreeWithDiv|MutateNonTerminalR|MutateNonTerminalR|SubXD|SkipD|SubXD|AddTreeWithAdd|SkipD|MultXD|AddTreeWithAdd,AddTreeWithDiv,SkipD,0,0,1,2,0
7,((((x)*(x))*((x)+((2)*(x))))/((3)*((x)*((x)+(5))))),20,-10,(((((x)+(0))*((6)*(7)))+(((x)+(8))*((9)/(6))))+(((2)*((x)-(6)))*(((5)-(7))+((x)*((x)*(x)))))),(((5)*((3)*(6)))*((x)-((x)+(8)))),0.03610818492928108,0.00007508396495127081,-0.8970913268398701,-0.3191816301271283,0.5391831588684259,0.3646535551607039,0.0013089606624188388,0.003303364409700126,1.6295171633843186,0.3475759484112774,5.534546029522732,-0.26882370839923597,-0.7328787966517758,-0.1756636599830446,0.972732118765412,0.5809616486175616,NaN,NaN,375652.436108684,268.2695576384983,AddTreeWithDiv|DivXD|AddTreeWithDiv|AddTreeWithAdd|ReplaceBranchXR|ReplaceBranchR|AddTreeWithMult|SkipD|SkipD|DeleteTerminalR|FellTreeD|AddTreeWithDiv|DeleteTerminalR|AddTreeWithMult|MultXD|AddTreeWithDiv,AddRandomSubTreeR|AddTreeWithSub|SkipD|AddToLeafR|FellTreeD|AddToLeafX|AddTreeWithDiv|MutateNonTerminalR|MutateNonTerminalR|SubXD|SkipD|SubXD|AddTreeWithAdd|SkipD|MultXD|AddTreeWithAdd,AddTreeWithDiv,SkipD,0,0,1,8,0
8,((((x)*(x))*((x)+((2)*(x))))/((3)*((x)*((x)+(5))))),20,-10,(((((0)-(7))*((x)*((x)+(4))))+(((2)*(9))*((x)*((x)*(6)))))*((((x)*(x))/((9)+(8)))*(((4)+(6))+((x)+((x)-((0)-(x))))))),(0),NaN,0,-0.9145691119349302,0,0.4530160248679286,0,0.001088266586736459,0,0.5035490595548551,NaN,-0.4060107683596823,NaN,-0.8342687926628926,0,0.999899574171356,0,1614176.1622425679,640.2028758309526,101998122.90932968,640.2028758309526,AddTreeWithDiv|DivXD|AddTreeWithDiv|AddTreeWithAdd|ReplaceBranchXR|ReplaceBranchR|AddTreeWithMult|SkipD|SkipD|DeleteTerminalR|FellTreeD|AddTreeWithDiv|DeleteTerminalR|AddTreeWithMult|MultXD|AddTreeWithDiv,AddRandomSubTreeR|AddTreeWithSub|SkipD|AddToLeafR|FellTreeD|AddToLeafX|AddTreeWithDiv|MutateNonTerminalR|MutateNonTerminalR|SubXD|SkipD|SubXD|AddTreeWithAdd|SkipD|MultXD|AddTreeWithAdd,AddTreeWithDiv,SkipD,0,0,9,9,0
9,((((x)*(x))*((x)+((2)*(x))))/((3)*((x)*((x)+(5))))),20,-10,(((((x)*((7)*(x)))*((7)-((3)*(1))))+(((1)-((2)+(5)))+((9)*((6)*(x)))))/((((3)*(x))*((0)*((4)+(5))))*(((x)-(x))*((x)+((x)*((x)/(x))))))),((((x)+((2)-(9)))+(((3)-(4))+((7)-(x))))-(((3)-(6))-((6)*((x)*((x)*(x)))))),-0.11825303574626575,-0.00031028641020411666,-0.8295449386029388,-0.7595467679229921,0.6429061007343068,0.48972536234388786,0.003014258162247724,0.002284128155023202,0.9389252570012356,0.3381331934994492,1.4771680607808322,-0.6809094000351363,-0.6490421311573829,-0.6584025528574581,0.9809678619260827,0.7986383143367062,NaN,NaN,538207.8447262397,128.91233024380907,AddTreeWithDiv|DivXD|AddTreeWithDiv|AddTreeWithAdd|ReplaceBranchXR|ReplaceBranchR|AddTreeWithMult|SkipD|SkipD|DeleteTerminalR|FellTreeD|AddTreeWithDiv|DeleteTerminalR|AddTreeWithMult|MultXD|AddTreeWithDiv,AddRandomSubTreeR|AddTreeWithSub|SkipD|AddToLeafR|FellTreeD|AddToLeafX|AddTreeWithDiv|MutateNonTerminalR|MutateNonTerminalR|SubXD|SkipD|SubXD|AddTreeWithAdd|SkipD|MultXD|AddTreeWithAdd,AddTreeWithDiv,SkipD,0,0,2,5,0
