gen,specEquation,range,seed,topAEquation,topPEquation,correlation,covariance,AMean,PMean,AStd,PStd,AVar,PVar,ASkew,PSkew,AExKur,PExKur,topAMean,topPMean,topABest,topPBest,topAMeanDelta,topPMeanDelta,topABestDelta,topPBestDelta,topAStrat,topPStrat,topADomStrat,topPDomStrat,topABirthGen,topPBirthGen,topAAge,topPAge,run
0,((((x)*(x))*((x)+((2)*(x))))/((3)*((x)*((x)+(5))))),20,-10,((((x)*((1)+(3)))*(((8)*(6))*((x)-(8))))*(((x)*((5)+(0)))*((x)*((x)-((7)*(x)))))),((8)+((8)*(x))),0.054318496267516524,0.0003614101388245688,-0.9315558318384028,-0.12864671621978027,0.6602818562598343,0.044137062844326835,0.00198837185003821,0.022264224908293363,4.736381657286205,-1.159358376675424,28.43206214003791,0.6764048288333862,-0.6426174877127799,0.043190422424621344,0.999987171286044,0.13021003299760708,12863914.099299219,612.5956597277373,798462421.7506374,556.8420382438413,MultXD|DeleteNonTerminalR|AddXD|DivXD|SkipD|AddTreeWithMult|ReplaceBranchR|AddTreeWithAdd|MultXD|AddTreeWithDiv|AddToLeafR|AddTreeWithDiv|AddTreeWithDiv|DeleteNonTerminalR|SkipD|MutateTerminalR,DivXD|AddTreeWithAdd|SubXD|AddToLeafX|AddToLeafR|SubXD|AddTreeWithSub|FellTreeD|MultXD|AddToLeafX|DivXD|DeleteTerminalR|AddXD|DeleteNonTerminalR|MultXD|AddTreeWithAdd,AddTreeWithDiv,DivXD,0,0,1,1,2
1,((((x)*(x))*((x)+((2)*(x))))/((3)*((x)*((x)+(5))))),20,-10,(((((x)*(9))+((8)*(x)))+(((2)*(3))*((x)+(2))))/(((2)*((x)*(6)))+(((8)*(x))*((x)+((5)*(x)))))),((x)*((9)*(8))),-0.02388468602614224,-0.00008239749452389866,-0.9185915610611938,-0.011134470869098894,0.681493080242183,0.12010629547738798,0.004219592713959449,0.002820450001505763,2.880514083698318,-4.308953410631507,8.378243329617003,19.821559907172176,-0.641493868205429,0.01781452081981371,0.9999174126250592,0.5163035069400439,2499830.8226794153,637.3344608447937,124029199.62814471,309.6638858863303,MultXD|DeleteNonTerminalR|AddXD|DivXD|SkipD|AddTreeWithMult|ReplaceBranchR|AddTreeWithAdd|MultXD|AddTreeWithDiv|AddToLeafR|AddTreeWithDiv|AddTreeWithDiv|DeleteNonTerminalR|SkipD|MutateTerminalR,ReplaceBranchR|ReplaceBranchR|DeleteNonTerminalR|MutateNonTerminalR|ReplaceBranchR|MultXD|SkipD|FellTreeD|MutateNonTerminalR|AddTreeWithAdd|AddRandomSubTreeR|SubXD|AddRandomSubTreeR|DeleteNonTerminalR|MutateTerminalR|ReplaceBranchR,AddTreeWithDiv,ReplaceBranchR,0,0,2,2,2
2,((((x)*(x))*((x)+((2)*(x))))/((3)*((x)*((x)+(5))))),20,-10,((((x)*(7))*((2)*(9)))-((2)*((x)*(x)))),(((0)+(x))*((9)+(x))),0.5766905090806458,0.00007601317600101279,-0.924047162029745,0.00062775023489473,0.4815801361139422,0.0146867572528689,0.002832631075307987,0.000006133411936792344,2.0526535071079186,3.020441287682333,3.630255553771892,8.144188267655098,-0.7391054867175765,0.010145441545232704,0.7585498420314115,0.08188780654933482,3998.9598571903703,633.7081925664174,42423.85301991741,587.7780665825798,MultXD|DeleteNonTerminalR|AddXD|DivXD|SkipD|AddTreeWithMult|ReplaceBranchR|AddTreeWithAdd|MultXD|AddTreeWithDiv|AddToLeafR|AddTreeWithDiv|AddTreeWithDiv|DeleteNonTerminalR|SkipD|MutateTerminalR,ReplaceBranchR|ReplaceBranchR|DeleteNonTerminalR|MutateNonTerminalR|ReplaceBranchR|MultXD|SkipD|FellTreeD|MutateNonTerminalR|AddTreeWithAdd|AddRandomSubTreeR|SubXD|AddRandomSubTreeR|DeleteNonTerminalR|MutateTerminalR|ReplaceBranchR,AddTreeWithDiv,ReplaceBranchR,0,0,3,3,2
3,((((x)*(x))*((x)+((2)*(x))))/((3)*((x)*((x)+(5))))),20,-10,(((((x)*(x))*((6)+(0)))+(((2)*(0))*((3)*((x)+(6)))))*(((0)*((x)+(6)))+(((5)*(x))/((x)-((x)*(x)))))),(((0)+((x)*(9)))*((8)+(x))),0.390073303862775,0.001846524850208076,-0.9139318678523708,-0.1629742433056589,0.4422807310358945,0.04085625452026571,0.0014374268511397898,0.015589496995939516,1.0330335800508428,0.09829930005323936,0.33875362215553917,-1.059091955222589,-0.7969121762615037,0.019851573354363834,0.8692247803508221,0.521158104952591,9579.177190639864,627.4951436674214,299556.6406042529,306.55595827769446,MultXD|DeleteNonTerminalR|AddXD|DivXD|SkipD|AddTreeWithMult|ReplaceBranchR|AddTreeWithAdd|MultXD|AddTreeWithDiv|AddToLeafR|AddTreeWithDiv|AddTreeWithDiv|DeleteNonTerminalR|SkipD|MutateTerminalR,ReplaceBranchR|ReplaceBranchR|DeleteNonTerminalR|MutateNonTerminalR|ReplaceBranchR|MultXD|SkipD|FellTreeD|MutateNonTerminalR|AddTreeWithAdd|AddRandomSubTreeR|SubXD|AddRandomSubTreeR|DeleteNonTerminalR|MutateTerminalR|ReplaceBranchR,AddTreeWithDiv,ReplaceBranchR,0,0,4,4,2
4,((((x)*(x))*((x)+((2)*(x))))/((3)*((x)*((x)+(5))))),20,-10,(((((x)*(8))+((x)-(5)))*(((x)*(x))+((4)-((6)-(3)))))/((((5)+(2))*((x)/(2)))+(((0)-(x))-((x)*((x)-(x)))))),((((x)-((8)*(0)))*((x)+((5)+(9))))*(((7)-(2))*((x)/((7)/(9))))),0.26984761726019596,0.00013511438522021226,-0.9393966747793515,-0.38797465911487616,0.2108089145060991,0.40167347416550037,0.000049829255794165444,0.005031316093039165,-3.008441242325768,0.147760137513676,9.095192012930674,0.4161683751844265,-0.9262251375853929,-0.20776296856346016,0.7149115282883733,0.37093875986173097,NaN,6738.79292413807,35930.06041877594,402.7268150103053,AddToLeafR|MutateTerminalR|MutateNonTerminalR|AddTreeWithSub|AddTreeWithSub|AddTreeWithMult|MutateTerminalR|AddRandomSubTreeR|DeleteTerminalR|AddRandomSubTreeR|AddTreeWithAdd|SkipD|MultXD|FellTreeD|SkipD|AddTreeWithSub,MutateNonTerminalR|AddTreeWithDiv|AddToLeafX|AddToLeafR|MutateNonTerminalR|ReplaceBranchR|AddTreeWithSub|DivXD|AddRandomSubTreeR|SubXD|AddTreeWithSub|AddToLeafX|AddXD|AddTreeWithMult|DivXD|FellTreeD,AddTreeWithSub,MutateNonTerminalR,1,0,3,4,2
5,((((x)*(x))*((x)+((2)*(x))))/((3)*((x)*((x)+(5))))),20,-10,((7)*((9)*(9))),(((9)*((x)-(5)))-((2)+(x))),0.22033923399347635,0.000009823934751088652,-0.9375492821417447,-0.18398157999842138,0.003433118501394645,0.12663021156960266,0.00000014142524368403423,0.014055954165153308,-0.18189414306447124,-0.5185977614015903,-0.287925017953659,-1.2177533758141235,-0.9368100242831664,-0.011159715882294294,-0.9115868944179907,0.0824606708907318,647.2704668416793,1139.2533672687218,905.637191275967,587.4113171837564,MultXD|DeleteNonTerminalR|AddXD|DivXD|SkipD|AddTreeWithMult|ReplaceBranchR|AddTreeWithAdd|MultXD|AddTreeWithDiv|AddToLeafR|AddTreeWithDiv|AddTreeWithDiv|DeleteNonTerminalR|SkipD|MutateTerminalR,ReplaceBranchR|ReplaceBranchR|DeleteNonTerminalR|MutateNonTerminalR|ReplaceBranchR|MultXD|SkipD|FellTreeD|MutateNonTerminalR|AddTreeWithAdd|AddRandomSubTreeR|SubXD|AddRandomSubTreeR|DeleteNonTerminalR|MutateTerminalR|ReplaceBranchR,AddTreeWithDiv,ReplaceBranchR,0,3,6,2,2
6,((((x)*(x))*((x)+((2)*(x))))/((3)*((x)*((x)+(5))))),20,-10,((((8)*(6))-((x)*(x)))-((x)*((x)+((x)+(0))))),((((x)+(x))+((1)*(x)))-((x)-((0)*((x)-(x))))),0.12113533676776111,0.000003092953718041888,-0.9379051217601362,-0.03295841325472668,0.05098545221652475,0.15695973780652686,0.0000019030451774731936,0.0003425752965881173,1.521059389514301,-0.4277539085694775,3.221426305070772,-0.5073895397389303,-0.9327661430021309,-0.004318630533145049,-0.5339964651109135,0.8068452588949324,688.6929376518844,648.4013422093985,4773.388850934126,123.65822073584738,MultXD|DeleteNonTerminalR|AddXD|DivXD|SkipD|AddTreeWithMult|ReplaceBranchR|AddTreeWithAdd|MultXD|AddTreeWithDiv|AddToLeafR|AddTreeWithDiv|AddTreeWithDiv|DeleteNonTerminalR|SkipD|MutateTerminalR,ReplaceBranchR|ReplaceBranchR|DeleteNonTerminalR|MutateNonTerminalR|ReplaceBranchR|MultXD|SkipD|FellTreeD|MutateNonTerminalR|AddTreeWithAdd|AddRandomSubTreeR|SubXD|AddRandomSubTreeR|DeleteNonTerminalR|MutateTerminalR|ReplaceBranchR,AddTreeWithDiv,ReplaceBranchR,0,3,7,3,2
7,((((x)*(x))*((x)+((2)*(x))))/((3)*((x)*((x)+(5))))),20,-10,(((((5)*(8))*((x)*((7)*(9))))+(((0)+(3))+((x)*((4)*(5)))))*((((9)*(5))/((4)+(1)))*(((2)+(x))-((x)+((x)+(x)))))),(((x)*(x))-((0)*(x))),0.018099917403708005,0.0000034713754816778574,-0.9461382041869295,-0.0008242251209655397,0.2405105702598489,0.22589063458453237,0.0000824196633988375,0.0004462920604834283,2.1145237944833277,0.342163486510023,5.319009199304263,-0.06772513307809191,-0.9106278652136416,0.057331138934750225,0.9368561403142197,0.6005462915314183,3140.165194189988,613.727783830074,162220.77751135608,255.73141292292496,MultXD|DeleteNonTerminalR|AddXD|DivXD|SkipD|AddTreeWithMult|ReplaceBranchR|AddTreeWithAdd|MultXD|AddTreeWithDiv|AddToLeafR|AddTreeWithDiv|AddTreeWithDiv|DeleteNonTerminalR|SkipD|MutateTerminalR,ReplaceBranchR|ReplaceBranchR|DeleteNonTerminalR|MutateNonTerminalR|ReplaceBranchR|MultXD|SkipD|FellTreeD|MutateNonTerminalR|AddTreeWithAdd|AddRandomSubTreeR|SubXD|AddRandomSubTreeR|DeleteNonTerminalR|MutateTerminalR|ReplaceBranchR,AddTreeWithDiv,ReplaceBranchR,5,0,2,8,2
8,((((x)*(x))*((x)+((2)*(x))))/((3)*((x)*((x)+(5))))),20,-10,(0),((((0)+(x))*((x)-(4)))-((5)/((8)-((x)*(x))))),NaN,0,-0.9374999999999999,-0.13436304408525573,0,0.267039140917461,0,0.0015786731250188955,NaN,0.06807205995557973,NaN,-0.6123430306620938,-0.9374999999999999,-0.05610807494729569,-0.9374999999999999,0.6149255545254464,640.2028758309526,2646.7644778916115,640.2028758309526,246.52576740181857,MultXD|DeleteNonTerminalR|AddXD|DivXD|SkipD|AddTreeWithMult|ReplaceBranchR|AddTreeWithAdd|MultXD|AddTreeWithDiv|AddToLeafR|AddTreeWithDiv|AddTreeWithDiv|DeleteNonTerminalR|SkipD|MutateTerminalR,ReplaceBranchR|ReplaceBranchR|DeleteNonTerminalR|MutateNonTerminalR|ReplaceBranchR|MultXD|SkipD|FellTreeD|MutateNonTerminalR|AddTreeWithAdd|AddRandomSubTreeR|SubXD|AddRandomSubTreeR|DeleteNonTerminalR|MutateTerminalR|ReplaceBranchR,AddTreeWithDiv,ReplaceBranchR,5,5,3,3,2
9,((((x)*(x))*((x)+((2)*(x))))/((3)*((x)*((x)+(5))))),20,-10,(((((x)*(6))*((8)*((x)*(x))))+(((6)+(4))-((4)*((x)/(6)))))-((((0)+(x))-((9)+(4)))+(((0)*(x))+((x)*((x)*(x)))))),(((x)-(9))+((x)+(x))),-0.04695180467543969,-0.0000025561565570355775,-0.6351414379873632,0.012270858256460612,0.7170620689770927,0.0056994019164345435,0.007200910655478119,0.0000004116071374571579,-0.04437871539235496,0.11692577213254556,-0.6721735956216088,-0.046525649185178874,-0.44406310122885284,0.013846761897008005,0.9993791551738853,0.02635434455259299,290234.917920655,631.3381451825497,16498882.784282723,623.3307486577428,MultXD|DeleteNonTerminalR|AddXD|DivXD|SkipD|AddTreeWithMult|ReplaceBranchR|AddTreeWithAdd|MultXD|AddTreeWithDiv|AddToLeafR|AddTreeWithDiv|AddTreeWithDiv|DeleteNonTerminalR|SkipD|MutateTerminalR,ReplaceBranchR|ReplaceBranchR|DeleteNonTerminalR|MutateNonTerminalR|ReplaceBranchR|MultXD|SkipD|FellTreeD|MutateNonTerminalR|AddTreeWithAdd|AddRandomSubTreeR|SubXD|AddRandomSubTreeR|DeleteNonTerminalR|MutateTerminalR|ReplaceBranchR,AddTreeWithDiv,ReplaceBranchR,3,6,6,3,2
10,((((x)*(x))*((x)+((2)*(x))))/((3)*((x)*((x)+(5))))),20,-10,((((8)*((x)+(5)))*(((x)+(x))-((0)*(8))))/(((4)*(x))*((x)*((1)+((x)+(x)))))),(((((x)*(8))+((x)-((5)*(6))))*(((0)*(1))+((3)+((x)-(1)))))-((((0)*(0))+((6)+(4)))+(((0)+(1))/((6)/((x)+(x)))))),-0.010418358503175185,-0.00000768740359127603,-0.9448722917178166,-0.2505300020892676,0.3213507892527323,0.34984872858824584,0.00018201329055146225,0.0029912841370115296,1.3733435006232566,-0.12418998489213257,2.12151108182425,-0.29071011007623104,-0.8941151971660241,-0.14527615239077998,0.9009534061507982,0.38672689824504103,NaN,NaN,103418.45807328378,392.6192034132932,MultXD|DeleteNonTerminalR|AddXD|DivXD|SkipD|AddTreeWithMult|ReplaceBranchR|AddTreeWithAdd|MultXD|AddTreeWithDiv|AddToLeafR|AddTreeWithDiv|AddTreeWithDiv|DeleteNonTerminalR|SkipD|MutateTerminalR,ReplaceBranchR|ReplaceBranchR|DeleteNonTerminalR|MutateNonTerminalR|ReplaceBranchR|MultXD|SkipD|FellTreeD|MutateNonTerminalR|AddTreeWithAdd|AddRandomSubTreeR|SubXD|AddRandomSubTreeR|DeleteNonTerminalR|MutateTerminalR|ReplaceBranchR,AddTreeWithDiv,ReplaceBranchR,8,7,2,3,2
