A,P,AEquation,PEquation,AGen,PGen,ARun,PRun,count,run
MultXD,AddRandomSubTreeR,((((9)*(8))*((x)*(x)))+((x)*((x)*(x)))),(((x)*(2))*((x)*(x))),0,0,2,0,0,0
DeleteNonTerminalR,AddXD,((((9)*(8))*((x)*(x)))+((x)*((x)*(x)))),(((x)*(2))*((x)*(x))),0,0,2,0,1,0
AddXD,AddTreeWithSub,((((9)*(8))*((x)*(x)))+((x)*((x)*(x)))),(((x)*(2))*((x)*(x))),0,0,2,0,2,0
DivXD,DeleteNonTerminalR,((((9)*(8))*((x)*(x)))+((x)*((x)*(x)))),(((x)*(2))*((x)*(x))),0,0,2,0,3,0
SkipD,AddToLeafX,((((9)*(8))*((x)*(x)))+((x)*((x)*(x)))),(((x)*(2))*((x)*(x))),0,0,2,0,4,0
AddTreeWithMult,MutateNonTerminalR,((((9)*(8))*((x)*(x)))+((x)*((x)*(x)))),(((x)*(2))*((x)*(x))),0,0,2,0,5,0
ReplaceBranchR,DeleteNonTerminalR,((((9)*(8))*((x)*(x)))+((x)*((x)*(x)))),(((x)*(2))*((x)*(x))),0,0,2,0,6,0
AddTreeWithAdd,FellTreeD,((((9)*(8))*((x)*(x)))+((x)*((x)*(x)))),(((x)*(2))*((x)*(x))),0,0,2,0,7,0
MultXD,DivXD,((((9)*(8))*((x)*(x)))+((x)*((x)*(x)))),(((x)*(2))*((x)*(x))),0,0,2,0,8,0
AddTreeWithDiv,AddTreeWithDiv,((((9)*(8))*((x)*(x)))+((x)*((x)*(x)))),(((x)*(2))*((x)*(x))),0,0,2,0,9,0
AddToLeafR,MutateTerminalR,((((9)*(8))*((x)*(x)))+((x)*((x)*(x)))),(((x)*(2))*((x)*(x))),0,0,2,0,10,0
AddTreeWithDiv,AddTreeWithAdd,((((9)*(8))*((x)*(x)))+((x)*((x)*(x)))),(((x)*(2))*((x)*(x))),0,0,2,0,11,0
AddTreeWithDiv,SkipD,((((9)*(8))*((x)*(x)))+((x)*((x)*(x)))),(((x)*(2))*((x)*(x))),0,0,2,0,12,0
DeleteNonTerminalR,AddToLeafX,((((9)*(8))*((x)*(x)))+((x)*((x)*(x)))),(((x)*(2))*((x)*(x))),0,0,2,0,13,0
SkipD,ReplaceBranchXR,((((9)*(8))*((x)*(x)))+((x)*((x)*(x)))),(((x)*(2))*((x)*(x))),0,0,2,0,14,0
MutateTerminalR,SubXD,((((9)*(8))*((x)*(x)))+((x)*((x)*(x)))),(((x)*(2))*((x)*(x))),0,0,2,0,15,0
