specEquation,range,seed,AID,PID,A,P,ADelta,PDelta,AStdDev,PStdDev,AAvgDelta,PAvgDelta,ABestDelta,PBestDelta,AEquation,PEquation,AStrat,PStrat,ADomStrat,PDomStrat,AGen,PGen,finA,finP,finAStdDev,finPStdDev,finADelta,finPDelta,finABestDelta,finPBestDelta,finAEquation,finPEquation,finAStrat,finPStrat,finADomStrat,finPDomStrat,epoch,run
(x),20,-10,ANTAGONIST-tqY,PROTAGONIST-9c1c2c1c2c2c2c1c2c1c1c2c2c2c1c2c1c2c2c1c1c2c1c2c1c2c1c2c2c2c2c1c1c2c1c2c2c1c1c1,0.9999980748739475,1,129861626.3,0,0.000019746597419761726,0,587403567.738,0,8300657713.5,0,(((((8)+(9))*((8)*(9)))*(((6)*(x))-((x)*(9))))+(((4)-((x)*(x)))-(((x)*(x))*((x)*((x)*(x)))))),((8)/(0)),AddTreeWithAdd|AddTreeWithMult|MultXD|AddToLeafR|MultXD|SubXD|MultXD|SubXD|MultXD|SubXD|MultXD|MultXD|AddTreeWithAdd|MultXD|MultXD,AddToLeafR|FellTreeD|DeleteTerminalR|DeleteMaliciousR|DeleteMaliciousR|AddTreeWithDiv|MutateNonTerminalR|FellTreeD|DeleteNonTerminalR|MutateTerminalR|DeleteNonTerminalR|MutateTerminalR|DeleteTerminalR|DivXD|DeleteTerminalR,MultXD,DeleteTerminalR,0,0,0.9999973243945965,1,0.0000029843546409016873,0,93436797.4,0,424189958.8,0,(((((9)+(9))+((9)+(6)))+(((3)*(x))*((x)-(x))))*(((x)-((x)*(x)))-(((x)*(x))*((x)*((x)*(x)))))),((8)/(0)),AddTreeWithAdd|AddXD|MultXD|AddTreeWithAdd|MultXD|SubXD|MultXD|SubXD|MultXD|SubXD|MultXD|MultXD|AddTreeWithAdd|MultXD|MultXD,AddToLeafR|FellTreeD|DeleteTerminalR|DeleteMaliciousR|DeleteMaliciousR|AddTreeWithDiv|MutateNonTerminalR|FellTreeD|DeleteNonTerminalR|MutateTerminalR|DeleteNonTerminalR|MutateTerminalR|DeleteTerminalR|DivXD|DeleteTerminalR,MultXD,DeleteTerminalR,0,9
(x),20,-10,ANTAGONIST-tqY,PROTAGONIST-9c1c2c1c2c2c2c1c2c1c1c2c2c2c1c2c1c2c2c1c1c2c1c2c1c2c1c2c2c2c2c1c1c2c1c2c2c1c1c1,0.9999994034954333,1,419108275,0,0.000019746597419761726,0,587403567.738,0,8300657713.5,0,(((((8)+(9))*((8)*(9)))*(((6)*(x))-((x)*(9))))+(((4)-((x)*(x)))-(((x)*(x))*((x)*((x)*(x)))))),((8)/(0)),AddTreeWithAdd|AddTreeWithMult|MultXD|AddToLeafR|MultXD|SubXD|MultXD|SubXD|MultXD|SubXD|MultXD|MultXD|AddTreeWithAdd|MultXD|MultXD,AddToLeafR|FellTreeD|DeleteTerminalR|DeleteMaliciousR|DeleteMaliciousR|AddTreeWithDiv|MutateNonTerminalR|FellTreeD|DeleteNonTerminalR|MutateTerminalR|DeleteNonTerminalR|MutateTerminalR|DeleteTerminalR|DivXD|DeleteTerminalR,MultXD,DeleteTerminalR,0,0,0.9999981109219694,1,0.0000029843546409016873,0,132339689.5,0,424189958.8,0,(((((9)+(9))+((9)+(6)))+(((3)*(x))*((x)-(x))))*(((x)-((x)*(x)))-(((x)*(x))*((x)*((x)*(x)))))),((8)/(0)),AddTreeWithAdd|AddXD|MultXD|AddTreeWithAdd|MultXD|SubXD|MultXD|SubXD|MultXD|SubXD|MultXD|MultXD|AddTreeWithAdd|MultXD|MultXD,AddToLeafR|FellTreeD|DeleteTerminalR|DeleteMaliciousR|DeleteMaliciousR|AddTreeWithDiv|MutateNonTerminalR|FellTreeD|DeleteNonTerminalR|MutateTerminalR|DeleteNonTerminalR|MutateTerminalR|DeleteTerminalR|DivXD|DeleteTerminalR,MultXD,DeleteTerminalR,1,9
(x),20,-10,ANTAGONIST-tqY,PROTAGONIST-9c1c2c1c2c2c2c1c2c1c1c2c2c2c1c2c1c2c2c1c1c2c1c2c1c2c1c2c2c2c2c1c1c2c1c2c2c1c1c1,0.9999982074966527,1,139469753.5,0,0.000019746597419761726,0,587403567.738,0,8300657713.5,0,(((((8)+(9))*((8)*(9)))*(((6)*(x))-((x)*(9))))+(((4)-((x)*(x)))-(((x)*(x))*((x)*((x)*(x)))))),((8)/(0)),AddTreeWithAdd|AddTreeWithMult|MultXD|AddToLeafR|MultXD|SubXD|MultXD|SubXD|MultXD|SubXD|MultXD|MultXD|AddTreeWithAdd|MultXD|MultXD,AddToLeafR|FellTreeD|DeleteTerminalR|DeleteMaliciousR|DeleteMaliciousR|AddTreeWithDiv|MutateNonTerminalR|FellTreeD|DeleteNonTerminalR|MutateTerminalR|DeleteNonTerminalR|MutateTerminalR|DeleteTerminalR|DivXD|DeleteTerminalR,MultXD,DeleteTerminalR,0,0,0.9999989266348902,1,0.0000029843546409016873,0,232912359.2,0,424189958.8,0,(((((9)+(9))+((9)+(6)))+(((3)*(x))*((x)-(x))))*(((x)-((x)*(x)))-(((x)*(x))*((x)*((x)*(x)))))),((8)/(0)),AddTreeWithAdd|AddXD|MultXD|AddTreeWithAdd|MultXD|SubXD|MultXD|SubXD|MultXD|SubXD|MultXD|MultXD|AddTreeWithAdd|MultXD|MultXD,AddToLeafR|FellTreeD|DeleteTerminalR|DeleteMaliciousR|DeleteMaliciousR|AddTreeWithDiv|MutateNonTerminalR|FellTreeD|DeleteNonTerminalR|MutateTerminalR|DeleteNonTerminalR|MutateTerminalR|DeleteTerminalR|DivXD|DeleteTerminalR,MultXD,DeleteTerminalR,2,9
(x),20,-10,ANTAGONIST-tqY,PROTAGONIST-9c1c2c1c2c2c2c1c2c1c1c2c2c2c1c2c1c2c2c1c1c2c1c2c1c2c1c2c2c2c2c1c1c2c1c2c2c1c1c1,0.9999996672364622,1,751284235,0,0.000019746597419761726,0,587403567.738,0,8300657713.5,0,(((((8)+(9))*((8)*(9)))*(((6)*(x))-((x)*(9))))+(((4)-((x)*(x)))-(((x)*(x))*((x)*((x)*(x)))))),((8)/(0)),AddTreeWithAdd|AddTreeWithMult|MultXD|AddToLeafR|MultXD|SubXD|MultXD|SubXD|MultXD|SubXD|MultXD|MultXD|AddTreeWithAdd|MultXD|MultXD,AddToLeafR|FellTreeD|DeleteTerminalR|DeleteMaliciousR|DeleteMaliciousR|AddTreeWithDiv|MutateNonTerminalR|FellTreeD|DeleteNonTerminalR|MutateTerminalR|DeleteNonTerminalR|MutateTerminalR|DeleteTerminalR|DivXD|DeleteTerminalR,MultXD,DeleteTerminalR,0,0,0.9999992685310898,1,0.0000029843546409016873,0,341778025.7,0,424189958.8,0,(((((9)+(9))+((9)+(6)))+(((3)*(x))*((x)-(x))))*(((x)-((x)*(x)))-(((x)*(x))*((x)*((x)*(x)))))),((8)/(0)),AddTreeWithAdd|AddXD|MultXD|AddTreeWithAdd|MultXD|SubXD|MultXD|SubXD|MultXD|SubXD|MultXD|MultXD|AddTreeWithAdd|MultXD|MultXD,AddToLeafR|FellTreeD|DeleteTerminalR|DeleteMaliciousR|DeleteMaliciousR|AddTreeWithDiv|MutateNonTerminalR|FellTreeD|DeleteNonTerminalR|MutateTerminalR|DeleteNonTerminalR|MutateTerminalR|DeleteTerminalR|DivXD|DeleteTerminalR,MultXD,DeleteTerminalR,3,9
(x),20,-10,ANTAGONIST-tqY,PROTAGONIST-9c1c2c1c2c2c2c1c2c1c1c2c2c2c1c2c1c2c2c1c1c2c1c2c1c2c1c2c2c2c2c1c1c2c1c2c2c1c1c1,0.9999991851788207,1,306815785.3,0,0.000019746597419761726,0,587403567.738,0,8300657713.5,0,(((((8)+(9))*((8)*(9)))*(((6)*(x))-((x)*(9))))+(((4)-((x)*(x)))-(((x)*(x))*((x)*((x)*(x)))))),((8)/(0)),AddTreeWithAdd|AddTreeWithMult|MultXD|AddToLeafR|MultXD|SubXD|MultXD|SubXD|MultXD|SubXD|MultXD|MultXD|AddTreeWithAdd|MultXD|MultXD,AddToLeafR|FellTreeD|DeleteTerminalR|DeleteMaliciousR|DeleteMaliciousR|AddTreeWithDiv|MutateNonTerminalR|FellTreeD|DeleteNonTerminalR|MutateTerminalR|DeleteNonTerminalR|MutateTerminalR|DeleteTerminalR|DivXD|DeleteTerminalR,MultXD,DeleteTerminalR,0,0,0.9999990338296203,1,0.0000029843546409016873,0,258753533.8,0,424189958.8,0,(((((9)+(9))+((9)+(6)))+(((3)*(x))*((x)-(x))))*(((x)-((x)*(x)))-(((x)*(x))*((x)*((x)*(x)))))),((8)/(0)),AddTreeWithAdd|AddXD|MultXD|AddTreeWithAdd|MultXD|SubXD|MultXD|SubXD|MultXD|SubXD|MultXD|MultXD|AddTreeWithAdd|MultXD|MultXD,AddToLeafR|FellTreeD|DeleteTerminalR|DeleteMaliciousR|DeleteMaliciousR|AddTreeWithDiv|MutateNonTerminalR|FellTreeD|DeleteNonTerminalR|MutateTerminalR|DeleteNonTerminalR|MutateTerminalR|DeleteTerminalR|DivXD|DeleteTerminalR,MultXD,DeleteTerminalR,4,9
(x),20,-10,ANTAGONIST-tqY,PROTAGONIST-9c1c2c1c2c2c2c1c2c1c1c2c2c2c1c2c1c2c2c1c1c2c1c2c1c2c1c2c2c2c2c1c1c2c1c2c2c1c1c1,0.999999402686507,1,418540687.5,0,0.000019746597419761726,0,587403567.738,0,8300657713.5,0,(((((8)+(9))*((8)*(9)))*(((6)*(x))-((x)*(9))))+(((4)-((x)*(x)))-(((x)*(x))*((x)*((x)*(x)))))),((8)/(0)),AddTreeWithAdd|AddTreeWithMult|MultXD|AddToLeafR|MultXD|SubXD|MultXD|SubXD|MultXD|SubXD|MultXD|MultXD|AddTreeWithAdd|MultXD|MultXD,AddToLeafR|FellTreeD|DeleteTerminalR|DeleteMaliciousR|DeleteMaliciousR|AddTreeWithDiv|MutateNonTerminalR|FellTreeD|DeleteNonTerminalR|MutateTerminalR|DeleteNonTerminalR|MutateTerminalR|DeleteTerminalR|DivXD|DeleteTerminalR,MultXD,DeleteTerminalR,0,0,0.9999981974155868,1,0.0000029843546409016873,0,138689760.2,0,424189958.8,0,(((((9)+(9))+((9)+(6)))+(((3)*(x))*((x)-(x))))*(((x)-((x)*(x)))-(((x)*(x))*((x)*((x)*(x)))))),((8)/(0)),AddTreeWithAdd|AddXD|MultXD|AddTreeWithAdd|MultXD|SubXD|MultXD|SubXD|MultXD|SubXD|MultXD|MultXD|AddTreeWithAdd|MultXD|MultXD,AddToLeafR|FellTreeD|DeleteTerminalR|DeleteMaliciousR|DeleteMaliciousR|AddTreeWithDiv|MutateNonTerminalR|FellTreeD|DeleteNonTerminalR|MutateTerminalR|DeleteNonTerminalR|MutateTerminalR|DeleteTerminalR|DivXD|DeleteTerminalR,MultXD,DeleteTerminalR,5,9
(x),20,-10,ANTAGONIST-tqY,PROTAGONIST-9c1c2c1c2c2c2c1c2c1c1c2c2c2c1c2c1c2c2c1c1c2c1c2c1c2c1c2c2c2c2c1c1c2c1c2c2c1c1c1,0.9999995372744388,1,540277047.5,0,0.000019746597419761726,0,587403567.738,0,8300657713.5,0,(((((8)+(9))*((8)*(9)))*(((6)*(x))-((x)*(9))))+(((4)-((x)*(x)))-(((x)*(x))*((x)*((x)*(x)))))),((8)/(0)),AddTreeWithAdd|AddTreeWithMult|MultXD|AddToLeafR|MultXD|SubXD|MultXD|SubXD|MultXD|SubXD|MultXD|MultXD|AddTreeWithAdd|MultXD|MultXD,AddToLeafR|FellTreeD|DeleteTerminalR|DeleteMaliciousR|DeleteMaliciousR|AddTreeWithDiv|MutateNonTerminalR|FellTreeD|DeleteNonTerminalR|MutateTerminalR|DeleteNonTerminalR|MutateTerminalR|DeleteTerminalR|DivXD|DeleteTerminalR,MultXD,DeleteTerminalR,0,0,0.9999970983403144,1,0.0000029843546409016873,0,86157588.1,0,424189958.8,0,(((((9)+(9))+((9)+(6)))+(((3)*(x))*((x)-(x))))*(((x)-((x)*(x)))-(((x)*(x))*((x)*((x)*(x)))))),((8)/(0)),AddTreeWithAdd|AddXD|MultXD|AddTreeWithAdd|MultXD|SubXD|MultXD|SubXD|MultXD|SubXD|MultXD|MultXD|AddTreeWithAdd|MultXD|MultXD,AddToLeafR|FellTreeD|DeleteTerminalR|DeleteMaliciousR|DeleteMaliciousR|AddTreeWithDiv|MutateNonTerminalR|FellTreeD|DeleteNonTerminalR|MutateTerminalR|DeleteNonTerminalR|MutateTerminalR|DeleteTerminalR|DivXD|DeleteTerminalR,MultXD,DeleteTerminalR,6,9
(x),20,-10,ANTAGONIST-tqY,PROTAGONIST-9c1c2c1c2c2c2c1c2c1c1c2c2c2c1c2c1c2c2c1c1c2c1c2c1c2c1c2c2c2c2c1c1c2c1c2c2c1c1c1,0.9999994379859773,1,444828758.6,0,0.000019746597419761726,0,587403567.738,0,8300657713.5,0,(((((8)+(9))*((8)*(9)))*(((6)*(x))-((x)*(9))))+(((4)-((x)*(x)))-(((x)*(x))*((x)*((x)*(x)))))),((8)/(0)),AddTreeWithAdd|AddTreeWithMult|MultXD|AddToLeafR|MultXD|SubXD|MultXD|SubXD|MultXD|SubXD|MultXD|MultXD|AddTreeWithAdd|MultXD|MultXD,AddToLeafR|FellTreeD|DeleteTerminalR|DeleteMaliciousR|DeleteMaliciousR|AddTreeWithDiv|MutateNonTerminalR|FellTreeD|DeleteNonTerminalR|MutateTerminalR|DeleteNonTerminalR|MutateTerminalR|DeleteTerminalR|DivXD|DeleteTerminalR,MultXD,DeleteTerminalR,0,0,0.9999992885001976,1,0.0000029843546409016873,0,351370441.9,0,424189958.8,0,(((((9)+(9))+((9)+(6)))+(((3)*(x))*((x)-(x))))*(((x)-((x)*(x)))-(((x)*(x))*((x)*((x)*(x)))))),((8)/(0)),AddTreeWithAdd|AddXD|MultXD|AddTreeWithAdd|MultXD|SubXD|MultXD|SubXD|MultXD|SubXD|MultXD|MultXD|AddTreeWithAdd|MultXD|MultXD,AddToLeafR|FellTreeD|DeleteTerminalR|DeleteMaliciousR|DeleteMaliciousR|AddTreeWithDiv|MutateNonTerminalR|FellTreeD|DeleteNonTerminalR|MutateTerminalR|DeleteNonTerminalR|MutateTerminalR|DeleteTerminalR|DivXD|DeleteTerminalR,MultXD,DeleteTerminalR,7,9
(x),20,-10,ANTAGONIST-tqY,PROTAGONIST-9c1c2c1c2c2c2c1c2c1c1c2c2c2c1c2c1c2c2c1c1c2c1c2c1c2c1c2c2c2c2c1c1c2c1c2c2c1c1c1,0.9999996387620242,1,692064557.9,0,0.000019746597419761726,0,587403567.738,0,8300657713.5,0,(((((8)+(9))*((8)*(9)))*(((6)*(x))-((x)*(9))))+(((4)-((x)*(x)))-(((x)*(x))*((x)*((x)*(x)))))),((8)/(0)),AddTreeWithAdd|AddTreeWithMult|MultXD|AddToLeafR|MultXD|SubXD|MultXD|SubXD|MultXD|SubXD|MultXD|MultXD|AddTreeWithAdd|MultXD|MultXD,AddToLeafR|FellTreeD|DeleteTerminalR|DeleteMaliciousR|DeleteMaliciousR|AddTreeWithDiv|MutateNonTerminalR|FellTreeD|DeleteNonTerminalR|MutateTerminalR|DeleteNonTerminalR|MutateTerminalR|DeleteTerminalR|DivXD|DeleteTerminalR,MultXD,DeleteTerminalR,0,0,0.9999983267414095,1,0.0000029843546409016873,0,149409064.1,0,424189958.8,0,(((((9)+(9))+((9)+(6)))+(((3)*(x))*((x)-(x))))*(((x)-((x)*(x)))-(((x)*(x))*((x)*((x)*(x)))))),((8)/(0)),AddTreeWithAdd|AddXD|MultXD|AddTreeWithAdd|MultXD|SubXD|MultXD|SubXD|MultXD|SubXD|MultXD|MultXD|AddTreeWithAdd|MultXD|MultXD,AddToLeafR|FellTreeD|DeleteTerminalR|DeleteMaliciousR|DeleteMaliciousR|AddTreeWithDiv|MutateNonTerminalR|FellTreeD|DeleteNonTerminalR|MutateTerminalR|DeleteNonTerminalR|MutateTerminalR|DeleteTerminalR|DivXD|DeleteTerminalR,MultXD,DeleteTerminalR,8,9
(x),20,-10,ANTAGONIST-tqY,PROTAGONIST-9c1c2c1c2c2c2c1c2c1c1c2c2c2c1c2c1c2c2c1c1c2c1c2c1c2c1c2c2c2c2c1c1c2c1c2c2c1c1c1,0.99999964027329,1,694972024.7,0,0.000019746597419761726,0,587403567.738,0,8300657713.5,0,(((((8)+(9))*((8)*(9)))*(((6)*(x))-((x)*(9))))+(((4)-((x)*(x)))-(((x)*(x))*((x)*((x)*(x)))))),((8)/(0)),AddTreeWithAdd|AddTreeWithMult|MultXD|AddToLeafR|MultXD|SubXD|MultXD|SubXD|MultXD|SubXD|MultXD|MultXD|AddTreeWithAdd|MultXD|MultXD,AddToLeafR|FellTreeD|DeleteTerminalR|DeleteMaliciousR|DeleteMaliciousR|AddTreeWithDiv|MutateNonTerminalR|FellTreeD|DeleteNonTerminalR|MutateTerminalR|DeleteNonTerminalR|MutateTerminalR|DeleteTerminalR|DivXD|DeleteTerminalR,MultXD,DeleteTerminalR,0,0,0.9999985872047275,1,0.0000029843546409016873,0,176954159.5,0,424189958.8,0,(((((9)+(9))+((9)+(6)))+(((3)*(x))*((x)-(x))))*(((x)-((x)*(x)))-(((x)*(x))*((x)*((x)*(x)))))),((8)/(0)),AddTreeWithAdd|AddXD|MultXD|AddTreeWithAdd|MultXD|SubXD|MultXD|SubXD|MultXD|SubXD|MultXD|MultXD|AddTreeWithAdd|MultXD|MultXD,AddToLeafR|FellTreeD|DeleteTerminalR|DeleteMaliciousR|DeleteMaliciousR|AddTreeWithDiv|MutateNonTerminalR|FellTreeD|DeleteNonTerminalR|MutateTerminalR|DeleteNonTerminalR|MutateTerminalR|DeleteTerminalR|DivXD|DeleteTerminalR,MultXD,DeleteTerminalR,9,9
