gen,specEquation,range,seed,AGenFitAvg,PGenFitAvg,AGenBestFitAvg,PGenBestFitAvg,AGenDeltaAvg,PGenDeltaAvg,AGenBestDeltaAvg,PGenBestDeltaAvg,topABestFit,topPBestFit,topAStdDev,topPStdDev,topAAvgDelta,topPAvgtDelta,topABestDelta,topPBestDelta,topAEquation,topPEquation,topAStrat,topPStrat,topADomStrat,topPDomStrat,topABirthGen,topPBirthGen,topAAge,topPAge,run
0,(x),20,-10,-0.019748101643467644,-0.013451993459585422,-0.019,0.02,0.06297458913308913,235.83439307142854,0.25,0,0.999862213092523,1,0.8384760206977779,0,25277.669000000005,0,1814395.9,0,((((9)-(x))*((9)*(9)))*((7)*((8)*((x)*(8))))),((0)+(x)),MutateTerminalR|SubXD|AddTreeWithDiv|AddTreeWithSub|FellTreeD|MultXD|AddTreeWithMult|AddTreeWithAdd|ReplaceBranchR|AddTreeWithMult|MutateTerminalR|AddTreeWithSub|MutateTerminalR|AddTreeWithMult|AddTreeWithMult,MutateNonTerminalR|MutateTerminalR|AddTreeWithAdd|AddTreeWithMult|DivXD|DeleteNonTerminalR|DeleteNonTerminalR|AddRandomSubTreeR|AddXD|AddTreeWithAdd|AddTreeWithMult|AddXD|FellTreeD|FellTreeD|AddXD,AddTreeWithMult,AddXD,0,0,1,1,1
1,(x),20,-10,-0.01961382978526077,-0.0065025453637402465,-0.01149,0.02,0.09654255368480726,39.219339499703665,2.1275,0,0.9977955116617433,1,0.8318882887844649,0,6864.936217697516,0,113405,0,((((6)*((8)-(6)))*((1)-((0)+(6))))*(((6)*(9))/((4)*((x)*((3)*(8)))))),((0)+(x)),ReplaceBranchR|AddTreeWithMult|SkipD|MultXD|DivXD|MutateNonTerminalR|AddToLeafR|AddTreeWithSub|SkipD|MultXD|AddTreeWithDiv|AddTreeWithAdd|AddTreeWithMult|SkipD|AddTreeWithMult,DeleteTerminalR|FellTreeD|DeleteMaliciousR|AddTreeWithDiv|AddTreeWithMult|DivXD|MutateTerminalR|AddRandomSubTreeR|AddXD|AddTreeWithAdd|AddTreeWithMult|AddXD|FellTreeD|FellTreeD|AddXD,AddTreeWithMult,AddXD,1,1,2,2,1
2,(x),20,-10,-0.01960839405398056,-0.007847700777462337,-0.016293333333333337,0.02,0.09790148650486019,143.53761940741865,0.9266666666666665,0,0.9995034332624236,1,0.7698348837701291,0,19388.351,0,503457,0,((((8)-((8)-(0)))+((x)*((6)*(6))))*(((4)*(9))*((7)*((x)-(x))))),((0)+(x)),MultXD|ReplaceBranchR|SkipD|MultXD|AddRandomSubTreeR|MutateNonTerminalR|AddToLeafR|MutateTerminalR|AddTreeWithMult|SubXD|AddTreeWithMult|AddToLeafR|AddToLeafR|MutateNonTerminalR|AddTreeWithMult,MutateNonTerminalR|MutateTerminalR|AddTreeWithAdd|AddTreeWithSub|DivXD|MutateTerminalR|AddTreeWithMult|AddRandomSubTreeR|AddXD|AddTreeWithAdd|AddTreeWithMult|AddXD|FellTreeD|FellTreeD|AddXD,AddTreeWithMult,AddXD,2,2,3,3,1
3,(x),20,-10,-0.01894984,-0.01129000406674035,-0.014879999999999999,0.02,0.26254,1653.7421532808858,1.28,0,0.9999916750864842,1,0.7095521644620596,0,397350.5315,0,30030342,0,((((7)*((9)*(8)))*(((1)*(2))+((6)*(4))))*(((x)-((5)*(7)))*((7)*((x)-((x)-(x)))))),((((x)*(3))/((0)-(3)))+((3)-((x)+(x)))),MultXD|SubXD|AddTreeWithMult|AddTreeWithDiv|AddTreeWithSub|SubXD|AddToLeafR|MutateTerminalR|AddTreeWithMult|SubXD|AddTreeWithMult|AddToLeafR|AddToLeafR|MutateNonTerminalR|AddTreeWithMult,ReplaceBranchR|DeleteMaliciousR|SkipD|DivXD|SubXD|DivXD|SkipD|AddRandomSubTreeR|AddTreeWithMult|DeleteTerminalR|AddTreeWithMult|AddXD|FellTreeD|FellTreeD|AddXD,AddTreeWithMult,DivXD,3,3,4,4,1
4,(x),20,-10,-0.017016077883597883,0.01359694841168603,0.0014814814814814814,0.02,0.74628,197.91980999999998,5.4,0,0.9999996370320675,1,0.807810618085625,0,7714307.977296149,0,688766080,0,((((4)+((1)*(4)))*(((4)*(x))*((x)*(8))))*(((x)*(x))*((x)-((x)*((7)*(9)))))),((0)+(x)),ReplaceBranchR|AddTreeWithMult|SkipD|MultXD|DivXD|MutateNonTerminalR|AddToLeafR|AddRandomSubTreeR|MultXD|SubXD|AddTreeWithMult|AddToLeafR|MultXD|SkipD|AddTreeWithMult,DeleteTerminalR|FellTreeD|DeleteMaliciousR|AddTreeWithDiv|AddTreeWithMult|DivXD|AddTreeWithMult|SubXD|AddRandomSubTreeR|MutateTerminalR|ReplaceBranchR|AddXD|FellTreeD|FellTreeD|AddXD,AddTreeWithMult,FellTreeD,4,3,5,5,1
5,(x),20,-10,-0.01609922956829492,-0.004299846468812623,0.019042053836574382,0.02,1.9740527226953184,4.446440008752678,104.39,0,0.9999990569116786,1,0.4705745709186468,0,16036512.739277778,0,265086518.75,0,(((((9)*(x))*((5)*(x)))-(((x)*(9))/((2)*(x))))-(((x)*((x)*(x)))*((x)-((x)*((x)-(x)))))),((0)+(x)),MultXD|SubXD|AddTreeWithMult|MultXD|AddToLeafR|MultXD|SubXD|MultXD|SkipD|MultXD|MultXD|SubXD|MultXD|SubXD|AddTreeWithDiv,MutateNonTerminalR|MutateTerminalR|ReplaceBranchR|AddTreeWithSub|DivXD|MutateTerminalR|AddTreeWithMult|AddRandomSubTreeR|AddXD|AddTreeWithAdd|AddTreeWithMult|AddXD|FellTreeD|FellTreeD|AddXD,MultXD,AddXD,5,4,6,6,1
6,(x),20,-10,-0.008571425572604659,0,0.019078765545831412,0.02,6.796022960317461,0.1,108.55,0,0.9999996205159407,1,0.882854537456354,0,55165817.664500006,0,658789200.5,0,((((5)*((6)*(x)))*((2)*((9)*(5))))*(((4)*(5))*((6)*((x)*((x)*(x)))))),((0)+(x)),ReplaceBranchR|AddTreeWithMult|MultXD|MultXD|MultXD|AddTreeWithMult|AddToLeafR|MutateTerminalR|MultXD|MultXD|MutateTerminalR|MultXD|SkipD|AddToLeafR|SkipD,MutateNonTerminalR|DivXD|DeleteMaliciousR|AddTreeWithDiv|AddTreeWithMult|DivXD|AddTreeWithMult|DeleteMaliciousR|DivXD|MutateNonTerminalR|SubXD|DeleteTerminalR|FellTreeD|FellTreeD|AddXD,MultXD,DivXD,6,4,7,7,1
7,(x),20,-10,-0.019600000000000006,0,-0.0196,0,0.1,0.1,0.1,0.1,0.9999993476035216,1,0.32271072261369044,0,12690877.235,0,383202559,0,((((1)-((2)+(7)))*(((9)*(x))*((x)*(4))))*(((9)*((x)*(x)))-((x)*((x)-((x)*(x)))))),((0)+(x)),MultXD|AddRandomSubTreeR|SkipD|MultXD|MultXD|AddTreeWithMult|SkipD|AddTreeWithSub|AddRandomSubTreeR|MultXD|AddTreeWithAdd|SubXD|MultXD|SubXD|MultXD,MutateNonTerminalR|DivXD|DeleteMaliciousR|AddTreeWithDiv|DivXD|AddRandomSubTreeR|ReplaceBranchR|FellTreeD|DeleteMaliciousR|MutateNonTerminalR|SubXD|DeleteTerminalR|FellTreeD|FellTreeD|AddXD,MultXD,FellTreeD,7,6,8,8,1
8,(x),20,-10,-0.0031994052419693354,0,0.01795137940453428,0.02,6.909751634920635,0.1,48.81333333333333,0,0.9999991833191499,1,0.03300911516752694,0,13505475.697,0,306117132.5,0,((((7)*((5)*(8)))*(((x)*(x))*((8)*(8))))-(((6)-((x)*(x)))-((x)*((x)-((x)*(x)))))),((0)+(x)),ReplaceBranchR|AddTreeWithMult|SkipD|MultXD|MultXD|AddTreeWithMult|SubXD|MutateTerminalR|AddTreeWithMult|SubXD|MultXD|SubXD|MultXD|SubXD|MultXD,MutateNonTerminalR|MutateTerminalR|DeleteMaliciousR|AddTreeWithDiv|FellTreeD|DivXD|MultXD|SubXD|MutateTerminalR|ReplaceBranchXR|AddTreeWithMult|AddXD|FellTreeD|FellTreeD|AddXD,MultXD,FellTreeD,8,7,9,9,1
9,(x),20,-10,0.016298981885694876,0.02,0.019841041243438978,0.02,91.55788000000001,0,629.094,0,0.9999999797763915,1,0.2369011025045286,0,186834196.592,0,12361789982,0,(((((x)*(5))*((7)+(3)))*(((7)*(3))*((x)*(x))))*(((x)*((x)*(x)))-((x)*((x)-((x)*(x)))))),((0)+(x)),ReplaceBranchR|AddTreeWithMult|AddTreeWithMult|MultXD|MultXD|AddTreeWithMult|SubXD|MultXD|MutateNonTerminalR|AddTreeWithMult|AddTreeWithAdd|SubXD|MultXD|SubXD|MultXD,MutateNonTerminalR|MutateTerminalR|DeleteMaliciousR|AddTreeWithDiv|FellTreeD|DivXD|AddXD|SubXD|AddXD|AddTreeWithAdd|AddTreeWithMult|AddXD|FellTreeD|FellTreeD|AddXD,MultXD,AddXD,9,8,10,10,1
10,(x),20,-10,0.01687299501370653,-0.0074138110001138865,0.01997984924007454,0.02,244.3714,0.19002,4962.592000000001,0,0.9999999085610183,1,0.3057541912305151,0,105882492.689,0,2734063692.4,0,(((((7)*(4))*((5)*(x)))-(((x)*(1))-((6)+(9))))*(((x)*((x)*(x)))*(((x)-(x))*((x)-((x)*(x)))))),((0)+(x)),MultXD|SubXD|AddTreeWithMult|MultXD|MultXD|AddTreeWithSub|AddToLeafR|MultXD|AddTreeWithMult|MultXD|AddTreeWithAdd|SubXD|MultXD|SubXD|MultXD,MutateNonTerminalR|MutateTerminalR|DeleteMaliciousR|AddTreeWithDiv|FellTreeD|DivXD|SkipD|AddRandomSubTreeR|AddRandomSubTreeR|AddTreeWithAdd|AddTreeWithMult|AddXD|FellTreeD|FellTreeD|AddXD,MultXD,FellTreeD,10,8,11,11,1
