gen,specEquation,range,seed,AGenFitAvg,PGenFitAvg,AGenBestFitAvg,PGenBestFitAvg,AGenDeltaAvg,PGenDeltaAvg,AGenBestDeltaAvg,PGenBestDeltaAvg,topABestFit,topPBestFit,topAStdDev,topPStdDev,topAAvgDelta,topPAvgtDelta,topABestDelta,topPBestDelta,topAEquation,topPEquation,topAStrat,topPStrat,topADomStrat,topPDomStrat,topABirthGen,topPBirthGen,topAAge,topPAge,run
0,(x),20,-10,-0.02,-0.014736810992789078,-0.02,0,0,399.0561799999999,0,0.1,0.9974407665416054,1,0.6102112556638216,0,1965.457,0,97685.5,0,((((x)*(0))-((9)*(4)))*((9)*((x)*((9)+(0))))),((0)+(x)),MultXD|MultXD|DeleteTerminalR|AddToLeafR|ReplaceBranchXR|AddToLeafR|AddTreeWithMult|DeleteTerminalR|DeleteTerminalR|AddTreeWithAdd|ReplaceBranchR|DeleteTerminalR|AddTreeWithMult|MutateTerminalR|AddRandomSubTreeR,ReplaceBranchXR|MutateNonTerminalR|AddTreeWithSub|ReplaceBranchXR|MutateNonTerminalR|DivXD|MutateNonTerminalR|AddRandomSubTreeR|AddTreeWithMult|ReplaceBranchR|AddTreeWithAdd|FellTreeD|DeleteNonTerminalR|FellTreeD|AddXD,DeleteTerminalR,MutateNonTerminalR,0,0,1,1,2
1,(x),20,-10,-0.019600000000000006,-0.004884791185745648,-0.0196,0.02,0.1,2194.6946267846383,0.1,0,0.9997153867933325,1,0.9180690873387606,0,27584.538834920633,0,878385.1,0,((((x)+((0)*(1)))-((9)*((9)*(6))))+(((0)*(x))*((x)*((x)+((x)-(x)))))),((0)+(x)),AddRandomSubTreeR|MultXD|MultXD|AddToLeafR|DeleteTerminalR|AddTreeWithMult|DeleteNonTerminalR|MultXD|MultXD|MultXD|DivXD|MutateNonTerminalR|AddTreeWithSub|MutateTerminalR|SubXD,ReplaceBranchXR|MutateNonTerminalR|AddTreeWithSub|ReplaceBranchXR|MutateNonTerminalR|DivXD|MutateNonTerminalR|AddRandomSubTreeR|AddTreeWithMult|ReplaceBranchR|AddTreeWithAdd|FellTreeD|DeleteNonTerminalR|FellTreeD|AddXD,MultXD,MutateNonTerminalR,1,0,2,2,2
2,(x),20,-10,-0.018653641089436287,-0.00815316025477156,-0.003655999999999999,0.02,0.33658972764092865,436.8280927521615,4.086,0,0.9999599769108399,1,0.8670603006551927,0,98013.7947970464,0,6246394.4,0,((((5)+((x)*(x)))*((7)*((7)+(6))))*(((9)+(x))*((x)*((x)*((x)+(x)))))),((0)+(x)),AddTreeWithDiv|AddTreeWithMult|AddXD|AddToLeafR|MultXD|AddToLeafR|MultXD|MutateNonTerminalR|SkipD|MultXD|AddXD|AddTreeWithMult|SkipD|AddTreeWithAdd|ReplaceBranchXR,ReplaceBranchXR|MutateNonTerminalR|AddTreeWithSub|ReplaceBranchXR|MutateNonTerminalR|DivXD|MutateNonTerminalR|MutateTerminalR|MutateNonTerminalR|AddTreeWithAdd|DeleteMaliciousR|DeleteTerminalR|AddXD|FellTreeD|AddXD,MultXD,MutateNonTerminalR,2,2,3,3,2
3,(x),20,-10,-0.01806815961451429,-0.006483921670633034,0.009511222991399204,0.02,0.5220927189375222,554.6173083449887,9.533999999999999,0,0.9999759696025083,1,0.6854329037629638,0,208560.45637976192,0,10403490,0,((((x)*((8)*(7)))/(((2)-(0))+((6)*(8))))+(((x)*(x))*((x)+((x)*((x)*(x)))))),((0)+(x)),SkipD|AddTreeWithMult|AddXD|AddToLeafR|MultXD|AddToLeafR|MultXD|AddTreeWithAdd|AddTreeWithDiv|AddXD|MutateNonTerminalR|MultXD|AddTreeWithSub|MultXD|MutateTerminalR,ReplaceBranchXR|DeleteTerminalR|AddTreeWithMult|ReplaceBranchXR|DeleteMaliciousR|MutateTerminalR|DeleteMaliciousR|DivXD|AddTreeWithSub|SkipD|DeleteTerminalR|DeleteTerminalR|DeleteNonTerminalR|FellTreeD|AddXD,MultXD,DeleteTerminalR,3,3,4,4,2
4,(x),20,-10,-0.014048903389026616,0.005816529716690952,0.011336740881919778,0.02,1.5302620470751094,28.526890070346326,11.543,0,0.9999918775927231,1,0.742129234950001,0,981594.9280000001,0,30779052.5,0,((((4)*(7))*((8)*((x)*(x))))-(((5)*(x))*((x)*((x)*(7))))),((0)+(x)),AddToLeafR|AddXD|AddRandomSubTreeR|MultXD|AddRandomSubTreeR|AddToLeafR|AddTreeWithMult|MultXD|SkipD|AddTreeWithMult|MutateNonTerminalR|MultXD|AddTreeWithSub|MultXD|MutateTerminalR,ReplaceBranchXR|MutateNonTerminalR|MutateTerminalR|ReplaceBranchR|DeleteTerminalR|MultXD|MultXD|AddRandomSubTreeR|MutateNonTerminalR|ReplaceBranchR|DeleteMaliciousR|DeleteTerminalR|AddXD|FellTreeD|AddXD,MultXD,AddXD,4,4,5,5,2
5,(x),20,-10,-0.012923846588293597,0.0015515825034807301,0.017929606625258797,0.02,2.6041321851851853,1.0699535056887555,48.3,0,0.9999924484160742,1,0.6006184042581183,0,1397011.6015,0,33105637.5,0,((((7)*((3)-(2)))*(((3)-(9))*((x)*(x))))*(((9)+(8))*((x)+((x)*((x)*(x)))))),((0)+(x)),SkipD|ReplaceBranchXR|MultXD|MultXD|AddRandomSubTreeR|AddToLeafR|AddTreeWithMult|MultXD|SubXD|AddXD|MutateNonTerminalR|MultXD|AddTreeWithSub|MultXD|AddTreeWithAdd,ReplaceBranchXR|DeleteTerminalR|AddTreeWithMult|ReplaceBranchXR|DeleteNonTerminalR|AddTreeWithDiv|DivXD|AddXD|AddTreeWithSub|SkipD|DeleteTerminalR|DeleteTerminalR|DeleteNonTerminalR|FellTreeD|AddXD,MultXD,DeleteTerminalR,5,4,6,6,2
6,(x),20,-10,-0.006892662160191577,-0.003422139237345203,0.019654517187769907,0.02,13.387739999999999,1.7919075382654635,289.45,0,0.999999153074479,1,0.46825075021971724,0,4604397.499,0,295185342.5,0,((((x)*((9)*(4)))+(((6)*(8))*((8)*(x))))*(((x)*(6))-((3)-((x)*((x)*(x)))))),((0)+(x)),ReplaceBranchR|AddToLeafR|MultXD|AddToLeafR|MultXD|AddToLeafR|MultXD|MutateNonTerminalR|SubXD|AddTreeWithMult|MutateNonTerminalR|MultXD|AddTreeWithSub|MultXD|MutateNonTerminalR,ReplaceBranchXR|MutateNonTerminalR|AddTreeWithSub|ReplaceBranchXR|MutateNonTerminalR|AddTreeWithDiv|DivXD|ReplaceBranchR|ReplaceBranchR|AddTreeWithDiv|AddTreeWithSub|DeleteTerminalR|DeleteNonTerminalR|FellTreeD|AddXD,MultXD,AddTreeWithDiv,6,5,7,7,2
7,(x),20,-10,-0.00772830092455361,0.006294677349216726,0.019744908371086892,0.02,15.795522499999997,0.16312241762589846,392.01599999999996,0,0.9999986384772271,1,0.6073475792542238,0,6035384.4755,0,183617935,0,((((6)*((9)*(7)))+((8)+((8)*(x))))*(((x)*(x))*((x)*((x)+((x)*(x)))))),((0)+(x)),ReplaceBranchR|AddToLeafR|MultXD|AddToLeafR|MutateNonTerminalR|DeleteMaliciousR|AddTreeWithMult|MultXD|SubXD|MultXD|MutateNonTerminalR|MultXD|MultXD|AddXD|MultXD,ReplaceBranchXR|DeleteTerminalR|AddTreeWithMult|ReplaceBranchXR|DeleteMaliciousR|DeleteTerminalR|MultXD|AddRandomSubTreeR|MutateNonTerminalR|AddTreeWithAdd|DeleteMaliciousR|DeleteTerminalR|AddXD|FellTreeD|AddXD,MultXD,DeleteTerminalR,7,6,8,8,2
8,(x),20,-10,0.008878585976619323,-0.0005084662156938316,0.019751688518077074,0.02,33.54385936507936,32.60426078676471,402.72,0,0.9999996374419157,1,0.5380255856510562,0,11242944.539095238,0,689544684.8,0,((((7)-((0)*(x)))*(((x)+(x))-((3)*(x))))*(((x)*(x))*((x)*((x)*((x)*(x)))))),((0)+(x)),AddTreeWithMult|AddToLeafR|AddTreeWithSub|DivXD|MultXD|AddToLeafR|MultXD|MutateNonTerminalR|ReplaceBranchXR|MultXD|MutateNonTerminalR|MultXD|AddTreeWithSub|MultXD|MultXD,ReplaceBranchR|FellTreeD|MultXD|AddXD|AddTreeWithDiv|MutateTerminalR|MutateNonTerminalR|AddXD|MutateNonTerminalR|AddTreeWithAdd|DivXD|MultXD|AddXD|FellTreeD|AddXD,MultXD,AddXD,8,7,9,9,2
9,(x),20,-10,0.006644698448710376,0.02,0.018848881112441294,0.02,17.51367552073009,0,86.87200000000001,0,0.9999995537640531,1,0.5067994388055491,0,15474129.036604611,0,560241732.5,0,((((x)-((3)+(4)))*(((0)-(5))-((9)*(x))))*(((3)*((8)*(x)))*((x)*((x)*((x)*(x)))))),((0)+(x)),AddTreeWithMult|AddToLeafR|AddTreeWithSub|DivXD|MultXD|AddTreeWithAdd|AddTreeWithMult|MultXD|SkipD|MultXD|MutateNonTerminalR|MultXD|AddTreeWithSub|MultXD|AddTreeWithDiv,ReplaceBranchXR|ReplaceBranchXR|AddTreeWithSub|ReplaceBranchXR|AddToLeafR|DeleteTerminalR|MultXD|AddToLeafR|AddToLeafR|MultXD|DeleteTerminalR|DeleteTerminalR|FellTreeD|FellTreeD|AddXD,MultXD,ReplaceBranchXR,9,7,10,10,2
10,(x),20,-10,0.009971709731484998,0.010649049732909586,0.019905536862350207,0.02,56.44712155555557,36.67746036847494,1058.614,0,0.9999999661999336,1,0.6465536902122837,0,248450426.91949996,0,7396435178.7,0,((((5)+((8)*(0)))-(((6)*(8))+((x)*(x))))*(((x)*((x)*(x)))*((x)*((x)*((x)*(x)))))),((0)+(x)),AddRandomSubTreeR|AddXD|AddRandomSubTreeR|MultXD|AddToLeafR|DeleteMaliciousR|MultXD|MultXD|SkipD|MultXD|MutateNonTerminalR|MultXD|MultXD|MultXD|MultXD,ReplaceBranchXR|MutateNonTerminalR|AddTreeWithSub|ReplaceBranchXR|DeleteMaliciousR|MutateTerminalR|DeleteMaliciousR|AddXD|AddTreeWithAdd|AddTreeWithAdd|SkipD|MultXD|DeleteNonTerminalR|FellTreeD|AddXD,MultXD,ReplaceBranchXR,10,9,11,11,2
