gen,specEquation,range,seed,AGenFitAvg,PGenFitAvg,AGenBestFitAvg,PGenBestFitAvg,AGenDeltaAvg,PGenDeltaAvg,AGenBestDeltaAvg,PGenBestDeltaAvg,topABestFit,topPBestFit,topAStdDev,topPStdDev,topAAvgDelta,topPAvgtDelta,topABestDelta,topPBestDelta,topAEquation,topPEquation,topAStrat,topPStrat,topADomStrat,topPDomStrat,topABirthGen,topPBirthGen,topAAge,topPAge,run
0,(x),20,-10,-0.01995621596825397,-0.012435980645801347,-0.019788714285714284,0.02,0.010946007936507938,25816.751469400628,0.05282142857142857,0,0.9991411531907877,1,0.676511369397,0.4276236237872018,4312.267474938212,1.5473789682539683,291088,0,((((1)*((9)*(3)))*((6)*((x)-(x))))+(((6)*(6))+((6)*((8)*((x)-(x)))))),((0)/((x)+(x))),MutateNonTerminalR|AddTreeWithDiv|MutateTerminalR|AddTreeWithSub|SubXD|MutateNonTerminalR|AddTreeWithAdd|AddToLeafR|MultXD|MutateNonTerminalR|AddTreeWithMult|AddToLeafR|AddToLeafR|SubXD|AddRandomSubTreeR,AddTreeWithSub|SkipD|ReplaceBranchR|DeleteMaliciousR|DeleteNonTerminalR|ReplaceBranchR|AddTreeWithSub|DeleteNonTerminalR|AddTreeWithAdd|DeleteNonTerminalR|MutateNonTerminalR|MutateTerminalR|DivXD|AddXD|DeleteMaliciousR,MutateNonTerminalR,DeleteNonTerminalR,0,0,1,1,4
1,(x),20,-10,-0.01963091650793651,-0.011766131519056757,-0.019584873015873014,0.02,0.09227087301587301,115.00730697459001,0.10378174603174603,0,0.9986285965056639,1,0.718033764637486,0.44631157662177195,8537.48613304612,1.3400974784616295,182295,0,((((8)*(9))*((0)+((1)+(9))))-((x)*((x)*((x)*(x))))),((((0)/(2))+((7)/(3)))/((0)/((x)/(x)))),MultXD|ReplaceBranchXR|DivXD|AddTreeWithAdd|SubXD|MutateNonTerminalR|AddTreeWithAdd|AddToLeafR|MultXD|ReplaceBranchR|AddRandomSubTreeR|MultXD|AddRandomSubTreeR|MutateNonTerminalR|MultXD,DeleteNonTerminalR|AddTreeWithDiv|DivXD|AddRandomSubTreeR|AddTreeWithDiv|FellTreeD|DeleteMaliciousR|AddTreeWithAdd|AddTreeWithDiv|DivXD|AddTreeWithDiv|DeleteMaliciousR|DivXD|DivXD|SkipD,MultXD,AddTreeWithDiv,1,1,2,2,4
2,(x),20,-10,-0.019455313873015873,-0.0048673579524848055,-0.013879999999999998,0.02,0.13617153174603178,43.5844191104387,1.53,0,0.9997007776728438,1,0.5451766447934403,0.4277646211560997,29009.529426055466,1.220960265700483,835499.15,0,((((3)+((7)*(6)))+(((x)-(x))*((8)+(9))))*(((x)*(x))-((x)*((x)+((x)*(x)))))),((((0)/(9))+((4)+(3)))-((0)+((x)/(0)))),AddRandomSubTreeR|DivXD|ReplaceBranchR|MultXD|AddTreeWithDiv|SubXD|AddTreeWithAdd|AddToLeafR|MultXD|SubXD|MultXD|AddRandomSubTreeR|AddRandomSubTreeR|AddXD|MultXD,AddTreeWithSub|AddTreeWithDiv|DeleteMaliciousR|AddXD|ReplaceBranchXR|FellTreeD|AddTreeWithDiv|DeleteTerminalR|AddXD|AddTreeWithSub|AddXD|AddTreeWithDiv|AddTreeWithAdd|DeleteMaliciousR|DeleteMaliciousR,MultXD,AddTreeWithDiv,2,2,3,3,4
3,(x),20,-10,-0.01771244181818182,0.0014119905522575788,0.009583333333333334,0.02,0.5978100000000001,12.40789,9.6,0,0.9999163720873443,1,0.7030962758092295,0,145047.814,0,2989432.5,0,((((5)*((5)*(5)))+((2)-((2)-(2))))*(((x)*(x))+((0)*((x)*((x)*(x)))))),((7)/(0)),AddTreeWithAdd|ReplaceBranchXR|DeleteMaliciousR|AddTreeWithSub|SubXD|MultXD|MutateNonTerminalR|MultXD|AddTreeWithAdd|AddTreeWithSub|AddXD|MultXD|MultXD|DeleteMaliciousR|MultXD,DeleteMaliciousR|DeleteMaliciousR|MultXD|FellTreeD|AddRandomSubTreeR|AddXD|MutateNonTerminalR|DivXD|SubXD|FellTreeD|MutateNonTerminalR|MutateTerminalR|AddTreeWithDiv|MutateTerminalR|DeleteTerminalR,MultXD,DeleteMaliciousR,3,3,4,4,4
4,(x),20,-10,-0.016529627026700064,0.011406424487998428,0.01122036874451273,0.02,0.9250400000000002,22.744740095238093,11.39,0,0.9999872579861527,1,0.7912230089547957,0,387587.8825,0,19620132.5,0,((((x)*((6)+(5)))-((0)-((4)*(x))))*(((x)*(x))+((x)*((x)*((x)*(x)))))),(((4)/((0)/(x)))/((x)/(x))),AddTreeWithAdd|ReplaceBranchXR|DeleteMaliciousR|AddTreeWithSub|SubXD|MultXD|MutateNonTerminalR|MultXD|AddTreeWithAdd|AddTreeWithSub|AddXD|MultXD|MultXD|DeleteMaliciousR|MultXD,DeleteMaliciousR|DeleteMaliciousR|MultXD|FellTreeD|AddRandomSubTreeR|AddTreeWithAdd|MutateNonTerminalR|FellTreeD|SkipD|DivXD|AddTreeWithDiv|DeleteMaliciousR|DivXD|DivXD|DeleteTerminalR,MultXD,DeleteMaliciousR,3,3,5,5,4
5,(x),20,-10,-0.012034211619940848,0.008853255173909154,0.018036520714706458,0.02,2.8742400000000004,8.695862053358445,50.93,0,0.9999949522076534,1,0.6563253688731414,0,576039.2485093239,0,49526601.5,0,((((x)*((6)*(6)))*((9)+((2)-(x))))*(((x)*(x))*((x)*((x)+((x)*(x)))))),((7)/(0)),DivXD|AddRandomSubTreeR|AddTreeWithAdd|SubXD|AddToLeafR|MutateNonTerminalR|MutateNonTerminalR|AddToLeafR|MultXD|MutateNonTerminalR|MultXD|AddRandomSubTreeR|MutateTerminalR|AddXD|MultXD,DeleteMaliciousR|DeleteMaliciousR|FellTreeD|AddToLeafR|AddTreeWithSub|MultXD|DeleteNonTerminalR|DivXD|SubXD|FellTreeD|MutateNonTerminalR|MutateTerminalR|AddTreeWithDiv|MutateTerminalR|DeleteTerminalR,MutateNonTerminalR,MutateTerminalR,5,4,6,6,4
6,(x),20,-10,-0.004913826551820098,0.011917532284981026,0.01763145428706774,0.02,6.55589,4.297151305247467,42.22,0,0.9999947153616859,1,0.5647158497780874,0,886436.6115000001,0,47306927.2,0,((((0)+((x)*(x)))*((x)*((5)*(8))))*(((8)-(x))*((x)*((x)*(x))))),((3)/(0)),DivXD|AddRandomSubTreeR|DeleteMaliciousR|DeleteNonTerminalR|SubXD|MultXD|MutateNonTerminalR|MultXD|MultXD|SubXD|MultXD|AddRandomSubTreeR|AddRandomSubTreeR|MultXD|MultXD,DeleteMaliciousR|DeleteMaliciousR|FellTreeD|AddToLeafR|FellTreeD|FellTreeD|DeleteMaliciousR|AddTreeWithAdd|AddTreeWithDiv|FellTreeD|MutateNonTerminalR|MutateTerminalR|AddTreeWithDiv|MutateTerminalR|DeleteTerminalR,MultXD,FellTreeD,6,5,7,7,4
7,(x),20,-10,-0.009428398845251462,0.014421071310379972,0.01900398406374502,0.02,4.0261000000000005,0.7190205952380953,100.4,0,0.999994057868164,1,0.571659974540951,0,2430117.5895,0,42072442.5,0,((((4)*((9)+(x)))*((x)*((x)*(x))))-(((x)*(x))*((x)*((x)*(x))))),((((0)+(0))/((6)+((6)+(6))))/(((8)+(0))/((x)/((0)/(x))))),DivXD|AddRandomSubTreeR|DeleteMaliciousR|DeleteNonTerminalR|AddXD|AddXD|MutateNonTerminalR|MultXD|MultXD|SubXD|MultXD|MultXD|AddRandomSubTreeR|MultXD|MultXD,DeleteMaliciousR|DeleteMaliciousR|FellTreeD|FellTreeD|AddXD|AddTreeWithAdd|MutateNonTerminalR|FellTreeD|AddTreeWithDiv|FellTreeD|MutateNonTerminalR|MutateTerminalR|AddTreeWithDiv|MutateTerminalR|DeleteTerminalR,MultXD,FellTreeD,7,7,8,8,4
8,(x),20,-10,0.007992670918540756,0.012092823647545848,0.019711820544889715,0.02,27.65252,7484.1561089086,347.006,0,0.9999996095239896,1,0.40142521056058744,0,15376256.249486567,0,640244197.7,0,((((x)/((6)/(x)))-(((x)*(6))*((9)*(x))))*(((x)*((x)-(x)))*((x)*((x)*((x)*(x)))))),((0)/(0)),DivXD|DivXD|SubXD|MultXD|SubXD|MutateTerminalR|MutateNonTerminalR|MultXD|MultXD|SubXD|MultXD|MultXD|AddRandomSubTreeR|MultXD|MultXD,DeleteMaliciousR|DeleteMaliciousR|FellTreeD|AddToLeafR|FellTreeD|FellTreeD|DeleteMaliciousR|DivXD|AddTreeWithSub|FellTreeD|MutateNonTerminalR|MutateTerminalR|AddTreeWithDiv|MutateTerminalR|DeleteTerminalR,MultXD,FellTreeD,8,7,9,9,4
9,(x),20,-10,0.006008146021779625,0.006836823985086076,0.0185287626894218,0.02,11.52270849611625,0.12789876111111112,67.97,0,0.9999906090789846,1,0.028459838403740546,0,2373006.626,0,26621457,0,((((4)*((9)+(0)))*((5)*((x)*(x))))-(((4)-(9))*((x)*((x)*((x)*(x)))))),((8)/(0)),AddRandomSubTreeR|AddRandomSubTreeR|DeleteMaliciousR|DeleteNonTerminalR|AddXD|MutateTerminalR|MutateNonTerminalR|AddXD|MultXD|SubXD|MultXD|MultXD|AddRandomSubTreeR|MultXD|MultXD,DeleteMaliciousR|DeleteMaliciousR|AddRandomSubTreeR|FellTreeD|AddRandomSubTreeR|FellTreeD|DeleteMaliciousR|DivXD|AddTreeWithSub|FellTreeD|MutateNonTerminalR|MutateTerminalR|AddTreeWithDiv|MutateTerminalR|DeleteTerminalR,MultXD,DeleteMaliciousR,9,9,10,10,4
10,(x),20,-10,0.006950539297598825,-0.007614675317970979,0.01961511815872527,0.02,19.858359999999998,0.25508000000000003,259.82,0,0.9999980257577803,1,0.29479171078815447,0,22756039.048,0,126630865,0,(((((6)+(5))*((8)+(6)))*(((8)-(x))*((x)-(x))))*(((x)*((x)-(x)))*((x)*((x)*((x)*(x)))))),((8)/((0)/(x))),AddRandomSubTreeR|AddRandomSubTreeR|SubXD|MultXD|SubXD|MutateTerminalR|SkipD|MultXD|MultXD|SubXD|MultXD|MultXD|AddRandomSubTreeR|MultXD|MultXD,DeleteTerminalR|DivXD|AddRandomSubTreeR|AddRandomSubTreeR|AddTreeWithDiv|ReplaceBranchXR|DivXD|ReplaceBranchXR|AddTreeWithDiv|FellTreeD|MutateNonTerminalR|MutateTerminalR|AddTreeWithDiv|DivXD|DeleteTerminalR,MultXD,DivXD,10,8,11,11,4
