gen,specEquation,range,seed,AGenFitAvg,PGenFitAvg,AGenBestFitAvg,PGenBestFitAvg,AGenDeltaAvg,PGenDeltaAvg,AGenBestDeltaAvg,PGenBestDeltaAvg,topABestFit,topPBestFit,topAStdDev,topPStdDev,topAAvgDelta,topPAvgtDelta,topABestDelta,topPBestDelta,topAEquation,topPEquation,topAStrat,topPStrat,topADomStrat,topPDomStrat,topABirthGen,topPBirthGen,topAAge,topPAge,run
0,(x),20,-10,-0.019726901163059165,-0.011909089246360624,-0.01801926984126984,0.012040816326530614,0.06827470923520923,1439.4238842173643,0.49518253968253967,0.03979591836734694,0.9972670576596175,1,0.5438710731342491,0.29368132067166636,2102.7981802077393,0.9281810650763282,91476.5,0,((((8)*(9))*((7)*(x)))*((x)*((6)-((9)*(3))))),((0)+(x)),ReplaceBranchR|DivXD|DivXD|MutateTerminalR|AddXD|SkipD|MutateNonTerminalR|ReplaceBranchR|AddToLeafR|AddRandomSubTreeR|AddTreeWithSub|AddTreeWithMult|AddTreeWithMult|AddRandomSubTreeR|SkipD,SkipD|DeleteMaliciousR|ReplaceBranchR|AddTreeWithMult|AddXD|ReplaceBranchXR|AddXD|AddTreeWithAdd|AddTreeWithAdd|DeleteNonTerminalR|MutateTerminalR|DivXD|AddTreeWithDiv|DeleteNonTerminalR|AddXD,DivXD,AddXD,0,0,1,1,5
1,(x),20,-10,-0.01961285998848189,-0.01634928217759335,-0.0144,0.02,0.09678500287952789,26723.477874473603,1.4,0,0.9995608572768584,1,0.9375472415050536,0.4816041701244368,20584.088,1.4923349096119929,569291,0,((((6)*(x))+((x)*((5)*(8))))*(((x)*(x))+((0)-((x)*(x))))),(((x)/(0))/((3)+(x))),AddXD|MultXD|DeleteTerminalR|FellTreeD|AddXD|MultXD|SkipD|MultXD|ReplaceBranchXR|AddToLeafR|AddTreeWithMult|AddXD|DeleteTerminalR|SubXD|MultXD,ReplaceBranchXR|AddTreeWithMult|FellTreeD|MutateNonTerminalR|DivXD|AddTreeWithMult|MutateNonTerminalR|DeleteTerminalR|AddTreeWithDiv|AddTreeWithDiv|FellTreeD|AddTreeWithDiv|AddTreeWithDiv|AddXD|DeleteTerminalR,MultXD,AddTreeWithDiv,1,1,2,2,5
2,(x),20,-10,-0.019178987804824806,-0.005656787085994087,-0.0108,0.02,0.20525304879379877,66.03823796070645,2.3,0,0.9996205156524391,1,0.8154374746484904,0.3457344126047614,16254.619,0.7204096535155506,658788.7,0,((((x)-(0))*((x)*((x)*(6))))*((9)*((x)*((2)-(8))))),(((0)/(1))/((0)+(x))),MutateNonTerminalR|MutateTerminalR|DeleteNonTerminalR|ReplaceBranchR|AddXD|MultXD|SkipD|MultXD|MultXD|ReplaceBranchXR|MultXD|MutateNonTerminalR|MutateTerminalR|AddTreeWithSub|AddTreeWithMult,ReplaceBranchXR|AddTreeWithMult|FellTreeD|MutateNonTerminalR|DivXD|AddTreeWithMult|MutateNonTerminalR|MutateNonTerminalR|DivXD|AddToLeafR|AddTreeWithDiv|DivXD|DeleteMaliciousR|AddXD|DeleteTerminalR,MultXD,MutateNonTerminalR,2,2,3,3,5
3,(x),20,-10,-0.01818770891984788,0.006277834082622749,0.003870967741935484,0.02,0.4578558109888391,54.03550689417989,6.2,0,0.9976355335796792,1,0.6460959837050346,0.02777733085602129,4940.753000000001,0.18425396825396828,105732.1,0,((((x)*(9))*((6)-(2)))*((x)*((x)*(x)))),(((x)*((0)/(x)))/((x)+(x))),AddTreeWithDiv|DivXD|AddXD|MutateTerminalR|FellTreeD|SkipD|FellTreeD|MultXD|MultXD|ReplaceBranchXR|MultXD|MutateTerminalR|AddTreeWithSub|MultXD|AddTreeWithMult,DivXD|AddTreeWithMult|DeleteMaliciousR|FellTreeD|FellTreeD|MultXD|FellTreeD|DeleteNonTerminalR|AddTreeWithMult|DeleteNonTerminalR|ReplaceBranchXR|DeleteTerminalR|DivXD|DivXD|AddXD,MultXD,FellTreeD,3,3,4,4,5
4,(x),20,-10,-0.01579125722439593,-0.008860758834262003,0.011708126036484245,0.02,1.09756,339.7026428374486,12.06,0,0.999957348044732,1,0.6579470859344048,0,85516.515,0,5861396,0,((((x)+((3)-(x)))*((9)*((x)*(4))))+(((0)+(x))*((x)*((x)*((x)*(x)))))),((((0)/(9))/((1)*(0)))-((5)*((1)+(x)))),AddRandomSubTreeR|AddXD|DeleteTerminalR|AddXD|SkipD|DeleteTerminalR|ReplaceBranchXR|MultXD|AddTreeWithAdd|AddTreeWithMult|MultXD|MutateNonTerminalR|AddTreeWithSub|MultXD|AddTreeWithMult,AddTreeWithDiv|AddTreeWithMult|FellTreeD|MutateNonTerminalR|FellTreeD|ReplaceBranchR|DeleteTerminalR|AddTreeWithDiv|AddXD|DivXD|FellTreeD|DeleteTerminalR|AddXD|AddXD|DeleteTerminalR,MultXD,FellTreeD,4,4,5,5,5
5,(x),20,-10,-0.013937994445831247,0.0033237785263513712,0.013265993265993266,0.02,1.6835117592592592,1204.0840171871898,14.85,0,0.9997713292629942,1,0.7809561189552029,0,65450.0275,0,1093275,0,((((x)*(8))*((8)*(x)))*((x)*((x)*(x)))),((0)+((x)+(0))),AddRandomSubTreeR|AddXD|DeleteTerminalR|AddXD|SkipD|DeleteTerminalR|ReplaceBranchXR|MultXD|AddTreeWithAdd|AddRandomSubTreeR|ReplaceBranchXR|AddTreeWithMult|MultXD|MultXD|AddTreeWithMult,AddTreeWithDiv|AddTreeWithMult|FellTreeD|MutateNonTerminalR|FellTreeD|ReplaceBranchR|DeleteTerminalR|AddTreeWithDiv|AddXD|DivXD|FellTreeD|DeleteTerminalR|AddXD|AddXD|DeleteTerminalR,MultXD,AddXD,5,4,6,6,5
6,(x),20,-10,-0.012478654866511093,0.015344498257669847,0.01411764705882353,0.02,2.09388,16.955264086167798,17,0,0.9999676628450617,1,0.6411992280042198,0,95459.2725,0,7731045,0,((((0)-((9)*(9)))*((0)-((7)*(9))))*(((6)*(x))*((x)-((x)*(x))))),((0)+((0)+(x))),AddToLeafR|AddXD|DeleteTerminalR|MutateNonTerminalR|AddTreeWithMult|MultXD|ReplaceBranchR|AddTreeWithSub|AddTreeWithSub|SkipD|AddRandomSubTreeR|AddTreeWithSub|MultXD|SubXD|MultXD,ReplaceBranchXR|AddTreeWithMult|FellTreeD|MutateTerminalR|AddTreeWithMult|AddTreeWithMult|MutateNonTerminalR|DeleteTerminalR|FellTreeD|AddTreeWithAdd|FellTreeD|DeleteTerminalR|AddXD|AddXD|DeleteTerminalR,MultXD,DeleteTerminalR,6,6,7,7,5
7,(x),20,-10,-0.01369685943380035,0.009126885206335126,0.0100990099009901,0.02,1.6296100000000002,23778.053597726182,10.1,0,0.9999666317416679,1,0.6431652429800788,0,156865.853,0,7492150.1,0,((((7)*(7))*((x)-((3)*(7))))*(((9)+(7))*((x)*((x)*(x))))),((0)+((x)+(0))),AddToLeafR|AddXD|DeleteTerminalR|AddXD|SkipD|DeleteTerminalR|ReplaceBranchXR|MultXD|AddTreeWithAdd|AddTreeWithMult|AddRandomSubTreeR|AddTreeWithSub|MultXD|MultXD|MultXD,SkipD|AddTreeWithMult|FellTreeD|FellTreeD|FellTreeD|MultXD|FellTreeD|AddTreeWithDiv|FellTreeD|AddTreeWithAdd|FellTreeD|DeleteTerminalR|AddXD|AddXD|DeleteTerminalR,MultXD,FellTreeD,7,7,8,8,5
8,(x),20,-10,0.004855116995216179,-0.0022671412898101046,0.019242137173171657,0.02,12.487770000000001,1338.0347875776015,131.95,0,0.9999939367827139,1,0.6098248239038273,0,510278.85900000005,0,41232235,0,((((8)*((9)*(9)))+(((9)*(9))+((5)*(9))))*(((x)+(0))+((x)-((x)*((x)*(x)))))),((0)+((0)+(x))),AddToLeafR|AddXD|DeleteTerminalR|MutateNonTerminalR|AddTreeWithMult|MultXD|AddTreeWithAdd|AddXD|AddTreeWithAdd|DeleteMaliciousR|SubXD|AddTreeWithMult|AddTreeWithAdd|MultXD|MultXD,ReplaceBranchXR|AddTreeWithMult|FellTreeD|MutateNonTerminalR|DivXD|DeleteMaliciousR|DeleteNonTerminalR|AddTreeWithDiv|MultXD|DeleteMaliciousR|FellTreeD|DeleteTerminalR|AddXD|AddXD|DeleteTerminalR,MultXD,DeleteTerminalR,8,8,9,9,5
9,(x),20,-10,-0.0019278177795448504,0.007247140507682917,0.01784389823199655,0.02,7.4719799999999985,12.245603374632568,46.38,0,0.9999977694212366,1,0.28832806311826037,0,2233768.3214999996,0,112078535,0,((((9)*((9)*(7)))-(((3)+(5))*((0)+(9))))*(((x)*((x)*(x)))+((x)*((x)-((x)*(x)))))),(((9)/(0))/((4)+(x))),AddToLeafR|AddXD|DeleteTerminalR|MutateNonTerminalR|AddTreeWithMult|MultXD|AddTreeWithAdd|MultXD|AddTreeWithAdd|AddTreeWithMult|AddXD|AddTreeWithSub|MultXD|SubXD|MultXD,ReplaceBranchXR|AddTreeWithMult|FellTreeD|DeleteMaliciousR|MutateTerminalR|ReplaceBranchR|DeleteTerminalR|AddTreeWithDiv|AddXD|AddTreeWithAdd|FellTreeD|DeleteTerminalR|AddXD|AddXD|DeleteTerminalR,MultXD,DeleteTerminalR,9,9,10,10,5
10,(x),20,-10,0.0034113148181440524,-0.0033223065408886305,0.019159812133993162,0.02,12.88945,0.30329999999999996,119.021,0,0.9999925946989235,1,0.0014403596468840535,0,1364813.4305,0,33759599.7,0,(((((x)-(6))+((4)*(8)))*(((3)*(x))+((0)+(x))))*(((x)+((x)*(x)))+((x)*((x)*((x)*(x)))))),((0)+((0)+(x))),AddToLeafR|AddXD|DeleteTerminalR|AddXD|AddTreeWithMult|AddTreeWithAdd|AddToLeafR|MultXD|AddXD|MultXD|AddXD|AddTreeWithSub|MultXD|MultXD|AddRandomSubTreeR,ReplaceBranchXR|AddTreeWithMult|FellTreeD|MutateNonTerminalR|DivXD|AddXD|MutateNonTerminalR|MutateNonTerminalR|FellTreeD|AddTreeWithAdd|FellTreeD|DeleteTerminalR|AddXD|AddXD|DeleteTerminalR,MultXD,FellTreeD,10,10,11,11,5
