gen,specEquation,range,seed,AGenFitAvg,PGenFitAvg,AGenBestFitAvg,PGenBestFitAvg,AGenDeltaAvg,PGenDeltaAvg,AGenBestDeltaAvg,PGenBestDeltaAvg,topABestFit,topPBestFit,topAStdDev,topPStdDev,topAAvgDelta,topPAvgtDelta,topABestDelta,topPBestDelta,topAEquation,topPEquation,topAStrat,topPStrat,topADomStrat,topPDomStrat,topABirthGen,topPBirthGen,topAAge,topPAge,run
0,(x),20,-10,-0.02,-0.008569466899400007,-0.02,0.02,0,4531.066255193169,0,0,0.9988094954641777,1,0.6122495055252299,0,2337.1005,0,209995,0,((((8)+(9))-((7)+((6)*(8))))*(((5)*(7))*((6)*((4)*(x))))),((0)+(x)),MutateTerminalR|AddTreeWithAdd|AddXD|AddToLeafR|AddXD|DeleteMaliciousR|AddTreeWithMult|MultXD|MutateNonTerminalR|MutateTerminalR|AddTreeWithAdd|AddTreeWithSub|ReplaceBranchXR|ReplaceBranchR|AddToLeafR,MutateTerminalR|DivXD|MutateNonTerminalR|AddTreeWithMult|AddXD|MultXD|AddTreeWithMult|DeleteNonTerminalR|DivXD|SubXD|AddXD|AddToLeafR|ReplaceBranchR|FellTreeD|AddXD,AddXD,AddXD,0,0,1,1,7
1,(x),20,-10,-0.01953387922866023,0.0036659876028887497,-0.017970907936507935,0.02,0.11653019283494284,307.02676837364595,0.507273015873016,0,0.996383766292941,1,0.5174832646701542,0,3057.1459999999997,0,69132.7,0,((((x)+(x))*((x)*(8)))+((9)*((x)*(x)))),((0)+(x)),AddTreeWithAdd|ReplaceBranchXR|AddXD|MultXD|FellTreeD|AddTreeWithAdd|DeleteNonTerminalR|AddXD|MultXD|MutateTerminalR|AddXD|MultXD|AddTreeWithAdd|MultXD|MutateNonTerminalR,MutateTerminalR|DeleteMaliciousR|ReplaceBranchR|MultXD|AddRandomSubTreeR|MultXD|AddTreeWithMult|DeleteNonTerminalR|DivXD|SubXD|AddXD|AddToLeafR|ReplaceBranchR|FellTreeD|AddXD,MultXD,ReplaceBranchR,1,1,2,2,7
2,(x),20,-10,-0.01959921847603422,0.0005137071235118246,-0.01732,0.02,0.1001953809914455,89.56761999999999,0.67,0,0.9998955420043358,1,0.8307828379875135,0,34384.81285843081,0,2393306.5,0,((((9)+((6)+(6)))*((9)*((2)-(9))))*(((6)*(x))*((4)+((5)*(x))))),((0)+(x)),AddTreeWithMult|MultXD|DeleteMaliciousR|SkipD|AddTreeWithDiv|MutateNonTerminalR|MutateTerminalR|MultXD|MutateNonTerminalR|AddTreeWithAdd|AddTreeWithMult|AddToLeafR|AddTreeWithAdd|MultXD|AddTreeWithSub,MutateTerminalR|DeleteMaliciousR|ReplaceBranchR|AddRandomSubTreeR|MutateNonTerminalR|MultXD|DeleteNonTerminalR|MultXD|DivXD|SubXD|AddXD|AddToLeafR|ReplaceBranchR|FellTreeD|AddXD,MultXD,ReplaceBranchR,2,2,3,3,7
3,(x),20,-10,-0.019600000000000006,0.003548837237337609,-0.0196,0.02,0.1,6690.0045637279145,0.1,0,0.999923695226526,1,0.5357581025722806,0,217754.7899607143,0,3276335,0,((((4)*((3)*(8)))+((8)*((x)+(0))))+(((7)*(x))*((x)*((x)*(x))))),((x)-(0)),DivXD|DivXD|MultXD|ReplaceBranchR|AddXD|DeleteTerminalR|AddTreeWithDiv|ReplaceBranchR|MultXD|SkipD|MutateNonTerminalR|MultXD|AddToLeafR|MultXD|MultXD,SkipD|ReplaceBranchR|AddToLeafR|DeleteNonTerminalR|MutateTerminalR|DeleteNonTerminalR|AddXD|AddRandomSubTreeR|DeleteNonTerminalR|FellTreeD|MutateNonTerminalR|MutateNonTerminalR|DivXD|DeleteTerminalR|DeleteTerminalR,MultXD,DeleteNonTerminalR,3,3,4,4,7
4,(x),20,-10,-0.016777069536456638,-0.0005704603591736431,0.0014126394052044612,0.02,0.8062101587301587,444.8026113134921,5.38,0,0.9998114011761022,1,0.007039032552969738,0,382113.595,0,1325565,0,((((0)+(9))*((x)*((x)+(x))))*((x)*((x)*((x)*(x))))),((0)+(x)),DivXD|DivXD|AddXD|MultXD|FellTreeD|AddTreeWithAdd|AddRandomSubTreeR|DeleteNonTerminalR|MultXD|MultXD|AddXD|MultXD|MultXD|MultXD|MultXD,MutateTerminalR|DivXD|AddToLeafR|ReplaceBranchR|AddTreeWithAdd|MultXD|AddTreeWithMult|DivXD|SubXD|SubXD|AddXD|AddToLeafR|AddTreeWithDiv|FellTreeD|AddXD,MultXD,SubXD,4,4,5,5,7
5,(x),20,-10,-0.012859394752902834,0.011516343404496284,0.00901098901098901,0.02,1.8282480158730154,8.260628416666668,9.1,0,0.9999976826874262,1,0.34152819687725566,0,6093076.043219688,0,107883590.16666666,0,((((x)*((0)+(x)))+(((1)/(3))*((x)*(x))))*(((x)+(x))*((x)*((x)*((x)*(x)))))),((0)+(x)),DivXD|ReplaceBranchXR|AddXD|AddTreeWithAdd|MultXD|AddTreeWithDiv|AddRandomSubTreeR|DeleteNonTerminalR|MultXD|MultXD|AddXD|MultXD|MultXD|MultXD|MultXD,FellTreeD|DeleteTerminalR|AddXD|AddToLeafR|AddRandomSubTreeR|AddTreeWithDiv|MultXD|DeleteTerminalR|ReplaceBranchR|AddTreeWithAdd|SkipD|FellTreeD|AddTreeWithDiv|FellTreeD|AddXD,MultXD,FellTreeD,5,5,6,6,7
6,(x),20,-10,-0.019600000000000006,-0.006352511575889624,-0.0196,0.02,0.1,0.22953999999999997,0.1,0,0.9999989878390201,1,0.7885355699569557,0,16222028.855886478,0,246996283.1666667,0,((((x)*((x)/(3)))/(((7)+(x))*((x)+(x))))*(((x)*((x)+(x)))*((x)*((x)*((x)*(x)))))),((0)+(x)),DivXD|ReplaceBranchXR|AddXD|MultXD|AddTreeWithDiv|SkipD|AddTreeWithDiv|AddXD|MultXD|MultXD|AddXD|MultXD|MultXD|MultXD|MultXD,MutateTerminalR|DivXD|AddToLeafR|ReplaceBranchR|ReplaceBranchXR|AddTreeWithDiv|MultXD|DeleteMaliciousR|SubXD|FellTreeD|MutateNonTerminalR|AddToLeafR|ReplaceBranchR|FellTreeD|AddXD,MultXD,AddToLeafR,6,5,7,7,7
7,(x),20,-10,-0.00019999999999999998,0.02,-0.0002,0.02,4.95,0,4.95,0,0.9999909315228261,1,0.0002007264252541013,0,4186038.6065,0,27568024.4,0,(((((x)*(8))+((x)+(x)))+(((8)-(x))*((x)+(x))))*(((x)*((x)-(x)))*((x)+((x)*((x)*(x)))))),((0)+(x)),SkipD|ReplaceBranchXR|AddXD|AddTreeWithAdd|MultXD|AddTreeWithAdd|AddTreeWithSub|AddXD|MultXD|MultXD|SubXD|MultXD|AddXD|MultXD|AddTreeWithMult,MutateTerminalR|DivXD|AddToLeafR|ReplaceBranchR|AddTreeWithAdd|AddTreeWithDiv|AddTreeWithDiv|ReplaceBranchR|ReplaceBranchR|DivXD|SkipD|AddToLeafR|ReplaceBranchR|FellTreeD|AddXD,MultXD,ReplaceBranchR,7,6,8,8,7
8,(x),20,-10,-0.00019999999999999998,-0.017036827517883057,-0.0002,0.02,4.95,538.6101933307472,4.95,0,0.9999997242111288,1,0.28118368067674554,0,38614126.02000576,0,906490530,0,((((9)*((7)*(8)))+(((3)*(x))-((x)+(x))))*(((x)*((x)+(x)))*((x)*((x)*((x)*(x)))))),((0)+(x)),DivXD|DivXD|MultXD|ReplaceBranchR|AddTreeWithMult|SubXD|AddTreeWithAdd|AddXD|MultXD|MultXD|AddXD|MultXD|MultXD|MultXD|AddXD,MutateTerminalR|DivXD|AddToLeafR|ReplaceBranchR|AddXD|AddTreeWithDiv|MultXD|DeleteMaliciousR|ReplaceBranchR|DivXD|AddXD|AddToLeafR|ReplaceBranchR|FellTreeD|AddXD,MultXD,AddXD,8,8,9,9,7
9,(x),20,-10,-0.019600000000000006,-0.006790235316558659,-0.0196,0.02,0.1,2.3105394653259363,0.1,0,0.9999989441353412,1,0.000020463916404377892,0,38915613.715500005,0,236772770,0,(((((x)*(8))-((0)+(9)))+(((x)*(4))+((6)+(x))))*(((x)*((x)+(x)))*((x)*((x)*((x)*(x)))))),((0)+(x)),DivXD|ReplaceBranchXR|AddXD|AddTreeWithAdd|MultXD|AddTreeWithAdd|AddTreeWithSub|AddXD|MultXD|MultXD|AddXD|MultXD|MultXD|MultXD|MultXD,AddTreeWithSub|DivXD|DeleteNonTerminalR|SkipD|AddTreeWithAdd|AddTreeWithDiv|MultXD|ReplaceBranchR|ReplaceBranchR|DivXD|SkipD|AddToLeafR|AddXD|FellTreeD|AddXD,MultXD,ReplaceBranchR,9,8,10,10,7
10,(x),20,-10,0.01970291146761735,-0.009749932933551279,0.01970291146761735,0.02,336.6,77711.88502318945,336.6,0,0.9999990848676641,1,0.00002908502997558284,0,40861435.68,0,273184533.2,0,(((((8)-(x))+((1)+(9)))*(((x)+(x))*((x)+(x))))*(((x)*((x)+(x)))*((x)*((x)*((x)*(x)))))),((0)+(x)),DivXD|ReplaceBranchXR|AddXD|AddTreeWithAdd|MultXD|AddTreeWithAdd|AddTreeWithSub|AddXD|MultXD|MultXD|AddXD|MultXD|MultXD|MultXD|MultXD,MutateTerminalR|DivXD|AddToLeafR|ReplaceBranchR|ReplaceBranchR|AddTreeWithDiv|MultXD|DeleteTerminalR|AddTreeWithSub|SubXD|AddXD|FellTreeD|AddToLeafR|FellTreeD|AddXD,MultXD,AddToLeafR,10,9,11,11,7
