gen,specEquation,range,seed,AGenFitAvg,PGenFitAvg,AGenBestFitAvg,PGenBestFitAvg,AGenDeltaAvg,PGenDeltaAvg,AGenBestDeltaAvg,PGenBestDeltaAvg,topABestFit,topPBestFit,topAStdDev,topPStdDev,topAAvgDelta,topPAvgtDelta,topABestDelta,topPBestDelta,topAEquation,topPEquation,topAStrat,topPStrat,topADomStrat,topPDomStrat,topABirthGen,topPBirthGen,topAAge,topPAge,run
0,(x),20,-10,-0.0199,-0.008709314259472006,-0.0196,0.02,0.025,2331.5571217454058,0.1,0,0.9967094438960185,1,0.832249069376304,0.5841877423059734,3514.5499493871002,2.973722712474242,75975,0,((((5)+((x)*(6)))*(((8)*(0))-((8)*(6))))/(((x)+(2))*((x)*((x)+((x)+(x)))))),((((9)/((0)-(2)))+((0)-((1)+(6))))/(((1)+(8))*((0)+((7)-((4)/(x)))))),ReplaceBranchXR|AddRandomSubTreeR|FellTreeD|AddTreeWithAdd|AddTreeWithDiv|MultXD|AddTreeWithMult|AddTreeWithSub|AddToLeafR|MultXD|AddTreeWithSub|AddXD|AddRandomSubTreeR|AddToLeafR|MutateTerminalR,SubXD|DeleteMaliciousR|AddToLeafR|AddTreeWithAdd|AddXD|AddTreeWithDiv|SkipD|AddTreeWithDiv|DeleteMaliciousR|AddTreeWithMult|ReplaceBranchR|AddTreeWithDiv|DivXD|AddRandomSubTreeR|DeleteTerminalR,AddTreeWithSub,AddTreeWithDiv,0,0,1,1,8
1,(x),20,-10,-0.019705024776801628,-0.005258246817234148,-0.019131755555555557,0.02,0.07374380579959255,49.795047654610364,0.2170611111111111,0,0.9983157202586515,1,0.5021046257287113,0.5316934266733242,7458.048999999999,1.8463198412698412,148431.4,0,((((9)+(9))*((4)*(x)))+((x)*((x)*((x)*(x))))),((x)+(0)),MutateTerminalR|AddXD|DeleteNonTerminalR|ReplaceBranchR|MultXD|DeleteMaliciousR|MutateNonTerminalR|AddToLeafR|DeleteTerminalR|ReplaceBranchR|AddXD|MultXD|MultXD|MutateTerminalR|MultXD,ReplaceBranchXR|AddTreeWithSub|FellTreeD|AddXD|FellTreeD|MultXD|MultXD|AddXD|DeleteTerminalR|DeleteNonTerminalR|AddXD|ReplaceBranchR|AddTreeWithDiv|DeleteTerminalR|DeleteTerminalR,MultXD,AddXD,1,1,2,2,8
2,(x),20,-10,-0.019465680000000003,-0.012091850229182226,-0.017079999999999998,0.02,0.13357999999999998,553.0097356936675,0.73,0,0.9998906120744493,1,0.8924061763433221,0.30151134457776346,46049.44619343713,0.5,2285444.2,0,((((6)-((2)+(6)))+(((9)*(x))*((x)*(5))))+(((x)*((2)*(x)))*((9)*((7)*((x)/(x)))))),(((5)/((0)/(x)))*((8)/(0))),DeleteTerminalR|AddTreeWithSub|SkipD|AddToLeafR|AddXD|MultXD|MultXD|AddTreeWithMult|AddRandomSubTreeR|AddRandomSubTreeR|MultXD|DivXD|AddTreeWithMult|AddTreeWithMult|AddToLeafR,ReplaceBranchXR|AddTreeWithSub|FellTreeD|AddXD|FellTreeD|MultXD|MultXD|DeleteNonTerminalR|MutateTerminalR|AddTreeWithMult|MultXD|AddTreeWithDiv|AddTreeWithDiv|DeleteTerminalR|DeleteTerminalR,MultXD,MultXD,2,2,3,3,8
3,(x),20,-10,-0.01899672,0.005589722022007448,-0.01548,0.02,0.25082,7599.84064,1.13,0,0.9999793567978694,1,0.8395666546238404,0,252723.3915,0,12110524.25,0,((((9)*((x)*(7)))*((9)+((6)+(7))))*(((7)-(7))*((5)*((x)*((x)+(x)))))),((((0)-(1))+((0)-(x)))/((0)*((9)/((1)/(9))))),ReplaceBranchXR|AddTreeWithMult|DeleteMaliciousR|MutateTerminalR|AddTreeWithAdd|MultXD|AddTreeWithMult|AddTreeWithSub|AddToLeafR|MultXD|AddTreeWithMult|AddXD|AddRandomSubTreeR|AddToLeafR|MutateTerminalR,ReplaceBranchXR|AddTreeWithSub|FellTreeD|AddXD|FellTreeD|MultXD|FellTreeD|AddTreeWithAdd|AddToLeafR|ReplaceBranchXR|FellTreeD|AddTreeWithDiv|AddTreeWithDiv|DeleteTerminalR|DeleteTerminalR,AddTreeWithMult,FellTreeD,3,3,4,4,8
4,(x),20,-10,-0.01738389010989011,-0.003830050689578047,0.00901098901098901,0.02,0.6725,38.7160338981882,9.1,0,0.9999976767103559,1,0.5784025989969261,0,8282106.324000001,0,107606040.7,0,((((x)*((9)-(3)))+((0)*((x)*(x))))+(((x)*(x))*((x)*((x)*((x)*(x)))))),((6)/(0)),DeleteTerminalR|AddTreeWithSub|SkipD|AddToLeafR|AddXD|MultXD|MultXD|DeleteMaliciousR|AddXD|MultXD|MultXD|MultXD|MultXD|ReplaceBranchXR|MultXD,MutateTerminalR|AddRandomSubTreeR|ReplaceBranchXR|AddTreeWithSub|DeleteMaliciousR|MutateNonTerminalR|AddTreeWithSub|MutateTerminalR|AddRandomSubTreeR|AddToLeafR|FellTreeD|DivXD|DeleteNonTerminalR|AddTreeWithDiv|DeleteTerminalR,MultXD,AddTreeWithSub,4,4,5,5,8
5,(x),20,-10,-0.010495360662780675,0.002471689060856433,0.018180627319700167,0.02,4.084972920544594,14.718690303851128,54.964,0,0.9999921700286424,1,0.41974681282870696,0,636718.78,0,31928597,0,((((x)*((7)-(9)))+(((4)*(x))*((6)*(9))))+(((x)*((x)*(x)))+((x)*((x)*((x)-(x)))))),(((0)/((3)/(0)))/((5)/(0))),ReplaceBranchXR|AddRandomSubTreeR|SkipD|AddToLeafR|AddXD|MultXD|MultXD|AddTreeWithMult|AddRandomSubTreeR|AddRandomSubTreeR|AddXD|MultXD|MultXD|MutateTerminalR|SubXD,DivXD|ReplaceBranchXR|ReplaceBranchXR|AddTreeWithSub|DeleteMaliciousR|FellTreeD|DivXD|AddRandomSubTreeR|DeleteNonTerminalR|DivXD|AddTreeWithDiv|DeleteMaliciousR|AddTreeWithDiv|DeleteTerminalR|DeleteTerminalR,MultXD,DivXD,5,5,6,6,8
6,(x),20,-10,-0.01736,-0.0017545447815790094,-0.01736,0.02,0.66,7002.501882906083,0.66,0,0.9999955807209417,1,0.017462127589829502,0,2051090.554,0,56570313.1,0,((((x)*((2)+(5)))*(((8)*(x))+((6)+(x))))*(((x)+((x)*(x)))-((x)*((x)*((x)*(x)))))),((4)/((0)/(0))),MutateTerminalR|ReplaceBranchXR|SkipD|AddToLeafR|AddXD|MultXD|AddXD|AddToLeafR|MultXD|SubXD|AddTreeWithMult|MultXD|MultXD|AddTreeWithAdd|MultXD,ReplaceBranchXR|AddTreeWithSub|AddXD|AddTreeWithDiv|SkipD|DivXD|SubXD|FellTreeD|DivXD|ReplaceBranchXR|FellTreeD|AddTreeWithDiv|MutateTerminalR|DeleteTerminalR|DeleteTerminalR,MultXD,AddTreeWithDiv,6,6,7,7,8
7,(x),20,-10,0.0028894293261153875,0.006602854427732292,0.018157361341440942,0.02,9.60332,0.5762956150793649,54.27,0,0.9999895201474641,1,0.19796139474708255,0,2888619.1795,0,23855297.5,0,((((8)*((4)+(x)))*((6)*((8)*(x))))+(((x)*(x))+((x)*((x)*((x)*(x)))))),((2)/(0)),AddTreeWithDiv|DeleteMaliciousR|ReplaceBranchXR|ReplaceBranchR|AddXD|MultXD|MultXD|AddToLeafR|AddXD|MultXD|AddXD|MultXD|MultXD|MutateTerminalR|MultXD,MutateTerminalR|DeleteNonTerminalR|ReplaceBranchXR|AddTreeWithSub|DeleteMaliciousR|MutateNonTerminalR|AddTreeWithSub|MutateTerminalR|DivXD|ReplaceBranchXR|FellTreeD|SkipD|DeleteNonTerminalR|AddTreeWithDiv|DeleteTerminalR,MultXD,DeleteNonTerminalR,6,6,8,8,8
8,(x),20,-10,-0.004584062659063097,0.0014753304516044623,0.01763145428706774,0.02,7.13928,24.182630071957668,42.22,0,0.9999993274748638,1,0.0034869104070263165,0,30449442.38,0,371733317.5,0,((((8)*((6)*(6)))-(((0)+(x))*((x)*(x))))*(((x)+(x))*((x)*((x)*((x)*(x)))))),((1)/(0)),MutateTerminalR|ReplaceBranchXR|DeleteNonTerminalR|ReplaceBranchR|AddXD|MultXD|MultXD|AddTreeWithSub|AddToLeafR|MultXD|AddXD|MultXD|MultXD|MultXD|MultXD,MutateTerminalR|DeleteNonTerminalR|ReplaceBranchXR|AddTreeWithSub|DeleteMaliciousR|MultXD|FellTreeD|AddTreeWithAdd|DivXD|AddToLeafR|FellTreeD|DivXD|DeleteNonTerminalR|AddTreeWithDiv|DeleteTerminalR,MultXD,DivXD,8,7,9,9,8
9,(x),20,-10,0.011450867924297782,0.007449725303042628,0.01972222530860768,0.02,39.48283258014729,3.9511836747732434,360.004,0,0.9999983804971958,1,0.19793800763914324,0,17412752.413999997,0,154368365,0,((((9)*((6)+(7)))*(((x)+(x))*((x)*(x))))+(((x)*(x))+((9)*((x)*((x)*(x)))))),((4)/(0)),MutateTerminalR|AddTreeWithSub|AddTreeWithAdd|MultXD|AddXD|MultXD|MultXD|MutateNonTerminalR|AddXD|MultXD|AddXD|MultXD|MultXD|MutateTerminalR|MultXD,ReplaceBranchXR|AddTreeWithSub|AddXD|AddTreeWithDiv|FellTreeD|MultXD|FellTreeD|AddTreeWithAdd|DivXD|AddToLeafR|FellTreeD|DivXD|DeleteNonTerminalR|AddTreeWithDiv|DeleteTerminalR,MultXD,FellTreeD,9,8,10,10,8
10,(x),20,-10,0.014913399272721544,0,0.019857568118047543,0.02,159.87218,0.1,702.09,0,0.9999986728465937,1,0.3392950793056948,0,17861876.654,0,188373099,0,((((1)-((9)+(8)))*(((x)*(x))*((x)*(x))))+(((x)*(x))+((x)*((x)*((x)*(x)))))),((7)/((9)/(0))),MutateTerminalR|AddTreeWithSub|AddTreeWithAdd|MultXD|AddXD|MultXD|MultXD|MutateNonTerminalR|AddXD|MultXD|AddXD|MultXD|MultXD|MutateTerminalR|MultXD,ReplaceBranchXR|AddToLeafR|ReplaceBranchXR|SubXD|SkipD|DeleteNonTerminalR|AddTreeWithSub|FellTreeD|DivXD|ReplaceBranchXR|FellTreeD|AddTreeWithDiv|AddTreeWithDiv|DeleteTerminalR|DeleteTerminalR,MultXD,ReplaceBranchXR,9,9,11,11,8
