A,P,AFinal,PFinal,AGen,PGen,count,run
AddXD,AddToLeafR,AddXD,AddToLeafR,0,0,0,2
AddXD,MutateNonTerminalR,AddXD,MutateNonTerminalR,0,0,1,2
MultXD,DeleteNonTerminalR,MultXD,DeleteNonTerminalR,0,0,2,2
MultXD,ReplaceBranchXR,MultXD,ReplaceBranchXR,0,0,3,2
MultXD,DeleteMaliciousR,MultXD,DeleteMaliciousR,0,0,4,2
MultXD,AddTreeWithMult,MultXD,AddTreeWithMult,0,0,5,2
AddTreeWithSub,MutateNonTerminalR,AddTreeWithSub,MutateNonTerminalR,0,0,6,2
MultXD,FellTreeD,MultXD,FellTreeD,0,0,7,2
SkipD,MutateTerminalR,SkipD,MutateTerminalR,0,0,8,2
MultXD,FellTreeD,MultXD,FellTreeD,0,0,9,2
SubXD,DeleteMaliciousR,SubXD,DeleteMaliciousR,0,0,10,2
MultXD,DeleteTerminalR,MultXD,DeleteTerminalR,0,0,11,2
MultXD,AddXD,MultXD,AddXD,0,0,12,2
MultXD,FellTreeD,MultXD,FellTreeD,0,0,13,2
MultXD,AddXD,MultXD,AddXD,0,0,14,2
