specEquation,range,seed,AID,PID,AAvg,PAvg,ABestFit,PBestFit,AStdDev,PStdDev,AAverageDelta,PAverageDelta,ABestDelta,PBestDelta,AEquation,PEquation,AStrat,PStrat,ADomStrat,PDomStrat,AGen,PGen,ABirthGen,PBirthGen,AAge,PAge,ARun,PRun
,30,-10,ANTAGONIST-tpJ,PROTAGONIST-6c1c2c2c2c2c1c2c1c2c1c1c1c1c1c1c2c2c2c1c1c1c2c2c1c2c2c1c1c2c1c1c2c2c1c2c2c2c2c1c1c2,0.9929760671741432,1,0.9999530294488982,1,0.009119974206465917,0,855769.8283333334,0,8693390.3,0,((((4)*((x)*(3)))-(((3)+(7))*((x)+(x))))+(((x)*(x))+((x)*((x)*((x)+(x)))))),((((4)/((4)+(0)))+(((9)*(x))+((x)*(9))))/(((0)*((8)-(1)))/((0)/((x)/((0)+(x)))))),MutateTerminalR|AddTreeWithMult|AddXD|AddRandomSubTreeR|AddTreeWithSub|ReplaceBranchR|MutateTerminalR|MultXD|AddXD|MultXD|AddTreeWithMult|AddTreeWithAdd|MultXD|AddXD|SkipD,DivXD|DeleteMaliciousR|DeleteNonTerminalR|DivXD|DivXD|DeleteTerminalR|DeleteNonTerminalR|DeleteTerminalR|AddTreeWithDiv|DeleteMaliciousR|AddTreeWithDiv|AddXD|AddTreeWithAdd|AddTreeWithSub|DeleteMaliciousR,MultXD,DivXD,0,0,42,46,43,48,0,0
,30,-10,ANTAGONIST-vmP,PROTAGONIST-14c1c2c1c1c2c1c1c1c2c1c2c2c1c1c1c2c1c2c1c2c1c1c1c1c1c2c1c1c2c2c2c1c2c2c1c1c2c1c2,0.9950016622688492,1,0.9997808103446925,1,0.006263037621548145,0,346573.24055555556,0,1862922.4666666666,0,((((x)*((x)*(x)))-((x)/((3)-(2))))*(((6)-(0))*((x)-((x)*(x))))),(((((x)*(4))/((0)*((3)/(7))))-(((x)/(x))*((6)-((4)+(x)))))-((((0)*(x))+((x)*(0)))/(((x)/(x))/((x)/((x)+(x)))))),SkipD|MutateNonTerminalR|MultXD|MultXD|SubXD|DivXD|MultXD|MultXD|AddTreeWithSub|SubXD|SkipD|AddTreeWithSub|SkipD|SkipD|MultXD,MultXD|AddXD|MultXD|DivXD|MutateNonTerminalR|DeleteNonTerminalR|DivXD|DivXD|DivXD|DeleteNonTerminalR|AddTreeWithDiv|DeleteMaliciousR|AddTreeWithDiv|AddXD|DeleteTerminalR,MultXD,DivXD,0,0,29,49,30,49,1,1
,30,-10,ANTAGONIST-dTn,PROTAGONIST-14c2c1c1c2c2c2c1c1c2c1c1c1c2c1c1c2c2c2c2c2c2c2c1c1c1c1c2c2c1c2c1c2c1c2,0.9999288730254972,1,0.9999974977358241,1,0.0000900317238355897,0,31338731.206666667,0,163185541.03333333,0,(((((8)+(6))+((x)*(7)))*(((3)*(8))*((3)*(x))))+(((x)*((x)-(4)))-((8)*((x)-((x)*(x)))))),((0)/((0)/(x))),AddTreeWithAdd|AddXD|AddToLeafR|MultXD|MultXD|AddXD|MultXD|SubXD|AddTreeWithMult|MultXD|AddToLeafR|MutateTerminalR|SubXD|AddToLeafR|MultXD,DivXD|DeleteNonTerminalR|FellTreeD|SkipD|AddTreeWithDiv|ReplaceBranchR|FellTreeD|ReplaceBranchR|FellTreeD|ReplaceBranchR|DeleteNonTerminalR|DivXD|DeleteTerminalR|DeleteMaliciousR|DivXD,MultXD,ReplaceBranchR,0,0,19,47,20,49,2,2
,30,-10,ANTAGONIST-XRo,PROTAGONIST-0c1c1c1c2c2c1c1c1c1c1c1c1c2c1c2c1c1c2c1c2c1c1c1c2c1c2c2c1c2c2c1c2c1c1c1,0.8921677648228507,1,0.9999981115568556,1,0.24923574465544196,0,11065113.397664683,0,216227496.46666667,0,((((x)*((x)*(6)))-((0)*((x)/(1))))/(((7)+(x))*((x)*((x)*(x))))),((((4)/((7)+(8)))/((1)+((0)+(0))))*(((0)*(0))/((x)/((0)+(x))))),AddRandomSubTreeR|MutateNonTerminalR|MultXD|AddTreeWithDiv|AddXD|MutateTerminalR|MultXD|AddTreeWithAdd|ReplaceBranchXR|SkipD|MultXD|AddTreeWithDiv|SkipD|SkipD|MultXD,DeleteTerminalR|ReplaceBranchR|DivXD|AddTreeWithDiv|AddToLeafR|DivXD|AddTreeWithSub|DeleteNonTerminalR|AddTreeWithDiv|AddRandomSubTreeR|DeleteNonTerminalR|DeleteMaliciousR|DeleteTerminalR|DeleteNonTerminalR|AddXD,MultXD,DeleteNonTerminalR,0,0,32,47,33,49,3,3
,30,-10,ANTAGONIST-Wcq,PROTAGONIST-13c1c2c1c2c1c1c1c1c2c2c1c1c1c1c1c1c2c2c2c1c1c1c1c2c2c2c1c1c1c1c2c2c2c2c1c1c2c2c2,0.9823734537882778,1,0.9999895239493054,1,0.041540948377261064,0,3622751.4083333337,0,38977792.8,0,((((x)+((5)+(7)))-(((1)*(x))*((8)-(0))))-(((x)*((3)*(x)))*((x)*((x)*((7)-(x)))))),((0)*((x)+(x))),DeleteNonTerminalR|AddRandomSubTreeR|MultXD|SubXD|AddTreeWithSub|MultXD|AddTreeWithSub|AddTreeWithMult|MultXD|MutateNonTerminalR|MultXD|AddToLeafR|AddTreeWithAdd|SubXD|MutateTerminalR,FellTreeD|AddXD|DivXD|AddToLeafR|AddXD|FellTreeD|DivXD|DeleteNonTerminalR|DivXD|MutateTerminalR|MultXD|MutateTerminalR|AddTreeWithAdd|DeleteNonTerminalR|AddXD,MultXD,AddXD,0,0,46,48,47,49,4,4
,30,-10,ANTAGONIST-sbS,PROTAGONIST-2c2c2c2c2c1c1c2c1c1c2c1c1c1c2c1c1c2c1c1c1c2c1c1c2c2c1c1c1c2c1c1c2c1c1c2c1c2c1c2c2c1c2,0.7634249351598864,1,0.9999984408664382,1,0.6013280268440397,0,13151206.455000002,0,261897597.06666666,0,(((((x)*(2))*((8)*(9)))+(((6)*(1))*((7)*(x))))/(((5)-((6)+(1)))+((x)*((x)*((x)*(x)))))),((0)/((x)/(0))),AddRandomSubTreeR|MutateNonTerminalR|ReplaceBranchXR|AddTreeWithMult|AddTreeWithDiv|AddToLeafR|AddXD|MultXD|MultXD|AddToLeafR|AddRandomSubTreeR|AddRandomSubTreeR|AddRandomSubTreeR|AddRandomSubTreeR|MultXD,AddTreeWithDiv|SubXD|DivXD|AddTreeWithDiv|AddTreeWithMult|FellTreeD|AddTreeWithDiv|AddTreeWithMult|MutateTerminalR|DivXD|DeleteMaliciousR|AddTreeWithMult|DivXD|DivXD|DeleteTerminalR,AddRandomSubTreeR,DivXD,0,0,47,48,48,49,5,5
,30,-10,ANTAGONIST-wzh,PROTAGONIST-17c1c1c1c2c1c2c2c2c2c2c1c1c2c2c1c1c1c2c1c2c1c1c1c1c1c2c1c1c2c1c1c2c2c2c1c2c2c2c2c1c1c1,0.9878650562147534,1,0.9997321320428527,1,0.01175397886750249,0,235974.49333333335,0,1524382.9,0,((((8)*((x)*(2)))*((5)+((0)-(4))))-(((x)-(x))*((x)*((x)*(x))))),((0)/((x)/(0))),DivXD|DeleteNonTerminalR|DivXD|ReplaceBranchR|AddXD|AddTreeWithSub|DeleteMaliciousR|DeleteMaliciousR|SubXD|SubXD|MultXD|AddTreeWithMult|MultXD|MultXD|AddTreeWithMult,AddXD|AddTreeWithSub|AddTreeWithSub|AddTreeWithSub|AddToLeafR|AddTreeWithMult|DeleteTerminalR|DeleteTerminalR|ReplaceBranchR|FellTreeD|DivXD|SkipD|DivXD|SkipD|DeleteTerminalR,MultXD,AddTreeWithSub,0,0,40,48,41,49,6,6
,30,-10,ANTAGONIST-Hsa,PROTAGONIST-10c2c1c2c2c1c2c2c1c1c1c2c2c2c2c1c2c1c1c1c2c2c2c1c2c2c2c2c2c1c2c2c1c1c1c1c1c1c1c1,0.999680145152656,1,0.9999991967132218,1,0.00038558636391252174,0,36979160.87166667,0,508328214,0,((((9)*((6)*(9)))+(((7)*(5))*((4)+(4))))-(((2)+(x))*((x)*((x)*((x)*(x)))))),((0)*((x)+(x))),AddTreeWithAdd|SkipD|MutateTerminalR|ReplaceBranchR|AddXD|AddTreeWithMult|AddToLeafR|AddTreeWithSub|AddTreeWithMult|MultXD|MultXD|AddToLeafR|AddTreeWithAdd|MultXD|MultXD,FellTreeD|AddXD|SkipD|MutateNonTerminalR|AddTreeWithSub|MultXD|ReplaceBranchR|SubXD|FellTreeD|AddTreeWithMult|ReplaceBranchXR|MultXD|DeleteTerminalR|DeleteNonTerminalR|AddXD,MultXD,FellTreeD,0,0,44,48,45,49,7,7
,30,-10,ANTAGONIST-VmS,PROTAGONIST-9c1c2c2c2c1c2c2c1c2c2c2c1c1c2c2c2c1c2c2c1c1c2c1c1c2c2c2c1c1c2c2c1c1c1c2c2c1c1,0.9998558078097008,1,0.9999997389514176,1,0.0002835302256839325,0,145701657.18833333,0,1564204369.6666667,0,((((2)-((7)+(7)))+(((9)-(3))*((x)*(x))))+(((x)*(x))*((x)*((x)*((x)*(x)))))),((((8)/((7)/(0)))/((2)/((3)*(7))))/(((0)*(0))/((0)*((4)*(x))))),AddTreeWithSub|AddTreeWithAdd|MultXD|AddTreeWithAdd|MultXD|MutateTerminalR|AddXD|MultXD|AddXD|MutateNonTerminalR|AddToLeafR|MultXD|MultXD|MultXD|SkipD,FellTreeD|DivXD|AddTreeWithDiv|AddTreeWithDiv|AddTreeWithDiv|DeleteTerminalR|AddTreeWithMult|AddTreeWithDiv|MultXD|DeleteMaliciousR|DivXD|MultXD|AddToLeafR|DeleteTerminalR|ReplaceBranchR,MultXD,AddTreeWithDiv,0,0,13,48,14,49,8,8
,30,-10,ANTAGONIST-PaP,PROTAGONIST-0c1c2c2c1c1c1c1c2c1c1c1c1c1c2c1c1c2c2c2c2c1c2,0.9997418997784202,0.967006025125921,0.999999468173096,1,0.00037407923217982363,0.12565848181281866,59116676.66500001,0.2694507948049792,767793675.6,0,((((x)+((x)+(3)))*((9)*((9)*(7))))*(((2)-(x))*((x)*((x)*((x)*(x)))))),((0)+(x)),MutateNonTerminalR|FellTreeD|MutateNonTerminalR|DeleteMaliciousR|AddToLeafR|AddRandomSubTreeR|AddTreeWithMult|AddToLeafR|AddToLeafR|SubXD|MultXD|MultXD|AddTreeWithMult|MultXD|MultXD,DivXD|AddXD|DeleteTerminalR|ReplaceBranchR|DeleteNonTerminalR|MutateNonTerminalR|DivXD|DeleteTerminalR|DivXD|AddTreeWithSub|AddTreeWithAdd|AddXD|AddTreeWithDiv|AddRandomSubTreeR|DeleteNonTerminalR,MultXD,DivXD,0,0,47,25,48,26,9,9
