gen,specEquation,range,seed,AGenFitAvg,PGenFitAvg,AGenBestFitAvg,PGenBestFitAvg,AGenDeltaAvg,PGenDeltaAvg,AGenBestDeltaAvg,PGenBestDeltaAvg,topABestFit,topPBestFit,topAStdDev,topPStdDev,topAAvgDelta,topPAvgtDelta,topABestDelta,topPBestDelta,topAEquation,topPEquation,topAStrat,topPStrat,topADomStrat,topPDomStrat,topABirthGen,topPBirthGen,topAAge,topPAge,run
0,(x),30,-10,-0.3538693456157963,-0.05792120477429448,-0.1715551663836736,0.2728979591836735,30.580865826741455,161.70802379082787,291.42357004709226,1.038,0.9429848037048242,1,0.4897803271936346,0.3452828102657027,454.05559689153444,2.935,7161.833333333333,0,((((5)+(6))+((x)*((9)*(5))))-((0)+((x)-((x)*(x))))),((5)-((5)+(x))),DivXD|AddToLeafR|SkipD|AddTreeWithSub|DeleteTerminalR|MutateNonTerminalR|AddTreeWithMult|MutateTerminalR|ReplaceBranchR|AddXD|AddTreeWithAdd|AddTreeWithDiv|SubXD|ReplaceBranchR|MultXD,AddTreeWithDiv|ReplaceBranchXR|AddXD|AddRandomSubTreeR|MutateTerminalR|MultXD|AddRandomSubTreeR|MultXD|FellTreeD|DeleteNonTerminalR|AddTreeWithAdd|AddTreeWithMult|FellTreeD|AddTreeWithSub|AddXD,ReplaceBranchR,AddXD,0,0,1,1,0
1,(x),30,-10,-0.3154009119456753,0.0748349539030907,-0.029878930411346215,0.34,74.01750123452804,1123.0427848472896,693.6971869241684,0.49,0.9702558001189767,1,0.5654185944541478,0,949.0149421313827,0,13728.166666666666,0,((((x)-(8))*((7)*((6)*(5))))-((x)*((x)*((x)/(x))))),(((0)*((x)-(x)))+((x)+(x))),SkipD|MutateNonTerminalR|MultXD|AddTreeWithDiv|AddRandomSubTreeR|MutateTerminalR|AddToLeafR|MutateTerminalR|SubXD|MultXD|MutateNonTerminalR|MultXD|AddRandomSubTreeR|MutateNonTerminalR|DivXD,MultXD|AddRandomSubTreeR|MultXD|ReplaceBranchR|FellTreeD|AddToLeafR|MutateNonTerminalR|MultXD|DeleteMaliciousR|AddTreeWithSub|DivXD|DeleteMaliciousR|AddTreeWithMult|FellTreeD|AddXD,MultXD,MultXD,1,1,2,2,0
2,(x),30,-10,-0.2850778930406095,0.1774097067371269,0.10051338233861051,0.4,92.0419774322124,296.12051606019014,791.5206167110587,0,0.9602550167902275,1,0.7091956744797854,0,1043.7352268841482,0,10273.833333333334,0,((((5)+((5)*(4)))*((5)-((4)*(9))))-(((x)-(x))*((x)*((x)/(x))))),((0)+(x)),SkipD|ReplaceBranchXR|MutateTerminalR|SubXD|AddToLeafR|AddToLeafR|AddToLeafR|MutateTerminalR|SubXD|MultXD|MutateNonTerminalR|MultXD|AddRandomSubTreeR|MutateNonTerminalR|DivXD,MultXD|AddRandomSubTreeR|MultXD|ReplaceBranchR|MutateTerminalR|AddXD|AddTreeWithMult|SkipD|AddXD|AddTreeWithSub|DivXD|DeleteMaliciousR|AddTreeWithMult|FellTreeD|AddXD,AddToLeafR,AddXD,2,2,3,3,0
3,(x),30,-10,-0.20356468868484853,0.2885084656084656,0.33714322341971714,0.39755102040816326,1186.7087617708287,0.9108999999999999,19235.701444444443,0.02,0.9992990114057997,1,0.7905365469976898,0,33727.346666666665,0,582510.6666666666,0,((((9)*(5))*((8)*((x)*(9))))+(((8)+(x))*((x)*((x)/(x))))),((0)+(x)),SkipD|ReplaceBranchXR|MutateTerminalR|SubXD|SubXD|MutateNonTerminalR|DeleteTerminalR|AddXD|AddTreeWithMult|MultXD|MutateNonTerminalR|MultXD|AddRandomSubTreeR|MutateNonTerminalR|DivXD,MultXD|AddRandomSubTreeR|MultXD|AddRandomSubTreeR|MutateTerminalR|MultXD|AddRandomSubTreeR|AddXD|AddTreeWithMult|AddTreeWithSub|DivXD|DeleteMaliciousR|AddTreeWithMult|FellTreeD|AddXD,MutateNonTerminalR,MultXD,3,3,4,4,0
4,(x),30,-10,-0.1682420856794871,0.3538012849584278,0.3277494987159293,0.4,606.2027100387467,0.37736666666666663,6492.971999999997,0,0.9957106040870065,1,0.7399764402542767,0,7609.553333333334,0,95196,0,((((8)+(3))-((3)+((0)*(9))))*((x)+((x)*((x)*(x))))),((0)+(x)),MultXD|DeleteNonTerminalR|SkipD|AddTreeWithDiv|AddRandomSubTreeR|MutateNonTerminalR|DeleteTerminalR|AddXD|AddTreeWithMult|MultXD|MutateNonTerminalR|MultXD|ReplaceBranchR|AddTreeWithMult|SkipD,MultXD|AddRandomSubTreeR|AddXD|AddRandomSubTreeR|MutateTerminalR|MultXD|AddRandomSubTreeR|MultXD|FellTreeD|DeleteNonTerminalR|AddTreeWithAdd|DeleteMaliciousR|AddTreeWithMult|FellTreeD|AddXD,MultXD,MultXD,4,4,5,5,0
5,(x),30,-10,-0.10881817277273088,0.3903061224489796,0.37145817387900265,0.4,2850.8586689848203,0.07916666666666666,46477.351333333354,0,0.999728446884654,1,0.7760228629903054,0,78131.57555555555,0,1503696,0,((((8)+(8))*((x)*(8)))*((9)+((x)*((x)*(x))))),((0)+(x)),MultXD|DeleteNonTerminalR|SkipD|AddTreeWithDiv|AddRandomSubTreeR|MutateNonTerminalR|DeleteTerminalR|MutateTerminalR|AddXD|MultXD|MutateNonTerminalR|MultXD|ReplaceBranchR|AddTreeWithMult|AddTreeWithAdd,MultXD|AddRandomSubTreeR|MultXD|ReplaceBranchR|MutateTerminalR|AddXD|AddTreeWithMult|SkipD|AddXD|AddTreeWithSub|DivXD|DeleteMaliciousR|AddTreeWithMult|FellTreeD|AddXD,MultXD,AddXD,5,4,6,6,0
6,(x),30,-10,-0.03765766090791099,0.4,0.368765789749898,0.4,2231.036695298064,0,23795.316236772487,0,0.997425526795012,1,0.7634965962810502,0,19539.136944444446,0,158608.50000000003,0,((((4)*((5)-(x)))/((7)+((3)*(x))))+(((x)*(4))+((2)*((2)*((7)*(x)))))),((0)/((x)+(x))),SkipD|ReplaceBranchXR|MultXD|AddTreeWithDiv|AddRandomSubTreeR|MutateTerminalR|AddToLeafR|AddXD|AddXD|MultXD|MutateNonTerminalR|MultXD|ReplaceBranchR|AddTreeWithMult|AddTreeWithAdd,MultXD|AddRandomSubTreeR|MultXD|ReplaceBranchR|FellTreeD|MutateNonTerminalR|AddXD|MultXD|FellTreeD|DeleteNonTerminalR|AddTreeWithAdd|AddTreeWithMult|FellTreeD|DivXD|AddXD,MultXD,MultXD,6,5,7,7,0
7,(x),30,-10,0.029185897940539197,0.4,0.3917288899985365,0.4,4642.581295559252,0,53153.89266666667,0,0.9996201060942891,1,0.7352385074066234,0,82518.9298977912,0,1074861.5,0,((((3)*((x)+(4)))*((7)+((1)*(1))))*(((3)*(x))-((x)*((x)*((5)-(x)))))),((0)+(x)),SkipD|ReplaceBranchXR|MultXD|AddTreeWithDiv|AddRandomSubTreeR|MutateTerminalR|AddToLeafR|AddXD|SubXD|MultXD|MutateNonTerminalR|MultXD|AddRandomSubTreeR|MutateNonTerminalR|AddTreeWithMult,MultXD|AddRandomSubTreeR|MultXD|ReplaceBranchR|MutateTerminalR|AddXD|AddTreeWithMult|SkipD|AddXD|AddTreeWithSub|DivXD|DeleteMaliciousR|AddTreeWithMult|FellTreeD|AddXD,MultXD,AddXD,7,5,8,8,0
8,(x),30,-10,0.08933317575895691,0.4,0.39623521641392917,0.4,99898.97439027445,0,1799059.378666667,0,0.9999939001091606,1,0.6541955927807329,0,3437051.6812499994,0,66941088.63333333,0,((((x)*(x))*((x)*((1)*(5))))+(((8)+(x))*((x)*((x)*(x))))),((0)+(x)),SkipD|ReplaceBranchXR|MultXD|AddTreeWithDiv|AddRandomSubTreeR|MutateTerminalR|AddToLeafR|AddXD|SubXD|ReplaceBranchR|MutateNonTerminalR|MultXD|AddRandomSubTreeR|MutateNonTerminalR|AddTreeWithMult,MultXD|AddRandomSubTreeR|MultXD|ReplaceBranchR|AddTreeWithSub|AddXD|AddXD|MultXD|FellTreeD|DeleteNonTerminalR|DivXD|DeleteMaliciousR|AddTreeWithMult|FellTreeD|AddXD,MultXD,AddXD,8,7,9,9,0
9,(x),30,-10,0.07113319921151774,0.38078818840668816,0.3988009766977816,0.4,679356.0170513551,66.83117054673508,13344359.580666667,0,0.9999993750698475,1,0.7077951911047468,0,32896352.04479482,0,653406355.4666667,0,((((3)+((x)*(3)))*((x)*((8)*(5))))*(((x)+(x))*((x)*((x)*(x))))),((0)+(x)),SkipD|ReplaceBranchXR|MultXD|AddTreeWithDiv|AddRandomSubTreeR|MutateTerminalR|AddToLeafR|AddXD|SubXD|MultXD|MutateNonTerminalR|MultXD|AddRandomSubTreeR|MutateNonTerminalR|AddTreeWithMult,MultXD|AddRandomSubTreeR|MultXD|ReplaceBranchR|AddTreeWithSub|AddXD|AddXD|MultXD|FellTreeD|DeleteNonTerminalR|DivXD|DeleteMaliciousR|AddTreeWithMult|FellTreeD|AddXD,MultXD,MultXD,9,7,10,10,0
10,(x),30,-10,0.10542930195517436,0.369402127619949,0.3985959339792464,0.4,35754.10022403811,125.67690626624554,524616.8246285714,0,0.9999481684174233,1,0.8447106547824228,0,476006.34466503264,0,7878079.6,0,((((9)*((9)-(3)))+((0)/((5)*(1))))*(((x)*(5))*((x)-((x)*((x)*(x)))))),((0)+(x)),SkipD|ReplaceBranchXR|MultXD|AddTreeWithDiv|AddRandomSubTreeR|MutateTerminalR|AddToLeafR|AddXD|SubXD|MultXD|MutateNonTerminalR|MultXD|AddRandomSubTreeR|MutateNonTerminalR|AddTreeWithMult,MultXD|AddRandomSubTreeR|MultXD|ReplaceBranchR|MutateTerminalR|AddXD|AddRandomSubTreeR|MultXD|FellTreeD|DeleteNonTerminalR|DivXD|DeleteMaliciousR|AddTreeWithMult|FellTreeD|AddXD,MultXD,MultXD,10,10,11,11,0
