gen,specEquation,range,seed,AGenFitAvg,PGenFitAvg,AGenBestFitAvg,PGenBestFitAvg,AGenDeltaAvg,PGenDeltaAvg,AGenBestDeltaAvg,PGenBestDeltaAvg,topABestFit,topPBestFit,topAStdDev,topPStdDev,topAAvgDelta,topPAvgtDelta,topABestDelta,topPBestDelta,topAEquation,topPEquation,topAStrat,topPStrat,topADomStrat,topPDomStrat,topABirthGen,topPBirthGen,topAAge,topPAge,run
0,(x),30,-10,-0.35903460741717347,-0.10823048722516311,-0.12993140710210768,0.2908963585434174,169.85399843005308,136.6012101020485,850.4433333333333,1.7083333333333333,0.9611536571057095,1,0.8167117384539747,0.3144769634922302,1529.0599484126983,7.216785726814751,10511.5,0,((((7)+((7)+(9)))*((8)*((7)/(1))))*(((1)*(x))-((0)-((3)-(0))))),((0)/(0)),MutateNonTerminalR|MultXD|AddTreeWithDiv|AddTreeWithMult|MultXD|AddToLeafR|MutateTerminalR|SubXD|AddTreeWithAdd|AddTreeWithSub|MutateTerminalR|SubXD|SkipD|DeleteTerminalR|AddToLeafR,MultXD|AddToLeafR|SkipD|MutateNonTerminalR|DeleteTerminalR|DivXD|FellTreeD|ReplaceBranchXR|AddTreeWithAdd|AddXD|AddTreeWithAdd|DeleteNonTerminalR|DeleteTerminalR|DivXD|MutateTerminalR,MutateTerminalR,AddTreeWithAdd,0,0,1,1,1
1,(x),30,-10,-0.3571979655462344,-0.00002224411072163368,-0.024493694582230448,0.49387755102040815,464.34718187318356,23.829208215908853,3416.9553105361274,0.05,0.9876314474235548,1,0.8721141843712664,0.31477949059167315,4312.792592592593,7.224691888592429,33013.833333333336,0,((((3)-(9))*((5)+((9)*(6))))*((8)-((x)*((x)-(x))))),(((4)*(0))*((5)/(0))),MutateNonTerminalR|MultXD|AddTreeWithDiv|AddTreeWithMult|MultXD|AddToLeafR|MutateTerminalR|SubXD|AddTreeWithAdd|AddTreeWithSub|MultXD|SubXD|MutateNonTerminalR|SkipD|ReplaceBranchR,MultXD|AddTreeWithMult|SkipD|MutateNonTerminalR|DeleteTerminalR|DivXD|FellTreeD|DeleteTerminalR|MutateNonTerminalR|AddTreeWithSub|MutateNonTerminalR|AddTreeWithMult|DeleteTerminalR|DivXD|MutateTerminalR,MultXD,DeleteTerminalR,1,1,2,2,1
2,(x),30,-10,-0.22539707669643083,-0.019271558804532508,0.30017072460906047,0.46938775510204084,12460.87211957147,42.89208723751883,96438.92917874015,0.25,0.9997631614791136,0.6326530612244897,0.6341117233844094,0.31222743083342114,225790.98565476193,7.706666666666666,1724100.1666666667,3,((((3)*(9))*((7)*((7)*(6))))/(((6)*(x))-((x)*((x)*(x))))),((x)+(3)),MutateNonTerminalR|MultXD|AddTreeWithDiv|AddTreeWithMult|MultXD|AddToLeafR|MutateTerminalR|SubXD|AddTreeWithAdd|AddTreeWithSub|MultXD|SubXD|MutateNonTerminalR|SkipD|ReplaceBranchR,ReplaceBranchXR|DeleteTerminalR|AddTreeWithMult|AddTreeWithDiv|ReplaceBranchR|AddTreeWithAdd|MutateNonTerminalR|DeleteTerminalR|AddTreeWithSub|FellTreeD|AddTreeWithMult|AddTreeWithMult|DeleteNonTerminalR|ReplaceBranchXR|MutateTerminalR,MultXD,AddTreeWithMult,1,2,3,3,1
3,(x),30,-10,-0.15275573250746333,-0.017665806648737965,0.4035168255431432,0.400453514739229,17731.733505717762,26.010634887683022,172376.22999999998,0.812962962962963,0.9998546045924415,1,0.8939087608600893,0.5685315251787585,281364.35,7,2808433.5,0,((((x)+(5))*((x)*((7)*(x))))-((x)*((x)*((x)-(x))))),((0)+((x)-(0))),MutateNonTerminalR|MultXD|AddTreeWithDiv|DeleteNonTerminalR|MultXD|AddTreeWithAdd|MutateTerminalR|DivXD|SubXD|MultXD|MultXD|SubXD|MutateNonTerminalR|SkipD|ReplaceBranchR,DeleteNonTerminalR|MutateNonTerminalR|AddTreeWithDiv|ReplaceBranchR|DeleteMaliciousR|AddTreeWithDiv|AddXD|AddTreeWithAdd|AddTreeWithSub|FellTreeD|AddTreeWithMult|AddTreeWithMult|DeleteNonTerminalR|AddRandomSubTreeR|ReplaceBranchXR,MultXD,DeleteNonTerminalR,3,3,4,4,1
4,(x),30,-10,-0.1527789563486301,-0.019916194161941833,0.4127767255026672,0.3897959183673469,1320.4004609554936,7.742646529320227,9341.737352941176,0.9,0.9961314364213418,1,0.8757167876081677,0.35593376068996435,11306.973333333333,7.826611995649067,105551.66666666667,0,((((9)*(9))*((x)*(x)))-((x)*((x)-(x)))),(((0)*((3)/(5)))-((9)+(4))),MutateNonTerminalR|MultXD|AddTreeWithDiv|DeleteNonTerminalR|MultXD|AddToLeafR|MutateTerminalR|SubXD|AddTreeWithAdd|AddTreeWithSub|MultXD|SubXD|MutateNonTerminalR|SkipD|ReplaceBranchR,FellTreeD|DeleteNonTerminalR|FellTreeD|SubXD|AddToLeafR|AddTreeWithDiv|MutateNonTerminalR|AddTreeWithAdd|AddTreeWithSub|FellTreeD|AddTreeWithDiv|AddTreeWithAdd|MutateTerminalR|AddRandomSubTreeR|AddTreeWithSub,MultXD,FellTreeD,4,3,5,5,1
5,(x),30,-10,-0.08437271023372087,-0.01713396399465926,0.4410816736229107,0.30074756012698295,108643.10363690474,24.28052446549308,1017469.7266666666,1.6272282589629725,0.9999798512615191,0.08163265306122443,0.8867165843037808,0.03237980904629878,2157383.542738095,7.82,20265950.333333332,7.5,((((5)-((0)*(x)))*((4)+((9)*(x))))*(((x)-(x))*((x)*((x)-(x))))),(4),MutateNonTerminalR|MultXD|AddTreeWithDiv|AddTreeWithMult|MultXD|AddToLeafR|MutateTerminalR|SubXD|SubXD|MultXD|MultXD|SubXD|MutateNonTerminalR|SkipD|ReplaceBranchR,ReplaceBranchXR|MutateNonTerminalR|AddTreeWithMult|ReplaceBranchR|DeleteMaliciousR|AddTreeWithDiv|AddXD|AddTreeWithAdd|AddTreeWithSub|FellTreeD|AddTreeWithMult|AddTreeWithMult|DeleteNonTerminalR|DeleteTerminalR|MutateTerminalR,MultXD,AddTreeWithMult,5,5,6,6,1
6,(x),30,-10,-0.10411080750093633,0.044443655234808296,0.42511261338179124,0.47551020408163264,2249.5715119047613,9.482004456394627,19390.91,0.2,0.9979383386543831,1,0.9421620404316656,0.5352193863196798,21082.475,4.144117491555572,198060.33333333334,0,((((9)*(2))*((8)-((x)*(x))))-(((x)-(x))*((x)*((x)-(x))))),(((x)-(0))/((3)*(0))),MutateNonTerminalR|MultXD|AddTreeWithDiv|AddTreeWithMult|MultXD|AddToLeafR|MutateTerminalR|SubXD|SubXD|MultXD|MultXD|SubXD|MutateNonTerminalR|SkipD|ReplaceBranchR,FellTreeD|DeleteNonTerminalR|FellTreeD|SubXD|AddToLeafR|AddTreeWithDiv|MutateNonTerminalR|AddTreeWithAdd|ReplaceBranchXR|DivXD|AddTreeWithMult|AddTreeWithMult|DeleteNonTerminalR|DeleteTerminalR|MutateTerminalR,MultXD,AddTreeWithMult,6,6,7,7,1
7,(x),30,-10,-0.06271202568386879,0.09606881607428874,0.47471274182586143,0.44795918367346943,2740.9380833333335,5.921330678752506,21446.480833333335,0.425,0.9979165674555931,1,0.8443733346609268,0.5102610935093408,20706.986666666668,3.9633333333333334,195990.66666666666,0,((((x)*(8))+((2)*((x)+(x))))-((x)*((x)*((x)-(x))))),((x)*((4)-(3))),MutateNonTerminalR|MultXD|AddTreeWithDiv|DeleteNonTerminalR|MultXD|AddToLeafR|MutateTerminalR|DivXD|SubXD|MultXD|MultXD|SubXD|MutateNonTerminalR|SkipD|ReplaceBranchR,ReplaceBranchXR|MutateNonTerminalR|AddTreeWithMult|ReplaceBranchR|DeleteMaliciousR|AddTreeWithDiv|MultXD|ReplaceBranchXR|AddTreeWithAdd|FellTreeD|AddTreeWithMult|AddTreeWithMult|DeleteNonTerminalR|ReplaceBranchXR|AddTreeWithSub,MultXD,ReplaceBranchXR,6,7,8,8,1
8,(x),30,-10,-0.06793456699016182,0.0378707822390034,0.46760823693341413,0.5,5764.6659285714295,8.880798798643236,52375.78666666667,0,0.9994212879305605,1,0.9192161816443585,0.5582953012594619,73662.44857142858,5.324444444444444,705589.8,0,((((4)*(9))/((1)*((x)*(x))))+(((x)-(x))*((x)*((x)-(x))))),(((3)-((8)*(0)))*((x)/(0))),MutateNonTerminalR|MultXD|AddTreeWithDiv|AddTreeWithMult|MultXD|AddToLeafR|MutateTerminalR|DivXD|SubXD|MultXD|MultXD|SubXD|MutateNonTerminalR|SkipD|ReplaceBranchR,DeleteTerminalR|MutateNonTerminalR|AddTreeWithMult|ReplaceBranchR|DeleteMaliciousR|AddTreeWithDiv|MultXD|ReplaceBranchXR|AddTreeWithAdd|DivXD|AddTreeWithMult|AddTreeWithMult|DeleteNonTerminalR|DeleteTerminalR|AddTreeWithSub,MultXD,AddTreeWithMult,8,8,9,9,1
9,(x),30,-10,-0.04749711151037006,0.15178938827517302,0.45352224378512584,0.5,1455.7918154761905,117.6508914163852,9737.596666666668,0,0.9937696351854385,1,0.8896678715040631,0.44782280561264365,9001.566309523809,2.464117491555572,65539.23333333334,0,((((7)*(9))-((x)*((x)+(x))))-(((0)/(8))*((x)*((x)-(x))))),((((x)-(3))*((2)-(1)))*((2)+((1)/(0)))),MutateNonTerminalR|MultXD|AddTreeWithDiv|SubXD|MultXD|AddXD|MutateTerminalR|DivXD|AddTreeWithDiv|MultXD|MultXD|SubXD|MutateNonTerminalR|SkipD|ReplaceBranchR,SubXD|DeleteNonTerminalR|AddTreeWithMult|ReplaceBranchR|DeleteMaliciousR|AddTreeWithDiv|MutateNonTerminalR|AddTreeWithAdd|ReplaceBranchXR|DivXD|AddTreeWithMult|AddTreeWithMult|DeleteNonTerminalR|DeleteTerminalR|MutateTerminalR,MultXD,AddTreeWithMult,7,9,10,10,1
10,(x),30,-10,-0.05994555520651714,0.1544705720207678,0.45824891118480215,0.5,1116.8688174603176,6.275602305947119,6407.627222222222,0,0.9893522888667532,1,0.8525783267129762,0.5078896542237159,7427.956666666668,3.206666666666667,38349.4,0,((((7)-(7))-((x)*((x)+(9))))/(((x)-(x))*((x)*((x)*(x))))),(((x)-((0)*(0)))*((6)+((5)/(5)))),MutateNonTerminalR|MultXD|AddTreeWithDiv|SubXD|MultXD|AddXD|MutateTerminalR|DivXD|SubXD|MultXD|MultXD|SubXD|MutateNonTerminalR|SkipD|ReplaceBranchR,ReplaceBranchXR|MutateNonTerminalR|AddTreeWithMult|ReplaceBranchR|AddTreeWithAdd|AddTreeWithDiv|MultXD|AddTreeWithAdd|ReplaceBranchXR|DivXD|AddTreeWithMult|AddTreeWithMult|DeleteNonTerminalR|DeleteTerminalR|MutateTerminalR,MultXD,AddTreeWithMult,10,10,11,11,1
