gen,specEquation,range,seed,AGenFitAvg,PGenFitAvg,AGenBestFitAvg,PGenBestFitAvg,AGenDeltaAvg,PGenDeltaAvg,AGenBestDeltaAvg,PGenBestDeltaAvg,topABestFit,topPBestFit,topAStdDev,topPStdDev,topAAvgDelta,topPAvgtDelta,topABestDelta,topPBestDelta,topAEquation,topPEquation,topAStrat,topPStrat,topADomStrat,topPDomStrat,topABirthGen,topPBirthGen,topAAge,topPAge,run
0,(x),30,-10,-0.45610329961396745,-0.042496752729436524,-0.29265743404135647,0.17791983674747108,18.533723657380033,8.88809092931358,90.15372562231747,2.8372699579259177,0.3893320039880359,1,0.5260305012077147,0.4036777134460851,127.86660961964019,4.5745668220668225,668.6666666666666,0,((((1)-(5))/((9)-(x)))*((7)-((0)*(x)))),(((8)+(x))/((0)*(x))),AddTreeWithMult|SkipD|FellTreeD|ReplaceBranchXR|AddRandomSubTreeR|AddTreeWithAdd|AddRandomSubTreeR|MultXD|ReplaceBranchXR|AddTreeWithAdd|DeleteNonTerminalR|AddTreeWithSub|AddTreeWithDiv|AddToLeafR|MutateTerminalR,AddTreeWithDiv|FellTreeD|MutateTerminalR|AddTreeWithAdd|DeleteTerminalR|DeleteTerminalR|AddTreeWithDiv|FellTreeD|AddToLeafR|AddTreeWithAdd|FellTreeD|SkipD|AddTreeWithDiv|AddTreeWithAdd|MultXD,ReplaceBranchXR,AddTreeWithDiv,0,0,1,1,2
1,(x),30,-10,-0.43401540028607294,0.05236673576755809,-0.21190923835247327,0.36621940522708196,32.358161430285634,6.757581062353752,165.29575813028563,1.0925415239788303,0.6787896268715421,1,0.6407002188467488,0.19151824460315742,262.29477194205293,0.9796894388148258,1271.2333333333333,0,((((0)-(x))*((5)-(8)))/((x)+((x)*((9)*(x))))),(((5)*(0))/((x)+(x))),AddTreeWithMult|SkipD|FellTreeD|ReplaceBranchXR|AddRandomSubTreeR|AddTreeWithAdd|AddRandomSubTreeR|MultXD|ReplaceBranchXR|AddTreeWithAdd|DeleteNonTerminalR|AddTreeWithSub|AddTreeWithDiv|AddToLeafR|MutateTerminalR,DeleteMaliciousR|ReplaceBranchR|MultXD|SubXD|MutateNonTerminalR|DeleteNonTerminalR|DivXD|DeleteNonTerminalR|AddToLeafR|FellTreeD|DivXD|DivXD|ReplaceBranchR|DeleteMaliciousR|AddXD,AddTreeWithAdd,DivXD,0,1,2,2,2
2,(x),30,-10,-0.38057071708313117,0.10425798925906135,-0.09300918775300729,0.4449816401468788,190.57794140645407,29.02807046384993,1100.2433333333333,0.4538888888888889,0.9745253394888431,1,0.8071662069770408,0.4012173064874979,2746.9000000000005,2.8101915010370893,16029,0,((((x)+(4))+((3)-(x)))*((8)*((8)*((4)*(x))))),(((0)-((2)+(0)))+((2)/((0)+(x)))),FellTreeD|AddTreeWithAdd|FellTreeD|ReplaceBranchXR|AddRandomSubTreeR|AddTreeWithAdd|AddRandomSubTreeR|MultXD|DeleteNonTerminalR|AddTreeWithAdd|MutateTerminalR|AddTreeWithMult|ReplaceBranchR|AddRandomSubTreeR|MultXD,DeleteMaliciousR|ReplaceBranchR|MultXD|SubXD|MutateNonTerminalR|DeleteNonTerminalR|DivXD|AddTreeWithMult|SkipD|FellTreeD|DivXD|DivXD|ReplaceBranchR|DeleteMaliciousR|AddXD,AddTreeWithAdd,DivXD,2,2,3,3,2
3,(x),30,-10,-0.33207106333800357,0.33860137804016005,-0.029483743838251347,0.5,2053.337834942087,3.9948701682093573,19000.99166666667,0,0.9988720408105763,1,0.8829588940964731,0,36797.100000000006,0,362010.73333333334,0,((((8)+(x))*((3)*((9)-(0))))*((9)-((0)*((x)*(x))))),(((7)+(1))/((0)+(x))),FellTreeD|AddTreeWithAdd|FellTreeD|ReplaceBranchXR|AddRandomSubTreeR|AddTreeWithAdd|AddRandomSubTreeR|MultXD|DeleteNonTerminalR|AddTreeWithAdd|MutateTerminalR|AddTreeWithMult|ReplaceBranchR|AddRandomSubTreeR|MultXD,DeleteMaliciousR|ReplaceBranchR|MultXD|SubXD|MutateNonTerminalR|DeleteNonTerminalR|DivXD|AddTreeWithMult|SkipD|FellTreeD|DivXD|DivXD|SkipD|DeleteMaliciousR|AddXD,AddTreeWithAdd,DivXD,2,3,4,4,2
4,(x),30,-10,-0.2692796141930881,0.41288409247129304,0.1504253423139654,0.5,234.9563690476191,1.2419813755704372,1537.4133333333332,0,0.973894790678842,1,0.6926784984321261,0,1806.7666666666669,0,15641.833333333334,0,(((x)*((7)+(5)))*((x)*(x))),(((0)+(0))/((x)+(x))),FellTreeD|AddTreeWithAdd|FellTreeD|AddXD|DeleteMaliciousR|SubXD|ReplaceBranchR|AddToLeafR|ReplaceBranchXR|MutateTerminalR|AddRandomSubTreeR|AddToLeafR|ReplaceBranchR|AddRandomSubTreeR|MultXD,DeleteMaliciousR|ReplaceBranchR|MultXD|SubXD|MutateNonTerminalR|DeleteNonTerminalR|DivXD|AddTreeWithMult|SkipD|FellTreeD|DivXD|AddTreeWithMult|SkipD|DeleteMaliciousR|AddXD,AddToLeafR,DeleteMaliciousR,3,4,5,5,2
5,(x),30,-10,-0.16093285767536353,0.4856276566278789,0.4418077264908712,0.5,1285.5116731867845,0.30647768723957586,9750.089047619047,0,0.9965276390014454,1,0.7699347331692643,0,14421.713333333333,0,117595.3,0,((((x)*(6))*((x)+(0)))*((4)*((x)*(x)))),(((0)/(x))/((x)+(x))),DeleteMaliciousR|AddTreeWithAdd|FellTreeD|AddXD|DeleteMaliciousR|SubXD|AddRandomSubTreeR|MultXD|ReplaceBranchXR|MutateTerminalR|AddRandomSubTreeR|AddToLeafR|DeleteMaliciousR|AddRandomSubTreeR|MultXD,DeleteMaliciousR|ReplaceBranchR|MultXD|SubXD|MutateNonTerminalR|DeleteNonTerminalR|DivXD|AddTreeWithMult|SkipD|FellTreeD|DivXD|DivXD|SkipD|DeleteMaliciousR|AddXD,AddRandomSubTreeR,DivXD,5,4,6,6,2
6,(x),30,-10,-0.17307123179629985,0.4981495120253966,0.31438925041978405,0.5,490.02027777777784,0.01511231845926118,3443.8950000000004,0,0.983469289989137,1,0.8138209832920714,0,3014.2133333333336,0,24701.5,0,((((x)*(8))*((2)+(3)))-((1)-((0)*((x)*(x))))),(((0)/(x))/((x)+(x))),DeleteMaliciousR|AddTreeWithAdd|FellTreeD|AddXD|DeleteMaliciousR|SubXD|AddRandomSubTreeR|MultXD|ReplaceBranchXR|MutateTerminalR|AddRandomSubTreeR|AddToLeafR|DeleteMaliciousR|AddRandomSubTreeR|MultXD,DeleteMaliciousR|ReplaceBranchR|MultXD|SubXD|MutateNonTerminalR|DeleteNonTerminalR|DivXD|AddTreeWithMult|SkipD|FellTreeD|DivXD|DivXD|SkipD|DeleteMaliciousR|AddXD,DeleteMaliciousR,DivXD,6,5,7,7,2
7,(x),30,-10,-0.12581485266423909,0.5,0.4411912478693817,0.5,1590.8885714285714,0,13723.043333333331,0,0.9963504030197808,1,0.7976343391836833,0,11611.883333333333,0,111884.5,0,((((x)-(5))*((6)*(9)))*((4)*((7)*(x)))),(((0)/(x))/((x)+(x))),FellTreeD|AddTreeWithAdd|FellTreeD|AddXD|DeleteMaliciousR|SubXD|ReplaceBranchR|AddToLeafR|ReplaceBranchXR|MutateTerminalR|AddRandomSubTreeR|AddToLeafR|ReplaceBranchR|AddRandomSubTreeR|MultXD,DeleteMaliciousR|AddRandomSubTreeR|MultXD|SubXD|MutateNonTerminalR|DeleteNonTerminalR|DivXD|AddTreeWithMult|SkipD|FellTreeD|DivXD|DivXD|SkipD|DeleteMaliciousR|AddXD,ReplaceBranchR,DivXD,5,6,8,8,2
8,(x),30,-10,-0.12865855089434303,0.5,0.4322562959594758,0.5,1256.1955000000003,0,7252.466666666667,0,0.99003506031839,1,0.8372732363049162,0,10775.2,0,40977,0,((((7)+(4))-((4)*(x)))*((8)*((x)*(x)))),(((0)/(0))/((x)+(x))),DeleteMaliciousR|AddTreeWithAdd|FellTreeD|AddXD|DeleteMaliciousR|SubXD|AddRandomSubTreeR|MultXD|ReplaceBranchXR|MutateTerminalR|AddRandomSubTreeR|AddToLeafR|ReplaceBranchR|AddRandomSubTreeR|MultXD,DeleteMaliciousR|ReplaceBranchR|MultXD|SubXD|MutateNonTerminalR|DeleteNonTerminalR|DivXD|AddTreeWithMult|SkipD|FellTreeD|DivXD|DivXD|SkipD|DeleteMaliciousR|AddXD,AddRandomSubTreeR,DivXD,8,7,9,9,2
9,(x),30,-10,-0.06141639141230922,0.5,0.45613928544577736,0.5,749.6578333333333,0,4044.5966666666673,0,0.980539152841522,1,0.798092488270926,0,3633.2566666666667,0,20982.3,0,((((3)*(6))-((0)*(2)))-((x)*((x)*(x)))),(((0)/(x))/((x)+(x))),DeleteMaliciousR|AddTreeWithAdd|FellTreeD|AddXD|DeleteMaliciousR|SubXD|AddRandomSubTreeR|MultXD|ReplaceBranchXR|MutateTerminalR|AddRandomSubTreeR|AddToLeafR|ReplaceBranchR|AddRandomSubTreeR|MultXD,DeleteMaliciousR|ReplaceBranchR|MultXD|SubXD|MutateNonTerminalR|DeleteNonTerminalR|DivXD|AddTreeWithMult|SkipD|FellTreeD|DivXD|DivXD|SkipD|DeleteMaliciousR|AddXD,AddRandomSubTreeR,DivXD,9,8,10,10,2
10,(x),30,-10,-0.02243861314599988,0.43877925623763536,0.4667939021649025,0.45,1293.7189999999998,0.5788866416592809,9348.485000000002,0.4083333333333333,0.9909640709331495,1,0.9233087410171688,0,6257.05,0,45189.96666666667,0,(((x)+((8)*(x)))+((9)*((x)*(x)))),(((0)/(x))/((x)+(x))),DeleteMaliciousR|AddTreeWithAdd|FellTreeD|AddXD|DeleteMaliciousR|SubXD|AddRandomSubTreeR|MultXD|ReplaceBranchXR|MutateTerminalR|AddRandomSubTreeR|AddToLeafR|DeleteMaliciousR|AddRandomSubTreeR|MultXD,DeleteMaliciousR|AddRandomSubTreeR|MultXD|SubXD|MutateNonTerminalR|DeleteNonTerminalR|DivXD|AddTreeWithMult|SkipD|FellTreeD|DivXD|DivXD|SkipD|DeleteMaliciousR|AddXD,AddRandomSubTreeR,DivXD,10,9,11,11,2
