gen,specEquation,range,seed,AGenFitAvg,PGenFitAvg,AGenBestFitAvg,PGenBestFitAvg,AGenDeltaAvg,PGenDeltaAvg,AGenBestDeltaAvg,PGenBestDeltaAvg,topABestFit,topPBestFit,topAStdDev,topPStdDev,topAAvgDelta,topPAvgtDelta,topABestDelta,topPBestDelta,topAEquation,topPEquation,topAStrat,topPStrat,topADomStrat,topPDomStrat,topABirthGen,topPBirthGen,topAAge,topPAge,run
0,(x),30,-10,-0.4241995794579589,-0.08576217307550897,-0.14023613508853555,0.20631273110574067,386.0578065615441,16.05205906565058,3607.4577306348683,2.6578393583042645,0.986947395339421,1,0.7815827759379046,0.48304589153964794,3380.2200000000003,5.716666666666666,31283.666666666668,0,((((8)+(0))*((x)*(3)))*((x)*((x)-(x)))),((0)+(x)),DeleteTerminalR|FellTreeD|DeleteNonTerminalR|AddTreeWithMult|AddTreeWithDiv|MutateNonTerminalR|MultXD|AddTreeWithDiv|ReplaceBranchXR|MultXD|SubXD|AddRandomSubTreeR|ReplaceBranchR|DeleteTerminalR|AddTreeWithMult,AddXD|AddTreeWithMult|SkipD|DeleteTerminalR|AddTreeWithAdd|DeleteTerminalR|AddToLeafR|AddToLeafR|DeleteNonTerminalR|AddXD|ReplaceBranchXR|MutateTerminalR|ReplaceBranchR|SkipD|DeleteNonTerminalR,DeleteTerminalR,AddXD,0,0,1,1,3
1,(x),30,-10,-0.3348482701446234,-0.09667362698652364,0.14477215468664553,0.22693423245351907,261.3178739581963,24937.414573762206,1914.9892088359265,2.230037101629594,0.9823906712244881,0.8775510204081632,0.8129601820260716,0.4140305579951495,3082.898333333333,5.85,23188.466666666667,1,((((x)+(1))*((1)*((x)*(2))))+((x)-((0)+((x)*(x))))),((x)+(1)),AddToLeafR|AddToLeafR|AddTreeWithMult|AddXD|AddTreeWithMult|MutateNonTerminalR|MutateTerminalR|ReplaceBranchR|AddTreeWithSub|ReplaceBranchXR|DivXD|MutateNonTerminalR|MutateTerminalR|MutateNonTerminalR|MultXD,AddTreeWithSub|SubXD|DivXD|ReplaceBranchXR|AddToLeafR|SkipD|MutateNonTerminalR|AddToLeafR|DivXD|AddTreeWithDiv|AddTreeWithDiv|AddTreeWithAdd|FellTreeD|MultXD|ReplaceBranchXR,MutateNonTerminalR,DivXD,1,0,2,2,3
2,(x),30,-10,-0.38739708509641324,-0.008311962703223333,0.06057638111801371,0.3119055010975068,76.2852789213943,9.638967132859259,463.43,1.5361050743703608,0.5798319327731092,1,0.4638946512472903,0.4999525619417812,221.3166666666667,8.02,971.8333333333334,0,(((1)*((8)*(6)))+((9)*(x))),((0)+((0)+(x))),DeleteNonTerminalR|DeleteTerminalR|ReplaceBranchXR|AddRandomSubTreeR|MutateNonTerminalR|MultXD|DeleteNonTerminalR|MutateTerminalR|DeleteMaliciousR|AddTreeWithAdd|AddTreeWithMult|MutateNonTerminalR|MutateTerminalR|MutateNonTerminalR|ReplaceBranchR,AddXD|AddTreeWithMult|SkipD|SkipD|AddTreeWithAdd|DeleteTerminalR|AddToLeafR|AddToLeafR|DeleteNonTerminalR|AddXD|ReplaceBranchXR|MutateTerminalR|ReplaceBranchR|SkipD|DeleteNonTerminalR,MutateNonTerminalR,SkipD,2,2,3,3,3
3,(x),30,-10,-0.3334435925176061,0.05448527459841127,0.07563587288897829,0.3555599565351492,243.79474471392578,7.126096790400003,1784.1966666666667,1.1795936882962812,0.34210526315789475,1,0.5228150542307821,0.5004556209994442,309.62666666666667,4.383333333333333,620.6666666666666,0,(((0)-((3)*(5)))*((5)*(x))),((0)+(x)),DeleteNonTerminalR|DeleteTerminalR|ReplaceBranchXR|AddRandomSubTreeR|MutateNonTerminalR|MultXD|DeleteNonTerminalR|DeleteTerminalR|DeleteMaliciousR|AddTreeWithAdd|AddTreeWithMult|MutateNonTerminalR|MutateTerminalR|MutateNonTerminalR|MultXD,AddTreeWithSub|AddTreeWithMult|SkipD|SkipD|AddTreeWithAdd|DeleteTerminalR|AddToLeafR|AddToLeafR|DeleteNonTerminalR|AddXD|ReplaceBranchXR|MutateTerminalR|ReplaceBranchR|SkipD|DeleteNonTerminalR,MutateNonTerminalR,SkipD,3,3,4,4,3
4,(x),30,-10,-0.214986341463043,0.06446506283944813,0.34114253858090515,0.5,1243.9918868760064,59.57383723342218,11159.54,0,0.8895172127673007,1,0.5892119228352721,0.510564226631165,1101.2766666666666,4.84,3695.9,0,((((2)-(4))+((1)*(x)))-((x)*((x)*(x)))),((((0)-(5))-((9)*(0)))+((0)*((0)+(x)))),DeleteNonTerminalR|DeleteTerminalR|ReplaceBranchXR|AddRandomSubTreeR|MutateTerminalR|SkipD|MutateTerminalR|ReplaceBranchR|AddTreeWithSub|AddTreeWithAdd|AddTreeWithMult|MutateNonTerminalR|MutateTerminalR|MutateNonTerminalR|MultXD,AddTreeWithSub|AddTreeWithMult|SkipD|SkipD|AddTreeWithAdd|DeleteTerminalR|AddToLeafR|AddToLeafR|DeleteNonTerminalR|AddXD|ReplaceBranchXR|AddTreeWithDiv|ReplaceBranchR|SkipD|DeleteNonTerminalR,MutateTerminalR,SkipD,4,4,5,5,3
5,(x),30,-10,-0.18153960424840315,0.09059306485087934,0.37860874697645264,0.43775510204081625,593.5919677614063,6.1355109572029845,4267.6,0.5083333333333333,0.946524064171123,1,0.7763908886974681,0.4371191644843101,1644.8533333333332,4.816666666666666,7635.833333333333,0,(((9)*((8)+(5)))*((2)*((4)*(x)))),((x)-(0)),DeleteNonTerminalR|DeleteTerminalR|ReplaceBranchXR|AddRandomSubTreeR|MutateTerminalR|AddTreeWithDiv|MutateTerminalR|ReplaceBranchR|AddTreeWithSub|AddTreeWithAdd|AddTreeWithMult|MutateNonTerminalR|MutateTerminalR|MutateNonTerminalR|MultXD,AddXD|AddTreeWithMult|SkipD|SkipD|AddTreeWithAdd|SkipD|MutateNonTerminalR|AddToLeafR|DivXD|AddTreeWithDiv|AddTreeWithDiv|AddToLeafR|FellTreeD|MultXD|ReplaceBranchXR,MutateTerminalR,SkipD,3,4,6,6,3
6,(x),30,-10,-0.1339256442623058,0.030722857759207696,0.41534566564517306,0.47551020408163264,452.6998333333334,14.21717349897448,2396.5233333333335,0.2,0.8673740053050397,1,0.7148862347221687,0.6408074470513363,967.3666666666668,144.58479144399348,3078.8333333333335,0,(((9)-((3)*(9)))*((7)-((0)*(x)))),(((0)*((6)-(x)))-((8)/((x)+(x)))),DeleteNonTerminalR|DeleteTerminalR|ReplaceBranchXR|AddRandomSubTreeR|MutateTerminalR|SkipD|MutateTerminalR|ReplaceBranchR|DeleteMaliciousR|AddTreeWithAdd|AddTreeWithMult|MutateNonTerminalR|MutateTerminalR|MutateNonTerminalR|MultXD,AddTreeWithSub|AddTreeWithMult|SkipD|SkipD|AddTreeWithAdd|SkipD|MutateNonTerminalR|AddToLeafR|DivXD|AddXD|ReplaceBranchXR|MutateTerminalR|ReplaceBranchR|SkipD|DeleteNonTerminalR,MutateTerminalR,SkipD,6,6,7,7,3
7,(x),30,-10,-0.1470549283178603,-0.011870189789651564,0.4086736710813511,0.3587755102040816,522.2455000000001,78.56466666666665,3176.1333333333337,1.1533333333333333,0.9751861042183623,1,0.8664977055839522,0.4731587773276251,3083.64,7.383333333333333,16455.833333333332,0,(((4)*((7)*(9)))*((2)*((4)*(x)))),((x)+(0)),DeleteNonTerminalR|DeleteTerminalR|ReplaceBranchXR|AddRandomSubTreeR|MutateTerminalR|SkipD|MutateTerminalR|ReplaceBranchR|AddTreeWithSub|AddTreeWithAdd|AddTreeWithMult|MutateNonTerminalR|MutateTerminalR|MutateNonTerminalR|MultXD,AddXD|AddTreeWithMult|SkipD|SkipD|AddTreeWithAdd|DeleteTerminalR|AddToLeafR|AddToLeafR|DivXD|AddTreeWithDiv|AddTreeWithDiv|AddToLeafR|FellTreeD|MultXD|ReplaceBranchXR,MutateTerminalR,AddToLeafR,6,6,8,8,3
8,(x),30,-10,-0.10869714094022417,0.033476358124284775,0.42501928614060425,0.5,855.0891666666666,20.538855914901415,6118.616666666667,0,0.9910698338989105,1,0.7440846895716648,0.47790381862374265,5776.016666666666,5.24159132190479,45725.166666666664,0,(((8)*((5)*(5)))*((4)*((7)*(x)))),(((((9)+(0))+((1)+(1)))+(((4)*(4))+((2)-(2))))-(((0)*((5)/(1)))*((1)*((x)/((0)/(x)))))),DeleteNonTerminalR|DeleteTerminalR|ReplaceBranchXR|AddRandomSubTreeR|MutateTerminalR|SkipD|MutateTerminalR|ReplaceBranchR|DeleteMaliciousR|AddTreeWithAdd|AddTreeWithMult|AddTreeWithMult|AddTreeWithAdd|MutateNonTerminalR|MultXD,AddXD|AddTreeWithMult|SkipD|SkipD|AddTreeWithAdd|DeleteTerminalR|AddToLeafR|AddToLeafR|DivXD|AddXD|ReplaceBranchXR|MutateTerminalR|ReplaceBranchR|SkipD|DeleteNonTerminalR,MutateTerminalR,SkipD,8,8,9,9,3
9,(x),30,-10,-0.07933191557896688,0.05063562638162415,0.4514835096673546,0.48775510204081635,1922.5906666666665,249.73201561827636,15321.906666666666,0.1,0.9982973660600425,1,0.8719824950650756,0.4674724306457605,27275.74,4.25,239824.5,0,((((3)-(8))*((6)*(7)))*((x)*((8)*(x)))),((x)*(1)),DeleteNonTerminalR|DeleteTerminalR|ReplaceBranchXR|AddRandomSubTreeR|MutateTerminalR|SkipD|MutateTerminalR|ReplaceBranchR|AddTreeWithSub|AddTreeWithAdd|AddTreeWithMult|MutateNonTerminalR|MutateTerminalR|MutateNonTerminalR|MultXD,AddXD|AddTreeWithMult|SkipD|SkipD|AddTreeWithAdd|DeleteTerminalR|AddToLeafR|AddToLeafR|DivXD|AddTreeWithDiv|AddTreeWithDiv|AddToLeafR|FellTreeD|MultXD|ReplaceBranchXR,MutateTerminalR,AddToLeafR,9,8,10,10,3
10,(x),30,-10,-0.07663573124638826,0.06526500989815047,0.4300604793168092,0.4077551020408163,2612.488824196572,5.870262737781002,22094.175000000003,0.7533333333333333,0.9702203692674211,1,0.6380913877518335,0.4872300778544667,2480.2066666666665,3.0403128567195905,13711.833333333334,0,(((6)*((4)*(7)))+((3)*((7)*(x)))),((0)+(x)),DeleteNonTerminalR|DeleteTerminalR|ReplaceBranchXR|AddRandomSubTreeR|MutateTerminalR|SkipD|MutateTerminalR|ReplaceBranchR|AddTreeWithSub|AddTreeWithAdd|AddTreeWithMult|MutateNonTerminalR|MutateTerminalR|MutateNonTerminalR|MultXD,AddXD|AddTreeWithMult|SkipD|SkipD|AddTreeWithAdd|DeleteTerminalR|AddToLeafR|AddToLeafR|DivXD|AddToLeafR|ReplaceBranchXR|MutateTerminalR|ReplaceBranchR|SkipD|DeleteNonTerminalR,MutateTerminalR,AddToLeafR,10,10,11,11,3
