gen,specEquation,range,seed,AGenFitAvg,PGenFitAvg,AGenBestFitAvg,PGenBestFitAvg,AGenDeltaAvg,PGenDeltaAvg,AGenBestDeltaAvg,PGenBestDeltaAvg,topABestFit,topPBestFit,topAStdDev,topPStdDev,topAAvgDelta,topPAvgtDelta,topABestDelta,topPBestDelta,topAEquation,topPEquation,topAStrat,topPStrat,topADomStrat,topPDomStrat,topABirthGen,topPBirthGen,topAAge,topPAge,run
0,(x),30,-10,-0.3696858720044191,-0.07973194872685006,-0.2289656098160506,0.33360544217687077,34.52012121198935,338.12559601479546,487.49711095782163,0.5422222222222222,0.9776470051548743,1,0.4359990427013322,0.2835625161055469,926.4728493813334,8.731805555555555,18267.5,0,((((6)*(8))*((0)+(4)))-((0)*((x)+((0)*(x))))),((1)/((0)-(2))),MultXD|SubXD|MultXD|AddXD|AddTreeWithAdd|SkipD|DeleteNonTerminalR|DivXD|MutateNonTerminalR|AddToLeafR|SkipD|DeleteTerminalR|DeleteMaliciousR|DeleteTerminalR|AddTreeWithMult,MultXD|AddTreeWithMult|MutateTerminalR|MutateTerminalR|FellTreeD|AddTreeWithMult|MutateNonTerminalR|AddToLeafR|AddTreeWithSub|SkipD|MutateNonTerminalR|FellTreeD|ReplaceBranchR|MutateTerminalR|AddTreeWithDiv,SkipD,MutateTerminalR,0,0,1,1,4
1,(x),30,-10,-0.336461700211311,0.03513609436686055,-0.036263933237226265,0.38,183.4424482768789,68.82396349919618,3174.70871877015,0.16333333333333333,0.9948658735663738,1,0.7717671457461469,0.5152133232704535,4507.026064227034,3.35425404076499,79533.16666666667,0,((((x)+(0))*((x)-((x)*(8))))+(((0)+(8))*((x)/((1)/(8))))),(((1)-((6)/(0)))+((0)*(3))),AddToLeafR|SubXD|MultXD|AddXD|AddTreeWithAdd|SkipD|MutateTerminalR|SkipD|DeleteMaliciousR|MutateTerminalR|MutateTerminalR|MultXD|DivXD|AddTreeWithAdd|AddTreeWithDiv,AddToLeafR|AddTreeWithDiv|AddTreeWithDiv|MutateTerminalR|AddTreeWithDiv|AddTreeWithAdd|AddTreeWithMult|DeleteMaliciousR|DivXD|AddTreeWithDiv|AddTreeWithDiv|AddRandomSubTreeR|AddTreeWithDiv|DeleteMaliciousR|AddToLeafR,MutateTerminalR,AddTreeWithDiv,1,1,2,2,4
2,(x),30,-10,-0.27713315934206295,0.15652426076519357,0.1119220292731997,0.38163265306122446,200.40151417196768,3864.2292068839893,2204.196696390416,0.15,0.992504797949068,1,0.622123518474807,0.30785955654861397,2928.1721751931746,0.8168419735325196,54479.2962962963,0,((((x)*((9)+(9)))+((9)-((4)*(1))))*(((7)*(2))+((x)*((x)/((9)/(x)))))),(((((0)*((8)*(3)))/((x)+((x)*(1))))-(((3)/((7)+(1)))/((4)/((0)*(0)))))-((((x)-(2))*((2)/((0)/(6))))*(((6)-((0)/(x)))-((7)*((5)*((2)/(x))))))),MultXD|SubXD|MultXD|AddXD|AddTreeWithAdd|SkipD|MutateTerminalR|AddRandomSubTreeR|MultXD|MutateTerminalR|AddToLeafR|AddXD|DivXD|AddTreeWithAdd|AddTreeWithDiv,AddToLeafR|AddTreeWithDiv|AddTreeWithDiv|MutateTerminalR|AddTreeWithDiv|ReplaceBranchXR|AddTreeWithMult|DeleteMaliciousR|DivXD|AddTreeWithDiv|DeleteTerminalR|AddRandomSubTreeR|AddTreeWithDiv|DeleteMaliciousR|AddToLeafR,MultXD,AddTreeWithDiv,2,1,3,3,4
3,(x),30,-10,-0.18890172647842451,0.22909273580828635,0.30467751569901574,0.4,767.9890111920505,34.08020506410749,11556.06781075701,0,0.9982973021621482,1,0.8156524693079416,0.2181307129071223,13676.975,0.3983333333333333,239815.5,0,((((5)+(2))*((8)*(5)))*((9)*((x)*(x)))),(((((3)*((0)/(0)))+((x)*((1)-(0))))*(((4)/((x)/(2)))+((3)/((1)-(4)))))*((((3)+(0))+((7)/((2)/(9))))/(((2)+(9))*((x)/((x)/((4)/(6))))))),MutateTerminalR|MutateTerminalR|SubXD|FellTreeD|AddTreeWithSub|SubXD|ReplaceBranchR|AddRandomSubTreeR|MultXD|MutateTerminalR|MutateTerminalR|MultXD|AddTreeWithAdd|ReplaceBranchR|AddRandomSubTreeR,AddToLeafR|AddTreeWithDiv|AddTreeWithDiv|MultXD|AddTreeWithMult|AddTreeWithSub|DivXD|AddTreeWithDiv|DivXD|AddTreeWithDiv|AddTreeWithDiv|AddRandomSubTreeR|AddTreeWithDiv|DeleteMaliciousR|AddToLeafR,MutateTerminalR,AddTreeWithDiv,3,3,4,4,4
4,(x),30,-10,-0.09279615331367326,0.24473102418829334,0.35707052722734545,0.4,1061.109122460316,45.195192130228314,11442.376847938169,0,0.9958799362987703,1,0.8424191479783479,0,10282.087552910052,0,99108.5,0,((((7)+(4))+((8)-((0)*(x))))*((x)/((1)/((4)*(x))))),(((((1)*(7))/((x)-(0)))/(((1)*(0))*((2)*((1)/(3)))))/(((5)/((1)+(0)))/(((5)*(0))/((6)/((2)/(x)))))),AddTreeWithSub|AddXD|AddXD|AddTreeWithMult|DeleteTerminalR|SubXD|ReplaceBranchR|AddRandomSubTreeR|MultXD|MutateTerminalR|AddToLeafR|MultXD|DivXD|MultXD|AddTreeWithDiv,AddToLeafR|AddTreeWithDiv|AddTreeWithDiv|MutateTerminalR|AddTreeWithDiv|DivXD|AddTreeWithMult|DeleteMaliciousR|DivXD|AddTreeWithDiv|AddTreeWithDiv|AddRandomSubTreeR|AddTreeWithDiv|DeleteMaliciousR|AddToLeafR,MultXD,AddTreeWithDiv,4,4,5,5,4
5,(x),30,-10,-0.047342123844628194,0.24696659573924826,0.37236452006058024,0.4,1274.3475055176993,5.926748487469688,12909.95465674603,0,0.9976297580490876,1,0.8012001866370589,0.335738677826589,19669.682800925926,0.9031753986205935,172274.95833333334,0,((((3)-((3)+(3)))*((5)+((7)+(0))))-(((x)*(x))*((x)/((4)/((x)*(x)))))),(((((6)-((3)+(2)))+((7)/((8)/(7))))+(((8)*((4)+(x)))-(((x)*(x))/((7)*(7)))))+((((2)/(7))*((x)/((0)/(9))))+(((6)*((x)/(x)))+((1)/((5)*((1)/(x))))))),AddTreeWithSub|AddXD|AddXD|AddTreeWithMult|DeleteTerminalR|SubXD|MutateTerminalR|SkipD|MultXD|MutateTerminalR|AddTreeWithAdd|MultXD|DivXD|MultXD|AddTreeWithDiv,AddToLeafR|AddTreeWithDiv|AddTreeWithDiv|MutateTerminalR|AddTreeWithDiv|AddTreeWithAdd|DivXD|DeleteMaliciousR|DivXD|AddTreeWithDiv|AddTreeWithDiv|AddRandomSubTreeR|AddTreeWithDiv|DeleteMaliciousR|AddToLeafR,MultXD,AddTreeWithDiv,5,5,6,6,4
6,(x),30,-10,-0.015173410252553081,0.25715519875560966,0.3343662130992394,0.4,1463.7795224019771,11.726051301063249,10131.313309523808,0,0.9959855874396405,1,0.7127690863194198,0.4223548336435598,28498.473484126986,1.4585878003821926,101716.83333333333,0,((((1)/(7))+((7)+((4)*(7))))*(((x)*(x))*((x)/((x)*(x))))),(((((4)-((2)/(x)))+((5)/((8)-(7))))*(((x)+((6)*(5)))+((9)+((3)*(0)))))*((((3)/(5))/((4)/((0)/(5))))*(((0)/(0))/((3)/((1)+((x)/(x))))))),AddTreeWithSub|AddXD|AddXD|AddTreeWithMult|DeleteTerminalR|SubXD|ReplaceBranchR|AddRandomSubTreeR|MultXD|MultXD|AddToLeafR|MultXD|DivXD|MultXD|AddTreeWithDiv,AddToLeafR|AddTreeWithDiv|AddTreeWithDiv|MultXD|AddTreeWithMult|AddTreeWithSub|DivXD|AddTreeWithDiv|DivXD|AddTreeWithDiv|AddTreeWithDiv|AddRandomSubTreeR|AddTreeWithDiv|AddTreeWithSub|AddToLeafR,MultXD,AddTreeWithDiv,6,6,7,7,4
7,(x),30,-10,0.04871779806086938,0.24083285492335627,0.36214542299949015,0.4,7237.618916362769,1413.0536099882897,82693.49394232804,0,0.999822639335467,1,0.8327826807151996,0.30394748094259544,148937.88222222222,0.8063892661851858,2302276.744444445,0,((((x)*((x)-(x)))*((7)+((5)+(4))))+(((x)*(x))*((x)/((3)/((2)*(x)))))),((((3)+((0)/(0)))/((2)-((4)/(7))))+(((7)+(3))/((7)/((0)/(x))))),MultXD|SubXD|MultXD|AddXD|AddTreeWithAdd|SkipD|MutateTerminalR|SkipD|MultXD|MutateTerminalR|AddTreeWithAdd|MultXD|DivXD|MultXD|AddTreeWithDiv,AddToLeafR|FellTreeD|AddTreeWithDiv|MutateTerminalR|AddTreeWithDiv|AddTreeWithAdd|DivXD|AddXD|DivXD|AddTreeWithDiv|DeleteTerminalR|AddRandomSubTreeR|AddTreeWithDiv|DeleteMaliciousR|AddToLeafR,MultXD,AddTreeWithDiv,7,7,8,8,4
8,(x),30,-10,0.09119811551885075,0.23892460269100924,0.38671615606726945,0.4,11152.804954156652,87.46358753702148,168676.07900167367,0,0.999869041389923,1,0.8664010437769724,0.33280035130990876,170436.45118055557,1.2506774398858014,3118033.5,0,((((6)-((0)*(0)))-(((4)+(x))+((4)-(x))))*(((x)*(x))*((x)/((1)/((x)*(x)))))),((((3)/((7)+(6)))*((7)/((1)/(1))))/(((x)+(x))+((7)/((0)/((0)+(x)))))),AddTreeWithSub|AddXD|AddXD|AddTreeWithMult|DeleteTerminalR|SubXD|MutateTerminalR|SkipD|MultXD|MultXD|AddToLeafR|MultXD|DivXD|MultXD|AddTreeWithDiv,AddToLeafR|FellTreeD|AddTreeWithDiv|MutateTerminalR|AddTreeWithDiv|AddTreeWithAdd|DivXD|AddXD|DivXD|AddXD|AddTreeWithDiv|AddRandomSubTreeR|AddTreeWithDiv|DeleteMaliciousR|AddToLeafR,MultXD,AddTreeWithDiv,8,8,9,9,4
9,(x),30,-10,0.16396585702411962,0.23193313286790102,0.3957371622350216,0.4,53324.689578729216,657.2294899150949,758712.3403915346,0,0.9999692338623433,1,0.6268008377826776,0.34877100336469236,775501.9667619048,1.0255752357755101,13272167.533333333,0,((((x)*((x)-(x)))*((x)+((7)+(2))))+(((6)*(9))*((x)/((1)/((5)*(x)))))),((((0)+(4))/((0)/((5)/(4))))/(((1)*(5))/((4)/((0)+(6))))),MultXD|SubXD|MultXD|AddXD|AddTreeWithAdd|SkipD|MutateTerminalR|SkipD|MultXD|MutateTerminalR|AddTreeWithAdd|MultXD|DivXD|MultXD|AddTreeWithDiv,AddToLeafR|FellTreeD|AddTreeWithDiv|MutateTerminalR|AddTreeWithDiv|AddTreeWithAdd|DivXD|AddXD|DivXD|AddXD|AddTreeWithDiv|AddRandomSubTreeR|AddTreeWithDiv|DeleteMaliciousR|AddToLeafR,MultXD,AddTreeWithDiv,9,9,10,10,4
10,(x),30,-10,0.1829610963824863,0.27337966000486724,0.396269582463885,0.4,433459.51539565047,12.374523302824421,4835709.703300528,0,0.9999957136807934,1,0.7335675735604007,0.3269137668163262,8217694.015072751,0.8108576252952412,95264331.38888888,0,((((x)*((x)+(8)))+(((4)-(x))*((x)+(x))))*(((x)*(x))*((x)/((9)/((6)*(x)))))),((((8)/(3))/((3)/((3)/(x))))/(((0)*(8))/((x)/((x)+(x))))),MultXD|SubXD|MultXD|AddXD|AddTreeWithAdd|SkipD|MutateTerminalR|SkipD|MultXD|MultXD|AddToLeafR|MultXD|DivXD|MultXD|AddTreeWithDiv,AddToLeafR|AddTreeWithDiv|AddTreeWithDiv|MultXD|AddTreeWithMult|AddTreeWithSub|DivXD|AddTreeWithDiv|DivXD|AddTreeWithDiv|DeleteTerminalR|AddRandomSubTreeR|AddTreeWithDiv|DeleteMaliciousR|AddXD,MultXD,AddTreeWithDiv,10,10,11,11,4
