gen,specEquation,range,seed,AGenFitAvg,PGenFitAvg,AGenBestFitAvg,PGenBestFitAvg,AGenDeltaAvg,PGenDeltaAvg,AGenBestDeltaAvg,PGenBestDeltaAvg,topABestFit,topPBestFit,topAStdDev,topPStdDev,topAAvgDelta,topPAvgtDelta,topABestDelta,topPBestDelta,topAEquation,topPEquation,topAStrat,topPStrat,topADomStrat,topPDomStrat,topABirthGen,topPBirthGen,topAAge,topPAge,run
0,(x),30,-10,-0.3705886681186974,-0.05488225238191699,-0.24297023967140288,0.22778684807256233,12.66260354573011,44.12890182149788,76.84089511085888,1.4686666666666668,0.6410256410256411,1,0.43043278362259435,0.5698965707022957,134.54313492063494,5.046616662508759,1137.5,0,(((x)*(6))+((6)*(x))),(((((4)*(7))+((3)-(8)))*(((3)-(1))*((x)-(2))))*(((4)-((7)/(0)))/((8)+((4)-((0)-(2)))))),DeleteTerminalR|MutateNonTerminalR|ReplaceBranchXR|MutateTerminalR|ReplaceBranchXR|ReplaceBranchXR|AddTreeWithDiv|AddTreeWithDiv|DeleteMaliciousR|AddTreeWithDiv|AddRandomSubTreeR|ReplaceBranchR|AddRandomSubTreeR|AddRandomSubTreeR|MultXD,MutateNonTerminalR|SubXD|DivXD|DivXD|AddRandomSubTreeR|AddTreeWithMult|AddXD|AddToLeafR|AddRandomSubTreeR|DeleteMaliciousR|SkipD|ReplaceBranchR|AddTreeWithMult|AddTreeWithSub|MutateTerminalR,AddTreeWithDiv,AddTreeWithMult,0,0,1,1,5
1,(x),30,-10,-0.3543048374759493,-0.038116681634926076,-0.15034015403621143,0.3053741496598639,31.763314699380363,26.4780270259561,280.07397303582195,0.7727777777777777,0.953660797034291,1,0.6035224703567404,0.48455919106723416,811.330843197244,5.848947508682409,8811.833333333334,0,((((9)*(9))*((5)/(2)))*((3)*((9)+((7)*(x))))),(((((0)+(x))*((9)+((9)-(x))))*(((1)-(0))/((5)-((7)-(8)))))/((((0)-(x))*((x)/(0)))+(((x)*(1))/((x)+((x)/(x)))))),DeleteTerminalR|MutateNonTerminalR|ReplaceBranchXR|MutateTerminalR|ReplaceBranchXR|ReplaceBranchXR|AddTreeWithDiv|AddTreeWithDiv|DeleteMaliciousR|AddTreeWithDiv|AddRandomSubTreeR|ReplaceBranchR|AddRandomSubTreeR|AddRandomSubTreeR|MultXD,DeleteTerminalR|AddXD|AddTreeWithMult|ReplaceBranchXR|AddToLeafR|SkipD|DivXD|MutateNonTerminalR|ReplaceBranchR|AddXD|DeleteMaliciousR|ReplaceBranchXR|DivXD|SkipD|AddTreeWithSub,AddTreeWithDiv,ReplaceBranchXR,0,1,2,2,5
2,(x),30,-10,-0.3047104396987056,-0.08201258220558959,0.01897252053917414,0.25869900405260865,51.67908918568803,19.70925542743801,307.97902270198557,1.2162173928296218,0.8567502777290533,1,0.6759396339857053,0.44025050831174023,601.2661111111112,5.6869099952059115,2850.5,0,(((x)*((2)*(3)))*((5)*(x))),(((((1)/(5))+((2)-(x)))-(((6)/(0))*((3)*((x)-(8)))))+(((9)*((x)/(x)))/(((0)*(0))*((8)/((x)/(x)))))),DeleteTerminalR|MutateNonTerminalR|ReplaceBranchXR|MutateTerminalR|ReplaceBranchXR|AddToLeafR|AddTreeWithDiv|AddTreeWithDiv|DeleteMaliciousR|AddTreeWithDiv|AddRandomSubTreeR|ReplaceBranchR|AddRandomSubTreeR|AddRandomSubTreeR|MultXD,AddTreeWithDiv|DivXD|DivXD|AddTreeWithDiv|AddTreeWithMult|AddTreeWithDiv|DivXD|AddTreeWithMult|AddTreeWithAdd|AddToLeafR|DeleteNonTerminalR|SkipD|ReplaceBranchXR|DivXD|ReplaceBranchXR,AddTreeWithDiv,DivXD,2,2,3,3,5
3,(x),30,-10,-0.2446401013346376,-0.0011722373460682917,0.2864254675226524,0.3693877551020408,134.9949871331304,151.04977581986896,1293.5346666666671,0.25,0.9738295395067135,1,0.7307006396186178,0.37112650561068056,1242.645445364502,6.686424661211366,15602.833333333334,0,((((x)*(4))+((5)*(8)))*((x)*((4)*(x)))),((((3)*((7)/(3)))+(((2)/(8))*((4)-(x))))-(((4)*((x)/(0)))/((x)*((9)/((x)/(x)))))),DeleteTerminalR|MutateNonTerminalR|ReplaceBranchXR|MutateTerminalR|ReplaceBranchXR|AddToLeafR|AddTreeWithDiv|AddTreeWithDiv|DeleteMaliciousR|AddTreeWithDiv|AddRandomSubTreeR|ReplaceBranchR|AddRandomSubTreeR|AddRandomSubTreeR|MultXD,AddTreeWithDiv|DivXD|DivXD|AddTreeWithDiv|AddTreeWithSub|AddTreeWithDiv|DivXD|AddTreeWithMult|AddTreeWithAdd|AddToLeafR|DeleteNonTerminalR|SkipD|ReplaceBranchXR|DivXD|ReplaceBranchXR,AddTreeWithDiv,DivXD,3,3,4,4,5
4,(x),30,-10,-0.1877286274578723,0.04545010489119388,0.3282083750650255,0.39755102040816326,828.7620715351976,35.43804225727666,14151.501222222223,0.02,0.999301191568206,1,0.69189712499451,0.40107121427903375,29726.32083333334,1.5959472535202515,584328,0,((((8)*(x))*((x)*(7)))*((8)+((x)*(x)))),(((((6)*(7))/((5)*(0)))+(((8)-(0))*((6)*(x))))/(((x)*((1)*(1)))/(((8)/(x))/((8)-((4)/(x)))))),DeleteTerminalR|MutateNonTerminalR|AddTreeWithMult|AddTreeWithMult|AddTreeWithDiv|DeleteMaliciousR|AddXD|AddTreeWithDiv|DeleteMaliciousR|MutateTerminalR|AddRandomSubTreeR|ReplaceBranchR|AddRandomSubTreeR|AddRandomSubTreeR|MultXD,AddTreeWithDiv|AddToLeafR|DivXD|AddTreeWithDiv|AddTreeWithMult|AddToLeafR|AddTreeWithDiv|MutateNonTerminalR|DeleteTerminalR|DivXD|DeleteMaliciousR|ReplaceBranchXR|DivXD|SkipD|AddTreeWithSub,AddRandomSubTreeR,DivXD,4,4,5,5,5
5,(x),30,-10,-0.13414849418920793,0.06915816685620421,0.3234977808022855,0.390204081632653,942.2246225793652,3.6044703441847354,15076.267555555554,0.08,0.9992422072615721,1,0.7528902410251163,0.43955701993406027,28430.088333333337,1.7754413912291809,538845.6666666666,0,((((x)-(7))*((x)*(2)))*((9)*((5)*((9)*(x))))),(((((7)*(4))*((x)*(9)))-(((x)/(5))*((9)-(x))))-(((0)/((x)/(9)))/(((9)*(0))/((x)/((x)/(x)))))),DeleteTerminalR|MutateNonTerminalR|ReplaceBranchXR|MutateTerminalR|ReplaceBranchXR|AddToLeafR|AddTreeWithDiv|DeleteNonTerminalR|MultXD|DeleteMaliciousR|AddRandomSubTreeR|ReplaceBranchR|AddRandomSubTreeR|AddRandomSubTreeR|MultXD,AddTreeWithDiv|DivXD|DivXD|AddTreeWithDiv|AddTreeWithMult|AddTreeWithDiv|DivXD|AddTreeWithMult|DeleteTerminalR|DivXD|DeleteMaliciousR|ReplaceBranchXR|DivXD|SkipD|AddTreeWithSub,AddRandomSubTreeR,DivXD,5,5,6,6,5
6,(x),30,-10,-0.11198216623836935,0.0868047814063887,0.3368810721080146,0.3926530612244898,549.3342152973225,3.8056528500287126,5372.234,0.06,0.9914858717598529,1,0.8404299689326874,0.46345854977127227,4987.050583333334,2.3979609076384896,47959.5,0,(((8)*((4)+(3)))*((x)*((9)*(x)))),(((((x)+(7))-((0)*(4)))/(((7)-(6))/((0)*(9))))-(((9)/((3)/(2)))/((x)/((x)/((x)/(x)))))),DeleteTerminalR|MutateNonTerminalR|AddTreeWithMult|AddTreeWithMult|AddTreeWithDiv|DeleteMaliciousR|AddXD|DeleteNonTerminalR|MultXD|AddTreeWithDiv|AddRandomSubTreeR|ReplaceBranchR|AddRandomSubTreeR|AddRandomSubTreeR|MultXD,AddTreeWithDiv|DivXD|DivXD|AddTreeWithDiv|AddTreeWithMult|AddTreeWithDiv|DivXD|AddTreeWithMult|DeleteTerminalR|DivXD|DeleteMaliciousR|ReplaceBranchXR|DivXD|SkipD|AddTreeWithSub,AddRandomSubTreeR,DivXD,6,6,7,7,5
7,(x),30,-10,-0.09609934338673011,0.14780311889389292,0.3661039359827584,0.4,626.8774212962963,2.8912604627878853,5805.432,0,0.9944001663950558,1,0.6875263626354381,0.491328226392969,6558.816666666666,2.8687788368267264,72918.83333333333,0,((((x)*(9))*((6)+(1)))*((6)*((6)*((x)*(x))))),(((((1)/(9))*((1)+(5)))-(((4)*(x))-((1)/(x))))/(((0)/((3)/(7)))/((1)*((3)+((x)/(x)))))),DeleteTerminalR|MutateNonTerminalR|ReplaceBranchXR|MutateTerminalR|ReplaceBranchXR|AddToLeafR|AddTreeWithDiv|DeleteNonTerminalR|MultXD|MutateTerminalR|AddRandomSubTreeR|ReplaceBranchR|AddRandomSubTreeR|AddRandomSubTreeR|MultXD,AddTreeWithDiv|DivXD|DivXD|AddTreeWithDiv|AddTreeWithMult|AddToLeafR|AddTreeWithDiv|AddTreeWithMult|DeleteTerminalR|DivXD|DeleteMaliciousR|ReplaceBranchXR|DivXD|SkipD|AddTreeWithSub,AddRandomSubTreeR,DivXD,7,7,8,8,5
8,(x),30,-10,-0.06003806101701702,0.15913480675608058,0.37450607898398014,0.4,1992.281217263662,2.71376832292839,32110.009666666665,0,0.9996896171357692,1,0.7404679773756954,0.5388734575076046,68684.34,2.9843549819638193,1315579.5,0,((((4)*(6))*((x)*(6)))*((6)*((2)*((8)*(x))))),(((((4)/(2))*((x)+(7)))*(((9)/(x))-((9)/(7))))+(((7)-((x)*(0)))/(((0)/(x))/((x)/((x)/(x)))))),DeleteTerminalR|MutateNonTerminalR|ReplaceBranchXR|MutateTerminalR|ReplaceBranchXR|AddToLeafR|AddTreeWithDiv|DeleteNonTerminalR|MultXD|MutateTerminalR|AddRandomSubTreeR|ReplaceBranchR|AddRandomSubTreeR|AddRandomSubTreeR|MultXD,AddTreeWithDiv|DivXD|DivXD|AddTreeWithDiv|AddTreeWithMult|AddTreeWithDiv|DivXD|AddTreeWithMult|DeleteTerminalR|AddXD|DeleteMaliciousR|ReplaceBranchXR|DivXD|SkipD|AddTreeWithSub,AddRandomSubTreeR,DivXD,7,8,9,9,5
9,(x),30,-10,-0.04693019735780466,0.16374094482960483,0.37699475052346215,0.4,943.5437456557828,11.143718342316697,10219.79911111111,0,0.9915969787537324,1,0.7555868828392067,0.50920452311364,7434.293333333332,2.6874121765408967,48593.63333333333,0,((((5)-(2))-((9)-(x)))*((7)+((x)*((x)*(x))))),(((((4)*(1))*((x)/(4)))-(((3)/(x))+((x)-(6))))*(((x)/((6)*(0)))+((2)/((0)/((x)/(x)))))),DeleteTerminalR|MutateNonTerminalR|ReplaceBranchXR|FellTreeD|ReplaceBranchXR|AddToLeafR|MutateNonTerminalR|DeleteNonTerminalR|MultXD|AddTreeWithDiv|AddRandomSubTreeR|ReplaceBranchR|AddRandomSubTreeR|AddRandomSubTreeR|MultXD,AddTreeWithDiv|DivXD|DivXD|AddTreeWithDiv|AddTreeWithMult|AddToLeafR|AddTreeWithDiv|AddTreeWithMult|DeleteTerminalR|DivXD|DeleteMaliciousR|ReplaceBranchXR|DivXD|SkipD|AddTreeWithSub,AddRandomSubTreeR,DivXD,9,7,10,10,5
10,(x),30,-10,-0.0651171091946698,0.18793758306625805,0.3759673209711021,0.4,1606.9027771368812,2.155754886529283,20064.394666666667,0,0.9983446001871615,1,0.8341856145016778,0.3716538791102559,20442.49976190476,1.243237045181905,246667.5,0,(((8)*((6)*(9)))*((6)*((x)*(x)))),(((((2)*(5))+((0)/(x)))+(((8)-(6))/((8)*(7))))*(((x)/((9)*(8)))*(((0)/(0))/((8)/((x)/(x)))))),DeleteTerminalR|MutateNonTerminalR|ReplaceBranchXR|FellTreeD|ReplaceBranchXR|AddToLeafR|MutateNonTerminalR|DeleteNonTerminalR|MultXD|AddTreeWithDiv|AddRandomSubTreeR|ReplaceBranchR|AddRandomSubTreeR|AddRandomSubTreeR|MultXD,AddTreeWithDiv|DivXD|DivXD|AddTreeWithDiv|AddTreeWithMult|AddToLeafR|AddTreeWithDiv|AddTreeWithMult|DeleteTerminalR|DivXD|DeleteMaliciousR|ReplaceBranchXR|DivXD|SkipD|AddTreeWithSub,AddRandomSubTreeR,DivXD,9,10,11,11,5
