gen,specEquation,range,seed,AGenFitAvg,PGenFitAvg,AGenBestFitAvg,PGenBestFitAvg,AGenDeltaAvg,PGenDeltaAvg,AGenBestDeltaAvg,PGenBestDeltaAvg,topABestFit,topPBestFit,topAStdDev,topPStdDev,topAAvgDelta,topPAvgtDelta,topABestDelta,topPBestDelta,topAEquation,topPEquation,topAStrat,topPStrat,topADomStrat,topPDomStrat,topABirthGen,topPBirthGen,topAAge,topPAge,run
0,(x),30,-10,-0.35159244678394613,-0.04908781163814975,0.014321428315580332,0.2737755102040816,2582.454899696714,130.40103957804234,25208.775,2.0516666666666667,0.9991716956573187,1,0.8285700026751107,0.523257090409165,49819.636666666665,4.050621122370348,492975,0,((((x)*(7))*((9)*((6)*(x))))*(((4)/(7))-((3)*((x)+(x))))),(((0)+(7))/((0)/(x))),DeleteNonTerminalR|DeleteTerminalR|ReplaceBranchXR|AddTreeWithMult|AddRandomSubTreeR|MutateTerminalR|AddToLeafR|SkipD|MultXD|AddTreeWithMult|DivXD|MultXD|AddTreeWithSub|AddXD|MutateTerminalR,DivXD|AddXD|AddTreeWithSub|DeleteTerminalR|ReplaceBranchR|MutateTerminalR|ReplaceBranchR|DivXD|AddRandomSubTreeR|MutateTerminalR|AddTreeWithDiv|AddTreeWithDiv|MutateTerminalR|AddTreeWithSub|DeleteNonTerminalR,MutateTerminalR,MutateTerminalR,0,0,1,1,7
1,(x),30,-10,-0.22333423346227388,-0.046087530752236594,0.04879005275623732,0.4014285714285714,1101.1593108756174,99.15780047433068,6961.6625,0.805,0.9717095513943149,1,0.599380877743936,0.4819035227569188,4184.022777777778,3.3837703696790067,14433.611111111113,0,((((7)*((9)+(2)))*((4)-((5)-(0))))*(((7)*(x))/((3)*((x)+(x))))),(((0)+((2)/(0)))-((0)*(7))),AddTreeWithSub|DeleteTerminalR|ReplaceBranchXR|AddTreeWithMult|AddRandomSubTreeR|MutateTerminalR|AddToLeafR|SkipD|MultXD|AddTreeWithMult|DivXD|MultXD|AddTreeWithSub|AddXD|MutateTerminalR,AddToLeafR|FellTreeD|SubXD|MutateNonTerminalR|DivXD|MutateNonTerminalR|AddXD|DeleteMaliciousR|AddXD|DeleteNonTerminalR|DivXD|DeleteTerminalR|DeleteMaliciousR|AddTreeWithDiv|MutateTerminalR,AddTreeWithSub,MutateNonTerminalR,1,1,2,2,7
2,(x),30,-10,-0.18110802417926947,0.07954055120668758,0.18242060112877517,0.3836441457570462,100638.23321914364,14.51346089490433,896703.8841666669,0.9502394763174562,0.9999771450329251,1,0.28328405963129144,0.5072099285822412,2001764.0099999998,3.6395833333333334,17866284.033333335,0,((((x)*((6)*(x)))-((7)/((1)*(x))))+(((8)*(x))*((x)*((x)*(x))))),((8)/((1)/(0))),AddTreeWithMult|MultXD|AddTreeWithDiv|DeleteTerminalR|AddXD|AddToLeafR|AddToLeafR|SkipD|MultXD|AddTreeWithMult|MultXD|AddRandomSubTreeR|MultXD|MutateNonTerminalR|DivXD,AddToLeafR|FellTreeD|SubXD|MutateNonTerminalR|DivXD|MutateNonTerminalR|AddXD|DeleteMaliciousR|AddXD|DeleteNonTerminalR|DivXD|DeleteTerminalR|DeleteMaliciousR|AddTreeWithDiv|MutateTerminalR,MultXD,DeleteMaliciousR,2,1,3,3,7
3,(x),30,-10,-0.1087987572403946,0.12492940035713537,0.28944223491626186,0.46524747518756177,74951.83114888458,27.556479089722682,606356.66,0.2838122859682457,0.9999151342433904,1,0.6227515133554367,0.46223469262445943,758751.78,2.7561289422222086,4811520.566666666,0,((((x)*(x))-((2)-(x)))*((x)*((x)*((x)*(x))))),((x)/((9)/(0))),AddTreeWithMult|AddToLeafR|MultXD|MutateNonTerminalR|DeleteNonTerminalR|DeleteNonTerminalR|AddToLeafR|SkipD|MultXD|AddTreeWithMult|MultXD|AddRandomSubTreeR|MultXD|MultXD|MutateNonTerminalR,AddToLeafR|FellTreeD|SubXD|MutateNonTerminalR|DivXD|MutateNonTerminalR|AddXD|DeleteMaliciousR|AddXD|DeleteNonTerminalR|DivXD|DeleteTerminalR|DeleteMaliciousR|AddTreeWithDiv|MutateTerminalR,MultXD,MutateNonTerminalR,3,3,4,4,7
4,(x),30,-10,0.0694890698300455,0.19933112558304972,0.44981339167589196,0.5,152379.15075903718,3.502189507531825,1097850.2051849016,0,0.9999802634775798,1,0.006922644292032067,0.6967175294876344,2821586.2333333334,4.445607315753084,20689224,0,((((x)*((4)*(1)))-((6)*((0)*(x))))+(((5)*(x))*((x)*((x)*(x))))),(((5)/(8))+((x)/(0))),AddTreeWithMult|AddToLeafR|MultXD|MutateNonTerminalR|AddXD|MutateTerminalR|AddToLeafR|SkipD|MultXD|AddTreeWithMult|MultXD|AddRandomSubTreeR|DeleteTerminalR|MultXD|MutateNonTerminalR,AddToLeafR|FellTreeD|SubXD|MutateNonTerminalR|DivXD|MutateNonTerminalR|AddXD|DeleteMaliciousR|AddXD|DeleteNonTerminalR|DivXD|DeleteTerminalR|DeleteMaliciousR|AddTreeWithDiv|SubXD,MultXD,DivXD,4,4,5,5,7
5,(x),30,-10,0.31701153270929205,0.18222449919107847,0.4915796107217748,0.5,1396061.9361362979,3.9175451620486657,11183287.523333332,0,0.9999971400086307,1,0.07026090527991265,0.5069452647328471,18660223.063333333,3.2063893834739146,142774323.63333333,0,((((9)-((6)+(x)))*((1)*((x)*(x))))*(((2)+(x))*((x)*((x)*((x)*(x)))))),(((6)/(4))+((0)/(0))),AddTreeWithMult|AddToLeafR|MultXD|MutateNonTerminalR|AddXD|MutateTerminalR|AddToLeafR|SkipD|MultXD|AddTreeWithMult|MultXD|AddRandomSubTreeR|DeleteTerminalR|MultXD|MutateNonTerminalR,AddToLeafR|FellTreeD|SubXD|MutateNonTerminalR|DivXD|MutateNonTerminalR|AddXD|DeleteMaliciousR|AddXD|DeleteNonTerminalR|DivXD|DeleteTerminalR|DeleteMaliciousR|AddTreeWithDiv|MutateTerminalR,MultXD,AddXD,4,5,6,6,7
6,(x),30,-10,0.3952971626605875,0.18558343969039698,0.49870782880710607,0.5,1346830.0813333332,4.081515431775716,8765058.205,0,0.999996022977186,1,0.04775815580124401,0.39271707361824404,16955955.830000002,3.147855418074071,102673118.16666667,0,((((5)+((6)*(7)))*((7)*((1)*(x))))+(((0)+(5))*((x)*((x)*((x)*(x)))))),(((0)/((0)+(x)))+((x)/((8)/(0)))),AddTreeWithMult|AddToLeafR|MultXD|MutateNonTerminalR|AddXD|MutateTerminalR|AddToLeafR|SkipD|MultXD|AddTreeWithMult|MultXD|AddRandomSubTreeR|MultXD|MultXD|MutateNonTerminalR,AddTreeWithMult|MutateTerminalR|DeleteMaliciousR|MutateNonTerminalR|DivXD|MutateNonTerminalR|AddXD|DeleteMaliciousR|AddXD|DeleteNonTerminalR|DivXD|DeleteTerminalR|DeleteMaliciousR|AddTreeWithDiv|MutateTerminalR,MultXD,DeleteMaliciousR,5,6,7,7,7
7,(x),30,-10,0.3970504376402818,0.1934290917722295,0.49837177481938,0.5,302100.4008333333,41.43228246100641,1954117.08,0,0.9998821928116496,1,0.031856095881041886,0.3977553405490094,882049.7266666668,1.7583333333333333,3466115.6,0,((((x)-(8))*((1)*((3)*(9))))-(((1)*(x))*((x)*((x)*(x))))),((((0)*((4)-(7)))/((6)*((x)*(0))))*(((0)/(x))+((8)+((0)/(0))))),AddTreeWithSub|DeleteTerminalR|ReplaceBranchXR|AddTreeWithMult|AddRandomSubTreeR|ReplaceBranchR|AddToLeafR|SkipD|MultXD|MutateNonTerminalR|MultXD|AddRandomSubTreeR|MultXD|MultXD|MutateNonTerminalR,AddTreeWithMult|MutateTerminalR|DeleteMaliciousR|MutateNonTerminalR|DivXD|MutateNonTerminalR|AddXD|DeleteMaliciousR|AddXD|DeleteNonTerminalR|DivXD|DeleteTerminalR|DeleteMaliciousR|AddTreeWithDiv|MutateTerminalR,MultXD,DeleteMaliciousR,6,7,8,8,7
8,(x),30,-10,0.39044942127297616,0.16812201942482008,0.49911858527790554,0.5,480184.39800000004,17.039551888708434,3327273.3750000005,0,0.9994600935532261,1,0.0038203540037208958,0.5017551489838389,261079.31999999998,3.869004203654294,756303.8666666667,0,((((3)*(x))-((1)+((9)*(x))))-(((x)+(x))*((x)*((x)*(x))))),(((0)+(3))/((0)/(7))),AddTreeWithSub|AddToLeafR|MultXD|MutateNonTerminalR|AddXD|MutateTerminalR|AddToLeafR|SkipD|MultXD|MutateNonTerminalR|MultXD|AddRandomSubTreeR|MultXD|MultXD|MutateNonTerminalR,AddToLeafR|FellTreeD|SubXD|MutateNonTerminalR|DivXD|MutateNonTerminalR|AddXD|MutateNonTerminalR|AddXD|DeleteNonTerminalR|DivXD|DeleteTerminalR|DeleteMaliciousR|AddTreeWithDiv|MutateTerminalR,MultXD,MutateNonTerminalR,8,8,9,9,7
9,(x),30,-10,0.3339756491609574,0.26359574867051017,0.49971920094426087,0.5,338186.6294999999,2.043375246090007,2163634.9349999996,0,0.9997380848378489,1,0.08180398130956218,0.4267137069776332,241527.3366666666,1.653333333333333,1559029,0,((((2)-(3))*((5)*((5)+(x))))-(((5)*(x))*((x)*((x)*(x))))),(((0)-((0)/(8)))+((0)+((x)/(0)))),AddTreeWithSub|DeleteTerminalR|ReplaceBranchXR|AddTreeWithMult|AddRandomSubTreeR|ReplaceBranchR|AddToLeafR|SkipD|MultXD|MutateNonTerminalR|MultXD|DeleteNonTerminalR|MultXD|MultXD|MutateNonTerminalR,AddToLeafR|FellTreeD|SubXD|MutateTerminalR|DivXD|MutateNonTerminalR|AddXD|DeleteMaliciousR|AddXD|DeleteNonTerminalR|DivXD|DeleteTerminalR|DeleteMaliciousR|AddTreeWithDiv|MutateTerminalR,MultXD,MutateTerminalR,9,9,10,10,7
10,(x),30,-10,0.3676566374146525,0.1597759842816458,0.4895591895162556,0.5,700299.323,4.577897925613193,5340098.418333334,0,0.9999725011870788,1,0.00718295784958711,0.5013297660508403,3525130.0633333335,3.168566254222214,14849125.833333334,0,((((6)-((x)*(0)))+((1)+((3)-(5))))*(((x)+(5))*((x)*((x)*((x)*(x)))))),(((x)/(3))+((0)/(0))),AddTreeWithSub|AddToLeafR|MultXD|MutateNonTerminalR|AddXD|MutateTerminalR|AddToLeafR|AddTreeWithSub|MultXD|MutateNonTerminalR|MultXD|AddRandomSubTreeR|ReplaceBranchXR|MultXD|MutateNonTerminalR,AddToLeafR|FellTreeD|SubXD|MutateTerminalR|DivXD|MutateNonTerminalR|AddXD|DeleteMaliciousR|AddXD|DeleteNonTerminalR|DivXD|DeleteTerminalR|DeleteMaliciousR|AddTreeWithDiv|MutateTerminalR,MultXD,AddXD,10,10,11,11,7
11,(x),30,-10,0.3718475688286566,0.2016931220202242,0.49956304010995645,0.4540816326530612,898582.0213333333,2.5837522151363546,8497159.066666668,0.375,0.9997292478117422,1,0.13449084147641469,0.6188950748565101,213937.1666666667,5.282860597991747,1508144.1666666667,0,((((x)+(2))+((3)+((x)+(x))))*(((x)*(8))+((x)*((x)*(x))))),(((0)*((7)+(5)))/((x)+((x)/(0)))),AddTreeWithSub|DeleteTerminalR|MultXD|MutateNonTerminalR|AddXD|MutateTerminalR|AddToLeafR|SkipD|MultXD|MutateNonTerminalR|MultXD|AddRandomSubTreeR|MultXD|MultXD|MutateNonTerminalR,AddToLeafR|FellTreeD|AddRandomSubTreeR|MutateNonTerminalR|DivXD|MutateNonTerminalR|AddXD|DeleteMaliciousR|AddXD|DeleteNonTerminalR|DivXD|DeleteTerminalR|DeleteMaliciousR|AddTreeWithDiv|MutateTerminalR,MultXD,AddXD,11,11,12,12,7
12,(x),30,-10,0.40642939199892014,0.22816348882055779,0.49960182381289553,0.5,862213.2049999998,2.317290807309405,7570771.165000001,0,0.9995486418374971,1,0.03268240101876485,0.4993001617038816,243856.4,3.155555555555556,904676.9666666667,0,((((8)+(0))+((x)+((9)*(3))))-(((4)*(x))*((x)*((x)*(x))))),(((0)+((x)/(1)))*((6)+((x)/(0)))),AddTreeWithSub|DeleteTerminalR|MultXD|MutateNonTerminalR|AddXD|MutateTerminalR|AddToLeafR|SkipD|MultXD|MutateNonTerminalR|MultXD|AddRandomSubTreeR|MultXD|MultXD|MutateNonTerminalR,AddToLeafR|FellTreeD|SubXD|MutateTerminalR|DivXD|MutateNonTerminalR|AddXD|DeleteMaliciousR|AddXD|DeleteNonTerminalR|DivXD|DeleteTerminalR|DeleteMaliciousR|AddTreeWithDiv|MutateTerminalR,MultXD,MutateTerminalR,12,12,13,13,7
13,(x),30,-10,0.43285773540671074,0.17639884392147392,0.4999275244932634,0.4752721088435374,4968520.5583333345,3.695872157374082,47859057.89333334,0.20194444444444443,0.9998129642351736,1,0.012834564642705387,0.49204495486101335,511418.2833333333,3.8100642876952038,2183183.1666666665,0,((((9)-(5))*((8)*((9)*(6))))+(((x)-(x))*((x)*((x)*(x))))),(((3)+((5)/(0)))+((x)/(0))),AddTreeWithSub|DeleteTerminalR|MultXD|MutateNonTerminalR|AddXD|MutateTerminalR|AddToLeafR|SkipD|MultXD|MutateNonTerminalR|MultXD|AddRandomSubTreeR|MultXD|MultXD|MutateNonTerminalR,AddToLeafR|FellTreeD|SubXD|MutateTerminalR|DivXD|MutateNonTerminalR|AddXD|DeleteMaliciousR|AddXD|DeleteNonTerminalR|DivXD|DeleteTerminalR|DeleteMaliciousR|AddTreeWithDiv|MutateTerminalR,MultXD,AddXD,13,13,14,14,7
14,(x),30,-10,0.42677627843666066,0.2119883013017895,0.4999056457867791,0.5,1746886.644,2.8491291421053697,14282858.816666668,0,0.9998824017062101,1,0.01048881536723848,0.4426638066751617,918461.4399999998,2.7251455026455025,3472272.6,0,((((6)*(9))*((3)+((0)*(8))))+(((x)*(x))*((x)*((x)*(x))))),(((0)/((0)+(0)))+((x)/((6)/(0)))),AddTreeWithSub|DeleteTerminalR|MultXD|MutateNonTerminalR|AddXD|MutateTerminalR|AddToLeafR|SkipD|MultXD|MutateNonTerminalR|MultXD|AddRandomSubTreeR|MultXD|MultXD|MutateNonTerminalR,AddToLeafR|FellTreeD|SubXD|MutateTerminalR|DivXD|MutateNonTerminalR|AddXD|DeleteMaliciousR|AddXD|DeleteNonTerminalR|DivXD|DeleteTerminalR|DeleteMaliciousR|AddTreeWithDiv|MutateTerminalR,MultXD,DeleteMaliciousR,14,14,15,15,7
15,(x),30,-10,0.4569555146023375,0.21553729467527707,0.49979297680467283,0.5,2970713.6941666673,2.5965054827657115,26732064.45833334,0,0.9999804515827995,1,0.015767961872719373,0.48304589153964794,3751462.9266666668,2.45,20888306.666666668,0,((((x)*(x))*((4)-((0)+(x))))*(((1)*(x))*((x)*((x)*(x))))),(((6)/(6))/((0)/(x))),AddTreeWithSub|DeleteTerminalR|MultXD|MutateNonTerminalR|AddXD|MutateTerminalR|AddToLeafR|SkipD|MultXD|MutateNonTerminalR|MultXD|AddRandomSubTreeR|MultXD|MultXD|MutateNonTerminalR,AddToLeafR|FellTreeD|SubXD|MutateTerminalR|DivXD|MutateNonTerminalR|AddXD|DeleteMaliciousR|AddXD|DeleteNonTerminalR|DivXD|DeleteTerminalR|DeleteNonTerminalR|AddTreeWithDiv|DivXD,MultXD,DivXD,15,15,16,16,7
16,(x),30,-10,0.40593375168799345,0.22270256463411092,0.49984063923495475,0.5,1688106.6596666663,2.953844875408766,14690366.271666666,0,0.999983832307479,1,0.01628974503057844,0.42571785262131456,2724508.79,1.6495069498381292,25256129.333333332,0,((((5)*(4))*((4)*((x)+(x))))*((x)*((x)*((x)*(x))))),(((1)/(8))/((0)/(x))),AddTreeWithSub|DeleteTerminalR|MultXD|MutateNonTerminalR|AddXD|MutateTerminalR|AddToLeafR|SkipD|MultXD|MutateNonTerminalR|MultXD|AddRandomSubTreeR|MultXD|MultXD|MutateNonTerminalR,AddToLeafR|FellTreeD|SubXD|MutateTerminalR|DivXD|MutateNonTerminalR|AddXD|AddTreeWithMult|AddXD|DeleteNonTerminalR|DivXD|DeleteTerminalR|DeleteMaliciousR|AddTreeWithDiv|DivXD,MultXD,DivXD,16,16,17,17,7
17,(x),30,-10,0.4055604195076129,0.19966380913071083,0.49996721533223687,0.5,985012.1728333331,3.1993958657747146,6567182.7,0,0.9998672204934209,1,0.04506044390454805,0.4714204237989964,584099.4266666666,2.3899999999999997,3075273.7666666666,0,((((6)*(x))-((x)*((x)+(5))))*(((3)*(x))*((x)*((x)*(x))))),((0)/((0)/(8))),AddTreeWithSub|DeleteTerminalR|MultXD|MutateNonTerminalR|AddXD|MutateTerminalR|AddToLeafR|SkipD|MultXD|MutateNonTerminalR|MultXD|AddRandomSubTreeR|MultXD|MultXD|MutateNonTerminalR,AddToLeafR|FellTreeD|SubXD|MutateTerminalR|DivXD|MutateNonTerminalR|AddXD|FellTreeD|AddXD|DeleteNonTerminalR|DivXD|AddTreeWithDiv|DeleteMaliciousR|AddTreeWithDiv|MutateTerminalR,MultXD,AddTreeWithDiv,17,17,18,18,7
18,(x),30,-10,0.4635856557365017,0.18932625394057842,0.4998759612431223,0.5,664836.4518333331,2.8836955214704183,5687931.104999999,0,0.9995552461924717,1,0.024102055466989493,0.5033132612720136,255081.87333333335,3.1815220847407377,918110.9333333333,0,((((6)-(x))-((5)+((9)+(6))))*(((7)*(x))*((x)*((x)*(x))))),(((6)/(7))+((x)/(0))),AddTreeWithSub|DeleteTerminalR|MultXD|MutateNonTerminalR|AddXD|MutateTerminalR|AddToLeafR|SkipD|MultXD|MutateNonTerminalR|MultXD|AddRandomSubTreeR|MultXD|MultXD|MutateNonTerminalR,AddToLeafR|FellTreeD|SubXD|MutateTerminalR|DivXD|MutateNonTerminalR|AddXD|DeleteMaliciousR|AddXD|DeleteNonTerminalR|DivXD|DeleteTerminalR|DeleteMaliciousR|AddTreeWithDiv|MutateTerminalR,MultXD,DeleteMaliciousR,18,18,19,19,7
19,(x),30,-10,0.4893087749952053,0.25368146706979133,0.49981226551292685,0.5,597382.945,2.0116013522633702,5176358.656666666,0,0.9995552461924717,1,0.024102055466989493,0.5033132612720136,255081.87333333335,3.1815220847407377,918110.9333333333,0,((((6)-(x))-((5)+((9)+(6))))*(((7)*(x))*((x)*((x)*(x))))),(((6)/(7))+((x)/(0))),AddTreeWithSub|DeleteTerminalR|MultXD|MutateNonTerminalR|AddXD|MutateTerminalR|AddToLeafR|SkipD|MultXD|MutateNonTerminalR|MultXD|AddRandomSubTreeR|MultXD|MultXD|MutateNonTerminalR,AddToLeafR|FellTreeD|SubXD|MutateTerminalR|DivXD|MutateNonTerminalR|AddXD|AddTreeWithMult|AddXD|DeleteNonTerminalR|DivXD|DeleteTerminalR|DeleteMaliciousR|AddTreeWithDiv|MutateTerminalR,MultXD,AddXD,18,19,19,19,7
