gen,specEquation,range,seed,AGenFitAvg,PGenFitAvg,AGenBestFitAvg,PGenBestFitAvg,AGenDeltaAvg,PGenDeltaAvg,AGenBestDeltaAvg,PGenBestDeltaAvg,topABestFit,topPBestFit,topAStdDev,topPStdDev,topAAvgDelta,topPAvgtDelta,topABestDelta,topPBestDelta,topAEquation,topPEquation,topAStrat,topPStrat,topADomStrat,topPDomStrat,topABirthGen,topPBirthGen,topAAge,topPAge,run
0,(x),30,-10,-0.3386007521373029,-0.09043342338292149,-0.14477295489809078,0.19010451912996854,184.86952268269815,42.005435630632,2879.9059963996383,2.8586192575999854,0.9965029085808917,0,0.6907795564113339,0,6386.601666666667,8.166666666666666,116763.7,8.166666666666666,((((x)+(0))+((5)*(x)))*((x)*((x)+((0)*(x))))),((0)*(0)),AddTreeWithAdd|DivXD|MultXD|SubXD|FellTreeD|AddRandomSubTreeR|MultXD|MultXD|AddXD|MutateTerminalR|AddRandomSubTreeR|MultXD|DeleteTerminalR|DeleteMaliciousR|DeleteMaliciousR,FellTreeD|FellTreeD|AddRandomSubTreeR|SkipD|AddXD|MutateTerminalR|DeleteTerminalR|AddRandomSubTreeR|FellTreeD|DivXD|AddToLeafR|DeleteNonTerminalR|DeleteTerminalR|MutateNonTerminalR|DeleteTerminalR,MultXD,FellTreeD,0,0,1,1,8
1,(x),30,-10,-0.18548530919424785,-0.045367193164182675,0.1737893098445647,0.22146938775510205,16711.964121012024,9.264082604003923,205190.9827354497,1.4579999999999997,0.9999325218493563,1,0.8729451799476673,0.626497111785324,403827.07099537033,7.580391153766541,6051341.5,0,((((8)*((7)-(5)))*((8)+((5)*(0))))/(((3)-(7))*((x)+((x)*((x)*(x)))))),(((1)/(4))*((0)+(x))),AddTreeWithSub|MutateTerminalR|MultXD|AddTreeWithAdd|MultXD|MutateTerminalR|DeleteTerminalR|MultXD|AddXD|MutateTerminalR|AddRandomSubTreeR|MultXD|MultXD|AddTreeWithSub|AddTreeWithDiv,SkipD|MutateTerminalR|ReplaceBranchXR|AddTreeWithDiv|AddTreeWithDiv|AddTreeWithAdd|AddRandomSubTreeR|ReplaceBranchR|AddTreeWithMult|ReplaceBranchR|AddToLeafR|FellTreeD|AddTreeWithDiv|AddXD|AddRandomSubTreeR,MultXD,AddTreeWithDiv,1,1,2,2,8
2,(x),30,-10,-0.03989927390012954,0.01726762741111505,0.3310225294961988,0.22,11828.312037606074,5209.162356209359,129901.54371989505,1.47,0.9998402213475627,1,0.4469191989720314,0.2695007083390935,287343.84388888895,7.723403315233955,2555618.8333333335,0,((((5)-((4)+(9)))-((1)*((x)*(5))))*(((7)*(x))+((x)*((8)/((1)*(x)))))),((((0)+(8))-((8)+(0)))+((3)/((4)/((3)/(0))))),AddTreeWithSub|MutateTerminalR|MultXD|AddTreeWithAdd|AddRandomSubTreeR|MutateTerminalR|MutateTerminalR|MultXD|AddXD|MutateTerminalR|AddRandomSubTreeR|MultXD|MultXD|AddTreeWithSub|AddTreeWithDiv,AddTreeWithDiv|AddTreeWithAdd|ReplaceBranchXR|ReplaceBranchXR|DeleteTerminalR|AddXD|DeleteTerminalR|DeleteTerminalR|DeleteNonTerminalR|AddTreeWithDiv|DivXD|AddRandomSubTreeR|ReplaceBranchXR|AddTreeWithDiv|AddRandomSubTreeR,MutateTerminalR,AddTreeWithDiv,2,2,3,3,8
3,(x),30,-10,0.024061289357005758,0.048760533447482955,0.38238019135037105,0.32,38440.979567306036,724.7331233828693,295999.15648611484,0.6533333333333333,0.9999485596124595,1,0.9595514462024806,0.5514640671912534,1028486.1162169311,5.906666666666666,7937991,0,((((0)+((0)-(6)))-((5)*((x)*(9))))/(((1)*(x))*((9)*((5)*((x)*(x)))))),((((5)/(7))/((0)*(0)))*((3)+((0)-(x)))),AddTreeWithSub|MutateTerminalR|MultXD|AddTreeWithAdd|MultXD|MutateTerminalR|MutateTerminalR|MultXD|MultXD|MutateTerminalR|AddRandomSubTreeR|MultXD|MultXD|AddTreeWithSub|AddTreeWithDiv,FellTreeD|DivXD|AddTreeWithDiv|ReplaceBranchXR|MutateTerminalR|AddTreeWithAdd|AddRandomSubTreeR|ReplaceBranchR|AddTreeWithMult|AddTreeWithDiv|AddToLeafR|DeleteNonTerminalR|DeleteTerminalR|MutateNonTerminalR|DeleteTerminalR,MultXD,DeleteTerminalR,3,3,4,4,8
4,(x),30,-10,0.14807274644522186,0.030047958604062036,0.3948266339792898,0.36,241049.41412670113,1046.8361510225498,2474536.292190561,0.32666666666666666,0.9999922048662703,1,0.8517092115994749,0.45901150050583095,6063838.990484126,6.3045879190119996,52383108.166666664,0,((((9)*(x))*((x)*((x)*(x))))*(((8)/(3))*((0)-((7)*(x))))),(((0)/((3)-(3)))/((x)*(x))),AddTreeWithSub|AddTreeWithDiv|MultXD|AddTreeWithAdd|MultXD|MutateTerminalR|MutateTerminalR|MultXD|MultXD|MutateTerminalR|AddRandomSubTreeR|MultXD|MultXD|AddTreeWithSub|AddTreeWithDiv,SkipD|MutateTerminalR|ReplaceBranchXR|AddTreeWithDiv|AddTreeWithDiv|DeleteTerminalR|SkipD|AddRandomSubTreeR|FellTreeD|DivXD|DivXD|MultXD|AddToLeafR|DeleteTerminalR|AddRandomSubTreeR,MultXD,SkipD,4,4,5,5,8
5,(x),30,-10,0.1757204987316183,0.07051386340475607,0.39955013553932195,0.34,234354.2057348577,487.03091032362613,3035310.5259739184,0.49,0.9999965181886631,1,0.7148585690413335,0.509566074510065,8332360.416666667,4.9643524677530735,117276122.63333334,0,((((6)+(x))*((x)*((x)*(x))))*((x)*((x)*((x)-(x))))),((((3)/(0))/((4)+(4)))+((9)/((0)/((x)*(0))))),AddTreeWithSub|AddTreeWithDiv|MultXD|AddTreeWithAdd|MultXD|MutateTerminalR|MutateTerminalR|AddXD|MultXD|MutateNonTerminalR|ReplaceBranchR|MultXD|MultXD|MultXD|SubXD,FellTreeD|DivXD|AddTreeWithDiv|AddTreeWithDiv|AddTreeWithDiv|AddTreeWithAdd|AddRandomSubTreeR|ReplaceBranchR|AddTreeWithMult|AddTreeWithDiv|AddToLeafR|DeleteNonTerminalR|DeleteTerminalR|MutateNonTerminalR|DeleteTerminalR,MultXD,AddTreeWithDiv,5,5,6,6,8
6,(x),30,-10,0.25678016285868677,0.12857928192021784,0.3942007524318695,0.4,3828625.004084131,44429.780823015404,39962750.58637037,0,0.9999996096787561,1,0.7136489207109055,0.47016234598162715,128329349.06666668,2.45,1046146833.6666666,0,((((2)*(6))*((x)*((x)*(x))))*(((x)*(x))*((x)*((x)-(x))))),((((6)*(5))+((6)/(0)))/((6)-((8)/((9)/(0))))),AddTreeWithSub|AddTreeWithDiv|MultXD|AddTreeWithAdd|MultXD|MutateTerminalR|MutateTerminalR|MultXD|MultXD|MutateNonTerminalR|ReplaceBranchR|MultXD|MultXD|MultXD|SubXD,FellTreeD|DivXD|AddTreeWithDiv|AddTreeWithDiv|AddTreeWithDiv|AddTreeWithAdd|AddRandomSubTreeR|ReplaceBranchR|AddTreeWithMult|AddTreeWithDiv|AddToLeafR|DeleteNonTerminalR|DeleteTerminalR|MutateNonTerminalR|DeleteTerminalR,MultXD,AddTreeWithDiv,6,6,7,7,8
7,(x),30,-10,0.31751174185302,0.10491508261074527,0.39992254675971034,0.4,5430832.271672543,2188.7317152639253,76945102.78490934,0,0.9999997681947306,1,0.6153349063839912,0.5277954597167707,131129668.74144843,3.4716666666666667,1761536026.7333333,0,((((8)+((x)-(5)))*((1)*((x)*(x))))*(((x)*(x))*((x)*((x)*((x)-(x)))))),((((6)-(0))/((7)/(6)))+((6)-((6)/((0)/(9))))),AddTreeWithSub|AddTreeWithDiv|MultXD|AddTreeWithAdd|MultXD|MutateTerminalR|MutateTerminalR|AddXD|MultXD|MutateNonTerminalR|MutateNonTerminalR|MultXD|MultXD|MultXD|SubXD,FellTreeD|DivXD|AddTreeWithDiv|AddTreeWithDiv|AddTreeWithDiv|AddTreeWithAdd|AddRandomSubTreeR|ReplaceBranchR|AddTreeWithMult|AddTreeWithDiv|AddToLeafR|DeleteNonTerminalR|DeleteTerminalR|MutateNonTerminalR|DeleteTerminalR,MultXD,AddTreeWithDiv,7,7,8,8,8
8,(x),30,-10,0.3321908826073055,0.15676013123838145,0.39997021138528316,0.4,14895559.708308177,7871.002130076107,229379858.87205946,0,0.9999999510033556,1,0.004641788335716299,0.3888467847057583,500853609.7666667,1.306560283687943,8333904051.066667,0,((((6)*((x)-(8)))*((x)*((x)*(x))))*(((x)*(x))*((x)*((x)-(x))))),((((7)/(0))+((8)/(7)))+((x)/((0)*((6)/(0))))),AddTreeWithSub|AddTreeWithDiv|MultXD|AddTreeWithAdd|MultXD|MutateTerminalR|AddTreeWithMult|MultXD|AddXD|MutateNonTerminalR|ReplaceBranchR|MultXD|MultXD|MultXD|SubXD,FellTreeD|DivXD|AddTreeWithDiv|AddRandomSubTreeR|AddTreeWithDiv|DeleteTerminalR|SkipD|AddRandomSubTreeR|MultXD|AddTreeWithDiv|AddToLeafR|AddTreeWithSub|DeleteTerminalR|MutateNonTerminalR|DeleteTerminalR,MultXD,AddTreeWithDiv,8,8,9,9,8
9,(x),30,-10,0.36971036136715574,0.21582424411323164,0.39999044172806547,0.4,11864880.370363839,16.05848894641587,176502757.68903702,0,0.9999999219357523,1,0.6048210015933354,0.41039134083406165,279874736.0511111,1.6333333333333333,5230734233.666667,0,((((4)*((5)*(x)))*((3)*((x)*(x))))*(((x)*(x))*((x)*((x)-(x))))),((((0)*(6))/((2)/(2)))/((0)/((0)*((x)-(6))))),AddTreeWithSub|AddTreeWithDiv|MultXD|AddTreeWithAdd|MultXD|MutateTerminalR|AddTreeWithMult|MultXD|AddXD|MutateNonTerminalR|ReplaceBranchR|MultXD|MultXD|MultXD|SubXD,FellTreeD|DivXD|AddTreeWithDiv|AddTreeWithDiv|AddTreeWithDiv|DeleteTerminalR|AddTreeWithMult|AddTreeWithDiv|MultXD|ReplaceBranchR|AddToLeafR|DeleteNonTerminalR|DeleteTerminalR|MutateNonTerminalR|DeleteTerminalR,MultXD,AddTreeWithDiv,8,8,10,10,8
10,(x),30,-10,0.373467097432138,0.25619734692364055,0.39999209814562336,0.4,9887870.53463495,2.7480915736384914,106609720.79082814,0,0.9999998065327034,1,0.02338910376687223,0,237369677.055,0,2110606496.9,0,((((x)-((2)-(9)))*((x)*((x)+(x))))*(((x)*(x))*((x)*((x)*((x)-(x)))))),((((0)-(6))*((0)/(x)))/((1)/((0)*(x)))),AddTreeWithSub|MutateTerminalR|MultXD|AddTreeWithAdd|MultXD|MutateTerminalR|AddXD|MultXD|AddXD|MutateNonTerminalR|ReplaceBranchR|MultXD|MultXD|MultXD|SubXD,FellTreeD|DivXD|AddTreeWithDiv|AddTreeWithDiv|AddTreeWithDiv|DeleteTerminalR|AddTreeWithSub|AddTreeWithDiv|MultXD|DivXD|DivXD|MultXD|AddToLeafR|DeleteTerminalR|DeleteTerminalR,MultXD,AddTreeWithDiv,10,10,11,11,8
11,(x),30,-10,0.3599452731976375,0.31825498249456424,0.39998307753883233,0.4,7092596.08695905,0.7582963617657661,106446546.56068517,0,0.9999998642170487,1,0.07042485153591878,0,170280204.6275,0,3007250390.9,0,((((x)+((x)*(x)))*((x)*((x)*(x))))+(((x)*(x))*((x)*((x)-(x))))),((((5)*((2)/(0)))/((0)/((2)/(0))))/(((0)*(x))/((x)/((6)+((4)*(x)))))),AddTreeWithSub|AddTreeWithDiv|MultXD|AddTreeWithAdd|MultXD|MutateTerminalR|AddXD|MultXD|AddXD|MutateNonTerminalR|AddToLeafR|AddXD|MultXD|MultXD|SubXD,FellTreeD|DivXD|AddTreeWithDiv|AddTreeWithDiv|AddTreeWithDiv|DeleteTerminalR|AddTreeWithMult|AddTreeWithDiv|ReplaceBranchR|DivXD|DivXD|MultXD|AddToLeafR|DeleteTerminalR|DeleteTerminalR,MultXD,AddTreeWithDiv,11,11,12,12,8
12,(x),30,-10,0.36053339454005046,0.3441589324960754,0.3999801803918151,0.4,3258248.471935988,0.5032666666666666,34589996.60144445,0,0.9999990632290646,1,0.4365887895225714,0,37976183.25853175,0,435894537.1666667,0,((((7)-((5)+(7)))*((x)*((x)*(x))))*(((x)*(x))*((x)*((x)-(x))))),((((0)/(0))/((0)/(0)))/((2)*((0)*((x)-(0))))),AddTreeWithSub|AddTreeWithDiv|MultXD|AddTreeWithAdd|MultXD|MutateTerminalR|MutateTerminalR|MultXD|AddXD|MutateNonTerminalR|ReplaceBranchR|MultXD|MultXD|MultXD|SubXD,FellTreeD|DivXD|DivXD|AddTreeWithDiv|AddTreeWithDiv|DeleteTerminalR|AddTreeWithMult|AddTreeWithDiv|MultXD|DivXD|DivXD|MultXD|AddToLeafR|DeleteTerminalR|DeleteTerminalR,MultXD,DivXD,12,12,13,13,8
13,(x),30,-10,0.37396785737600013,0.38499999999999995,0.39997867756907524,0.4,4618974.961047288,0.1225,46730857.72211112,0,0.9999997389514176,1,0.0002835302256839325,0,145701657.18833333,0,1564204369.6666667,0,((((2)-((7)+(7)))+(((9)-(3))*((x)*(x))))+(((x)*(x))*((x)*((x)*((x)*(x)))))),((((1)+((0)*(8)))/((5)/((4)/(x))))/(((2)/(0))*((x)/((x)/((0)*(x)))))),AddTreeWithSub|AddTreeWithAdd|MultXD|AddTreeWithAdd|MultXD|MutateTerminalR|AddXD|MultXD|AddXD|MutateNonTerminalR|AddToLeafR|MultXD|MultXD|MultXD|SkipD,FellTreeD|DivXD|AddTreeWithDiv|AddTreeWithDiv|AddTreeWithDiv|DeleteTerminalR|AddTreeWithMult|AddTreeWithDiv|MultXD|DivXD|DivXD|MultXD|AddToLeafR|DeleteTerminalR|DeleteTerminalR,MultXD,AddTreeWithDiv,13,13,14,14,8
14,(x),30,-10,0.38473622935246915,0.38499999999999984,0.3999647527463843,0.4,794886.4034920436,0.1225,5397968.285145299,0,0.9999901361098633,1,0.002973075451145159,0,5102152.574999999,0,41396784.4,0,((((6)-((4)+(8)))*(((x)+(3))*((x)*(x))))+(((0)+(x))+((x)*((x)*((x)*(x)))))),((((0)/((0)/(2)))+((0)/((3)/(2))))*(((0)/(0))*((x)/((x)/((x)*(x)))))),AddTreeWithSub|AddTreeWithAdd|MultXD|AddTreeWithAdd|MultXD|MutateTerminalR|AddXD|AddXD|AddXD|MutateTerminalR|AddTreeWithMult|DivXD|MultXD|MultXD|SkipD,AddTreeWithSub|DivXD|AddTreeWithDiv|AddTreeWithDiv|AddTreeWithDiv|DeleteTerminalR|AddTreeWithMult|AddTreeWithDiv|MultXD|DivXD|DivXD|MultXD|AddToLeafR|DeleteTerminalR|DeleteTerminalR,MultXD,AddTreeWithDiv,14,14,15,15,8
15,(x),30,-10,0.39764009367789527,0.35967561954618094,0.39996697182662544,0.4,1219202.6714333333,0.5364388178962656,6804171.116000001,0,0.9999923281786384,1,0.0023659783397447206,0,7989245.35,0,53225083.6,0,((((x)*((3)+(8)))*(((x)-(5))*((3)*(x))))+(((x)+(x))+((x)*((x)*((x)*(x)))))),((((7)*((8)/(3)))/((0)/((0)/(0))))/(((x)*(x))/((x)/((6)*((6)*(x)))))),AddTreeWithSub|AddTreeWithMult|MultXD|AddTreeWithAdd|MultXD|MutateTerminalR|AddXD|AddXD|AddXD|MutateTerminalR|SubXD|MultXD|MultXD|MultXD|SkipD,FellTreeD|DivXD|DivXD|AddTreeWithDiv|AddTreeWithDiv|DeleteTerminalR|AddTreeWithMult|AddTreeWithDiv|MultXD|DivXD|DivXD|MultXD|AddToLeafR|DeleteTerminalR|DeleteTerminalR,MultXD,DivXD,13,15,16,16,8
16,(x),30,-10,0.3949165575559448,0.38160425499104855,0.39997029133541967,0.4,1638932.9756606868,1.2256692036151675,12071606.682151778,0,0.9999954283182388,1,0.002297079697580219,0,9229145.518333333,0,89317969.76666667,0,((((7)-((5)+(9)))+(((x)*(x))*((x)*(x))))+(((x)+(x))+((x)*((x)*((x)*(x)))))),((((0)/((9)*(1)))/((6)/((4)/(3))))*(((0)/(9))*((0)/((x)/((x)*(x)))))),AddTreeWithSub|AddTreeWithAdd|MultXD|AddTreeWithAdd|MultXD|MutateTerminalR|AddXD|AddXD|AddXD|MutateTerminalR|AddTreeWithMult|MultXD|MultXD|MultXD|SkipD,FellTreeD|DivXD|AddTreeWithDiv|AddTreeWithDiv|AddTreeWithDiv|DeleteTerminalR|AddTreeWithMult|AddTreeWithDiv|MultXD|DivXD|DivXD|MultXD|AddToLeafR|SubXD|DeleteTerminalR,MultXD,AddTreeWithDiv,16,16,17,17,8
