gen,specEquation,range,seed,AGenFitAvg,PGenFitAvg,AGenBestFitAvg,PGenBestFitAvg,AGenDeltaAvg,PGenDeltaAvg,AGenBestDeltaAvg,PGenBestDeltaAvg,topABestFit,topPBestFit,topAStdDev,topPStdDev,topAAvgDelta,topPAvgtDelta,topABestDelta,topPBestDelta,topAEquation,topPEquation,topAStrat,topPStrat,topADomStrat,topPDomStrat,topABirthGen,topPBirthGen,topAAge,topPAge,run
0,(x),30,-10,-0.3984181364907025,-0.05954633563658438,-0.18558546156367167,0.35831632653061224,582.9831302222786,38.40913196182996,2998.082483593679,1.1570833333333332,0.9924135453824812,1,0.9378845776866108,0.5872317080425155,10611.149999999998,5.879291808879407,53824,0,((((8)-((0)*(5)))+((7)*((4)-(2))))*(((x)*(x))+((4)+((0)*((x)-(x)))))),(((9)+((5)+(1)))/((0)*((1)/(0)))),SkipD|MutateNonTerminalR|ReplaceBranchXR|MultXD|MultXD|AddTreeWithSub|AddTreeWithMult|AddTreeWithAdd|AddToLeafR|DeleteMaliciousR|AddRandomSubTreeR|MultXD|DeleteMaliciousR|AddToLeafR|SubXD,MultXD|AddTreeWithAdd|SubXD|AddTreeWithDiv|AddTreeWithAdd|AddXD|FellTreeD|MutateTerminalR|ReplaceBranchR|DivXD|SkipD|AddTreeWithMult|DivXD|DeleteTerminalR|AddToLeafR,MultXD,AddTreeWithAdd,0,0,1,1,9
1,(x),30,-10,-0.302721378338246,0.05550056953583147,0.17744589225328228,0.44795918367346943,397.08309775337574,42.83410015389582,3346.8539455782316,0.425,0.9225619662306959,1,0.7752344562046751,0.49705886025019325,852.7187786596121,3.142917444279456,5273.033333333334,0,((((x)+((4)*(x)))+(((0)+(8))*((9)-(1))))-(((9)/((2)*(8)))*((x)/((x)+((x)*(x)))))),((0)+(x)),AddXD|SubXD|SkipD|AddTreeWithMult|AddToLeafR|AddRandomSubTreeR|AddTreeWithSub|MultXD|DivXD|AddXD|AddTreeWithMult|AddTreeWithDiv|AddRandomSubTreeR|AddTreeWithDiv|MultXD,AddRandomSubTreeR|AddTreeWithAdd|ReplaceBranchXR|SkipD|AddXD|SkipD|ReplaceBranchXR|DeleteTerminalR|AddXD|DeleteNonTerminalR|SkipD|AddRandomSubTreeR|DeleteNonTerminalR|DivXD|MutateNonTerminalR,AddTreeWithMult,SkipD,1,1,2,2,9
2,(x),30,-10,-0.24598697838338088,0.029133766834720753,0.24963182486115093,0.40591836734693876,445.7542740735753,211.1133793927862,3384.471666666667,0.7683333333333333,0.9589146766836597,1,0.6481632369265985,0.74343001898524,1275.409084782061,3979.795873694425,9938.666666666666,0,((((x)+((x)-(7)))*(((4)/(4))+((6)-(x))))*(((x)/(2))/((8)+((8)+((x)*(x)))))),(((((5)*(5))+((6)-(0)))+(((7)*(3))*((4)+((3)/(5)))))-((((x)/(4))/((0)/(4)))*(((6)/(0))-((2)+((9)/(x)))))),AddRandomSubTreeR|SubXD|SkipD|AddTreeWithMult|AddToLeafR|AddRandomSubTreeR|AddTreeWithSub|MultXD|DivXD|AddXD|AddTreeWithMult|AddTreeWithDiv|AddRandomSubTreeR|AddTreeWithDiv|MultXD,SubXD|DivXD|MutateNonTerminalR|AddTreeWithDiv|DeleteTerminalR|DeleteMaliciousR|AddTreeWithMult|DeleteNonTerminalR|AddTreeWithDiv|AddToLeafR|SkipD|AddTreeWithMult|MutateTerminalR|DeleteNonTerminalR|AddTreeWithAdd,AddRandomSubTreeR,AddTreeWithDiv,2,2,3,3,9
3,(x),30,-10,-0.08785648781296873,0.05023186841031846,0.3483319085019085,0.5,718.046056186201,22.070988358108682,3295.433860174089,0,0.9818675666274415,1,0.6410668541628517,0.49527669000919583,5339.423333333334,3.7193702558024677,22519.5,0,((((x)+((8)*(6)))*(((3)-(x))*((0)-(5))))+(((2)*((x)/(x)))+((x)-((x)*((x)*(x)))))),((((0)-((0)/(3)))*(((0)+(x))+((0)/(0))))/(((0)*(0))+((0)+((3)+((8)+(x)))))),AddRandomSubTreeR|SubXD|SkipD|AddTreeWithMult|AddToLeafR|AddRandomSubTreeR|AddTreeWithSub|MultXD|DivXD|AddXD|AddTreeWithAdd|SubXD|DeleteMaliciousR|MultXD|MultXD,AddRandomSubTreeR|AddXD|ReplaceBranchXR|AddRandomSubTreeR|DeleteMaliciousR|DeleteMaliciousR|AddTreeWithMult|DeleteTerminalR|AddXD|DeleteNonTerminalR|SkipD|MutateTerminalR|DivXD|AddTreeWithSub|DeleteTerminalR,MultXD,AddRandomSubTreeR,3,3,4,4,9
4,(x),30,-10,0.09423649474837763,-0.018518084802010858,0.4453107358347353,0.4073469387755102,1576.3815805516654,2702.3542950947835,8366.445476190474,0.7566666666666666,0.9892744728075051,1,0.5921740348258798,0.7050311188465948,7428.299999999998,6.232903712000075,38071.166666666664,0,(((((x)+(3))-((8)-(0)))*(((3)+(7))*((2)+(6))))-(((x)*((x)/(x)))+((x)-((x)*((x)*(x)))))),(((((4)-(0))-((1)-((0)*(7))))+(((2)+(0))*((0)-((4)*(0)))))*((((x)/(0))+((0)-(x)))*(((7)*(0))*((6)+((x)+(x)))))),AddRandomSubTreeR|SubXD|SkipD|AddTreeWithMult|AddToLeafR|AddRandomSubTreeR|AddTreeWithSub|MultXD|DivXD|AddXD|AddTreeWithAdd|SubXD|DeleteMaliciousR|MultXD|MultXD,AddRandomSubTreeR|AddXD|MutateNonTerminalR|AddTreeWithDiv|DeleteTerminalR|DeleteMaliciousR|AddTreeWithMult|DeleteTerminalR|AddXD|DeleteNonTerminalR|SkipD|MutateTerminalR|DeleteTerminalR|AddTreeWithSub|DeleteTerminalR,MultXD,DeleteTerminalR,4,4,5,5,9
5,(x),30,-10,0.2314042234396263,0.009529295404838035,0.44954544540033653,0.45102040816326533,17979.159206810044,179.81016965639566,138905.27566666665,0.4,0.9998142315327186,1,0.6164105404966618,0.6995776155752352,282898.5433333333,13.144306349037388,2198076.6666666665,0,(((((4)-(0))+((3)-(0)))+(((7)+(x))*((x)*(4))))-(((9)-((x)*(x)))+((0)-((x)*((x)*(x)))))),(((0)/(0))-((9)+(x))),AddRandomSubTreeR|SubXD|SkipD|AddTreeWithMult|AddToLeafR|AddRandomSubTreeR|AddTreeWithSub|MultXD|AddToLeafR|AddXD|AddTreeWithAdd|SubXD|DeleteMaliciousR|MultXD|MultXD,AddRandomSubTreeR|AddXD|ReplaceBranchXR|AddRandomSubTreeR|DeleteMaliciousR|DeleteMaliciousR|AddTreeWithMult|DivXD|AddXD|DeleteNonTerminalR|SkipD|MutateTerminalR|DeleteTerminalR|AddTreeWithSub|DeleteTerminalR,MultXD,DeleteMaliciousR,5,5,6,6,9
6,(x),30,-10,0.19956225719444248,-0.050359228802378794,0.4685714556311238,0.358576604454811,6999.920263492064,374.7305752403226,47826.655000000006,1.1549577302857101,0.9977078918686294,1,0.6551364499959872,0.5655558911614967,30464.30190476191,4.96587170370336,178147.5,0,(((((x)+(8))*((9)*(8)))*(((4)+(0))-((0)-(6))))-(((x)*((x)/(x)))+((x)-((x)*((x)*(x)))))),(((((1)-(7))+((0)*((7)+(0))))+(((8)*(5))-((0)*((4)*(x)))))/((((9)*(3))+((x)-(8)))-(((2)*(x))+((2)+((0)/((0)+(9))))))),AddRandomSubTreeR|SubXD|SkipD|AddTreeWithMult|AddToLeafR|AddRandomSubTreeR|AddTreeWithSub|MultXD|DivXD|AddXD|AddTreeWithAdd|SubXD|DeleteMaliciousR|MultXD|MultXD,AddRandomSubTreeR|AddXD|ReplaceBranchXR|AddRandomSubTreeR|DeleteMaliciousR|DeleteMaliciousR|AddTreeWithMult|DivXD|AddXD|DeleteNonTerminalR|SkipD|MutateTerminalR|DeleteTerminalR|AddTreeWithSub|DeleteTerminalR,MultXD,DeleteTerminalR,6,6,7,7,9
7,(x),30,-10,0.13954634965281942,0.05412735174770128,0.4625111200063414,0.5,1562.085729986742,408.7449952661154,7572.474333333332,0,0.9888276308649238,1,0.5990231084035664,0.7174988463466051,6834.086666666667,11.288526767407573,36548.5,0,(((((x)+(8))*((1)*(0)))-(((8)-(0))*((6)+(0))))-(((x)*((x)/(x)))+((x)-((x)*((x)*(x)))))),(((((0)-(0))-((6)-(0)))+(((x)*(3))+((x)/((3)-(8)))))+((((2)*(7))-((0)/(0)))*(((x)*(x))+((x)/((x)+(x)))))),AddRandomSubTreeR|SubXD|SkipD|AddTreeWithMult|AddToLeafR|AddRandomSubTreeR|AddTreeWithSub|MultXD|DivXD|AddXD|AddTreeWithAdd|SubXD|DeleteMaliciousR|MultXD|MultXD,AddRandomSubTreeR|AddXD|MutateNonTerminalR|AddTreeWithDiv|DeleteTerminalR|DeleteMaliciousR|AddTreeWithMult|DivXD|AddXD|DeleteNonTerminalR|SkipD|MutateTerminalR|DeleteTerminalR|AddTreeWithSub|DeleteTerminalR,MultXD,DeleteTerminalR,6,7,8,8,9
8,(x),30,-10,0.26958529741247406,0.06186056549873361,0.49266560199221016,0.45,5716.122964924574,25.71694092975337,40323.00541666667,0.4083333333333333,0.9865339481914268,1,0.1738996725250597,0.515415406172287,6914.407142857142,3.9392915527208445,30323.166666666668,0,(((((1)+(8))+((4)+(0)))+(((8)*(8))*((0)-(5))))-(((x)*((x)/(x)))+((x)-((x)*((x)*(x)))))),(((((0)-(0))+((0)-(2)))-(((x)*(2))+((9)/(0))))+(((x)*((7)-(0)))+(((4)-(2))*((9)/((x)+(x)))))),AddRandomSubTreeR|SubXD|SkipD|AddTreeWithMult|AddToLeafR|AddRandomSubTreeR|AddTreeWithSub|MultXD|DivXD|AddXD|AddTreeWithAdd|SubXD|DeleteMaliciousR|MultXD|MultXD,AddRandomSubTreeR|AddXD|ReplaceBranchXR|AddRandomSubTreeR|DeleteMaliciousR|DeleteMaliciousR|AddTreeWithMult|DivXD|AddXD|DeleteNonTerminalR|SkipD|MutateTerminalR|DeleteTerminalR|AddTreeWithSub|DeleteTerminalR,MultXD,AddRandomSubTreeR,8,7,9,9,9
9,(x),30,-10,0.29898426339925044,0.15804725464862407,0.48912842351345825,0.5,10922.609231230357,96.3020317421293,90001.98782051282,0,0.9758846399921257,1,0.1375501913066628,0.39434630098658896,5470.65,3.070895162074051,16932.5,0,((((6)-((x)*(9)))+(((9)+(0))+((5)+(2))))-(((x)*((x)/(x)))+((x)-((x)*((x)*(x)))))),(((x)*(0))-((0)+(x))),AddRandomSubTreeR|SubXD|SkipD|AddTreeWithMult|AddToLeafR|AddRandomSubTreeR|AddTreeWithSub|MultXD|DivXD|AddXD|AddTreeWithAdd|SubXD|DeleteMaliciousR|MultXD|MultXD,AddRandomSubTreeR|AddXD|ReplaceBranchXR|AddRandomSubTreeR|DeleteMaliciousR|DeleteMaliciousR|AddTreeWithMult|DivXD|AddXD|DeleteNonTerminalR|SkipD|MutateTerminalR|DeleteTerminalR|AddTreeWithSub|DeleteTerminalR,MultXD,AddRandomSubTreeR,9,9,10,10,9
10,(x),30,-10,0.18222234554465255,0.11443943105167827,0.4852753511767401,0.5,3499.917769196082,123.42046806411341,19055.658333333336,0,0.9962593363910078,1,0.34371931731916827,0.4406779878545179,15836.685000000001,2.7716380722603886,109160.66666666667,0,(((((2)-(1))+((0)-(3)))*(((9)*(7))*((6)-(5))))+(((9)*((x)/(x)))+((x)-((x)*((x)*(x)))))),(((((2)-(x))/((0)+((3)+(6))))-(((x)-(7))-((7)-((1)+(0)))))*((((x)*(8))-((5)/(0)))+(((0)+(6))+((x)/((x)+(x)))))),AddRandomSubTreeR|SubXD|SkipD|AddTreeWithMult|AddToLeafR|AddRandomSubTreeR|AddTreeWithSub|MultXD|DivXD|AddXD|AddTreeWithAdd|SubXD|DeleteMaliciousR|MultXD|MultXD,AddRandomSubTreeR|AddXD|ReplaceBranchXR|AddRandomSubTreeR|DeleteMaliciousR|DeleteMaliciousR|AddTreeWithMult|DivXD|AddXD|DeleteNonTerminalR|SkipD|MutateTerminalR|DeleteTerminalR|AddTreeWithSub|DeleteTerminalR,MultXD,AddXD,10,10,11,11,9
