A,P,AFinal,PFinal,AGen,PGen,count,run
MutateNonTerminalR,AddTreeWithDiv,MutateNonTerminalR,AddTreeWithDiv,0,0,0,2
AddRandomSubTreeR,DeleteTerminalR,AddRandomSubTreeR,DeleteTerminalR,0,0,1,2
AddTreeWithSub,AddTreeWithMult,AddTreeWithSub,AddTreeWithMult,0,0,2,2
AddTreeWithMult,AddRandomSubTreeR,AddTreeWithMult,AddRandomSubTreeR,0,0,3,2
AddRandomSubTreeR,DeleteTerminalR,AddRandomSubTreeR,DeleteTerminalR,0,0,4,2
DeleteTerminalR,MutateTerminalR,DeleteTerminalR,MutateTerminalR,0,0,5,2
MutateTerminalR,AddToLeafR,MutateTerminalR,AddToLeafR,0,0,6,2
MultXD,DeleteTerminalR,MultXD,DeleteTerminalR,0,0,7,2
AddToLeafR,ReplaceBranchXR,AddToLeafR,ReplaceBranchXR,0,0,8,2
SkipD,FellTreeD,SkipD,FellTreeD,0,0,9,2
MultXD,MutateNonTerminalR,MultXD,MutateNonTerminalR,0,0,10,2
MultXD,AddTreeWithDiv,MultXD,AddTreeWithDiv,0,0,11,2
AddTreeWithMult,DeleteMaliciousR,AddTreeWithMult,DeleteMaliciousR,0,0,12,2
MultXD,DeleteTerminalR,MultXD,DeleteTerminalR,0,0,13,2
AddXD,AddXD,AddXD,AddXD,0,0,14,2
