A,P,AEquation,PEquation,AGen,PGen,ARun,PRun,count,run
AddTreeWithAdd,DivXD,(((((8)+(6))+((x)*(7)))*(((3)*(8))*((3)*(x))))+(((x)*((x)-(4)))-((8)*((x)-((x)*(x)))))),((((4)/((4)+(0)))+(((9)*(x))+((x)*(9))))/(((0)*((8)-(1)))/((0)/((x)/((0)+(x)))))),0,0,2,0,0,0
AddXD,DeleteMaliciousR,(((((8)+(6))+((x)*(7)))*(((3)*(8))*((3)*(x))))+(((x)*((x)-(4)))-((8)*((x)-((x)*(x)))))),((((4)/((4)+(0)))+(((9)*(x))+((x)*(9))))/(((0)*((8)-(1)))/((0)/((x)/((0)+(x)))))),0,0,2,0,1,0
AddToLeafR,DeleteNonTerminalR,(((((8)+(6))+((x)*(7)))*(((3)*(8))*((3)*(x))))+(((x)*((x)-(4)))-((8)*((x)-((x)*(x)))))),((((4)/((4)+(0)))+(((9)*(x))+((x)*(9))))/(((0)*((8)-(1)))/((0)/((x)/((0)+(x)))))),0,0,2,0,2,0
MultXD,DivXD,(((((8)+(6))+((x)*(7)))*(((3)*(8))*((3)*(x))))+(((x)*((x)-(4)))-((8)*((x)-((x)*(x)))))),((((4)/((4)+(0)))+(((9)*(x))+((x)*(9))))/(((0)*((8)-(1)))/((0)/((x)/((0)+(x)))))),0,0,2,0,3,0
MultXD,DivXD,(((((8)+(6))+((x)*(7)))*(((3)*(8))*((3)*(x))))+(((x)*((x)-(4)))-((8)*((x)-((x)*(x)))))),((((4)/((4)+(0)))+(((9)*(x))+((x)*(9))))/(((0)*((8)-(1)))/((0)/((x)/((0)+(x)))))),0,0,2,0,4,0
AddXD,DeleteTerminalR,(((((8)+(6))+((x)*(7)))*(((3)*(8))*((3)*(x))))+(((x)*((x)-(4)))-((8)*((x)-((x)*(x)))))),((((4)/((4)+(0)))+(((9)*(x))+((x)*(9))))/(((0)*((8)-(1)))/((0)/((x)/((0)+(x)))))),0,0,2,0,5,0
MultXD,DeleteNonTerminalR,(((((8)+(6))+((x)*(7)))*(((3)*(8))*((3)*(x))))+(((x)*((x)-(4)))-((8)*((x)-((x)*(x)))))),((((4)/((4)+(0)))+(((9)*(x))+((x)*(9))))/(((0)*((8)-(1)))/((0)/((x)/((0)+(x)))))),0,0,2,0,6,0
SubXD,DeleteTerminalR,(((((8)+(6))+((x)*(7)))*(((3)*(8))*((3)*(x))))+(((x)*((x)-(4)))-((8)*((x)-((x)*(x)))))),((((4)/((4)+(0)))+(((9)*(x))+((x)*(9))))/(((0)*((8)-(1)))/((0)/((x)/((0)+(x)))))),0,0,2,0,7,0
AddTreeWithMult,AddTreeWithDiv,(((((8)+(6))+((x)*(7)))*(((3)*(8))*((3)*(x))))+(((x)*((x)-(4)))-((8)*((x)-((x)*(x)))))),((((4)/((4)+(0)))+(((9)*(x))+((x)*(9))))/(((0)*((8)-(1)))/((0)/((x)/((0)+(x)))))),0,0,2,0,8,0
MultXD,DeleteMaliciousR,(((((8)+(6))+((x)*(7)))*(((3)*(8))*((3)*(x))))+(((x)*((x)-(4)))-((8)*((x)-((x)*(x)))))),((((4)/((4)+(0)))+(((9)*(x))+((x)*(9))))/(((0)*((8)-(1)))/((0)/((x)/((0)+(x)))))),0,0,2,0,9,0
AddToLeafR,AddTreeWithDiv,(((((8)+(6))+((x)*(7)))*(((3)*(8))*((3)*(x))))+(((x)*((x)-(4)))-((8)*((x)-((x)*(x)))))),((((4)/((4)+(0)))+(((9)*(x))+((x)*(9))))/(((0)*((8)-(1)))/((0)/((x)/((0)+(x)))))),0,0,2,0,10,0
MutateTerminalR,AddXD,(((((8)+(6))+((x)*(7)))*(((3)*(8))*((3)*(x))))+(((x)*((x)-(4)))-((8)*((x)-((x)*(x)))))),((((4)/((4)+(0)))+(((9)*(x))+((x)*(9))))/(((0)*((8)-(1)))/((0)/((x)/((0)+(x)))))),0,0,2,0,11,0
SubXD,AddTreeWithAdd,(((((8)+(6))+((x)*(7)))*(((3)*(8))*((3)*(x))))+(((x)*((x)-(4)))-((8)*((x)-((x)*(x)))))),((((4)/((4)+(0)))+(((9)*(x))+((x)*(9))))/(((0)*((8)-(1)))/((0)/((x)/((0)+(x)))))),0,0,2,0,12,0
AddToLeafR,AddTreeWithSub,(((((8)+(6))+((x)*(7)))*(((3)*(8))*((3)*(x))))+(((x)*((x)-(4)))-((8)*((x)-((x)*(x)))))),((((4)/((4)+(0)))+(((9)*(x))+((x)*(9))))/(((0)*((8)-(1)))/((0)/((x)/((0)+(x)))))),0,0,2,0,13,0
MultXD,DeleteMaliciousR,(((((8)+(6))+((x)*(7)))*(((3)*(8))*((3)*(x))))+(((x)*((x)-(4)))-((8)*((x)-((x)*(x)))))),((((4)/((4)+(0)))+(((9)*(x))+((x)*(9))))/(((0)*((8)-(1)))/((0)/((x)/((0)+(x)))))),0,0,2,0,14,0
