gen,specEquation,range,seed,AGenFitAvg,PGenFitAvg,AGenBestFitAvg,PGenBestFitAvg,AGenDeltaAvg,PGenDeltaAvg,AGenBestDeltaAvg,PGenBestDeltaAvg,topABestFit,topPBestFit,topAStdDev,topPStdDev,topAAvgDelta,topPAvgtDelta,topABestDelta,topPBestDelta,topAEquation,topPEquation,topAStrat,topPStrat,topADomStrat,topPDomStrat,topABirthGen,topPBirthGen,topAAge,topPAge,run
0,x*x*x*x,25,-10,-0.056154551707942896,-0.02565082082115642,-0.04432430858031403,0.0016768396288066958,NaN,NaN,2667.2607999999996,356.98439999999994,0.3402770232912994,0.023630897921840335,0.5960905998770928,0.009164483468975495,87045.27999999998,6090.079999999999,231945.84,5976.16,((((x)*(7))+((5)+(3)))*((7)*((4)*((x)*(x))))),(((5)+((x)+(6)))*((8)+((x)+(x)))),AddToLeafR|MutateNonTerminalR|AddRandomSubTreeR|MultXD|AddToLeafR,DeleteMaliciousR|MutateNonTerminalR|AddXD|MutateTerminalR|AddTreeWithAdd,AddToLeafR,DeleteMaliciousR,0,0,1,1,0
1,x*x*x*x,25,-10,-0.05690810046617,-0.00034713449917551654,-0.05392130701869038,0.005231799764736637,473.12246666666675,379.07073333333335,930.1616000000001,335.2252,-0.6264530126780813,0.45424781074369364,0.1370331216994162,0.1885579909777628,17480,5604.899999999999,57160.16,3340.44,((((x)+(3))*((2)+(x)))*((6)*((8)*((x)*(x))))),((((x)*(3))-((0)*((x)*(7))))*(((9)+(x))*((7)+((x)+(x))))),AddToLeafR|AddTreeWithAdd|SkipD|AddToLeafR|AddToLeafR,DeleteMaliciousR|MutateNonTerminalR|AddXD|ReplaceBranchXR|AddXD,AddToLeafR,AddXD,1,1,2,2,0
2,x*x*x*x,25,-10,-0.05198564112779349,-0.0056726120600166284,-0.03790851151646685,0.012553783819108615,1286.8754,1053.3024666666668,3743.5487999999996,290.4088,0.3827230216639935,0.34477192523853095,0.5041660253868271,0.13224934046591513,68258.93333333333,5456.593333333333,247895.2,4010.52,((((2)+(7))*((6)+(6)))*((x)*((x)*((7)*(6))))),((((x)+(5))+((x)*(x)))*((7)*((6)+((x)+(x))))),AddToLeafR|AddTreeWithAdd|SkipD|AddToLeafR|AddToLeafR,DeleteMaliciousR|MutateNonTerminalR|AddXD|ReplaceBranchXR|AddXD,AddToLeafR,AddXD,2,2,3,3,0
3,x*x*x*x,25,-10,-0.05682190998997952,-0.0010679227105647668,-0.05252356031891256,0.03164357600313685,486.3113333333334,424.9686,1144.0448,173.56399999999996,-0.7696651418115279,0.9979087700954123,0.08217466682403354,0.3988276102120842,11165.393333333333,4951.04,35245.84,12.8,((((x)+(x))*((x)*(x)))*((5)+((6)*(5)))),((((x)*(x))+((0)*(x)))*((x)-((0)+((x)+(x))))),MultXD|MutateNonTerminalR|SkipD|AddToLeafR|AddToLeafR,DeleteMaliciousR|MutateNonTerminalR|AddXD|ReplaceBranchXR|AddXD,AddToLeafR,AddXD,3,3,4,4,0
4,x*x*x*x,25,-10,-0.053397837120382104,-0.0005181985202475688,-0.034062913455530065,0.009189909815710367,1154.9922666666669,482.7371333333333,4837.268800000001,310.9984,0.521240741755842,0.4580185596654032,0.5928908364214189,0.18662798640615536,63505.34666666668,5649.093333333333,319617.84,3317.36,((((x)+(x))*((x)*(x)))*((4)*((9)*(8)))),((((x)*(1))+((x)*((x)*(x))))*((1)*((9)+((x)+(x))))),MultXD|AddXD|SkipD|AddToLeafR|AddToLeafR,AddRandomSubTreeR|MutateNonTerminalR|AddXD|ReplaceBranchXR|AddXD,AddToLeafR,AddXD,4,4,5,5,0
5,x*x*x*x,25,-10,-0.05491126998649414,-0.0024747167927945376,-0.04427534439942491,0.0033359691543589105,778.6774666666665,945.9450666666668,2406.1868,346.82919999999996,-0.0622020650895308,0.08298261665141812,0.35361597667991623,0.04061669960297547,39779.840000000004,6086.093333333333,143501.84,5612.88,((((x)*(x))*((x)+(x)))*((6)+((x)*(x)))),((((x)+(6))+((9)*(x)))*((x)+((x)+(x)))),MultXD|MutateNonTerminalR|SkipD|AddToLeafR|AddToLeafR,DeleteMaliciousR|MutateNonTerminalR|AddXD|ReplaceBranchXR|AddXD,AddToLeafR,AddXD,5,4,6,6,0
6,x*x*x*x,25,-10,-0.054120336037346534,-0.0025631767669462655,-0.03693123854795844,0.007028362305580972,1501.1762666666664,1342.7964666666667,7138.8024,324.2288,0.7570107681292643,0.08142726440988114,0.6939721985697077,0.03265069938747901,112346.42,6030.193333333334,629739.84,5622.4,((((x)*(x))*((x)+(8)))*((x)*((x)*(x)))),((((0)-(x))*((x)+((9)*(2))))+((2)-((x)+((x)+(x))))),MultXD|MutateNonTerminalR|SkipD|AddToLeafR|AddToLeafR,DeleteMaliciousR|MutateNonTerminalR|AddXD|ReplaceBranchXR|AddXD,AddToLeafR,AddXD,5,6,7,7,0
7,x*x*x*x,25,-10,-0.05748359952947327,0.001235339740420019,-0.05583353287152006,0.00798444647758463,385.05960000000005,359.7103333333333,637.5528,318.3768,-0.9054711802378774,0.6348189779113842,0.026234040742640147,0.26273287119861477,9080.106666666667,5510.486666666667,14464.8,2235.2,((((x)*(x))*((x)-(3)))*((9)*((8)-(1)))),((((x)*(x))*((x)-(0)))*((x)-((4)+((x)+(x))))),MultXD|MutateNonTerminalR|DeleteTerminalR|AddToLeafR|AddToLeafR,DeleteMaliciousR|MutateNonTerminalR|AddXD|ReplaceBranchXR|AddXD,AddToLeafR,AddXD,7,7,8,8,0
8,x*x*x*x,25,-10,-0.06611258136191348,-0.011449234332809794,-0.05747506469742517,0.019645667233041432,NaN,NaN,NaN,247.00080000000003,-0.4330863939354333,0.6226375637171612,0.21331725864292897,0.25540301907386437,20446.213333333333,5108.733333333334,86749.12,2309.76,((((x)+(x))*((6)+(x)))*((9)*((7)*(x)))),((((x)*(7))+((9)*((6)*(x))))*((0)+((x)+((x)+(x))))),MultXD|MutateNonTerminalR|SkipD|AddToLeafR|AddToLeafR,DeleteMaliciousR|MutateNonTerminalR|AddXD|ReplaceBranchXR|AddXD,AddToLeafR,AddXD,8,8,9,9,0
9,x*x*x*x,25,-10,-0.05258196068434751,-0.0032454504096154856,-0.038110284560927556,0.014635733890994644,1159.1614000000002,1439.9560666666669,3493.8824,277.66560000000004,0.2635474163422207,0.5603973336818717,0.482786442304242,0.05736896127611,66330.38666666667,5943.073333333334,207779.84,2690.72,((((x)*(6))*((6)-(7)))*((4)+((9)*((x)*(x))))),((((x)*(7))*((4)*(x)))*((4)-((0)+((x)+(x))))),MutateTerminalR|AddTreeWithAdd|SkipD|AddToLeafR|AddToLeafR,DeleteMaliciousR|MutateNonTerminalR|AddXD|ReplaceBranchXR|AddXD,AddToLeafR,AddXD,9,9,10,10,0
10,x*x*x*x,25,-10,-0.03523631051641543,-0.00024737496970430277,0.006723169620396244,0.021748137498366227,5631.776066666665,433.8288,19288.934400000002,234.132,0.8235136718659894,0.5439942491177624,0.6525329666908634,0.21743381594690533,208744.7333333333,5464.213333333333,867036,2791.12,((((7)+(9))*((4)-(9)))*((x)*((x)*((x)*(x))))),((((0)-(7))+((2)*((x)*(x))))*(((x)*(x))-((1)+((x)+(x))))),MultXD|AddTreeWithAdd|SkipD|AddToLeafR|AddToLeafR,DeleteMaliciousR|MutateNonTerminalR|AddXD|ReplaceBranchXR|AddXD,AddToLeafR,AddXD,10,10,11,11,0
11,x*x*x*x,25,-10,-0.03745284321349148,0.0008121462679923251,0.0068138801957790705,0.005688406744216445,4696.640133333333,362.3245333333333,17487.76,332.43039999999996,0.8094145951702953,0.0986014900013071,0.699405007889882,0.03899889596308213,202249.08000000005,6001.193333333334,802894.64,5517.28,((((x)*(x))+((2)*(x)))*((7)+((x)*((7)*(x))))),((((x)*(9))+((9)+(x)))*((x)+((5)+((x)+(x))))),MultXD|AddTreeWithAdd|SkipD|AddToLeafR|AddToLeafR,DeleteMaliciousR|MutateNonTerminalR|AddXD|ReplaceBranchXR|AddXD,AddToLeafR,AddXD,10,11,12,12,0
12,x*x*x*x,25,-10,-0.029125997780281344,-0.0017575445697907866,0.010204880173488634,0.008456214873872698,8956.0816,494.58039999999994,30500.3416,315.4892,0.900394739384157,0.21667755848908635,0.8488468271214219,0.10502087422074119,449957.95999999996,5636.333333333333,1536264.24,4794.56,((((x)*(7))+((5)*(x)))*((x)*((3)*((x)*(x))))),((((8)-(x))+((3)*(x)))*((x)*((9)+((x)+(x))))),MultXD|AddXD|SkipD|AddToLeafR|AddXD,DeleteMaliciousR|MutateNonTerminalR|AddXD|ReplaceBranchXR|AddXD,AddXD,AddXD,12,12,13,13,0
13,x*x*x*x,25,-10,-0.037509731123412555,-0.002754931154709492,-0.005959365261801526,0.020293425695987456,3690.8187999999996,521.1938666666667,9714.4384,243.03599999999997,0.6059374629809896,0.5577832963011371,0.6803737477580327,0.05396285324981497,106807.60666666664,5973.100000000001,388314,2706.72,((((x)*(9))+((6)*(7)))*((x)*((5)+((x)*(x))))),((((x)+(0))*((x)*((2)*(1))))+(((5)*(3))+((6)+((x)+(x))))),MultXD|AddTreeWithAdd|SkipD|AddToLeafR|AddToLeafR,DeleteMaliciousR|MutateNonTerminalR|AddXD|ReplaceBranchXR|AddXD,AddToLeafR,AddXD,13,13,14,14,0
14,x*x*x*x,25,-10,-0.022536912820944804,-0.0041300653425948896,0.02302818373783234,0.017188798849823553,60608.157333333314,884.0468,320033.58640000003,262.0388,0.9949697464602051,0.3992353940661352,0.8422969206457914,0.20558112705718434,5563820.626666666,5153.740000000001,30419937.84,3677.16,((((x)*(9))*((6)*((8)+(0))))*((x)*((x)*((x)*(x))))),((((x)*(x))*((x)*((8)+(0))))-(((7)*(x))-((5)+((x)+(x))))),MultXD|AddTreeWithAdd|MultXD|AddToLeafR|MultXD,DeleteMaliciousR|MutateNonTerminalR|AddXD|ReplaceBranchXR|AddXD,MultXD,AddXD,14,14,15,15,0
