gen,specEquation,range,seed,AGenFitAvg,PGenFitAvg,AGenBestFitAvg,PGenBestFitAvg,AGenDeltaAvg,PGenDeltaAvg,AGenBestDeltaAvg,PGenBestDeltaAvg,topABestFit,topPBestFit,topAStdDev,topPStdDev,topAAvgDelta,topPAvgtDelta,topABestDelta,topPBestDelta,topAEquation,topPEquation,topAStrat,topPStrat,topADomStrat,topPDomStrat,topABirthGen,topPBirthGen,topAAge,topPAge,run
0,x*x*x*x,25,-10,-0.06321513440508865,-0.04591448917846566,-0.05037259966017515,-0.015506723552926673,NaN,NaN,1473.1847999999998,606.2075555555556,-0.24002614037380737,0,0.29216958252408204,0,26530.74,6120.8,116291.2,6120.8,((((2)*(7))+((6)*((x)*(x))))*((x)*((x)-((x)-(x))))),(0),MultXD|AddTreeWithAdd|SubXD|SubXD|AddRandomSubTreeR,AddTreeWithDiv|AddXD|SkipD|FellTreeD|DeleteTerminalR,SubXD,AddTreeWithDiv,0,0,1,1,2
1,x*x*x*x,25,-10,-0.057290690105868514,-0.013067080906134116,-0.05469483727617305,0.00500430849375432,414.5786,543.4034776719577,811.796,336.61762857142855,-0.6941497843419161,0.003133110517766262,0.11265110835100704,0.001032724926736066,11807.426666666666,6112.56873015873,46801.2,6101.622857142856,((((x)*(x))*((3)*(9)))*((5)*((7)+(x)))),(((3)/(7))+((9)*(3))),MutateTerminalR|AddTreeWithMult|SkipD|AddXD|AddToLeafR,ReplaceBranchXR|FellTreeD|AddXD|AddTreeWithDiv|AddToLeafR,MutateTerminalR,AddTreeWithDiv,1,0,2,2,2
2,x*x*x*x,25,-10,-0.053754549943888424,-0.023316929260067697,-0.039381757904083416,0.00011187768794617415,1081.0808666666667,678.0199753270804,3907.4159999999997,366.56321904761916,0.4972156616894237,0.0014747527556312168,0.5815530300318104,0.0007954313435646018,62073.89333333334,6119.846127946129,304345.2,6111.773333333333,((((x)*(x))*((8)*(7)))*((9)*((7)+((4)+(x))))),(((5)/(3))+((4)+(6))),MutateTerminalR|AddTreeWithMult|AddTreeWithAdd|AddXD|AddRandomSubTreeR,ReplaceBranchXR|FellTreeD|AddXD|AddTreeWithDiv|AddToLeafR,MutateTerminalR,ReplaceBranchXR,2,0,3,3,2
3,x*x*x*x,25,-10,-0.05069603476356587,-0.00970108176097822,-0.028100155777840117,0.0009727144288639522,1706.280533333333,1478.8422284656085,6576.840800000002,361.29420952380957,0.6355089288164325,0.0008243553597103146,0.6394079050683047,0.0003682892997875985,84097.01333333332,6118.4814550264555,419818.24,6115.754285714285,((((9)*(x))*((x)*(x)))*((x)+((2)*((7)+(x))))),(((0)+(5))*((9)/(7))),MutateTerminalR|AddTreeWithMult|AddTreeWithAdd|AddXD|AddRandomSubTreeR,ReplaceBranchXR|FellTreeD|AddXD|AddTreeWithDiv|AddToLeafR,AddTreeWithMult,ReplaceBranchXR,3,3,4,4,2
4,x*x*x*x,25,-10,-0.05217045288852799,-0.01996767492331099,-0.02844800814282654,0.00011825951789682415,2249.9005999999995,633.512158553792,11139.025599999999,366.52415714285706,0.8321125303781745,0.0021108351849431564,0.7113617658591335,0.0006145304816801465,164227.06666666665,6114.413333333334,911443.84,6107.88,((((5)+(1))+((7)*(x)))*((x)*((x)*((x)*(x))))),((9)+(8)),MutateTerminalR|AddTreeWithMult|AddTreeWithAdd|AddTreeWithAdd|AddToLeafR,ReplaceBranchXR|FellTreeD|AddXD|FellTreeD|AddToLeafR,AddTreeWithAdd,FellTreeD,3,4,5,5,2
5,x*x*x*x,25,-10,-0.05381867163333769,0.0000282896341856855,-0.04238986799111227,0.00015886812181414454,945.8668666666666,367.07486666666665,2694.7024,366.2756,-0.5052479414455626,0.005933864854267517,0.17449631181971342,0.00253139769538057,22736.440000000002,6114.506666666667,75706.96,6084.48,((((x)*(x))*((7)*(0)))+((4)+((9)+((x)*(x))))),((8)*(7)),MutateTerminalR|AddTreeWithMult|AddTreeWithAdd|AddTreeWithAdd|AddToLeafR,ReplaceBranchXR|FellTreeD|AddXD|FellTreeD|AddToLeafR,AddTreeWithAdd,FellTreeD,5,5,6,6,2
6,x*x*x*x,25,-10,-0.05445132299676752,0.000058717859144406924,-0.040334274407216,0.00015631943536792772,886.1449999999998,366.8886,3231.768,366.29119999999995,0.31549792851117975,0.0028296954646452456,0.5195219220426813,0.0008617209017236935,42736.50666666666,6110.88,223549.36,6103.48,((((x)*(3))*((x)+(4)))*((x)*((x)*((x)+(x))))),(((0)+(3))*((7)+(x))),MutateTerminalR|AddTreeWithMult|AddTreeWithAdd|AddXD|AddTreeWithSub,ReplaceBranchXR|FellTreeD|AddXD|AddXD|AddToLeafR,MutateTerminalR,AddXD,6,6,7,7,2
7,x*x*x*x,25,-10,-0.047750381594531925,0.00006707753150091605,-0.03228951539840262,0.00020317605541759486,7043.125333333333,366.83746666666667,35197.933999999994,366.00440000000003,0.954926646017796,0.005574434714416398,0.67193525272768,0.002100154409224007,647398.7666666666,6103.866666666666,3394910.44,6086.68,((((5)+(5))*((x)*(x)))*((x)*((x)*((9)*(x))))),(((0)+(7))*((7)+(x))),MultXD|AddTreeWithMult|SkipD|AddTreeWithAdd|AddToLeafR,ReplaceBranchXR|FellTreeD|AddXD|AddXD|AddToLeafR,MultXD,AddXD,7,7,8,8,2
8,x*x*x*x,25,-10,-0.042377697195873816,0.00008511078982785217,-0.014472988162290576,0.000320611684747096,7376.245399999999,366.72706666666664,32520.0288,365.2856,0.9398775195609838,0.006946804339302123,0.7512166044182707,0.0024058687152557195,464919.72,6107.38,2545137.84,6078.28,((((x)*(5))+((3)*(7)))*((x)*((9)*((9)*(x))))),(((0)+(7))*((9)+(x))),AddTreeWithMult|AddTreeWithMult|SkipD|AddTreeWithAdd|AddToLeafR,ReplaceBranchXR|FellTreeD|AddXD|AddXD|AddToLeafR,AddTreeWithMult,AddXD,7,8,9,9,2
9,x*x*x*x,25,-10,-0.03218974193255501,0.00007185357487216539,0.0012372376213707658,0.00016102470265325005,8543.159295238096,366.80820000000006,27107.484,366.26239999999996,0.8786407766990292,0.0031237746699777627,0.6690821180170221,0.0008845114799755979,403787.85333333333,6109.786666666667,1260884.8,6101.68,((((8)*(8))+((5)*(x)))*((3)*((x)*((x)*(x))))),(((0)+(8))*((3)+(x))),MultXD|AddTreeWithMult|SkipD|AddTreeWithAdd|AddToLeafR,ReplaceBranchXR|FellTreeD|AddXD|AddXD|DeleteTerminalR,MultXD,AddXD,9,9,10,10,2
10,x*x*x*x,25,-10,-0.01338878925047165,0.0000895743475798383,0.04367681283763563,0.00022193177362436308,20159.708599999998,366.69973333333337,82652.5384,365.8896000000001,0.9680715197956578,0.00867206901058684,0.8390954139308857,0.0032492506110717145,888697.8133333334,6104.126666666667,4792586.4,6067.72,((((x)*(x))*((7)*(8)))*((9)+((5)*((x)*(x))))),(((0)+(9))*((9)+(x))),MultXD|AddTreeWithMult|SkipD|AddTreeWithAdd|AddToLeafR,ReplaceBranchXR|FellTreeD|AddRandomSubTreeR|AddXD|AddToLeafR,MultXD,AddRandomSubTreeR,10,10,11,11,2
