gen,specEquation,range,seed,AGenFitAvg,PGenFitAvg,AGenBestFitAvg,PGenBestFitAvg,AGenDeltaAvg,PGenDeltaAvg,AGenBestDeltaAvg,PGenBestDeltaAvg,topABestFit,topPBestFit,topAStdDev,topPStdDev,topAAvgDelta,topPAvgtDelta,topABestDelta,topPBestDelta,topAEquation,topPEquation,topAStrat,topPStrat,topADomStrat,topPDomStrat,topABirthGen,topPBirthGen,topAAge,topPAge,run
0,x*x*x*x,25,-10,-0.05904727277480069,-0.011046445420623139,-0.05646928767481375,0.0012363089792184047,400.81965333333335,514.2407333333333,540.2696000000001,359.68080000000003,-0.9061889949026272,0.05422820546333813,0.02251426334877082,0.022128972025623143,8409.16,6064.926666666666,14354.96,5788.88,((((x)*(x))*((1)-(8)))+((x)*((x)+((x)-(x))))),((((7)*(1))*((0)*((x)-(6))))+((6)*((x)*((x)-(x))))),AddTreeWithSub|AddXD|DeleteMaliciousR|AddTreeWithAdd|SubXD,SkipD|SkipD|AddTreeWithMult|SubXD|DeleteTerminalR,AddTreeWithSub,SkipD,0,0,1,1,3
1,x*x*x*x,25,-10,-0.05695127172918572,0.00026329218633589575,-0.05334951771010324,0.0013447261795843707,466.5164,365.63739999999996,1017.6568,359.0172,-0.7843978564893478,0.11655992680695342,0.07270246411644915,0.04698302436312623,10355.913333333334,5979.540000000001,32991.44,5407.36,((((6)*(2))+((9)+(0)))*((x)*((x)*((x)-(x))))),((((x)*(x))*((7)+(6)))+((0)-((6)+(x)))),AddToLeafR|AddTreeWithMult|MutateNonTerminalR|AddTreeWithAdd|SubXD,DeleteMaliciousR|AddTreeWithAdd|DeleteNonTerminalR|MutateTerminalR|AddXD,AddToLeafR,DeleteNonTerminalR,1,1,2,2,3
2,x*x*x*x,25,-10,-0.0559975049013201,-0.003238039591456094,-0.04992790484903934,0.001088014638609334,612.4618,411.15329354166664,1541.2320000000002,360.58848000000006,-0.4318164945758724,0.07586589988236841,0.2189375487332192,0.03022365388415618,26024.900000000005,6030.446666666667,86943.44,5656.44,((((x)*(x))+((x)*(9)))*((9)*((1)*((x)-(x))))),((((8)*(x))*((x)+(2)))+((0)-((9)+((x)-(x))))),AddTreeWithSub|AddTreeWithMult|MutateNonTerminalR|AddTreeWithAdd|SubXD,DeleteMaliciousR|AddRandomSubTreeR|DeleteNonTerminalR|MutateTerminalR|MutateNonTerminalR,AddTreeWithMult,DeleteNonTerminalR,2,2,3,3,3
3,x*x*x*x,25,-10,-0.05219171172055233,-0.00047698977246353843,-0.03475507324108909,0.0020077114102731697,1196.4,372.0850666666667,3872.3536,354.9592,0.02941466003761067,0.021578878577963652,0.5104627136146629,0.008439609401294776,55025.10666666667,6081.033333333334,157657.44,5988.72,((((9)-(x))*((7)*((9)+(6))))*((x)*((3)*((9)-(x))))),(((4)*((8)*(x)))+((4)+((0)*(0)))),AddTreeWithSub|AddTreeWithMult|AddToLeafR|AddTreeWithAdd|SubXD,DeleteMaliciousR|AddRandomSubTreeR|DeleteNonTerminalR|MutateTerminalR|MutateNonTerminalR,AddToLeafR,MutateTerminalR,3,2,4,4,3
4,x*x*x*x,25,-10,-0.04961327606860268,0.0002655006584171071,-0.026045378539442464,0.002202718598875967,1979.8899333333331,365.63946666666664,7538.8168,353.76560000000006,0.6895120741697258,0.09749052411449488,0.6438804867345858,0.036302307554978826,108682.42666666665,5946.139999999999,492837.2,5524.08,((((6)*(5))*((9)*((x)*(3))))*((5)+((6)*((x)-(x))))),((((x)*(8))*((6)-(x)))*((4)-((6)+((0)+(0))))),AddToLeafR|AddTreeWithMult|AddToLeafR|DeleteTerminalR|SubXD,DeleteMaliciousR|AddTreeWithAdd|DeleteNonTerminalR|MutateTerminalR|MutateNonTerminalR,AddToLeafR,DeleteMaliciousR,4,4,5,5,3
5,x*x*x*x,25,-10,-0.039582412073720444,-0.0005295366149583984,0.006499571606948864,0.0005869167429094248,5209.561266666667,370.8258666666666,21467.4052,363.6556,0.8722812396815895,0.029264148477323206,0.8164778678510335,0.011752951603912754,279360.75999999995,6088.28,1198101.2,5941.68,((((8)*(7))*((6)*((x)*(8))))*((0)+((8)*((x)-(x))))),((((0)+(x))*((9)-(0)))*((6)-((0)-(8)))),AddToLeafR|AddTreeWithMult|AddToLeafR|AddTreeWithAdd|SubXD,DeleteMaliciousR|AddTreeWithAdd|DeleteNonTerminalR|MutateTerminalR|MutateNonTerminalR,AddToLeafR,DeleteMaliciousR,4,5,6,6,3
6,x*x*x*x,25,-10,-0.034888603047724794,0.0002806929550631854,0.03378275600957391,0.013099594824205989,5587.702733333334,367.0446,24276.9476,287.068,0.8147445605700299,0.5701999738596263,0.8167657931179295,0.2327831645507318,190254,5539.12,825994.64,2630.72,((((x)*(x))+((9)*((9)*(x))))*((x)*((9)+((1)-(x))))),((((x)*(8))*((2)*(7)))*((x)+((2)-((x)*(0))))),MultXD|AddTreeWithMult|SubXD|AddTreeWithAdd|SubXD,DeleteMaliciousR|AddRandomSubTreeR|DeleteNonTerminalR|MutateTerminalR|MutateNonTerminalR,SubXD,MutateTerminalR,5,6,7,7,3
7,x*x*x*x,25,-10,-0.027138125391695963,-0.004825894058775113,0.020979128003144082,0.0014480460070579032,30946.227333333332,973.8462000000001,157267.14719999998,358.3848,0.9893172357904296,0.06376944190301931,0.8785358490063374,0.025387547914368338,2667754.946666667,6041.94,14324008,5730.48,((((8)+(9))*((x)*((x)*(x))))*((x)*((x)*((x)-(x))))),((((0)-(4))+((8)*(x)))*((4)+((4)-(x)))),MultXD|AddTreeWithMult|SubXD|AddTreeWithAdd|SubXD,DeleteMaliciousR|AddRandomSubTreeR|DeleteNonTerminalR|MutateTerminalR|AddTreeWithSub,SubXD,DeleteMaliciousR,5,7,8,8,3
8,x*x*x*x,25,-10,-0.01342907151203374,-0.000637968478876403,0.025616108558717796,0.0004159586982093865,12934.823999999999,373.68373333333335,35078.1176,364.70200000000006,0.8792268624966811,0.021343615213697608,0.6927456161969695,0.008673328824686343,529071.2533333333,6098.493333333333,1267003.6,5990.16,((((x)*(x))*((4)*((4)*(7))))+((6)*((x)*((x)-(x))))),((((4)*(5))+((x)*(0)))*((3)*((8)+((6)-(x))))),MultXD|AddTreeWithMult|AddToLeafR|SubXD|DeleteMaliciousR,DeleteMaliciousR|AddRandomSubTreeR|DeleteNonTerminalR|MutateTerminalR|MutateNonTerminalR,MultXD,MutateTerminalR,8,8,9,9,3
9,x*x*x*x,25,-10,-0.038246061980438215,-0.008642527629766862,-0.00015440545422942708,0.0003853744608547919,NaN,NaN,NaN,364.88919999999996,0.9253730615382064,0.035603189125604506,0.7733528358367648,0.019858122011109768,496769.3866666667,6065.906666666667,2050466,5902.88,((((8)+(4))*((4)*((7)*(x))))*((x)*((x)*((x)-(x))))),((((3)*(2))*((6)*(7)))+((9)+((0)*(0)))),MultXD|AddTreeWithMult|AddToLeafR|AddTreeWithAdd|SubXD,DeleteMaliciousR|AddRandomSubTreeR|DeleteNonTerminalR|MutateTerminalR|MutateNonTerminalR,MultXD,AddRandomSubTreeR,9,9,10,10,3
10,x*x*x*x,25,-10,-0.024833187404931446,-0.00319020513007201,0.02779960211018609,0.0008458371454711836,10862.6212,677.9898666666667,39752.8648,362.07079999999996,0.9191503736687762,0,0.7817189167170413,0,499007.3333333333,6120.8,1892649.44,6120.8,((((x)*(9))*((5)*((6)+(9))))*((5)*((x)*((x)-(x))))),(0),MultXD|AddTreeWithMult|AddToLeafR|AddTreeWithAdd|SubXD,DeleteMaliciousR|ReplaceBranchR|DeleteNonTerminalR|MutateTerminalR|FellTreeD,AddTreeWithAdd,FellTreeD,10,10,11,11,3
