gen,specEquation,range,seed,AGenFitAvg,PGenFitAvg,AGenBestFitAvg,PGenBestFitAvg,AGenDeltaAvg,PGenDeltaAvg,AGenBestDeltaAvg,PGenBestDeltaAvg,topABestFit,topPBestFit,topAStdDev,topPStdDev,topAAvgDelta,topPAvgtDelta,topABestDelta,topPBestDelta,topAEquation,topPEquation,topAStrat,topPStrat,topADomStrat,topPDomStrat,topABirthGen,topPBirthGen,topAAge,topPAge,run
0,x*x*x*x,25,-10,-0.03283823850186614,-0.0023981924190141926,-0.017215850360882384,0.001516246839549973,1446.6243,283.01904833333333,4889.3568,235.55136000000002,0.6031746031746033,0.03370801202457205,0.7639743770575814,0.013665672008348763,105499.78,6012.53,385610.4,5914.48,((((x)*(4))*((8)*(x)))*((2)*((x)*(x)))),((((0)+(6))*((9)+(5)))+((x)+((x)*(x)))),SkipD|MutateNonTerminalR|AddTreeWithSub|AddXD|ReplaceBranchXR,AddTreeWithAdd|AddTreeWithMult|DeleteMaliciousR|AddXD|MultXD,AddXD,AddTreeWithMult,0,0,1,1,0
1,x*x*x*x,25,-10,-0.029302115128563372,-0.023937279126699535,-0.010089413766551654,0.01060465298653771,1926.2378666666668,641.2808308333333,5733.908,179.92304000000001,0.5603326370065795,0.46806953339432755,0.7182003358890029,0.222205961559536,112862.13,5085.48,348035.84,3255.84,(((x)*((x)*(x)))*((x)*((5)*(x)))),(((7)*((x)*(9)))+((0)*((2)*(x)))),MutateTerminalR|MultXD|AddTreeWithSub|AddTreeWithMult|ReplaceBranchR,AddTreeWithAdd|FellTreeD|MutateNonTerminalR|DeleteNonTerminalR|MultXD,MutateTerminalR,DeleteNonTerminalR,1,1,2,2,0
2,x*x*x*x,25,-10,-0.03100308761372155,-0.005230719984887197,-0.013177204722302237,0.000025225460724089186,1516.4957000000002,313.0122,4663.5768,244.67759999999998,0.4487947545375193,0,0.6892469246839145,0,78340.62000000001,6120.8,277609.84,6120.8,(((x)*((4)*(x)))*((x)*((x)*(x)))),((0)*(x)),SkipD|MultXD|AddTreeWithSub|AddTreeWithMult|ReplaceBranchXR,AddTreeWithAdd|AddTreeWithMult|FellTreeD|DeleteNonTerminalR|MultXD,SkipD,MultXD,2,2,3,3,0
3,x*x*x*x,25,-10,-0.02253014319093202,-0.0000017572275347390015,0.014726798821685589,0.000005489478499543494,4197.27,244.84278333333333,14470.4248,244.79840000000002,0.7160211997913158,0.00027447392497717473,0.8017664129220365,0.0000910727228691628,153058.84,6119.818333333333,538843.04,6119.12,((((x)*(x))*((x)*(7)))-((x)*((8)*(x)))),((2)/(1)),SkipD|MultXD|AddTreeWithSub|AddTreeWithMult|ReplaceBranchXR,AddTreeWithAdd|DeleteTerminalR|FellTreeD|DeleteNonTerminalR|AddTreeWithDiv,ReplaceBranchXR,FellTreeD,3,3,4,4,0
4,x*x*x*x,25,-10,-0.025701192147745314,-0.01499724573040561,0.002567930402614358,0.0000059578268635905985,2754.9263999999994,444.6616416666667,8781.436,244.79553333333334,0.6343274693816765,0.00019169607458717418,0.7530190268051212,0.00007557268832570748,122966.2,6120.205,418461.84,6119.626666666667,((((x)+(x))*((x)*(x)))*((x)*((3)*(x)))),((4)/(3)),AddTreeWithAdd|MultXD|AddTreeWithSub|AddTreeWithMult|ReplaceBranchXR,AddTreeWithAdd|DeleteTerminalR|FellTreeD|DeleteNonTerminalR|AddTreeWithDiv,ReplaceBranchXR,DeleteNonTerminalR,4,4,5,5,0
5,x*x*x*x,25,-10,-0.024776470188490024,-0.004997102548323385,-0.008863698097441409,0.000006886354724872803,6518.8596,311.4297652777778,14525.124000000002,244.78985,0.8788990440004678,0.0005228074761468792,1.0456669395233025,0.00021839122489746346,565232.9400000001,6119.393333333333,1263573.84,6117.6,((((x)*(9))*((x)*(x)))*((x)*((x)*(2)))),((8)/(2)),SkipD|MultXD|AddTreeWithSub|AddTreeWithMult|ReplaceBranchXR,AddTreeWithAdd|AddTreeWithSub|FellTreeD|DeleteNonTerminalR|AddTreeWithDiv,SkipD,AddTreeWithDiv,5,5,6,6,0
6,x*x*x*x,25,-10,-0.03361179911122729,-0.02499775745156251,-0.025657038295647628,0.000005496739714490467,977.5225,577.8957738095237,2194.76,244.79835555555556,-0.32860384263494974,0,0.2858514163161925,0,41212.46,6120.8,102737.04,6120.8,((((x)*(x))-((5)*(4)))*((6)*((x)*(x)))),((0)*(x)),SkipD|MultXD|AddTreeWithSub|AddTreeWithMult|ReplaceBranchXR,DeleteMaliciousR|AddTreeWithSub|FellTreeD|DeleteNonTerminalR|MultXD,MultXD,DeleteMaliciousR,6,6,7,7,0
7,x*x*x*x,25,-10,-0.029329679308069595,-0.004998888625669847,-0.007528031047465928,0.000002248072147432041,1983.7112999999997,311.4406975,6372.616,244.81824,0.6032758391823054,0,0.7773042830703545,0,102035.74999999999,6120.8,385708.8,6120.8,((((x)*(x))*((x)*(6)))-((8)*((x)*(x)))),((0)*(x)),SkipD|MultXD|AddTreeWithSub|AddTreeWithAdd|DeleteNonTerminalR,AddTreeWithAdd|MutateNonTerminalR|FellTreeD|DeleteNonTerminalR|MultXD,MultXD,FellTreeD,7,7,8,8,0
8,x*x*x*x,25,-10,-0.04678946673637434,0,-0.04298083910599921,0,491.2758,244.832,1074.072,244.832,-0.6732923800810351,0,0.14026505888471938,0,18171.100000000002,6120.8,49992.8,6120.8,((((x)*(6))-((x)+(0)))*((x)*((x)*(x)))),((0)*(x)),SkipD|MultXD|AddTreeWithSub|AddTreeWithMult|ReplaceBranchXR,AddTreeWithAdd|AddTreeWithSub|FellTreeD|DeleteNonTerminalR|MultXD,ReplaceBranchXR,DeleteNonTerminalR,8,8,9,9,0
9,x*x*x*x,25,-10,-0.025810400276875277,0,0.0013705776926557422,0,3580.519500000001,244.832,11967.4336,244.832,0.8048083029256763,0,0.84832862408035,0,235769.60000000003,6120.8,783947.28,6120.8,((((x)*(x))*((x)*(x)))*((x)-((x)*(x)))),((0)*(x)),SkipD|MultXD|AddTreeWithSub|AddTreeWithMult|ReplaceBranchXR,AddTreeWithAdd|AddTreeWithSub|FellTreeD|DeleteNonTerminalR|MultXD,SkipD,AddTreeWithAdd,9,9,10,10,0
10,x*x*x*x,25,-10,-0.03666267938831525,0,-0.032679401385439816,0,510.6768,244.832,1120.198,244.832,-0.7916350803816494,0,0.06921009966268954,0,19253.120000000003,6120.8,31884,6120.8,((((x)*(x))*((1)-(5)))*((x)*((x)+(1)))),((0)*(x)),SkipD|MultXD|AddTreeWithSub|AddTreeWithMult|ReplaceBranchXR,AddTreeWithAdd|AddTreeWithSub|FellTreeD|DeleteNonTerminalR|MultXD,MultXD,DeleteNonTerminalR,10,10,11,11,0
