gen,specEquation,range,seed,AGenFitAvg,PGenFitAvg,AGenBestFitAvg,PGenBestFitAvg,AGenDeltaAvg,PGenDeltaAvg,AGenBestDeltaAvg,PGenBestDeltaAvg,topABestFit,topPBestFit,topAStdDev,topPStdDev,topAAvgDelta,topPAvgtDelta,topABestDelta,topPBestDelta,topAEquation,topPEquation,topAStrat,topPStrat,topADomStrat,topPDomStrat,topABirthGen,topPBirthGen,topAAge,topPAge,run
0,x*x*x*x,25,-10,-0.041043471441641624,-0.01000758371276089,-0.03810506600444386,0.00009242255914259822,NaN,NaN,289.9628,244.26629999999997,-0.9524585021565809,0.0012220624754934767,0.005175215011795484,0.0004138792198863643,6158.76,6116.7699999999995,7274.8,6113.32,(((9)*((x)*(x)))-((8)*((x)-(x)))),((9)-((2)+(x))),AddRandomSubTreeR|ReplaceBranchXR|MultXD|MutateTerminalR|SubXD,MutateNonTerminalR|AddXD|DeleteTerminalR|DeleteNonTerminalR|AddTreeWithSub,MultXD,MutateNonTerminalR,0,0,1,1,1
1,x*x*x*x,25,-10,-0.038406350150307154,-0.0000036692611931194133,-0.038399607894392895,0.000006535093451836362,243.8603,244.8545,244.892,244.792,-0.9599803947196446,0.0003267546725918181,0.00001731195471414039,0.00016337733629590904,6120.68,6120.3,6123.8,6118.8,((((x)*(0))*((x)*(0)))-((x)+((1)-(2)))),(((9)*(0))+((x)-(0))),SubXD|AddXD|DeleteMaliciousR|AddTreeWithSub|DeleteTerminalR,MutateTerminalR|AddToLeafR|ReplaceBranchR|SkipD|DeleteNonTerminalR,AddTreeWithSub,MutateTerminalR,1,0,2,2,1
2,x*x*x*x,25,-10,-0.03852627434322311,-0.000030284680011299325,-0.03839894131486081,0.000011436413540713631,225.50949999999997,245.0195,244.99399999999997,244.762,-0.9599477192523854,0,0.00003482724555652844,0,6121.24,6120.8,6128.8,6120.8,((((x)*(x))*((x)*(0)))-((x)+((0)-(6)))),(0),SubXD|AddXD|DeleteMaliciousR|AddTreeWithSub|DeleteTerminalR,MutateTerminalR|AddToLeafR|ReplaceBranchR|SkipD|DeleteNonTerminalR,SubXD,DeleteNonTerminalR,2,0,3,3,1
3,x*x*x*x,25,-10,-0.04110721801071755,-0.0000306541376975087,-0.037870084956214876,0.00023369494183766822,213.12349999999998,245.03940000000003,325.9196,243.4016,-0.9599803947196446,0.00032021957913998765,0.0010467902681930528,0.00016010978956999383,6041.05,6120.3099999999995,6123.8,6118.84,((((x)*(0))*((x)*(x)))-((0)+((0)-(3)))),(((0)*(0))-((x)-(5))),SubXD|AddXD|DeleteMaliciousR|AddTreeWithSub|DeleteTerminalR,MutateTerminalR|DeleteNonTerminalR|ReplaceBranchR|AddTreeWithDiv|DeleteNonTerminalR,SubXD,DeleteNonTerminalR,2,3,4,4,1
4,x*x*x*x,25,-10,-0.038561144294863424,0.0000006310455081192788,-0.03820352633642661,0.00002627107567638205,220.1737,244.82822500000003,274.89639999999997,244.6712,-0.9424634688276043,0.0013135537838191026,0.008770446114892088,0.0006192238132197275,6791.16,6118.110000000001,8804.24,6112.76,((((x)*(x))*((0)-(8)))*((x)-((0)+(x)))),(((5)+(8))-((x)-(0))),SubXD|AddXD|MultXD|AddTreeWithSub|MutateTerminalR,MutateTerminalR|DeleteNonTerminalR|ReplaceBranchR|AddTreeWithDiv|DeleteNonTerminalR,SubXD,DeleteNonTerminalR,4,3,5,5,1
5,x*x*x*x,25,-10,-0.03741189713762907,-0.010003687727923392,-0.03444512612730362,0.000012939485034636113,396.0315,378.0856,850.0068000000001,244.75279999999998,-0.566637040909685,0.0006469742517318057,0.18718644433167345,0.00032348712586590284,24229.300000000003,6119.8099999999995,66313.2,6116.84,((((x)*(x))*((x)*(x)))-((7)-((0)+((x)*(x))))),(((0)-((0)-(0)))+((6)-((9)/(9)))),SubXD|AddXD|MultXD|AddTreeWithSub|MutateTerminalR,MutateTerminalR|DeleteNonTerminalR|ReplaceBranchR|AddTreeWithDiv|DeleteNonTerminalR,SubXD,DeleteNonTerminalR,4,3,6,6,1
6,x*x*x*x,25,-10,-0.030153834464208166,-0.005005518913834408,-0.014459630106211816,0.00004110573781205196,1779.8446000000001,311.4815,5000.9248,244.5804,0.5603326370065795,0.00216965102600963,0.719082735813251,0.0010666625896636544,106630.62,6117.3,348035.84,6107.52,((((6)-(1))*((x)*(x)))*((x)*((x)+((0)*(x))))),(((x)+(6))*((2)-(0))),MultXD|AddXD|MultXD|AddTreeWithSub|DeleteTerminalR,MutateTerminalR|DeleteNonTerminalR|ReplaceBranchR|AddTreeWithDiv|AddTreeWithDiv,MultXD,AddTreeWithDiv,6,6,7,7,1
7,x*x*x*x,25,-10,-0.022154091644761696,-0.009753090703170725,-0.0030146388119137767,0.001780887652407716,5777.893800000002,376.55174285714287,16195.68,233.93154285714286,0.8014318499886792,0.021827212129133505,0.9411091682377709,0.011117045204992517,284262.66000000003,6089.15,770617.04,5987.2,((((x)*(x))*((4)+(7)))*((x)*((x)+((x)*(x))))),(((0)*((0)+(4)))*((x)+((9)*(7)))),MultXD|AddXD|DeleteMaliciousR|AddTreeWithSub|MutateNonTerminalR,MutateTerminalR|DeleteNonTerminalR|ReplaceBranchR|AddTreeWithDiv|DeleteNonTerminalR,AddXD,DeleteNonTerminalR,7,7,8,8,1
8,x*x*x*x,25,-10,-0.029344429366805404,-0.020002681985386392,-0.01447954990742551,0.000008789700692720083,2279.8426,511.3104785714285,6502.448,244.7782,0.7061895655246039,0,0.7896898810383733,0,149832.36000000002,6120.8,520812,6120.8,((((x)*(x))*((x)*(x)))*((x)+((0)*((x)-(6))))),(((0)*(x))+((9)+(8))),MultXD|AddXD|MultXD|AddTreeWithSub|DeleteTerminalR,MutateTerminalR|DivXD|ReplaceBranchR|AddTreeWithDiv|DeleteNonTerminalR,MultXD,MutateTerminalR,6,8,9,9,1
9,x*x*x*x,25,-10,-0.02546159818990569,-0.01500320028318812,-0.0005850988111192929,0.00001418115279048538,53380.5196,444.6982,210654.6816,244.74519999999995,0.9926316690122375,0.0008953078029016587,0.9224968949217809,0.0004476539014508293,5229799.9,6119.43,20767253.84,6115.32,((((x)*(x))*((x)*(x)))*((2)*((x)*((x)*(x))))),((0)+(7)),MultXD|AddXD|MultXD|AddTreeWithMult|MutateNonTerminalR,MutateTerminalR|DeleteNonTerminalR|ReplaceBranchR|AddTreeWithDiv|DeleteNonTerminalR,MultXD,DeleteNonTerminalR,8,7,10,10,1
10,x*x*x*x,25,-10,-0.008955097550483668,-0.004913402693002233,0.03459106570540305,0.00046431838975297465,20273.430099999998,310.92010000000005,67359.672,241.99,0.9611603372348776,0.045536531172395804,0.9768127223672342,0.022564880266266223,1058368.16,6049.18,3939787.04,5842.08,((((x)*(x))*((x)*(7)))*((8)*((x)+((x)*(x))))),((((0)*(5))*((0)+(x)))*((0)+((x)*(5)))),MultXD|AddXD|MultXD|AddTreeWithSub|MutateNonTerminalR,MutateTerminalR|DeleteNonTerminalR|ReplaceBranchR|AddTreeWithDiv|DeleteNonTerminalR,MultXD,DeleteNonTerminalR,9,10,11,11,1
11,x*x*x*x,25,-10,-0.013239847524369608,-0.005,0.031037794863130786,0,11664.0164,311.4475,38195.303199999995,244.832,0.9088914599705918,0,0.8600265352121517,0,446682.24,6120.8,1679535.2,6120.8,((((x)*(x))*((4)-(2)))*((x)*((x)*((x)*(x))))),((0)*(0)),MultXD|AddXD|MultXD|AddTreeWithSub|MutateNonTerminalR,MutateTerminalR|DeleteNonTerminalR|ReplaceBranchR|AddTreeWithDiv|DeleteNonTerminalR,MultXD,DeleteNonTerminalR,11,10,12,12,1
12,x*x*x*x,25,-10,-0.013933980549270468,-0.009829401630962098,0.03402844134425968,0.0008418507384655596,36041.6675,377.0208,138980.6848,239.67919999999998,0.977286461567363,0.08418507384655596,0.8990123110483842,0.043360575413327954,1706915.53,6002.58,6736951.2,5605.52,((((x)*(x))*((x)*(x)))*((x)+((x)*((8)*(x))))),(((0)-((9)*(0)))-((x)+((x)*(x)))),DeleteNonTerminalR|AddXD|MultXD|AddTreeWithSub|MutateNonTerminalR,MutateTerminalR|DeleteNonTerminalR|ReplaceBranchR|AddTreeWithMult|DeleteNonTerminalR,AddXD,DeleteNonTerminalR,11,12,13,13,1
13,x*x*x*x,25,-10,-0.030222995033328974,-0.015161847401346407,-0.01481900405175794,0.00012455888119200067,1496.0773,445.7583,3853.196,244.06959999999998,-0.0525986145601883,0.006227944059600034,0.42890274840526876,0.002898476029357221,56080.98999999999,6108.83,144971.36,6082.68,((((x)*(x))*((x)*(5)))-((7)*((x)-((x)*(x))))),(((7)*(8))+((3)+(0))),MultXD|AddXD|MultXD|AddTreeWithSub|MutateNonTerminalR,MutateTerminalR|DeleteNonTerminalR|ReplaceBranchR|AddTreeWithMult|DeleteNonTerminalR,MultXD,DeleteNonTerminalR,13,12,14,14,1
14,x*x*x*x,25,-10,-0.002243421749957129,-0.000410055327411133,0.034520631099794995,0.000018690367272252825,46032.398799999995,247.8277,142609.3208,244.71759999999998,0.9772849510410683,0.0007711410273167322,0.9497562786725429,0,2492277.62,6120.8,6736503.2,6116.08,((((x)*(x))*((9)-(1)))*((x)*((x)*((x)*(x))))),((0)+(6)),MultXD|AddXD|MultXD|AddTreeWithSub|MutateNonTerminalR,MutateTerminalR|DeleteNonTerminalR|ReplaceBranchR|AddTreeWithMult|DeleteNonTerminalR,MultXD,DeleteNonTerminalR,14,12,15,15,1
