gen,specEquation,range,seed,AGenFitAvg,PGenFitAvg,AGenBestFitAvg,PGenBestFitAvg,AGenDeltaAvg,PGenDeltaAvg,AGenBestDeltaAvg,PGenBestDeltaAvg,topABestFit,topPBestFit,topAStdDev,topPStdDev,topAAvgDelta,topPAvgtDelta,topABestDelta,topPBestDelta,topAEquation,topPEquation,topAStrat,topPStrat,topADomStrat,topPDomStrat,topABirthGen,topPBirthGen,topAAge,topPAge,run
0,x*x*x*x,25,-10,-0.03840792118677297,-0.049972046137759775,-0.03838869428832833,-0.019897987191216836,243.61990000000003,910.8158999999999,246.562,510.6696,-0.9599869298130964,0.0003267546725918181,0.000006535093451831564,0,6122.3,6118.8,6122.8,6118.8,(((x)*((0)*(1)))*((x)*((x)-(x)))),((0)+(x)),SkipD|SubXD|SkipD|AddTreeWithMult|MutateNonTerminalR,AddXD|DeleteMaliciousR|AddTreeWithAdd|FellTreeD|AddXD,SkipD,AddXD,0,0,1,1,2
1,x*x*x*x,25,-10,-0.0384009155665926,0.000013070186903672723,-0.03839973859626193,0.000013070186903672723,244.69190000000003,244.752,244.872,244.752,-0.9599869298130964,0.0003267546725918181,0.000007546075927188628,0,6121.8,6118.8,6122.8,6118.8,((x)*((0)-(x))),((0)+(x)),FellTreeD|MultXD|ReplaceBranchXR|DeleteTerminalR|SubXD,AddXD|DeleteMaliciousR|AddTreeWithAdd|FellTreeD|AddXD,FellTreeD,AddXD,1,0,2,2,2
2,x*x*x*x,25,-10,-0.03839986929813097,0.000013070186903672723,-0.03839960789439289,0.000013070186903672723,244.852,244.752,244.892,244.752,-0.9599869298130964,0.0003267546725918181,0.000007546075927188628,0,6121.8,6118.8,6122.8,6118.8,((x)*((0)-(x))),((0)+(x)),FellTreeD|MutateTerminalR|ReplaceBranchXR|DeleteTerminalR|SubXD,AddXD|DeleteMaliciousR|AddTreeWithAdd|FellTreeD|AddXD,FellTreeD,AddXD,2,0,3,3,2
3,x*x*x*x,25,-10,-0.038399836622663705,0.000013070186903672723,-0.03839960789439289,0.000013070186903672723,244.857,244.752,244.892,244.752,-0.9599869298130964,0.0003267546725918181,0.000007546075927188628,0,6121.8,6118.8,6122.8,6118.8,((x)*((0)-(x))),((0)+(x)),FellTreeD|MutateTerminalR|ReplaceBranchXR|DeleteTerminalR|SubXD,AddXD|DeleteMaliciousR|AddTreeWithAdd|FellTreeD|AddXD,DeleteTerminalR,AddXD,2,2,4,4,2
4,x*x*x*x,25,-10,-0.0383998235524768,0.000013070186903672723,-0.03839915043785126,0.000013070186903672723,244.85899999999998,244.752,244.96200000000002,244.752,-0.9599869298130964,0.0003267546725918181,0.000006535093451831564,0,6122.3,6118.8,6122.8,6118.8,((x)*((0)-(x))),((0)+(x)),FellTreeD|MutateTerminalR|ReplaceBranchXR|DeleteTerminalR|SubXD,AddXD|DeleteMaliciousR|AddTreeWithAdd|FellTreeD|AddXD,DeleteTerminalR,AddXD,2,3,5,5,2
5,x*x*x*x,25,-10,-0.03839980394719645,0.000018886420075807366,-0.03839960789439289,0.00002326493268853709,244.862,244.7164,244.892,244.68959999999998,-0.9599869298130964,0.0013462292510782548,0.000006535093451831564,0.00039097849885612334,6122.3,6115.24,6122.8,6112.56,((x)*((0)-(x))),((x)+(8)),FellTreeD|MutateTerminalR|ReplaceBranchXR|DeleteTerminalR|SubXD,AddXD|DeleteMaliciousR|AddTreeWithAdd|FellTreeD|ReplaceBranchXR,ReplaceBranchXR,FellTreeD,5,5,6,6,2
6,x*x*x*x,25,-10,-0.03839973859626193,0.000022335815849398068,-0.03839947719252386,0.00003960266631812948,244.872,244.69529999999997,244.912,244.5896,-0.9599869298130964,0.0022088615867207613,0.000006535093451831564,0.001353429979410661,6122.3,6112.79,6122.8,6107.28,((x)*((0)-(x))),((x)*(7)),FellTreeD|MutateTerminalR|ReplaceBranchXR|DeleteTerminalR|SubXD,AddXD|DeleteMaliciousR|AddTreeWithAdd|FellTreeD|ReplaceBranchXR,SubXD,FellTreeD,2,6,7,7,2
7,x*x*x*x,25,-10,-0.03839986929813097,0.000019511188028899674,-0.03839947719252386,0.000045222846686708105,244.852,244.71259999999998,244.912,244.5552,-0.9599869298130964,0.0025225460724089188,0.000006535093451831564,0.001765211417868238,6121.3,6116.54,6122.8,6105.36,((x)*((0)-(x))),((x)*(8)),FellTreeD|MutateTerminalR|ReplaceBranchXR|DeleteTerminalR|SubXD,AddXD|DeleteMaliciousR|AddTreeWithAdd|FellTreeD|ReplaceBranchXR,ReplaceBranchXR,AddTreeWithAdd,6,6,8,8,2
8,x*x*x*x,25,-10,-0.038399836622663705,0.000026666848633247135,-0.03839960789439289,0.00007534962749967604,244.857,244.6688,244.892,244.37079999999997,-0.9599869298130964,0.0025225460724089188,0.000007546075927188628,0.0011745288927571718,6121.8,6113.92,6122.8,6105.36,((x)*((0)-(x))),((x)*(8)),FellTreeD|MutateTerminalR|ReplaceBranchXR|DeleteTerminalR|SubXD,AddXD|DeleteMaliciousR|AddTreeWithAdd|FellTreeD|ReplaceBranchXR,DeleteTerminalR,DeleteMaliciousR,8,6,9,9,2
9,x*x*x*x,25,-10,-0.03839986929813097,0.000016975572239879335,-0.03839960789439289,0.00006535093451836509,244.852,244.72809999999998,244.892,244.43200000000002,-0.9599869298130964,0.0018951771010326042,0.000007546075927188628,0.0009883405996716475,6121.8,6116.28,6122.8,6109.2,((x)*((0)-(x))),((x)*(6)),FellTreeD|MutateTerminalR|ReplaceBranchXR|DeleteTerminalR|SubXD,AddXD|DeleteMaliciousR|AddTreeWithAdd|FellTreeD|ReplaceBranchXR,FellTreeD,AddXD,9,9,10,10,2
10,x*x*x*x,25,-10,-0.03839993464906548,0.00002744012127444452,-0.03839973859626193,0.00011946150829956849,244.842,244.6641,244.872,244.10080000000002,-0.9599869298130964,0.009149130832570905,0.000006535093451831564,0.004917861784700507,6121.3,6109.55,6122.8,6064.8,((x)*((0)-(x))),((x)*(x)),FellTreeD|MutateTerminalR|ReplaceBranchXR|DeleteTerminalR|SubXD,AddXD|DeleteMaliciousR|AddTreeWithAdd|FellTreeD|ReplaceBranchXR,ReplaceBranchXR,DeleteMaliciousR,8,9,11,11,2
