gen,specEquation,range,seed,AGenFitAvg,PGenFitAvg,AGenBestFitAvg,PGenBestFitAvg,AGenDeltaAvg,PGenDeltaAvg,AGenBestDeltaAvg,PGenBestDeltaAvg,topABestFit,topPBestFit,topAStdDev,topPStdDev,topAAvgDelta,topPAvgtDelta,topABestDelta,topPBestDelta,topAEquation,topPEquation,topAStrat,topPStrat,topADomStrat,topPDomStrat,topABirthGen,topPBirthGen,topAAge,topPAge,run
0,x*x*x*x,25,-10,-0.05140200038302909,-0.0449976269441903,-0.04879964478136482,-0.03999446150829957,NaN,NaN,183.67835555555558,777.7221,-0.9599607894392891,0,0.000024610274613195085,0,6123.6900000000005,6120.8,6126.8,6120.8,((7)*((0)-(6))),(0),DeleteTerminalR|FellTreeD|AddTreeWithSub|AddTreeWithDiv|AddRandomSubTreeR,AddTreeWithMult|FellTreeD|AddXD|DeleteNonTerminalR|DeleteTerminalR,DeleteTerminalR,AddTreeWithMult,0,0,1,1,2
1,x*x*x*x,25,-10,-0.043600808527207775,-0.049997173571482145,-0.03839943928898184,-0.039984054371977516,NaN,NaN,244.9178,NaN,-0.9599934649065482,0.0012678081296562897,0.00002105165847103062,1.0001435098483566,6118.15,12781.035,6121.8,6113.04,((3)-(4)),(((2)/(2))-((0)-(9))),AddTreeWithDiv|MutateTerminalR|FellTreeD|AddTreeWithDiv|ReplaceBranchR,ReplaceBranchXR|DeleteTerminalR|AddTreeWithDiv|MutateTerminalR|AddTreeWithSub,AddTreeWithDiv,DeleteTerminalR,1,1,2,2,2
2,x*x*x*x,25,-10,-0.04620016156721914,-0.020001166924342933,-0.03839882368317867,0.000030132226724178916,NaN,NaN,245.012,244.64756666666668,-0.9600000000000001,0.0005505816233171956,0,0.0005080644031700368,6120.8,6120.921785714286,6120.8,6117.43,(0),(((x)+(9))-((x)/(4))),AddTreeWithDiv|ReplaceBranchXR|FellTreeD|AddTreeWithDiv|DeleteNonTerminalR,DeleteTerminalR|ReplaceBranchXR|AddTreeWithDiv|MutateTerminalR|AddTreeWithSub,AddTreeWithDiv,MutateTerminalR,2,2,3,3,2
3,x*x*x*x,25,-10,-0.04099992022518065,-0.014989160535016158,-0.038399509867991115,0.000037709667581586014,229.54220714285714,444.61215738969406,244.907,244.60118666666662,-0.9600000000000001,0.0012264192044615123,0,0.000619313290761761,6120.8,6118.683127858293,6120.8,6113.293333333332,(0),(((9)-(5))-((9)/(6))),AddTreeWithDiv|ReplaceBranchXR|FellTreeD|AddTreeWithDiv|DeleteNonTerminalR,DeleteTerminalR|ReplaceBranchXR|AddTreeWithDiv|MutateTerminalR|AddTreeWithSub,AddTreeWithDiv,DeleteTerminalR,2,0,4,4,2
4,x*x*x*x,25,-10,-0.038400000000000004,-0.019996839101579632,-0.038400000000000004,0.00003829564762776191,244.832,511.2746916666667,244.832,244.59759999999997,-0.9600000000000001,0.00039864070056210124,0,0.0005963054333082889,6120.8,6120.746666666666,6120.8,6118.36,(0),(((8)/(5))-((7)+(7))),AddTreeWithDiv|ReplaceBranchXR|FellTreeD|AddTreeWithDiv|DeleteNonTerminalR,DeleteTerminalR|ReplaceBranchXR|AddTreeWithDiv|MutateTerminalR|AddTreeWithSub,AddTreeWithDiv,DeleteTerminalR,3,4,5,5,2
5,x*x*x*x,25,-10,-0.038400000000000004,-0.015008212571111542,-0.038400000000000004,0.00003855378381911151,244.832,444.7289591666667,244.832,244.59601999999998,-0.9600000000000001,0.0006012285975689928,0,0.0009206490324524519,6120.8,6122.13,6120.8,6117.12,(0),(((x)+(8))/((5)-(1))),AddTreeWithDiv|ReplaceBranchXR|FellTreeD|AddTreeWithDiv|DeleteNonTerminalR,DeleteTerminalR|ReplaceBranchXR|AddTreeWithDiv|MutateTerminalR|DeleteNonTerminalR,AddTreeWithDiv,ReplaceBranchXR,4,5,6,6,2
6,x*x*x*x,25,-10,-0.038400000000000004,-0.02000946206358416,-0.038400000000000004,0.000037990676600008334,244.832,511.35294166666665,244.832,244.59946666666667,-0.9600000000000001,0.0010194745784864367,0,0.00045426808106213126,6120.8,6117.1775,6120.8,6114.56,(0),(((6)+(2))/((9)-(8))),AddTreeWithDiv|ReplaceBranchXR|FellTreeD|AddTreeWithDiv|DeleteNonTerminalR,DeleteTerminalR|ReplaceBranchXR|AddTreeWithDiv|MutateTerminalR|AddTreeWithSub,AddTreeWithDiv,ReplaceBranchXR,5,6,7,7,2
7,x*x*x*x,25,-10,-0.038400000000000004,-0.005006585545588142,-0.038400000000000004,0.00004608547902235239,244.832,311.4887511111111,244.832,244.54992,-0.9600000000000001,0.001069141288720556,0,0.00045461753091201003,6120.8,6116.429,6120.8,6114.255999999999,(0),(((7)-(1))/((5)*(7))),AddTreeWithDiv|ReplaceBranchXR|FellTreeD|DeleteTerminalR|DeleteNonTerminalR,DeleteTerminalR|ReplaceBranchXR|AddTreeWithDiv|MutateTerminalR|AddTreeWithSub,AddTreeWithDiv,MutateTerminalR,6,6,8,8,2
8,x*x*x*x,25,-10,-0.038400000000000004,-0.015037191365120797,-0.038400000000000004,0.0000023803376225495035,244.832,444.90828988095245,244.832,244.81743333333333,-0.9600000000000001,0.00022791138413286443,0,0.00020167079632553095,6120.8,6120.5704166666665,6120.8,6119.405,(0),(((3)-(2))+((5)/(8))),AddToLeafR|ReplaceBranchXR|AddTreeWithMult|MultXD|DeleteNonTerminalR,DeleteTerminalR|ReplaceBranchXR|AddTreeWithDiv|MutateTerminalR|AddTreeWithSub,AddToLeafR,ReplaceBranchXR,7,6,9,9,2
9,x*x*x*x,25,-10,-0.0386,-0.01999517813031699,-0.038400000000000004,0.00022012808783165874,214.22800000000004,511.26565206349204,244.832,243.48464,-0.9600000000000001,0.0009229004196980779,0,0.0011068616826250344,6120.8,6122.406666666667,6120.8,6115.151111111112,(0),(((2)/(9))+((9)-(2))),AddTreeWithDiv|ReplaceBranchXR|FellTreeD|AddTreeWithDiv|DeleteNonTerminalR,DeleteTerminalR|ReplaceBranchXR|AddTreeWithDiv|MutateTerminalR|AddTreeWithSub,AddTreeWithDiv,MutateTerminalR,8,9,10,10,2
10,x*x*x*x,25,-10,-0.038400000000000004,-0.014988277084427452,-0.038400000000000004,0.00007279860709151333,244.832,444.6068385714285,244.832,244.38641428571427,-0.9600000000000001,0.00023339619470875988,0,0.0011748583115772145,6120.8,6124.935357142856,6120.8,6119.371428571427,(0),(((x)+(3))-((7)/(7))),ReplaceBranchXR|ReplaceBranchXR|FellTreeD|MultXD|DeleteNonTerminalR,DeleteTerminalR|ReplaceBranchXR|AddToLeafR|MutateTerminalR|AddTreeWithSub,ReplaceBranchXR,DeleteTerminalR,9,10,11,11,2
