gen,specEquation,range,seed,AGenFitAvg,PGenFitAvg,AGenBestFitAvg,PGenBestFitAvg,AGenDeltaAvg,PGenDeltaAvg,AGenBestDeltaAvg,PGenBestDeltaAvg,topABestFit,topPBestFit,topAStdDev,topPStdDev,topAAvgDelta,topPAvgtDelta,topABestDelta,topPBestDelta,topAEquation,topPEquation,topAStrat,topPStrat,topADomStrat,topPDomStrat,topABirthGen,topPBirthGen,topAAge,topPAge,run
0,x*x*x*x,25,-10,-0.053609973278728996,-0.00516804261122126,-0.04723435890733238,0.0007233975017271338,NaN,NaN,NaN,240.40422857142855,-0.8227238269507253,0.053008943742181326,0.6423818798284084,0.026917756860724066,8290.728888888889,6043.135714285714,27126.8,5796.342857142857,((((4)-(9))*((x)*((5)*(5))))*((x)-((x)/((1)/(3))))),(((x)*((6)*(x)))-((x)/((5)*(7)))),SubXD|AddRandomSubTreeR|DivXD|AddTreeWithSub|AddTreeWithDiv,MutateNonTerminalR|ReplaceBranchXR|SkipD|DeleteNonTerminalR|AddRandomSubTreeR,SubXD,ReplaceBranchXR,0,0,1,1,4
1,x*x*x*x,25,-10,-0.04248570707148315,-0.02282129220356458,-0.024274758752538275,-0.014751927852568292,NaN,NaN,2978.653028571428,NaN,0.4525297262548454,0.0022088615867207613,0.6949231156857519,0.0013734414204556252,77266.54,6117.1900000000005,279503.76,6107.28,((((x)*(x))*((x)-(5)))*((9)*((7)*(x)))),((0)+((9)*(2))),DeleteMaliciousR|MultXD|MutateTerminalR|AddToLeafR|AddTreeWithSub,MutateNonTerminalR|ReplaceBranchXR|SkipD|DeleteNonTerminalR|AddRandomSubTreeR,DeleteMaliciousR,MutateNonTerminalR,0,0,2,2,4
2,x*x*x*x,25,-10,-0.03721672199712456,0.00004189101601514501,-0.033842117370278396,0.00012861063913213998,425.8972,244.57560000000004,942.2792,244.0448,-0.5639926806953339,0.009149130832570905,0.19761638118546007,0.004574565416285452,21359.66,6106.8,66717.84,6064.8,((((x)*(x))*((x)*(7)))*((6)*((7)-(4)))),((0)+((x)*(x))),DeleteMaliciousR|MultXD|SkipD|AddToLeafR|AddTreeWithSub,MutateNonTerminalR|ReplaceBranchXR|SkipD|DeleteNonTerminalR|AddRandomSubTreeR,SkipD,DeleteNonTerminalR,2,0,3,3,4
3,x*x*x*x,25,-10,-0.037081654685662005,0.0018258207504509125,-0.03524698993595608,0.005638936086786042,446.56520000000006,233.6744,727.3056000000001,210.3172,-0.76,0.5435367925761339,0.1093704330294065,0.2655239857932622,20563.440000000002,5016.72,36724.8,2793.92,((((3)-(5))+((9)*(x)))*((x)*((x)*(x)))),((((x)*(1))*((5)-(1)))*((7)*((x)*(3)))),DeleteMaliciousR|MultXD|SkipD|AddToLeafR|AddTreeWithSub,MutateNonTerminalR|ReplaceBranchXR|SkipD|DeleteNonTerminalR|AddRandomSubTreeR,DeleteMaliciousR,MutateNonTerminalR,2,3,4,4,4
4,x*x*x*x,25,-10,-0.03472330152921187,-0.00012671144157688655,-0.027508498235524766,0.0001250816886681486,807.4404,245.6748,1911.4496,244.0664,-0.20406587374199453,0.005737812050712307,0.3634790780383818,0.0025264004130737495,50159.060000000005,6108.14,121793.84,6085.68,((((x)*(x))*((8)*(7)))*((5)-((1)*(x)))),((0)+((9)*(6))),DeleteMaliciousR|MultXD|MutateTerminalR|AddToLeafR|AddTreeWithSub,MutateNonTerminalR|ReplaceBranchXR|SkipD|DeleteNonTerminalR|AddRandomSubTreeR,DeleteMaliciousR,MutateNonTerminalR,3,4,5,5,4
5,x*x*x*x,25,-10,-0.036374383740687494,0.000017747066952236494,-0.03281634296170435,0.00013671415501241715,554.7918,244.7239,1099.2432000000001,243.9952,-0.68,0.0027970199973859446,0.14102942145122582,0.0013695452178334407,21937.100000000002,6113.96,48966.4,6103.68,((((9)*(5))-((5)+(x)))*((x)*((x)*(x)))),((0)+((4)*(6))),DeleteMaliciousR|MultXD|MutateTerminalR|AddToLeafR|AddTreeWithSub,MutateNonTerminalR|ReplaceBranchXR|SkipD|DeleteNonTerminalR|AddRandomSubTreeR,AddToLeafR,MutateNonTerminalR,4,4,6,6,4
6,x*x*x*x,25,-10,-0.03340498079211407,0.00004232204688977845,-0.02034272018845365,0.0005103907985884206,1047.3311999999999,244.57690000000002,3160.6024000000007,241.70800000000003,0.26987698128533716,0.012455888119200068,0.610345639910158,0.006284272190048207,58073.88,6102.24,209581.12,6044.56,((((x)*(x))*((4)-(x)))*((7)*((6)*(x)))),((((0)+(5))*((x)*(9)))-((4)+((0)*(0)))),DeleteMaliciousR|MultXD|MutateTerminalR|AddToLeafR|AddTreeWithSub,MutateNonTerminalR|MutateTerminalR|SkipD|DeleteNonTerminalR|AddRandomSubTreeR,MutateTerminalR,DeleteNonTerminalR,6,6,7,7,4
7,x*x*x*x,25,-10,-0.03794820546333813,0.0006033024807233799,-0.03641218141419422,0.002363285844987584,313.9656,241.1396,549.008,230.3668,-0.837035681610247,0.2159979087700954,0.06148215919487654,0.10661050175406388,10824.8,5777.32,24936.8,4798.72,((((0)-(4))*((x)*(7)))*((5)+((7)*(x)))),(((x)*((x)*(x)))+((6)*((x)+(2)))),DeleteMaliciousR|MultXD|MutateTerminalR|AddToLeafR|AddTreeWithSub,MutateNonTerminalR|ReplaceBranchXR|SkipD|DeleteNonTerminalR|ReplaceBranchXR,AddTreeWithSub,ReplaceBranchXR,7,7,8,8,4
8,x*x*x*x,25,-10,-0.03810575872434976,-0.002242737228111683,-0.036431473010064046,0.00013004835969154417,289.8568,291.6452,546.056,244.03599999999997,-0.84,0.0006469742517318057,0.06467050904478756,0.0034790611152410267,9843.68,6130.6900000000005,24483.2,6116.84,((((0)+(0))-((x)*(3)))*((x)*((x)*(x)))),((0)+((1)+(4))),DeleteMaliciousR|MultXD|MutateTerminalR|AddToLeafR|AddTreeWithSub,MutateNonTerminalR|MutateTerminalR|SkipD|DeleteNonTerminalR|AddRandomSubTreeR,MutateTerminalR,MutateNonTerminalR,6,6,9,9,4
9,x*x*x*x,25,-10,-0.03679713109397464,0.00001092311130277092,-0.03194534047836884,0.0001506992549993476,490.1030000000001,244.7659,1232.5240000000001,243.90959999999998,-0.4051486080250947,0.008286498496928547,0.27742569598745265,0.00496154407932655,27346.640000000003,6113.620000000001,91024.16,6070.08,((((x)*(x))*((8)*(9)))*((x)-((5)*(3)))),((((0)*(1))*((7)+(2)))*((7)-((2)*(8)))),DeleteMaliciousR|SkipD|MutateTerminalR|AddToLeafR|AddToLeafR,MutateNonTerminalR|MutateTerminalR|SkipD|DeleteNonTerminalR|AddRandomSubTreeR,AddToLeafR,AddRandomSubTreeR,9,6,10,10,4
10,x*x*x*x,25,-10,-0.0385154006012286,0.00004559861456018909,-0.038367329760815576,0.00021121422036335518,227.17340000000004,244.55290000000002,249.8312,243.5392,-0.9572651940922755,0.008384524898706152,0.0018539220224159964,0.003976391803654228,6158.360000000001,6105.719999999999,6539.28,6069.48,(((x)*((0)-(x)))+((2)*((2)*(x)))),((0)+((9)*(9))),DeleteMaliciousR|SkipD|MutateTerminalR|AddToLeafR|AddToLeafR,MutateNonTerminalR|MutateTerminalR|SkipD|DeleteNonTerminalR|AddRandomSubTreeR,AddToLeafR,DeleteNonTerminalR,9,6,11,11,4
